[00:00:00.000 --> 00:00:21.640]  A
[00:02:20.040 --> 00:02:26.680]  live for the next four hours ahead of the amazing always informative Owen
[00:02:26.680 --> 00:02:31.680]  Schreier and right before my broadcast it was another powerful edition of
[00:02:31.680 --> 00:02:36.880]  American Journal with the great Harrison Smith all right we have a giant guest
[00:02:36.880 --> 00:02:42.560]  tomorrow on the show I'm gonna leave that as a surprise for you you have
[00:02:42.560 --> 00:02:49.040]  several extremely informative guests today Stu Peters investigative reporter
[00:02:49.040 --> 00:02:52.040]  and popular talk show host on the new covered lockdowns that are now
[00:02:52.040 --> 00:02:56.280]  officially been announced as we told you when they roll out we just got it in
[00:02:56.280 --> 00:02:59.120]  right under the gun right before they actually announced it I know they do it
[00:02:59.120 --> 00:03:03.920]  that quick huge developments on that front and Dr. Stella Emanuel a great
[00:03:03.920 --> 00:03:07.400]  medical doctor a great Patriot one of the first doctors to stand up three plus
[00:03:07.400 --> 00:03:12.200]  years ago to the whole COVID tyranny will be joining us in studio coming up in an
[00:03:12.200 --> 00:03:17.440]  hour and a half but in the meantime Wow is all I can say the economic
[00:03:17.480 --> 00:03:21.480]  developments the military developments the cultural developments it's all over
[00:03:21.480 --> 00:03:30.800]  the top Biden just being a complete psychotic buffoon in Maui Hawaii it just
[00:03:30.800 --> 00:03:35.320]  gets more insane talk about more insane Bill Gates is behind the new digital ID
[00:03:35.320 --> 00:03:38.720]  system with the UN there's big developments there he also starts
[00:03:38.720 --> 00:03:43.760]  giggling and laughing talking about dead children he also says the next virus will
[00:03:43.760 --> 00:03:48.320]  target children he should know he's the one behind all this crap so we're gonna
[00:03:48.320 --> 00:03:58.360]  be looking at that but man oh man it is insane what is going on when I learned
[00:03:58.360 --> 00:04:02.520]  last week from federal sources that they told them that the incremental lockdowns
[00:04:02.520 --> 00:04:07.160]  are coming back in mid-september I didn't know that we reported it Friday
[00:04:07.160 --> 00:04:12.520]  five six hours before the official rollout hit it's like artillery turned
[00:04:12.520 --> 00:04:17.040]  on it was nothing but fear and mongering mask shots you need boosters new
[00:04:17.040 --> 00:04:22.000]  lockdowns are needed all over the Western world they flipped a switch
[00:04:22.000 --> 00:04:27.280]  Friday afternoon and the fear started people saw me say it was coming that day
[00:04:27.280 --> 00:04:34.320]  it went viral then they announced it and it was just totally insane and now it's
[00:04:34.320 --> 00:04:38.120]  been announced everywhere so we had to wait about three days to have it
[00:04:38.680 --> 00:04:43.240]  announced they say we need all the restrictions back we need lockdowns we
[00:04:43.240 --> 00:04:47.520]  need you to stay in 14 days to flatten the curve they're officially saying that
[00:04:47.520 --> 00:04:51.000]  and they're doing it through their corporate governmental surrogates first
[00:04:51.000 --> 00:04:56.600]  we'll lay it all out today it's a big broadcast stay with us
[00:05:00.120 --> 00:05:04.680]  coffee has not been available at InfoWarsTour.com for two years because
[00:05:04.680 --> 00:05:07.520]  the price went up too high and the quality was starting to go down I
[00:05:07.520 --> 00:05:12.280]  turned out so many other producers that wanted to partner with us but when the
[00:05:12.280 --> 00:05:15.280]  folks at Minuteman came to me a year ago and I began to try their coffees I was
[00:05:15.280 --> 00:05:19.360]  blown away we finally have three great coffees that are the best they have to
[00:05:19.360 --> 00:05:23.920]  offer available to you right now this is the best coffee I've ever tasted it
[00:05:23.920 --> 00:05:27.880]  smells amazing and it's some of the strongest coffee I've ever drank ladies
[00:05:27.880 --> 00:05:32.680]  and gentlemen these three single source Colombian coffees are now available at
[00:05:32.680 --> 00:05:38.120]  InfoWarsTour.com exclusively escape the prison planet light roast tastes great
[00:05:38.120 --> 00:05:41.960]  it's the strong one really strong but these are all close second and thirds
[00:05:41.960 --> 00:05:47.320]  medium roast wake of America whoa that's what my go-to dark roast tip of the
[00:05:47.320 --> 00:05:51.360]  spear tastes the best and is amazing and it's still very very strong gives you
[00:05:51.360 --> 00:05:55.440]  that pep they're all three available at InfoWarsTour.com and they fund our
[00:05:55.440 --> 00:06:01.120]  operation and each order gets a pocket Constitution citizen rule book
[00:06:02.680 --> 00:06:20.680]  mother tell your children not to walk my way tell your children not to hear my words what they mean what they say
[00:06:20.680 --> 00:06:31.680]  mother mother mother can you keep them in the dark for life
[00:06:32.680 --> 00:06:36.680]  can you hide them from the waiting world
[00:06:36.680 --> 00:06:38.680]  oh mother
[00:06:38.680 --> 00:06:40.680]  oh mother
[00:06:40.680 --> 00:06:42.680]  father
[00:06:42.680 --> 00:06:44.680]  mother
[00:06:44.680 --> 00:06:48.680]  I'm gonna take your daughter out tonight
[00:06:48.680 --> 00:06:52.680]  I'm gonna show her my world
[00:06:52.680 --> 00:06:54.680]  we're going to wake the world up
[00:06:54.680 --> 00:07:00.680]  we're going to pull the wall off of their eyes
[00:07:01.680 --> 00:07:03.680]  nothing they can do to stop us
[00:07:03.680 --> 00:07:05.680]  they know it
[00:07:06.680 --> 00:07:09.680]  every globalist operation is failing
[00:07:09.680 --> 00:07:12.680]  rapidly humanity is awakening
[00:07:12.680 --> 00:07:15.680]  the great awakening is here
[00:07:15.680 --> 00:07:17.680]  Jews aside
[00:07:19.680 --> 00:07:22.680]  it is Tuesday August 22nd
[00:07:22.680 --> 00:07:24.680]  2023
[00:07:24.680 --> 00:07:26.680]  I'm your host Alex Jones
[00:07:26.680 --> 00:07:30.680]  and we together are doing epic things
[00:07:30.680 --> 00:07:32.680]  whoo
[00:07:32.680 --> 00:07:34.680]  mother
[00:07:34.680 --> 00:07:39.680]  tell your children not to hold my hand
[00:07:39.680 --> 00:07:43.680]  tell your children not to understand
[00:07:43.680 --> 00:07:46.680]  oh mother
[00:07:46.680 --> 00:07:49.680]  Bill Gates is going down
[00:07:49.680 --> 00:07:52.680]  Fauci is going down
[00:07:52.680 --> 00:07:55.680]  King Charles is going down
[00:07:55.680 --> 00:07:58.680]  their new world orders get on arrival
[00:07:58.680 --> 00:08:01.680]  it's going down
[00:08:01.680 --> 00:08:06.680]  father
[00:08:06.680 --> 00:08:11.680]  I'm not about to see your light
[00:08:11.680 --> 00:08:15.680]  but if you wanna find hell with me
[00:08:15.680 --> 00:08:19.680]  I'm gonna show you what it's like
[00:08:19.680 --> 00:08:21.680]  till you're bleeding
[00:08:21.680 --> 00:08:23.680]  till you're bleeding
[00:08:23.680 --> 00:08:27.680]  I'm not about to see your light
[00:08:27.680 --> 00:08:29.680]  but if you wanna find hell
[00:08:29.680 --> 00:08:31.680]  I refuse to see the false light of Lucifer
[00:08:31.680 --> 00:08:33.680]  I'm gonna show you what it's like
[00:08:33.680 --> 00:08:35.680]  I've seen the real light
[00:08:35.680 --> 00:08:37.680]  the light of God almighty
[00:08:37.680 --> 00:08:39.680]  whoo
[00:08:39.680 --> 00:08:41.680]  yeah
[00:08:41.680 --> 00:08:43.680]  I am so proud of our audience
[00:08:43.680 --> 00:08:44.680]  of activists
[00:08:44.680 --> 00:08:46.680]  every race, color and creed
[00:08:46.680 --> 00:08:48.680]  bleeding red blood
[00:08:48.680 --> 00:08:49.680]  of liberty
[00:08:49.680 --> 00:08:53.680]  liberty made by the real father
[00:08:53.680 --> 00:08:57.680]  I'm not about to see your light
[00:08:57.680 --> 00:09:00.680]  but if you wanna find hell with me
[00:09:00.680 --> 00:09:03.680]  I'm gonna show you what it's like
[00:09:03.680 --> 00:09:05.680]  till you're bleeding
[00:09:05.680 --> 00:09:06.680]  till you're bleeding
[00:09:06.680 --> 00:09:08.680]  I'm not about to see your light
[00:09:08.680 --> 00:09:10.680]  alright let's get into the news right now
[00:09:10.680 --> 00:09:13.680]  on this August 22nd transmission
[00:09:13.680 --> 00:09:16.680]  I'm gonna show you what it's like
[00:09:16.680 --> 00:09:18.680]  here it is
[00:09:19.680 --> 00:09:22.680]  well the timing couldn't have been better
[00:09:22.680 --> 00:09:26.680]  we announced the enemy's plan to roll out
[00:09:26.680 --> 00:09:28.680]  incrementally the new lockdowns
[00:09:28.680 --> 00:09:30.680]  into the election next year
[00:09:30.680 --> 00:09:32.680]  and all over the world
[00:09:32.680 --> 00:09:36.680]  five hours after I made that announcement
[00:09:36.680 --> 00:09:37.680]  and analysis
[00:09:37.680 --> 00:09:39.680]  the enemy opened up
[00:09:39.680 --> 00:09:41.680]  with their new rollout
[00:09:41.680 --> 00:09:44.680]  and this has awoken
[00:09:44.680 --> 00:09:46.680]  tens of millions of people
[00:09:46.680 --> 00:09:47.680]  hundreds of millions of people
[00:09:47.680 --> 00:09:49.680]  in just the last three days
[00:09:49.680 --> 00:09:53.680]  a devastating blow
[00:09:53.680 --> 00:09:55.680]  against the globalists
[00:09:55.680 --> 00:09:57.680]  and I wanna give the credit
[00:09:57.680 --> 00:09:58.680]  to the listeners
[00:09:58.680 --> 00:10:01.680]  who took the story and rammed it
[00:10:01.680 --> 00:10:05.680]  right through the heart of the globalists
[00:10:05.680 --> 00:10:08.680]  when you get excited
[00:10:08.680 --> 00:10:09.680]  nothing can stop you
[00:10:09.680 --> 00:10:11.680]  when you get focused
[00:10:11.680 --> 00:10:13.680]  so let's hit this first
[00:10:13.680 --> 00:10:15.680]  and look at all the other news
[00:10:15.680 --> 00:10:16.680]  including Humpty Dumpty over there
[00:10:16.680 --> 00:10:17.680]  falling off the wall
[00:10:17.680 --> 00:10:19.680]  and having a great fall
[00:10:19.680 --> 00:10:21.680]  Biden scrabbling around
[00:10:21.680 --> 00:10:24.680]  like a diseased rodent
[00:10:24.680 --> 00:10:26.680]  in Hawaii
[00:10:26.680 --> 00:10:27.680]  that's coming up
[00:10:27.680 --> 00:10:28.680]  and so much more
[00:10:28.680 --> 00:10:29.680]  and big guests as well
[00:10:29.680 --> 00:10:31.680]  well it's really happening
[00:10:31.680 --> 00:10:32.680]  mass mandates
[00:10:32.680 --> 00:10:33.680]  contract tracing
[00:10:33.680 --> 00:10:34.680]  re-implementation
[00:10:34.680 --> 00:10:37.680]  at colleges, offices, Hollywood, everywhere
[00:10:37.680 --> 00:10:39.680]  that's how they did it last time
[00:10:39.463 --> 00:10:48.823]  They're doing it yet again. The hotels, the grocery stores, the colleges, the Ubers, they're
[00:10:48.823 --> 00:10:55.423]  all being told you're going to have to start wearing your mask next month. Told you they're
[00:10:55.423 --> 00:11:00.463]  really trying it. Big article by Steve Watson. Here's another one. Two weeks to slow the
[00:11:00.463 --> 00:11:07.183]  spread returns. Atlanta College reinstates COVID mask mandates, social distancing despite
[00:11:07.183 --> 00:11:13.522]  zero cases on campus. They're just running the same play again because it worked for
[00:11:13.522 --> 00:11:20.183]  a while last time. Here's another one. Breitbart COVID mandates return to Hollywood. Lionsgate
[00:11:20.183 --> 00:11:26.142]  requires employees to mask up, submit to daily testing. That dropped two days after I told
[00:11:26.142 --> 00:11:30.583]  you it would. I even said on Friday, watch, it'll be Hollywood and big tech first, just
[00:11:30.583 --> 00:11:37.163]  like three and a half years ago. Here's another one out of WSB TV. Atlanta College reinstates
[00:11:37.163 --> 00:11:41.723]  mask mandates for students, employers on campus. That was yesterday and it's happening
[00:11:41.723 --> 00:11:49.823]  all over the Western world, from Australia to the U.S. Kevin Bass, Ph.D., M.S., reports
[00:11:49.823 --> 00:11:54.923]  on this. Mask mandates are returning and they've got their little manuals they're putting out.
[00:11:54.923 --> 00:12:00.723]  U.S. Senator under fire for sharing InfoWars article, warning of impending lockdowns. That
[00:12:00.723 --> 00:12:08.282]  didn't age well from attacking Utah Senator Mike Lee that retweeted the InfoWars story.
[00:12:08.282 --> 00:12:13.403]  And it goes on from here. Here's the JAMA Medical Network coming out again with its
[00:12:13.403 --> 00:12:19.002]  push. Cernovich tweeted, Alex Jones was right. The federal government has already begun buying
[00:12:19.002 --> 00:12:25.403]  record COVID-19 equipment and hiring consultants to enforce pandemic era safety protocols.
[00:12:25.403 --> 00:12:30.603]  That's a quote, pandemic era safety protocols. Some of these contracts are scheduled to begin
[00:12:30.603 --> 00:12:39.362]  in September and October, just as the TSA was told. I really can't believe people actually
[00:12:39.362 --> 00:12:44.443]  questioned whether I was making that up or not. Like I said, the Russians are going to
[00:12:44.443 --> 00:12:48.323]  invade by February and October. Like I said, they're going to indict Trump next Tuesday
[00:12:48.323 --> 00:12:52.963]  and Iranian Thursday a month ago. No, no, that was from the courthouse. We know a lot
[00:12:52.963 --> 00:12:56.843]  of people. We have a lot of sources. I don't get the credit. It's that we have millions
[00:12:56.843 --> 00:13:00.963]  of listeners. We have eyes and ears everywhere. The globalists hate this broadcast. They hate
[00:13:00.963 --> 00:13:06.483]  you. They hate me. And it goes on from there. The federal government has already begun hiring
[00:13:06.483 --> 00:13:12.242]  COVID-19 equipment and hiring consultants to run the next operation. Here's a bunch
[00:13:12.242 --> 00:13:18.882]  of the purchase orders. Here's a bunch of the advertisements that they put on the federal
[00:13:18.882 --> 00:13:25.762]  purchasing website. You can see all that for yourself. USspending.gov. Oh, but don't worry.
[00:13:25.762 --> 00:13:29.803]  They had disinfo operatives write articles saying analyzing Alex Jones's claim of impending
[00:13:29.803 --> 00:13:40.362]  COVID lockdowns. That was out Saturday. Didn't age too well, did it? And it goes on from there.
[00:13:40.362 --> 00:13:46.923]  We're going to be laying it all out today. Mass mandates are returning. They are unsupported
[00:13:46.923 --> 00:13:52.443]  by scientific evidence. They are motivated by superstition and power. This is a battle
[00:13:52.443 --> 00:13:58.683]  for freedom. And this, again, more colleges announcing the mass mandates coming back effective
[00:13:58.683 --> 00:14:02.723]  immediately. And they're saying COVID's killing everybody. But when you actually look at the
[00:14:02.723 --> 00:14:07.483]  studies and the numbers, they admit all over the world it's a mystery illness of heart
[00:14:07.483 --> 00:14:13.683]  attacks, blood clots, cardiovascular issues, strokes. And I already showed you those articles
[00:14:13.683 --> 00:14:17.323]  yesterday, but they're important. Let's look at them again. Here's the Globe and Mail.
[00:14:17.323 --> 00:14:22.923]  More people than expected are dying in Canada 2023 for reasons that are not yet clear. BBC
[00:14:22.923 --> 00:14:28.643]  excess deaths 2022 among the worst of the years. The numbers are six months behind. Experts
[00:14:28.643 --> 00:14:34.683]  call for urgent investigations as execs. Excess deaths spark dangerous theories as the shot,
[00:14:34.683 --> 00:14:41.242]  but they don't know what it is. And then it goes on and on and on. Myocarditis, myocarditis
[00:14:41.242 --> 00:14:49.643]  in young men in shape and young boys. And it goes on and on. How convenient. Biden regime
[00:14:49.643 --> 00:14:53.762]  begins for sharing COVID-19 equipment and hiring safety advisors. Government spending
[00:14:53.762 --> 00:15:01.443]  data reveals. And it goes on and on and on and on. Oh, but it's long COVID. That's why
[00:15:01.443 --> 00:15:06.762]  you're all dying. Long COVID, Fortune reports. Shorter life. New research reveals an arduous
[00:15:06.762 --> 00:15:10.923]  road to recovery. I don't even tell you how to stop the spike protein growing in either
[00:15:10.923 --> 00:15:18.923]  from the original COVID or from the shots. And that's most of it is the shots that cause
[00:15:18.923 --> 00:15:26.083]  the turbo cancer. Oh, Rutgers had disenrolled students on August 15th and they don't take
[00:15:26.083 --> 00:15:34.963]  the shot, the experimental shot. What a joke. All right. I've hit that. We'll get more into
[00:15:35.042 --> 00:15:41.603]  it with Stu Peters coming up. Oh, and I forgot to get to this yesterday. They're going to spray
[00:15:41.603 --> 00:15:45.603]  the vaccine on you so you can't escape it. Let me hit that when we come back and then I'll get
[00:15:45.603 --> 00:15:50.323]  into all the other news. Please stay with us. Infowars.com. Tomorrow's news today, may or not
[00:15:50.323 --> 00:15:53.843]  video. Those are the coordinates of Liberty. Please share those links like your life depends
[00:15:53.843 --> 00:16:01.522]  on it. You see how much power you have when you do. A lot of listeners have complained in the last
[00:16:01.522 --> 00:16:06.163]  two years that our amazing high quality coffee has not been available. And that's because the
[00:16:06.163 --> 00:16:11.522]  prices went up too high for the raw beans and the quality had gone down some. I turned down so many
[00:16:11.522 --> 00:16:18.323]  companies that wanted to work with us. But now we have brought back the coffee and it's even better
[00:16:18.323 --> 00:16:24.483]  from a national supplier that's veteran owned and veteran operated. It's powered by the company
[00:16:24.483 --> 00:16:30.163]  Minuteman Coffee. Ladies and gentlemen, this is the best tasting, best smelling,
[00:16:31.123 --> 00:16:37.762]  strongest coffee that I have ever drank. It is game changing. All you got to do is buy a bag of
[00:16:37.762 --> 00:16:42.002]  it and try it. I know you're going to be hooked, which will then fund your operation a 360 win.
[00:16:42.002 --> 00:16:47.123]  Go to Infowars.com right now for escape the prison planet light roast. That's the strongest,
[00:16:47.123 --> 00:16:52.883]  the amazing medium roast wig of America. And finally, the best tasting dark roast tip of the
[00:16:52.883 --> 00:16:58.403]  spear now exclusively available at Infowars.com. Get your coffee now.
[00:16:59.443 --> 00:17:03.282]  Alex Jones here in the next 60 seconds with some very exciting announcements.
[00:17:03.282 --> 00:17:08.243]  Vitamin Mineral Fusion is a bestseller. It's an amazing product. All the key amino acids,
[00:17:08.243 --> 00:17:11.842]  all the essential vitamins, all the essential minerals. That means everything you need to live
[00:17:11.842 --> 00:17:17.362]  and be healthy in one tasty, delicious powder that you put in a pitcher, mix up, drink in the morning,
[00:17:18.003 --> 00:17:22.883]  lunch, nighttime, middle of the night. It is simply amazing. And it empowers your immune
[00:17:22.883 --> 00:17:28.083]  system and your whole body. It's back in stock, discounted at Infowars.com. You can get 10%
[00:17:28.083 --> 00:17:32.723]  off for signing up for auto ship. We got double Patriot points. That's 10% off on your next order
[00:17:32.723 --> 00:17:39.203]  right now. All of that is available at Infowars.com. Things like 3000 milligrams CBD oil
[00:17:39.203 --> 00:17:44.083]  that just does over the top things for neurological system, your joints, your bones, and so much more.
[00:17:44.083 --> 00:17:48.403]  Try it. I know you're going to love it. And it funds the Infowar. Also try the 1000 milligram
[00:17:48.403 --> 00:17:55.123]  salve for your joints and bones. It's under the private label RebelsIn at Infowars.com.
[00:17:55.123 --> 00:17:58.322]  Check it out. So many other great products. Go to Infowars.com right now.
[00:17:59.443 --> 00:18:03.763]  The globalists are only humans. Yeah, they have control of the central banks. They have a lot
[00:18:03.763 --> 00:18:08.083]  of power, but they can be defeated. But some of their operations are going to take decades to
[00:18:08.083 --> 00:18:13.362]  stop. But one thing you can do right now is take control of your body and your family's body by
[00:18:13.362 --> 00:18:18.883]  purifying the water that you drink and that you cook with. And you do it with the highest quality
[00:18:18.883 --> 00:18:24.243]  gravity fed filter out there. This thing does 10,000 gallons. You can sit there and put hundreds
[00:18:24.243 --> 00:18:28.802]  of gallons through it a day. It purifies very quickly and it cuts out thousands of chemicals
[00:18:28.802 --> 00:18:33.203]  to non-detectable levels. This is what I use, which my family uses. It's the very best system
[00:18:33.203 --> 00:18:38.163]  out there for the lowest price for a limited time. 10% off on top of that exclusively at
[00:18:38.163 --> 00:18:44.403]  Infowars.com on the Alexa Pure Water Filtration System in stock and replacement filters for folks
[00:18:44.403 --> 00:18:48.963]  that need those in stock. Get it today and it funds the Infowar. Don't procrastinate. This is
[00:18:48.963 --> 00:18:53.523]  one of the main areas we can take control of our lives and stop the globalists from hitting us
[00:18:53.523 --> 00:18:57.842]  with poison that they allow in the water supply. In some cases, they add the water supply like
[00:18:57.842 --> 00:19:05.362]  fluoride. In the early 1900s, certain companies were off-gassing highly toxic fluoride gases
[00:19:05.362 --> 00:19:11.523]  into the atmosphere. The surrounding communities began to get sick. Laws were enacted to compel
[00:19:11.523 --> 00:19:18.483]  these corporations to install scrubbers to convert these gases into fluorosilicic acid. Still highly
[00:19:18.483 --> 00:19:24.083]  toxic, but containable. Now these companies had a stockpile of this poison and there was no
[00:19:24.083 --> 00:19:29.443]  affordable way to dispose of it. Lucky for them, one of their major stockholders was also the
[00:19:29.443 --> 00:19:34.723]  Secretary of the Treasury, who was responsible for the Public Health Service at the time. And by
[00:19:34.723 --> 00:19:41.842]  1950, the U.S. government began buying this toxic, untreated industrial waste product and dumping it
[00:19:41.842 --> 00:19:47.523]  into our drinking water. Reputable studies show that it's causing various cancers and other
[00:19:47.523 --> 00:19:54.643]  disease. With the Alexa Pure Pro, you can have clean drinking water and a remedy to this madness.
[00:19:54.723 --> 00:19:57.842]  Available now at infowarestore.com.
[00:20:01.123 --> 00:20:08.643]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:09.850 --> 00:20:13.850]  Unmasking the Deep State Secrets, it's Alex Jones.
[00:20:18.850 --> 00:20:23.850]  Taking on the New World Order, at point-blank range.
[00:20:26.850 --> 00:20:30.850]  All right, so how my brain works, and why this broadcast is different than most of the other broadcasts,
[00:20:30.850 --> 00:20:33.850]  and I wish the other broadcasts would pick up on this,
[00:20:33.850 --> 00:20:37.850]  is this pattern recognition and really intelligence analysis in the field.
[00:20:37.850 --> 00:20:40.850]  And then you understand the larger enemy program.
[00:20:40.850 --> 00:20:43.850]  When I see a story, I don't think about it isolated.
[00:20:43.850 --> 00:20:46.850]  I think about the history of it, the background of it.
[00:20:46.850 --> 00:20:49.850]  It would take five hours to go over all this, but this is beyond critical.
[00:20:49.850 --> 00:20:51.850]  I'm only going to spend a few minutes on it.
[00:20:51.850 --> 00:20:53.850]  I hope you listen very carefully and look at this for yourself.
[00:20:53.850 --> 00:20:56.850]  Bill Gates, the UN, the depopulationist.
[00:20:56.850 --> 00:20:58.850]  I've been obsessed for 50 years.
[00:20:58.850 --> 00:21:01.850]  With sterilization vaccines, and the UN's funded a bunch of them.
[00:21:01.850 --> 00:21:07.850]  Type in UN sterilization vaccines, UN birth control vaccines.
[00:21:07.850 --> 00:21:10.850]  You'll see it going back, and then them testing it around the world.
[00:21:10.850 --> 00:21:13.850]  Different vehicles, different ways they do it.
[00:21:13.850 --> 00:21:16.850]  And a lot of these systems end up killing the women.
[00:21:16.850 --> 00:21:22.850]  By the way, the adding the female hormone that's released in the second trimester to a tetanus shot,
[00:21:22.850 --> 00:21:27.850]  creates in over 90% of the women that take it a violent, lifelong autoimmune response
[00:21:27.850 --> 00:21:30.850]  to the hormone being released by their body,
[00:21:30.850 --> 00:21:34.850]  and causes miscarriages and stillbirths in the second trimester,
[00:21:34.850 --> 00:21:38.850]  but also then generally has the body attacking the uterus.
[00:21:38.850 --> 00:21:41.850]  And for a lot of women in the third world that don't have medical access,
[00:21:41.850 --> 00:21:46.850]  it ends up killing them, and they develop all sorts of cancers and endometriosis,
[00:21:46.850 --> 00:21:48.850]  and so on and so forth.
[00:21:48.850 --> 00:21:52.850]  And they develop all sorts of cancers and endometriosis, and so much more.
[00:21:52.850 --> 00:21:55.850]  And that's just one little program that they admit they did,
[00:21:55.850 --> 00:21:58.850]  that I thought I'd give you a little slice of.
[00:21:58.850 --> 00:22:02.850]  It's just literally 1% of 1,000 of the stuff we could cover on that front,
[00:22:02.850 --> 00:22:06.850]  how they jack things of the vaccine, and what you're told it's for is not what it's for.
[00:22:06.850 --> 00:22:09.850]  It's not a vaccine.
[00:22:09.850 --> 00:22:11.850]  In 2015, it was a major scandal.
[00:22:11.850 --> 00:22:16.850]  We've covered ad nauseum since it happened, not just once they moved to Wuhan.
[00:22:16.850 --> 00:22:20.850]  At Chapel Hill, North Carolina, at the University of Texas in Galveston,
[00:22:20.850 --> 00:22:23.850]  and a bunch of other universities, but they were the lead groups,
[00:22:23.850 --> 00:22:27.850]  under an Obama-Fauci national directive,
[00:22:27.850 --> 00:22:35.850]  injecting mice with all sorts of virus vector and mRNA SARS family injections.
[00:22:35.850 --> 00:22:38.850]  That's how they knew it caused heart attacks and blood clots and killed the mice.
[00:22:38.850 --> 00:22:41.850]  That's how the FDA knew in October of 2020, they said,
[00:22:41.850 --> 00:22:43.850]  this is going to happen when we give you the shots,
[00:22:44.850 --> 00:22:46.850]  and they put it on their own website just to let you know.
[00:22:46.850 --> 00:22:47.850]  It's their weird game.
[00:22:47.850 --> 00:22:49.850]  They tell you, oh, it's safe, it's effective, it's been tested.
[00:22:49.850 --> 00:22:50.850]  It had been tested.
[00:22:50.850 --> 00:22:52.850]  It actually was experimental.
[00:22:52.850 --> 00:22:54.850]  They told the public it was experimental.
[00:22:54.850 --> 00:22:58.850]  It was highly tested.
[00:22:58.850 --> 00:23:01.850]  A lot of it shows they actually tested it in different parts of the world,
[00:23:01.850 --> 00:23:04.850]  like Asia and Africa, and killed a bunch of people as well.
[00:23:04.850 --> 00:23:06.850]  We know they've done other mRNA studies that killed a bunch of people.
[00:23:06.850 --> 00:23:07.850]  That's admitted.
[00:23:07.850 --> 00:23:09.850]  That's why, for 25 years, they could never get it approved,
[00:23:09.850 --> 00:23:12.850]  because it killed so many people, depending on what the mRNA was being used for.
[00:23:12.850 --> 00:23:15.850]  But it always killed some of the people and caused autoimmune diseases,
[00:23:15.850 --> 00:23:19.850]  liquefaction of the liver, horrible things like that.
[00:23:19.850 --> 00:23:23.850]  So they moved the really dangerous stuff to Ukraine,
[00:23:23.850 --> 00:23:27.850]  and Obama even made press announces at the time,
[00:23:27.850 --> 00:23:29.850]  oh, we're building biodefense labs in Ukraine,
[00:23:29.850 --> 00:23:31.850]  right after they had to move that out.
[00:23:31.850 --> 00:23:32.850]  But they also moved it to Wuhan.
[00:23:32.850 --> 00:23:36.850]  So once they released it, they could blame the Chinese.
[00:23:36.850 --> 00:23:40.850]  And believe me, I'm not a fan of the Communist Chinese and what they do,
[00:23:40.850 --> 00:23:43.850]  but they've come out and said the globalists launched the attack,
[00:23:43.850 --> 00:23:44.850]  the Russians have said it.
[00:23:44.850 --> 00:23:45.850]  I already knew that.
