[00:00:00.209 --> 00:00:01.770]  What you're witnessing?
[00:04:03.863 --> 00:04:12.391]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:04:12.391 --> 00:04:22.420]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:04:22.920 --> 00:04:28.982]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:04:28.982 --> 00:04:33.643]  Find out everything from where to get water in an emergency to geographic income levels.
[00:04:33.643 --> 00:04:39.865]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:04:39.865 --> 00:04:46.627]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:04:46.627 --> 00:04:51.968]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium at
[00:04:52.028 --> 00:04:53.129]  At 888-803-4438.
[00:04:53.129 --> 00:04:56.491]  And tell them Alex Jones sent you.
[00:04:56.491 --> 00:04:58.052]  That's 888-803-4438.
[00:04:58.052 --> 00:05:05.838]  Or order online at berkeywater.com.
[00:05:05.838 --> 00:05:08.240]  Waging war on corruption.
[00:05:08.240 --> 00:05:17.586]  Alex Jones on the GCN Radio Network.
[00:05:17.586 --> 00:05:18.187]  Big Brother.
[00:05:18.872 --> 00:05:20.633]  Mainstream media.
[00:05:20.633 --> 00:05:22.394]  Government cover-ups.
[00:05:22.394 --> 00:05:23.974]  You want answers?
[00:05:23.974 --> 00:05:25.535]  Well, so does he.
[00:05:25.535 --> 00:05:29.717]  He's Alex Jones on the GCN Radio Network.
[00:05:29.717 --> 00:05:35.319]  And now, live from Austin, Texas, Alex Jones.
[00:05:35.319 --> 00:05:40.141]  Matt Kazee is a Genesis listener.
[00:05:40.141 --> 00:05:41.962]  He's also involved in the 9-11 Truth Movement.
[00:05:41.962 --> 00:05:43.922]  I was just talking to him during the break.
[00:05:43.922 --> 00:05:47.604]  And he's agreed to go on the record with his full name, Matt Kazee.
[00:05:48.459 --> 00:05:50.441]  K-A-Z-E-E.
[00:05:50.441 --> 00:05:53.324]  And he's gonna get the floor now with this Virginia shooting.
[00:05:53.324 --> 00:05:54.926]  They're now saying it could be as many as 34 dead.
[00:05:56.607 --> 00:05:59.549]  And we have some audio clips that are going to be coming up as well here.
[00:05:59.549 --> 00:06:00.690]  We'll continue to take your phone calls.
[00:06:00.690 --> 00:06:03.652]  I meant to get into the big 9-11 developments on Rosie O'Donnell.
[00:06:03.652 --> 00:06:05.233]  We've got to keep pushing and exposing that.
[00:06:05.233 --> 00:06:09.536]  Can't let this shooting become the total distraction, but it is important.
[00:06:09.536 --> 00:06:13.779]  And it's either a complete nut or it has a lot of telltale earmarks of a black op.
[00:06:13.779 --> 00:06:17.642]  Now, you're there living on campus a block away from where a lot of this happened.
[00:06:17.642 --> 00:06:19.563]  You're right in the middle of it.
[00:06:19.563 --> 00:06:23.906]  Start with what you heard, what you saw, what the first media reports were.
[00:06:23.906 --> 00:06:24.607]  Walk us through it.
[00:06:24.607 --> 00:06:25.107]  Take your time.
[00:06:25.862 --> 00:06:29.943]  Alright, this morning I woke up to a loudspeaker going off.
[00:06:29.943 --> 00:06:33.144]  I thought it was somebody driving by with a bullhorn, actually.
[00:06:33.144 --> 00:06:42.966]  But I found out that they had just installed these loudspeakers across campus because of the last school shooting that we had, which was the first day of the school year.
[00:06:42.966 --> 00:06:44.407]  Stop right there!
[00:06:44.407 --> 00:06:46.887]  Let's go back and detail that one.
[00:06:46.887 --> 00:06:48.448]  Okay, actually I knew this guy.
[00:06:48.448 --> 00:06:52.429]  He was a kid who went to high school around here.
[00:06:52.429 --> 00:06:53.429]  Everybody knew this kid.
[00:06:54.145 --> 00:06:58.386]  Um, his brother fought in, um, the Afghanistan war.
[00:06:58.386 --> 00:07:00.826]  Um, they got in a little bit of trouble.
[00:07:00.826 --> 00:07:08.027]  Uh, they, listen, his brother, uh, tried to rob an ATM machine and he was involved with some other type of robbery.
[00:07:08.027 --> 00:07:12.008]  He broke out of jail, killed, um, maybe three people.
[00:07:12.008 --> 00:07:13.948]  Two of them were cops.
[00:07:13.948 --> 00:07:21.630]  And, uh, the, the brother, um, like I said, because he was his brother and involved, apparently involved in this, they just gave him 35 years.
[00:07:21.630 --> 00:07:21.670]  Um,
[00:07:24.065 --> 00:07:28.686]  But the whole community has been shook up by this terrible tragedy that we just had.
[00:07:28.686 --> 00:07:38.588]  And today... So it all starts with an Afghan operator, an American troop who'd been in combat.
[00:07:38.588 --> 00:07:40.849]  He was... That was the brother of the shooter.
[00:07:40.849 --> 00:07:43.229]  I understand, but it's all tied into that.
[00:07:43.229 --> 00:07:44.469]  Just like with the tower.
[00:07:44.469 --> 00:07:46.430]  Please continue.
[00:07:46.430 --> 00:07:49.710]  Anyway, so they had installed these loudspeakers.
[00:07:49.710 --> 00:07:51.011]  That's what I heard this morning was...
[00:07:53.038 --> 00:07:56.119]  Basically an alert, a warning that there is a shooter on campus.
[00:07:56.119 --> 00:08:00.740]  Please stay indoors, stay off the streets, stay away from windows.
[00:08:00.740 --> 00:08:15.303]  I heard that for maybe 20 minutes before it actually hit the news and when the news came on it was that there was a shooter on campus, that maybe two people or three people had been shot, but no confirmation of any of that.
[00:08:15.899 --> 00:08:21.203]  And as it developed, we were just flooded with ambulances and rescue.
[00:08:21.203 --> 00:08:24.945]  The whole SWAT team showing up right out and very close by here.
[00:08:24.945 --> 00:08:28.067]  And we went out and started talking to people on the street to find out what was going on.
[00:08:28.067 --> 00:08:35.532]  Well, this is also a victim disarmament zone because under federal law, none of the citizens can have guns that live on campus.
[00:08:35.532 --> 00:08:39.074]  So it's a perfect place for a black op because nobody's got guns.
[00:08:39.074 --> 00:08:40.755]  Please continue.
[00:08:40.755 --> 00:08:44.638]  Yes, and it was basically pretty well known
[00:08:45.333 --> 00:08:56.280]  Early on, the first word was that there were multiple shooters, and I think that had to do with how many people it was being reported that were killed.
[00:08:56.280 --> 00:09:05.146]  He killed three people, or at least shot three people, killed at least one of those three, I think maybe all three, a few blocks away from here.
[00:09:05.146 --> 00:09:07.988]  I'm making a prediction, a guesstimation.
[00:09:07.988 --> 00:09:10.770]  I bet he's going to be an Iraq or Afghan vet.
[00:09:12.927 --> 00:09:15.069]  Yeah, well, we'll see if that comes true.
[00:09:15.069 --> 00:09:15.689]  You never know.
[00:09:15.689 --> 00:09:19.452]  Because if they're not going to be our cops... This was right on top of the ROTC, by the way.
[00:09:19.452 --> 00:09:21.013]  Oh, it happened by the ROTC?
[00:09:21.013 --> 00:09:26.777]  Oh, no, it's... Literally half a block away from the ROTC buildings and all the ROTC dorms.
[00:09:26.777 --> 00:09:28.318]  Yeah, it's the military.
[00:09:28.318 --> 00:09:37.304]  And watch, he's going to be disappeared for the last few months, and then we'll dig out that he was at a special installation being given psychiatric care.
[00:09:37.304 --> 00:09:39.826]  Because, you know, this happens over and over again.
[00:09:39.826 --> 00:09:40.226]  Oh, I'm sorry.
[00:09:40.226 --> 00:09:40.747]  Please continue.
[00:09:41.403 --> 00:09:42.044]  No, no, no.
[00:09:42.044 --> 00:09:48.650]  I'll tell you what I did hear about that was that it was a kid who was going to a specific classroom.
[00:09:48.650 --> 00:09:50.292]  Now this is not confirmed.
[00:09:50.292 --> 00:09:51.913]  This was one of the last things that I heard.
[00:09:51.913 --> 00:09:55.557]  It was a kid going to a specific classroom because of whatever.
[00:09:55.557 --> 00:09:59.281]  Some people were making fun of him or whatever.
[00:09:59.281 --> 00:10:01.623]  So they're now saying it's a trench coat mafia type deal?
[00:10:02.432 --> 00:10:09.598]  Uh, that's what, the media's not saying anything locally as far as whether they've actually got the guy or not.
[00:10:09.598 --> 00:10:15.362]  Stay there, stay there, tell us more on the other side, eyewitness.
[00:10:15.362 --> 00:10:22.208]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:10:22.208 --> 00:10:29.854]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:30.535 --> 00:10:37.979]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:37.979 --> 00:10:49.725]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:49.725 --> 00:10:53.688]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:53.688 --> 00:10:55.949]  It's an anthology of government crimes.
[00:10:55.949 --> 00:10:59.791]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:11:00.391 --> 00:11:07.377]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:11:13.508 --> 00:11:18.771]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:11:18.771 --> 00:11:28.876]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box, so it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[00:11:28.876 --> 00:11:32.217]  It's simply the best personal water filtration system available.
[00:11:32.217 --> 00:11:35.639]  So effective, you can drink raw, untreated water from lakes, rivers, and streams.
[00:11:35.979 --> 00:11:45.583]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:11:45.583 --> 00:11:49.324]  It even reduces radon-222, lead, and other heavy metals.
[00:11:49.324 --> 00:11:56.687]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:11:56.687 --> 00:11:58.107]  Get the Berkey Sport for only $39.
[00:11:58.107 --> 00:11:59.768]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:12:04.850 --> 00:12:06.451]  Order your Berkey Sport today.
[00:12:06.451 --> 00:12:12.713]  That's toll-free, 888-803-4438, or order on the web at berkeywater.com.
[00:12:12.713 --> 00:12:17.715]  Times are tough right now, but there are a lot of different ways to get ourselves out of this mess.
[00:12:17.715 --> 00:12:21.957]  Providing for our own food, water, and power are a good start.
[00:12:21.957 --> 00:12:28.499]  As you may have heard by now, Ken's Solar has been configuring alternative energy packages for over a decade.
[00:12:28.499 --> 00:12:32.821]  One of Ken's most popular items right now is the new solar-powered generator.
[00:12:33.061 --> 00:12:38.623]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[00:12:38.623 --> 00:12:44.304]  Getting yourself onto solar power is one of the most liberating things you can do for yourself and your family.
[00:12:44.304 --> 00:12:52.346]  The solar-powered generator will run your lights, fan, electric blanket, your refrigerator, and a whole slew of household items.
[00:12:52.346 --> 00:13:01.009]  Visit Ken's website at KenSolar.com for free downloads, free videos and how-to's, and of course the new solar-powered generator.
[00:13:01.309 --> 00:13:05.793]  Enter the GCN coupon code during your order and save an additional 10%.
[00:13:05.793 --> 00:13:09.876]  Get a solar-powered generator now from KenSolar.com.
[00:13:09.876 --> 00:13:12.978]  That's KenSolar.com.
[00:13:12.978 --> 00:13:18.402]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:13:18.402 --> 00:13:23.506]  Because there's a war on for your mind.
[00:13:23.506 --> 00:13:27.349]  Alright, huge new 9-11 truth developments with Rosie O'Donnell.
[00:13:27.349 --> 00:13:30.232]  I haven't even had a chance to get to yet because
[00:13:31.889 --> 00:13:35.670]  This mass shooting, it could be as many as 34 dead.
[00:13:35.670 --> 00:13:38.290]  The number continues to go up.
[00:13:38.290 --> 00:13:41.371]  I kept saying on air, folks, you're going to have some university or high school shooting.
[00:13:41.371 --> 00:13:43.771]  It could be as many as 100 dead.
[00:13:43.771 --> 00:13:48.612]  That's what I've been saying in the past, because these black ops are just bad news.
[00:13:48.612 --> 00:13:57.994]  Not to mention all the brainwashed drug addict youth that is just snorting methamphetamine and playing 15 hours of video games a day, where all they do is mass shoot people.
[00:13:57.994 --> 00:13:59.774]  Those were developed by the Pentagon.
[00:14:01.135 --> 00:14:07.638]  To instinctively block the inhibition towards splattering innocent people.
[00:14:07.638 --> 00:14:10.400]  And it's just instinctive firing.
[00:14:10.400 --> 00:14:20.585]  Because in the past, going back 30, 40, 50 years, you had a few mass shooters, but they'd start shooting little kids or women and children in a McDonald's and they'd start throwing up, getting sick.
[00:14:20.585 --> 00:14:22.386]  Because you're built not to do that.
[00:14:22.386 --> 00:14:27.869]  You're built to feel good when somebody attacks you and they're big and bad and you strike back and they hit the ground.
[00:14:28.855 --> 00:14:30.276]  I mean, that's instinctive.
[00:14:30.276 --> 00:14:33.176]  I mean, you're designed, really, you have almost morals built into you.
[00:14:33.176 --> 00:14:38.798]  And then when you break that code, I guess, and then sin against, you know, your very nature, I don't know how to explain it.
[00:14:38.798 --> 00:14:44.160]  The point is, I'm getting off into just how people operate.
[00:14:44.160 --> 00:14:50.202]  It's just absolutely amazing that they had victim disarmament, total gun ban on all the campuses in America.
[00:14:50.202 --> 00:14:57.704]  I had a friend one time who was, UT campus is just giant, and he was walking across just a corner of campus.
[00:14:58.903 --> 00:15:03.964]  And the cops saw that he had a fanny pack and he had a concealed carry.
[00:15:03.964 --> 00:15:05.445]  They walked over and said, what is that?
[00:15:05.445 --> 00:15:06.645]  He said, oh, that's my concealed carry.
[00:15:06.645 --> 00:15:09.346]  And they said, boom, up against the wall, put it up against the bus stop.
[00:15:09.346 --> 00:15:11.586]  And he was literally about 10 feet on the campus.
[00:15:11.586 --> 00:15:17.208]  They just wait, lurking to get our best and brightest and most upright citizens.
[00:15:17.208 --> 00:15:20.129]  By the way, all the gun grabbers, we're about to go back to our guest.
[00:15:20.129 --> 00:15:20.969]  I'm going to go back to Mark.
[00:15:22.771 --> 00:15:29.895]  Because he there who is on campus, ladies and gentlemen, literally just a block from where the shooting was going on.
[00:15:29.895 --> 00:15:32.277]  We're going to be talking to him in just a moment.
[00:15:33.596 --> 00:15:49.305]  I had another friend who had forgotten about the federal law and was walking across campus and going to a Patriot meeting and some cops showed up because he was giving people silver, $8 at the time, little silver pieces, $10 pieces that were really worth about $8.
[00:15:49.305 --> 00:15:53.307]  He was showing them to people, you know, liberty money and going, oh, look at this great.
[00:15:53.307 --> 00:15:58.490]  And the cops thought that was illegal and then came to arrest him for just, they thought it was counterfeit.
[00:15:58.490 --> 00:15:59.711]  They thought you're not allowed to have
[00:16:00.431 --> 00:16:02.912]  Silver struck, you know, other than the government.
[00:16:02.912 --> 00:16:13.755]  Remember the guy who went and bought like a $50 item at Best Buy with $2 bills, and the clerks thought it was illegal, the manager thought it was illegal.
[00:16:13.755 --> 00:16:17.255]  They were all so dumb that they thought that was counterfeit.
[00:16:17.255 --> 00:16:18.796]  You see, that's one reason they want to dumb us down.
[00:16:18.796 --> 00:16:21.857]  And a lot of the public, folks, is literally retarded now.
[00:16:21.857 --> 00:16:25.938]  They've been conditioned to do nothing but entertainment, so they never have any of their own thoughts.
[00:16:25.938 --> 00:16:27.158]  And they're totally dumb.
[00:16:28.150 --> 00:16:29.251]  And remember that case?
[00:16:29.251 --> 00:16:29.911]  He went to jail.
[00:16:29.911 --> 00:16:30.931]  They went ahead and arrested him.
[00:16:30.931 --> 00:16:33.192]  The cops thought it was fake, too.
[00:16:33.192 --> 00:16:34.593]  None of the cops that showed up.
[00:16:34.593 --> 00:16:36.774]  And then, of course, the higher-ups went, you idiots!
[00:16:36.774 --> 00:16:37.694]  Let him go!
[00:16:37.694 --> 00:16:38.594]  Two-dollar bills!
[00:16:38.594 --> 00:16:39.555]  What are you talking about?
[00:16:39.555 --> 00:16:43.136]  You know, they got him signing a Declaration of Independence on the back.
[00:16:43.136 --> 00:16:43.796]  They're really neat.
[00:16:43.796 --> 00:16:47.158]  I've got a couple of them.
[00:16:47.158 --> 00:16:52.820]  It's just unbelievable, ladies and gentlemen, that I've had to go speak at UT.
[00:16:54.675 --> 00:16:59.912]  while i was getting death threats and while really scary people are coming around i mean i mean you talk about uh...
[00:17:01.435 --> 00:17:17.284]  And I had a police officer bodyguard there and he couldn't even, well one of my listeners, now I never had bodyguards in the past, but there was a guy in a black trench coat going around, he went to another meeting I was at and was pulling his hand out and pointing it at me like it was a gun at the back of the, I mean, really scaring everybody.
[00:17:17.284 --> 00:17:19.725]  So I, and everybody's like, no, you gotta have a bodyguard, you gotta have a bodyguard.
[00:17:19.725 --> 00:17:21.486]  So I said, okay, I'll get one.
[00:17:21.486 --> 00:17:22.226]  Couldn't have a gun.
[00:17:22.226 --> 00:17:28.870]  I mean, even a cop couldn't have a gun on their off-duty on federal property, on God property, you know, state property under federal law.
[00:17:30.090 --> 00:17:32.932]  Uh, so, that's how it works, folks.
[00:17:32.932 --> 00:17:35.734]  And, uh, that's how America operates.
[00:17:35.734 --> 00:17:37.055]  Everybody's like, wear a bulletproof vest.
[00:17:37.055 --> 00:17:38.556]  I'm like, no, I'm not going to wear a bulletproof vest.
[00:17:38.556 --> 00:17:39.877]  I'm frankly not worried about it.
[00:17:39.877 --> 00:17:42.278]  I don't want to die, but I'm just, I'm not worried about it.
[00:17:42.278 --> 00:17:44.179]  I'm not going to live in fear.
[00:17:44.179 --> 00:17:47.561]  And, uh, you know, that's just the way it is.
[00:17:47.561 --> 00:17:49.843]  Uh, but, uh, the cop was wearing a bulletproof vest.
[00:17:49.843 --> 00:17:51.464]  He was just going to tackle.
[00:17:51.464 --> 00:17:54.946]  He actually had two cops there, but I'm already digressing and some other people.
[00:17:54.946 --> 00:17:59.189]  But, um, and that's a real cop, you know, ready to tackle somebody.
[00:18:00.489 --> 00:18:04.811]  But of course you have the UT police there, totally worthless.
[00:18:04.811 --> 00:18:07.212]  I mean literally folks, when there's a shooter, they run and hide.
[00:18:07.212 --> 00:18:08.372]  And that basically happened here.
[00:18:08.372 --> 00:18:09.413]  But I'm going to shut up.
[00:18:09.413 --> 00:18:13.194]  Let's play about a minute and a half clip of somebody on a cell phone with the gunshots going off.
[00:18:13.194 --> 00:18:14.995]  And we'll go back to our eyewitness guest.
[00:18:14.995 --> 00:18:15.275]  Here it is.
[00:18:23.067 --> 00:18:27.089]  Okay, Jamal Alberguti is, I believe, on the phone with us now.
[00:18:27.089 --> 00:18:31.011]  Jamal, pretty unbelievable pictures that you have there.
[00:18:31.011 --> 00:18:32.171]  I'm hoping.
[00:18:32.171 --> 00:18:36.173]  It was a little frightening watching because it seemed like you were pretty darn close.
[00:18:36.173 --> 00:18:38.655]  We first heard a series of shots.
[00:18:38.655 --> 00:18:40.675]  We see the officers.
[00:18:40.675 --> 00:18:49.119]  Can't tell if those shots are coming from their guns or from possibly the person inside the building or outside of the building.
[00:18:49.119 --> 00:18:52.161]  Tell us what you were able to see with your own naked eye.
[00:18:53.519 --> 00:19:01.444]  Well, the first thing I saw is when the policemen started taking their guns out, and then I knew that this was serious.
[00:19:01.444 --> 00:19:06.907]  I really didn't hear anything about the shooting that happened in A.J.
[00:19:06.907 --> 00:19:11.830]  But when I saw the guns, I knew that this isn't another bomb threat.
[00:19:11.830 --> 00:19:16.453]  Then I started hearing some gunshots far away.
[00:19:16.453 --> 00:19:21.376]  It seemed to me that they were not at Norris Hall, the building where the cops were just
[00:19:22.159 --> 00:19:23.661]  We're good to go.
[00:19:41.952 --> 00:19:52.880]  And there was a person in the building trying, on the second floor, at Norris, trying to tell the cops that he's in there, and probably trying to guide them in.
[00:19:52.880 --> 00:19:55.342]  Now, Jamal, were you able to hear that person?
[00:19:55.342 --> 00:20:03.028]  And again, just to be clear for our viewers, this is apparently Norris Hall, the site of the second shooting that took place at Virginia Tech this morning.
[00:20:03.028 --> 00:20:09.353]  Jamal, you were able to hear some type of conversation between somebody on the second floor and the police officers outside?
[00:20:09.953 --> 00:20:13.498]  Well, I wasn't, but I saw his hand from the window.
[00:20:13.498 --> 00:20:18.785]  He was trying to reach outside the window to talk to the cops.
[00:20:18.785 --> 00:20:20.967]  So, this is what I saw.
[00:20:20.967 --> 00:20:26.955]  I didn't actually hear him talking to them, but he was... Well, he was talking to them.
[00:20:26.955 --> 00:20:28.537]  I did not hear what he said.
[00:20:29.324 --> 00:20:31.365]  I was a little bit far away from there.
[00:20:31.365 --> 00:20:42.131]  Alright, now after we see the pictures here that you were able to capture with your cell phone, we see that you actually moved quite a bit closer as the police went on down, I assume inside the building.
[00:20:42.131 --> 00:20:45.713]  What happened after all of that?
[00:20:45.713 --> 00:20:52.636]  Well, I wasn't able to see anything because a cop came from behind me and he asked me to leave the area.
[00:20:52.636 --> 00:20:54.757]  I imagine so, for your safety, obviously.
[00:20:56.781 --> 00:20:59.343]  Going to our eyewitness who lives on campus.
[00:20:59.343 --> 00:21:00.884]  He is a 9-11 truther.
[00:21:00.884 --> 00:21:04.186]  He reminded me that he has called in to the show before.
[00:21:04.186 --> 00:21:09.830]  And again, ladies and gentlemen, this is happening at the Virginia Tech College.
[00:21:09.830 --> 00:21:17.295]  They're in the West Ambler Johnston Hall.
[00:21:17.295 --> 00:21:19.557]  This is absolutely horrible.
[00:21:19.557 --> 00:21:20.838]  They're saying it could be well over
[00:21:22.085 --> 00:21:22.785]  34 people dead now.
[00:21:22.785 --> 00:21:25.228]  The number is just climbing.
[00:21:25.228 --> 00:21:32.495]  Now, going back to our guest, Matt Kazee.
[00:21:32.495 --> 00:21:33.996]  Matt, thank you for coming on with us.
[00:21:33.996 --> 00:21:35.998]  Please continue, and again, go back to the start.
[00:21:35.998 --> 00:21:42.004]  Go through all the facets, what you heard, the other bomb threats, and then detail what happened today.
[00:21:42.004 --> 00:21:42.605]  You've got the floor.
[00:21:43.306 --> 00:21:49.268]  I would have to say that the whole town has been on a little bit of tension because for the past week we've had multiple bomb threats.
[00:21:49.268 --> 00:21:50.348]  This happened a week ago.
[00:21:50.348 --> 00:21:56.009]  We had cleared out campus right over here where this, where the second shooting was.
[00:21:56.009 --> 00:22:07.232]  Then they had at the end of the week, I guess this was probably, it was probably Friday, I'm not sure, but at the end of the week they had another, they had three multiple bomb threats in one day.
[00:22:08.044 --> 00:22:11.927]  And they brought in every vehicle that they could.
[00:22:11.927 --> 00:22:13.468]  They had the whole place covered.
