[00:00:02.058 --> 00:00:04.350]  Let's go!
[00:03:17.182 --> 00:03:19.322]  We'd start with 250, 500.
[00:03:19.322 --> 00:03:23.283]  How could you do that without consulting us?
[00:03:23.283 --> 00:03:26.784]  In his infinite stupidity, Illinois Governor J.B.
[00:03:26.784 --> 00:03:30.505]  Pritzker responded to the exponential numbers of migrants
[00:03:30.805 --> 00:03:45.103]  Flooding Illinois by signing off on HB 3751, a controversial bill allowing foreign nationals to become law enforcement officers, a move that critics blasted as madness.
[00:03:45.103 --> 00:03:49.368]  We can now expect thousands of similar tragedies like this one.
[00:03:49.768 --> 00:03:56.934]  A former Minneapolis police officer could face more than 15 years in prison for shooting and killing an unarmed yoga teacher.
[00:03:56.934 --> 00:04:02.098]  Mohamed Noor was found guilty yesterday of murdering Justine Damon.
[00:04:02.098 --> 00:04:07.143]  Noor was responding to Damon's 911 call nearly two years ago when he opened fire.
[00:04:07.737 --> 00:04:11.178]  Illinois Governor Pritzker has crossed the Rubicon.
[00:04:11.178 --> 00:04:18.679]  What message does this legislation send when it allows people who do not have legal status to become the officers of our laws?
[00:04:18.679 --> 00:04:27.261]  This is a potential crisis of confidence in law enforcement at a time when our officers need all the public confidence they can get.
[00:04:27.261 --> 00:04:35.803]  Pritzker is forcing Americans to reclaim their streets in what will explode into the civil war the left insists on fomenting.
[00:04:36.283 --> 00:04:41.144]  They got one more time to deal with it, because otherwise, next time they deal with it, they're going to deal with it from the streets.
[00:04:41.144 --> 00:04:42.665]  We're going to take over.
[00:04:42.665 --> 00:04:45.765]  Nobody's going to be able to stop us from what we're going to do to them.
[00:04:45.765 --> 00:04:50.366]  John Bowne reporting.
[00:04:50.366 --> 00:04:51.627]  We're live.
[00:04:51.627 --> 00:04:53.107]  It's Friday, August 4th, 2023.
[00:04:53.107 --> 00:05:00.709]  The Q Shaman is joining us live, and a lot more coming up today.
[00:05:00.709 --> 00:05:05.550]  For everything the globalists hit us with, God, through Mother Nature, has given us the answer.
[00:05:06.397 --> 00:05:06.557]  I don't
[00:05:28.905 --> 00:05:30.667]  Because that's who we're getting it from.
[00:05:30.667 --> 00:05:33.370]  Made right here in Central Texas.
[00:05:33.370 --> 00:05:37.014]  Our private label name is Rebel Zen.
[00:05:37.014 --> 00:05:42.620]  Rebel Zen is a private label of one of the top three or four CBD makers in the country.
[00:05:42.620 --> 00:05:45.443]  It's based right here in Texas and we're giving it to you at 30% off.
[00:05:45.443 --> 00:05:46.544]  And here's what's even crazier.
[00:05:47.245 --> 00:05:49.205]  30% off of what they're selling it for.
[00:05:49.205 --> 00:05:52.446]  They're selling theirs for 30% off what their competitors are.
[00:05:52.446 --> 00:05:56.807]  So this is the highest rated, already at the lowest price, now even a lower price.
[00:05:56.807 --> 00:05:57.587]  Rebels In.
[00:05:57.587 --> 00:06:07.269]  Get yours at InfoWarsStore.com now.
[00:06:07.269 --> 00:06:15.830]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe you've got
[00:06:18.496 --> 00:06:23.760]  From the front lines of the Information War, it's Alex Jones!
[00:06:43.201 --> 00:06:50.284]  If I was the Deep State and I wanted to destroy America, I would rig the election with a puppet candidate.
[00:06:50.284 --> 00:06:54.246]  One that was so compromised that they would never say a word about it.
[00:06:54.246 --> 00:06:57.187]  I would create a false flag that allows for mail-in ballots.
[00:07:34.082 --> 00:07:34.943]  We're good to go.
[00:08:22.327 --> 00:08:25.489]  Thank you for joining us on this live Friday, August 4th, 2023 broadcast.
[00:08:25.489 --> 00:08:28.111]  I'm your host, Alex Jones.
[00:08:28.111 --> 00:08:31.513]  Let me now calmly tell you what's coming up today.
[00:08:31.513 --> 00:08:37.937]  The Q Shaman will be joining us to respond to Trump's arrest for January 6th.
[00:08:37.937 --> 00:08:46.383]  In the second hour, Dr. Peter McCullough with unbelievable information and developments in the COVID crisis.
[00:08:46.383 --> 00:08:49.445]  And their next move against humanity will be in the third hour.
[00:08:49.445 --> 00:08:51.006]  We'll be hosting into the fourth hour.
[00:08:52.383 --> 00:08:53.684]  Ahead of Owen Schroer, 3 p.m.
[00:08:53.684 --> 00:08:57.626]  Central, with the vaunted War Room.
[00:08:57.626 --> 00:09:04.370]  Okay, we're going to get into all the incredible Trump developments, and there's a lot, and it's amazing.
[00:09:04.370 --> 00:09:14.815]  Like the Washington Post and the New York Times and others admitting that Trump is invincible, that Trump is, quote, insurmountable.
[00:09:14.815 --> 00:09:17.837]  Nobody has lost a primary after holding a lead like Trump's.
[00:09:19.289 --> 00:09:20.950]  It goes on and on.
[00:09:20.950 --> 00:09:28.334]  Donald Trump leads the GOP race by a historically insurmountable primary margin.
[00:09:28.334 --> 00:09:32.816]  But they have a plan to beat him via fraud.
[00:09:32.816 --> 00:09:36.818]  They're trying to make it illegal to point out that there's massive election fraud going on.
[00:09:36.818 --> 00:09:41.500]  And what's the number one rule of the State Department that polices the world's elections?
[00:09:41.500 --> 00:09:47.924]  The first sign that an election in a country is not kosher is not on the up and up.
[00:09:48.922 --> 00:09:55.745]  It's not above board, and that it's a fraud is that you're not supposed to question or investigate.
[00:09:55.745 --> 00:10:00.447]  That's numero uno.
[00:10:00.447 --> 00:10:05.890]  Number two, that there aren't paper ballots tallied at the precinct level, and then it goes from there.
[00:10:05.890 --> 00:10:14.553]  And every one of the checklists that the State Department uses to call other elections fraudulent, they have failed according to their own roster.
[00:10:14.553 --> 00:10:15.454]  And I think that should be
[00:10:16.897 --> 00:10:21.459]  Exhibit one for Trump in the kangaroo situation in DC.
[00:10:21.459 --> 00:10:24.160]  But I've been through it with these judges and I've watched what they do to others.
[00:10:24.160 --> 00:10:26.101]  They're not going to let Trump defend himself.
[00:10:26.101 --> 00:10:32.123]  So all this talk about, oh, he'll get discovery now.
[00:10:32.123 --> 00:10:36.264]  Don't be naive.
[00:10:36.264 --> 00:10:39.786]  So we have this incredible group of five stacks.
[00:10:41.107 --> 00:10:45.270]  All incredible that I'll cover first after I tell you what else is coming up.
[00:10:45.270 --> 00:10:48.453]  These five stacks right here are amazing.
[00:10:48.453 --> 00:10:50.974]  We've got to get to all of them.
[00:10:50.974 --> 00:10:54.557]  Then you see these three stacks right here.
[00:10:54.557 --> 00:10:55.978]  One, two, three.
[00:10:55.978 --> 00:10:59.521]  Each stack is about a half inch thick.
[00:10:59.521 --> 00:11:02.203]  There's over 60 articles and videos right here.
[00:11:04.714 --> 00:11:19.859]  Mass pedophilia, mass promotion of pedophilia, mass promotion of sex with children by professors and administrators and psychologists, including NBC News.
[00:11:19.859 --> 00:11:29.322]  Promoting children as young as five being taken to sex camps, LGBTPS camps.
[00:11:29.322 --> 00:11:31.043]  S is for Satan, P is for pedophilia.
[00:11:33.511 --> 00:11:44.014]  I was in Omaha three or four weeks ago, because my wife's dad had a heart problem and almost died, but he's bounced back.
[00:11:44.014 --> 00:11:53.657]  And when I walk out of the hotel one day, in downtown, because he lives close to downtown, the old part of the city, the hospital was nearby, and there was a gay pride parade.
[00:11:53.657 --> 00:11:58.698]  And they were wearing the Target shirts that have devils on them and that say Pride Month
[00:11:59.844 --> 00:12:04.188]  But in the middle, that spells demon with demons on their shirts, and I got photos of it.
[00:12:04.188 --> 00:12:06.249]  I showed them to you.
[00:12:06.249 --> 00:12:11.113]  You cannot make up the bizarreness and the over-the-topness of this.
[00:12:11.113 --> 00:12:17.318]  Groomer alert, NBC News promotes Pride Summer Camp for LGBT kids ages 15 to 13.
[00:12:17.318 --> 00:12:25.585]  Remember 10 years ago, or 12 years ago or so, at the Boy Scout Jamboree, more than 50,000 people attended.
[00:12:25.585 --> 00:12:27.486]  They handed out condoms to children as young as 7.
[00:12:28.817 --> 00:12:40.499]  And of course then there was a bunch of rape of children that happened to that and those lawsuits have now brought down the Boy Scouts of America.
[00:12:40.499 --> 00:12:44.700]  FBI finds 206 traffic victims including small children.
[00:12:44.700 --> 00:12:52.341]  Award-winning ABC journalist who debunked Pizzagate pleads guilty in horrific child porn case admitted to raping small children was seeking baby rape.
[00:12:52.341 --> 00:12:56.142]  And of course just take one look at the guy.
[00:12:57.759 --> 00:13:00.580]  You want this guy to babysit your children?
[00:13:00.580 --> 00:13:02.680]  Who would think that guy wants to rape babies?
[00:13:02.680 --> 00:13:04.461]  I don't know.
[00:13:04.461 --> 00:13:05.621]  Can't.
[00:13:05.621 --> 00:13:06.841]  Make it.
[00:13:06.841 --> 00:13:08.021]  Up.
[00:13:08.021 --> 00:13:09.182]  So those are those three stacks.
[00:13:09.182 --> 00:13:12.062]  So I just told you about these five, and now we've told you about three more.
[00:13:12.062 --> 00:13:17.004]  We've got 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15 other stacks.
[00:13:17.004 --> 00:13:20.605]  Let me tell you what's in those stacks.
[00:13:20.605 --> 00:13:25.966]  BlackRock and Vanguard have basically taken over all the main food distribution centers, not just here, but worldwide.
[00:13:27.065 --> 00:13:38.111]  And centralizing food production technologies and now they're moving to cut off the food supply and the resources to grow the food, namely the fertilizer.
[00:13:38.111 --> 00:13:45.355]  Continuing a CNN poll, half of Americans think the economy is getting worse despite months of stronger economic news.
[00:13:45.355 --> 00:13:48.057]  And I've got a big stack of graphs and articles and reports.
[00:13:48.820 --> 00:13:56.870]  With even third-party analyst groups that are very respected saying, our economy is shot to hell and you don't need me to tell you that, you're all experiencing it.
[00:13:56.870 --> 00:13:59.333]  Inflation's off the chart.
[00:13:59.333 --> 00:14:05.320]  And they're like, why do people believe the conspiracy theory that things aren't honky-dory?
[00:14:07.383 --> 00:14:08.163]  We've got that stacked.
[00:14:08.163 --> 00:14:16.406]  Then I've got incredible videos out of New York and photos of the tens of thousands of illegal aliens that they haven't been able to hide.
[00:14:16.406 --> 00:14:20.508]  All over the streets, garbage tents everywhere, overflow hotels.
[00:14:20.508 --> 00:14:22.449]  We're going to be going over all of that.
[00:14:22.449 --> 00:14:30.592]  Also, Tafari Campbell's drowning death, reportedly bloodied and beat up, found dead outside Obama's house, floating in the water.
[00:14:30.592 --> 00:14:31.512]  There's a big cover up there.
[00:14:34.417 --> 00:14:42.361]  Huge numbers of kids permanently damaged by lockdowns and major study fines.
[00:14:42.361 --> 00:14:48.685]  Some good news, Oklahoma governor issues executive order defining biological sex.
[00:14:48.685 --> 00:14:54.168]  Jim Jordan launches investigation into Biden Facebook censorship scheme.
[00:14:54.168 --> 00:15:03.553]  A bunch of news on what's happening in Ukraine, the fact that Ukraine has collapsed, the resistance has collapsed, and the head propagandist for Ukraine
[00:15:05.686 --> 00:15:28.170]  Is this Bozo the Clown person that looks even more ridiculous than Admiral Levine, who really cares about your kid's pee-pee, transsexual to lead Ukraine's army English language propaganda, but already the top propagandist in English language in Ukraine, is a man that left his family to put on a wig and say that he's a girl.
[00:15:28.170 --> 00:15:29.451]  Can't make that up.
[00:15:29.451 --> 00:15:31.611]  Oh, and this guy's also bragging in the videos.
[00:15:32.841 --> 00:15:40.324]  That an American citizen that they've grabbed and are basically torturing, that it's a good thing and they're proud of it.
[00:15:40.324 --> 00:15:42.985]  Very nice people.
[00:15:42.985 --> 00:15:44.325]  It's all coming up today.
[00:15:44.325 --> 00:15:47.946]  InfoWars.com forward slash show is the coordinates of victory.
[00:15:47.946 --> 00:15:49.447]  You decide to share it, we win.
[00:15:49.447 --> 00:15:50.647]  You don't, we lose.
[00:15:50.647 --> 00:15:52.388]  InfoWars.com forward slash show.
[00:15:52.388 --> 00:15:53.408]  Man.video.
[00:15:53.408 --> 00:15:54.529]  NewsWars.com.
[00:15:54.529 --> 00:15:55.489]  You know what to do.
[00:15:55.489 --> 00:15:57.670]  Take action now on this mission if you choose to accept it.
[00:15:59.329 --> 00:16:04.867]  Tell us about the products, how we support you, how we support all of ourselves, and the big event coming up.
[00:16:05.979 --> 00:16:06.899]  Well, yeah.
[00:16:06.899 --> 00:16:15.082]  The first one, obviously, you can go to MyPillow.com, use that promo code ALEX, and you can get all these great discounts on all of our products.
[00:16:15.082 --> 00:16:20.904]  And just by visiting this site, you're going to get a $20 free gift emailed to you immediately.
[00:16:20.904 --> 00:16:28.287]  And there's the biggest special we have right now, the 20-year anniversary MyPillow for 1998 for the queen size, normally $69.98.
[00:16:29.747 --> 00:16:36.550]  We're celebrating our anniversary with what my employees love to invest, producing and making the MyPillow.
[00:16:36.550 --> 00:16:46.075]  And the model of businessmen and women with can-do know-how using the money for Americana freedom to fight the globalists is what they fear.
[00:16:46.075 --> 00:16:47.595]  That's what the debanking is about.
[00:16:47.595 --> 00:16:49.416]  That's what the financial attacks are about.
[00:16:49.416 --> 00:16:57.020]  That's why we've got to rush to support MyPillow.com and InfoWars.com, plus their great products at both places, because we are the tip of the spear.
[00:16:59.608 --> 00:17:02.209]  It's been three years since we had it.
[00:17:02.209 --> 00:17:03.309]  We got it back in stock.
[00:17:03.309 --> 00:17:05.609]  The amazing 30 parts per million.
[00:17:05.609 --> 00:17:09.390]  Highest quality colloidal silver in all the great things and all the great uses.
[00:17:09.390 --> 00:17:10.390]  Back in stock.
[00:17:10.390 --> 00:17:11.670]  Limited supply.
[00:17:11.670 --> 00:17:14.751]  Infowarsstore.com.
[00:17:14.751 --> 00:17:15.191]  30% off.
[00:17:15.191 --> 00:17:20.432]  And it's a very limited supply, but we have it back.
[00:17:20.432 --> 00:17:21.812]  Infowarsstore.com.
[00:17:21.812 --> 00:17:22.353]  Silver bullet.
[00:17:22.353 --> 00:17:24.193]  Colloidal silver.
[00:17:24.193 --> 00:17:25.533]  Infowars live silver bullet.
[00:17:25.533 --> 00:17:27.334]  Colloidal silver has returned.
[00:17:27.334 --> 00:17:28.634]  Silver bullet is the answer.
[00:17:30.081 --> 00:17:30.722]  Let's do it!
[00:17:59.460 --> 00:18:01.662]  The globalists are only humans.
[00:18:01.662 --> 00:18:05.666]  Yeah, they have control of the central banks, they have a lot of power, but they can be defeated.
[00:18:05.666 --> 00:18:08.869]  But some of their operations are going to take decades to stop.
[00:18:08.869 --> 00:18:17.097]  But one thing you can do right now is take control of your body and your family's body by purifying the water that you drink and that you cook with.
[00:18:17.097 --> 00:18:20.700]  And you do it with the highest quality gravity-fed filter out there.
[00:18:20.700 --> 00:18:21.541]  This thing does 10,000 gallons
[00:18:22.902 --> 00:18:25.603]  You can sit there and put hundreds of gallons through in a day.
[00:18:25.603 --> 00:18:30.163]  It purifies very quickly and it cuts out thousands of chemicals to non-detectable levels.
[00:18:30.163 --> 00:18:32.184]  This is what I use, which my family uses.
[00:18:32.184 --> 00:18:34.324]  It's the very best system out there for the lowest price.
[00:18:34.324 --> 00:18:37.125]  For a limited time, 10% off on top of that.
[00:18:37.125 --> 00:18:42.206]  Exclusively at InfowarStore.com on the Alexa Pure Water Filtration System.
[00:18:42.206 --> 00:18:45.847]  In stock and replacement filters for folks that need those in stock.
[00:18:45.847 --> 00:18:47.547]  Get it today and it funds the Infowar.
[00:18:47.907 --> 00:18:48.749]  Don't procrastinate.
[00:18:48.749 --> 00:18:55.744]  This is one of the main areas we can take control of our lives and stop the globalists from hitting us with poison that they allow in the water supply.
[00:18:55.744 --> 00:18:58.209]  In some cases they add to the water supply like fluoride.
[00:18:59.175 --> 00:19:00.756]  Hey everybody, Rodney Altbrown here.
[00:19:00.756 --> 00:19:06.119]  I want to thank Alex Jones and InfoWars for offering scholarships to River University.
[00:19:06.119 --> 00:19:13.764]  Maybe you're watching InfoWars today and you don't know what to do with the problems that we face in the world today.
[00:19:13.764 --> 00:19:18.327]  You've been through COVID-19, 2019, 2021, 2022, 2023.
[00:19:18.327 --> 00:19:24.671]  But here at River University, not only do we show you what the problem is, but we show you how to deal with it.
[00:19:25.131 --> 00:19:26.272]  We're good to go!
[00:19:54.790 --> 00:20:01.659]  And get the free scholarship offered to you by InfoWars.
[00:20:01.659 --> 00:20:06.265]  Leading a frontal assault on the lies of the New World Order.
[00:20:06.265 --> 00:20:07.567]  It's Alex Jones!
[00:20:31.205 --> 00:20:42.291]  Alright, I am here, ladies and gentlemen, talking to every man, woman, and child that's tuned in, whether you live in Europe, or Africa, or Asia, or the Middle East, no matter where you live in the world.
[00:20:42.291 --> 00:20:44.772]  You can live in Antarctica, I'm talking to you.
[00:20:44.772 --> 00:20:48.054]  And all ships at sea.
[00:20:48.054 --> 00:20:54.597]  We're under globalist attack, we're under a globalist takeover designed to cut off our resources, bring in a global cashless society, and make us eat bugs.
[00:20:55.856 --> 00:20:58.297]  Sterilizes, forced injectors, it's all out in the open.
[00:20:58.297 --> 00:21:01.898]  You know the dystopia I warned you of was real now.
[00:21:01.898 --> 00:21:03.638]  A real blueprint, a real plan.
[00:21:03.638 --> 00:21:07.719]  I watched the globalists building their plan.
[00:21:07.719 --> 00:21:09.680]  I opposed their plan.
[00:21:09.680 --> 00:21:16.642]  We were unable to stop their plan, but now because people have been warned and they see the plan, resistance is mounting.
[00:21:16.642 --> 00:21:24.964]  Russell Brand, Joe Rogan, Tucker Carlson, Patrick Bette David, Tulsi Gabbards, RFK Jr.,
[00:21:29.212 --> 00:21:30.373]  The list goes on and on.
[00:21:30.373 --> 00:21:34.376]  Are now singing from the Alex Jones sheet of music.
[00:21:34.376 --> 00:21:37.960]  And I'm not going to let out any inside RFK Jr.
[00:21:37.960 --> 00:21:40.001]  baseball, but I'll just say this.
[00:21:40.001 --> 00:21:42.123]  He's been to town lately.
[00:21:42.123 --> 00:21:45.526]  There's been some dinners that have gone on and taken place, and
[00:21:46.923 --> 00:21:53.266]  Obviously, if he comes on the show, they've used that against him, but he's on board and knows we're right.
[00:21:53.266 --> 00:22:01.050]  And that's why he's been saying things that he knows will be then connected to what we're doing, like the chemicals in the water and the frogs and all that being accurate.
[00:22:01.050 --> 00:22:02.331]  Same thing with Tulsi Gabbards.
[00:22:02.331 --> 00:22:03.671]  I know people that are very close to her.
[00:22:03.671 --> 00:22:04.892]  You heard Mickey Willis talk about it.
[00:22:04.892 --> 00:22:05.692]  I'm going to leave it at that.
[00:22:05.692 --> 00:22:08.473]  But let's just say it's like Fight Club.
[00:22:08.473 --> 00:22:09.174]  They're on the team.
[00:22:11.164 --> 00:22:20.586]  So as negative as things are, understand your support of this broadcast has put forward an operation that people know is dead on, and they're all tuned in.
[00:22:20.586 --> 00:22:25.787]  RFK Jr., Joe Rogan, Tucker Carlson, Tulsi Gabbards, Jimmy Dore.
[00:22:25.787 --> 00:22:31.228]  The list goes on and on and on and on and on and on and on.
[00:22:31.228 --> 00:22:38.130]  And so this operation, myself, the crew, the listeners, the guests, all of us are recognized as the leader.
[00:22:40.307 --> 00:22:43.389]  And I say that not to say, hey, we're really cool.
[00:22:43.389 --> 00:22:48.332]  No, to say great job, listeners and viewers, and your support, your prayer, your word of mouth, and your financial support.
[00:22:48.332 --> 00:22:48.813]  You did this.
[00:22:48.813 --> 00:22:51.394]  I'm going to hit the news, but I want to say this.
[00:22:51.394 --> 00:22:52.375]  You want somebody to stand up?
[00:22:52.375 --> 00:22:53.176]  You want somebody to fight?
[00:22:53.176 --> 00:22:54.036]  We've done it.
[00:22:54.036 --> 00:22:55.177]  You want somebody to deliver victory?
[00:22:55.177 --> 00:22:55.757]  We've done it.
[00:22:55.757 --> 00:22:57.819]  You've done it.
[00:22:57.819 --> 00:23:00.000]  And I'm sick of treading water.
[00:23:00.000 --> 00:23:00.721]  I've told the crew.
[00:23:00.721 --> 00:23:02.382]  I've told everybody else around here.
[00:23:03.342 --> 00:23:11.988]  We're going to expand and hire more reporters and have more shows and be more aggressive or we're going to shut this down.
[00:23:11.988 --> 00:23:18.492]  And I'm just going to go work with some other outfits that are ready to give me reporters crew in the whole nine yards.
[00:23:18.492 --> 00:23:21.194]  And there'll be big announcements next Tuesday.
[00:23:21.194 --> 00:23:22.015]  And I'll leave it at that.
[00:23:23.797 --> 00:23:27.138]  Because I'm already going with that plan regardless.
[00:23:27.138 --> 00:23:29.519]  Because they work around the clock to shut me down.
[00:23:29.519 --> 00:23:31.920]  They think I'm doing this for money.
[00:23:31.920 --> 00:23:34.201]  I do this for money to fund things.
[00:23:34.201 --> 00:23:40.484]  But at the end of the day, I am again wearing about a 10 year old shirt right now because I don't want new crap.
[00:23:40.484 --> 00:23:41.984]  I don't care about crap.
[00:23:41.984 --> 00:23:45.706]  I don't give a rat's ass about trinkets or titles or any of that.
[00:23:45.706 --> 00:23:48.147]  I care about victory and taking these people on.
[00:23:49.491 --> 00:23:55.395]  I'm like a sheepdog bred to take on wolves, and I want to tear their ass apart.
[00:23:55.395 --> 00:23:56.136]  That's what I want to do.
[00:23:56.136 --> 00:23:57.617]  I want to fight wolves.
[00:23:57.617 --> 00:23:59.618]  That's what I'm asking you to keep me in the game for.
[00:23:59.618 --> 00:24:05.883]  You've done it, and so you've got my commitment that I'm born again harder than ever, and I'm energized.
[00:24:07.022 --> 00:24:10.525]  But I need you to go to infowarestore.com, plus you need these products.
[00:24:10.525 --> 00:24:11.225]  It's a win-win.
[00:24:11.225 --> 00:24:12.466]  I need you to go there.
[00:24:12.466 --> 00:24:19.292]  We've got to end the sale, I'm told, by next Wednesday, because they're about to run out of the Lexapur water filtration system.
[00:24:19.292 --> 00:24:22.134]  We'll get more in a month or so, but it's very low.
[00:24:22.134 --> 00:24:24.956]  They've even sold out a lot of the storable food they've got.
[00:24:24.956 --> 00:24:29.420]  So they're getting ready for a pause, because the sale's been really good, but we have tiny margins in it.
[00:24:30.233 --> 00:24:32.114]  Because the deals are so good.
[00:24:32.114 --> 00:24:39.836]  10% off water filtration, air filtration, highest rated, high quality storable food, lowest price for high quality food you're going to find.
[00:24:39.836 --> 00:24:42.696]  Ready to ship, full catalog, Infowarsstore.com.
[00:24:42.696 --> 00:24:44.317]  You cannot get a better deal.
[00:24:44.317 --> 00:24:49.138]  We have the top firm in the U.S., the top people, we have the top quality.
[00:24:49.138 --> 00:24:53.539]  You've only got four or five days left to get 10% off, and then we'll go back to the regular Artie Gray price.
[00:24:53.539 --> 00:24:55.320]  Take advantage of that, and it supports the broadcast.
[00:24:56.343 --> 00:24:57.524]  We finally got it back in stock.
[00:24:57.524 --> 00:24:58.945]  Vitamin Mineral Fusion.
[00:24:58.945 --> 00:25:00.746]  Sold out for almost six months.
[00:25:00.746 --> 00:25:04.409]  All the vitamins, all the minerals, the amino acids, everything you need.
[00:25:04.409 --> 00:25:06.891]  Deficiencies are almost all the problems out there.
[00:25:06.891 --> 00:25:07.972]  Plus, it really tastes great.
[00:25:07.972 --> 00:25:10.334]  A little scoop of it in a pitcher every day.
[00:25:10.334 --> 00:25:13.516]  You drink it, your wife drinks it, your kids drink it.
[00:25:13.516 --> 00:25:14.217]  Everybody drinks it.
[00:25:14.217 --> 00:25:15.258]  It tastes great.
[00:25:15.258 --> 00:25:16.258]  It's amazing.
[00:25:16.258 --> 00:25:17.660]  Vitamin Mineral Fusion, back in stock.
[00:25:17.660 --> 00:25:19.881]  Infowarsstore.com.
[00:25:19.881 --> 00:25:20.161]  Also,
[00:25:21.275 --> 00:25:30.222]  30 parts per million, top lab in the country, private label it, haven't had it for three years, silver bullet, little silver, back in stock, InfoWarsTore.com.
[00:25:30.222 --> 00:25:35.405]  For your heart, your lungs, your cardiovascular system, your brain, all the stuff going on in the environment now, you need Nitric Boost.
[00:25:35.405 --> 00:25:37.066]  You've heard Dr. Judy Mikovits and others.
[00:25:37.066 --> 00:25:38.167]  Get it, it's discounted.
[00:25:38.167 --> 00:25:39.088]  We have the big sale going.
[00:25:41.104 --> 00:25:42.725]  Christmas comes in August.
[00:25:42.725 --> 00:25:45.167]  Right now double Patriot points as well.
[00:25:45.167 --> 00:25:49.651]  And we have the regular 1000mg CBD and the gummies and all the rest of it.
[00:25:49.651 --> 00:25:50.451]  Full spectrum.
[00:25:50.451 --> 00:25:51.352]  Highly rated.
[00:25:51.352 --> 00:25:52.573]  Tested by third party labs.
[00:25:52.573 --> 00:25:56.436]  They go, oh my God, how are you selling the highest quality for 50% what anybody else is?
[00:25:56.436 --> 00:25:57.677]  Well, because we don't put 100-200% markup in it.
[00:25:57.677 --> 00:25:59.118]  We've got a 50% markup on it.
[00:25:59.118 --> 00:26:00.900]  We want to be the best.
[00:26:04.036 --> 00:26:11.742]  We've got another Top Lab, the other stuff's made in America, that's got 3,000 milligram and incredible salve for your joints and bones.
[00:26:11.742 --> 00:26:14.945]  Super high quality, full spectrum CBD.
[00:26:14.945 --> 00:26:17.127]  3,000 milligram.
[00:26:17.127 --> 00:26:24.152]  Private label by us, 30% off what this leading producer based outside Austin, Texas in Dripping Springs makes it for.
[00:26:24.152 --> 00:26:27.855]  I had to really twist their arm because they sell all over the country under different names.
[00:26:27.855 --> 00:26:29.517]  We've got it at the lowest you'll get it anywhere.
[00:26:29.517 --> 00:26:30.577]  Rebels Inn, 33% off.
[00:26:30.577 --> 00:26:31.018]  Infowarsstore.com.
[00:26:34.045 --> 00:26:34.465]  I don't know.
[00:26:51.704 --> 00:26:52.545]  Toothpaste we have.
[00:26:52.545 --> 00:26:54.366]  My dad, a retired dentist and oral surgeon.
