[00:00.000 --> 00:12.720]  The year is 2020.
[10:47.160 --> 10:51.360]  claim oh this is about race that's why the country is burning, that's why this is happening
[10:51.360 --> 10:57.280]  and Trump's got to step down to stop the burning and the looting and Atlantic Monthly and the
[10:57.280 --> 11:04.320]  Democrats have come out since I saw them set this up months ago and admitted it and Trump
[11:04.320 --> 11:11.240]  has come out and said they are setting it up so now when somebody shoots themselves in
[11:11.240 --> 11:24.160]  the head you burn down and loot Minneapolis again, same thing for Kenosha and the media
[11:24.160 --> 11:30.000]  is calling the control corporate enemy of the people media is calling for Tucker Carlson
[11:30.000 --> 11:34.720]  to be fired again because he said when the police can't have law and order and the governors
[11:34.720 --> 11:39.880]  stand down and the blue states are run by criminals and they encourage murder and looting
[11:39.880 --> 11:46.960]  and attacks and communist militia checkpoints stop police citizens you name it in many cases
[11:46.960 --> 11:53.520]  shooting people in the head you're gonna have a power vacuum filled where people are gonna
[11:53.520 --> 12:00.520]  start hitting the streets to protect property and that's exactly what happened with a man
[12:00.520 --> 12:08.360]  who I think is a hero and who took action I'm not glad that people have been shot even
[12:08.360 --> 12:14.000]  though all three of these guys look like they're pretty bad scumbags but you're going to see
[12:14.000 --> 12:19.200]  people stand up and say no to the communists it doesn't matter how much CNN tells you or
[12:19.200 --> 12:26.000]  how many times they put up a lower third saying fiery but mostly peaceful protesters after
[12:26.000 --> 12:33.600]  police shooting with fire behind them and gunshots going off while they're saying it
[12:33.600 --> 12:42.280]  fiery but mostly peaceful protest after police shooting so again when somebody comes and burns
[12:42.280 --> 12:47.600]  down your church or your office or your home it's peaceful when we drop the atomic bombs
[12:47.600 --> 12:53.360]  on Hiroshima and Nagasaki mostly peaceful fiery but mostly peaceful when the Hindenburg
[12:53.360 --> 13:04.800]  Blimp caught on fires that hydrogen non-helium as its lift gas fiery but mostly peaceful
[13:04.800 --> 13:12.480]  the sun is fiery but mostly peaceful they bombed the bikini islands vaporizing them
[13:12.480 --> 13:18.480]  with hydrogen bombs it was fiery but mostly peaceful this is the double speak mind control
[13:18.480 --> 13:23.880]  they shoveled at us and here's Tucker Carlson last night laying out the facts that he's
[13:23.880 --> 13:29.640]  been demonized for in the daily caller was standing nearby when a man was shot in the
[13:29.640 --> 13:34.800]  head McGinnis ripped off his t-shirt and used its try and staunch the man's bleeding here's
[13:34.800 --> 14:00.800]  the steam
[14:00.800 --> 14:10.520]  sorry for the painful video but it's real that man later died at one point the 17 year
[14:10.520 --> 14:14.400]  old who's now been charged tried to run from the mob he tripped and fell in the middle
[14:14.400 --> 14:18.640]  of the street a man ran up and smashed him in the head with a skateboard the 17 year
[14:18.640 --> 14:44.800]  old then fired his gun
[14:44.800 --> 14:50.240]  so what is that amount to we're unsure a court will decide whether what you just saw qualifies
[14:50.240 --> 14:56.000]  as self-defense as if tonight we really don't have more details we do know why it all happened
[14:56.000 --> 15:01.640]  though Kenosha is devolved into anarchy because the authorities in charge of the city abandoned
[15:01.640 --> 15:08.240]  it people in charge from the governor of Wisconsin on down refused to enforce the law they stood
[15:08.240 --> 15:13.920]  back and they watched Kenosha burn so he really surprised that looting in arson accelerated
[15:13.920 --> 15:19.200]  to murder how shocked are we that 17 year olds with rifles decided they had to maintain
[15:19.200 --> 15:26.080]  order when no one else would that's right fiery but mostly peaceful so a convicted pedophile
[15:26.080 --> 15:32.680]  and two other criminals are chasing this guy one of them gets shot the young man runs again
[15:32.680 --> 15:39.000]  and a man wearing a pentagram bathroomette face mask we have the video runs up smacking
[15:39.000 --> 15:44.640]  him over the head with a skateboard he gets shot another man with a handgun extends it
[15:44.640 --> 15:51.720]  to shooting and the young man basically blows half his arm off and they charged him with
[15:51.720 --> 15:57.120]  murder with the highest level of murder he could he could face life in prison this is
[15:57.120 --> 16:04.040]  a maximum alert a maximum alert as of taking this alert you're 82 days out from the election
[16:04.040 --> 16:08.520]  as many of you know in the last year I pointed out statements out of the council on farm
[16:08.520 --> 16:13.640]  relations and other globalist organs that they know Trump is going to win in a landslide
[16:13.640 --> 16:20.040]  so their strategy will be to contest the election if they fail to successfully steal it then
[16:20.040 --> 16:24.440]  they are openly now wargaming this is in the new york times having democrat states and
[16:24.440 --> 16:30.080]  cities secede from the union just like they've ignored trumps policies and coronavirus and
[16:30.080 --> 16:34.600]  kept their areas locked down that is nothing but a dress rehearsal they are saying they're
[16:34.600 --> 16:40.000]  going to have their own separate inauguration not in DC they said in another city Colossia
[16:40.000 --> 16:47.200]  said this when they crowned Biden and Kamala Harris ladies and gentlemen this is the organized
[16:47.200 --> 16:52.240]  civil war this is their public criminal plan we should be praying we should be spreading
[16:52.240 --> 16:56.240]  the word we should be demanding trouble in the office to expose this criminal activity
[16:56.240 --> 17:02.000]  that democrats are just going more and more left many positive about socialism liking
[17:02.000 --> 17:07.480]  it more than capitalism many of the ideas we fought for that were considered radical
[17:07.480 --> 17:14.280]  are now mainstream the radical left has taken over the democratic party and Joe Biden is
[17:14.280 --> 17:19.760]  marching in lockstep with them Biden and the far left are promising to crush middle class
[17:19.760 --> 17:24.760]  families with trillions in new taxes if you elect me your taxes are going to be raised
[17:24.760 --> 17:30.760]  not cut promising amnesty and health care for 11 million illegal immigrants citizenship
[17:30.760 --> 17:36.880]  for 11 million undocumented folks promising to shut down energy exploration killing jobs
[17:36.880 --> 17:45.440]  and hurting America's economy guarantee in Joe Biden's America the radical left get whatever
[17:45.440 --> 17:51.480]  they want and you get to pay for it they've already taken over Joe Biden and the democratic
[17:51.480 --> 18:02.440]  party don't let them take over America you're listening to the Alex Jones show
[01:34.420 --> 18:25.360]  now I said today I'm going to get into the secrets of victory against
[18:25.360 --> 18:30.400]  the globalist what they're planning next how to stop them at all I'll do that the
[18:30.400 --> 18:36.720]  start of the next segment but just getting back to the brainwashing the gaslighting the
[18:36.720 --> 18:42.840]  oxymoronic level of seeing in MSNBC all the usual suspects saying these are mostly peaceful
[18:42.840 --> 18:46.280]  protest you know they call them peaceful the last three four months but now they call
[18:46.280 --> 18:51.680]  them mostly peaceful with fire shooting up and gunshots going off and all the rest of
[18:51.680 --> 18:58.440]  it in any excuse will go now just oh a black guy shot himself in the head okay well it's
[18:58.440 --> 19:05.320]  white people's fault because white people are inherently bad so look at these articles
[19:05.320 --> 19:13.400]  right here go fund me promotes fundraiser for anti for hero close quote who gave his life
[19:13.400 --> 19:25.000]  attacking Kyle written house on camera fundraising it go fund me for the hero after attacking
[19:25.000 --> 19:34.960]  17 year old Kyle written house on camera and then you can see photos and video of the individual
[19:34.960 --> 19:41.200]  attacking him and then being shot smashing with deadly weapon the skateboard over his
[19:41.200 --> 19:48.440]  head meanwhile go fund me nukes Kyle written house fundraiser allows BLM rioters receive
[19:48.440 --> 19:57.160]  over 1.3 million in bail donations then of course there's Joseph D. Rosenbaum here's
[19:57.160 --> 20:08.080]  his record registered sex offender Kenosha Wisconsin 5 3 1 4 2 raped a 12 year old girl
[20:08.080 --> 20:15.480]  aggravated you can read all about raping the little girl where he lived and what he was
[20:15.480 --> 20:22.000]  doing and oh we've got this fellow another one of the heroes here there he is shocked
[20:22.000 --> 20:29.760]  when someone fights back he's wearing his satanic bandana this satanic satanic mask his
[20:29.760 --> 20:42.920]  batho met COVID-19 mask not having a very good day there and we've got this other fellow
[20:42.920 --> 20:49.640]  another one of the individuals so this is the guy that got his arm partially blown off
[20:49.640 --> 20:54.720]  that's a felony burglary I mean there's a lot of stuff here it takes a long time to
[20:54.720 --> 20:59.240]  go over at all I don't want to mix these guys up just go go look at it for yourself there's
[20:59.240 --> 21:02.440]  all the video all the photos them chasing him and attacking him and pointing a gun in
[21:02.440 --> 21:07.720]  his face but you know they're heroes folks and the big tech giants are behind them because
[21:07.720 --> 21:16.520]  the woke mob is financed and supported and run by the establishment it's all the big
[21:16.520 --> 21:20.760]  mega banks all the big mega corporations all the big corrupt foreign authoritarian governments
[21:20.760 --> 21:29.720]  the EU the Shaikans Hollywood all ganged up with over 800 Soros finance district and county
[21:29.720 --> 21:37.440]  attorneys and state attorney generals and they've got most of them now for more than a decade
[21:37.440 --> 21:44.120]  he's been financing them he's getting sheriffs in too and then I've got some of the articles
[21:44.120 --> 21:50.400]  here they're announcing all over the country that they're not going to prosecute burglars
[21:50.400 --> 21:56.680]  car thieves your car can be stolen and chopped up and sold your house be broken into in fact
[21:56.680 --> 22:02.480]  I've got I see cases every day now in areas run by Soros where people beat and rape women
[22:02.480 --> 22:09.520]  where people a stab individuals for no reason and they're released without even paying a
[22:09.520 --> 22:17.840]  fine crime skyrocketing as Portland police can no longer respond to calls amid fatigue
[22:17.840 --> 22:22.240]  record retirements and riot resources but they want the police to come out and give
[22:22.240 --> 22:30.080]  you fines or arrest you if you're not wearing your mask properly oh but your church or synagogue
[22:30.080 --> 22:35.280]  or mosque it can't be open in New York but black lives matter is a key demonstration
[22:35.280 --> 22:40.800]  it is promoted and it's a good thing oh but if you want to procop rally the Bosio says
[22:40.800 --> 22:48.880]  you can't have it meanwhile comes up Kenosha man Jacob Blake had weapon in the car he was
[22:48.880 --> 22:57.200]  going for of course black lives matter writers burned much of the black business district
[22:57.200 --> 23:02.920]  also very very smart leftist Kenosha writer allegedly shot in head by call right now so
[23:02.920 --> 23:10.960]  it's convicted pedophile again it just goes on and on let me show you some more of these
[23:10.960 --> 23:17.280]  articles Seattle rioters tried to barricade police and building to burn them alive brag
[23:17.280 --> 23:27.840]  about it on video and it goes on and on and on Oregon opens coronavirus relief fund only
[23:27.840 --> 23:32.440]  for black community now they're just using blacks for that when government can start
[23:32.440 --> 23:36.920]  giving money to only certain groups they can politically control them and they can give
[23:36.920 --> 23:40.760]  it to their aid groups that divvy the money up and skim off the top that's called total
[23:40.760 --> 23:44.000]  discrimination and that's what they're trying to set up through this they're just using
[23:44.000 --> 23:52.920]  blacks as a pawn here's another one Soros DA Deanna Bekton requires offices consider
[23:52.920 --> 24:00.800]  whether a looter needed stolen goods before charging oh I needed these stolen goods well
[24:00.800 --> 24:09.400]  that's okay then daily caller reporter robbed at gunpoint during Minneapolis riots folks
[24:09.400 --> 24:16.440]  have a lot of courage but that's the type of stuff that's going on meanwhile Berlin fans
[24:16.440 --> 24:26.280]  protest against pandemic restrictions deploys thousands of police but if you're communist
[24:26.280 --> 24:29.880]  or other people you can march all you want but if you want to march to say stop the lockdown
[24:29.880 --> 24:34.280]  oh marches against the lockdown are illegal and big tech globally follows the UN edict
[24:34.280 --> 24:38.640]  that you're not allowed to have that speech the UN says it violates what is an article
[24:38.640 --> 24:44.960]  30 because the UN says you have all these rights given to you by the UN not by God and an article
[24:44.960 --> 24:52.280]  was at 29 30 and 31 it explains but if the UN says that it's damaging the UN or damaging
[24:52.280 --> 24:58.560]  any of the other rights they can take it away from you and so under articles 30 and 31 print
[24:58.560 --> 25:02.280]  those for me I'm going off memory I know it's I think it's all three yet for sure to
[25:02.280 --> 25:10.760]  up it's key under the universal declaration of human rights they do that hat trick where
[25:10.760 --> 25:13.720]  they say but actually you have none of these rights that's how the UN can go in and Rwanda
[25:13.720 --> 25:18.880]  or wherever Burma and just slaughter 800,000 people 20,000 people depending on where they
[25:18.880 --> 25:22.800]  are and they just come in with machine guns block off the villages and shoot everybody
[25:22.800 --> 25:26.960]  because if you don't move off land that the UN's taken and sold to an oil company or to
[25:26.960 --> 25:33.080]  a mineral company or a diamond company or a jewel company or a rare mineral company
[25:33.080 --> 25:37.280]  you're dead it'll just be a footnote the New York Times yeah the UN got criticized for
[25:37.280 --> 25:44.320]  their peacekeepers plating 120 something thousand tribal groups 120,000 people off the land
[25:44.320 --> 25:51.040]  they're reportedly a couple thousand deaths here and there but no big deal but see it's
[25:51.040 --> 26:00.600]  the United Nations with tanks and helicopters and machine guns so it's like apple getting
[26:00.600 --> 26:06.400]  their main components built in factories where people live in death camps and then are sent
[26:06.400 --> 26:10.840]  to work up taking hours day and then are killed later for their organs and it's all admitted
[26:10.840 --> 26:18.080]  but Tim Cook said it's okay because he's good good good gay as long as you're gay and hop
[26:18.080 --> 26:23.440]  around the little black sweater like Bill Gates his little pink sweater it's like they if they
[26:23.440 --> 26:27.640]  were Hitler uniforms we'd fight him shit was like I'm in a you know stormtrooper outfit
[26:27.640 --> 26:32.040]  I'm dangerous well yeah we know you're dangerous but they're like oh I'm Tim Cook oh and the
[26:32.040 --> 26:39.360]  UN oh UNICEF oh it loves the children oh oh it's so good it's so sweet it's so keep the
[26:39.360 --> 26:45.640]  baby comfortable like Governor Northam does and we're under the UN control there's a lot
[26:45.640 --> 26:50.120]  more I want to get to but I'm about the secret to defeating the new world order the secret
[26:50.120 --> 26:57.120]  is being the globalist straight ahead I'm Alex Goh spread of the Live Lakes I don't have
[26:57.120 --> 27:02.280]  to tell you that fish oil is known to be so good for your brain so good for your heart
[27:02.280 --> 27:09.120]  so good for your cells your cardiovascular system your lungs sleep it's amazing well we
[27:09.120 --> 27:15.400]  set out a few years ago to go out and develop with top manufacturers the strongest highest
[27:15.400 --> 27:21.360]  quality purest fish oil out there and this blend is amazing ultimate fish oil back in
[27:21.360 --> 27:28.880]  stock at it for short on wild anchovy purified fish oil ultra pure arctic krill oil high
[27:28.880 --> 27:35.840]  quality wild caught salmon oil vitamin D vitamin E supports optimal heart health supports optimal
[27:35.840 --> 27:40.200]  joint health supports optimal cognitive health supports immune function supports vascular
[27:40.200 --> 27:45.560]  health supports circulatory health it goes on and on yet your ultimate fish oil discounted
[27:45.560 --> 27:54.880]  with free shipping right now at info or store.com and open for a while as well info or store.com
[27:54.880 --> 28:01.920]  incrementalism the inchworm effect successive approximation first they tell you only stay
[28:01.920 --> 28:07.080]  in your house for 15 days to the hospitals can stay empty that was all a fraud then wear
[28:07.080 --> 28:12.880]  a mask for a month here we are six months later then they start making people at colleges
[28:12.880 --> 28:18.960]  and at big corporations where wristbands showing that they've been quote contact traced and
[28:18.960 --> 28:24.560]  tested for covid then comes the apps on your phones and the global social credit score now
[28:24.560 --> 28:29.960]  being rolled out by virginia california and others it's not coming it's here and then
[28:29.960 --> 28:34.920]  the inoculations if you ever want to leave your house which amounts to forced inoculations
[28:34.920 --> 28:40.280]  this is the medical tyranny takeover these are not classic vaccines that have their own
[28:40.280 --> 28:45.800]  problems these are dna vaccines that change your dna and are having massive serious side
[28:45.800 --> 28:51.880]  effects guaranteed this is about depopulation bill gates admits that this is an emergency
[28:51.880 --> 28:58.000]  resist or die the new world order is here it was in the telecommunications act of 1996
[28:58.000 --> 29:04.280]  that all new cell phones would track your gps location i read from the federal law and listeners
[29:04.280 --> 29:09.960]  couldn't believe me because that was unamerican now the media admits that almost every app
[29:09.960 --> 29:15.120]  and every company that are on apple and on droids don't just track your location but
[29:15.120 --> 29:21.120]  you're surfing history where you go who you talk to your relationships and they all share
[29:21.120 --> 29:25.640]  the data with each other of what you're doing on the apps as well including having apps
[29:25.640 --> 29:32.160]  turn on and listen to what you're saying just like siri or alexa do and then putting databases
[29:32.160 --> 29:37.240]  transcripts of everything you say into those systems to be saved forever your phone is
[29:37.240 --> 29:42.040]  buying on you and companies are generating secret surveillance scores based on information
[29:42.040 --> 29:47.400]  this is the global chinese communist social credit score get your protection privacy pockets
[29:47.400 --> 30:09.520]  at info war store dot com you're listening to the alex jones show the alex jones show
[30:09.520 --> 30:23.040]  because there is a war on for your mind you know i've been meaning to do this for a long
[30:23.040 --> 30:28.680]  time and i kind of feel like i should come in with a drum roll kind of feel like i should
[30:28.680 --> 30:37.040]  come in with uh maybe the old fox searchlight intro from the start of a fox produced movie
[30:37.040 --> 30:44.640]  because this really is the key to everything and it hit me about an hour before the show
[30:44.640 --> 30:48.520]  that i wanted to come on here and do this and i got busy and never could really sit
[30:48.520 --> 30:53.640]  down and write up a few notes of the points because you can have self-help books and you
[30:53.640 --> 30:58.760]  can have you know things that give people a lot of insight into things but a lot of times
[30:58.760 --> 31:06.520]  they're written by people that really plagiarize what somebody else has said and then it gets
[31:06.520 --> 31:12.520]  twisted and it doesn't really carry the same weight because there's not the same historical
[31:12.520 --> 31:19.840]  perspective and a lot of other nuances that go into it but my experience and what i've
[31:19.840 --> 31:29.040]  learned in life if it could be truly imparted to people would be very very important for
[31:29.040 --> 31:34.960]  the future of humanity and very very important for the future of you individually just from
[31:34.960 --> 31:40.520]  a purely monetary place even if you don't care about saving the world because if you're
[31:40.520 --> 31:44.160]  not trying to save the world we're going to destroy the world you got to care and try
[31:44.160 --> 31:50.920]  to save it but we're going to lose it sociopaths are like cancer if cancer had a consciousness
[31:50.920 --> 31:58.920]  or a or intelligence a self-awareness it would realize it was killing its host but it doesn't
[31:58.920 --> 32:05.200]  have a self-awareness it's a malfunction and so i'm not building this up i'm gonna take
[32:05.200 --> 32:09.640]  a few minutes off because i've got some special reports that need to be aired anyways and then
[32:09.640 --> 32:12.560]  i'm gonna go sit in the coffee room and write a few notes up on this because i had it all
[32:12.560 --> 32:19.440]  codified at my head and i was ready to do it today and i still am but i this is big
[32:19.440 --> 32:26.760]  mojo this is big medicine this is this is this is big wampum and a lot of what i'm gonna
[32:26.760 --> 32:32.080]  say you're already going to know but it's really true and it's the input to sub it and
[32:32.080 --> 32:37.800]  the action of it and the understanding that it isn't work it is it is it is growth it
[32:37.800 --> 32:46.040]  is empowerment and it's the only way so katelyn Bennett's done just a really good job with
[32:46.040 --> 32:51.600]  her latest report katelyn Bennett destroys BLM radicals it's posted it banned on video
[32:51.600 --> 32:54.440]  it's a very important report i don't have time to air the whole thing but i'm part of it
[32:54.440 --> 32:58.420]  here and then i'm gonna come back and get into the big secret and then we'll open the
[32:58.420 --> 33:07.840]  phones up next hour and get into all the other big issues but i'm gonna talk about key philosophy
[33:07.840 --> 33:12.080]  to how the world really works that you'll only discover if you've been through a bunch
[33:12.080 --> 33:16.800]  of stuff it's not like native intelligence would know all this you have to have native
[33:16.800 --> 33:21.240]  intelligence but then also interface with it and then have the long term experiences
[33:21.240 --> 33:28.320]  of it to really know what we're contending with and it makes it very easily to defeat
[33:28.320 --> 33:39.240]  the new world order until you realize one thing so we'll talk about leadership in the
[33:39.240 --> 33:44.200]  next segment here's part of katelyn Bennett when she destroys the george soros almost
[33:44.200 --> 33:48.000]  completely white and again nothing against white people it's just a bunch of horrible
[33:48.000 --> 33:51.800]  communist white people that try to go into black neighborhoods to stir up young black
[33:51.800 --> 33:58.240]  kids and mainly white child molesters i mean i told you auntie was almost all child molesters
[33:58.240 --> 34:09.200]  and and and now the dead guys child molesters devil worshipers you name it arm burglars
[34:09.200 --> 34:13.480]  i mean i don't just say they're devil worshiping child molesters i don't just pull that out
[34:13.480 --> 34:20.480]  of the sky just to say it i'm telling you what i have in 20 plus years 26 years 30 years
[34:20.480 --> 34:25.760]  on the ground almost what i have observed and now that you're seeing it come out from
[34:25.760 --> 34:30.160]  under the floorboards you're like oh that's exactly what he said i've been down in the
