[00:00:00.069 --> 00:00:01.290]  Welcome my friends.
[00:04:37.330 --> 00:04:38.290]  No, I can't.
[00:04:38.290 --> 00:04:54.516]  Jesse the Mind Ventura will be back in about two minutes on the other side of this quick break right here on the one, the only GCN Radio Network.
[00:04:54.516 --> 00:04:55.817]  It is a big idea.
[00:04:56.983 --> 00:04:58.744]  A New World Order.
[00:04:58.744 --> 00:05:03.245]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.245 --> 00:05:06.466]  It's known as the Bilderberg Group.
[00:05:06.466 --> 00:05:09.267]  Don't their objective be world domination?
[00:05:09.267 --> 00:05:12.448]  For thousands of years, their dark order grew.
[00:05:12.448 --> 00:05:19.750]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.802 --> 00:05:28.246]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.246 --> 00:05:32.109]  You will learn the secret that drives the entire New World Order agenda.
[00:05:32.109 --> 00:05:34.671]  Bill of Rights is making great progress toward a world government.
[00:05:34.671 --> 00:05:35.832]  Most people have no idea.
[00:05:35.832 --> 00:05:36.632]  They're not after money.
[00:05:36.632 --> 00:05:37.893]  They have all the money they need.
[00:05:37.893 --> 00:05:38.894]  They're after power.
[00:05:38.894 --> 00:05:40.035]  That's what Apple needs here.
[00:05:40.035 --> 00:05:44.218]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:53.440 --> 00:05:53.900]  Fact.
[00:05:53.900 --> 00:05:59.942]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:05:59.942 --> 00:06:04.283]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:06:04.283 --> 00:06:11.985]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:06:11.985 --> 00:06:12.605]  The solution.
[00:06:12.765 --> 00:06:16.987]  Detoxification integrated with Electro Qi Premier Energy Foot Spa.
[00:06:16.987 --> 00:06:26.132]  The Electro Qi Premier Energy Foot Spa helps to aid in cleansing the body of harmful toxins while energizing and oxygenating your entire body at the cellular level.
[00:06:26.132 --> 00:06:34.316]  Detoxification works with the Electro Qi Premier Energy Foot Spa because it addresses the needs of individual cells, the building blocks of human life.
[00:06:34.316 --> 00:06:38.859]  For mental clarity, restored vitality, a stronger immune system, clear skin,
[00:06:39.099 --> 00:06:43.463]  You can trace every disease, every illness, and every ailment to mineral deficiency.
[00:06:43.463 --> 00:06:46.025]  That is a quote from two-time Nobel Prize winner Linus Pauling.
[00:07:02.901 --> 00:07:12.585]  Because fruits and vegetables in their raw form are better absorbed, retained, and utilized than if heated, the Champion Juicer is the best way to get your nutrients your body craves.
[00:07:12.585 --> 00:07:16.987]  The Champion Juicer chews the fibers and breaks up the cells of vegetables and fruits.
[00:07:16.987 --> 00:07:20.828]  This gives you more fiber, enzymes, vitamins, and trace minerals.
[00:07:20.828 --> 00:07:30.872]  Juicing a combination of raw fruits and vegetables is documented to not only treat minor illness, but also is shown to reverse once-thought incurable, life-threatening diseases.
[00:07:31.112 --> 00:07:36.214]  Juicing with the Champion Juicer also promotes fast, healthy weight loss and pure body cleansing.
[00:07:36.214 --> 00:07:39.075]  Put the Champion Juicer to work for you and your family.
[00:07:39.075 --> 00:07:43.777]  Get creative with your juicer and add a grain mill attachment to make your own healthy, fresh flour.
[00:07:43.777 --> 00:07:47.998]  The Champion Juicer also makes great nut butters and frozen sorbets.
[00:07:47.998 --> 00:07:50.679]  The world's finest juicer is Champion Juicer.
[00:07:50.679 --> 00:07:52.900]  Ask for it at your favorite health food store online today.
[00:07:52.900 --> 00:07:59.843]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:01.471 --> 00:08:08.673]  He's got so many titles that I don't know which one to call him by, but we'll just go with Governor Ventura.
[00:08:08.673 --> 00:08:12.914]  Jesse the Mind Ventura with us for the rest of the hour.
[00:08:12.914 --> 00:08:17.895]  This book is titled, Don't Start the Revolution Without Me.
[00:08:17.895 --> 00:08:22.176]  I think it's a wonderful title, and it's in stores everywhere today.
[00:08:22.176 --> 00:08:24.817]  He's just launching his tour yesterday.
[00:08:24.817 --> 00:08:26.097]  We're honored to have him.
[00:08:27.371 --> 00:08:38.905]  But you could also call it The Adventures of Jesse Ventura, because it is quite a page-turner, because you've had quite a full life.
[00:08:38.905 --> 00:08:42.209]  Why did you decide to write this particular style of book?
[00:08:42.953 --> 00:08:54.963]  Well, first of all, you know, Alex, I want to explain, you know, I had two New York Times bestsellers before this book, and of course, they gave me huge front money to write that book, and it was interesting.
[00:08:54.963 --> 00:08:56.584]  I'll give you a little inside info.
[00:08:56.584 --> 00:08:59.167]  This book, we wrote it down in Mexico.
[00:08:59.167 --> 00:09:09.515]  We brought the full transcript back, Dick Russell and I. We were turned down by 24 publishers, and I already had two New York Times bestsellers.
[00:09:09.515 --> 00:09:10.996]  I found that pretty interesting.
[00:09:12.637 --> 00:09:13.620]  Are you breaking that here?
[00:09:13.620 --> 00:09:16.828]  Because I did quite a bit of research for this interview and I hadn't seen that.
[00:09:18.317 --> 00:09:19.577]  Got my what out there?
[00:09:19.577 --> 00:09:21.778]  No, I mean, is this the first time you've told this story?
[00:09:21.778 --> 00:09:22.679]  Yeah.
[00:09:22.679 --> 00:09:23.479]  Wow.
[00:09:23.479 --> 00:09:24.899]  Yeah, absolutely.
[00:09:24.899 --> 00:09:31.622]  Well, I mean, we got turned down by 24 and finally Skyhorse, which is a small publishing company in New York, picked it up.
[00:09:31.622 --> 00:09:36.143]  But the good thing is we're with Norton Distribution, which is a huge distributor.
[00:09:36.143 --> 00:09:40.485]  And that's the key, is once you get published, then you need to get it to a good distributor.
[00:09:40.485 --> 00:09:42.466]  And they're one of the biggest, so it'll be everywhere.
[00:09:43.466 --> 00:09:45.148]  You know, I wrote this book.
[00:09:45.148 --> 00:09:49.492]  I didn't take any big-front money because I truly wanted this book out there.
[00:09:49.492 --> 00:09:51.574]  I didn't care about the money on this book.
[00:09:51.574 --> 00:09:53.596]  I wanted to tell my story.
[00:09:53.596 --> 00:10:02.083]  I wanted to tell about the things that happened when I was in office because, Alex, I don't know if... Certainly, you read the book, so you know this.
[00:10:02.083 --> 00:10:04.806]  MSNBC, in essence, censored me.
[00:10:06.306 --> 00:10:09.908]  Because when I came out of office, I was the hottest commodity out there.
[00:10:09.908 --> 00:10:11.808]  I was the voice of the independent.
[00:10:11.808 --> 00:10:15.670]  CNN wanted me, MSNBC wanted me, Fox News wanted me.
[00:10:15.670 --> 00:10:21.793]  I signed with MSNBC and then essentially they wouldn't even put me on the air.
[00:10:21.793 --> 00:10:28.016]  And my contract stated that I couldn't do any news shows or I couldn't do any cable or satellite.
[00:10:28.016 --> 00:10:30.917]  And so I believe I was silenced on purpose.
[00:10:31.864 --> 00:10:33.485]  Let's stop right there, Governor Ventura.
[00:10:33.485 --> 00:10:37.086]  This is all amazing bombshells that you're dropping on us.
[00:10:37.086 --> 00:10:42.647]  First, you've had two super New York Times bestsellers.
[00:10:42.647 --> 00:10:47.769]  You've been the dark horse candidate of the people in Minnesota.
[00:10:47.769 --> 00:10:53.711]  You spurred Schwarzenegger to run and caused that whole phenomenon, and he's basically admitted it, seeing you have success.
[00:10:53.711 --> 00:10:54.711]  He went for it.
[00:10:54.711 --> 00:10:57.032]  You have this amazing history, Hollywood star,
[00:10:57.452 --> 00:11:08.218]  And you went to 20-plus publishers, and they said no, and you went to a new publisher that just fired up, what, in 2007, according to what I was reading on their site.
[00:11:08.218 --> 00:11:12.520]  I mean, that is a story of censorship alone, and their fear of your message.
[00:11:12.520 --> 00:11:16.782]  But now we're learning, and yes, you do mention the book, and of course, get into it,
[00:11:17.262 --> 00:11:27.875]  But there's so much in the book, I'd forgotten about that, that MSNBC literally muzzled you and used that contract to block you from going anywhere else.
[00:11:27.875 --> 00:11:28.536]  Exactly.
[00:11:28.536 --> 00:11:29.937]  They wouldn't put me on the air.
[00:11:29.937 --> 00:11:35.044]  And the reason for it was because I was opposed to the Iraq War before it started.
[00:11:35.764 --> 00:11:36.285]  It's suicide.
[00:11:53.186 --> 00:11:55.669]  Well, you don't do that, and yet they did it.
[00:11:55.669 --> 00:12:05.321]  You know, they pulled Phil, and then they wouldn't allow me on, and it was because Phil and I were both questioning the reasons why are we going into Iraq.
[00:12:05.321 --> 00:12:10.328]  If you believe 9-11 and what they told us, there wasn't one Iraqi even involved in it.
[00:12:10.328 --> 00:12:11.830]  Iraq did nothing to us.
[00:12:13.126 --> 00:12:13.846]  Well, that's right.
[00:12:13.846 --> 00:12:29.211]  There are still some neocon followers of what I call fake conservative news shows that still believe Saddam was the one behind the attack when Bush and Cheney admit he had nothing to do with it and actually fought against the Wahhabis based in Saudi Arabia known as Al-Qaeda.
[00:12:29.671 --> 00:12:40.736]  Well, I don't know if you can ever get Dick Cheney to admit that and George Bush, but I know that they still like to refer back and try to tie the two together all the time somehow.
[00:12:40.736 --> 00:12:42.937]  There are a few clips where they've had to admit it.
[00:12:42.937 --> 00:12:45.438]  One time, Cheney was on with Russert and had to admit it.
[00:12:45.438 --> 00:12:46.559]  Oh, okay.
[00:12:46.559 --> 00:12:50.000]  You probably watch more than I do because I'm living in Mexico now.
[00:12:50.000 --> 00:12:52.821]  You know, that's another subject that's interesting, Alex.
[00:12:52.821 --> 00:12:56.043]  This whole situation with immigration.
[00:12:57.265 --> 00:13:06.833]  I mean, I live down with all these brown-skinned people down there, and I don't know about you and where you stand on it, but I don't believe the United States needs to be East Berlin.
[00:13:14.793 --> 00:13:17.216]  Okay, well we're going to play that coming up in a little while.
[00:13:17.216 --> 00:13:21.080]  But last night you said, hey Lou Dobbs, what are you so afraid of?
[00:13:21.080 --> 00:13:25.646]  I live down, you know, in the middle of nowhere in Mexico and these brown-skinned people are pretty nice.
[00:13:25.646 --> 00:13:27.227]  They're very nice, I'll tell you.
[00:13:27.227 --> 00:13:29.089]  I have the time of my life down there.
[00:13:29.089 --> 00:13:32.894]  And Alex, I live an hour from pavement and an hour from electricity.
[00:13:34.784 --> 00:13:35.745]  Tell us about where you live.
[00:13:46.514 --> 00:13:47.615]  In my mind, what's it look like?
[00:13:47.615 --> 00:13:48.435]  Where is it?
[00:13:48.435 --> 00:13:49.336]  It's beautiful.
[00:13:49.336 --> 00:13:51.917]  Well, I don't want to get you too close.
[00:13:51.917 --> 00:13:53.458]  Don't worry, I'm not going to come down there.
[00:13:53.458 --> 00:13:57.580]  I'm just saying I can picture you in this little jungle bungalow off the beach.
[00:13:57.580 --> 00:14:00.062]  Well, trust me, it's not quite a jungle bungalow.
[00:14:00.062 --> 00:14:07.946]  It's three bedrooms, three and a half baths with a casita in the back, a two and a half car garage, my own swimming pool, and forty of my own palm trees.
[00:14:08.780 --> 00:14:09.741]  Sounds awesome.
[00:14:09.741 --> 00:14:11.242]  It's great.
[00:14:11.242 --> 00:14:13.704]  So what, you just go out and scuba dive and surf all day?
[00:14:13.704 --> 00:14:14.384]  I scuba dive.
[00:14:14.384 --> 00:14:15.845]  I hang with the surfers.
[00:14:15.845 --> 00:14:28.935]  We've got a whole group of expatriates down there, surfers, who they work up in the United States for six months, and they save their money, and then they go down and live in the arroyos on little campsites and surf all the time, and they're marvelous people.
[00:14:29.841 --> 00:14:31.162]  No, no.
[00:14:31.162 --> 00:14:38.685]  Believe me, every day I dream about moving off to some tropical paradise, so you certainly are living the life.
[00:14:38.685 --> 00:14:43.967]  So you're just coming back to the U.S., I guess, because you're so sick of seeing it turn into a police state?
[00:14:43.967 --> 00:14:46.168]  Well, I come back every year.
[00:14:46.168 --> 00:14:54.092]  I should make mention, I live there six months, and if you've ever been to Minnesota, I wouldn't wish a Minnesota winter on my worst enemy.
[00:14:55.091 --> 00:15:00.444]  Yeah, because they're brutal and after living there my whole life, so I really live as the leaves are.
[00:15:00.444 --> 00:15:02.790]  If the leaves are out, I'm in Minnesota.
[00:15:02.790 --> 00:15:04.675]  If the leaves are gone, I'm in Mexico.
[00:15:05.911 --> 00:15:10.855]  Well, this network, I'm based in Austin, but the network, Genesis Network, is based in Minneapolis, St.
[00:15:10.855 --> 00:15:13.476]  Paul, in a little area called Burnsville, I'm sure you know it.
[00:15:13.476 --> 00:15:14.157]  Sure.
[00:15:14.157 --> 00:15:15.798]  It looked well, South Minneapolis.
[00:15:15.798 --> 00:15:21.602]  And I've been up there, and let me tell you, for a Texas boy, I can't handle it when you breathe, and it feels like your teeth are going to fall out.
[00:15:21.602 --> 00:15:27.566]  Oh, it's, believe me, you don't even have to be a Texas boy, you're a Minnesota boy, and you get the same reaction.
[00:15:29.674 --> 00:15:33.297]  Let's go back to your first day as governor.
[00:15:33.297 --> 00:15:41.744]  You've just shocked the whole country, coming from nowhere in the polls to winning handily as the first major independent governor.
[00:15:41.744 --> 00:15:46.127]  I guess there's been one more before you in Minnesota history.
[00:15:46.127 --> 00:15:51.432]  You come into office and you tell the story of 20-plus CIA agents in your office.
[00:15:52.080 --> 00:15:56.942]  Well, actually, the accurate part of this is I was the second independent governor.
[00:15:56.942 --> 00:16:00.784]  Let's give credit to Governor Angus King of Maine.
[00:16:00.784 --> 00:16:05.167]  Angus served one term ahead of me and did two terms in Maine.
[00:16:05.167 --> 00:16:08.548]  He was on his second term when I was doing my first.
[00:16:08.548 --> 00:16:17.153]  He just didn't get all the publicity that I got, but Angus proved invaluable to me because he had been there four years already and done that.
[00:16:17.153 --> 00:16:19.794]  And whenever we'd go to the National Governors Convention,
[00:16:20.494 --> 00:16:36.764]  On the second day out in Washington, all the Republican governors would meet in this building, all the Democratic governors would meet in this other building, and Angus and I would take a walk on Constitution Avenue and sit down on the park bench and have the independent governors' meeting.
[00:16:36.764 --> 00:16:41.186]  But anyway, the CIA story did not happen on my first day.
[00:16:41.186 --> 00:16:48.451]  It was about three weeks into it, and I got this request, we'll call it with quotes around it, to the bowels of the Capitol.
[00:16:49.311 --> 00:17:00.714]  Basically, to be interrogated by 23 members of the CIA, of which, you know, of course, they tried to say I was lying about it, but the CIA came out and admitted that it did happen.
[00:17:00.714 --> 00:17:06.276]  In fact, I have NPR'd an investigation of it in January of this year.
[00:17:06.276 --> 00:17:09.157]  CIA confirms Ventura meeting occurred.
[00:17:09.157 --> 00:17:12.677]  Also, the Minneapolis paper also confirmed it.
[00:17:12.677 --> 00:17:13.978]  And I have the quotes here.
[00:17:13.978 --> 00:17:18.019]  At first, they said, I don't recall any indication that the governor had a meeting with CIA agents.
[00:17:18.909 --> 00:17:22.411]  And then they went on to say, you know, we don't meet with state officials.
[00:17:22.411 --> 00:17:25.352]  Then they added, now that doesn't mean it didn't happen.
[00:17:25.352 --> 00:17:28.673]  And then others implied you were lying, but then they had to admit it.
[00:17:28.673 --> 00:17:37.697]  And then it has the quotes by the CIA liaison officers saying, well, yes, we like to meet with state officials, but we don't like to talk about it.
[00:17:37.697 --> 00:17:45.741]  Well, I felt it needed to be talked about because what happened in this meeting when I went down there, bear in mind now I'm the governor.
[00:17:46.565 --> 00:17:53.350]  And I was, they were very cordial, they were very formal, they treated me with great respect, let me say that.
[00:17:53.350 --> 00:17:54.111]  But they summoned you.
[00:17:54.861 --> 00:17:55.782]  Yes.
[00:17:55.782 --> 00:18:02.246]  And so, you know, being ex-military, you kind of figure when your country summons you, you better go down and talk to them.
[00:18:02.246 --> 00:18:05.709]  But, you know, I didn't realize fully yet the power that I had as governor.
[00:18:05.709 --> 00:18:07.690]  It was all very new to me.
[00:18:07.690 --> 00:18:13.995]  So I went down into the bowels of the Capitol, and there were like 23 of them in a big half-moon circle around me.
[00:18:13.995 --> 00:18:17.177]  And you know what the scary thing, Alex, about it was?
[00:18:17.177 --> 00:18:18.258]  They were your neighbors.
[00:18:19.853 --> 00:18:27.067]  And what I mean by that is, you saw an elderly woman that looked like the lady down the street that would sweep her walk off in the morning.
[00:18:27.067 --> 00:18:28.850]  You saw young people.
[00:18:28.850 --> 00:18:32.337]  They were every race, creed, color, age you could imagine.
[00:18:33.241 --> 00:18:43.608]  And so, you know, knowing me, I'm a bit arrogant, so I said to them, I said, look, I said, before I answer any of your questions, I said, I have a few questions of my own.
[00:18:43.608 --> 00:18:51.353]  And the first one I posed was, why are you here when your charter states you're not to be operational within the United States of America?
[00:18:51.353 --> 00:18:53.174]  And what did they say?
[00:18:53.174 --> 00:18:54.555]  They didn't really give me an answer.
[00:18:55.495 --> 00:19:03.101]  You know, they hemmed and hawed and talked around it, and then I said, now I want to go around the room and I want you to tell me your name and what you do.
[00:19:03.101 --> 00:19:04.582]  Well, I'm the governor.
[00:19:04.582 --> 00:19:06.443]  Half of them wouldn't tell me their names.
[00:19:06.443 --> 00:19:08.204]  Half of them wouldn't tell me what they did.
[00:19:08.204 --> 00:19:09.185]  That's incredible!
[00:19:09.185 --> 00:19:12.828]  They expect you to meet with them, but they won't even tell you their names.
[00:19:12.828 --> 00:19:14.329]  No.
[00:19:14.329 --> 00:19:23.795]  And so I looked at them and said, well, you know, being that you're not being very cooperative with me, I'm going to find it a bit difficult to be cooperative with you.
[00:19:23.795 --> 00:19:24.356]  Amazing.
[00:19:25.320 --> 00:19:26.721]  And then it turned out.
[00:19:26.721 --> 00:19:27.962]  Here's how the story went.
[00:19:27.962 --> 00:19:29.424]  We'll stay there, Jesse Ventura.
[00:19:29.424 --> 00:19:30.324]  We gotta break.
[00:19:30.324 --> 00:19:34.167]  We'll be right back after this quick break with Governor Jesse Ventura.
[00:19:34.167 --> 00:19:35.589]  He's got a new book out.
[00:19:35.589 --> 00:19:36.770]  They're trying to censor it.
[00:19:36.770 --> 00:19:38.071]  You need to get it.
[00:19:38.071 --> 00:19:40.312]  Jesse Ventura with Dick Russell.
[00:19:40.312 --> 00:19:43.355]  Don't Start the Revolution Without Me.
[00:19:43.355 --> 00:19:45.297]  Ladies and gentlemen, there is so much in this book.
[00:19:45.297 --> 00:19:48.279]  We'll never have time to cover it in an hour, but we're gonna try.
[00:19:48.279 --> 00:19:49.160]  You gotta get the book.
[00:19:55.472 --> 00:19:58.154]  Do you know the truth about cancer treatments?
[00:19:58.154 --> 00:20:07.621]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:07.621 --> 00:20:14.727]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:15.444 --> 00:20:21.426]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:20:21.426 --> 00:20:32.210]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:20:32.990 --> 00:20:33.570]  It is a big idea.
[00:20:57.208 --> 00:20:58.970]  A New World Order.
[00:20:58.970 --> 00:21:03.453]  In the near future, Earth is dominated by a powerful new government.
[00:21:03.453 --> 00:21:06.696]  It's known as the Bilderberg Group.
[00:21:06.696 --> 00:21:09.478]  Could their objective be world domination?
[00:21:09.478 --> 00:21:12.661]  For thousands of years, their dark order grew.
[00:21:12.661 --> 00:21:19.987]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:23.013 --> 00:21:28.455]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:28.455 --> 00:21:32.336]  You will learn the secret that drives the entire New World Order agenda.
[00:21:32.336 --> 00:21:34.897]  Bill of Rights is making great progress toward a world government.
[00:21:34.897 --> 00:21:36.057]  Most people have no idea.
[00:21:36.057 --> 00:21:36.838]  They're not after money.
[00:21:36.838 --> 00:21:38.118]  They have all the money they need.
[00:21:38.118 --> 00:21:39.098]  They're after power.
[00:21:39.098 --> 00:21:40.259]  That's their aphrodisiac.
[00:21:40.259 --> 00:21:44.380]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:45.260 --> 00:21:57.253]  The Road Warrior radio broadcast bringing you the quickening.
[00:21:57.253 --> 00:22:00.857]  Are you tired of talk shows that preach over you and talk over your head?
[00:22:00.857 --> 00:22:06.723]  Eric Arthur Blair, commonly known as George Orwell, said the great enemy of clear language is insincerity.
[00:22:07.466 --> 00:22:10.267]  Are you looking for a fresh new voice in the fight for liberty?
[00:22:10.267 --> 00:22:21.232]  Then tune in to Road Warrior Radio, bringing you the quickening on the one and only GCN Network, live Sundays at 11 Pacific and 1 Central, or on demand at roadwarriorradio.com.
[00:22:21.232 --> 00:22:24.233]  The Road Warrior is a program dedicated to you, the listener.
[00:22:24.233 --> 00:22:26.854]  Are you tired of all the misinformation and lies?
[00:22:26.854 --> 00:22:29.235]  Are you hearing too much noise and not enough signal?
[00:22:29.235 --> 00:22:35.278]  The Road Warrior Radio unveils the truth and exposes the lies and disinfo that pervade society.
[00:22:35.578 --> 00:22:40.541]  Have you noticed all areas of American civics have slanted in to usher in the One World Nation State?
[00:22:40.541 --> 00:22:45.023]  The Road Warrior Radio Broadcast is dedicated to presenting the quickening at hand.
[00:22:45.023 --> 00:22:46.143]  Time is running out.
[00:22:46.143 --> 00:22:49.765]  Tune into the quickening on the Road Warrior Radio Broadcast.
[00:22:49.765 --> 00:22:52.747]  Sponsored by Free From Mortgage Debt Now dot com.
[00:22:53.789 --> 00:22:56.651]  Terror Storm, a history of government-sponsored terror.
[00:22:56.651 --> 00:22:58.213]  Loose Change Final Cut.
[00:22:58.213 --> 00:23:00.354]  Endgame, blueprint for global enslavement.
[00:23:00.354 --> 00:23:02.276]  The true story of the Bilderberg Group.
[00:23:02.276 --> 00:23:03.757]  The late great USA.
[00:23:03.757 --> 00:23:05.518]  America, freedom to fascism.
[00:23:05.518 --> 00:23:12.544]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:23:12.544 --> 00:23:16.627]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:23:16.627 --> 00:23:20.030]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:23:20.390 --> 00:23:23.173]  Or you would like a book on the history of the Federal Reserve.
[00:23:23.173 --> 00:23:26.256]  We've got the most well-researched and documented titles.
[00:23:26.256 --> 00:23:28.619]  All available at PrisonPlanet.com.
[00:23:28.619 --> 00:23:34.305]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[00:23:34.305 --> 00:23:39.270]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:23:40.311 --> 00:23:50.913]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the new world order is available right now at truthnews.us and prisonplanet.tv.
[00:23:50.913 --> 00:24:01.276]  Join the info war today.
[00:24:01.276 --> 00:24:07.817]  Former Minnesota Governor Jesse Ventura, Navy veteran, Hollywood,
