[00:00:04.500 --> 00:00:09.762]  They're live!
[00:04:47.710 --> 00:04:51.912]  Emergency broadcast is live.
[00:04:51.912 --> 00:04:57.435]  If you are receiving this transmission, you are the resistance.
[00:04:57.435 --> 00:05:02.138]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:08.126 --> 00:05:17.568]  We are the human resistance against the neo-Nazi technotronic technocracy of the New World Order masquerading as neoliberalism.
[00:05:17.568 --> 00:05:20.389]  We are the human supremacists.
[00:05:20.389 --> 00:05:22.089]  All humans welcome.
[00:05:22.089 --> 00:05:27.230]  All enemies of humanity will be defeated and will be pushed into the sea.
[00:05:27.230 --> 00:05:29.931]  Thank you for joining us on this Emergency Saturday Transmission.
[00:05:34.028 --> 00:05:36.831]  Be very clear now, how real all this is, everybody.
[00:05:36.831 --> 00:05:38.332]  We won't be able to hide anymore.
[00:05:38.332 --> 00:05:41.876]  I know because you've come here, you're not hiding.
[00:05:41.876 --> 00:05:42.577]  You want the truth.
[00:05:42.577 --> 00:05:43.278]  You know the truth.
[00:05:43.278 --> 00:05:44.639]  You've seen it for yourself.
[00:05:44.639 --> 00:05:46.140]  You don't need me to tell you.
[00:05:46.140 --> 00:05:47.282]  And you want to fight back.
[00:05:50.154 --> 00:05:53.555]  All right, we got a huge Saturday broadcast lined up for you today.
[00:05:53.555 --> 00:06:10.841]  I've been extremely distracted in the last week with this show trial in Austin, Texas, where the corrupt Soros-backed New World Order judge, former CPS child grabber, found me guilty in both the Sandy Hook lawsuits against me.
[00:06:10.841 --> 00:06:13.542]  Same with the Connecticut judge.
[00:06:13.542 --> 00:06:15.062]  In defaults, unprecedented.
[00:06:15.062 --> 00:06:18.784]  Defaults are if you don't show up or give over any documents.
[00:06:18.784 --> 00:06:19.444]  We did everything.
[00:06:22.037 --> 00:06:24.578]  And she's telling the jury every day he is guilty.
[00:06:24.578 --> 00:06:27.959]  And she's told me and my lawyers, we can't say we're innocent.
[00:06:27.959 --> 00:06:30.759]  This has never before been seen by anybody.
[00:06:30.759 --> 00:06:37.101]  Even mainline law sites are saying this is unprecedented.
[00:06:37.101 --> 00:06:41.522]  Texas Monthly says it's unprecedented, but I deserve it because I'm a bad person.
[00:06:41.522 --> 00:06:47.884]  I'd just like to set the precedent with yours truly to deplatform folks and censor people en masse and debunk us.
[00:06:47.884 --> 00:06:50.065]  As a beta test for everybody else, it's now happening to us.
[00:06:51.596 --> 00:06:58.202]  I'm going to hit that first, exclusive information on InfoWars parent company.
[00:06:58.202 --> 00:07:05.007]  When I say InfoWars, I mean the show, I mean the crew or operations.
[00:07:05.007 --> 00:07:11.733]  Free speech systems went into bankruptcy Friday.
[00:07:11.733 --> 00:07:14.636]  And the reason I did that, I'll explain here in just a moment.
[00:07:14.636 --> 00:07:15.957]  Then we're going to hit what's really important.
[00:07:16.809 --> 00:07:18.469]  Why they want to take us out.
[00:07:18.469 --> 00:07:22.990]  We can't be on air during the next phase of the designed global collapse.
[00:07:22.990 --> 00:07:29.111]  You saw that incredibly powerful Gregory's report that just went live a few hours ago at Band.Video and InfoWars.com.
[00:07:29.111 --> 00:07:33.052]  The environmentalist Trojan horse of the depopulation death cult.
[00:07:33.052 --> 00:07:45.614]  And I made a film in 1997 talking about walled off cities and in 2007 talking about walled off cities where you live within a wall and aren't allowed to leave it.
[00:07:47.022 --> 00:07:52.166]  Well, now that's being announced to be built in Canada, the U.S., Saudi Arabia, and other areas.
[00:07:52.166 --> 00:07:57.890]  They plan to demolish everything and force you into these coffin-like city systems.
[00:07:57.890 --> 00:07:59.771]  So that's all coming up.
[00:07:59.771 --> 00:08:03.514]  UN World Economic Forum behind global war on farmers.
[00:08:03.514 --> 00:08:07.077]  A big, thick, zero-hedge article that I can tell you is dead on.
[00:08:07.077 --> 00:08:10.319]  The Epoch Times also reported it originally.
[00:08:10.319 --> 00:08:12.701]  And it goes through their admissions of how they are
[00:08:13.578 --> 00:08:18.321]  You know, war against farmers all over the world and here in the United States.
[00:08:18.321 --> 00:08:26.947]  Global food crisis, restaurant czar, biggest restaurant, expects winter shortages, tells public to stock up now.
[00:08:26.947 --> 00:08:32.130]  I've talked to all the, all but a lot of the people that are involved, the highest levels of food production.
[00:08:32.130 --> 00:08:37.634]  They say it is, it is incredible what is already unfolding and what is about to happen.
[00:08:37.634 --> 00:08:39.595]  That is all coming up today.
[00:08:42.924 --> 00:09:02.860]  If you go to Twitter and do hashtag vaccine damage, you will get thousands of links in just the last week to people in their own testimonials in the hospital or at funerals with the dead and dying, particularly children and young adults and teenagers and athletes.
[00:09:02.860 --> 00:09:06.022]  We're talking nurses and doctors dropping dead.
[00:09:06.022 --> 00:09:10.206]  In one hospital, they had four doctors die after the shot.
[00:09:13.510 --> 00:09:16.952]  This is insane how obvious this is.
[00:09:16.952 --> 00:09:23.157]  That's all coming up as well and the incredible admissions of all of this.
[00:09:23.157 --> 00:09:32.263]  College basketball star Derek Gray dead at 20 after the shot collapsed with a giant heart attack on the basketball court.
[00:09:32.263 --> 00:09:36.586]  That's all coming up today.
[00:09:36.586 --> 00:09:40.949]  The Chinese are openly threatening to shoot down Pelosi's plane if she
[00:09:43.103 --> 00:09:48.166]  Those on her visit to Taiwan.
[00:09:48.166 --> 00:09:51.047]  We just have so much we're going to be hitting here.
[00:09:51.047 --> 00:09:56.110]  This emergency Saturday broadcast, every day we're on air, is so important.
[00:09:56.110 --> 00:10:12.798]  So I want to encourage all of you watching on the live streams and later, this is archived after we're not live in three hours, to take the archive, take the live feed now and share it on your email, your text message, on Instagram, Facebook, Twitter, everywhere you can before it's too late.
[00:10:15.399 --> 00:10:27.603]  I remember about a year after Endgame Blueprint for Global Enslavement came out, we made a piece called Endgame 2.0.
[00:10:27.603 --> 00:10:35.266]  And for some reason, we can't find it in our computers, and it was erased from our YouTube channel, so it's gone.
[00:10:35.266 --> 00:10:38.747]  It was an hour-long special with Dr. Michael Kaufman.
[00:10:40.455 --> 00:10:47.201]  With UN documents on their plan to break up the family, promote homosexuality, transgenderism from the 60s and 70s.
[00:10:47.201 --> 00:10:51.044]  And he had gone to the UN archives and gotten the documents.
[00:10:51.044 --> 00:10:53.366]  And I'm so frustrated that I can't find it.
[00:10:53.366 --> 00:11:04.175]  Well, I tried again this morning for an hour of searching at my desktop on every known search engine I could, and I could not find it anywhere.
[00:11:04.175 --> 00:11:05.936]  They're blocking it.
[00:11:05.936 --> 00:11:07.538]  And again, because the film was made
[00:11:08.533 --> 00:11:10.654]  Made Endgame 2007, made Endgame 2.0.
[00:11:10.654 --> 00:11:14.937]  It was just a free thing we put out online in 2008.
[00:11:14.937 --> 00:11:20.360]  So because that was 14 years ago, we can't find it.
[00:11:20.360 --> 00:11:31.846]  But I did find two minifilms that we made that were addendums to Endgame that I'd forgotten we made that are very hard to find.
[00:11:33.118 --> 00:11:35.000]  They've been expunging and taking down everywhere.
[00:11:35.000 --> 00:11:43.929]  So, after I'm live for about an hour and a half today, we're going to air these pieces for posterity that are so important.
[00:11:43.929 --> 00:11:51.336]  If you think endgame predicted stuff, wait till you see these two pieces.
[00:11:51.336 --> 00:11:55.340]  There were other little addendums to endgame I made, both about 35 minutes long apiece.
[00:11:57.694 --> 00:12:01.822]  New World Order Blueprint of Mad Men Full Documentary, 39 minutes.
[00:12:01.822 --> 00:12:04.367]  Endgame 2019, Democracy of Genocide, 33 minutes.
[00:12:09.138 --> 00:12:12.580]  We're going to air both those for our millions of viewers and listeners.
[00:12:12.580 --> 00:12:13.321]  We hope you share it.
[00:12:13.321 --> 00:12:14.461]  We hope you cut it up.
[00:12:14.461 --> 00:12:15.162]  We hope you clip it.
[00:12:15.162 --> 00:12:16.243]  We hope you get it out.
[00:12:16.243 --> 00:12:18.024]  All of this is free to air.
[00:12:18.024 --> 00:12:19.585]  No copyright.
[00:12:19.585 --> 00:12:20.225]  Just get it out.
[00:12:20.225 --> 00:12:28.671]  Because our people are so good as populist and conservatives and Christians, whether you be beautiful black or beautiful brown or beautiful white or beautiful pink.
[00:12:29.793 --> 00:12:32.114]  All our beautiful people got made.
[00:12:32.114 --> 00:12:33.615]  Folks are constantly sending emails.
[00:12:33.615 --> 00:12:35.516]  We see them every day, hundreds of them.
[00:12:35.516 --> 00:12:36.556]  Can I share this?
[00:12:36.556 --> 00:12:37.436]  Can I use this?
[00:12:37.436 --> 00:12:38.237]  Can I?
[00:12:38.237 --> 00:12:39.297]  Yes!
[00:12:39.297 --> 00:12:40.658]  In fact, you better.
[00:12:40.658 --> 00:12:41.938]  I'm begging you to.
[00:12:41.938 --> 00:12:57.085]  Not ordering you to, I'm asking you to take everything we've got and to ferret through 28 years of work that's out there and to get it out because people are really looking for the truth right now and the minds of the population are very fertile with all this tearing that's taking place.
[00:12:57.085 --> 00:12:58.086]  So, yes!
[00:13:00.148 --> 00:13:01.069]  We get emails all the time.
[00:13:01.069 --> 00:13:03.830]  Can I put InfoWars on my barn or my business?
[00:13:03.830 --> 00:13:05.891]  You don't need my permission.
[00:13:05.891 --> 00:13:09.533]  But yes, of course, please do it now.
[00:13:09.533 --> 00:13:17.518]  I had dinner last night with a couple of my Houston lawyers.
[00:13:17.518 --> 00:13:20.879]  And one of them had just gotten up here from Houston.
[00:13:20.879 --> 00:13:23.661]  And he said, look, I'm in the parking garage leaving work yesterday.
[00:13:23.661 --> 00:13:25.582]  And I'm going to get him to send it to me.
[00:13:25.582 --> 00:13:26.222]  I forgot to do it.
[00:13:26.222 --> 00:13:28.944]  Beautiful black lady with an Alex Jones was right shirt.
[00:13:30.060 --> 00:13:32.662]  And you know what I loved about the shirt?
[00:13:32.662 --> 00:13:40.748]  Not just her beautiful soul through her eyes I could see in the photo in the parking garage, but it was a shirt we didn't make.
[00:13:40.748 --> 00:13:42.289]  It was something somebody else made.
[00:13:42.289 --> 00:13:43.570]  People are making them everywhere.
[00:13:43.570 --> 00:13:44.331]  I love that.
[00:13:44.331 --> 00:13:50.155]  Because long after I'm gone, because I tend to keep fighting, but let me tell you, every day is a blessing.
[00:13:50.155 --> 00:13:55.479]  Long after I can no longer speak, whether they kill me or put me in prison, or God gives me more time, it's all up to God.
[00:13:57.955 --> 00:14:00.637]  I'm in some globalist firing squadron, some dungeon getting beaten to death.
[00:14:00.637 --> 00:14:01.737]  I'm not going to blame God.
[00:14:01.737 --> 00:14:04.039]  I asked for this.
[00:14:04.039 --> 00:14:05.660]  And I want to be Christ-like.
[00:14:05.660 --> 00:14:06.360]  I'm not Christ.
[00:14:06.360 --> 00:14:09.702]  I'm far from it, but I want to be Christ-like.
[00:14:09.702 --> 00:14:11.063]  Christ is our example.
[00:14:11.063 --> 00:14:17.107]  I just want to know you're going to continue on with the important work we've done.
[00:14:17.107 --> 00:14:20.409]  And the other lawyer goes, yeah.
[00:14:20.409 --> 00:14:25.992]  Twice in the courthouse yesterday when he was there, because he was in Austin, people gave him fist bumps and said Alex Jones was right.
[00:14:27.546 --> 00:14:31.069]  Including the Travis County deputies.
[00:14:31.069 --> 00:14:34.332]  I don't want to get them in trouble, but you're right.
[00:14:34.332 --> 00:14:35.634]  Sorry this is happening.
[00:14:35.634 --> 00:14:37.936]  Fist bumping almost all of them.
[00:14:37.936 --> 00:14:43.161]  But one little Antifa guy has got a handlebar mustache that harasses our people when we come in.
[00:14:43.161 --> 00:14:43.962]  And that's fine.
[00:14:43.962 --> 00:14:44.782]  We feel sorry for him.
[00:14:44.782 --> 00:14:48.946]  We can see the weird demonic look in his eye.
[00:14:48.946 --> 00:14:52.289]  But fist bumping, you know, shaking hands with like
[00:14:53.032 --> 00:14:55.173]  There are dozens and dozens of deputies.
[00:14:55.173 --> 00:14:56.974]  One guy doesn't like us.
[00:14:56.974 --> 00:15:02.877]  And the reason I raise that is we're winning hearts and minds, folks.
[00:15:02.877 --> 00:15:08.220]  And we've come so far together that this was all expected to happen.
[00:15:08.220 --> 00:15:09.561]  And I had so many people
[00:15:10.691 --> 00:15:13.813]  Because it's on every major TV station in the country.
[00:15:13.813 --> 00:15:15.334]  It's on all the major networks.
[00:15:15.334 --> 00:15:17.735]  It's being force-fed.
[00:15:17.735 --> 00:15:21.718]  Yesterday, I went to YouTube on my phone, and attacks on Alex Jones were at the top.
[00:15:21.718 --> 00:15:24.459]  And I said, well, maybe they got cookies on my phone.
[00:15:24.459 --> 00:15:25.480]  Maybe that's just my phone.
[00:15:25.480 --> 00:15:32.324]  So I went to a desktop that I hadn't used in months in my office.
[00:15:32.324 --> 00:15:33.465]  I had a lot of computers.
[00:15:33.465 --> 00:15:34.686]  And it was the top thing.
[00:15:35.848 --> 00:15:38.830]  So they are pushing this, trying to demonize independent media.
[00:15:38.830 --> 00:15:40.752]  They're misrepresenting what we said and did.
[00:15:40.752 --> 00:15:44.915]  They've already found us guilty.
[00:15:44.915 --> 00:15:47.137]  And they're scared.
[00:15:47.137 --> 00:15:53.102]  And they are doing everything they can to set this precedent, but it's not going to work.
[00:15:53.102 --> 00:15:54.683]  Because of you and what you're doing.
[00:15:54.683 --> 00:15:58.546]  So let's go ahead and talk about this.
[00:15:58.546 --> 00:16:01.689]  I could spend an hour on this, but I'm going to probably spend only 10 minutes on it.
[00:16:05.347 --> 00:16:12.692]  I told listeners a year ago we were in the red.
[00:16:12.692 --> 00:16:16.255]  And listeners came through and got us back in the black off and on.
[00:16:16.255 --> 00:16:22.459]  But it was kind of a, were we be in the black, be in the red, be in the black, be in the red, if you look at the graph.
[00:16:22.459 --> 00:16:26.703]  And a lot of that is our fault because we didn't get other backup suppliers.
[00:16:27.861 --> 00:16:33.343]  When this lockdown happened, when the supply chain breakdown happened, finally we have gotten backups that are even better than what we had before.
[00:16:33.343 --> 00:16:39.666]  So we didn't even have the products that in the past you've bought that kept us on air.
[00:16:39.666 --> 00:16:52.472]  But the legal fees and the debanking and the deplatforming and the always having to work around the clock just to even be able to stay online distracted us from our work, which is what the enemy's plan was.
[00:16:52.472 --> 00:16:57.374]  And so I was sitting here with an outside accounting firm months ago.
[00:16:59.226 --> 00:17:02.728]  And they were like, you're basically insolvent, despite the huge donations.
[00:17:02.728 --> 00:17:03.688]  Thank God those came in.
[00:17:03.688 --> 00:17:08.410]  They barely put you close to the black.
[00:17:08.410 --> 00:17:15.793]  And with all these three trials coming up, they wanted to have two trials at once, one in Austin, one in Connecticut, starting now.
[00:17:15.793 --> 00:17:20.235]  We need to declare bankruptcy.
[00:17:20.235 --> 00:17:25.458]  Totally legitimate, real, just so that we can regroup.
[00:17:25.458 --> 00:17:28.279]  Chapter 11, not a total liquidation, but a reorganization.
[00:17:30.165 --> 00:17:39.632]  But we made the decision to go ahead and just tear the Band-Aid off and just go into this first kangaroo trial to show the world what was going on.
[00:17:39.632 --> 00:17:48.399]  And then once that was going, go ahead and do it so that it wouldn't be this fake idea that we're trying to dodge one of these false trials.
[00:17:48.399 --> 00:17:56.666]  You're not supposed to, under Texas law, in a regular trial or this fake thing where the judge ruled I was guilty, tell a jury up front
[00:17:57.828 --> 00:17:59.929]  about what you think the money is that should be paid.
[00:17:59.929 --> 00:18:01.950]  You're supposed to do it at the end.
[00:18:01.950 --> 00:18:23.218]  But up front on Monday, their lawyer, I guess it was Tuesday, Monday was jury selection, Tuesday, gave his hour and a half opening statement to the National News, Kerry, saying Jones has mercilessly stalked and tracked and attacked these people, which never said their names, never did any of that.
[00:18:23.218 --> 00:18:24.119]  Never said their names.
[00:18:24.119 --> 00:18:26.820]  Under state law, you can't sue somebody if you haven't said their name.
[00:18:26.820 --> 00:18:27.360]  Judge doesn't care.
[00:18:30.089 --> 00:18:33.391]  And we want $150 million.
[00:18:33.391 --> 00:18:36.633]  Well, I don't have $2 million.
[00:18:36.633 --> 00:18:39.875]  And other companies I have don't have money.
[00:18:39.875 --> 00:18:43.737]  And it's all a big lie.
[00:18:43.737 --> 00:18:54.563]  And so, not just the fact that we need to reorganize, but also sworn in federal court, our financials are going in.
[00:18:56.178 --> 00:19:02.501]  So the world will see that, and they can't keep lying and saying, I have hundreds of millions of dollars.
[00:19:02.501 --> 00:19:04.362]  It'd be okay if I had hundreds of millions of dollars.
[00:19:04.362 --> 00:19:07.844]  Boy, we could do a lot more good, but it's not true.
[00:19:07.844 --> 00:19:22.432]  But they want to put that false information, which they've been doing in the trial, to confuse the jury and tell them I made money off Sandy Hook, which they falsely tell them, and the judge won't let my lawyer talk.
[00:19:22.432 --> 00:19:23.633]  The other side can say whatever they want.
[00:19:26.638 --> 00:19:36.746]  And so that's the point we've gotten to is understanding, ladies and gentlemen, that if they gave us a $10 million judgment, it is unpayable.
[00:19:36.746 --> 00:19:43.192]  So $100 million, $150 million, $500 million, a billion, a trillion, it doesn't matter.
[00:19:43.192 --> 00:19:44.032]  And they know that.
[00:19:44.032 --> 00:19:50.698]  This is a message to the American people that your speech is gone and you can't question Jussie Smollett.
[00:19:50.698 --> 00:19:52.840]  You can't question WMDs.
[00:19:54.226 --> 00:19:57.088]  You can't question all these leftist false flags.
[00:19:57.088 --> 00:20:05.613]  You've got to sit there and take it, and if you don't, we're going to sue you in lawfare and these George Soros judges, and we're going to shut you down.
[00:20:05.613 --> 00:20:07.455]  That's all this is.
[00:20:07.455 --> 00:20:15.280]  Well, to answer to that, we're going to do more shows, and we're going to make more films, and we're going to launch more projects, because we're not going to lay down and die.
[00:20:17.995 --> 00:20:21.897]  But I tell you, I don't have the time to do it, but I did it last night and this morning.
[00:20:21.897 --> 00:20:31.741]  I read at least 40 articles, and I scanned over 100, but I read probably more than 40 in their entirety.
[00:20:31.741 --> 00:20:40.745]  And man, the stuff you read with no link, with no proof, is Jones made, he made $75 million in 2019.
[00:20:40.745 --> 00:20:41.866]  We didn't grow $79 million.
[00:20:47.895 --> 00:20:48.516]  We're good to go.
[00:21:03.024 --> 00:21:12.871]  Over $10 million in food, and we made $3 million, which then went in for the bandwidth, and the crew, and the legal, and the satellite uplinks, and all the things that go on.
[00:21:12.871 --> 00:21:14.612]  You read about newspapers that go under.
[00:21:14.612 --> 00:21:17.894]  Little, small-town papers cost $5-10 million a year to run.
[00:21:17.894 --> 00:21:19.855]  Things are expensive in media.
[00:21:19.855 --> 00:21:23.618]  The licenses, the Getty images, we pay for it all.
[00:21:23.618 --> 00:21:27.861]  We do it, according to the book, we pay for closed captioning.
[00:21:27.861 --> 00:21:31.003]  Costs a couple hundred thousand dollars a year, because we're on TV and satellite.
[00:21:32.892 --> 00:21:35.333]  People said, well, just get rid of that.
[00:21:35.333 --> 00:21:37.173]  We didn't have closed captioning on InfoWars.
[00:21:37.173 --> 00:21:45.556]  We've been sued in New York by a disabilities group.
[00:21:45.556 --> 00:21:47.816]  So, that's where we are.
[00:21:47.816 --> 00:21:49.897]  And why do they put out these headlines?
[00:21:49.897 --> 00:21:54.838]  Jones made, Jones took home, Jones pocketed 70 plus million dollars.
[00:21:54.838 --> 00:21:56.279]  I'll show you here in a minute.
[00:21:56.279 --> 00:22:00.380]  They do that so you see that, you think, oh, they've got plenty of money.
[00:22:02.264 --> 00:22:07.670]  They don't need support, and it's a lie, ladies and gentlemen.
[00:22:07.670 --> 00:22:16.740]  But hey, you don't think I don't know how dangerous federal court is, you don't think I don't know how twisted the legal system is, both state and federal, I've already experienced it.
[00:22:16.740 --> 00:22:22.106]  But I can't sit there and have them claim I've got 50, 100 million, 200 million dollars in the bank.
[00:22:24.824 --> 00:22:29.965]  When if you add all the money the company has and everything together, it's like $4 million.
[00:22:29.965 --> 00:22:33.646]  We need that for payroll and everything and to buy products in the future.
[00:22:33.646 --> 00:22:37.766]  That's almost nothing with a company this size.
[00:22:37.766 --> 00:22:41.727]  The money I have, the money in this company is not even $4 million.
[00:22:41.727 --> 00:22:47.748]  We went into bankruptcy with less than a million dollars in free speech systems.
[00:22:47.748 --> 00:22:50.829]  That's vapor in an operation this size.
[00:22:53.038 --> 00:22:55.219]  I'm pulling in the gas station while the engine's going.
[00:22:55.219 --> 00:22:56.360]  Have you ever had that?
[00:22:56.360 --> 00:23:02.403]  I've had that happen twice where you're on E, you go, oh my gosh, I'm almost out of gas.
[00:23:02.403 --> 00:23:06.725]  You feel the car kind of sputter and there's a gas station right there and you pull in.
[00:23:06.725 --> 00:23:08.826]  The other times I've run out in the middle of nowhere like an idiot.
[00:23:08.826 --> 00:23:10.247]  Why did I look at the gas gauge?
[00:23:10.247 --> 00:23:18.811]  But twice in my life, almost a couple years ago, I'm driving along 60 miles an hour, all of a sudden, and I know then floor it because then that keeps it going.
[00:23:18.811 --> 00:23:22.033]  And then I barely glided in to the gas station.
[00:23:23.578 --> 00:23:24.119]  Barely.
[00:23:24.119 --> 00:23:30.926]  I actually lost control partway in the parking lot, hit the brakes, and kind of had to string the hose over like 15 feet and barely got it in.
[00:23:30.926 --> 00:23:33.569]  But that's what this is like.
[00:23:33.569 --> 00:23:37.673]  Coming in, wings on fire, landing on an aircraft carrier.
[00:23:37.673 --> 00:23:38.354]  And that's okay.
[00:23:38.354 --> 00:23:39.055]  I'm not a victim.
[00:23:39.055 --> 00:23:40.156]  I asked for this.
[00:23:40.156 --> 00:23:42.458]  I'm surprised they haven't killed me yet or put me in prison.
[00:23:42.458 --> 00:23:44.461]  This is just how they attack now.
[00:23:45.506 --> 00:23:56.649]  With attrition and lawsuits and the same way they've strangled small business out of existence and attacked the Midwest and the South and rural areas all over this great country.
[00:23:56.649 --> 00:24:05.091]  So I've known all this and I've understood all this for a very, very, very, very long time.
[00:24:05.091 --> 00:24:06.732]  And all I got to do is leave it on the field.
[00:24:06.732 --> 00:24:15.014]  But yeah, we've declared, you know, they called it a fraud four months ago when I declared bankruptcy of four subcompanies.
[00:24:18.182 --> 00:24:20.764]  And the reason you do that is each new company needs to have its own deal.
[00:24:20.764 --> 00:24:26.829]  So we had InfoWars Health that was the longevity stuff, still selling great products.
[00:24:26.829 --> 00:24:34.756]  And we had some of the oldest companies I had set up that were real companies, including the company that owns InfoWars.com.
[00:24:36.527 --> 00:24:41.931]  And so we said, well, let's put those into bankruptcy so we can show the judge our finances.
[00:24:41.931 --> 00:24:46.855]  Now, we don't have money for three trials coming up, and we even offered to have free speech systems pay.
[00:24:46.855 --> 00:24:57.163]  It was an agreement with that bankruptcy to try to pay settlements and just end these show trials, but actually show the court how much money we had.
[00:24:57.163 --> 00:24:59.525]  So we just said, here we are, open books.
[00:24:59.525 --> 00:25:03.548]  They dropped those four companies out, including InfoWars.com.
[00:25:06.004 --> 00:25:08.605]  Because they wanted their show trial.
[00:25:08.605 --> 00:25:10.885]  And they wanted to say, I had hundreds of millions of dollars.
[00:25:10.885 --> 00:25:13.166]  They didn't want a federal judge digging through all this.
[00:25:13.166 --> 00:25:18.787]  Because you understand, we didn't just go into bankruptcy with those companies.
[00:25:18.787 --> 00:25:27.089]  We agreed to have free speech systems pay and indemnify and be the arbiter to take care of that agreement.
[00:25:30.319 --> 00:25:36.463]  So they spit InfoWars out and these other companies supposedly with prejudice so they can't come after him later, which is a great thing.
[00:25:36.463 --> 00:25:38.404]  InfoWars.com is safe.
[00:25:38.404 --> 00:25:42.707]  But these corrupt judges, who knows?
[00:25:42.707 --> 00:25:54.414]  So we went through that processes and I'm sitting here literally maxed out, putting everything I've got.
[00:25:55.327 --> 00:25:58.249]  Into keeping my crew employed, everything happening.
[00:25:58.249 --> 00:26:02.952]  My own lawyers are like, my God, Jones, you got like a half million dollars in your bank account, private.
[00:26:02.952 --> 00:26:06.894]  You just, you just put, you know, a half million dollars in last week.
