[00:00:06.863 --> 00:00:10.267]  Excuse me?
[00:14:01.663 --> 00:14:06.725]  We're doubled down, all in, committed, and we're not giving up ever.
[00:14:08.015 --> 00:14:13.737]  And they won, because no one that refuses to give up can be defeated unless you kill everyone.
[00:14:13.737 --> 00:14:15.118]  And the Romans did that sometimes.
[00:14:15.118 --> 00:14:30.925]  They would kill everyone in scores of civilizations, and then in case somebody hid out in the woods or the caves, they would then poison the ground with high-powered salt, arsenic, you name it.
[00:14:30.925 --> 00:14:33.086]  The Chinese would do that too when they conquered a group.
[00:14:33.993 --> 00:14:35.434]  that hadn't submitted.
[00:14:35.434 --> 00:14:41.418]  They would poison things with, well, the first black powder bombs were jacketed in arsenic.
[00:14:41.418 --> 00:14:43.699]  They would even bomb people with chemical weapons.
[00:14:43.699 --> 00:14:49.122]  The point is, there's really nothing new under the sun, just more advanced systems of it.
[00:14:49.122 --> 00:14:54.285]  And you can't defeat the Vietnamese, no matter how much military power you had, because they weren't going to give up.
[00:14:54.285 --> 00:15:00.509]  You can't defeat the 1776ers, because it didn't matter if you had the greatest military the world had ever seen that could beat any military in the world.
[00:15:00.509 --> 00:15:01.470]  These people wouldn't give up.
[00:15:02.267 --> 00:15:03.347]  They wouldn't give in.
[00:15:03.347 --> 00:15:05.048]  Resistance is victory.
[00:15:05.048 --> 00:15:18.472]  And Americans and people of the West have given up our culture, given up our birthright, given up everything, and bought into the plastic, phony culture.
[00:15:18.472 --> 00:15:24.254]  And now, like opening a window, a portal in a submarine, we're being flooded.
[00:15:25.779 --> 00:15:32.229]  Or you can reverse the analogy to the spaceship opening a pod bay door and releasing the atmosphere.
[00:15:32.229 --> 00:15:33.892]  You're going to be dead in seconds.
[00:15:33.892 --> 00:15:36.696]  We have opened the portal door.
[00:15:36.696 --> 00:15:39.501]  We are now depressurizing, ladies and gentlemen.
[00:15:41.645 --> 00:15:46.149]  And in the scale of history, a decade is like a millisecond.
[00:15:46.149 --> 00:15:57.338]  And we're in the millisecond right now where the shields are going down, all the prosperity is going out the window, and all the ancient forms of oppression are now manifesting themselves.
[00:15:57.338 --> 00:16:09.128]  You can give them whatever fancy name you want, put a political label on it, it's gangster-run government by select combines, and everyone else is being enslaved and impoverished as a tool of control.
[00:16:10.390 --> 00:16:27.895]  And then in short order, the gangs and the combines, the monopolies, the oligopolies that have combined forces to bring in their world hegemonic rule, their corporate rule, one ring to rule them all and in the darkness bind them.
[00:16:27.895 --> 00:16:39.018]  Now, all of those that were in the councils of world government, who combined forces to bring in the world government, are now beginning to tear each other apart and prepare for war with each other.
[00:16:40.509 --> 00:16:47.319]  They've done their job of dumbing down humanity, neutralizing people, putting the general population in a trance.
[00:16:47.319 --> 00:16:49.923]  Now the power structure is moving.
[00:16:51.201 --> 00:16:54.804]  into their endgame, and believe me, it's not going to be pretty.
[00:16:54.804 --> 00:17:15.041]  And everyone will see the fruits of tyranny, and then everyone will start resisting it, and the system has premeditatedly prepared for all of that, and even set up military-industrial complex economies of scale to profit from the insurrections and civil wars that they themselves are instigating.
[00:17:16.647 --> 00:17:20.731]  In fact, a friend sent me a text that I meant to read on air last week.
[00:17:20.731 --> 00:17:37.466]  Let me find it right now and actually read this famous quote of jurisprudence to everyone on air if I'm able to find it here in my stack.
[00:17:37.466 --> 00:17:38.447]  Let me keep looking here.
[00:17:38.447 --> 00:17:40.849]  Maybe I should do this during the break.
[00:17:45.188 --> 00:17:47.873]  Trying to keep track of all of this.
[00:17:47.873 --> 00:17:50.178]  You know what I'll do?
[00:17:50.178 --> 00:17:54.807]  During the break, I will actually find the quote and read it on air when we come back.
[00:17:55.657 --> 00:18:00.881]  And then I'm gonna give the phone number out and take phone calls, as many phone calls as I can.
[00:18:00.881 --> 00:18:05.724]  But if you ask me complex questions, I'll tend to give complex answers, and then never get to the next person.
[00:18:05.724 --> 00:18:08.906]  Just make your point or ask your question, and I'll try to go to the next person.
[00:18:08.906 --> 00:18:10.767]  In fact, I'd like to hear your solutions.
[00:18:10.767 --> 00:18:15.971]  We were talking to listeners last night, callers, about solutions, and it was just a lot of really great points.
[00:18:15.971 --> 00:18:20.274]  So also, make your point, ask your question, but throw in your idea of a solution.
[00:18:20.274 --> 00:18:21.475]  We'd like to hear from you.
[00:18:21.475 --> 00:18:22.575]  First time callers again.
[00:18:23.609 --> 00:18:23.689]  800-259-9231.
[00:18:23.689 --> 00:18:23.769]  1-800-259-9231.
[00:18:23.769 --> 00:18:25.330]  What do we have to cover here today?
[00:18:25.330 --> 00:18:27.410]  Here are just some of the headlines up on InfoWars.com.
[00:18:38.499 --> 00:18:40.660]  Get ready to pay more online.
[00:18:40.660 --> 00:18:43.642]  Supreme Court refuses to hear internet tax case.
[00:18:43.642 --> 00:18:47.484]  The lower court said tax the internet, so you know what that means, tax the internet.
[00:18:47.484 --> 00:18:52.067]  DHS googling travelers before they enter the United States.
[00:18:52.067 --> 00:18:54.068]  That's up on infowars.com.
[00:18:54.068 --> 00:18:56.849]  Also on the right-hand side of the drudgereport.com.
[00:18:56.849 --> 00:19:04.073]  Reporter tells MSNBC Obama administration most hostile to media in history of US.
[00:19:04.073 --> 00:19:04.713]  Well, that's racist.
[00:19:06.189 --> 00:19:11.511]  Plus Obama built the internet and the media, so he's allowed to do what he wants.
[00:19:11.511 --> 00:19:11.812]  Racist!
[00:19:13.263 --> 00:19:19.506]  Also, Canadian police arrest man for photographing cop car as daughter records chilling scene.
[00:19:19.506 --> 00:19:22.088]  Yeah, cops worldwide don't like slaves taping them.
[00:19:22.088 --> 00:19:27.811]  Three times as many Americans supported King George during Revolutionary War than support Congress today.
[00:19:27.811 --> 00:19:31.633]  That's a key article I'm going to be covering.
[00:19:31.633 --> 00:19:39.457]  Fifteen signs that we are near the peak of an absolute massive stock market bubble and Nobel Prize winning economists are saying get ready for implosion.
[00:19:40.117 --> 00:19:43.139]  Amazon unveils plans for deliveries by drone.
[00:19:43.139 --> 00:19:44.600]  Can't make that up.
[00:19:44.600 --> 00:19:47.802]  They say you'll get a delivery within 30 minutes by drone.
[00:19:47.802 --> 00:19:50.944]  I thought Storks delivered Amazon packages.
[00:19:50.944 --> 00:19:55.287]  Also, uh, more coming up.
[00:19:55.287 --> 00:19:57.388]  Congress has a 6% approval rating.
[00:19:57.388 --> 00:19:58.949]  I'll tell you what that means on the other side.
[00:20:00.461 --> 00:20:05.923]  Alex Jones here, and I want to tell you about a longtime friend of the show, My Patriot Supply.
[00:20:05.923 --> 00:20:14.827]  As you might remember, this is the company that stood up to the DHS and exposed FEMA's secret plan to begin hoarding emergency survival food.
[00:20:14.827 --> 00:20:22.650]  It has always been my belief that it's key to stand behind companies who share the same values as their fellow Patriots.
[00:20:22.650 --> 00:20:30.053]  My Patriot Supply brings us their exclusive Patriot Pantry brand, along with many other fine preparedness products.
[00:20:30.553 --> 00:20:34.496]  I personally store and use their high-quality products.
[00:20:34.496 --> 00:20:38.699]  It tastes great, and it's easy to store for up to 25 years.
[00:20:38.699 --> 00:20:45.844]  For a limited time, you can save $50 instantly on a four-week supply of food, along with other special offers.
[00:20:45.844 --> 00:20:53.069]  Visit mypatriotsupply.com forward slash alex today with the new world order making rapid advances on every front.
[00:20:53.069 --> 00:20:57.112]  It is essential to prepare with My Patriot Supply today.
[00:21:00.342 --> 00:21:03.529]  You better watch out, you sure better cry.
[00:21:03.529 --> 00:21:06.976]  You're at least gonna pout, and I'm telling you why.
[00:21:06.976 --> 00:21:09.742]  Privacy is leaving you.
[00:21:11.301 --> 00:21:14.722]  Is your cell phone being used to build a profile on you?
[00:21:14.722 --> 00:21:21.164]  Give the gift of privacy and block unwanted cell phone spying with the Privacy Case from PrivacyCase.com.
[00:21:21.164 --> 00:21:22.865]  They're making their list.
[00:21:22.865 --> 00:21:24.625]  They're checking them twice.
[00:21:24.625 --> 00:21:27.726]  They're gonna make up who's been naughty or nice.
[00:21:27.726 --> 00:21:30.467]  The problem is real and so is the solution.
[00:21:30.467 --> 00:21:36.489]  Go to PrivacyCase.com because... They see you when you're sleeping.
[00:21:36.489 --> 00:21:39.210]  They listen when you're awake.
[00:21:39.910 --> 00:21:47.239]  They can tell us all you've been bad when you've been good, so get yourself a Privacy Case.
[00:21:47.239 --> 00:21:53.265]  Now through December 31st, buy yourself an American-made Privacy Case and give one for only $79.95 each.
[00:21:53.265 --> 00:21:55.588]  Go to PrivacyCase.com today.
[00:21:55.588 --> 00:21:58.391]  The Privacy Case, because there is a case for privacy.
[00:21:59.926 --> 00:22:03.729]  For over five years, you've been hearing about the Berkey guy.
[00:22:03.729 --> 00:22:05.811]  So you may know a few things about him.
[00:22:05.811 --> 00:22:12.496]  For example, you are well aware of the superior quality and effectiveness of Berkey water filters and accessories.
[00:22:12.496 --> 00:22:18.100]  But did you know the Berkeys have had independent lab tests done to prove just how effective they are?
[00:22:18.100 --> 00:22:18.820]  It's true!
[00:22:18.820 --> 00:22:20.642]  And he can email you the test results.
[00:22:20.982 --> 00:22:23.125]  Just visit GoBerky.com.
[00:22:23.125 --> 00:22:28.271]  You may also know that the Berky Guy has helped tens of thousands of people get better prepared.
[00:22:28.271 --> 00:22:30.174]  Now here's something you may not know.
[00:22:30.174 --> 00:22:37.143]  GoBerky.com has amazing specials and deals all the time on a wide variety of survival and preparedness products.
[00:22:37.483 --> 00:22:39.724]  Most ready to ship same day.
[00:22:39.724 --> 00:22:46.006]  Visit the Berkey Guy at GoBerkey.com and be sure to click the red products on sale now button.
[00:22:46.006 --> 00:22:47.606]  You can always call toll-free 877-886-3653.
[00:22:47.606 --> 00:22:48.126]  Again, that's 877-886-3653.
[00:22:48.126 --> 00:22:49.367]  GoBerkey.com, home of the Berkey Guy.
[00:22:59.150 --> 00:23:08.738]  Whether it's natural disasters, civil unrest, or preparing for your next adventure, SurvivalMetrics.com has the top name brands and hard-to-find items that will help you survive.
[00:23:08.738 --> 00:23:16.163]  Specializing in tactical survival and preparedness kits, our kits are carried by thousands of military professionals and are now 15% off.
[00:23:16.163 --> 00:23:20.287]  We carry medical kits, escape and evade kits, vehicle survival kits, and much more.
[00:23:20.287 --> 00:23:23.849]  Call us at 877-968-2012 today.
[00:23:23.849 --> 00:23:24.750]  Adapt.
[00:23:24.750 --> 00:23:25.631]  Overcome.
[00:23:25.631 --> 00:23:26.551]  Survive.
[00:23:26.551 --> 00:23:27.873]  At SurvivalMetrics.com.
[00:23:29.693 --> 00:23:33.875]  Yes, family and friends are gathering to give gifts and wish health and security.
[00:23:33.875 --> 00:23:38.518]  But why not enhance cell phone and wireless device security all year with Block-It Pocket?
[00:23:38.518 --> 00:23:43.000]  A family-owned, American business, we now have two spectacular holiday specials.
[00:23:43.000 --> 00:23:50.524]  Find them now at our new website, blockitpocket.com, or call 888-315-9618.
[00:23:50.524 --> 00:23:52.885]  Hurry, holiday special ends Christmas Day.
[00:23:52.885 --> 00:23:57.968]  Give the gift of security from blockitpocket.com, wishing you health, freedom, and liberty.
[00:24:14.771 --> 00:24:16.531]  All right, your calls are coming up in the next segment.
[00:24:16.531 --> 00:24:18.612]  Alex Jones here, thank you for joining us.
[00:24:18.612 --> 00:24:22.532]  Ton of news and key intel on the globalists coming up today.
[00:24:22.532 --> 00:24:26.153]  Look, it comes down to this.
[00:24:26.153 --> 00:24:38.155]  The social engineers of the planet are anti-human, they think of you as idiots, and they do everything they can to dumb you down so that you're not involved in the decision-making process.
[00:24:38.155 --> 00:24:41.116]  And then all these globalists do is then fight with each other all day.
[00:24:41.812 --> 00:24:53.995]  And thank God, that's one of the few things holding back total world government, is that they're all jealous of each other's power, historically, and so they're never able to get total control into place.
[00:24:53.995 --> 00:24:55.575]  But they're getting very, very close.
[00:24:55.575 --> 00:24:57.876]  We're not under world government yet.
[00:24:57.876 --> 00:25:06.718]  We're just under the first stages of what they're trying to create that will be a completely micromanaged technocracy
[00:25:07.890 --> 00:25:14.776]  Running every facet of your life and slowly turning off the economy.
[00:25:14.776 --> 00:25:30.889]  The good news is, and I cannot express to folks how good the news is, that over the weekend Gallup, one of the most respected polling agencies out there, came out with a scientific poll showing a six percent, we'll put that on screen for TV viewers, six percent
[00:25:32.279 --> 00:25:34.340]  Approval rating for Congress.
[00:25:34.340 --> 00:25:48.026]  Now, there's still like a 35 or 33, depending on which poll you look at, for Obama, because he's a personality who's connected with his victims who are still being conned by him.
[00:25:48.026 --> 00:25:56.709]  Kind of like folks watch the state lottery where the pretty lady spins the wheel and actually thinks the lottery lady's their friend, because she's smiling at them.
[00:25:56.709 --> 00:25:57.510]  These are victims.
[00:25:58.700 --> 00:26:04.086]  These are like two-year-old children that get tricked to get in the van with a pedophile because he says they have candy.
[00:26:04.086 --> 00:26:06.389]  I mean, these are very sad people.
[00:26:06.389 --> 00:26:11.134]  But the general public, when it thinks of government, it thinks of Congress.
[00:26:15.056 --> 00:26:21.423]  I don't know of any government in history, and I've studied a lot of history, that has only had 6% approval.
[00:26:21.423 --> 00:26:26.288]  This government is bankrupt, morally and financially.
[00:26:26.288 --> 00:26:29.591]  This government is far and run and hijacked.
[00:26:29.591 --> 00:26:35.457]  This government is publicly defunct and fraudulent.
[00:26:36.741 --> 00:26:50.997]  And all it's doing is buying billions more bullets, thousands more armored vehicles a month, more blimps, more drones, more training, and they're so disconnected from reality, all their training manuals, on record, there's hundreds of them that are public.
[00:26:52.261 --> 00:27:01.405]  They used to have this stuff secretly, now they publish it at FBI.gov, where they badmouth the Founding Fathers, the Gadsden Flag, 1776.
[00:27:01.405 --> 00:27:10.149]  Of course vampires are scared of high noon, holy water, garlic, and wooden stakes.
[00:27:10.149 --> 00:27:14.190]  Everything they demonize is what is our salvation.
[00:27:14.190 --> 00:27:17.772]  Family, private property, due process, self-defense.
[00:27:22.162 --> 00:27:34.969]  And then they sit there and they scapegoat capitalism for the reason we're going to hell in a handbasket, when ladies and gentlemen, by every yardstick, we are a socialist nation.
[00:27:34.969 --> 00:27:36.610]  And the worst kind.
[00:27:36.610 --> 00:27:44.254]  Not some fair northern European socialism, which is bad enough because it gets rid of individualism, but where they actually redistribute the wealth.
