[00:00:00.169 --> 00:00:01.671]  Serious tax problem.
[00:05:21.556 --> 00:05:28.002]  Among the high-dollar memorabilia hitting the block was a Les Paul guitar used by U2's The Edge for $240,000.
[00:05:28.002 --> 00:05:30.544]  More news on usaradio.com.
[00:05:30.544 --> 00:05:33.526]  I'm Richard Curtis, this is USA Radio Network News.
[00:05:33.526 --> 00:05:42.274]  According to a recent report by the National Institute of Health, high blood pressure is a major risk factor for heart disease and the chief risk factor for stroke and heart failure.
[00:05:42.274 --> 00:05:44.316]  It affects about 50 million Americans.
[00:05:44.316 --> 00:05:45.497]  That's one in four adults.
[00:05:45.797 --> 00:05:52.160]  Because many people have high blood pressure for years without knowing it, the American Heart Association calls it the silent killer.
[00:05:52.160 --> 00:05:56.122]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[00:05:56.122 --> 00:06:03.066]  As your online partner in health, we are committed to empowering you with the resources you need to make informed health decisions about high blood pressure.
[00:06:03.306 --> 00:06:13.293]  Visit us online at ResearchedHerbs.com to learn more about HeartCare, the widely researched natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[00:06:13.293 --> 00:06:19.757]  Did you know that the safety and effectiveness of HeartCare is backed by over a hundred clinical trials and experimental studies?
[00:06:19.757 --> 00:06:20.317]  Act now!
[00:06:20.317 --> 00:06:26.261]  Visit us online at ResearchedHerbs.com or call us at 1-800-845-3841 to start protecting yourself from the silent killer.
[00:06:26.261 --> 00:06:26.462]  That's 1-800-845-3841.
[00:06:34.126 --> 00:06:40.269]  Prepare yourself for a talk radio experience like no other.
[00:06:40.269 --> 00:06:43.731]  Strap yourselves in and hold on.
[00:06:43.731 --> 00:06:46.492]  He stands for truth.
[00:06:46.492 --> 00:06:49.693]  He stands for justice.
[00:06:49.693 --> 00:06:51.714]  He stands for what's right.
[00:06:51.714 --> 00:06:55.236]  This is the Alex Jones Show.
[00:06:55.236 --> 00:06:57.257]  Call Alex now, toll free.
[00:06:58.135 --> 00:06:58.355]  At 877-590-5525.
[00:06:58.355 --> 00:07:02.459]  Now live from Austin, Texas, here's Alex Jones.
[00:07:15.151 --> 00:07:16.152]  Welcome, my friends.
[00:07:16.152 --> 00:07:16.632]  Welcome.
[00:07:16.632 --> 00:07:19.614]  It is the first day of April, 2007.
[00:07:19.614 --> 00:07:21.155]  April Fool's Day.
[00:07:21.155 --> 00:07:26.758]  I could get up here and tell you that wild hyenas had escaped from the Austin Zoo.
[00:07:26.758 --> 00:07:29.660]  I could tell you that George Bush was a conservative.
[00:07:29.660 --> 00:07:29.900]  I could
[00:07:30.635 --> 00:07:42.708]  Even report to you that there's no such thing as a New World Order, but I don't joke around, I don't play games, my friends, and so we're going to dispense with any April Fool's jokes today.
[00:07:42.708 --> 00:07:47.493]  This is a syndicated broadcast I've been doing now for about six months out of the studios of NewsRadio.
[00:07:48.453 --> 00:07:51.154]  590KLBJ, the mothership right here in Austin, Texas.
[00:07:51.154 --> 00:07:56.736]  Speaking of that, I want to thank all the affiliates out there, AMFM, Shortwave Internet, that are picking up the show.
[00:07:56.736 --> 00:08:03.798]  You can also go to 590KLBJ.com, and there is on the main page a chat room.
[00:08:03.798 --> 00:08:07.019]  I'll also be taking your questions from that chat room today.
[00:08:07.019 --> 00:08:12.721]  It's very easy to register and get set up with the chat room, so be sure to visit 590KLBJ.com, and I'll be taking
[00:08:13.181 --> 00:08:19.623]  Questions via the chat room as well as the toll-free line 877-590-5525.
[00:08:19.623 --> 00:08:24.764]  That's 877-590-5525.
[00:08:24.764 --> 00:08:28.405]  Let me go through some of the headlines and news we'll be covering today.
[00:08:28.405 --> 00:08:29.145]  U.S.
[00:08:29.145 --> 00:08:32.826]  ready to strike Iran on Good Friday.
[00:08:32.826 --> 00:08:34.446]  That's next Friday.
[00:08:34.446 --> 00:08:37.267]  That's from the Jerusalem Post today, Sunday, April 1st.
[00:08:38.382 --> 00:08:42.304]  Another report here, London Evening Standard, Russian officials say U.S.
[00:08:42.304 --> 00:08:46.125]  will be ready to strike Iran in April.
[00:08:46.125 --> 00:08:51.948]  Another report, out of the French News Agency, Agency French Press, AFP, U.S.
[00:08:51.948 --> 00:08:55.469]  carrier deploys amid Iran tensions, the U.S.
[00:08:55.469 --> 00:08:59.711]  Nimitz, now will bring that to three aircraft carriers.
[00:09:01.633 --> 00:09:08.159]  And if you think it's really there to relieve the Dwight D. Eisenhower, I got a bridge I'm really ready to sell you.
[00:09:08.159 --> 00:09:15.044]  Also, the Debco file, which has proven to be pretty accurate in the past, is reporting the war is going to be on.
[00:09:15.044 --> 00:09:21.910]  So I know a lot of you that associate your manhood with watching CNN and aerial bombardments, get ready to feel powerful in your easy chair.
[00:09:23.503 --> 00:09:27.227]  We'll get into the trap, though, and how we're being set up here a little bit later.
[00:09:27.227 --> 00:09:35.175]  Also, I've interviewed Craig Murray, the former ambassador, the former British ambassador to Uzbekistan.
[00:09:35.175 --> 00:09:40.861]  Last year, he also headed up the British government's Maritime Administration.
[00:09:40.861 --> 00:09:42.263]  Very powerful, very important.
[00:09:42.783 --> 00:09:46.105]  And so he's an expert on territorial waters and boundaries.
[00:09:46.105 --> 00:09:51.688]  And he's gone public, along with many others now, to state that it is not true, ladies and gentlemen.
[00:09:51.688 --> 00:09:56.350]  All the evidence points towards the British in Iranian waters.
[00:09:56.350 --> 00:09:58.732]  Now, the British government, though, is not lying to you.
[00:09:58.732 --> 00:10:05.115]  They're playing a lawyer game, like Bill Clinton saying, it depends on what the word is, is means.
[00:10:05.115 --> 00:10:07.857]  Depends on what your meaning of is, is.
[00:10:07.857 --> 00:10:08.357]  The British
[00:10:09.128 --> 00:10:18.835]  A few months ago, we wrote the maps themselves and now claim that new maps that have never been accepted are the territorial waters.
[00:10:18.835 --> 00:10:34.145]  That's kind of like if Mexico just claimed half of Texas belonged to Mexico, which they're actually claiming the whole Southwest does, but I mean, for the sake of argument, if Mexico just, you know, said that as far north as Dallas belonged to Mexico and just wrote a new map, would that be the case?
[00:10:34.145 --> 00:10:36.427]  No, it would not be the case.
[00:10:37.575 --> 00:10:41.297]  So we'll be getting into that report as well.
[00:10:41.297 --> 00:10:53.443]  Also, I remember ten years ago learning that they planned to fund the European Union, the North American Union, the Asian Union, then merge those three unions to fund that, a global tax.
[00:10:53.443 --> 00:10:59.786]  And the UN officially said they were going to have a worldwide emissions tax on any fossil fuels that are used.
[00:11:01.378 --> 00:11:11.845]  They are just now broaching this to the public, though, and you read stories like this one out of the Washington Post, Total Propaganda by Juliet Elprin and Stephen Mufson.
[00:11:12.541 --> 00:11:16.684]  And it says, tax on carbon emissions gains support.
[00:11:16.684 --> 00:11:19.705]  And they say they just thought of this last week.
[00:11:19.705 --> 00:11:23.188]  It's a wonderful new... It's kind of like the Pentagon announced last year.
[00:11:23.188 --> 00:11:25.469]  Oh, we're going to break Iraq in three parts.
[00:11:25.469 --> 00:11:27.130]  Oh, we just thought of that.
[00:11:27.130 --> 00:11:29.872]  The official Pentagon plan from the early 80s.
[00:11:29.872 --> 00:11:32.793]  So they would break Iraq into three parts.
[00:11:32.793 --> 00:11:38.337]  I mean, for those of us that actually read government documents and actually follow the real policy and not the stuff on Fox and CNN,
[00:11:39.284 --> 00:11:42.869]  It's just how they insult your intelligence, but I guess it works.
[00:11:42.869 --> 00:11:45.772]  So, here's world government right here.
[00:11:45.772 --> 00:11:48.696]  Here's world government in front of everyone's face.
[00:11:50.397 --> 00:11:57.640]  So we'll be getting into the new taxes you're going to be paying unless you can wake up and admit to yourself there's a North American Union and America's under attack.
[00:11:57.640 --> 00:11:59.220]  The real threat is not Iran.
[00:11:59.220 --> 00:12:01.521]  It's the criminals that run our government, both parties.
[00:12:01.521 --> 00:12:02.682]  We'll be breaking that down.
[00:12:02.682 --> 00:12:04.482]  Also, foreclosures accelerated.
[00:12:04.482 --> 00:12:08.904]  Million-dollar homes right down to $80,000 and $150,000 homes.
[00:12:08.904 --> 00:12:10.545]  Massive foreclosures.
[00:12:10.545 --> 00:12:13.706]  Record foreclosures since the Great Depression.
[00:12:13.706 --> 00:12:16.447]  But they're still telling you that the economy's great.
[00:12:16.447 --> 00:12:18.788]  Meanwhile, the dollar's in absolute free fall.
[00:12:19.927 --> 00:12:22.488]  I'm pretty upset about that myself.
[00:12:22.488 --> 00:12:27.910]  But I'm so busy covering the news, I don't have time to scramble with the money I've saved and put it into something that's safe.
[00:12:27.910 --> 00:12:28.650]  I just don't have time.
[00:12:28.650 --> 00:12:30.751]  I literally don't even care.
[00:12:30.751 --> 00:12:34.453]  I'm just sitting here in horror, watching the country go into a new depression.
[00:12:36.960 --> 00:12:42.922]  It's kind of like a heroin head that's taken their last injection, but when that wears off, there's no more heroin.
[00:12:42.922 --> 00:12:44.883]  And it's going to be quite a crash.
[00:12:44.883 --> 00:12:46.403]  So we'll be going over that.
[00:12:46.403 --> 00:12:53.266]  We told you three and a half weeks ago, a week before the Rosie O'Donnell story broke, where she says 9-11 is an inside job, basically.
[00:12:53.266 --> 00:12:59.648]  We told you about her getting ready to go public before she did, because of our inside sources.
[00:12:59.648 --> 00:13:03.529]  And then, of course, she started about three weeks ago putting stuff on her blog.
[00:13:03.529 --> 00:13:06.370]  It is now in the top two stories in the country.
[00:13:07.086 --> 00:13:09.310]  It's Iran and then Rosie O'Donnell.
[00:13:09.310 --> 00:13:21.868]  And it's on every CNN, MSNBC, FOX, every major publication that I've seen, wall to wall, from AOL to USA Today, and I'm very close to getting Rosie on my show this week.
[00:13:22.569 --> 00:13:24.150]  I talked to Charlie Sheen yesterday.
[00:13:24.150 --> 00:13:26.731]  He might be coming on with some comments.
[00:13:26.731 --> 00:13:27.131]  I don't know.
[00:13:27.131 --> 00:13:36.335]  It'll probably be later because we're working on some things privately that have now been pretty much blown wide open, putting loose change in theaters nationwide.
[00:13:36.335 --> 00:13:41.717]  Bill O'Reilly called for Mark Cuban's arrest, the owner of the Dallas Mavericks, Friday.
[00:13:41.717 --> 00:13:51.381]  And Danny Bonaduce, the admitted drug addict and partridge boy or whatever he is, he is calling for Rosie O'Donnell's arrest and execution.
[00:13:51.941 --> 00:13:58.845]  We're going to play that clip later, but really this Iran News is more important, so we'll be going over that.
[00:13:58.845 --> 00:14:05.028]  By the way, friends, for those that just joined us, this is not about left and right, okay, as the cliche goes.
[00:14:05.028 --> 00:14:06.808]  It's about right and wrong.
[00:14:06.808 --> 00:14:13.972]  I, frankly, boycotted Rosie O'Donnell when I got a chance to talk to her, which will be soon.
[00:14:13.972 --> 00:14:15.773]  I'm still going to tell her that I did.
[00:14:16.917 --> 00:14:19.378]  You know, it was a big part of that, frankly, I launched it.
[00:14:19.378 --> 00:14:21.198]  Don't tell anybody.
[00:14:21.198 --> 00:14:27.220]  You know, against her and Kmart back in, what was it, 2000.
[00:14:27.220 --> 00:14:36.522]  Okay, so, but I have to tell you that I have newfound respect for her on going public on 9-11 being an inside job.
[00:14:36.522 --> 00:14:41.184]  I disagree with her on a lot of political issues.
[00:14:41.184 --> 00:14:45.425]  But it takes a lot of guts, and I've talked to some of her good personal friends.
[00:14:45.425 --> 00:14:45.965]  I've talked to
[00:14:46.863 --> 00:14:49.905]  Christine Ebersol, who co-hosts sometimes on The View.
[00:14:49.905 --> 00:14:53.348]  She's going on vacation with Rosie to Florida this week.
[00:14:53.348 --> 00:14:55.229]  And I'm going to be talking to Rosie.
[00:14:55.229 --> 00:14:56.310]  I really haven't tried very hard.
[00:14:56.310 --> 00:14:58.172]  I've actually been playing phone tag.
[00:14:58.172 --> 00:14:59.673]  And so I'm going to get in touch with Rosie.
[00:14:59.673 --> 00:15:02.155]  And I know now that she's shifted her paradigm.
[00:15:02.155 --> 00:15:04.156]  And it's not what you'd call a classic left-winger.
[00:15:04.156 --> 00:15:08.399]  She now has shifted her paradigm into New World Order awareness.
[00:15:08.399 --> 00:15:09.660]  And she's getting the big picture.
[00:15:09.660 --> 00:15:12.262]  And she's getting past the control of the left and the right.
[00:15:12.262 --> 00:15:15.625]  And getting back to real political issues that matter.
[00:15:16.374 --> 00:15:24.700]  So, when we get back from this quick break, I am going to first get into the Iran news, which is extremely serious.
[00:15:24.700 --> 00:15:25.581]  It really could happen.
[00:15:25.581 --> 00:15:28.623]  The strikes really could take place in the aftermath.
[00:15:28.623 --> 00:15:38.290]  Any way you slice it, it's not good for the average American, the average Britoner, the average Iranian, the average Middle... Anyone on this planet, this will not be good.
[00:15:38.290 --> 00:15:39.451]  It will be good for the oil companies.
[00:15:39.451 --> 00:15:42.434]  It will be good for the defense hardware manufacturers.
[00:15:42.434 --> 00:15:44.035]  It will be good for the police state.
[00:15:44.035 --> 00:15:45.536]  It will be good for darkness and tyranny.
[00:15:46.141 --> 00:15:50.624]  So I thought we would go into that and talk about how both sides are bad.
[00:15:50.624 --> 00:15:53.286]  Both the new world order and Iran.
[00:15:53.286 --> 00:15:54.707]  So they like to make it black and white.
[00:15:54.707 --> 00:15:56.588]  Now how about black and black?
[00:15:56.588 --> 00:15:59.470]  Okay, that's really how governments as the founding fathers told us.
[00:15:59.470 --> 00:16:01.231]  It's black and black, not black and white.
[00:16:02.143 --> 00:16:05.166]  Government is evil in and of its own nature.
[00:16:05.166 --> 00:16:07.027]  And then we'll take your calls.
[00:16:07.027 --> 00:16:07.687]  I'm Alex Jones.
[00:16:07.687 --> 00:16:10.830]  The websites are PrisonPlanet.com and InfoWars.com.
[00:16:10.830 --> 00:16:15.193]  And we've got an hour and 45 minutes spanning out before us.
[00:16:15.193 --> 00:16:15.694]  Stay with us.
[00:16:36.684 --> 00:16:37.345]  It's here.
[00:16:37.345 --> 00:16:42.492]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:16:42.492 --> 00:16:50.142]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:16:50.822 --> 00:16:58.286]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:16:58.286 --> 00:17:10.011]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:17:10.011 --> 00:17:13.973]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:17:13.973 --> 00:17:16.234]  It's an anthology of government crimes.
[00:17:16.234 --> 00:17:20.096]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:17:20.672 --> 00:17:27.685]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:17:33.852 --> 00:17:36.072]  Hi, John Heumann from Midas Resources.
[00:17:36.072 --> 00:17:38.993]  Are you tired of watching your hard-earned assets dwindle away?
[00:17:38.993 --> 00:17:47.635]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:17:47.635 --> 00:17:51.276]  Is this market a setup for a crash greater than 1987?
[00:17:51.276 --> 00:17:55.817]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:17:55.817 --> 00:17:57.377]  How much are you willing to lose?
[00:17:57.797 --> 00:17:58.858]  Take action now!
[00:17:58.858 --> 00:18:03.663]  Call me at 1-800-686-2237, extension 129.
[00:18:03.663 --> 00:18:07.647]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:18:07.647 --> 00:18:10.990]  Over recent decades, numerous economic systems have failed.
[00:18:10.990 --> 00:18:17.417]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:18:17.697 --> 00:18:19.980]  Secure your assets today by calling 1-800-686-2237, extension 129.
[00:18:19.980 --> 00:18:21.081]  Do this while paper can still buy gold.
[00:18:21.081 --> 00:18:22.723]  Call me, John Huebner, at 1-800-686-2237, extension 129.
[00:18:35.057 --> 00:18:37.138]  Hi, Steve Shank, Fearless Task Force.
[00:18:37.138 --> 00:18:40.480]  The J. Michael Stevens Group is shipping a lot of storable food.
[00:18:40.480 --> 00:18:43.322]  It's smart that you're getting going at your food supplies.
[00:18:43.322 --> 00:18:52.087]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[00:18:52.087 --> 00:18:53.167]  An example?
[00:18:53.167 --> 00:18:56.889]  In 24 hours, clementine oranges doubled in price.
[00:18:56.889 --> 00:19:00.031]  If you intend to start or finish your supply, call immediately.
[00:19:00.031 --> 00:19:03.313]  When you call, tell them how many adults and how many years of food you need.
[00:19:04.065 --> 00:19:09.889]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[00:19:09.889 --> 00:19:11.590]  Money is not the problem.
[00:19:11.590 --> 00:19:13.111]  Availability is.
[00:19:13.111 --> 00:19:15.212]  Be careful when food supplies get short.
[00:19:15.212 --> 00:19:19.515]  With no future, many retailers ship real trash to supply you.
[00:19:19.515 --> 00:19:21.636]  For safe food you can trust, call 800-409-5633.
[00:19:21.636 --> 00:19:22.697]  On the web, efoodsdirect.com.
[00:19:22.697 --> 00:19:22.737]  800-409-5633.
[00:19:35.549 --> 00:19:39.912]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:19:39.912 --> 00:19:41.933]  Well, the glass has a natural resonance.
[00:19:41.933 --> 00:19:48.517]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:19:48.517 --> 00:19:54.601]  Using this similar principle, Royal Raymond Rife discovered that diseased organisms can be destroyed using different resonant frequencies.
[00:19:54.881 --> 00:20:02.843]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions with no side effects.
[00:20:02.843 --> 00:20:07.744]  The 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[00:20:07.744 --> 00:20:11.584]  Its easy reference guide will allow you to begin using the instrument within minutes.
[00:20:11.584 --> 00:20:15.485]  Simple step-by-step instructions using pictures are easy to follow.
[00:20:15.485 --> 00:20:18.166]  Customer satisfaction is guaranteed or your money back.
[00:20:18.166 --> 00:20:19.206]  Don't just treat symptoms.
[00:20:19.826 --> 00:20:22.027]  Are you tired of searching for great talk radio?
[00:20:22.027 --> 00:20:22.968]  Well, search no more.
[00:20:22.968 --> 00:20:24.188]  We are the GCN Radio Network.
[00:20:46.067 --> 00:21:05.523]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[00:21:05.523 --> 00:21:08.845]  Welcome back, my friends, on this April 1st edition, 2007.
[00:21:08.845 --> 00:21:12.568]  Hard to believe we're already in the fourth month of 2007.
[00:21:12.568 --> 00:21:13.469]  I'm still thinking it's 2005.
[00:21:16.414 --> 00:21:21.877]  Alright, let me get into the really big news and analysis, and then we'll start going to your phone calls.
[00:21:21.877 --> 00:21:23.978]  I don't want to take a lot of your calls today.
[00:21:23.978 --> 00:21:29.661]  At 877-590-5525 or locally in Central Texas, 836-0590.
[00:21:29.661 --> 00:21:36.565]  No matter where you are around the United States listening on AM, FM, Internet, Shortwave, Satellite, you are welcome to call in.
[00:21:36.565 --> 00:21:44.189]  And I am looking at... A lot of folks are in the KLBJ 590... 590KLBJ.com chat room, since I mentioned it.
[00:21:45.261 --> 00:21:46.762]  But they're all conversing with each other.
[00:21:46.762 --> 00:21:52.404]  I don't see any questions, so if you've got any questions, I'll certainly read some of those off of there later.
[00:21:52.404 --> 00:21:54.645]  I do see some funny comments, though.
[00:21:54.645 --> 00:22:00.528]  But this is not a funny subject here in front of me today.
[00:22:00.528 --> 00:22:00.968]  U.S.
[00:22:00.968 --> 00:22:04.209]  ready to strike Iran on Good Friday.
[00:22:04.209 --> 00:22:13.173]  Now, about a week and a half ago, Russian newspapers, Novostat and others, that have been pretty darn credible in the past, they're certainly not Pravda,
[00:22:14.065 --> 00:22:41.853]  The equivalent of the Russian Fox News of disinformation, but they said that there was a plan to attack on April 4th or 5th or 6th, and to hit hundreds of sites in and around Iran, and by around, hitting their floating fortresses, these militarized oil rigs they've got, and some of their missile cruisers they've got there in the Persian Gulf and surrounding waters.
[00:22:43.812 --> 00:22:48.034]  And sure enough, here it is in the Jerusalem Post today.
[00:22:48.034 --> 00:22:48.734]  Now, let's be clear.
[00:22:48.734 --> 00:22:59.739]  It's always governments and media that say this, and then when there isn't an attack this week, and I pray to God there isn't, you're going to call me up and say, you said there was going to be an attack this week.
[00:22:59.739 --> 00:23:03.801]  There's two aircraft carrier groups in the Persian Gulf.
[00:23:03.801 --> 00:23:09.263]  There are four other fleets there with different configurations of ships.
[00:23:09.263 --> 00:23:10.784]  Hundreds of large craft.
[00:23:12.021 --> 00:23:14.962]  Literally thousands of aircraft.
[00:23:14.962 --> 00:23:19.964]  The media, I've got reports here, is now massing in the Gulf states at the hotels.
