[00:00.000 --> 00:17.000]  Resistance to Tyrants is obedience to God, it's Alex Jones.
[02:33.000 --> 02:37.000]  especially those that are fallen and their ultimate sacrifice.
[02:37.000 --> 02:45.000]  You can also say that America is illustrated by its inventiveness and by its exploration.
[02:45.000 --> 02:53.000]  And yes, the American spirit is also known to not be one that bends to the will of the corrupt or the powerful.
[02:53.000 --> 03:00.000]  And it's that essential spirit captured in the Declaration of Independence, 1776, July 4th,
[03:00.000 --> 03:07.000]  that is so antithetical to the globalist, technocratic, New World Order top-down system of tyranny.
[03:07.000 --> 03:12.000]  So America never truly lived up to its great dreams and its great visions,
[03:12.000 --> 03:18.000]  but just the attempts to do it made this republic, the apple of the world's eye,
[03:18.000 --> 03:24.000]  and a model that others have tried to follow for over 200 years.
[03:24.000 --> 03:27.000]  The planet instantly was in love with America.
[03:27.000 --> 03:32.000]  The planet instantly wanted to come to the New World, especially after the republic was established.
[03:32.000 --> 03:35.000]  And we have been exceptional.
[03:35.000 --> 03:39.000]  The globalists have been attacking everything that has made us rugged individuals,
[03:39.000 --> 03:41.000]  everything that has made us exceptional.
[03:41.000 --> 03:45.000]  And quite frankly, I want to see 1776 worldwide.
[03:45.000 --> 03:50.000]  And that doesn't mean American power or hegemony worldwide, but American soft power.
[03:50.000 --> 04:00.000]  And what truly made this republic great, the true core values that are universal and are in humanity,
[04:00.000 --> 04:04.000]  and that only one example of which was this republic.
[04:04.000 --> 04:11.000]  So that's what it comes down to, not exporting our ideas, but actually exercising those true systems
[04:11.000 --> 04:18.000]  in a 21st century renaissance, a new enlightenment to where you don't have to conquer people,
[04:18.000 --> 04:26.000]  they want to adopt and also adapt those ideas and those systems that made us great because they work so well.
[04:26.000 --> 04:32.000]  That's why under Agenda 21 and Cloward and Piven and the Globalist Project, they must defeat America.
[04:32.000 --> 04:35.000]  They must use us to build their world government.
[04:35.000 --> 04:40.000]  They must use the republic to carry out their dirty work and have our name on their system.
[04:40.000 --> 04:46.000]  So that first global government will fall and then the new world government will come in on its ashes
[04:46.000 --> 04:48.000]  and on the ashes of this republic.
[04:48.000 --> 04:50.000]  And I'm here to try to resist that.
[04:50.000 --> 05:11.000]  Thanks, Jones. Stay with us. We'll be right back after this short break.
[05:21.000 --> 05:24.000]  This has been a huge obstacle for her and her campaign.
[05:24.000 --> 05:31.000]  A separate ABC News Washington Post poll, approximately 53% of voters said that they had an unfavorable opinion of Clinton.
[05:31.000 --> 05:37.000]  Another recent poll by the New York Times found that 64% of registered voters do not see Hillary as honest and trustworthy.
[05:37.000 --> 05:42.000]  Report notes that the prime reason for voters not trusting Hillary is the email scandal.
[05:42.000 --> 05:47.000]  These findings dovetail with the release of the State Department Inspector General's report on Hillary's email,
[05:47.000 --> 05:50.000]  which reveals that although Clinton handed over 55,000 emails,
[05:50.000 --> 05:55.000]  she did not provide any emails from the first few months of her tenure as Secretary of State.
[05:55.000 --> 05:57.000]  Stay tuned for more reports at infowars.com.
[05:57.000 --> 06:18.000]  I'm Joe Biggs.
[06:27.000 --> 06:55.000]  This is the essence of the Globalist Project, and I want to expose it right now.
[06:55.000 --> 07:06.000]  Now, coming up at the bottom of the hour, we're going to air an interview that I conducted Friday night with Tim Kennedy.
[07:06.000 --> 07:12.000]  Tim Kennedy is better known as being one of the top UFC middleweight fighters in the world.
[07:12.000 --> 07:18.000]  He's also known for being drug-clean when most of the other fighters keep getting caught on steroids.
[07:18.000 --> 07:22.000]  But I don't really admire him because of the UFC.
[07:22.000 --> 07:30.000]  I admire him because I happen to know a lot of people that are retired and current special forces in the SEALs,
[07:30.000 --> 07:33.000]  but particularly in the Army, also some Marines.
[07:33.000 --> 07:41.000]  And they across the board say that Tim Kennedy is one of the most honorable constitutionalist people that they've ever met,
[07:41.000 --> 07:52.000]  and that he's also hands down one of the most dangerous committed versatile soldiers they've ever seen.
[07:52.000 --> 07:57.000]  He's basically the Army's Chris Kyle, but the Army doesn't allow legends to grow.
[07:57.000 --> 07:59.000]  They're the quiet professionals.
[07:59.000 --> 08:08.000]  And he actually worked with Chris Kyle interfacing with him on a lot of the Army slash Navy missions.
[08:08.000 --> 08:13.000]  And I have been through other folks to know some of the work that he does.
[08:13.000 --> 08:18.000]  Let's just say it's the highest level of the Army in the most elite joint forces units.
[08:18.000 --> 08:25.000]  And that's why when he's privately not told me anything classified, but privately given me intel that's important,
[08:25.000 --> 08:28.000]  that Dove tells them I want to research, I pay attention to it.
[08:28.000 --> 08:35.000]  But on the Friday radio show, he said, look, there are ISIS cells here in America confirmed.
[08:35.000 --> 08:40.000]  And they are looking at basically the DNC and RNC.
[08:40.000 --> 08:43.000]  And ISIS has said they're doing that in the news.
[08:43.000 --> 08:45.000]  So that's how he's able to talk about it.
[08:45.000 --> 08:52.000]  But he basically pointed out that, yes, the globalist contingent in our government is allowing these people in
[08:52.000 --> 08:56.000]  so that when they attack, they can do just what they've done in Europe, they can take our liberties away.
[08:56.000 --> 09:03.000]  Doesn't make sense, but logic is being exterminated right now in this country and worldwide.
[09:03.000 --> 09:07.000]  So coming up at the bottom of the hour, it's just a nine minute interview.
[09:07.000 --> 09:08.000]  It's very condensed, very focused.
[09:08.000 --> 09:12.000]  We're going to premiere that here on the radio coming up.
[09:12.000 --> 09:21.000]  Also, there's an extremely viral video that I shot a few days ago dealing with the fact that Donald Trump has
[09:21.000 --> 09:24.000]  the globalist absolutely just scared to death and why.
[09:24.000 --> 09:28.000]  And it's because he's mainlining the understanding that there is a shadow government.
[09:28.000 --> 09:34.000]  There is a global government being formed and it's anti-prosperity, anti-human.
[09:34.000 --> 09:36.000]  This is only a seven minute interview.
[09:36.000 --> 09:39.000]  So we're going to come back in the next segment and I'm going to play it.
[09:39.000 --> 09:41.000]  But here it is short and sweet.
[09:41.000 --> 09:46.000]  America never realized all of its dreams.
[09:46.000 --> 09:54.000]  But the dreams of our republic are the greatest expression of the Renaissance, the new enlightenment.
[09:54.000 --> 10:02.000]  And that came out of Christians to boil it down that wanted to have an open free society where you could still have
[10:02.000 --> 10:06.000]  any religion you wanted and not have a state run religion.
[10:06.000 --> 10:11.000]  And who wanted to build a new civilization truly based on brotherly love and free association.
[10:11.000 --> 10:14.000]  And that is what caused the Renaissance.
[10:14.000 --> 10:20.000]  The United States was a project of the Renaissance and a project of the real Illuminati.
[10:20.000 --> 10:28.000]  Not the false 1776 Jesuit clone they created at Ingolstadt University.
[10:28.000 --> 10:33.000]  And I'm going to say it was a Jesuit conspiracy but it was a Jesuit priest who then launched the French Revolution later.
[10:33.000 --> 10:38.000]  That's why they launched it the same year right after ours had already kicked off in 1775.
[10:38.000 --> 10:43.000]  Our Declaration of Independence started almost a year later on July 4th.
[10:43.000 --> 10:47.000]  And it is that Declaration of Independence that is the heart of Americana
[10:47.000 --> 10:55.000]  and that incredibly beautiful idea that just 10% of the implementation of it
[10:55.000 --> 10:58.000]  made us the freest, most prosperous nation on earth.
[10:58.000 --> 11:06.000]  And on Memorial Day we remember the Americans by the millions who fought and who died
[11:06.000 --> 11:08.000]  and who believed in something.
[11:08.000 --> 11:11.000]  So yes, America's flag gets flown over corrupt things that happen.
[11:11.000 --> 11:12.000]  We've been captured.
[11:12.000 --> 11:14.000]  I want to take our flag and our republic back.
[11:14.000 --> 11:19.000]  Yes, our nation does a lot of bad things and exports a lot of cultural rot
[11:19.000 --> 11:22.000]  because we've been captured and taken over.
[11:22.000 --> 11:29.000]  The parasite that's in America and in Europe of evil and corruption isn't America, isn't Europe.
[11:29.000 --> 11:33.000]  But it wants to use us to build its world government again and then collapse us.
[11:33.000 --> 11:38.000]  And I know you know that but we cannot allow this capability to happen.
[11:38.000 --> 11:43.000]  The America I love created more than 90% of the world's modern inventions.
[11:43.000 --> 11:46.000]  The America I love was known for trailblazing and not bowing to tyranny
[11:46.000 --> 11:51.000]  and going and freeing the oppressed and trailblazing the end of slavery along with England.
[11:51.000 --> 11:55.000]  Yes, it was England in the United States that trailblazed ending slavery to a certain extent.
[11:55.000 --> 11:58.000]  It's back in Africa now in some areas of Asia and the Middle East.
[11:58.000 --> 12:00.000]  So that's the America I admire and love.
[12:00.000 --> 12:07.000]  It's the America that empowered women and the America that first got women the right to vote anywhere in the world.
[12:07.000 --> 12:09.000]  Same thing happened in England and Europe.
[12:09.000 --> 12:17.000]  It's the countries that came up with the scientific exploration and just almost every cutting-edge system you can imagine, America is the leader.
[12:17.000 --> 12:25.000]  And when we went to war, we were the most feared because we defeated empires that no one else had ever stopped like the British.
[12:25.000 --> 12:28.000]  So that's why I love this Republic.
[12:28.000 --> 12:31.000]  I could talk for hours, I could talk for days, I could talk for weeks.
[12:31.000 --> 12:34.000]  I know you can think about all the great things this exceptional nation did.
[12:34.000 --> 12:38.000]  But when Putin says you're no longer exceptional, it's true.
[12:38.000 --> 12:45.000]  We are exceptional at corruption, exceptional at evil, exceptional at letting the IRS persecute patriots and veterans and Christian groups.
[12:45.000 --> 12:49.000]  We become exceptionally fat culturally and physically.
[12:49.000 --> 12:52.000]  We become exceptionally lazy on average.
[12:52.000 --> 13:02.000]  But just because America has been hijacked and taken over, does it mean then we hate the Republic and just get rid of it and accept whatever the latest globalist fad is?
[13:02.000 --> 13:06.000]  Because it's globalism that brought us to this low position.
[13:06.000 --> 13:12.000]  And I know you, the key info wars audience, literally the key people awake worldwide, understand that.
[13:12.000 --> 13:14.000]  But we have to get that message out to others.
[13:14.000 --> 13:16.000]  Here's what it comes down to.
[13:16.000 --> 13:21.000]  I see comments on infowars.com where Joe Biggs was at the Vietnam Memorial last night after he got defaced.
[13:21.000 --> 13:23.000]  He went to report on it.
[13:23.000 --> 13:25.000]  He's there with our camera folks.
[13:25.000 --> 13:28.000]  He's going to be part of the big rally coming up tomorrow.
[13:28.000 --> 13:29.000]  So be sure and support him.
[13:29.000 --> 13:33.000]  It tells her at infowars.com and on my Twitter and on his Twitter.
[13:33.000 --> 13:37.000]  But they're like, what are you doing out there supporting the Vietnam War?
[13:37.000 --> 13:40.000]  What are you doing supporting all the bloodthirsty baby killing veterans?
[13:40.000 --> 13:42.000]  What are you doing out there?
[13:42.000 --> 13:43.000]  You scum.
[13:43.000 --> 13:46.000]  This guy gets in Biggs' face and he gets back in that guy's face.
[13:46.000 --> 13:50.000]  Our country's been better than the others promoting freedom and liberty.
[13:50.000 --> 13:52.000]  Our ideas are the best.
[13:52.000 --> 13:55.000]  Our playbooks the best even if we never implemented it that much.
[13:55.000 --> 13:56.000]  Do you understand?
[13:56.000 --> 14:00.000]  So I support the people that fought and died because they believed they were fighting for this country.
[14:00.000 --> 14:02.000]  At least they went out and did something.
[14:02.000 --> 14:03.000]  They showed up for something.
[14:03.000 --> 14:05.000]  And many of them were conscripted under the draft.
[14:05.000 --> 14:07.000]  And it goes on from there.
[14:07.000 --> 14:13.000]  I support people that care enough to come out and be there and remember the people that died.
[14:13.000 --> 14:17.000]  Because I admire people that are willing to stand up and fight and believe in something.
[14:17.000 --> 14:20.000]  And that's why it's hard for me to sit here and even talk about this without getting tears in my eyes.
[14:20.000 --> 14:26.000]  Because I think about all my family that have been in the military and what good, straight, strong, hard work of people they are.
[14:26.000 --> 14:32.000]  Call them at 3 a.m. and come to my house and help me if I had a leak in the roof or I was sick.
[14:32.000 --> 14:38.000]  And I think about the rest of the public and all the scum and the chicken necks that come out and spit on the veterans
[14:38.000 --> 14:43.000]  and spit on our reporters and attack us and laugh when a police horse falls down because they run into it
[14:43.000 --> 14:45.000]  and it breaks its leg and they celebrate.
[14:45.000 --> 14:49.000]  Let me tell you, if I got to choose sides, I'm going to choose the military.
[14:49.000 --> 14:50.000]  I'm going to choose the police.
[14:50.000 --> 14:56.000]  And I'm going to choose what's left of America because I'm here to tell you the globalists are trying to throw this country over.
[14:56.000 --> 14:59.000]  That's why they show the bad cops. That's why they show the bad troops.
[14:59.000 --> 15:01.000]  That's why they promote it and push it.
[15:01.000 --> 15:07.000]  Not to reform it, but to absolutely make us hate the military and hate the police and hate our local governments
[15:07.000 --> 15:10.000]  because they know that's all that's left of America.
[15:10.000 --> 15:16.000]  And let me tell you, it isn't perfect and it's falling apart, but it's still got basic ideas enshrined in it
[15:16.000 --> 15:20.000]  that scare these globalists to their very core level.
[15:20.000 --> 15:24.000]  And they want to strangle and extinguish the fire of liberty in this republic.
[15:24.000 --> 15:28.000]  They want to shut down the press. They want to shut down our inventiveness.
[15:28.000 --> 15:29.000]  They want to shut down our industry.
[15:29.000 --> 15:35.000]  They want to shut down our families and attack our fathers and our mothers and our daughters and our sons
[15:35.000 --> 15:36.000]  and abort our children.
[15:36.000 --> 15:39.000]  These globalists hate our guts and they've stolen the republic
[15:39.000 --> 15:45.000]  and they've used this great engine to take over the world while debilitating us and getting ready to destroy us.
[15:45.000 --> 15:47.000]  We're going to come back from break.
[15:47.000 --> 15:52.000]  Let's speak a few more minutes about why I support Memorial Day and why I choose America and this republic
[15:52.000 --> 15:55.000]  and then we're going to go to some other special reporting at the UCR.
[15:55.000 --> 15:56.000]  Stay with us.
[15:59.000 --> 16:02.000]  Thousands of years ago, there was a basic form of chivalry.
[16:02.000 --> 16:10.000]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[16:10.000 --> 16:16.000]  Sixty years ago, when foreign air forces were approaching filled with bombs,
[16:16.000 --> 16:19.000]  they had drums of their own, air raid sirens.
[16:19.000 --> 16:23.000]  But in the 21st century, there are silent weapons for quiet war.
[16:23.000 --> 16:29.000]  Pathogens added to the food and water, into the lining of plastics that destroy our vitality,
[16:29.000 --> 16:33.000]  turn off our hormones and accelerate our journey towards death.
[16:33.000 --> 16:42.000]  I personally counter this onslaught with Anthroplex. Anthroplex is designed with known, organic, concentrated herbs
[16:42.000 --> 16:48.000]  to create the basic foundation to normal metabolic activity inside the human body.
[16:48.000 --> 16:51.000]  Discover why Anthroplex has turned so many heads today.
[16:51.000 --> 16:57.000]  It's time for us to take our bodies back into our own hands and it starts at infowarslife.com with Anthroplex.
[16:57.000 --> 17:02.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[17:02.000 --> 17:09.000]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine,
[17:09.000 --> 17:11.000]  plant derived minerals and much more.
[17:11.000 --> 17:15.000]  Young Jevity also offers you an ingenious way to augment your income
[17:15.000 --> 17:19.000]  and the best part, you'll be helping your friends and family along the way.
[17:19.000 --> 17:21.000]  Visit infowarsteam.com today.
[17:21.000 --> 17:22.000]  Become a member.
[17:22.000 --> 17:26.000]  It discounts on the amazing products and free shipping when you sign up for auto-ship
[17:26.000 --> 17:33.000]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[17:33.000 --> 17:34.000]  Another win-win.
[17:34.000 --> 17:39.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com and you can be too.
[17:39.000 --> 17:43.000]  It's simple, just go to infowarsteam.com today.
[17:43.000 --> 17:45.000]  Complete a short sign up and you're part of the team.
[17:45.000 --> 17:48.000]  That's infowarsteam.com or infowarshealth.com.
[17:48.000 --> 17:54.000]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[17:54.000 --> 17:56.000]  Check it out for yourself today.
[17:59.000 --> 18:02.000]  Alex Jones here with an emergency breaking news alert.
[18:02.000 --> 18:04.000]  Now is the time to get prepared.
[18:04.000 --> 18:10.000]  We have never seen the elite escalating their own preparedness process like we're seeing right now.
[18:10.000 --> 18:18.000]  This is a key indicator that the global crises that is being orchestrated by the New World Order to bring in planetary government is being kicked into a new phase.
[18:18.000 --> 18:24.000]  We hope we have more time to wake people up and get ready, but we're preparing for the worst right now.
[18:24.000 --> 18:27.000]  Prepare with Survival Shield X2 nascent iodine.
[18:27.000 --> 18:31.000]  In the month of May, we are urging our listeners and viewers to get prepared.
[18:31.000 --> 18:36.000]  And the most important item is Survival Shield X2 nascent iodine.
[18:36.000 --> 18:41.000]  That's why we're offering 20% off at infowarslife.com until the month ends.
[18:41.000 --> 18:44.000]  The globalists do not want us to be self-sufficient.
[18:44.000 --> 18:47.000]  It is key that we be prepared and able to take care of ourselves.
[18:47.000 --> 18:51.000]  One of those incredibly important items is nascent iodine.
[18:51.000 --> 18:56.000]  Prepare with Survival Shield X2 nascent iodine and get 20% off at infowarslife.com.
[18:56.000 --> 19:18.000]  Take action today.
[19:27.000 --> 19:32.000]  When cells become toxic, they die early and aging sets in.
[19:32.000 --> 19:40.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[19:40.000 --> 19:45.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[19:45.000 --> 19:48.000]  You want the best that's out there at the lowest price anywhere?
[19:48.000 --> 19:50.000]  We now have the synergistic solution.
[19:50.000 --> 19:57.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[20:21.000 --> 20:26.000]  Radio Network
[20:26.000 --> 20:29.000]  Ladies and gentlemen, we are back. Thank you for joining us.
[20:29.000 --> 20:33.000]  Anthony Gucciardi again is coming up towards the end of the hour.
[20:33.000 --> 20:38.000]  We'll be hosting the broadcast, taking your phone calls on what Memorial Day and Veterans Day means to you.
[20:38.000 --> 20:41.000]  Do you disagree with what I've said?
[20:41.000 --> 20:44.000]  If so, what do we replace it with?
[20:44.000 --> 20:46.000]  Simple questions like that.
[20:46.000 --> 20:50.000]  But I also want to hear from people just about American exceptionalism.
[20:50.000 --> 20:53.000]  We were exceptional by every benchmark, by every foreign historian's eye.
[20:53.000 --> 20:56.000]  We really have been a special country. What made us special?
[20:56.000 --> 21:00.000]  And I want to rediscover that, and I want to promote that, and that's what I believe in.
[21:00.000 --> 21:02.000]  And that's what I stand for.
[21:02.000 --> 21:12.000]  And I'm not going to sit here and just give up on this republic as the globalists try to destroy our morale and destroy our will and get all of us to stand down.
[21:12.000 --> 21:16.000]  Because I'm here to tell you, we're in a battle for this republic, in a battle for this world.
[21:16.000 --> 21:19.000]  The globalists are evil, anti-human, eugenicists.
[21:19.000 --> 21:23.000]  Cold-blooded, self-serving, the most wicked people you could imagine.
[21:23.000 --> 21:26.000]  Totally turned over to the dark side.
[21:26.000 --> 21:32.000]  And we can stand up and defeat it if we realize how big the stakes are.
[21:32.000 --> 21:33.000]  It's that simple.
[21:33.000 --> 21:38.000]  And Donald Trump, regardless of who he is, has caught that zeitgeist of nationalism.
[21:38.000 --> 21:48.000]  And that's why the controllers are so scared of him, and that's why there's a huge awakening happening around the world that he and all of us are only one small manifestation of.
[21:48.000 --> 21:50.000]  This is only the beginning.
[21:50.000 --> 21:58.000]  So I'm going to re-hear the special report we did on how Donald Trump has helped take us over the zeitgeist, the tipping point against globalism,
[21:58.000 --> 22:03.000]  where now people see the worldwide shadow government for what it is and are now learning the details.
[22:03.000 --> 22:06.000]  That is the first major step in defeating the globalists.
[22:06.000 --> 22:11.000]  We're there. The education level is here. This is a very, very special moment. Stay with us.
[22:15.000 --> 22:18.000]  The establishment is in panic mode like it's never been before.
[22:18.000 --> 22:27.000]  In the last 24 hours, the New York Times, CNN, MSNBC, and many other establishment media outlets all came out and said,
[22:27.000 --> 22:28.000]  we're in panic mode.
[22:28.000 --> 22:31.000]  Donald Trump is channeling Alex Jones.
[22:31.000 --> 22:34.000]  Donald Trump's getting his worldview from infowars.com.
[22:34.000 --> 22:41.000]  And any sort of conspiracy theory, anything from the 80s, the 90s, or even beyond, I think is just continuously stoking that theory.
[22:41.000 --> 22:43.000]  But this also just feels very narrowcast to me.
[22:43.000 --> 22:46.000]  I mean, this really is like, I really think, it's been amazing to watch this.
[22:46.000 --> 22:49.000]  I mean, you've got Alex Jones, who I've been watching a lot recently.
[22:49.000 --> 22:55.000]  He's like the sort of the sort of main conspiracy theorist that's probably the most popular in American life right now.
[22:55.000 --> 22:57.000]  You know, Roger Stone goes on that show every day.
[22:57.000 --> 23:04.000]  There's this crazy vortex of all that stuff back from the 90s and Dan Burton firing a gun into a pumpkin or whatever the hell it was.
[23:04.000 --> 23:10.000]  All of that stuff, which has been simmering there forever and judges stoked, is now sort of exploding through the channel of Trump.
[23:10.000 --> 23:12.000]  And part of the challenge, Michael, is straight.
[23:12.000 --> 23:16.000]  He's talking about the JFK assassination. He's talking about Clintons killing people in rape.
[23:16.000 --> 23:20.000]  Oh my gosh, it's so terrible. It's so horrible. What do we do?
[23:20.000 --> 23:24.000]  Well, the majority of Americans know the government killed Kennedy. It's over 90% in pulse.
[23:24.000 --> 23:29.000]  The Clinton scandals with the mysterious deaths and everything are incredibly famous.
[23:29.000 --> 23:31.000]  The term Arkham cited.
[23:31.000 --> 23:35.000]  He's talking about things that the majority of Americans know are going on.
[23:35.000 --> 23:41.000]  And what's happening is the facade of the mainstream media is falling and they're figuring out the facade is falling
[23:41.000 --> 23:45.000]  because when they criticize Trump for talking about these things, he gets more popular.
[23:45.000 --> 23:51.000]  The tide is now officially turned. They keep trying to turn the tide back and it's not working.
[23:51.000 --> 23:56.000]  Am I proud of the fact that they're saying, you know, Trump gets his worldview from Alex Jones?
[23:56.000 --> 23:58.000]  Yes, but that's not even true.
[23:58.000 --> 24:04.000]  My worldview of how the globalist operate in history is mainly off declassified documents, congressional hearings.
[24:04.000 --> 24:09.000]  It was declassified in the 1960s and the 70s in the church hearings,
[24:09.000 --> 24:15.000]  but the CIA put out the term conspiracy theorist to criticize even mainline investigative journalists
[24:15.000 --> 24:18.000]  that were exposing opium coming out of Vietnam and things like that.
[24:18.000 --> 24:22.000]  This is all happened. They've been caught over and over again. That's their term.
[24:22.000 --> 24:28.000]  And now Trump comes in, amplifies what I'm saying, what Drudge report and Matt Drudge is saying
[24:28.000 --> 24:34.000]  and just common sense stuff and it's blown past them and their facade has collapsed.
[24:34.000 --> 24:40.000]  It was always a facade, but now it's blown over and Trump is hitting a whole new demographic worldwide.
[24:40.000 --> 24:44.000]  Even if he was a sellout, even if he's a bad guy, which I don't think he is.
[24:44.000 --> 24:48.000]  I think the guy's a hero. He's doing a revocable damage to him.
[24:48.000 --> 24:53.000]  This is an incredible time to be alive and the info war has never been exploding faster.
[24:53.000 --> 24:56.000]  We're getting like triple the traffic we got six months ago.
[24:56.000 --> 25:00.000]  It's just amazing how mainline our information is going.
[25:00.000 --> 25:07.000]  Mainline libertarians, mainline conservatives, mainline anti-war patriots, Amish type folks,
[25:07.000 --> 25:13.000]  folks that are into being natural and organic, they're all awake, but they were already awake.
[25:13.000 --> 25:18.000]  I didn't wake them up. I was just a prominent person putting the information out and organizing it
[25:18.000 --> 25:23.000]  and having great reporters like our crew and you, the listeners, getting the info out.
[25:23.000 --> 25:28.000]  We're all a family from a race, color and creed part of this fight and history is happening.
[25:28.000 --> 25:32.000]  This is the potential beginning of 1776 part two.
[25:32.000 --> 25:35.000]  They're going to crash economies. They're going to start big wars.
[25:35.000 --> 25:39.000]  They're going to pull out the stops folks, but we know that they try to use these crises,
[25:39.000 --> 25:44.000]  both manufactured and real, to get more power and that's why they're being defeated.
[25:47.000 --> 25:51.000]  And the guys, oh no, not another one. Where is it?
[25:56.000 --> 26:03.000]  How old is this kid? How old is this kid? Get out of here.
[26:03.000 --> 26:09.000]  Get out of here. Still wearing diapers. Look at this kid.
[26:15.000 --> 26:19.000]  I'm telling you, the kid looks like he's 10 years old. I've never seen him.
[26:21.000 --> 26:26.000]  It's unbelievable. That's the youngest protester I've ever seen.
[26:26.000 --> 26:29.000]  Actually, Ted Cruz had it very young one also.
[26:29.000 --> 26:34.000]  I've never seen anybody like that.
[26:34.000 --> 26:39.000]  Trump is just mainlining what the majority of Americans are already concerned about.
[26:39.000 --> 26:41.000]  And we're tired of being lied to.
[26:41.000 --> 26:47.000]  And the system is in full panic mode, turning all these thugs loose to try to go shut down free speech rallies and more.
[26:47.000 --> 26:49.000]  And that's only backfiring.
[26:49.000 --> 26:51.000]  The system is so scared right now.
[26:51.000 --> 26:56.000]  The bottom line, America's culture is a conspiracy culture since 1776.
[26:56.000 --> 27:04.000]  When we were ruled by a faraway land, by a faraway empire, we were born out of not trusting the government and wanting a small government.
[27:04.000 --> 27:07.000]  We're just discovering who we were and what made us great.
[27:07.000 --> 27:12.000]  We've been occupied by multinational globalists that say they're establishing a world government.
[27:12.000 --> 27:15.000]  And everything from the New York Times, the Financial Times of London,
[27:15.000 --> 27:19.000]  then we say we don't want to be part of an unelected world government and you call us dangerous terrorists.
[27:19.000 --> 27:21.000]  And the Washington Post three days ago.
[27:21.000 --> 27:26.000]  Is this global governance at last? Is it one world, the central bankers in charge?
[27:26.000 --> 27:30.000]  But aren't we all just living and dying for what the central banks do?
[27:30.000 --> 27:33.000]  Of course we are. We are absolutely slaves to central banks.
[27:33.000 --> 27:38.000]  You people want to have a full takeover of America when you've already seized these institutions.
[27:38.000 --> 27:42.000]  You want to shut down free speech. We're not flat footed. We warned everybody.
[27:42.000 --> 27:45.000]  Patriots 60 years ago got the word out.
[27:45.000 --> 27:52.000]  And now we held your system back for so long, it finally is getting here. You're behind schedule, but people are now awake.
[27:52.000 --> 27:55.000]  And we're warned that you were coming and what your system would be.
[27:55.000 --> 28:01.000]  People like Ron Paul 30, 40 years ago. People like, oh, it's just amazing.
[28:01.000 --> 28:04.000]  People like Barry Goldwater 50 years ago. They were so on target.
[28:04.000 --> 28:08.000]  And we stand on their shoulders today. This is just an incredible time.
[28:08.000 --> 28:13.000]  So spread the word. People are ready to wake up to the fact that we have an occupied government of takeover artists.
[28:13.000 --> 28:17.000]  And we're going to restore our republic if we understand these people are illegitimate.
[28:17.000 --> 28:21.000]  Break the trance and take our republic back.
[28:21.000 --> 28:26.000]  Their takeover was so big and so over the top, that was its advantage because it was just so incredible.
[28:26.000 --> 28:30.000]  But once the hoax that it doesn't exist is gone, it's game over.
