[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[03:53.760 --> 03:57.760]  That's who I'm going to get your guns.
[03:57.760 --> 04:00.760]  She says, I'm going to get your guns.
[04:00.760 --> 04:09.760]  And see, collectively, we all move forward from 95 when the whole anti-gun lobby said, we want to totally ban guns.
[04:09.760 --> 04:19.760]  And then we sit here and they go, we don't want your guns. That's ridiculous, like Joe Biden says, when he wrote the assault weapons ban or one version of it.
[04:19.760 --> 04:30.760]  And that's what's so insulting about these people is that they talk to us and play this game when they ball face lie to us like we're idiots.
[04:30.760 --> 04:39.760]  Well, we're not idiots, but they're targeting the part of the population that is unconscious who might as well be idiots.
[04:39.760 --> 04:59.760]  So when we come back, Start Your Engines, the final broadcast of 2012, here on the InfoWars Network, will transpire, will elapse, will unfold, will explode into 2013 in defense of the Republic, in defense of humanity, in defense of liberty.
[04:59.760 --> 05:02.760]  Prepare yourselves.
[05:02.760 --> 05:09.760]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[05:09.760 --> 05:15.760]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[05:15.760 --> 05:26.760]  Our most popular silver-based products are the 32-ounce nano-silver solutions, our 2-ounce nano-silver nasal applicators, as well as our all-natural silver soaps.
[05:26.760 --> 05:37.760]  Just released is our 100% natural silver gel. Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[05:37.760 --> 05:48.760]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[05:48.760 --> 05:57.760]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[05:57.760 --> 06:19.760]  That's www.silverlungs.com.
[06:28.760 --> 06:32.760]  I know I won't be standing in a bread line trading my freedom for food.
[06:32.760 --> 06:36.760]  I'm taking control of my future, and you're nuts if you don't do the same.
[06:36.760 --> 06:44.760]  Go to eFoodsDirect.com forward slash Alex to find the specials, and you can start with a holiday gift pack that's normally $80, now under $50.
[06:44.760 --> 06:52.760]  Remember, I can warn you, but I can't feed you. Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[06:52.760 --> 07:01.760]  Would you rather prepare six months too early or one day too late? 009-5633 or eFoodsDirect.com forward slash Alex.
[07:01.760 --> 07:09.760]  This man wants your guns. That is the cover of the 60-page glossy magazine jam-packed with information.
[07:09.760 --> 07:19.760]  The December issue of Info Wars Magazine. Info Wars Magazine gives you a powerful tool to reach out to friends and family and neighbors and people in your community with the message of liberty.
[07:19.760 --> 07:26.760]  Give a gift subscription to your local police department. Give a gift subscription to your local statehouse, to your pastor.
[07:26.760 --> 07:34.760]  This is the perfect tool. 12 of these delivered to the door of the institution's groups and individuals that you want to influence and wake up.
[07:34.760 --> 07:41.760]  Sign up for the free digital e-version at infowars.com forward slash newsletter, and we send it out the week after the physical magazine goes out.
[07:41.760 --> 07:51.760]  Or go to infowarstore.com today and sign up for a subscription. Give it as a gift subscription or buy them in bulk with Ron Paul, the attack on the Second Amendment, the police state, the GMO takeover.
[07:51.760 --> 08:01.760]  It's all there and all available at infowarstore.com or by calling 888-253-3139. Get your subscription or buy the magazines in bulk today.
[08:01.760 --> 08:12.760]  You have the power. Humanity has the power. We have the power. Do you want to fight? You better believe you got one.
[08:12.760 --> 08:39.760]  Rallying Patriots worldwide in defense of human liberty. It's Alex Jones.
[08:39.760 --> 08:57.760]  Ladies and gentlemen, welcome. It is the last transmission of my radio broadcast in 2012. It is the 31st day of January. It is the 31st day of December, 2012.
[08:57.760 --> 09:10.760]  Tomorrow will be the 1st of January, 2013. And I normally don't stumble over my words. I'm looking at infowars.com right now.
[09:10.760 --> 09:18.760]  We could punch that up on screen there for viewers. For radio listeners, you'll want to go to infowars.com.
[09:18.760 --> 09:33.760]  For video, Diane Feinstein says, prepare to turn in your guns. Democrat Senator, Mr. and Miss America, turn them all in, is the quote from 60 Minutes.
[09:33.760 --> 09:48.760]  And she goes on to say, her dream has always been to take all our guns. And that is exactly what her bill says. When we first wrote about her legislation last week, people didn't believe it.
[09:48.760 --> 09:58.760]  And they actually read it. It says, well, we make you come in and fingerprint to own guns. But if we feel like it, we'll just refuse and make you turn a man into a gun buyback.
[09:58.760 --> 10:05.760]  That is an announcement of gun confiscation. And it says it right there in the bill.
[10:05.760 --> 10:15.760]  And then people like Alan Combs, who came out and attacked me in the Hovegan Post on Friday, they come out and say, hey, what are you freaking out about, Alex?
[10:15.760 --> 10:22.760]  Yeah, you'll have to turn your guns in. What's the big deal? So see, oh, we don't want your guns. We would never want you to turn them in.
[10:22.760 --> 10:29.760]  They've tried five or six times the last 30 years to physically ban everything but bolt action.
[10:29.760 --> 10:40.760]  They're all on record. Obama, Eric Holder, Feinstein, Sarah Brady, all of them saying we believe that there should be a total abolition of owning guns.
[10:40.760 --> 10:47.760]  And there is no second amendment. Biden has said that. And then he goes out on the campaign trail and says, nobody's taking your Beretta.
[10:47.760 --> 10:58.760]  Nobody's taking your semi-auto. We have the video of that. When he wrote one of the versions of the assault weapons ban that physically made you turn them in, all semi-autos.
[10:58.760 --> 11:12.760]  He says, nobody's getting my Beretta. Really? Under the Feinstein legislation and legislation you supported in 1993 and again in 95, it openly physically makes you turn those in.
[11:12.760 --> 11:19.760]  And again, we know they're liars. How do we know they're liars? Their lips are moving. But that's because we pay attention.
[11:19.760 --> 11:36.760]  We're dealing with a large portion of the public. I wouldn't say a majority, but a large portion, 35, 40%, who would put their child in a microwave oven and put it on cook for 30 minutes if the Democratic Party ordered them to do it.
[11:36.760 --> 11:43.760]  These people would throw their children off cliffs if they were told to. They will do whatever they're told. They will believe anything.
[11:43.760 --> 11:58.760]  When CBS comes out and says the NRA is lying, no one owns guns in Israel. There are no guns at the schools in Israel. There are no citizens with guns. That's a lie. The NRA are liars.
[11:58.760 --> 12:07.760]  Atlantic Wire, CBS News, you name it. Now, in about 10 seconds, you can go look up the Israeli gun laws on their Knesset website.
[12:07.760 --> 12:16.760]  You can see Haritz, Jerusalem Post, you name it, with the women all at the beaches there that carry their M16s with them in their bikinis with M16s.
[12:16.760 --> 12:24.760]  You can see hundreds of photos of Israeli men and women in the schools guarding the children. You can see it everywhere. I mean, it's a fact.
[12:24.760 --> 12:31.760]  But they told you, see, they can't have Wayne LaPierre come out and say, well, hey, their answer with school shootings was to arm people.
[12:31.760 --> 12:39.760]  And then it knocked out all the school shootings. They're like, you're a liar. They don't have guns in Israel. That's right. NRA got caught in a lie.
[12:39.760 --> 12:43.760]  Again, this is what they think of you.
[12:43.760 --> 12:54.760]  Joe Biden, nobody wants your guns. That's a lie. We'll never try to take any of your guns. That's a preposterous lie. That clip's coming up. We're going to play that.
[12:54.760 --> 13:04.760]  Meanwhile, we're going to play a clip of him in the debate saying he wrote the assault weapons ban.
[13:04.760 --> 13:13.760]  And you're like, well, yeah, he says one thing, one day, another, another, because they have disdained for you. These are tyrants.
[13:13.760 --> 13:18.760]  And we're going to go over and more to tell today the insider trading of Dianne Feinstein. And that's what it is.
[13:18.760 --> 13:23.760]  Remember a couple of years ago, oh, Dianne Feinstein is one of the top people. She had a million bucks when she went to Congress.
[13:23.760 --> 13:32.760]  And now the wealth, you know, an estimate of between seven d something million and 150 something million. It all varies because it's so vague.
[13:32.760 --> 13:38.760]  I mean, how do you make $207,000 a year? What's the salary of a senator?
[13:38.760 --> 13:46.760]  175, excuse me. I guess it's the president gets paid 200 something on 170.
[13:46.760 --> 14:01.760]  On $175,000. And they just got raises of $4,000. So on $175,000 and you're worth a million, how do your investments turn out to be conservatively 70 something million?
[14:01.760 --> 14:04.760]  Since 1993 when she entered the Senate.
[14:04.760 --> 14:14.760]  Well, it's like Hillary, cattle futures. Oh, you went and invested $1,000, Hillary, and you got a million on your cattle futures.
[14:14.760 --> 14:20.760]  Oh, yeah, sure. These people are gangsters.
[14:20.760 --> 14:30.760]  And when it all came out, they were insider trading, giving billions of dollars to companies that they owned or that they had just bought stock in.
[14:30.760 --> 14:37.760]  And then their money doubles, triples quadruples like Dianne Feinstein.
[14:37.760 --> 14:44.760]  What is their answer to that? Oh, well, it's legal when Congress does it. So the public said, well, then you're not allowed to do that.
[14:44.760 --> 14:53.760]  You've got to change the law. There was already laws, but they went, okay, we'll, we'll pass a congressional law banning insider trading with a bunch of loopholes in it.
[14:53.760 --> 15:01.760]  You see of the ethics committee in the House or Senate run by insider traders themselves. And that's come out.
[15:01.760 --> 15:06.760]  I've got stacks of news on that. The worst offenders in insider trading had up the committees.
[15:06.760 --> 15:11.760]  They then say, oh, well, we got a waiver.
[15:11.760 --> 15:17.760]  We cover that in the Obama deception. Paulson, they're going, how does you get $200 million for yourself?
[15:17.760 --> 15:28.760]  And Paulson says, I got a waiver. And where does you get the waiver, Treasury Secretary? Oh, I got it from the ethics office at the Treasury Department.
[15:28.760 --> 15:41.760]  And Mr. Paulson, who is the head of the Treasury Department? He couldn't talk because no one would ever put him on the spot.
[15:41.760 --> 15:48.760]  And I don't particularly like Bernie Sanders, the socialist senator, but at least he asked those questions.
[15:48.760 --> 15:55.760]  The guy that really asked the serious questions was the Congressman Stern from Florida. He brought all that up as well.
[15:55.760 --> 16:04.760]  I mean, these clips are powerful. Oh, so, oh, they get, you know, they're publicly insider trading. Everybody gets upset about it.
[16:04.760 --> 16:12.760]  And so they go, you know what, we'll outlaw it, even though it was already illegal. But they play that game of, oh, there wasn't a law.
[16:12.760 --> 16:19.760]  And the Israelis aren't armed. And the moon's made of cheese. And the Easter Bunny's real.
[16:19.760 --> 16:25.760]  So the public says, okay, there ought to be a law. And they go, you're right. We'll pass a law.
[16:25.760 --> 16:35.760]  Then they pass a law legalizing the insider trading in the name of passing a law to outlaw insider trading that was already illegal.
[16:35.760 --> 16:49.760]  And see, that's wrong, ladies and gentlemen, on so many fronts, obviously, but that's what you get when you have a bunch of Harvard lawyers running things.
[16:49.760 --> 16:55.760]  And I got friends that are lawyers, they're defense lawyers, and they're lawyers that protect people from the other predatory lawyers.
[16:55.760 --> 17:03.760]  So I'm not saying all lawyers are inherently bad. As we become a society run by corrupt lawyers, you have to then get lawyers to battle them.
[17:03.760 --> 17:12.760]  But then it becomes a self-fulfilling prophecy. And they don't teach 98% of the lawyers at these law schools that, you know, turn them out like puppy mills.
[17:12.760 --> 17:20.760]  How the law really works, how the world really works. You've actually got to find real lawyers and real lawyers.
[17:20.760 --> 17:27.760]  Well, they're listeners of the Alex Jones show. I've talked to some of the most high-powered lawyers in the country that I've brushed up against and then I know.
[17:27.760 --> 17:37.760]  And they go, you're absolutely right about how everything works. That's exactly. See, real men live in the real world and are successful because they know how the real world works.
[17:37.760 --> 17:47.760]  But all the little children, all the little yuppies that buy into the hoax of mainstream media, they all think they're real smart.
[17:47.760 --> 17:58.760]  And they wear their ignorance like a shield. So again, my friends, it is the 31st day of December 2012.
[17:58.760 --> 18:03.760]  And we are going to go over all these clips today. But the good news is their gun grab is out in the open.
[18:03.760 --> 18:13.760]  And you guys punch up drudgerport.com for me please. If you go to drudgerport.com and you go down to the right hand side, you see LinkedIn red right there.
[18:13.760 --> 18:24.760]  Democratic Senator, Mr. and Mrs. America, turn them all in. That's a quote. Click on that. And the reason I say go to drudge is our site.
[18:24.760 --> 18:39.760]  Most are IT people are out on vacation. We've got one person back there trying to keep the site up. And if our site goes down, other people have already copied the video in the article I wrote.
[18:39.760 --> 18:47.760]  And so we'll be on other sites. But if info wars goes down, we may flip it over to prison planet and redirect that drudge link.
[18:47.760 --> 18:58.760]  The problem is we can't even get in the back door of the site right now to even do that flip. But the point is the good news is right now hundreds of thousands of people every 10 minutes are pouring into that link.
[18:58.760 --> 19:14.760]  That's the power of the drudge report. That's why I marvel at it because it's the most powerful place in the alternative real non state run media, non state run media to be able to get through the electronic Berlin Wall and all the big news editors and all the big talk show host producers.
[19:14.760 --> 19:25.760]  They all, and this has been seen on the news many times where you're in somebody's office and there's the drudge report in the background, go there because they're unimaginative boobs in mainstream media.
[19:25.760 --> 19:33.760]  And so they go there because drudge knows the zeitgeist of what is really interesting and what is really important.
[19:33.760 --> 19:45.760]  And so again, the video is there right now. It's also up at info wars.com red linked. Get the video, get it out to everybody. You know, when we come back, we're going to play the video for radio listeners.
[19:45.760 --> 20:03.760]  The video Diane Feinstein says, prepare to turn in your guns. She says we will get them and her target is Mr. and Mrs. America because she is a witch. We'll be right back.
[20:15.760 --> 20:26.760]  Economic results of the presidential election. This perfect storm is a huge threat to everyone's food supply. I just doubled down and got even more supplies from eat foods direct and I recommend you do the same.
[20:26.760 --> 20:36.760]  It's time to get your own supply from eat foods direct. I know I won't be standing in a bread line trading my freedom for food. I'm taking control of my future and you're nuts if you don't do the same.
[20:36.760 --> 20:51.760]  Go to eatfoodsdirect.com forward slash Alex to find the specials and you can start with a holiday gift pack that's normally $80 now under 50 bucks. Remember, I can warn you but I can't feed you. Call 800-409-5633 or eatfoodsdirect.com forward slash Alex.
[20:51.760 --> 21:02.760]  Would you rather prepare six months too early or one day too late? 409-5633 or eatfoodsdirect.com forward slash Alex.
[21:02.760 --> 21:09.760]  Time and time again. You need to come here and help us. We need assistance. Please.
[21:09.760 --> 21:19.760]  Those we should be able to depend on, let us down. Federal and state and local officials saying help is on the way. Well, the folks here in Bell Harbor say show me.
[21:19.760 --> 21:45.760]  Don't depend on the government to save you. Take action now so that you're prepared for the next disaster with mypatriotsupply.com. Get the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books and more at mypatriotsupply.com. Call 866-229-0927.
[21:45.760 --> 21:49.760]  You're hurting down here and we need help immediately.
[21:49.760 --> 22:18.760]  Before it's time to survive, it's time to prepare. Mypatriotsupply.com. Mypatriotsupply.com.
[22:19.760 --> 22:42.760]  Hi, this is Ted Anderson. Have you ever wondered why bank stockbrokers investment advisors won't talk about gold IRAs? They've been available since 1986 yet the financial industry won't recognize the value of gold for your retirement.
[22:42.760 --> 23:00.760]  Gold is outperform paper investments yet no word about IRAs. If you would like to have gold for your retirement, call 800-686-2237. Don't get left behind by rising inflation and low returns, call 800-686-2237. Secure your future and call 1-800-686-2237.
[23:12.760 --> 23:37.760]  Gold is outperform paper investments yet no word about IRAs. It's outperform paper investments yet no word about IRAs. If you would like to have gold for your retirement, call 800-686-2237.
[23:37.760 --> 23:56.760]  If you would like to have gold for your retirement, call 800-686-2237. Secure your future and call 800-686-2237.
[23:56.760 --> 24:11.760]  If you would like to have gold for your retirement, call 800-686-2237. Secure your future and call 800-686-2237.
[24:11.760 --> 24:27.760]  If you would like to have gold for your retirement, call 800-686-2237.
[24:27.760 --> 24:41.760]  If you just joined us, ladies and gentlemen, coming up later in the radio slash TV show, one of our listeners last week put together a video that we played on the nightly news. I want to play it here. It's now getting national attention.
[24:41.760 --> 24:59.760]  And again, I'm proud that when I went to their site, they're a listener. It's just good to know how active our listeners are. Demand a plan. Demand celebrities go bleep themselves. And the story is also at drudgereport.com. It shows Tony Montana. They're firing his machine gun at people.
[24:59.760 --> 25:19.760]  And it points out that all of the people in the Bloomberg ad, the Hollywood movie stars like Jamie Foxx, who were calling for us to have our guns taken, they are all in movies killing people indiscriminately with guns, undoubtedly contributing to much of the wanton violence in this country.
[25:19.760 --> 25:25.760]  And they are disgusting hypocrites. So we're going to be playing that video here on the broadcast.
[25:25.760 --> 25:34.760]  Now, again, if you go to info wars.com, you can watch the video and the site's doing good now so everybody can get on there.
[25:34.760 --> 25:51.760]  Video Diane Feinstein says, prepare to turn in your guns. Democrat Senator, Mr. and Mrs. America, turn them all in. And this is her from 60 minutes in 1995.
[25:51.760 --> 26:00.760]  And as I've said, they're all on record saying their goal and the UN goal is the total abolition of civilian firearms ownership.
[26:00.760 --> 26:12.760]  As Unidire has stated July 7th, 2001, the abolition of civilian ownership of firearms to ensure the legitimate power monopoly of the state.
[26:12.760 --> 26:26.760]  Well, the state having power monopoly is Nazi Germany is Soviet Russia is Maoist China. It's authoritarianism. Signed seal delivered certified bonafide confirmed gift wrapped.
[26:26.760 --> 26:40.760]  And the issue here is in the article I wrote this morning at info wars.com. I give you the background and link to her bill, which even the NRA isn't getting gun owners of America is.
[26:40.760 --> 26:48.760]  Again, I'm not giving ourselves credit on this. It scares me that Kurt Nemo was the first to write about this two Fridays ago.
[26:48.760 --> 26:59.760]  It scares me that when her bill was official on Christmas, she put it out Christmas. First, she said the Friday before Christmas, you know, four days before Christmas.
[26:59.760 --> 27:10.760]  She said, yeah, we are going to look at forced gun buybacks of all semi autos and then and then a governor Cuomo conferred with a senator and agreed.
[27:10.760 --> 27:17.760]  And it was buried in New York Times article in a local radio station interview.
[27:17.760 --> 27:23.760]  So we did an article, it got picked up again by Drudge got to give the credit here folks. It got out.
[27:23.760 --> 27:30.760]  People said, oh, this can't be true. Even though they were saying it, then the bill four days later comes out on Christmas.
[27:30.760 --> 27:38.760]  We put an article out on Christmas because see, we want our liberties, not a bunch of Chinese made slave goods.
[27:38.760 --> 27:49.760]  That's not what's important to us. And people then said, oh, this, this can't be, you know, Kurt Nemo's and Alex Jones's interpretation of this.
[27:49.760 --> 27:56.760]  It can't be true because see, people are always at a loss for words when faced with real tyranny.
[27:56.760 --> 28:01.760]  People always get sucker punched by it because you're not an evil control freak.
[28:01.760 --> 28:10.760]  You're not a wicked witch insider trading goblin like creature like Diane Feinstein, who has a will to dominate, has her own bodyguards and her own firearms.
[28:10.760 --> 28:13.760]  We're going to play her admitting that here in a moment.
[28:13.760 --> 28:20.760]  So you just can't believe they're going to do that. And so they're able to get away with it.
[28:20.760 --> 28:28.760]  And still no one is getting it in alternative media except for us and a few others.
[28:28.760 --> 28:34.760]  That her bill says her bill is now official. She introduces it officially on Thursday.
[28:34.760 --> 28:50.760]  The bill states that, well, we could just make you come in and re-register and thumbprint or we're going to have the power on there to just make everybody turn them in with a gun buyback, forced buyback with the money to pay for it.
[28:50.760 --> 28:55.760]  I mean, that isn't just a gun registration of all gun owners at the ATF discretion.
[28:55.760 --> 29:00.760]  It says they can also confiscate guns nationwide in a bill.
[29:00.760 --> 29:04.760]  And she's the head of the committee on rules.
[29:04.760 --> 29:11.760]  And Obama has got her as the leader and he will take her advice in the task force. This is all a plan.
[29:11.760 --> 29:14.760]  Let's go out to break with her clip from 60 Minutes. Here it is.
[29:14.760 --> 29:24.760]  California Senator Diane Feinstein worked for more than a year to get the assault weapons bill passed in the face of ferocious opposition from the National Rifle Association.
[29:24.760 --> 29:36.760]  She says she got the best she could if I could have gotten 51 votes in the Senate of the United States for an outright ban, picking up every one of them.
[29:36.760 --> 29:44.760]  Mr. and Mrs. America, turn them all in. I would have done it. I could not do that. The votes are here.
[29:44.760 --> 29:50.760]  That's it. Well, she's got the votes now. We'll be right back.
[29:50.760 --> 29:55.760]  We're on the march. The Empire's on the run.
[29:55.760 --> 30:21.760]  Alex Jones and the GCN Radio Network.
[30:25.760 --> 30:40.760]  We're on the run.
[30:40.760 --> 31:02.760]  We're on the run.
[31:02.760 --> 31:30.760]  We're on the run.
[31:30.760 --> 31:56.760]  We're on the run.
[31:56.760 --> 32:22.760]  We're on the run.
[32:22.760 --> 32:50.760]  We're on the run.
[32:50.760 --> 33:12.760]  We're on the run.
[33:12.760 --> 33:39.760]  We're on the run.
[33:39.760 --> 33:55.760]  We're on the run.
[33:55.760 --> 33:58.760]  Ladies and gentlemen, we are back live.
[33:58.760 --> 34:10.760]  Here is Diane Feinstein saying the target of whose gun she's targeting is the American people.
[34:10.760 --> 34:17.760]  Mr. and Mrs. America, get ready to turn them in.
[34:17.760 --> 34:25.760]  And why does she want that? Why does every other authoritarian government want to take the guns?
[34:25.760 --> 34:34.760]  All of the very same authoritarian governments armed to the teeth and hire a bunch of police who see the public as their enemy.
[34:34.760 --> 34:38.760]  What's wrong with having a militarized police?
[34:38.760 --> 34:46.760]  A militarized police are trained to kill people and break things.
[34:46.760 --> 34:56.760]  And that's why more and more the police act like an occupying army.
[34:56.760 --> 35:09.760]  Because we are occupied by six foreign banks that technically have filed in the Hague and put out public declarations that they have conquered the United States.
[35:09.760 --> 35:11.760]  And why would they do that?
[35:11.760 --> 35:15.760]  Because they can then get loans out in our name.
[35:15.760 --> 35:20.760]  I've heard them on Bloomberg Radio, Bloomberg TV on XM.
[35:20.760 --> 35:27.760]  Say, you know, the top financial experts, don't worry, in Europe and the U.S., they'll never get away from the derivatives.
[35:27.760 --> 35:31.760]  Goldman Sachs, JPMorgan, Bank of America, never going down.
[35:31.760 --> 35:33.760]  We control these countries now.
[35:33.760 --> 35:37.760]  And we've signed them on to our debt.
[35:37.760 --> 35:41.760]  And then they have discussions. Can we control the people?
[35:41.760 --> 35:43.760]  And they say, yes, we can.
[35:43.760 --> 36:01.760]  They sit around thinking you're so stupid that the globalists sit around talking about how they are going to take everything you've got and how they can raise taxes up to above 80% like France on average.
[36:01.760 --> 36:06.760]  How they can do that.
[36:06.760 --> 36:12.760]  Because they're going to then make you live in tiny 250 square foot homes, entire families.
[36:12.760 --> 36:21.760]  That's agenda 21, where they design everything to make the tax structure bankrupt you and make you incredibly poor and then dependent on government.
[36:21.760 --> 36:26.760]  You see, it's not just, are they coming for our guns? It's why are they coming for our guns?
[36:26.760 --> 36:37.760]  The guns going is the canary in the coal mine.
[36:37.760 --> 36:58.760]  Let's go ahead and go back to this 60 minutes clip of Diane Feinstein openly saying that her goal is to disarm Mr. and Mrs. America and that that's her goal, but that she didn't have the votes.
[36:58.760 --> 37:04.760]  Well, guess what? She's got a bigger majority in the Senate now than they had.
[37:04.760 --> 37:20.760]  Back in 1993, 1994, 1995, and they are now coming for the guns and demonizing gun owners so that they can politically oppress gun owners and have a purge of gun owners.
[37:20.760 --> 37:23.760]  They want the confrontation.
[37:23.760 --> 37:27.760]  They want the police to get killed trying to confiscate guns.
[37:27.760 --> 37:29.760]  They want to have this fight.
[37:29.760 --> 37:32.760]  They think it's their time to take over.
[37:32.760 --> 37:42.760]  And if you don't realize that and get upset and speak out now and get really aggressive politically, they're going to take it as a green light.
[37:42.760 --> 37:46.760]  And they're going to come and sign an executive order to take our guns.
[37:46.760 --> 37:53.760]  I have it right here out of Reuters.
[37:53.760 --> 37:58.760]  In the Economist magazine, you name it, they're all saying, Obama, you don't even need a law.
[37:58.760 --> 38:03.760]  Use an executive order to repeal the Second Amendment. You're like, well, that's unconstitutional. That's illegal.
[38:03.760 --> 38:06.760]  It's illegal to have NATO and the UN being over our military.
[38:06.760 --> 38:13.760]  It's illegal to have the Senate passing fraudulent laws that they can spy on us and overthrow the Fourth Amendment.
[38:13.760 --> 38:16.760]  They can't do that.
[38:16.760 --> 38:27.760]  Everything these crooks are doing, they passed a law to reform insider trading that actually lets the ethics committee tell them it's okay to violate the law.
[38:27.760 --> 38:32.760]  This is what tyranny is, is when crooks get in control.
[38:32.760 --> 38:38.760]  And when crooks get in control, economies fail, societies collapse.
[38:38.760 --> 38:48.760]  But the Rand Corporation and others have said, well, we'll incentivize tyranny because it's true that when tyrannies come in, things collapse, and that's not good for the tyrants.
[38:48.760 --> 39:04.760]  So we'll call it Agenda 21, we'll call a predatory collapsing economy, an environmental system, and we'll actually put tyranny and collapse into an organized structure.
[39:04.760 --> 39:13.760]  And we'll exempt ourselves, like Diane Feinstein admits on C-SPAN, from the gun laws they put on us.
[39:13.760 --> 39:16.760]  Let's go ahead and go to this 60-minute clip.
[39:16.760 --> 39:25.760]  California Senator Diane Feinstein worked for more than a year to get the assault weapons bill passed in the face of ferocious opposition from the National Rifle Association.
[39:25.760 --> 39:28.760]  She says she got the best she could.
[39:28.760 --> 39:41.760]  If I could have gotten 51 votes in the Senate of the United States for an outright ban picking up every one of them, Mr. and Mrs. America, turn them all in.
[39:41.760 --> 39:42.760]  I would have done it.
[39:42.760 --> 39:44.760]  I could not do that.
[39:44.760 --> 39:49.760]  The votes weren't here.
[39:49.760 --> 39:52.760]  So there you go.
[39:52.760 --> 40:04.760]  So when they get up on the news and tell you that you need to turn your guns in for the children, and Obama gets up there and goes, it's the worst day of my life, worst day of my presidency.
[40:04.760 --> 40:07.760]  It's up to the American people to do the right thing for the kids.
[40:07.760 --> 40:13.760]  I'm just worried about the next group that's going to die, and he looks up.
[40:13.760 --> 40:15.760]  This is what they're pushing.
[40:15.760 --> 40:16.760]  This is what they're going to do.
[40:16.760 --> 40:24.760]  And they know out of 200 plus million adults out there, 315 million people total in this country.
[40:24.760 --> 40:30.760]  They know there's going to be more school shootings because they've made the schools gun-free for 25 years.
[40:30.760 --> 40:34.760]  They've advertised them as the place to go to kill kids.
[40:34.760 --> 40:41.760]  They've gotten these serotonin reuptake inhibitor folks jacked up on drugs.
[40:41.760 --> 40:48.760]  It's a culture now where they put out the appetite in the video games and the culture to go out and kill.
[40:48.760 --> 40:56.760]  You know the guy that shot the two firefighters and Adam Lanza that reportedly killed the 20 kids and six adults and the...
[40:56.760 --> 41:03.760]  Richard Ramirez, the night stalker that stabbed and shot people in San Francisco that Feinstein helped evade the police.
