[00:00.000 --> 00:06.000]  Waging War on Corruption.
[12:21.000 --> 12:27.000]  This guy's built like a, you know what, brick house, an SH, you know what, house.
[12:27.000 --> 12:31.000]  And he walks in there with a bunch of liberal trendies at a game stop.
[12:31.000 --> 12:34.000]  And the dudes wearing, you know, a pink shirt or whatever.
[12:34.000 --> 12:38.000]  Okay, but you look like a NFL linebacker.
[12:38.000 --> 12:40.000]  They're like, hey dude, sure, what do you want?
[12:40.000 --> 12:42.000]  Whoa, I'm a woman.
[12:42.000 --> 12:46.000]  I'm a video transgender goes nuts and store for being misgendered.
[12:46.000 --> 12:51.000]  This is the religion of oppression.
[12:51.000 --> 12:58.000]  The left oppresses the left the most because it's all about just bullying people.
[12:58.000 --> 13:01.000]  So that's coming up.
[13:01.000 --> 13:08.000]  Then Roger Stone is going to be popping in to respond to the latest Mueller garbage.
[13:08.000 --> 13:11.000]  We've got Rudolf Silliani saying put up or shut up.
[13:11.000 --> 13:18.000]  You know, you've got Michael Moore of the clips coming up saying, I can't wait to see the Trump family in orange jumpsuits and what's it for?
[13:18.000 --> 13:24.000]  Nothing to do with Russia. Michael Cohen, one of Trump's lawyers had some corrupt dealings.
[13:24.000 --> 13:36.000]  He's plugged guilty to with a taxi company that Trump has zero, not a zip to it.
[13:36.000 --> 13:39.000]  That's coming up.
[13:39.000 --> 13:49.000]  And we're going to look at every angle of this, but I also want to tell you about Kevin Spacey.
[13:49.000 --> 13:56.000]  Now, a lot of people have said Alex, it's been almost a week since this grace top Hollywood actor.
[13:56.000 --> 13:59.000]  I'm not going to lie to you. I think he's a good actor.
[13:59.000 --> 14:05.000]  A great actor who I do not endorse politically who I've exposed who I don't like.
[14:05.000 --> 14:09.000]  He's saying he's a good actor. He's playing himself a psychotic.
[14:09.000 --> 14:16.000]  He put out this video almost a week ago and people wanted me to comment, but I don't just comment.
[14:16.000 --> 14:20.000]  I watched it.
[14:20.000 --> 14:23.000]  Like what last weekend or whatever when it came out.
[14:23.000 --> 14:31.000]  And then I watched the internet speculate, but then I began to connect the dots of the research started done and there's no doubt.
[14:31.000 --> 14:35.000]  That is right.
[14:35.000 --> 14:37.000]  The, the knowledge that's right.
[14:37.000 --> 14:42.000]  He definitely is threatening the pedophile establishment, the Clintons and the British aristocracy.
[14:42.000 --> 14:48.000]  It's heavily involved in pedophilia and he signaled it all in the video.
[14:48.000 --> 14:52.000]  I mean, I already know Kevin Spacey is connected to known pedophiles.
[14:52.000 --> 14:54.000]  I already know he flies around on Jeffrey Epstein's planes.
[14:54.000 --> 15:03.000]  I already know that there's hundreds of reports of him groping people down to age 15, which is terrible.
[15:03.000 --> 15:10.000]  It's Donna's baddest raping little kids or murdering them, but you know, he's a bad dude.
[15:10.000 --> 15:21.000]  But now that this Nantucket thing's coming out where he's with some guy says he's 23 and he's buying the guy drinks and then he lets Spacey grab his crotch and then never says no.
[15:21.000 --> 15:24.000]  And that's the big case. That doesn't sound like rape to me.
[15:24.000 --> 15:26.000]  And I'm not defending Kevin Spacey.
[15:26.000 --> 15:34.000]  I think the guy's a pervert, a pedophile, the evidence points towards it on Jeffrey Epstein's plane with the Clintons.
[15:34.000 --> 15:40.000]  But the point is he is now openly threatening.
[15:40.000 --> 15:47.000]  There's no doubt in this video that he is saying I'm about to turn States evidence if you don't drop these charges against me.
[15:47.000 --> 15:55.000]  So this is a big problem for Jeffrey Epstein, a big problem for Steve Bannon that works with Epstein, and a big problem with the Clintons.
[15:55.000 --> 16:21.000]  So stay with us. That's all coming up tonight.
[16:25.000 --> 16:28.000]  And I want you to have storeable food so it's a total win-win.
[16:28.000 --> 16:34.000]  We have those incredible sell prices back at m4warestore.com on m4ware select storeable foods.
[16:34.000 --> 16:39.000]  They've got special diet foods. They've got three month supplies, your supplies, weak emergency supplies.
[16:39.000 --> 16:41.000]  They've got so many great products there.
[16:41.000 --> 16:43.000]  Maybe you got a three year supply.
[16:43.000 --> 16:45.000]  If stuff happens, you can feed your whole block.
[16:45.000 --> 16:47.000]  It's up to us to be self-sufficient.
[16:47.000 --> 16:53.000]  You're buying war bonds, bringing great products, and together with God's help, we are unstoppable.
[16:53.000 --> 16:59.000]  m4warestore.com and m4ware select high quality storeable foods powered by my Patreon supply.
[16:59.000 --> 17:04.000]  For those of us that are the tip of the spear, we're being targeted to take out the leadership.
[17:04.000 --> 17:06.000]  That's the globalist only hope.
[17:06.000 --> 17:11.000]  So when you support m4ware, when you spread our articles and videos, when you buy products at m4warestore.com,
[17:11.000 --> 17:18.000]  you are literally not just supporting m4ware in free speech and standing in defiance against Soros and Hillary and the rest of these people,
[17:18.000 --> 17:25.000]  but you are standing for your own future and your own best shot of having an early warning system in America to stand against these individuals.
[17:25.000 --> 17:31.000]  When you order products at m4warestore.com, you fund not just an American revolution, but a global revolution against tyranny.
[17:31.000 --> 17:37.000]  And we have the biggest specials ever running throughout to the end of the year as part of a total store clearance.
[17:37.000 --> 17:41.000]  Every order gets a free t-shirt. Every order gets free shipping.
[17:41.000 --> 17:53.000]  Every order gets 50 to 75% off in total clearance and that funding allows us to go into the new year on sure footing to fund ourselves throughout the first part of the year to not just fight, but to expand.
[17:53.000 --> 18:12.000]  We're on the march. The empire's on the run. I salute you all. Now please take action at m4store.com.
[18:24.000 --> 18:34.000]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans, carefully harvested and free of toxic chemicals used in big agricultural productions.
[18:34.000 --> 18:41.000]  Patriot blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[18:41.000 --> 18:49.000]  You can even choose to start your morning healthier with the immune support blend infused with a powerful blend to support your immune response and stamina.
[18:49.000 --> 19:00.000]  It's time to take care of your morning routine. Get a bag of Patriot blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[19:19.000 --> 19:25.000]  And Tucker Carlson and Sean Hannity, they are all beholden to the networks they're on that can be targeted.
[19:25.000 --> 19:33.000]  There's only two groups in the U.S. Info Wars and Matt Drudge of drudgereport.com that are truly independent.
[19:33.000 --> 19:37.000]  And of course, they're two of the dominant media forces in the world. It really is amazing.
[19:37.000 --> 19:44.000]  That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together.
[19:44.000 --> 19:49.000]  Just remind you that you are the power, you're the strength, you're the will of Info Wars.
[19:49.000 --> 19:54.000]  So please spread the links infowarstore.com, newswarstore.com, christenpana.com.
[19:54.000 --> 20:21.000]  Because if you don't spread the articles in the videos, no one else will. We're all in each other's hands. God bless you all and thank you.
[20:21.000 --> 20:33.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[20:33.000 --> 20:43.000]  So on this December 30th, 2018 Sunday transmission, I'm going to say something extremely profound.
[20:43.000 --> 20:51.000]  And again, I'm not saying that to sound powerful. I'm saying that to get your attention because I respect you and I need your help.
[20:51.000 --> 21:02.000]  No matter what color you are, where you came from or what God you worship, they want us shut down because we've got their number.
[21:02.000 --> 21:19.000]  And I'm about to cover some issues and some reports that illustrate everything as a society, everything as a culture we're facing.
[21:19.000 --> 21:32.000]  Now, sometimes we see stories that illustrate everything we're dealing with and that really show us what we're up against.
[21:32.000 --> 21:43.000]  And then it's crazy to see how the news and the culture takes each new story as if it's its own little thing disconnected from everything else.
[21:43.000 --> 21:53.000]  If you're police officers, say in Austin, Texas, we've had an epidemic of deaths from heroin the last few years, flooding the whole U.S.
[21:53.000 --> 22:03.000]  And you start seeing a bunch of deaths from heroin. You know somebody's bringing in a bunch of heroin and that it's very, very strong and that they're so criminal.
[22:03.000 --> 22:12.000]  They're not even telling people how strong it is and to watch out.
[22:12.000 --> 22:16.000]  Just like the drug companies put out the very same stuff, but it's synthetic.
[22:16.000 --> 22:23.000]  The FDA last week approved a drug 100 times stronger than heroin.
[22:23.000 --> 22:27.000]  This is madness. People say, well, what are you getting at?
[22:27.000 --> 22:32.000]  I'm getting at more and more people in corporate America or in government's period just don't care.
[22:32.000 --> 22:43.000]  There's a mass craziness going on. And then those of us that complain, we're the bad guys.
[22:43.000 --> 22:50.000]  No, I believe in warning people.
[22:50.000 --> 22:53.000]  I believe caring about people builds a better civilization.
[22:53.000 --> 23:03.000]  So I want to get into transgender woman threatens to take it outside when GameStop employee uses the word sir.
[23:03.000 --> 23:06.000]  Because it's a big old guy and a lot of guys wear pink shirts.
[23:06.000 --> 23:11.000]  You're looking at a guy with huge shoulders, bigger than mine, six foot three, six foot four.
[23:11.000 --> 23:16.000]  Looks like a dude to me. Walks like a lady though.
[23:16.000 --> 23:20.000]  Dude don't look like a lady. Dude looks like a fruitcake.
[23:20.000 --> 23:24.000]  And then how does that tie together with Kevin Spacey?
[23:24.000 --> 23:27.000]  How's that tie together with the lead express?
[23:27.000 --> 23:38.000]  How's that tie together with Franklin Graham Facebook ban was personal attack towards me.
[23:38.000 --> 23:47.000]  So we're going to be looking at all of that coming up here.
[23:47.000 --> 23:52.000]  But the first thing I want to get to is heavily beat for TV and radio listeners.
[23:52.000 --> 23:56.000]  The raw videos on info wars.com and news wars.com.
[23:56.000 --> 23:58.000]  The most censored sites on the planet.
[23:58.000 --> 24:02.000]  It's easy to find its right dead smack middle of drudge report.com.
[24:02.000 --> 24:04.000]  The largest site on the planet.
[24:04.000 --> 24:09.000]  The largest site on the planet, the most censored site on the planet.
[24:09.000 --> 24:12.000]  And this gentleman walks in.
[24:12.000 --> 24:17.000]  Turns out he's a cell phone repaired tower engineer. He's wearing his Trump hat, Trump shirt.
[24:17.000 --> 24:21.000]  He's very polite. The guy's blowing up at him, hitting him, slapping him saying get out.
[24:21.000 --> 24:31.000]  Virtue signaling.
[24:31.000 --> 24:34.000]  Doing all of this.
[24:34.000 --> 24:40.000]  And it just shows the insane craziness of the culture.
[24:40.000 --> 24:46.000]  Where the controlled corporate left thinks they can do anything or say anything they want to do.
[24:46.000 --> 24:55.000]  And then it's okay because you're a Trump supporter and they're trying to intimidate that speech.
[24:55.000 --> 24:59.000]  So let's go ahead and go to this video in this audio.
[24:59.000 --> 25:06.000]  This happened in Atlanta two days ago. Here it is.
[25:06.000 --> 25:12.000]  So here we are in exhale of it with city and tug of Georgia and I've just been asked to leave the store.
[25:12.000 --> 25:19.000]  He greeted me. That was nice. I did find the item that I wanted and the next thing he said was that he'd like to leave.
[25:19.000 --> 25:23.000]  If you do not stop recording in my store, I'm going to call the police and ask you to leave now.
[25:23.000 --> 25:26.000]  Please call the, that would be awesome. That'd be awesome.
[25:26.000 --> 25:31.000]  We can call Fox five and all sorts of stuff. I'd like to, I would like to purchase something here.
[25:31.000 --> 25:35.000]  Please do call your boss because I will be calling corporate.
[25:35.000 --> 25:40.000]  I am looking forward to releasing this video because I just want to purchase something.
[25:40.000 --> 25:55.000]  I'm not a racist.
[25:55.000 --> 25:58.000]  All right, pause for a minute.
[25:58.000 --> 26:04.000]  If you're a radio listener, you're hearing that for two of you, you see that there's a black guy standing there.
[26:04.000 --> 26:07.000]  Waving his arms when we're like, what?
[26:07.000 --> 26:19.000]  A Trump supporter isn't racist, but the white clerk is so triggered that he can show off to a black guy that he's going to hop around like he's a hip hop artist
[26:19.000 --> 26:29.000]  and do weird cultural appropriation as if black people all act like a hip hop artist jumping around on stage and go, man, screw you, bitch, you're a racist, blah, blah, blah.
[26:29.000 --> 26:36.000]  I mean, this is pathetic, but that's who these people are.
[26:36.000 --> 26:43.000]  I haven't been in a whole foods in months since I protested Jeff Bezos taking it over, but my wife wanted to pick up some particular whole foods.
[26:43.000 --> 26:53.000]  So I went with her yesterday and I had multiple people come up to me and shake my hand, but I had a couple of them come up and make bizarre statements that didn't make sense.
[26:53.000 --> 26:58.000]  But anyways, I'm sorry. Let's go ahead and go back to the video. Here it is.
[26:58.000 --> 27:11.000]  I don't have a problem with you, sir whatsoever. I don't.
[27:11.000 --> 27:17.000]  I just want good health care for my kids. I don't have a problem with the color of your skin or yours.
[27:17.000 --> 27:20.000]  I'd like to purchase some of this naked vape juice, though.
[27:20.000 --> 27:28.000]  If that would be all right. Here's where we're at.
[27:28.000 --> 27:35.000]  Where's the store? I don't give a fuck. Get out.
[27:35.000 --> 27:40.000]  Dude, go ahead. Take another swing at it. Make contact with me one more time. I'm going to make a deal with you.
[27:40.000 --> 27:44.000]  I want to purchase that vape juice. If you sell it to me.
[27:44.000 --> 27:50.000]  If you sell it to me, I won't call the police.
[27:50.000 --> 27:58.000]  This is unedited except for me pausing it. Just like when Trump won, people stood there at the inauguration and went,
[27:58.000 --> 28:03.000]  No! When we go to these events, it's like they're toddlers.
[28:03.000 --> 28:07.000]  And by the way, I'm not defending minorities. Just a virtue signal.
[28:07.000 --> 28:17.000]  This leadership of this weird mental illness are weird white kids of weird hippie parents.
[28:17.000 --> 28:25.000]  And they're just creating this totally race-based thing where they say you're this horrible thing, so they're going to yell and scream at you.
[28:25.000 --> 28:27.000]  Let's continue. Let's finish the clip.
[28:27.000 --> 28:31.000]  That for my wife.
[28:31.000 --> 28:39.000]  I can press charges on you for assault. I won't call corporate and get you fired. Just sell me the fucking product so I can leave.
[28:39.000 --> 28:40.000]  What do you want?
[28:40.000 --> 28:44.000]  Naked in the strawberry in a fucking six milligrams.
[28:44.000 --> 28:49.000]  I love once he does it back down to the cutbacks down, but then blows up again.
[28:49.000 --> 28:53.000]  Full videos on infowars.com. It's one of the top videos on the internet right now.
[28:53.000 --> 28:59.000]  We come back though. Wait till a 6-3 man, looks like an NFL linebacker, blows up at you.
[28:59.000 --> 29:04.000]  You deserve a deep restful sleep with knockout by infowarslife.
[29:04.000 --> 29:15.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract and melatonin.
[29:15.000 --> 29:20.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[29:20.000 --> 29:29.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[29:29.000 --> 29:36.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[29:36.000 --> 29:39.000]  Wake up refreshed and take on the day.
[29:39.000 --> 29:47.000]  Infowarslife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[29:47.000 --> 29:51.000]  Get the sleep you deserve and experience the power of knockout.
[29:51.000 --> 30:18.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[30:21.000 --> 30:24.000]  Happies can help you take back the day.
[30:24.000 --> 30:30.000]  With our powerhouse formula, happiness can be an important part of your daily supplement routine.
[30:30.000 --> 30:38.000]  With poor diet and the constant on and off of your work life, it's more important than ever to support your body in the fight against stress.
[30:38.000 --> 30:43.000]  With powerful ingredients combined to help support the mind and body,
[30:43.000 --> 30:49.000]  happiness helps support during stress, promotes overall well-being and helps support your mood.
[30:49.000 --> 30:51.000]  Don't live your life bogged down.
[30:51.000 --> 31:20.000]  Help your body overcome the effects of daily stress and pressure today with Happies from infowarsstore.com.
[31:22.000 --> 31:27.000]  There are only two groups in the U.S.
[31:27.000 --> 31:32.000]  Infowars and Matt Rudge of Rudgeport.com that are truly independent.
[31:32.000 --> 31:35.000]  And of course there are two of the dominant media forces in the world.
[31:35.000 --> 31:37.000]  It really is amazing.
[31:37.000 --> 31:43.000]  That's why as we close out 2018, I want to just remind the listeners of the amazing fight we're all in and how far we've come together.
[31:43.000 --> 31:49.000]  Just remind you that you are the power, you're the strength, you're the will of Infowars.
[31:49.000 --> 31:54.000]  So please spread the links, infowars.com, newswars.com, christenpana.com.
[31:54.000 --> 31:57.000]  Because if you don't spread the articles and the videos, no one else will.
[31:57.000 --> 31:58.000]  We're all in each other's hands.
[31:58.000 --> 32:27.000]  God bless you all and thank you.
[32:28.000 --> 32:54.000]  We're all in each other's hands.
[32:54.000 --> 33:03.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[33:03.000 --> 33:22.000]  You're listening to the Alex Jones show.
[33:22.000 --> 33:27.000]  You are listening to an Infowars.com frontline report.
[33:27.000 --> 33:56.000]  This is Alex Jones.
