[00:00.000 --> 00:00.100]  There are
[09:13.260 --> 09:18.420]  an iPhone, it's just apples force-feeding you, oh, Obama's Harvard professor says Trump's
[09:18.420 --> 09:19.420]  a racist.
[09:19.420 --> 09:24.900]  Boy, that's original, or this politician's senator, this movie star, who cares?
[09:24.900 --> 09:29.700]  It's so obvious, the movies, the culture is trying to start a race war, and then you get
[09:29.700 --> 09:35.980]  the internal transcript last week out of the New York Times, and they're saying, we're
[09:35.980 --> 09:42.620]  going to pivot from Russia, that's flat-footed, that's not true, we're going to go to race.
[09:42.620 --> 09:47.340]  But then the head of the New York Times says, but you've got to be nuanced, okay, you can't
[09:47.340 --> 09:53.060]  just call them a Nazi or racist, you've got to find something and then build off of that,
[09:53.060 --> 10:00.940]  and so Trump says, man, these Jews sure are betraying Israel, working with people like
[10:00.940 --> 10:04.700]  Tlaib and everybody that literally want to blow it off the face of the earth, and they
[10:04.700 --> 10:13.380]  turn that around to, did you hear the anti-Semitic statement, so support for Israel and its existence
[10:13.380 --> 10:18.620]  is now anti-Semitic, this is upside-down world, and you've got the extreme right and
[10:18.620 --> 10:25.740]  extreme left that are really the same people obsessing over Israel constantly and applying
[10:25.740 --> 10:31.940]  mythical leprechaun powers to Israel and then acting like Netanyahu runs the world, meanwhile
[10:31.940 --> 10:39.060]  it's the Rothschilds who are globalist leftists, Jews, who are now trying to overthrow Netanyahu.
[10:39.060 --> 10:47.380]  I mean, you cannot make this up, but then all the moron Nazis and all the moron leftists
[10:47.380 --> 10:52.380]  get mad at me because I support the existence of Israel.
[10:52.380 --> 10:55.980]  Israel has hundreds of nuclear weapons, it's not going anywhere, Israel's the most stable
[10:55.980 --> 10:59.740]  place in the Middle East, Israel has more human rights than all those countries, Saudi
[10:59.740 --> 11:06.220]  Arabia doesn't take one Palestinian in or one refugee, and I'm sick of it and the same
[11:06.220 --> 11:09.580]  playbook been running against Israel about, open your borders, let everybody in to have
[11:09.580 --> 11:14.700]  free stuff, it's been running against us, you're not shat there in the break room, what was
[11:14.700 --> 11:19.820]  it Monday evening and with my mouth hanging open during that press conference with the
[11:19.820 --> 11:28.020]  four horsemen of the Democratic apocalypse, crying and whining and oh, my mother needed
[11:28.020 --> 11:35.060]  to hospital, she was in Palestine or my grandmother and they wouldn't let her in for free healthcare.
[11:35.060 --> 11:42.260]  So you want to blow the country up and then, but it's got to give you some free stuff,
[11:42.260 --> 11:47.500]  but then in your wonderful Palestinian place, you can't even put two and two together and
[11:47.500 --> 11:53.820]  you basically live in a dictatorship and then Saudi Arabia won't take one of you in
[11:53.820 --> 12:00.460]  Jordan won't take you in and Egypt won't take you in and why is that? Because every time
[12:00.460 --> 12:04.500]  you look at who's starting these rebellions and these attacks, it's Palestinians because
[12:04.500 --> 12:09.300]  they don't even exist folks, they're just people that migrated into that area and want
[12:09.300 --> 12:16.140]  to take it over, it's a made up thing and so everybody's tried to bully me to attack
[12:16.140 --> 12:21.860]  Israel and tried to bully me, no I'm going to support Israel now more because you tell
[12:21.860 --> 12:26.940]  me I can't, it's sick and of course Israel has all its own corruption, all its own problems
[12:26.940 --> 12:30.740]  has staged false flags against us, working with the US government and has had lots of
[12:30.740 --> 12:35.940]  problems, so is our government, so is the Italian government, so is the Russian government.
[12:35.940 --> 12:41.660]  But fetishizing attacking Israel and hating it, people go well, they're never going to
[12:41.660 --> 12:46.220]  be able to convince her that America is racist and apartheid and have a race war, well really,
[12:46.220 --> 12:52.660]  they're successfully doing it with the left, the average leftist hates Israel, it's a litmus
[12:52.660 --> 13:00.140]  test, are you for killing babies, are you for sterilizing young kids, the whole trans
[13:00.140 --> 13:07.180]  agenda and do you hate Israel? I've never been to Israel and I've got all these stuff
[13:07.180 --> 13:10.260]  you should get into but I've got a lot of news out of Israel but I just think about
[13:10.260 --> 13:13.380]  to leave talking about her grandmother, I never got to the clip, we're going to play
[13:13.380 --> 13:20.260]  it later and she's crying and it's so fake and Israel is just a way to see this picture,
[13:20.260 --> 13:24.300]  a rosetta stone, a skeleton key as I call it, because it's the left, their religion
[13:24.300 --> 13:28.860]  is that they're victims, it's like all these people that attempt suicide constantly for
[13:28.860 --> 13:33.060]  attention, it's one thing you've got bone cancer and you're in incredible pain, you
[13:33.060 --> 13:36.620]  don't want to spend all your money, all your family's money on it and don't want to go
[13:36.620 --> 13:39.700]  through all the pain, you shove a gun in your mouth and blow your head off, hey, that's
[13:39.700 --> 13:45.940]  your life, I don't judge you, I understand that but all these people that constantly
[13:45.940 --> 13:50.220]  are attempting suicide and constantly whining about what victims they are and I look at
[13:50.220 --> 13:56.220]  the four horsemen, these parasites that hate America and tell us how bad we are all day
[13:56.220 --> 14:01.820]  and then fetishize saying Israel shouldn't exist and then when Israel doesn't let her
[14:01.820 --> 14:07.420]  in, she whines and cries about her grandmother and how her grandmother deserves all this
[14:07.420 --> 14:14.300]  free healthcare that she thinks is in Israel and again Israel is just a microcosm of all
[14:14.300 --> 14:20.620]  of this and the point is there's a fight over who controls Israel, there's a fight over
[14:20.620 --> 14:25.060]  who controls America, there's a fight over who controls Europe and it's not a fight
[14:25.060 --> 14:32.060]  between Germans and Jews or between Mexicans and Russians or between Chinese and Japanese,
[14:32.060 --> 14:38.460]  it's a fight between evil and good, in your family it's a fight between good and evil
[14:38.460 --> 14:42.500]  and your relationships, in your business, in your life, at your church, there's a struggle
[14:42.500 --> 14:47.820]  in the universe between good and evil and there are ideologies that are evil, there
[14:47.820 --> 14:51.940]  are systems that are evil, there are groups and gangs and organizations that are evil
[14:51.940 --> 14:57.220]  and they take countries over just like Hitler took over Germany or Stalin and Lenin took
[14:57.220 --> 15:01.620]  over Russia and when you get evil in charge of a group of people you got a problem and
[15:01.620 --> 15:08.660]  Israel's had plenty of evil people that have ran it but again it goes back to a fight between
[15:08.660 --> 15:13.460]  good and evil and real evil is about to get turned loose on the planet, the devil's making
[15:13.460 --> 15:20.260]  his move and everybody better decide which side you're on and the cop-outs, the cop-outs
[15:20.260 --> 15:25.580]  here, you know you don't seem to be trying to get to Somalia for the free healthcare
[15:25.580 --> 15:29.860]  where women are still sold as sex slaves, I mean the four horsemen are in the news,
[15:29.860 --> 15:38.660]  they won't see a word about more Muslim countries passing laws like the West Bank, like the
[15:38.660 --> 15:47.220]  West Bank to basically kill gays, the left won't see a word about that to those women
[15:47.220 --> 15:51.380]  because they're all hypocrite pigs, we'll be back with a bunch of other news, stay with
[15:51.380 --> 15:58.580]  us.
[15:58.580 --> 16:04.500]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now
[16:04.500 --> 16:10.700]  have two convenient choices to get fast relief without taking another pill because now Sunny
[16:10.700 --> 16:16.460]  Bay heating wraps and pillows are available at both Amazon and Walmart, yes, see Sunny
[16:16.460 --> 16:23.060]  Bay's four and a half to five star customer reviews on amazon.com or walmart.com, our microwavable
[16:23.060 --> 16:28.180]  heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect
[16:28.180 --> 16:33.620]  support, where and when you need it, even while driving, Sunny Bay wraps will not burn
[16:33.620 --> 16:38.460]  and stay balanced to provide soothing hot or cold therapy to help treat temporary or
[16:38.460 --> 16:44.660]  chronic pain and the best part, Sunny Bay quality products started under $20, join thousands
[16:44.660 --> 16:50.460]  of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both
[16:50.460 --> 16:57.660]  Amazon and Etsy, it's easy, click Amazon or Walmart and search today for Sunny Bay.
[16:57.660 --> 17:02.460]  Customers, anglers, campers and survivalists, get back to nature, expand your horizons with
[17:02.460 --> 17:06.980]  the highest quality, most versatile, unique sling shots and sling bows on the market at
[17:06.980 --> 17:12.940]  slingbow.com, sling bow products are compact and models start from just 1798, they're perfect
[17:12.940 --> 17:17.780]  for your bug out bag or storing in your vehicle, give yourself and your loved ones the excitement
[17:17.780 --> 17:22.620]  and tradition of sling bow, a new frontier and archery and truly modern twist on this
[17:22.620 --> 17:29.060]  primitive survival tool, feel the thrill only at slingbow.com, hi, I'm Dan Pilla, I started
[17:29.060 --> 17:32.860]  fighting the IRS over 40 years ago when they tried to seize my mother's house, I sued
[17:32.860 --> 17:37.340]  the IRS and won, I beat the IRS then and I've been beating them ever since, I wrote the
[17:37.340 --> 17:40.860]  book on tax debt settlement and I've helped thousands of people deal with tax problems
[17:40.860 --> 17:44.940]  they thought might never be solved, I can help you too, if you owe taxes you can't
[17:44.940 --> 17:50.260]  pay, don't wait another day, there's no such thing as a hopeless tax case, call 800 34
[17:50.260 --> 17:56.420]  no tax or go to my website danpilla.com that's danpilla.com danpilla.com
[18:20.420 --> 18:25.700]  is your number one way to support the Infowars team, while keeping up with the latest savings
[18:25.700 --> 18:32.140]  and specials, join your fellow Infowariers in getting access to brand new formulas, daily
[18:32.140 --> 18:39.940]  deals and exclusive sales with t-shirts, survival gear, movies, books, supplements and more,
[18:39.940 --> 18:45.260]  it's easier than ever to support the resistance, now you can stay up to date with just one
[18:45.260 --> 18:51.580]  click, sign up for the Infowars store newsletter today, head to infowarsstore.com and start
[18:51.580 --> 18:56.620]  receiving subscriber only sales and offers now and stay current with everything the Infowars
[18:56.620 --> 18:58.420]  store has to offer.
[18:58.420 --> 19:04.420]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble
[19:04.420 --> 19:08.820]  in the future, it'd be the farmers that were close to the ground, close to reality, who
[19:08.820 --> 19:12.620]  actually worked for a living that would end up saving the nation and today the communist
[19:12.620 --> 19:18.300]  Chinese have banned all US farming goods a week ago and we've seen massive increases
[19:18.300 --> 19:23.380]  in polls to support for the president and what he's doing in this trade war, once China
[19:23.380 --> 19:28.260]  put pressure on our farmers, that's beautiful, Americans aren't going to be bullied and we
[19:28.260 --> 19:33.100]  aren't going to back down, so to the walking cruises and the Hillary Clinton's the world
[19:33.100 --> 19:37.260]  that want to intimidate people and tell us to back down, we're never going to give up
[19:37.260 --> 19:42.460]  and all you've done is awaken the human spirit and the human spirit lives at infowars.com
[19:42.460 --> 19:47.820]  and newsworks.com and I'm asking listeners, whatever you do, spread those links because
[19:47.820 --> 20:13.820]  we are the light, the dark of the night, we are the resistance, we are 1776 Worldwide.
[20:17.820 --> 20:35.260]  Welcome back, I'm Alex Jones, your host on this Thursday, global edition of the transmission.
[20:35.260 --> 20:38.700]  I didn't mean to go off on a jag about Israel, it's just that I meant to cover that on Monday
[20:38.700 --> 20:46.900]  and Tuesday with the Four Horsemen's parade and now they're back in the news and not telling
[20:46.900 --> 20:51.900]  folks that in the West Bank they kill you if you're a homosexual, but liberal gays don't
[20:51.900 --> 20:55.140]  care about that, they just don't want to be called homosexuals.
[20:55.140 --> 20:56.140]  See how it works?
[20:56.140 --> 21:01.300]  Again, it's like apocalypse now, we drop napalm on women and children but the brass won't
[21:01.300 --> 21:06.020]  let us write cuss words on the side of the airplane, it's the same thing, it's like use
[21:06.020 --> 21:13.060]  the words I say but kill me if you're a Muslim, that's a good, bring in the Muslims but call
[21:13.060 --> 21:18.860]  me a homosexual, you've not used the proper word I tell you to use and it's the alliance
[21:18.860 --> 21:25.580]  of the left with the most radical orthodox forms of Islam and then they lecture us how
[21:25.580 --> 21:31.220]  we're oppressive and homophobic and all this and I'm just done, it's all a hoax, it's all
[21:31.220 --> 21:38.700]  a lie and I know everybody knows that but they've cut us out of the infrastructure of
[21:38.700 --> 21:44.020]  information so that whether you're Alex Jones or you're just Sally soccer mom that's conservative
[21:44.020 --> 21:48.060]  or nationalist, you're being silenced, you're being curtailed, they admit they're doing
[21:48.060 --> 21:55.780]  it and it's real authoritarianism and then I see Trump up there, we just played two and
[21:55.780 --> 21:58.500]  a half minutes up at the start of the show, I'm gonna play a short clip of it again right
[21:58.500 --> 22:03.140]  now and then even more of the press conference later because it's just he's getting better
[22:03.140 --> 22:08.980]  and better, I'm sorry and I told you he wasn't gonna do the expanded background checks, I
[22:08.980 --> 22:12.780]  told you that was meant to take the wind out of their sails and shut them down and now
[22:12.780 --> 22:17.820]  that's been shelved and it doesn't mean Trump's perfect but my lord do they hate the fact
[22:17.820 --> 22:21.860]  he's in there and he's stabilizing and trying to build the economy and they are trying to
[22:21.860 --> 22:27.900]  wreck it all right now, this country is at war with a globalist system and Trump just
[22:27.900 --> 22:35.860]  said in the press conference this morning and yesterday that we are at war with China,
[22:35.860 --> 22:41.740]  we've been at war for 30 plus years, they've been kicking the living stock out of us, he
[22:41.740 --> 22:47.860]  said they pull 500 billion out, he said over the years, that's the one thing he said that
[22:47.860 --> 22:59.780]  made his statement 99% accurate, it's 900 billion a year, 500 billion trade deficit,
[22:59.780 --> 23:06.060]  another 400 billion estimated in stolen intellectual property, everybody knows that and it's all
[23:06.060 --> 23:11.820]  one sided and it's not fair and you don't hear a word out of the left again about China
[23:11.820 --> 23:18.220]  that makes Hitler look like an amateur, I'm just seeing my reporters right there at the
[23:18.220 --> 23:22.300]  edge of the bridge and across it is communist China and hundreds of thousands of troops
[23:22.300 --> 23:28.420]  and massing military and it just gives me butterflies to think we're that close to war
[23:28.420 --> 23:35.540]  with these monsters and the Washington Post and others have big headlines and articles
[23:35.540 --> 23:43.340]  about how G is going to destroy Trump to save America, that's sick and then the left
[23:43.340 --> 23:52.820]  now in their own publications and on the street are champion Z, that's how much they
[23:52.820 --> 23:59.580]  hate America folks and it makes me really sad to know that a third of our population
[23:59.580 --> 24:05.900]  has been totally brainwashed to hate their own country, they have no idea how savage
[24:05.900 --> 24:10.420]  China is, how evil it is, if somebody's old they just leave them on the side of the street
[24:10.420 --> 24:17.700]  to die in many areas, if somebody gets hurt nobody helps them, it's savage, Taiwan's
[24:17.700 --> 24:21.860]  not like that, Hong Kong's not like that and they're Chinese because they're the people
[24:21.860 --> 24:31.660]  that fled Mao and they were under British rule that compared to the Chi Coms was heavenly
[24:31.660 --> 24:35.220]  and the people are alive and vibrant and cool, I mean you meet people from Hong Kong and
[24:35.220 --> 24:41.940]  Taiwan it's like a totally different brand of person, exceptional compared to what you
[24:41.940 --> 24:47.380]  get under the communist system from just two generations, they have mobile execution vans
[24:47.380 --> 24:54.940]  in every city where you don't even go to a jail cell, they just cut your organs out
[24:54.940 --> 24:59.620]  and they've been human cloning for 30 years, it's in the medical journals now it's all
[24:59.620 --> 25:05.900]  out just as I told you growing humans inside cows because you can grow up a bigger humanoid
[25:05.900 --> 25:15.100]  that's got the organs and just like the movie The Island they put all this out in the open
[25:15.100 --> 25:18.900]  they found you they try to grow organs by themselves they don't thrive it's got to have
[25:18.900 --> 25:25.740]  a brain a nervous system attached to it, so they're growing whole humans and doing it
[25:25.740 --> 25:30.740]  a while a lot of the organs coming out of China are cloners and this is all coming out
[25:30.740 --> 25:36.260]  and the Albert Einstein Institute and the Rockefellers and Epstein that ran it are obsessed with
[25:36.260 --> 25:43.940]  underground cloning programs and underground vaccine programs, look it up, we're not in
[25:43.940 --> 25:51.020]  Kansas folks I know I say that a lot we're not in Kansas anymore okay and there's a race
[25:51.020 --> 25:58.660]  to surveil a race to control a race to censor and a race to just absolutely wipe out the
[25:58.660 --> 26:08.620]  human community teaches that the word mother and father is bad, RNC ads that say we're
[26:08.620 --> 26:14.140]  looking for strong women are banned because they say it's hateful you're like that's insane
[26:14.140 --> 26:20.740]  exactly but you see it's here Alex Jones last year RNC now and Mitch McConnell and
[26:20.740 --> 26:27.180]  all them even though he's censored they still can't find their wave o's for their own children's
[26:27.180 --> 26:32.980]  future and are still not acting, Trump's acting on China because it's the main system that
[26:32.980 --> 26:37.660]  the globalist parlayed our power into and they're then using it to suck the energy out
[26:37.660 --> 26:42.860]  of the US for their world government and I know I harp on this because you notice the
[26:42.860 --> 26:47.340]  president's listening the culture's listening what's left the Pentagon's listening and we
[26:47.340 --> 26:52.460]  don't recognize just how overrun we are and how almost completely captured we were and
[26:52.460 --> 26:56.860]  how we're fighting for our lives with our valiant president and everything we wanted
[26:56.860 --> 27:02.060]  happening and globalism beginning to get on the retreat on its heels we're rallying
[27:02.060 --> 27:11.780]  back bloodied shot full of holes but we have the spirit of victory and Trump says in his
[27:11.780 --> 27:17.420]  whole talk I'm the chosen one I got elected he looks up and I'm it's true I mean obviously
[27:17.420 --> 27:20.660]  we're all chosen for what we do if we take the path God gives us a path the devil gives
[27:20.660 --> 27:28.140]  us another of course Trump's chosen it's a phenomenon and everybody can see it and smell
[27:28.140 --> 27:33.660]  it and the devil and the enemies the little snakes they can't stand it let's go out to
[27:33.660 --> 27:38.100]  break with the president talking about being the chosen one and acknowledging God that
[27:38.100 --> 27:45.420]  God chose to put him in that position against the enemy's whole operation that is God China's
[27:45.420 --> 27:53.020]  made five hundred billion dollars five hundred billion ripped it out of the United States
[27:53.020 --> 27:59.860]  and not only that if you take a look intellectual property theft add that to it and add a lot
[27:59.860 --> 28:07.020]  of other things to it so somebody excuse me somebody had to do it I am the chosen one
[28:07.020 --> 28:11.020]  somebody had to do it and then he goes on to say I was chosen by the American people
[28:11.020 --> 28:16.580]  to do this but he also acknowledged God it's that connection the people to the leader to
[28:16.580 --> 28:23.100]  God you get evil leaders they work for the prince of the air the prince and principalities
[28:23.100 --> 28:28.860]  evil and high places if somebody's put in there because of the prayers and people taking
[28:28.860 --> 28:34.380]  action then it's chosen by God but here's the thing it's our last chance the clonings
[28:34.380 --> 28:40.140]  going on the abortion the killing of the babies that keep him alive talking to a nurse about
[28:40.140 --> 28:47.900]  this is true I know I never thought you don't want to be involved in murder do you see how
[28:47.900 --> 28:53.700]  the devil tricks you before you know it before you know he's got you he ain't got me stay
[28:53.700 --> 29:02.620]  with us if you're trying to quit drinking or doing too many drugs listen to me you don't
[29:02.620 --> 29:07.540]  know me and we'll never meet I had a problem like you once I drank and used to party a
[29:07.540 --> 29:13.820]  little too much till it got out of control and almost ruined my life I realized I needed
[29:13.820 --> 29:19.540]  help to fix my problem before it totally destroyed me if you've tried to fix your drinking and
[29:19.540 --> 29:24.940]  drug problem and you know you can't do it alone you need to call the national treatment
[29:24.940 --> 29:30.260]  advisors they'll immerse you into a 30 day program to replace your old habits with new
[29:30.260 --> 29:35.740]  habits and totally change your life and if you have PPO private health insurance the
[29:35.740 --> 29:42.380]  entire program may be covered fix your problem right now before it gets any worse get clean
[29:42.380 --> 29:59.860]  call now and learn more 800 506 6740 800 506 6740 that's 800 506 6740 as we witness the
[29:59.860 --> 30:07.220]  most disastrous geological activity in recorded history the globalists are backed into a corner
[30:07.220 --> 30:12.700]  and the leftists are pushing for civil war borders are being broken and sovereignty is
[30:12.700 --> 30:20.060]  being challenged the world is going to change and how it changes will likely be decided by
[30:20.060 --> 30:26.300]  those who are prepared to stay strong when the system fails the system is vulnerable
[30:26.300 --> 30:32.660]  electricity could be gone in an instant and grocery stores could be empty in three days
[30:32.660 --> 30:38.220]  having storeable foods and the ability to purify water will give you a fighting chance
