[00:00:00.000 --> 00:00:05.000]  InfoWars. Tomorrow's news. Today.
[00:04:32.000 --> 00:04:34.000]  You can't make this up.
[00:04:34.000 --> 00:04:35.000]  They're coming for parental rights.
[00:04:35.000 --> 00:04:36.000]  We always knew they were going to do it.
[00:04:36.000 --> 00:04:37.000]  They said it was their plan.
[00:04:37.000 --> 00:04:38.000]  Here it is.
[00:04:38.000 --> 00:04:40.000]  But why are we here?
[00:04:40.000 --> 00:04:43.000]  Because McCarthy and the Republicans didn't file articles of impeachment
[00:04:44.000 --> 00:04:46.000]  when they got in a few months ago and go on the offensive.
[00:04:46.000 --> 00:04:48.000]  Because they never go on the offensive.
[00:04:48.000 --> 00:04:51.000]  That's why we're in so much trouble is McCarthy.
[00:04:51.000 --> 00:04:54.000]  He never goes on the offense because he's a coward,
[00:04:54.000 --> 00:04:56.000]  because he doesn't want to get indicted by the Justice Department.
[00:04:56.000 --> 00:04:58.000]  That's how they rule, by fear.
[00:05:14.000 --> 00:05:17.000]  That's because I use brain force every day.
[00:05:17.000 --> 00:05:21.000]  What I always need is I always need some sort of boost in the morning.
[00:05:21.000 --> 00:05:25.000]  And so, you know, I try to exercise, eat well, take good vitamins.
[00:05:25.000 --> 00:05:30.000]  But the one thing that I have really found that makes a difference is brain force.
[00:05:30.000 --> 00:05:34.000]  I'll take brain force in the morning right before I go to my computer.
[00:05:34.000 --> 00:05:38.000]  And I'm good for the next four or five hours writing a whole lot of stuff.
[00:05:38.000 --> 00:05:43.000]  So it really is true that brain force is something I use every day,
[00:05:43.000 --> 00:05:44.000]  and it helps me with my writing.
[00:05:44.000 --> 00:05:45.000]  All right, we love you.
[00:05:45.000 --> 00:05:46.000]  We'll be right back.
[00:05:46.000 --> 00:05:51.000]  Get your Brain Force Plus, Brain Force Ultra, and Turbo Force at infowarstore.com.
[00:05:51.000 --> 00:05:52.000]  We'll be right back with hour number two.
[00:06:09.000 --> 00:06:11.000]  Waging war on corruption.
[00:06:13.000 --> 00:06:19.000]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:06:27.000 --> 00:06:31.000]  It is Sunday, June 11, 2023.
[00:06:31.000 --> 00:06:34.000]  I'll be hosting my regular Sunday slot, 4 to 6 p.m. Central,
[00:06:34.000 --> 00:06:38.000]  but I'll also be hosting some into the third and fourth hour
[00:06:38.000 --> 00:06:41.000]  with the great Owen Schroer and Alex Stein in-studio.
[00:06:41.000 --> 00:06:42.000]  So big.
[00:06:42.000 --> 00:06:43.000]  Third and fourth hour.
[00:06:43.000 --> 00:06:45.000]  This is The Alex Jones Show, Sunday edition.
[00:06:45.000 --> 00:06:49.000]  Sunday live is 6 to 8 p.m. with Owen Schroer and other guest hosts.
[00:06:49.000 --> 00:06:51.000]  Okay.
[00:06:51.000 --> 00:06:56.000]  We have massive amounts of news on the economy, on world digital IDs,
[00:06:56.000 --> 00:06:58.000]  what is the Mark of the Beast system.
[00:06:58.000 --> 00:07:03.000]  We have incredible speeches that Trump gave in multiple states yesterday
[00:07:03.000 --> 00:07:05.000]  where he really throws down the gauntlet.
[00:07:05.000 --> 00:07:12.000]  We have armies of people marching to elementary schools, LGBTQ, Satan-esque,
[00:07:12.000 --> 00:07:15.000]  saying we want your children, you will give them to us.
[00:07:15.000 --> 00:07:20.000]  I mean, this is just spinning out of control very, very quickly.
[00:07:20.000 --> 00:07:25.000]  California's introduced legislation that if a parent tells their 7-year-old,
[00:07:25.000 --> 00:07:28.000]  no, you're really a boy, you're really a girl, you're put in prison.
[00:07:28.000 --> 00:07:30.000]  They say they have the votes to pass it.
[00:07:31.000 --> 00:07:36.000]  It is all completely insane, and it's coming up tonight.
[00:07:36.000 --> 00:07:40.000]  Also, I got really criticized for this 15 years ago
[00:07:40.000 --> 00:07:44.000]  because I was reading a Wall Street Journal report that had a pie chart in it,
[00:07:44.000 --> 00:07:46.000]  and I asked some folks I knew in Hollywood.
[00:07:46.000 --> 00:07:47.000]  They said, no, that's true.
[00:07:47.000 --> 00:07:53.000]  And in 2007 or so, the biggest group that owned, not the majority,
[00:07:53.000 --> 00:07:54.000]  because there's a lot of hundreds of groups,
[00:07:54.000 --> 00:07:58.000]  but the group that owned the biggest slice of Hollywood
[00:07:58.000 --> 00:08:01.000]  was Saudi Arabia and other Middle Eastern countries.
[00:08:01.000 --> 00:08:03.000]  So I said the Arabs own Hollywood.
[00:08:03.000 --> 00:08:05.000]  Didn't say they ran it.
[00:08:05.000 --> 00:08:07.000]  And then a few years later, China really moved in,
[00:08:07.000 --> 00:08:11.000]  and now China owns the majority, or the largest slice, actually the majority.
[00:08:11.000 --> 00:08:14.000]  The Muslims never had, or the Arabs never had a majority.
[00:08:14.000 --> 00:08:18.000]  They said the biggest minority slice of one group.
[00:08:18.000 --> 00:08:23.000]  New numbers are out, and guess who's about to be the biggest owner,
[00:08:23.000 --> 00:08:30.000]  not just of big slices of Hollywood, but also sports, and that's Saudi Arabia alone.
[00:08:30.000 --> 00:08:32.000]  So put that in your pie, all you white supremacists.
[00:08:32.000 --> 00:08:34.000]  Thought I was like defending Jews in Hollywood.
[00:08:34.000 --> 00:08:35.000]  Nothing to do with that.
[00:08:35.000 --> 00:08:39.000]  I was reading a pie chart of who owns what, dumbos, and it was the Muslims.
[00:08:39.000 --> 00:08:40.000]  I was making that point.
[00:08:40.000 --> 00:08:41.000]  Well, here it is.
[00:08:41.000 --> 00:08:42.000]  Who owns the PGA now?
[00:08:42.000 --> 00:08:43.000]  Oh, the Muslims.
[00:08:43.000 --> 00:08:44.000]  And it's in the Wall Street Journal.
[00:08:44.000 --> 00:08:46.000]  They're set to buy up all the other sports.
[00:08:46.000 --> 00:08:49.000]  They've already bought off half the soccer teams in the world.
[00:08:49.000 --> 00:08:52.000]  I mean, all I'm doing is reading the damn numbers here.
[00:08:52.000 --> 00:08:55.000]  You know, like the U.S. three years ago was the number one exporter of oil.
[00:08:55.000 --> 00:08:57.000]  Now Saudi Arabia is.
[00:08:57.000 --> 00:08:58.000]  It's just statistics.
[00:08:58.000 --> 00:09:00.000]  Don't be scared of them.
[00:09:00.000 --> 00:09:02.000]  Skip this network break coming up.
[00:09:02.000 --> 00:09:03.000]  I want more time with Robert Barnes.
[00:09:03.000 --> 00:09:05.000]  All right, so that's all coming up.
[00:09:05.000 --> 00:09:09.000]  Constitutional lawyer Robert Barnes has also done legal work on the election fraud for President Trump.
[00:09:09.000 --> 00:09:11.000]  Had his ear very close to the ground on this.
[00:09:11.000 --> 00:09:15.000]  I want to sum up his legal historical analysis of where we are,
[00:09:15.000 --> 00:09:18.000]  and then obviously just point out what this really is.
[00:09:18.000 --> 00:09:21.000]  This is what I wrote for the live show headline.
[00:09:21.000 --> 00:09:23.000]  The preemptive stealing of the 2024 election.
[00:09:23.000 --> 00:09:25.000]  This is election meddling.
[00:09:25.000 --> 00:09:27.000]  They're trying to outlaw saying that they election meddle.
[00:09:27.000 --> 00:09:29.000]  This is it.
[00:09:29.000 --> 00:09:33.000]  They also tried to disqualify Gozer and MTG and what, at least 12 other members of Congress
[00:09:33.000 --> 00:09:38.000]  for being able to run again in court because they were, quote, Partisan 6.
[00:09:38.000 --> 00:09:40.000]  So, yes, they're election meddling.
[00:09:40.000 --> 00:09:42.000]  This is the mother of all election meddling.
[00:09:42.000 --> 00:09:45.000]  I've looked at every angle of it, and he did absolutely nothing wrong.
[00:09:45.000 --> 00:09:50.000]  They're misrepresenting all this, and that's why Jack Smith, the U.N. tribunal operative,
[00:09:50.000 --> 00:09:51.000]  that's what he is.
[00:09:51.000 --> 00:09:55.000]  He is so nervous in the three-minute statement he made Friday
[00:09:55.000 --> 00:09:58.000]  because he knows, I think they're blackmailing him or something.
[00:09:58.000 --> 00:10:01.000]  I mean, do they got his kids in a cage or something?
[00:10:01.000 --> 00:10:03.000]  So we're going to be getting into all that.
[00:10:03.000 --> 00:10:07.000]  Trump says all there is to quit presidential race even if convicted.
[00:10:07.000 --> 00:10:09.000]  That's the guy who he's got to have.
[00:10:09.000 --> 00:10:10.000]  More indictments coming.
[00:10:10.000 --> 00:10:12.000]  Speaker McCarthy says Trump indictment will disrupt the nation.
[00:10:12.000 --> 00:10:14.000]  House Republicans will not stand for it.
[00:10:14.000 --> 00:10:16.000]  Oh, really? Why didn't you impeach Biden for all the crimes he committed?
[00:10:16.000 --> 00:10:18.000]  Why didn't you go on the offense?
[00:10:18.000 --> 00:10:22.000]  Why didn't you start impeachment for the weaponization of the Justice Department?
[00:10:22.000 --> 00:10:25.000]  Why didn't you start the impeachment of the FBI director or the attorney general?
[00:10:25.000 --> 00:10:26.000]  Why didn't you do it?
[00:10:26.000 --> 00:10:29.000]  They've all lied to Congress.
[00:10:29.000 --> 00:10:35.000]  FBI unit leading Mar-a-Lago probe earlier ran discredited Trump-Russia investigation.
[00:10:35.000 --> 00:10:37.000]  Everyone's pissing on the president.
[00:10:37.000 --> 00:10:40.000]  100% made up.
[00:10:40.000 --> 00:10:41.000]  But it's okay.
[00:10:41.000 --> 00:10:45.000]  The FBI documents confirm Joe Biden is the big guy, though,
[00:10:45.000 --> 00:10:47.000]  actually on the Chinese Communist payroll.
[00:10:47.000 --> 00:10:49.000]  You know, I love this headline today.
[00:10:49.000 --> 00:10:52.000]  Biden finally admits China spying on us in Cuba.
[00:10:52.000 --> 00:10:57.000]  They're spying on us with this guy on the Chinese Communist payroll.
[00:10:57.000 --> 00:11:02.000]  It's like a fox telling a group of hens, yes, yes, the weasels do want to hurt you,
[00:11:02.000 --> 00:11:03.000]  but let me in.
[00:11:03.000 --> 00:11:04.000]  I'll take care of you.
[00:11:04.000 --> 00:11:05.000]  All right.
[00:11:05.000 --> 00:11:09.000]  Robert Barnes, constitutional lawyer, is here to break all of this down.
[00:11:09.000 --> 00:11:14.000]  Alan Dershowitz has said Trump's a little dumb to spout off about this in front of the media
[00:11:14.000 --> 00:11:17.000]  because they twist things, but he did nothing wrong.
[00:11:17.000 --> 00:11:20.000]  There's a lot of deception going on here.
[00:11:20.000 --> 00:11:22.000]  So the question is, why did they jump the shark?
[00:11:22.000 --> 00:11:24.000]  Why have they done this?
[00:11:24.000 --> 00:11:27.000]  And looking forward into the future, how is this going to unfold?
[00:11:27.000 --> 00:11:36.000]  Robert Barnes, thank you for joining us on this live study edition.
[00:11:36.000 --> 00:11:37.000]  Let's hit pause for a moment.
[00:11:37.000 --> 00:11:40.000]  Sometimes we get our guests on a little late.
[00:11:40.000 --> 00:11:43.000]  And we always have technical difficulties, but that's all right.
[00:11:43.000 --> 00:11:50.000]  Robert, can we get your microphone turned on, or maybe it's on my end?
[00:11:50.000 --> 00:11:53.000]  We'll be back in a little while with you, ladies and gentlemen.
[00:11:53.000 --> 00:11:54.000]  I'm all loaded for bear.
[00:11:54.000 --> 00:11:55.000]  I'm set.
[00:11:55.000 --> 00:12:01.000]  I'm ready to go.
[00:12:01.000 --> 00:12:05.000]  Ready now, or should I just go to rebroadcast for the day?
[00:12:05.000 --> 00:12:06.000]  All right.
[00:12:06.000 --> 00:12:07.000]  Stop.
[00:12:07.000 --> 00:12:08.000]  I understand.
[00:12:08.000 --> 00:12:09.000]  I understand.
[00:12:09.000 --> 00:12:10.000]  All right.
[00:12:10.000 --> 00:12:11.000]  Robert Barnes, thank you for joining us.
[00:12:11.000 --> 00:12:13.000]  Robert, very, very serious times here.
[00:12:13.000 --> 00:12:15.000]  Please continue.
[00:12:15.000 --> 00:12:16.000]  Yeah.
[00:12:16.000 --> 00:12:20.000]  What I see is a threefold approach that's taking place here.
[00:12:20.000 --> 00:12:24.000]  First of all, the Deep State wants to take Trump out from being competitive in the 2024 election.
[00:12:24.000 --> 00:12:28.000]  As you noted, it is a preemptive strike against the 2024 election.
[00:12:28.000 --> 00:12:38.000]  They assume that the indictment will have enough voters doubt President Trump that they will be able to defeat him in the primaries or in the general election.
[00:12:38.000 --> 00:12:49.000]  The second goal, which is co-equally important, they are trying to establish a legal precedent that the Deep State has priority over the elected president of the United States.
[00:12:49.000 --> 00:12:50.000]  It's important.
[00:12:50.000 --> 00:13:00.000]  I mean, the idea of classification, the idea of national security information, all that derives from the power vested constitutionally exclusively in the elected president of the United States.
[00:13:01.000 --> 00:13:08.000]  They're trying to establish a legal precedent that the president of the United States cannot even disclose to the American people the secrets of the Deep State.
[00:13:08.000 --> 00:13:18.000]  Because that's the underlying allegation here, is that he told media members that General Milley was lying when General Milley was accusing Trump of trying to wage war in Iran.
[00:13:18.000 --> 00:13:21.000]  He said it was actually Milley who was trying to wage war in Iran, and Trump stopped him.
[00:13:21.000 --> 00:13:24.000]  And they're saying that was a criminal act.
[00:13:25.000 --> 00:13:33.000]  So they're saying that the elected president of the United States discloses to the American people the secrets of the Deep State, they can go to prison for it.
[00:13:33.000 --> 00:13:51.000]  And they want to establish a legal precedent of that so that this unelected administrative state, bureaucratic state, Deep State, and the intelligence community has legal constitutional control over the elected president of the United States and can prohibit and prevent those secrets from being disclosed to the world.
[00:13:51.000 --> 00:13:56.000]  That is the legal precedent they're trying to establish through the Trump case.
[00:13:56.000 --> 00:14:00.000]  So this isn't just about taking out Trump, this is the Deep State versus democracy.
[00:14:00.000 --> 00:14:04.000]  This is the Deep State trying to take out the constitution itself.
[00:14:04.000 --> 00:14:12.000]  This is the Deep State trying to remove the power of the elected president to share the secrets of the Deep State with the American people.
[00:14:12.000 --> 00:14:22.000]  So, I mean, they assassinated President John Kennedy, they assassinated presidential candidate Robert Kennedy, they were behind the impeachment and resignation of Richard Milhouse Nixon.
[00:14:22.000 --> 00:14:38.000]  They were complicit in the attempted assassination of Ronald Reagan, and now they are trying to not only take out President Trump, but permanently take out the constitutional power of the president of the United States sharing the Deep State secrets, the warmongering machine, with the American people.
[00:14:38.000 --> 00:14:42.000]  So that's the second very perilous precedent trying to be established here.
[00:14:42.000 --> 00:14:48.000]  One is to interfere with the 2024 election and punish Trump for being an independent voice on foreign policy.
[00:14:48.000 --> 00:14:54.000]  The second is to prohibit any president from being an independent voice and exposing the Deep State secrets.
[00:14:54.000 --> 00:15:00.000]  And the third aspect of all of this, I believe, is its leverage for Biden.
[00:15:00.000 --> 00:15:18.000]  It's a tool by which Biden can use to potentially pardon himself, his family, his son, his sister, his brother, his political allies, many of the Deep State corrupt people named and mentioned explicitly in the Durham report.
[00:15:18.000 --> 00:15:30.000]  And what it does is that when he does that pardon down the road, he can throw in a pardon of Trump as political cover for his pardoning himself and all of his corrupt allies.
[00:15:30.000 --> 00:15:36.000]  That it's effectively something he can put in his back pocket just in case Trump wins the election.
[00:15:36.000 --> 00:15:41.000]  And let me stop you because what you just said is the most stunning, powerful, accurate analysis.
[00:15:41.000 --> 00:15:45.000]  And I've been watching a lot of the pundits. I've not heard one of them make that point.
[00:15:45.000 --> 00:15:48.000]  That was actually in my list of things. I've made the point. You've made it previously.
[00:15:48.000 --> 00:15:54.000]  But almost no one's making the point that this is the National Security Act of 1947 on steroids.
[00:15:54.000 --> 00:15:57.000]  For those that don't know what that is, we can elaborate on it. But the CIA was created.
[00:15:57.000 --> 00:16:02.000]  This wall was put up in the name of the Cold War so that all these agencies could operate in secret.
[00:16:02.000 --> 00:16:11.000]  Only Congress would have oversight. But the president had the innate veto power elected by the people's chief executive to declassify at will anything he wanted it to.
[00:16:11.000 --> 00:16:17.000]  And so we have Milley three years ago calling up the communist Chinese and saying, don't worry, I have the nuclear codes.
[00:16:17.000 --> 00:16:22.000]  Trump isn't in charge. He admitted that that's treason. And they're like, oh, that's great.
[00:16:22.000 --> 00:16:27.000]  You just called up and lied and told the country, don't worry, we're not going to nuke you.
[00:16:27.000 --> 00:16:35.000]  So they could have nuked us anytime. Insane, brazen, out of control, the bureaucracy just out of control.
[00:16:35.000 --> 00:16:41.000]  They're all making themselves into thousands of little presidents where they can declassify and they can leak.
[00:16:41.000 --> 00:16:44.000]  And Comey can leak a lot of Congress about it and later admitted it.
[00:16:44.000 --> 00:16:50.000]  They can do whatever they want, however they want. But the president who actually does have the power to do whatever he wants,
[00:16:50.000 --> 00:16:54.000]  he's got to be separate branch of government or they'd be pulling him down constantly.
[00:16:54.000 --> 00:16:58.000]  He's as close to a sovereign as we've got. George Washington wouldn't be a king.
[00:16:58.000 --> 00:17:02.000]  But they said we've got to have somebody who's got immunity. And now they're saying he has no immunity.
[00:17:02.000 --> 00:17:08.000]  He has no power. No, no, no. But the bureaucrats and the FBI agents, they're all above the president,
[00:17:08.000 --> 00:17:12.000]  which means above the people and above who we want to elect and who we want to vote for.
[00:17:12.000 --> 00:17:18.000]  This is outrageous. Sorry. Oh, absolutely. And it's incredibly dangerous.
[00:17:18.000 --> 00:17:24.000]  What I've been telling people is that this indictment is not only a direct threat to the integrity of the 2024 election,
[00:17:24.000 --> 00:17:31.000]  a direct effort to remove the elected president of the United States from being restored into power in President Trump.
[00:17:31.000 --> 00:17:39.000]  A de facto continuation of the deep state coup they began as soon as he won the Republican nomination in 2016.
[00:17:39.000 --> 00:17:43.000]  But this is a direct threat against constitutional democracy itself.
[00:17:43.000 --> 00:17:48.000]  They're trying to establish that the Jack Smiths of the world, the General Milley's of the world,
[00:17:48.000 --> 00:17:52.000]  the deep state bureaucrats of the world, the Peter Strokes of the world, the James Comey's of the world,
[00:17:52.000 --> 00:18:00.000]  that they hold power that over the president, that they can restrict and restrain what the president can disclose,
[00:18:00.000 --> 00:18:05.000]  what the president can see, what the president can know, what the president can share with the American people.
[00:18:05.000 --> 00:18:10.000]  And by the way, Nixon talked a lot about this in his memoirs. It was an angel compared to all these people.
[00:18:10.000 --> 00:18:14.000]  Trump has never had any criminal. The guy's a total angel, straight arrow, follows everything by the book.
[00:18:14.000 --> 00:18:19.000]  He's a total Boy Scout. Everybody knows it. Never ran for office, runs the first time, wins the landslide.
[00:18:19.000 --> 00:18:26.000]  It's incredible. Nixon wrote about this. It was always the bureaucracy killed Kennedy because he was really the president.
[00:18:26.000 --> 00:18:30.000]  They killed his brother because he was really the attorney general and was now running for president.
[00:18:30.000 --> 00:18:37.000]  And then they took out Nixon because he was getting ready to clean out the CIA on record and was tired of them trying to be his boss.
[00:18:37.000 --> 00:18:42.000]  He said, I'm elected. I'm in charge, not you. And then they set him up. Sorry, go ahead.
[00:18:42.000 --> 00:18:47.000]  You nailed it, Alex. I mean, deep throat was Mark Felt, who ran COINTELPRO.
[00:18:47.000 --> 00:18:51.000]  He ran all the illegal operations by the FBI in the 50s and 60s.
[00:18:51.000 --> 00:18:58.000]  These were people who thought J. Edgar Hoover, Alan Dulles, this crowd, you know, Angleton, that whole crowd.
[00:18:58.000 --> 00:19:01.000]  Angleton bragged about it. Angleton said he was above the law.
[00:19:01.000 --> 00:19:07.000]  Angleton was having blackmail and extortion files on every member of Congress, on high ranking members of the media.
[00:19:07.000 --> 00:19:13.000]  They had infiltrated almost every level of American society through illicit means.
[00:19:13.000 --> 00:19:17.000]  And what was their goal? Their goal was to take over the American government.
[00:19:17.000 --> 00:19:23.000]  And so Epstein and the Clintons and all of this is just the next generation of the scum.
[00:19:23.000 --> 00:19:27.000]  Absolutely. And now they want to establish it in legal precedent.
[00:19:27.000 --> 00:19:30.000]  That's what's so terrifying from a lawyer's perspective.
[00:19:30.000 --> 00:19:36.000]  They want to establish a legal precedent that says even the elected president of the United States,
[00:19:36.000 --> 00:19:42.000]  the only nationally elected official under our Constitution, even he cannot challenge the deep state.
[00:19:42.000 --> 00:19:47.000]  Even he cannot question the deep state. Even he cannot share the deep state secrets.
[00:19:47.000 --> 00:19:49.000]  This is what Julian Assange has been talking about.
[00:19:49.000 --> 00:19:51.000]  This is what Edward Snowden has been talking about,
[00:19:51.000 --> 00:19:57.000]  that the great dangers to American constitutional democracy and liberty around the world are the deep state itself.
[00:19:57.000 --> 00:20:03.000]  This is deep state versus democracy, not just deep state versus Trump.
[00:20:03.000 --> 00:20:08.000]  What do you think of David Schoen? Roger Stone thinks he'd be the best lawyer for the president.
[00:20:08.000 --> 00:20:13.000]  The president needs to go on the offense. We're really finding out who's who out there.
[00:20:13.000 --> 00:20:16.000]  I totally disagree with Jonathan Turley's analysis.
[00:20:16.000 --> 00:20:22.000]  I'm dead on with what obviously a lot of other top lawyers like Alan Dershowitz have said.
[00:20:22.000 --> 00:20:25.000]  But I've read the law on this. I'm not even a lawyer. This is all very cut and dry.
[00:20:25.000 --> 00:20:28.000]  And I read what the Obama judge said when there was issues with Obama.
[00:20:28.000 --> 00:20:31.000]  And the federal judge said the president can do whatever he wants from these documents.
[00:20:31.000 --> 00:20:37.000]  And so the idea that Trump can't have documents about the Iran strike plan,
[00:20:37.000 --> 00:20:39.000]  which he didn't even give anybody, is just ridiculous.
[00:20:39.000 --> 00:20:46.000]  And then he had spies inside Mar-a-Lago running around trying to behave like this was evil that he had these documents.
[00:20:46.000 --> 00:20:51.000]  Well, meanwhile, George W. Bush has them in a Chinese food restaurant and Biden's got them in another place.
[00:20:51.000 --> 00:20:54.000]  I mean, it's just all scrambled around everywhere.
[00:20:54.000 --> 00:20:58.000]  They always haul off their documents because they don't want people using them against them.
[00:20:58.000 --> 00:21:01.000]  And we should probably explain to people there's different types of documents.
[00:21:01.000 --> 00:21:05.000]  There's stuff that remains classified. There's personal documents of the president.
[00:21:06.000 --> 00:21:09.000]  And all three can be interchanged. You want to explain to people?
[00:21:09.000 --> 00:21:13.000]  And it's totally up to the president to unilaterally determine which is which.
[00:21:13.000 --> 00:21:16.000]  So the president, I mean, this has already been litigated.
[00:21:16.000 --> 00:21:23.000]  You know, Judge Jackson dealt with it in D.C. when Bill Clinton kept national security classified information in his sock drawer.
[00:21:23.000 --> 00:21:26.000]  I mean, that's why Trump is calling it the Clinton socks case.
[00:21:26.000 --> 00:21:31.000]  And what the judge said is it's up to Clinton whether that is a archives material,
[00:21:31.000 --> 00:21:35.000]  whether that's personal records or whether that's governmental records.
[00:21:35.000 --> 00:21:38.000]  And it doesn't matter if it includes national security information.
