[00:00.000 --> 00:16.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[05:38.000 --> 05:39.000]  And guess what?
[05:39.000 --> 05:42.000]  The holiday is over.
[05:42.000 --> 05:47.000]  He is going to get rid of all the people who are not part of the solution, but part of the problem
[05:47.000 --> 05:51.000]  and restore our military to the superpower.
[05:51.000 --> 05:52.000]  It once was.
[05:52.000 --> 05:54.000]  This is a great day in America.
[05:54.000 --> 06:20.000]  This has been Joe Bays with infowars.com.
[06:20.000 --> 06:24.000]  It's Sunday, December 4, 2016.
[06:24.000 --> 06:35.000]  I'm Alex Jones, and this is the info war, the front lines in the fight for national sovereignty, human destiny, and free will.
[06:35.000 --> 06:38.000]  Strat yourself, Jim, because this is going to be a jam-packed transmission.
[06:38.000 --> 06:47.000]  First off, before you know it's really positive news, I want to get into something that absolutely proves everything we've talked about has been dead on correct.
[06:47.000 --> 06:58.000]  But all we were doing was following globalists' white papers, their own statements, and studying history as a lens to see how these types of megalomaniac activities tend to basically play themselves out.
[06:58.000 --> 07:05.000]  Then we decided, I decided 27 years ago, to not just lay down and take it, but to be history's actor.
[07:05.000 --> 07:09.000]  Now, remember the Arabian, what was it, 10, 11 years ago?
[07:09.000 --> 07:13.000]  Carl Rowe taught me the New York Times, the Washington Post, and the cocktail party.
[07:13.000 --> 07:17.000]  And they said, yeah, but you lied about WMDs, you've been caught.
[07:17.000 --> 07:18.000]  I mean, you've done all these horrible things.
[07:18.000 --> 07:19.000]  He says, it doesn't matter.
[07:19.000 --> 07:22.000]  We're the government, we rule everything, we control reality.
[07:22.000 --> 07:34.000]  We're, quote, history's actors now, and we'll change reality on a day-to-day basis, and you will dutifully just repeat whatever we tell you to say, because you don't count now.
[07:34.000 --> 07:43.000]  Every megalomaniac who gets into power, who thinks that they're God, or who is part of a group like that, always ends up believing they're invincible.
[07:43.000 --> 07:45.000]  This is a fact.
[07:45.000 --> 07:59.000]  Julius Caesar had a man that stood behind him when he would ride a chariot in Rome, and he worshipped as a God after a successful war or battle, would have the man say, Jim, over and over again, you are not a God, you're only a man, you are not a God, you're only a man.
[07:59.000 --> 08:05.000]  He knew that, but still went too far, setting himself up as a king, or a Caesar, and was killed.
[08:05.000 --> 08:08.000]  So that's a historical example for everybody.
[08:08.000 --> 08:12.000]  Now, we're seeing globalism collapse all over the world right now.
[08:12.000 --> 08:14.000]  The globalists are in total panic.
[08:14.000 --> 08:15.000]  They were supposed to be invincible.
[08:15.000 --> 08:19.000]  The corporate chiefs, the shadow government, the taxis and police.
[08:19.000 --> 08:21.000]  Now, their program of control is collapsing.
[08:21.000 --> 08:28.000]  It doesn't mean that we've defeated them yet, but in the process of exposing them lies the victory, because they're so illegitimate.
[08:28.000 --> 08:29.000]  But here's the big news.
[08:29.000 --> 08:31.000]  It's up on infowars.com.
[08:31.000 --> 08:42.000]  Obama has come out as a zero-hedge article, and is basically saying he's going to have his own TV network, and that we're going to have state-run media now with direct government messages to the people.
[08:42.000 --> 08:44.000]  But we already have that.
[08:44.000 --> 08:46.000]  And now they've funded $160 million.
[08:46.000 --> 08:53.000]  It's passed the House, not the Senate, to the $170 million, to create a court office that will decide what's fake news.
[08:53.000 --> 08:58.000]  That's called Operation Mockingbird, the CIA-involved media.
[08:58.000 --> 09:08.000]  Don't they understand that the government's so discredited, and media's so discredited, mainstream media, that when you come out and say something's fake, everyone runs to check for themselves and then makes up their own mind?
[09:08.000 --> 09:22.000]  This is the response of the dying dinosaur fake media themselves, putting their label on us, the ones that lied about polls, the ones that got caught giving the questions during the Democratic primary and in the main debates against Trump to her.
[09:22.000 --> 09:30.000]  The ones that got caught lying about that, the ones that got caught in Nemo's being directed by the White House and directed by Hillary and directed by the Communist Chinese.
[09:30.000 --> 09:41.000]  My God, the Communist Chinese were in the Associated Press, the Wall Street Journal, the New York Times, everywhere in the last few weeks telling Americans, you better shut down fake news, you better behave yourselves.
[09:41.000 --> 09:59.000]  The biggest mass murderers in history are now telling us what we better do and how the government in Zuckerberg better shut down the quote, fake news, who Obama has listed as Drugsreport.com, Infowars.com, Biblart.com.
[09:59.000 --> 10:01.000]  We're the main three groups they attack.
[10:01.000 --> 10:14.000]  The one who will say, is that scary, Alex, that Hillary naming you and Obama naming you? No, this is the greatest thing in my life. Absolute criminal tyrants swore to destroy this republic and take over my family and your family, hate my guts.
[10:14.000 --> 10:20.000]  It means I'm following in my ancestor's footsteps a fighting tyranny and I am so honored and so pleased.
[10:20.000 --> 10:23.000]  Ladies and gentlemen, we have them in the open now.
[10:23.000 --> 10:39.000]  They're going to censor us. We have them out in the open, nakedly, brazenly coming out and saying they're going to delist websites and take people's apps off the Apple Store and engage in all this type of stuff and send the IRS after people.
[10:39.000 --> 10:42.000]  Do it, criminals. Do it.
[10:42.000 --> 10:55.000]  Already trying to intimidate people with the IRS, auditing tens of thousands of people and taking 501C3s away and going after gun rights groups, only made people start fighting you harder and showed everyone exactly who you are.
[10:55.000 --> 10:59.000]  You know what Trump's going to do? Go ahead and try to pass your fake news bureau.
[10:59.000 --> 11:11.000]  Trump's going to sit there and shoot that thing down once he gets in, but I almost hope that he just gives it to the Democrats and lets them run it so they can run around delusionally, like they're in total charge, telling everybody what they can believe and what they can.
[11:11.000 --> 11:20.000]  I told people about shadow government 20 years ago because it was in mainline textbooks, holding on each thing secret. Now it's all over the news. We've got a shadow government running, thanks.
[11:20.000 --> 11:39.000]  So the good news is these pathetic creatures are still so arrogant that last week alone, I didn't even keep track of it, there were more than 10 news pieces on CNN alone, sometimes spending up to 30 minutes on yours truly about how evil I am, how I'm a liar,
[11:39.000 --> 11:49.000]  misrepresenting what I say, twisting what I say. It just shows how desperate and pathetic they are, but they still don't get that I'm a much bigger audience than they do.
[11:49.000 --> 12:00.000]  But the dwindling audience they have, a few hundred thousand an hour, is going to now tune in to hear who this abominable demon is and are just going to hear the truth that we're promoting.
[12:00.000 --> 12:10.000]  The truth is they want to label everything that doesn't want to live under a corporate tyranny as some type of racist demon. Are they racist in Brazil? They don't want to live under globalism.
[12:10.000 --> 12:17.000]  Are they racist in Spain? Are they racist in Iceland? Are they racist in Italy? No, there's nothing to do with this garbage.
[12:17.000 --> 12:28.000]  People don't want to live under multinational corporations that are taxing the hell out of them and flooding them with third world populations who they bring in and then be a voter base against the population.
[12:28.000 --> 12:35.000]  So that's the exciting news, is that now the gloves are off, now the enemy is completely naked out in front of everybody.
[12:35.000 --> 12:39.000]  Now let's talk about something really key here, because there's something I haven't talked enough about.
[12:39.000 --> 12:52.000]  If you go back three weeks and some change, almost a month ago, we're just a few days shy of a month since President Trump was elected, and go back to this and remember what the narrative was in the two weeks before.
[12:52.000 --> 12:58.000]  The alt-right, again, Hillary calls us that a few months ago, that's the new name for anyone that is in mainstream media.
[12:58.000 --> 13:04.000]  She controls reality, she's God, she labels us the alt-right, so we accept that, yes, you're the master.
[13:04.000 --> 13:14.000]  They said the alt-right has come out and said all these lies and all these bad things, and Trump has adopted their lies, and Trump has adopted all their disinfo.
[13:14.000 --> 13:27.000]  And so when Trump and the Republicans lose in the biggest landslide in history, they will be discredited, and we're going to have to then have laws to shut down and arrest everyone we say is fake.
[13:27.000 --> 13:35.000]  So they already knew that we were beating them, that they were really way behind in polls, that they were going to have to steal the election, they were scared, they were planning to steal it,
[13:35.000 --> 13:44.000]  and then try to shut us down with the fake mandate that they'd won so they had a mandate to then shut down free press in this country.
[13:44.000 --> 13:50.000]  We're a republic, you can have 51% saying shut something down, you don't do it in a republic, the minority's protected.
[13:50.000 --> 13:55.000]  But the landslide was so big that even though Hillary stole five states, they couldn't win.
[13:55.000 --> 14:06.000]  And notice, by the way, that they lost a whole bunch of governorships, a bunch of Senate seats, a bunch of House seats, and 900-plus legislative seats and states.
[14:06.000 --> 14:10.000]  This is the second biggest republican landslide in the party's history.
[14:10.000 --> 14:13.000]  That's admitted, but notice Hillary barely lost.
[14:13.000 --> 14:18.000]  That's because they were focusing the stealing on her desperately, but it still failed.
[14:18.000 --> 14:21.000]  The internal polls showed him 10, 15, 20 points ahead.
[14:21.000 --> 14:25.000]  I was laughing stock, I was laughed at, didn't exist, they're not laughing now.
[14:25.000 --> 14:27.000]  Now I was telling the truth.
[14:27.000 --> 14:35.000]  Now they admit the public polls were adding 5, 10, 15, 20, 25, 30, sometimes upwards of 40-plus points for Hillary, it's all admitted.
[14:35.000 --> 14:37.000]  I'm real news, you're fake news.
[14:37.000 --> 14:40.000]  I have the real contacts, you don't.
[14:40.000 --> 14:45.000]  Generals and patriots and high-level folks talk to me because they know I'm real.
[14:45.000 --> 14:47.000]  They know I run my own media organization.
[14:47.000 --> 14:48.000]  They know I'm bigger than you.
[14:48.000 --> 14:49.000]  They know I'm independent.
[14:49.000 --> 14:50.000]  They know I'm the patriot.
[14:50.000 --> 14:52.000]  They know my family goes back and started the country.
[14:52.000 --> 14:54.000]  They know I'm not scum like you.
[14:54.000 --> 14:55.000]  Look at the nearest scum.
[14:55.000 --> 14:57.000]  Anderson Dipper, you're a scum.
[14:57.000 --> 14:59.000]  Okay, you work for foreign banks.
[14:59.000 --> 15:00.000]  You're a CIA operative.
[15:00.000 --> 15:02.000]  You can make jokes about it all day.
[15:02.000 --> 15:03.000]  It's well known.
[15:03.000 --> 15:14.000]  So all that's happening, and these people are sitting there trying to dictate to us that we would all be discredited, that it was all over for us, that it was the end of the N4 and the end of Breitbart.
[15:14.000 --> 15:21.000]  Instead, despite the fact they tried to steal it all, the gavel inch was so big, it blew up in their face, and they lost.
[15:21.000 --> 15:35.000]  Now they're in total panic mode, but they're going ahead with their plan of intensifying race-vating, censorship, media control, Google, Chrome listing N4 wars, and Breitbart is not real, and all this crap.
[15:35.000 --> 15:37.000]  Listen, they delisted us on Alexa.
[15:37.000 --> 15:40.000]  They brought us down by 80% a few years ago.
[15:40.000 --> 15:43.000]  Everybody just quit using Alexa as a web rating source.
[15:43.000 --> 15:46.000]  When you people censor, you destroy yourselves.
[15:46.000 --> 15:48.000]  We're not operating in a vacuum here.
[15:48.000 --> 15:51.000]  You are exposing yourselves as the greater you are.
[15:51.000 --> 15:53.000]  This is very, very exciting news.
[15:53.000 --> 16:22.000]  We'll be right back on the other side. Stay with us.
[16:23.000 --> 16:25.000]  Another one of those absolute must-haves.
[16:25.000 --> 16:30.000]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[16:30.000 --> 16:41.000]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium, so it really is a all-around nutrient that everybody really needs.
[16:41.000 --> 16:43.000]  I'm taking it now every day.
[16:43.000 --> 16:44.000]  This is so key.
[16:44.000 --> 16:48.000]  Biotru selenium is the product, the best selenium that we could bring.
[16:48.000 --> 16:53.000]  We believe it's the best out there at a very, very low price. Exclusively available at infowarslife.com
[16:53.000 --> 16:57.000]  or by calling toll-free, triple eight, two, five, three, three, one, three, nine.
[16:57.000 --> 16:58.000]  Hey, everyone.
[16:58.000 --> 17:04.000]  Pharmacist Ben Fuchs here, host of The Bright Side, and as many of you know, I'm on a mission to help Americans get and stay healthy.
[17:04.000 --> 17:06.000]  You've all heard the shocking statistics.
[17:06.000 --> 17:12.000]  Despite spending trillions of dollars in healthcare, nearly $10,000 per man, woman, and child in this country,
[17:12.000 --> 17:16.000]  obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[17:16.000 --> 17:19.000]  One out of three or four people is dealing with some kind of health challenge,
[17:19.000 --> 17:22.000]  and everyone knows at least one person with a degenerative disease.
[17:22.000 --> 17:27.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[17:27.000 --> 17:32.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[17:32.000 --> 17:38.000]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids
[17:38.000 --> 17:43.000]  that needs to do its healing work, you need to check out infowarsteam.com.
[17:43.000 --> 17:48.000]  Give your body the gift of good nutrition. Head over to infowarsteam.com.
[17:48.000 --> 18:17.000]  Your body will be very grateful.
[18:19.000 --> 18:24.000]  The Prostaguard formula does just that with its mixture of plant-based nutrients and antioxidants
[18:24.000 --> 18:26.000]  that help give your body total support.
[18:26.000 --> 18:36.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[18:36.000 --> 18:39.000]  Prostaguard is something that the men on the InfoWars crew take every day,
[18:39.000 --> 18:43.000]  and from our research, it's something that men should really be adding to their daily regimen
[18:43.000 --> 18:46.000]  in order to keep their body going at optimal levels.
[18:46.000 --> 18:50.000]  Now's the time to start naturally supporting your body.
[18:50.000 --> 18:54.000]  Get Prostaguard on your side today exclusively at infowarslife.com.
[18:54.000 --> 19:20.000]  That's infowarslife.com.
[19:24.000 --> 19:31.000]  That's infowarslife.com.
[19:54.000 --> 20:11.000]  You're listening to the Alex Jones Show.
[20:11.000 --> 20:16.000]  You have the power. Humanity has the power. We have the power.
[20:16.000 --> 20:21.000]  Do you want to fight? You better believe you got one!
[20:21.000 --> 20:26.000]  Rallying Patriots worldwide in defense of human liberty.
[20:26.000 --> 20:35.000]  It's Alex Jones.
[20:35.000 --> 20:41.000]  Now in the last segment, I was getting into the fact that we've already had state-run media
[20:41.000 --> 20:45.000]  in this country for a long time. We've had the big corporate media line with government
[20:45.000 --> 20:50.000]  and with larger non-media corporations, mainly central banks, to push an agenda.
[20:50.000 --> 20:56.000]  They probably put out, let's not exaggerate, 100-plus movies, hundreds of TV shows,
[20:56.000 --> 21:00.000]  hundreds of books, the last three, four years creating racial division
[21:00.000 --> 21:08.000]  and showing black people being persecuted by white people to create a lot of bad blood.
[21:08.000 --> 21:13.000]  You also see every major movie that comes out that's action-adventure-based,
[21:13.000 --> 21:17.000]  shows women as the heroes and women as being the best combat operatives and the best soldiers.
[21:17.000 --> 21:23.000]  It's admitted that that is in preparation of a draft for women and making women serve in the military.
[21:23.000 --> 21:25.000]  And Obama just announced that on Friday.
[21:25.000 --> 21:29.000]  And then it comes out in memos. It's come out in congressional hearings
[21:29.000 --> 21:33.000]  that almost all the stuff you see is Pentagon propaganda.
[21:33.000 --> 21:36.000]  Now, let me be clear. I'm not blaming the Pentagon itself. They follow orders.
[21:36.000 --> 21:43.000]  But it's propaganda through the central government, through the Pentagon, and then into Hollywood.
[21:43.000 --> 21:49.000]  And that's just one part of it. There's famous videos, of course, of the former attorney general, Eric Holder,
[21:49.000 --> 21:56.000]  saying at an RTF convention on C-SPAN, I want you to brainwash the public constantly against owning guns.
[21:56.000 --> 22:01.000]  This is what they do. So when you see these anti-family messages, basically everything you see
[22:01.000 --> 22:05.000]  is an anti-human message to make you alone, to make you poor, to make you pathetic.
[22:05.000 --> 22:09.000]  Remember the WikiLeaks where they're meeting and they're like talking to top professors?
[22:09.000 --> 22:14.000]  Our name job is to keep them desperate and poor and sad and hopeless and in the dark.
[22:14.000 --> 22:19.000]  And we're doing a very good job. Now we've got to use cultural warfare as the next phase.
[22:19.000 --> 22:25.000]  I mean, this is in the WikiLeaks, okay? But you can see how cold-blooded it is
[22:25.000 --> 22:29.000]  when you witness it for yourself. That's what makes me so angry.
[22:29.000 --> 22:36.000]  But when I talk about state remedial, now having them openly do it and try to censor us shows they're failing.
[22:36.000 --> 22:40.000]  Oh my gosh, the State Department announced on Friday, last Friday,
[22:40.000 --> 22:45.000]  it's going to call it the Office of Information Warfare. Oh my gosh!
[22:45.000 --> 22:53.000]  A 22-year-old guy got a website called that in 1995. His name is Alex Jones.
[22:53.000 --> 22:58.000]  Oh, you're so far ahead of us. You're kicking our butt in the Info War.
[22:58.000 --> 23:03.000]  They want to claim weirding on Americans and claim buses behind what we're doing.
[23:03.000 --> 23:10.000]  From Greece to Spain to Italy to Nigeria to, you name it, all over Latin America, people want out of globalism.
[23:10.000 --> 23:14.000]  All it is is modern colonialism, corporate colonialism.
[23:14.000 --> 23:17.000]  And then he tries to use race-based stuff to play groups off against each other.
[23:17.000 --> 23:21.000]  That's what colonialism all we did as well. So people know.
[23:21.000 --> 23:26.000]  People are aware of what's happening and they're not buying into it. It's very, very exciting.
[23:26.000 --> 23:31.000]  Now, that's it. I want to talk about Donald Trump because a lot of people walk up to me on the street
[23:31.000 --> 23:36.000]  and I see the emails and I get the calls saying, Alex, what do we do about his appointments?
[23:36.000 --> 23:39.000]  He's putting some good people in. He's putting some bad people in.
[23:39.000 --> 23:44.000]  And a lot of times you'd be all over somebody for this. Why aren't you more angry at Trump?
[23:44.000 --> 23:48.000]  Well, it's not because I've talked to him on the phone or on the show.
[23:48.000 --> 23:52.000]  It's because I know the globalist is scared of him because he is a nationalist.
[23:52.000 --> 23:56.000]  He wants to bring back prosperity and he's not out to get the family.
[23:56.000 --> 24:00.000]  He wants to defund a bunch of federal agencies and so they're legitimately scared of him
[24:00.000 --> 24:03.000]  and they know he's riding a wave of populism.
[24:03.000 --> 24:09.000]  I'm going to talk about later worldwide that's sweeping, again, Italy, Iceland, you name it.
[24:09.000 --> 24:14.000]  It's happening right now, not just Brexit, not just Russia. This is happening all over the world.
[24:14.000 --> 24:20.000]  So he's riding that wave. He's starting to bring jobs back before he's even in office
[24:20.000 --> 24:25.000]  and I'm giving him the benefit of the doubt because there's different management styles
[24:25.000 --> 24:29.000]  and if he's putting some insiders in because they know how to get things done
[24:29.000 --> 24:34.000]  and they have all the connections and he's bringing them in basically as an executive
[24:34.000 --> 24:39.000]  to be able to steer these groups and turn the ship around, then I'm all for it.
[24:39.000 --> 24:44.000]  If he just got in there and fought with everyone and day one said,
[24:44.000 --> 24:49.000]  man, the parapets and then only brought people in that had zero connections,
[24:49.000 --> 24:52.000]  I assure you the whole government would come to a standstill.
[24:52.000 --> 24:55.000]  There would be total gridlock and nothing would get done.
[24:55.000 --> 25:00.000]  Now, normally I want gridlock because we've had globalists in there, it's been very, very corrupt.
[25:00.000 --> 25:03.000]  If Trump's really going to reverse things, then it's good to not have gridlock
[25:03.000 --> 25:08.000]  and we have that with the House, the Senate, the courts and the executive.
[25:08.000 --> 25:12.000]  It's not a pure trifecta yet because he doesn't quite have the courts completely.
[25:12.000 --> 25:16.000]  The Supreme Court is in deadlock, but he's about to have the courts.
[25:16.000 --> 25:23.000]  So he's about to have the trifecta and with the trifecta he can repeal anti-gun laws.
[25:23.000 --> 25:25.000]  He can control the border.
[25:25.000 --> 25:26.000]  He can target ISIS.
[25:26.000 --> 25:31.000]  He can cut the wasteful spending of the military and put it back on the spending of good weapons systems.
[25:31.000 --> 25:40.000]  The good patriot generals and others have been recommending getting rid of these billion-dollar fighters that aren't as good as, you know, F-15s.
[25:40.000 --> 25:43.000]  There's a thousand things the president can do.
[25:43.000 --> 25:48.000]  And just babbling the globalists, just getting organized, just getting a cabinet together
[25:48.000 --> 25:52.000]  and just getting the 4,000 executive employees lined up is hard enough.
[25:52.000 --> 25:55.000]  People said, oh, he's going to put Goldman Sachs people in.
[25:55.000 --> 26:01.000]  Goldman Sachs folks that are nationalists and have said that they want to get rid of the fellow reserves.
[26:01.000 --> 26:04.000]  See, everybody has to work for Goldman Sachs.
[26:04.000 --> 26:05.000]  They run the whole planet.
[26:05.000 --> 26:10.000]  So, yes, he's got some Goldman Sachs folks in there and people are asking why.
[26:10.000 --> 26:12.000]  Trump says, quote, I always get the best.
[26:12.000 --> 26:13.000]  Here's the difference.
[26:13.000 --> 26:14.000]  They do what he says.
[26:14.000 --> 26:17.000]  Now, I think there's a danger because you bring in too many of those folks.
[26:17.000 --> 26:23.000]  They can have you assassinated and then have their people come in and take over and reverse things very, very quickly.
[26:23.000 --> 26:25.000]  He has a lot of confidence.
[26:25.000 --> 26:28.000]  I hope it's not, you know, false confidence.
[26:28.000 --> 26:32.000]  I hope his guts right, but I respect Trump a lot.
[26:32.000 --> 26:37.000]  So, again, the management style is totally clean everything out and bring in your own completely new people.
[26:37.000 --> 26:40.000]  Hope you know how to run it, the biggest government in history.
[26:40.000 --> 26:42.000]  That's probably what I would do or what Ron Paul would do.
[26:42.000 --> 26:43.000]  But we're purists.
[26:43.000 --> 26:47.000]  With Trump, he's proving he knows how to get stuff done.
[26:47.000 --> 26:48.000]  We're going to see what happens.
[26:48.000 --> 26:49.000]  And I've got witness tests.
[26:49.000 --> 26:51.000]  I want to see, you know, control that border.
[26:51.000 --> 26:53.000]  I want to see felons deported.
[26:53.000 --> 27:01.000]  I want to see a move and I want to see him sign and promote a repeal of a bunch of gun laws that are onerous and out of control.
[27:01.000 --> 27:04.000]  I want to see us, you know, Vermont open carry nationwide.
[27:04.000 --> 27:06.000]  If you're not a criminal, you've got full Second Amendment.
[27:06.000 --> 27:11.000]  And I want to see it after, you know, 10 years of a felon hadn't committed a crime to get their Second Amendment back.
[27:11.000 --> 27:12.000]  That's how it was in the old days.
[27:12.000 --> 27:17.000]  In fact, before that, felons could keep their guns because, you know, everybody has a right to defend themselves.
[27:17.000 --> 27:19.000]  Criminals are going to break the law anyways.
[27:19.000 --> 27:22.000]  So I want to see massive repeal of anti-gun laws.
[27:22.000 --> 27:26.000]  I want to see continued detente with the nations that will work with us.
[27:26.000 --> 27:30.000]  I want to see them stand up to communist China that's very belligerent and has infiltrated our country.
[27:30.000 --> 27:31.000]  He just did that with Taiwan.
[27:31.000 --> 27:35.000]  I have a special report coming up on that in the final segment of this hour.
[27:35.000 --> 27:38.000]  Very powerful, by the way, so stay with us for that.
[27:38.000 --> 27:46.000]  I want to see him get off the backs of the churches in this country and basically get rid of 501c3 that we didn't have until the 50s
[27:46.000 --> 27:48.000]  and say churches are not charities.
[27:48.000 --> 27:51.000]  Churches are their own independent system, separate from church and state.
[27:51.000 --> 27:54.000]  So do whatever you want, which I know Trump's been promoting.
[27:54.000 --> 28:02.000]  I want to see him get rid of a whole bunch of these sub-agencies like the new government fake news, you know, regulation agency
[28:02.000 --> 28:05.000]  that the State Department's supposedly setting up.
[28:05.000 --> 28:08.000]  The State Department's been caught running mainstream media. They already have state-run media.
[28:08.000 --> 28:10.000]  So he needs to get rid of that.
[28:10.000 --> 28:12.000]  There's a lot of things he needs to do.
[28:12.000 --> 28:15.000]  We need to stay on Trump's side.
[28:15.000 --> 28:18.000]  The Globalist has even written about this.
[28:18.000 --> 28:25.000]  They want, when he's on a purist, to drive us away from him so he doesn't have his base so that he's got to go to the Globalist for support.
[28:25.000 --> 28:28.000]  They're trying to push his base away from him right now.
[28:28.000 --> 28:34.000]  They're trying to get him to decryme myself and fireban him and all of this to cut him away from his popular support base.
[28:34.000 --> 28:39.000]  We've got to support him at least until he gets into power and starts seeing what he does
