[00:00.000 --> 00:14.280]  We are on the march the empire is on the run Alex Jones and the GCN radio network
[06:24.160 --> 06:29.960]  David it's great to be here listening to your first five-minute intro. There's so much to talk about I discussed this
[06:30.480 --> 06:34.600]  Some on Thursday and I discussed this some on Friday, but there have been new communiques
[06:35.320 --> 06:44.080]  issued by different members of the German government and by the North Atlantic Treaty Organization as you know starting last Thursday
[06:44.600 --> 06:46.600]  The North Atlantic Treaty Organization
[06:46.600 --> 06:53.040]  In its 60-plus year history has never put out a statement as broad as bold or as dangerous
[06:53.680 --> 07:01.240]  As their statement claiming that any cyber attacks any hack attacks that they believe are coming from the landmass area
[07:01.520 --> 07:09.080]  Originating on the internet from Russia or any Russian held territories will be seen as physical acts of war
[07:09.080 --> 07:18.800]  Against any NATO member nation or NATO itself or the United States for that matter, which of course is the signatory or the founders of the North Atlantic Treaty Organization
[07:19.640 --> 07:26.120]  Obviously, I'm not pro-Russia or pro-NATO. I'm pro-human being and and not having a nuclear war
[07:26.920 --> 07:28.920]  But NATO has become a global army
[07:28.920 --> 07:40.400]  NATO has been allied publicly we won't it's been allied longer, but publicly with al-Qaeda with al-Nusra with ISIS
[07:41.080 --> 07:43.080]  For really more than a decade
[07:43.560 --> 07:51.920]  And they've been using it as a proxy army in Libya in Syria in Egypt in Iraq almost their areas NATO's been caught trafficking narcotics
[07:53.120 --> 07:55.120]  NATO is really
[07:55.120 --> 08:02.000]  At the end of World War two what the German power state and all the Nazi money did merging with the West
[08:02.000 --> 08:08.480]  It was an extension of what you could call something like operation paperclip. Now. I'm not saying the New World Order is a Nazi conspiracy
[08:08.480 --> 08:12.680]  I'm simply saying it's an inculcation of those different Nazi
[08:13.040 --> 08:19.520]  And collaborator intelligence networks with Western intelligence networks under an OSS slash CIA
[08:19.520 --> 08:27.080]  1947 National Security Act umbrella, and it's been operating above the law ever since we know the Bilderberg meeting at the
[08:27.880 --> 08:34.920]  Hotel there in Usterbeck Holland the Bilderberg hotel where they get their name in 1954 was only an extension of
[08:37.040 --> 08:38.600]  NATO meetings
[08:38.600 --> 08:43.400]  That were already being held in secret with private corporate directors previous to that
[08:43.400 --> 08:45.800]  So it is the heart of the world government project
[08:45.800 --> 08:51.840]  And it's sucking the energy the money the livelihood out of all the different member states that are in the EU and
[08:52.120 --> 08:57.640]  Controlled militarily by NATO which is the UN army and so it's a very parasitic organization
[08:57.640 --> 09:02.040]  So when we hear NATO wants to start a war with Russia regardless of any problems
[09:02.040 --> 09:07.160]  Russia has or any geopolitical activities they may be involved in Russia is not one one hundredth
[09:07.160 --> 09:12.120]  And I mean that conservatively one one hundredth the threat to human life
[09:12.120 --> 09:18.440]  Then the globalist Anglo-American world government eugenics-based project and so those stories
[09:19.160 --> 09:25.280]  From zero hedge and from info wars and from many other publications are up on info wars calm right now
[09:25.800 --> 09:31.280]  They have links throughout it to mainstream newspapers in Europe and from governmental statements
[09:31.280 --> 09:35.720]  We can all obviously go over some of those with top German ministers and others coming out and saying look
[09:35.720 --> 09:44.360]  This you these latest statements by NATO are our boot stomping their warmongering these are quotes and extremely dangerous and in danger
[09:44.360 --> 09:46.360]  Everyone's stability
[09:47.000 --> 09:48.600]  British troops
[09:48.600 --> 09:54.320]  US troops other real combat troops German troops have been massing in different areas along the Russian border
[09:54.480 --> 09:58.320]  They are moving armaments in from Ukraine to Poland
[09:58.760 --> 10:03.360]  To other areas. This is very very dangerous. We saw probing of Russia in
[10:03.360 --> 10:08.200]  in in 2008 on the on the kickoff of the Olympics when
[10:09.000 --> 10:11.000]  tens of thousands of
[10:11.120 --> 10:18.360]  Georgian troops NATO backed attacked South Ossetia and emcasia to historically Russian held areas on the
[10:18.720 --> 10:24.960]  Georgian Russian border wiping out all the border patrol troops at those facilities murdering everyone as an elicited
[10:25.440 --> 10:27.600]  event to trigger the
[10:27.600 --> 10:34.080]  The Russians pouring in and then our media ran with a hose at the Russians that actually invaded Georgia
[10:34.080 --> 10:38.880]  I mean, I actually went on there and said Russia has invaded Georgia. This is crazy because I was still believing CNN
[10:38.880 --> 10:43.720]  I mean, I knew they lied but I could never imagine David that they would lie at that magnitude. So
[10:44.360 --> 10:50.080]  There is a lot going on. It'd be like saying, you know that the United States attacked Tokyo
[10:51.640 --> 10:55.800]  December 7th 1941 at Pearl Harbor. It's just an inversion of the facts
[10:55.800 --> 10:58.160]  Just like we see on every other case
[10:58.160 --> 11:01.800]  It's just getting worse and worse and worse and worse in the meanwhile
[11:01.800 --> 11:07.080]  We have our reporters all over the country from Phoenix, Arizona to Dallas, Texas the last few days
[11:07.560 --> 11:13.000]  Getting over the top video of people with huge Mexican flags and signs saying let's make
[11:13.600 --> 11:16.760]  America Mexico again and let's make USA
[11:17.320 --> 11:24.320]  Mexico again and the media actually saying how dare Donald Trump supporters not want to make the Southwest Mexico
[11:24.320 --> 11:27.440]  When it had you know, a bunch of different flags and the six flags of Texas
[11:27.440 --> 11:32.080]  We're actually eight flags over Texas, but you know, Mexico couldn't hold it Spain couldn't hold it France couldn't hold it
[11:32.640 --> 11:37.720]  On and on it's just that there's this whole idea that America is bad America's evil
[11:37.720 --> 11:41.880]  All of this is being pushed by globalists. So we'll give up our sovereignty and that's why
[11:42.680 --> 11:46.320]  The New World Order hates Russia so much is because Russia is paying down
[11:46.320 --> 11:50.880]  It's it's international debt to the IMF and World Bank at the fastest rate of any major nation
[11:50.880 --> 11:54.160]  Russia is paying people to have kids Russia has
[11:54.720 --> 11:59.640]  National news shows that even our media says are like Alex Jones with a national TV show
[11:59.880 --> 12:06.440]  Putin's best buddies like an Alex Jones and claims fluoride gives you brain damage and don't take the vaccines and and that they're
[12:06.640 --> 12:11.200]  Chemtrailing everybody and their geo engineering and then Putin's best buddies all have people
[12:11.200 --> 12:17.000]  You know what? It's amazing that Russia has actually found out about the world government found out about the New World Order because
[12:17.000 --> 12:20.880]  The Communist Bolshevik program was run out of London in New York
[12:22.000 --> 12:24.000]  Declassified over a hundred thousand
[12:24.600 --> 12:30.120]  Conscripts basically hired not conscripts, but happy you know folks to be funded as mercenaries
[12:30.440 --> 12:38.840]  To who were former Russian immigrants many of them Jewish to be shipped into Russia in 1917 with Lenin's train and Stalin's train of
[12:38.840 --> 12:46.000]  Gold with 25 million dollars of US gold on board to fund the Bolshevik overthrow of Moscow first took them years to get control
[12:46.000 --> 12:48.320]  The rest of the country, but once they got control of Moscow
[12:48.320 --> 12:52.200]  They had control the newspapers they killed the czars and they put in all the newspapers
[12:52.640 --> 12:55.160]  Turn your guns in and we'll give you amnesty
[12:55.320 --> 13:00.880]  Well when the military and others and the citizens turn their guns in what they got was murdered and put in forced labor camps
[13:00.880 --> 13:04.520]  So they traded out one form of slavery for something far worse and so
[13:05.000 --> 13:11.480]  It's very important to understand that we shouldn't be enemies with Russia in my view and and the globalist our ally with China
[13:11.480 --> 13:18.240]  Who is actually taking over the Panama Canal and our deep water ports and has our missile secrets and has taken most of our jobs and
[13:18.240 --> 13:24.120]  Tells Hollywood what movies can come out and lectures us all day long on about if we have Donald Trump or not
[13:24.120 --> 13:30.760]  I mean China is a billion 300 million people its people are slaves its people are in continued uprising against it
[13:30.960 --> 13:38.640]  It's in our business. It has 97% of rare earth minerals under its control. It's got military bases all over the world over a hundred of them now
[13:38.640 --> 13:44.720]  Russia's got three Russia is not the threat Russia's broken away from the world government project
[13:44.720 --> 13:49.160]  It's got its own corruption its own problems, but the new world order wants to take it down
[13:50.160 --> 13:57.000]  Because it's already got a deal with China and others and it wants to be able to go in and and have a same level social engineering
[13:57.440 --> 14:01.320]  In Russia they've had here to cut off the population growth
[14:01.600 --> 14:03.920]  Which they've actually obviously had negative growth there
[14:03.920 --> 14:10.600]  But Russia's trying to fix that and to put them under the same family killing process that we're now under in this country
[14:10.600 --> 14:13.880]  I also want to talk about some of the latest attacks on Donald Trump
[14:14.200 --> 14:20.400]  We have some videos coming up of I mean I played some of it on Thursday, but just this amazing man in Atlanta
[14:21.120 --> 14:26.280]  This black man yelling at another black man who's a Trump supporter, you know saying how dare Donald Trump?
[14:26.280 --> 14:28.600]  You know, he wants to ship the Africans back to Africa
[14:29.320 --> 14:32.680]  And then meanwhile this this this man's wearing a rainbow flag
[14:32.680 --> 14:37.880]  Button and talking about how Trump hates the gays when it's Hillary Clinton
[14:38.320 --> 14:44.880]  That is getting a hundred million dollars from Gulf War states that kills homosexuals just for being gay and
[14:45.560 --> 14:49.440]  That at the same time they're all running around angry angry at Donald Trump
[14:50.040 --> 14:55.200]  Because he says people should have a right to defend themselves and be armed and now even the NRA has come out and said well
[14:55.200 --> 15:00.780]  We don't agree with Trump that who we've endorsed that you should be well armed in a nightclub. The point is they had a
[15:00.780 --> 15:06.940]  A armed security guard who ran off the point is it took the the SWAT teams three hours to get there
[15:06.980 --> 15:09.900]  If you had folks armed in bars, will there be some problems? Yes
[15:10.540 --> 15:14.260]  But someone arm in a bar is gonna happen regardless of their planning something bad
[15:14.260 --> 15:19.260]  So I'm not even saying arm the bars, but but you have to understand that it leaves it as a vacuum
[15:19.740 --> 15:21.740]  for the shooters to come and
[15:21.900 --> 15:26.380]  Target you because the stupid SWAT team takes three hours to get there and that's the reality on
[15:26.380 --> 15:32.180]  On that front, but as people discover the reason they're demonizing Trump is his simple nationalism
[15:32.780 --> 15:36.140]  It's really a big deal. So there's this and a lot more today
[15:36.140 --> 15:40.660]  I'm only gonna be here for one more segment spending some time with the family also gonna be shooting some more ports on the road
[15:40.660 --> 15:57.260]  That'll hand the baton to David Knight and more. It's a big jam-packed global transmission on the Sunday edition info wars.com
[15:58.860 --> 16:04.580]  If you ever wanted a great deal on a powerful solar generator, but we're waiting for an outrageously low price
[16:04.580 --> 16:08.740]  You are not going to want to miss this important message. Here's why my friends
[16:08.740 --> 16:14.980]  We already see major power grid problems, and it's getting worse. So please listen solar generators really do provide
[16:15.500 --> 16:19.820]  lifesaving electrical power and unlike gas generators solar generators run silently
[16:19.940 --> 16:25.620]  I'm at no fumes or gases and produce electricity from the Sun whether it's dangerous summer storms blackouts
[16:26.260 --> 16:30.500]  Intensifying civil unrest you're not going to have to suffer through it like the rest of the sheep
[16:30.500 --> 16:36.540]  And here's the best news if you want to get one this week solutions from science has a big sale on their fast charge
[16:36.540 --> 16:44.340]  Solar generators, and they're giving away a couple thousand dollars worth of off-the-grid gear in addition to the low price for info wars listeners
[16:44.340 --> 16:49.460]  So it's a good time to check it out go to grid wars.com. That's grid wars.com
[16:49.460 --> 16:56.620]  It's a great opportunity to generate maximum electricity with minimum money go to grid wars.com. That's grid wars.com
[16:58.820 --> 17:03.260]  Over the years there have been a lot of powerful advancements in the field of science and
[17:03.260 --> 17:10.900]  Neutroceuticals young Jevity integrates years of scientific research into creating fantastic products like beyond Tangy Tangerine
[17:10.900 --> 17:17.700]  Plant-derived minerals and much more young Jevity also offers you an ingenious way to augment your income and the best part
[17:17.700 --> 17:21.880]  You'll be helping your friends and family along the way visit info wars team
[17:22.100 --> 17:28.140]  Com today become a member it discounts on the amazing products and free shipping when you sign up for auto ship
[17:28.140 --> 17:34.260]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at
[17:34.260 --> 17:35.780]  The same time another win-win
[17:35.780 --> 17:41.540]  That's why I'm a member of the young Jevity team at info wars team.com and you can be too it's simple
[17:41.540 --> 17:46.420]  Just go to info wars team.com today complete a short sign up and you're part of the team
[17:46.420 --> 17:54.860]  That's info wars team.com or info wars health.com so many people calling to my radio show and tell me how young Jevity and the products at info wars team.com
[17:54.860 --> 17:58.540]  Have changed their lives check it out for yourself today
[18:00.420 --> 18:04.060]  Introducing vitamin mineral fusion from info wars life.com
[18:04.060 --> 18:10.020]  We have worked for years with our chemist and scientist to create the most powerful and affordable great tasting
[18:10.180 --> 18:18.500]  Multivitamin formula available the all-new vitamin mineral fusion drink mix at info wars life.com is loaded with a full month supply of
[18:18.500 --> 18:24.860]  Essential vitamins minerals and amino acids that your body absolutely needs in the history of info wars life
[18:24.860 --> 18:30.860]  We've brought out a lot of amazing products like survival shield x2 super metal vitality and so many others
[18:30.860 --> 18:37.380]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary
[18:37.660 --> 18:44.980]  Manufacturing process designed for maximized effects. This formula is the platinum standard of multivitamin mineral products
[18:44.980 --> 18:52.060]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[18:52.060 --> 18:59.500]  That means it's clean. That means it's pure. That's info wars life.com and vitamin mineral fusion take action now before we sell out
[19:00.020 --> 19:06.820]  Shower filters we're introducing the best yet the brand new pro pure pro max high performance shower filter
[19:06.820 --> 19:11.500]  It removes and reduces over 200 contaminants while preserving a strong powerful flow
[19:11.500 --> 19:18.660]  It's new for stage filtration process helps protect the largest organ in your body your skin from the unhealthy contaminants in the water
[19:18.660 --> 19:23.820]  You can find more details on this amazing new filter and free shipping an info wars store.com or call
[19:23.820 --> 19:29.600]  Triple eight two five three three one three nine to order your pro max shower filter from pro pure today
[19:29.660 --> 19:35.420]  When cells become toxic they die early and aging sets in no one has put together a formula
[19:35.420 --> 19:42.940]  That focuses directly on brain health nerve growth factors and optimizing your cellular energy at the same time just one of the key
[19:43.060 --> 19:49.460]  Compounds bio PQQ is backed by major clinical studies. You want the best that's out there at the lowest price anywhere
[19:49.460 --> 19:58.300]  We now have the synergistic solution secure your DNA force today at info wars life.com or call toll free 888 253 313 9
[19:58.300 --> 20:06.260]  You're listening to the Alex Jones show
[20:12.580 --> 20:17.060]  We are on the March the Empire is on the run
[20:17.740 --> 20:21.660]  Alex Jones and the GCN radio network
[20:21.660 --> 20:30.260]  We live in only welcome back to the Alex Jones show. I'm David Knight here on this Sunday, June 19 2016
[20:30.260 --> 20:35.060]  I'm here live in Austin. We have Alex Jones joining us now live from the road Alex
[20:36.140 --> 20:39.980]  That's right, and I'm gonna be here just for one more segment than hand the baton to David Knight
[20:39.980 --> 20:42.740]  But I'll be hosting the broadcast here from the road tomorrow
[20:44.020 --> 20:45.860]  11 a.m. To 3 p.m.
[20:45.860 --> 20:48.620]  Co-hosting with David Knight and others
[20:48.620 --> 20:53.740]  But the big issue obviously is the globalists have taken the gloves off
[20:54.340 --> 20:59.780]  They're moving their program for world government in the overdrive right now, and we now have hundreds of
[21:00.820 --> 21:02.820]  different publications
[21:03.220 --> 21:08.020]  Coming out from Rolling Stone to the Associated Press saying it's time to ban guns
[21:08.020 --> 21:11.660]  It's time to repeal the Second Amendment, so they've gone from denying this
[21:11.660 --> 21:18.820]  For decades even though when they get control of a country the globalists take the guns they get control of a city
[21:18.940 --> 21:23.900]  They take the guns they get control of a state. They take the guns. They've always denied they want our guns
[21:24.780 --> 21:26.660]  Despite the fact that overall
[21:26.660 --> 21:31.100]  shooting deaths since the 1992 or down almost 60% or more putting on which
[21:31.860 --> 21:35.020]  Number you look at from the FBI despite all of that
[21:35.020 --> 21:42.260]  They're coming for our guns as they get more bodyguards and build bigger fences and armored compounds around government buildings
[21:43.060 --> 21:49.500]  people like Lynch at the Justice Department and then people like Johnson at the
[21:53.420 --> 21:58.780]  Democrats when they when they're protected by taxpayer paid bodyguards, they know they're dominating their slaves
[21:58.780 --> 22:03.980]  It's an act of supreme control to take your security away and not let you protect yourself show Lynch
[22:03.980 --> 22:11.460]  A partial transcript of Orlando 9-11 calls will have references to Islamic terrorism removed
[22:12.420 --> 22:18.260]  And so what is Homeland Security doing to taking control of Orlando's 9-11 call system and
[22:19.500 --> 22:25.860]  Saying we're gonna remove him saying I pledge allegiance to ISIS. I pledge allegiance for you know, you know, we have Islam
[22:26.380 --> 22:31.420]  This is why we do this. They won't even let us hear the so-called martyr
[22:31.420 --> 22:33.420]  Matton
[22:35.620 --> 22:37.620]  Tell us why he did it
[22:37.860 --> 22:41.460]  Because we're not allowed to be told that I mean the police already did their job and told us no
[22:41.460 --> 22:44.420]  He pledged allegiance to ISIS and called him to the 9-11 tapes
[22:44.420 --> 22:47.220]  They told us about 10 hours into it on that Sunday
[22:47.860 --> 22:54.780]  Because they knew the media was covering it up and saying that he was a you know, basically a right-winger or something and not telling you
[22:54.780 --> 23:00.540]  He was a Democrat and so now they don't want you to hear him though in his own cool calm collected voice reportedly
[23:00.540 --> 23:02.540]  On the 9-11 tape
[23:02.940 --> 23:04.260]  bragging about
[23:04.260 --> 23:08.420]  What he was doing and why he did it. So his declaration of why he attacked us
[23:10.340 --> 23:15.540]  His declaration of war you're not allowed to hear because it's emblematic of you not being allowed to know
[23:15.540 --> 23:20.260]  There's been a declaration of war against you because they're just gonna let these people in and let them come in here and radicalize folks
[23:20.260 --> 23:27.780]  They're already here and attack and then take our liberties. I know I've talked about that a lot, but this is so again thematic or
[23:27.780 --> 23:29.540]  Or
[23:29.540 --> 23:31.540]  Just highlights everything
[23:31.900 --> 23:33.900]  We're talking about in dealing with
[23:34.500 --> 23:36.500]  with totalitarian government
[23:36.900 --> 23:43.340]  Alied with totalitarian Islam and it's totally incompatible with Renaissance Western civilization
[23:43.340 --> 23:51.220]  And that's exactly why they're bringing these people in. It's why they're accelerating the death of the family
[23:51.220 --> 23:53.220]  You know, this is Father's Day
[23:53.220 --> 23:58.540]  That's why I took the weekend off and the next few days off partially to spend time with my children
[23:58.540 --> 24:03.460]  And to take them fishing and you know playing the sand and things like that because I do understand that at the end of the day
[24:03.500 --> 24:07.100]  We're really going to change the world at the cellular level politically
[24:07.500 --> 24:12.260]  Making our families better spending time with our children informing them about how the world really works
[24:13.180 --> 24:18.020]  So that they can't just be brought up by the state and brought up by their smartphones and brought up by this system
[24:18.020 --> 24:20.620]  That's designed to make them totally independent on the state
[24:20.620 --> 24:27.060]  And I just think about how the government has gotten involved and the relationships have been in women how they've turned us against each other
[24:27.060 --> 24:29.820]  How they've tried to make society as handicapped
[24:30.860 --> 24:35.060]  Financially as possible so that people don't feel like they have money to have children anymore
[24:35.060 --> 24:42.100]  And so the individuals that are out there just totally alone and are only allowed to organize into tribal units
[24:43.020 --> 24:48.500]  Under state sponsored or corporate sponsored systems that are really false that are really
[24:48.500 --> 24:54.820]  Prosthesis that don't even work that are that are artificialities that are designed to be unfulfilling
[24:55.260 --> 24:58.060]  Because what the new world order is building is so alien
[24:58.420 --> 25:04.500]  That's a normal human development. I mean think about how far humans have come in just the last thousand years
[25:04.740 --> 25:08.860]  The things we do today would be total magic or the thing of the gods
[25:09.700 --> 25:14.700]  The stuff of Mount Olympus or Thor's Thor's great tree of the world
[25:14.700 --> 25:22.220]  To ancients a thousand years ago and and imagine where we'd be going with technology in the future if it was based on free market
[25:22.420 --> 25:25.980]  If it was based on free will it was based on independence
[25:26.340 --> 25:28.340]  That would build a very empowered
[25:29.100 --> 25:35.340]  Futuristic society that would still have major hurdles to get over you know not destroying ourselves with mishaps or accidents or wars
[25:35.540 --> 25:42.180]  But with the globalist taking technology and bending it and twisting and pouring their menace and their hatred into everything
[25:42.180 --> 25:46.100]  They do with these Trojan systems. They are forming a
[25:48.500 --> 25:50.100]  System
[25:50.100 --> 25:57.260]  That is absolutely and totally designed on every front to dehumanize us and there's tons of news today to cover
[25:57.300 --> 26:00.100]  It's just at the end of the day. This is dehumanization
[26:00.100 --> 26:07.180]  We're seeing and then one of the final visible pieces of that is taking firearms from individuals and saying you're less
[26:07.900 --> 26:10.860]  Worthy you're less free you're less equal
[26:10.860 --> 26:15.500]  Than some government bureaucrat or some rich person who can hire a private security
[26:16.020 --> 26:21.060]  You the individual aren't trusted and aren't allowed to defend yourself
[26:21.060 --> 26:26.060]  You're not trusted with something that has power and then next it's not going to be guns
[26:26.060 --> 26:32.180]  It's going to be cars cars must be robot driven and controlled because you can't be trusted. They're already saying that I told people that 20 years ago
[26:32.180 --> 26:34.540]  Oh, you can't be trusted in your own home
[26:34.540 --> 26:39.620]  We got to have social workers come at birth and throughout your life and have a state appointed third parent
[26:39.620 --> 26:43.020]  This is all being announced as well that micro manages everything
[26:43.300 --> 26:47.540]  This is the parasites in government and corporations that are corrupt
[26:48.220 --> 26:49.300]  merging
[26:49.300 --> 26:54.300]  With a whole AI system to to to birth a new creation
[26:54.820 --> 26:58.660]  Here on this globe a a system meant to prop up a
[27:00.060 --> 27:07.020]  Terony the likes of which this planet has absolutely never seen so I just want to thank all the viewers and listeners for your support
[27:07.020 --> 27:09.660]  I'm gonna thank David knife for his great work on Father's Day
[27:10.220 --> 27:15.540]  Coming in but I know it'll probably tell you hey as a father of three children
[27:16.260 --> 27:21.220]  And as a person who cares about his family he wants to be here on Father's Day
[27:21.380 --> 27:28.260]  So do I because this is what it's all about is standing up for my children my three children as well and understanding that
[27:28.660 --> 27:31.340]  It's the animating contest of liberty. It's not a
[27:31.340 --> 27:37.980]  Negative to work hard and make films and and produce reports and articles and research
[27:39.180 --> 27:41.460]  in the quest for liberty that is
[27:42.460 --> 27:47.060]  The same motion is sucking air into your lungs and exhaling and it's not work. It's life
[27:47.060 --> 27:50.780]  It's what we're designed to do and when we're not involved politically
[27:50.780 --> 27:56.580]  We're not involved culturally when we're not involved and engaged spiritually at every level. We become to atrophy
[27:56.580 --> 28:02.500]  We become to fall apart. We begin to disintegrate as I've said many times. It's like space travel to Mars
[28:02.820 --> 28:08.660]  The best astronaut once they get there will still be a jellyfish and barely be able to walk because of not having gravity
[28:08.660 --> 28:11.380]  Even if they exercise with limited exercise on their way there
[28:11.540 --> 28:15.660]  There's so many positive things about the modern world and convenience is today
[28:15.860 --> 28:22.620]  But at the same time we are losing our intellects. We are losing our rugged individualism. We are losing our primal energies
[28:22.620 --> 28:29.300]  We are losing our basic instincts and what's left over instincts are being twisted and manipulated and turned against us
