[00:00:03.715 --> 00:00:04.816]  Thursday!
[00:02:04.298 --> 00:02:07.920]  Well, we have him for tomorrow, but I want to move him to today.
[00:02:07.920 --> 00:02:08.701]  We're just so busy.
[00:02:08.701 --> 00:02:12.263]  We haven't done a story on this, but RT picked it up.
[00:02:12.263 --> 00:02:14.885]  He went out, talked to Californians, Obama voters.
[00:02:14.885 --> 00:02:16.406]  I mean, they're the dumbest people on earth.
[00:02:16.406 --> 00:02:17.346]  I'm sorry.
[00:02:17.346 --> 00:02:23.551]  Conservatives have their problems and can be horrible police state pushers, but they do know how to wipe their butts.
[00:02:23.551 --> 00:02:26.432]  And I hate to use that analogy, but man, it's the only one that fits.
[00:02:27.313 --> 00:02:33.341]  You go talk to random Californians, they are the stupidest, most fascistic people I've ever seen.
[00:02:33.341 --> 00:02:39.089]  And Californians will tell you those aren't Californians, they're idiots that have moved in there looking to get rich quick or whatever.
[00:02:39.089 --> 00:02:43.656]  But Obama zombies, Americans sign prankster petition to nuke Russia.
[00:02:45.450 --> 00:02:49.712]  And, but I mean, he'll say, we need to put gun owners in forced labor camps.
[00:02:49.712 --> 00:02:52.713]  And the liberals will go, absolutely, I'm sick of them, let's enslave them.
[00:02:52.713 --> 00:02:53.973]  They are ready, folks.
[00:02:53.973 --> 00:03:00.136]  If they arrest me tomorrow and put me in a forced labor camp, the average Democrat will hail it.
[00:03:00.136 --> 00:03:02.397]  Now, is that liberal?
[00:03:02.397 --> 00:03:04.918]  No, these are sick freaks.
[00:03:04.918 --> 00:03:10.880]  I told you I've gone out to abortion clinics and every time people run up and say, I love Satan, I want to kill babies.
[00:03:10.880 --> 00:03:14.122]  So I said, we're going to go out to an abortion clinic and see what happens.
[00:03:14.122 --> 00:03:14.882]  They show up.
[00:03:15.970 --> 00:03:20.472]  And I don't care where you're at, that these demons come out from under rocks.
[00:03:20.472 --> 00:03:22.914]  It's the modus operandi.
[00:03:22.914 --> 00:03:24.895]  It's criminology.
[00:03:24.895 --> 00:03:26.856]  It's psychology.
[00:03:26.856 --> 00:03:36.861]  The more insane, the more demented, the more demonic a soul is, the more predictable.
[00:03:36.861 --> 00:03:41.283]  And we just have to come to grips with how sick these people are.
[00:03:41.283 --> 00:03:42.764]  Now, real liberals are great people.
[00:03:43.564 --> 00:03:44.686]  These folks are not it.
[00:03:44.686 --> 00:03:48.534]  But regardless, I'm playing the clip here.
[00:03:48.534 --> 00:03:54.867]  And Mark's really good at this because he just dryly walks over and goes, turn all the guns in and burn Jews in ovens for Obama.
[00:03:56.184 --> 00:04:02.208]  Open the borders and bring in world government and then have the Communist Manifesto be taught for Obama.
[00:04:02.208 --> 00:04:04.169]  Throw children to wood chippers for Obama.
[00:04:04.169 --> 00:04:05.750]  I mean, he could go that far.
[00:04:05.750 --> 00:04:12.415]  You say for Obama, they go into mind control, peer pressure mind control, and begin signing.
[00:04:12.415 --> 00:04:17.838]  So regardless, let's just get the whole RT article posted at InfoWars.com and send Drudge a link to it.
[00:04:17.838 --> 00:04:21.541]  He'll probably just link to the, if he does, to the RT one.
[00:04:22.651 --> 00:04:26.733]  It is just over the top to see this stuff.
[00:04:26.733 --> 00:04:31.535]  Speaking of Drudge, one of our top stories on Bilderberg, when we return, it's up on DrudgeReport.com.
[00:04:31.535 --> 00:04:34.536]  We're going to move it back to the front page of Infowars.com.
[00:04:34.536 --> 00:04:35.937]  It broke last night.
[00:04:35.937 --> 00:04:39.319]  Bilderberg deploys high-tech jamming to shut down communications.
[00:04:39.319 --> 00:04:42.140]  Now, as soon as I saw the video of it, I knew what it was.
[00:04:42.140 --> 00:04:47.122]  Yes, it can jam, but that's not really what it is.
[00:04:47.122 --> 00:04:51.284]  It is a giant stingray system on steroids.
[00:04:52.719 --> 00:04:55.059]  And major departments all over the world have these.
[00:04:55.059 --> 00:04:58.760]  And we're going to break it down when we come back.
[00:04:58.760 --> 00:05:10.843]  He aligns himself with the truth.
[00:05:10.843 --> 00:05:13.823]  And it's time for you to choose a side.
[00:05:13.823 --> 00:05:17.944]  You're listening to Alex Jones.
[00:05:17.944 --> 00:05:21.885]  Bad luck wind been blowing at my back.
[00:05:25.843 --> 00:05:34.030]  I was born to bring trouble to wherever I'm at.
[00:05:34.030 --> 00:05:42.217]  Got the number 13 tattooed on my neck.
[00:05:42.217 --> 00:05:46.921]  When the ink starts to itch, then the black will turn to red.
[00:05:50.673 --> 00:05:56.356]  I was born in the soul of misery.
[00:05:56.356 --> 00:06:00.358]  Never had me a name.
[00:06:00.358 --> 00:06:05.700]  They just gave me the number when I was young.
[00:06:05.700 --> 00:06:11.142]  That's Johnny Cash bringing us in, 13.
[00:06:11.142 --> 00:06:15.604]  Got a long line of heartache, I carry it well.
[00:06:24.310 --> 00:06:26.671]  We're live Monday through Friday from 11 a.m.
[00:06:26.671 --> 00:06:27.192]  to 2 p.m.
[00:06:27.192 --> 00:06:28.733]  Central.
[00:06:28.733 --> 00:06:35.617]  We return weeknight 7 o'clock Central with InfoWars Nightly News and Sundays 4 to 6 p.m.
[00:06:35.617 --> 00:06:37.278]  Central as well.
[00:06:37.278 --> 00:06:39.339]  Huge broadcast lined up today.
[00:06:39.339 --> 00:06:44.742]  We have Charlie Skelton, London Guardian reporter, who's been heavily harassed by police.
[00:06:44.742 --> 00:06:46.583]  This is basically the worst he's ever seen.
[00:06:46.583 --> 00:06:47.484]  He's riding in the Guardian.
[00:06:49.244 --> 00:06:52.686]  At G7, we journalists were pampered at Bilderberg.
[00:06:52.686 --> 00:06:55.027]  We were harassed by police, is the headline.
[00:06:55.027 --> 00:07:00.209]  He first started covering Bilderberg, I guess, about ten years ago, nine years ago.
[00:07:00.209 --> 00:07:02.190]  And at first, he was making jokes about it.
[00:07:02.190 --> 00:07:05.852]  And then when he got there, he quit making jokes real quick.
[00:07:05.852 --> 00:07:08.433]  And it totally politically changed his outlook.
[00:07:08.433 --> 00:07:10.975]  And now he's a serious journalist.
[00:07:10.975 --> 00:07:15.797]  He was a humor columnist for The Guardian.
[00:07:15.797 --> 00:07:17.598]  And then now he doesn't think things are funny.
[00:07:19.542 --> 00:07:25.604]  After he's been arrested and harassed and spied on and everything else that he's gone through.
[00:07:25.604 --> 00:07:29.645]  You see, one cannot be told about the Matrix.
[00:07:29.645 --> 00:07:32.146]  One has to see it for themselves.
[00:07:32.146 --> 00:07:35.367]  You take the red pill, you stay in Wonderland.
[00:07:35.367 --> 00:07:38.027]  I'll show you how deep the hole goes.
[00:07:38.027 --> 00:07:45.030]  You take the blue pill, you go back to Fantasyland.
[00:07:45.030 --> 00:07:46.150]  All I'm offering is the truth.
[00:07:52.130 --> 00:07:54.492]  And we see everything interconnected.
[00:07:54.492 --> 00:07:55.873]  Look at these headlines.
[00:07:55.873 --> 00:07:57.495]  Breitbart.
[00:07:57.495 --> 00:07:59.356]  And there's video of it.
[00:07:59.356 --> 00:08:06.383]  Paul Ryan's Pelosi-esque Obama trade moment.
[00:08:06.383 --> 00:08:07.924]  And here's the quote.
[00:08:07.924 --> 00:08:10.226]  Talk about Orwellian.
[00:08:10.226 --> 00:08:14.370]  It's declassified and made public once it's agreed to.
[00:08:16.994 --> 00:08:23.035]  And then he goes on, they have the quotes where he was saying it's not secret, but now he's saying it's secret.
[00:08:23.035 --> 00:08:36.058]  That's like Senator Rubio getting up on the Senate floor and saying that there's no spying period in America without warrants.
[00:08:36.058 --> 00:08:39.839]  I mean, that is an admitted lie, clapper-esque level fraud.
[00:08:40.930 --> 00:08:43.733]  When the head of the NSA got up and said, we don't spy on anybody.
[00:08:43.733 --> 00:08:44.414]  What is that?
[00:08:44.414 --> 00:08:45.535]  I've never heard of it.
[00:08:45.535 --> 00:08:47.937]  And then his lawyer came out and goes, he forgot.
[00:08:47.937 --> 00:08:57.127]  Yeah, he just heads the NSA building giant city size, small town size complexes.
[00:08:57.127 --> 00:09:00.430]  Each building hundreds of thousands of square feet, some cases 15 buildings.
[00:09:02.176 --> 00:09:05.923]  Spying on everything on record, all the whistleblowers, all the documents.
[00:09:05.923 --> 00:09:06.845]  And he goes, what?
[00:09:06.845 --> 00:09:07.607]  Spying?
[00:09:07.607 --> 00:09:10.532]  What a... I know nothing!
[00:09:10.532 --> 00:09:11.634]  Nothing!
[00:09:11.634 --> 00:09:12.716]  It's ridiculous!
[00:09:15.199 --> 00:09:22.160]  But WikiLeaks has doled out another little goblet of part of a subsection.
[00:09:22.160 --> 00:09:24.461]  They have all 28 subsections.
[00:09:24.461 --> 00:09:25.701]  They said it was 33.
[00:09:25.701 --> 00:09:26.781]  Now it's 28.
[00:09:26.781 --> 00:09:29.462]  Now they released two full sections and part of another.
[00:09:29.462 --> 00:09:36.263]  And surprise, surprise, it makes Obamacare worse.
[00:09:36.263 --> 00:09:40.624]  And it restricts all sorts of transactions.
[00:09:40.624 --> 00:09:41.844]  It's just horrible.
[00:09:41.844 --> 00:09:42.564]  Wow.
[00:09:42.564 --> 00:09:44.805]  And it's got climate taxes in it.
[00:09:46.792 --> 00:09:47.792]  Of course it does.
[00:09:47.792 --> 00:09:53.455]  I mean, we know what's in the EU, we know what's in the NAU, we know the agenda, it's always the same.
[00:09:53.455 --> 00:09:59.897]  And they won't let us see it, like three times under Bush, the so-called immigration reform, but Senator Sessions would leak it each time.
[00:09:59.897 --> 00:10:06.380]  And then when we finally got Obama's new proposal, it was the exact same piece of legislation that they said was secret.
[00:10:06.380 --> 00:10:11.662]  Because they don't want you to see it because it's wildly unpopular, wildly unconstitutional.
[00:10:13.732 --> 00:10:33.279]  The only thing more wild is the 8% approval rating government in Gallup polls that continues to do this while amassing paramilitary force to try to illegitimately dominate a population that they have basically usurped.
[00:10:33.279 --> 00:10:34.180]  Here's another story.
[00:10:34.180 --> 00:10:37.641]  Revealed the secret immigration chapter in Obama's trade agreement.
[00:10:40.029 --> 00:11:04.743]  Discovered inside a huge tranche of secretive Obama trade documents released by WikiLeaks and key details on how technically a Republican voting for trade promotion authority, TPA, that would fast-track trade deals like the Trans-Pacific Partnership trade deal, would technically also be voting to massively expand President Obama's executive authority when it comes to immigration matters.
[00:11:04.743 --> 00:11:06.224]  And it goes through the document.
[00:11:06.224 --> 00:11:08.465]  Of course, globalism gets rid of borders.
[00:11:10.023 --> 00:11:25.154]  Everything we've seen out of TPP is a regurgitation of what we saw in 2007 when Judicial Watch, the founder of which is joining us today, Larry Klayman, sued and got 3,000 plus pages of the meeting.
[00:11:25.154 --> 00:11:31.979]  And let me tell you, I read, I scanned over most of it.
[00:11:31.979 --> 00:11:33.680]  I read hundreds of pages of the stinking thing.
[00:11:33.680 --> 00:11:35.642]  That's why I quote it constantly, because I actually read it.
[00:11:37.304 --> 00:11:41.025]  Usually I just go to key subsections that other people have already read and go right to the points.
[00:11:41.025 --> 00:11:43.706]  I mean, there's just tens of thousands of pages of this stuff a week to read.
[00:11:43.706 --> 00:11:44.767]  I can't read it all.
[00:11:44.767 --> 00:11:48.468]  But I spent time, as I was making the endgame, reading that.
[00:11:48.468 --> 00:11:52.009]  And talk about a skeleton key to open every door on this.
[00:11:52.009 --> 00:11:54.350]  It's how they run the whole show.
[00:11:54.350 --> 00:11:58.391]  The corporations come in, the Fortune 100, they vote in a Congress.
[00:11:58.391 --> 00:12:06.694]  Then the secretaries of states of the countries that are there actually just basically certify the whole thing.
[00:12:08.578 --> 00:12:27.584]  Take the orders, admit they're taking orders, and then vote, and then that vote, certifying what they just said, is seen as basically treaty law, outside of law, and then it's implemented by bureaucracies and agencies, even if it doesn't pass Congress.
[00:12:27.584 --> 00:12:36.227]  And that's their excuse whenever they ignore Congress, they go, we've already done deals with NATO, we've already done deals with the UN, we've already done this, we're going ahead with it, even if you don't ratify it.
[00:12:37.222 --> 00:12:49.144]  And Congress just wants to be able to not get the political heat, so they won't vote for carbon taxes, or shutting down power plants, or opening borders, or putting our military under NATO, or arming Al Qaeda.
[00:12:49.144 --> 00:12:52.765]  But they'll just kind of turn their head and watch it happen.
[00:12:52.765 --> 00:12:59.507]  But now they're transferring to the President incredible centralized control.
[00:12:59.507 --> 00:13:00.047]  Here it is.
[00:13:00.047 --> 00:13:05.888]  WikiLeaks releases more of Obama trade draft, altering health care,
[00:13:07.136 --> 00:13:08.677]  Halting Medicare reform.
[00:13:08.677 --> 00:13:12.258]  Congress wouldn't be able to reform Medicare.
[00:13:12.258 --> 00:13:14.139]  It ends our country's sovereignty.
[00:13:14.139 --> 00:13:17.941]  It's one of the final world government documents.
[00:13:17.941 --> 00:13:25.264]  And Paul Ryan says you can't see it.
[00:13:25.264 --> 00:13:31.067]  Now we got Rupert Murdoch preparing to step down as CEO from 21st Century Fox.
[00:13:31.067 --> 00:13:32.587]  Putting his son in, that's a big move.
[00:13:32.587 --> 00:13:34.428]  We've got huge Bilderberg news.
[00:13:34.428 --> 00:13:35.609]  Our reporter's joining us.
[00:13:37.662 --> 00:13:42.824]  A bunch of special reports that are very important.
[00:13:42.824 --> 00:13:44.744]  New stingray systems that are even worse.
[00:13:44.744 --> 00:13:46.645]  And that's why I want to air this now.
[00:13:46.645 --> 00:13:52.147]  The minute I saw this report get filed last night, they were told by a, quote, informed local.
[00:13:52.147 --> 00:13:54.187]  They don't want to say by who.
[00:13:54.187 --> 00:13:57.808]  It was from someone who'd been inside the hotel, high level.
[00:13:57.808 --> 00:13:59.409]  We're just going to leave it at that.
[00:13:59.409 --> 00:14:03.390]  There are always people that do care about freedom and whose conscience pushes them.
[00:14:03.390 --> 00:14:04.390]  I'm going to skip this network break.
[00:14:04.390 --> 00:14:05.591]  This is so important.
[00:14:05.591 --> 00:14:06.191]  Only break I'm skipping.
[00:14:08.442 --> 00:14:10.264]  So stations shouldn't leave us here in three minutes.
[00:14:10.264 --> 00:14:15.711]  This is a network break coming up.
[00:14:15.711 --> 00:14:20.337]  The minute I saw the truck, because I talked to Paul about it when I got the video yesterday,
[00:14:22.332 --> 00:14:24.113]  And it was near dark that they got up there.
[00:14:24.113 --> 00:14:30.215]  And we're the only journalist so far to find a back road to get up and get actual video of the hotel.
[00:14:30.215 --> 00:14:31.555]  Notice all we have is photos.
[00:14:31.555 --> 00:14:32.895]  No one else has gotten video.
[00:14:32.895 --> 00:14:35.056]  Talk about something out of a science fiction movie.
[00:14:35.056 --> 00:14:37.197]  It looks like something from Giddy Prime.
[00:14:37.197 --> 00:14:45.219]  There's this big step pyramid, uh, Aztec style building.
[00:14:45.219 --> 00:14:49.381]  I expect they'll shoot Dust Till Dawn 2 there.
[00:14:49.381 --> 00:14:49.521]  And
[00:14:52.386 --> 00:14:59.831]  The locals are really upset, and they go, no, we've been told directly by the federal police that this is the jammed communications.
[00:14:59.831 --> 00:15:01.973]  Well, I looked at the truck.
[00:15:01.973 --> 00:15:07.616]  We're going to show it here in a moment and play the video of your radio listener, Infowars.com forward slash show.
[00:15:07.616 --> 00:15:11.499]  We have the free video feed or DrugsReport.com or Infowars.com.
[00:15:11.499 --> 00:15:14.581]  Both have the article from Infowars posted.
[00:15:14.581 --> 00:15:17.843]  You can go see the video in HD right there.
[00:15:17.843 --> 00:15:19.525]  But the minute I saw it, I said, guys,
[00:15:20.731 --> 00:15:23.452]  That doubles as basically a giant stingray.
[00:15:23.452 --> 00:15:24.513]  All the different arrays.
[00:15:24.513 --> 00:15:27.594]  Only one of the arrays is a jammer.
[00:15:27.594 --> 00:15:38.438]  Because I've talked to engineers in the past, I've been shown by folks, secret surveillance trucks that Dallas and Houston and Austin have, that are basically like the size of a beer truck.
[00:15:38.438 --> 00:15:42.240]  And then the sides open up into a whole communications command center.
[00:15:42.240 --> 00:15:44.380]  These awnings come out.
[00:15:44.380 --> 00:15:49.663]  Well, the German system's got four masks on it, or the Austrian system, same group.
[00:15:52.478 --> 00:15:58.605]  And what it does is it basically makes everybody's cell phone data go through it first.
[00:15:58.605 --> 00:16:04.892]  And they've got two more of the trucks out there that have extended even bigger towers, but they're out past the tree lines.
[00:16:04.892 --> 00:16:10.037]  You can only see the towers, but I'll assure you those are mounted on trailers or trucks.
[00:16:10.037 --> 00:16:11.899]  Three of them we can see.
[00:16:11.899 --> 00:16:14.202]  One truck, but two masked that have been extended.
[00:16:15.629 --> 00:16:29.339]  And so it's their own internal communication system because the federal government of Austria is putting this on, but it also grabs all the surrounding towns cell phone data and runs it through and spies on it for keyword right there at the site.
[00:16:29.339 --> 00:16:34.783]  So it's a giant stingray system to illegally harvest folks data.
[00:16:34.783 --> 00:16:37.906]  That's what those trucks do when they have a warrant.
[00:16:39.141 --> 00:16:48.843]  They go out and then follow the mafia around or whatever, or Russian smugglers or whatever, that's what Austrians deal with a lot, and then can track everything that's happening.
[00:16:48.843 --> 00:16:56.805]  No matter how many phones, you know, the criminal group is using, they've got a warrant to target that whole spectrum and to hone in on who it is.
[00:16:56.805 --> 00:17:00.386]  That's, though, how they've expanded this out so wide now that it includes everybody.
[00:17:01.601 --> 00:17:12.768]  So this is a big international story that NSA-style systems are being deployed to defend against the press and coverage of the secretive group.
[00:17:12.768 --> 00:17:20.653]  Just like TPP's secret, this is secret because it's the very same group and they can't operate if their agenda continues to be in secret.
[00:17:21.033 --> 00:17:26.734]  I know I'm stating the obvious to our old listeners, but for new listeners, that's why Bilderberg is so important.
[00:17:26.734 --> 00:17:35.797]  First they said it didn't exist for decades, then they said it doesn't have any power, now they admit it has power, and they're trying to keep the public back miles away.
[00:17:35.797 --> 00:17:40.638]  But our reporters, who we're going to be talking to in about 10 minutes, 12 minutes to be precise,
[00:17:41.807 --> 00:18:01.383]  We're able to get up to an area on the perimeter where they've put up a fence where they say you get two weeks in jail, 500 pound, 500 euro, excuse me, teleprompter free folks, so I go off memory, euro fine.
[00:18:01.383 --> 00:18:04.045]  So great job to the crew getting this.
[00:18:04.045 --> 00:18:04.866]  So beautiful.
[00:18:04.866 --> 00:18:09.770]  I wish I was there looking at the HD video of the mist blowing over the pines.
[00:18:11.314 --> 00:18:17.819]  And the fir trees and this bizarre pyramid building looks like an alien spacecraft that's landed or something.
[00:18:17.819 --> 00:18:20.321]  And it just looks like a science fiction movie.
[00:18:20.321 --> 00:18:24.745]  And they're up there and it's just so gorgeous with the Alps in the background.
[00:18:24.745 --> 00:18:30.789]  And then there's surveillance, imperial probe droid, snorkels stuck up everywhere, jamming.
[00:18:30.789 --> 00:18:34.713]  Because we talked to the locals, their cell phones, when you get right up to the perimeter, don't work.
[00:18:35.563 --> 00:18:38.804]  We can't live stream from there, that's jammed.
[00:18:38.804 --> 00:18:46.247]  And when you start stepping, because they've got it tuned, to where as you start getting near the perimeter, cell phones stop working.
[00:18:46.247 --> 00:18:52.009]  And people that go to the hotel, I'll just leave it at that, without giving away sources.
[00:18:52.009 --> 00:18:56.070]  Bilderberg's probably really mad right now.
[00:18:56.070 --> 00:18:57.451]  Hey, not everybody's cowards, okay?
[00:18:57.451 --> 00:18:58.971]  Not everybody's going to roll over to your takeover.
[00:19:02.388 --> 00:19:03.629]  We know they are jamming.
[00:19:03.629 --> 00:19:04.589]  So the report's accurate.
[00:19:04.589 --> 00:19:07.330]  They are jamming.
[00:19:07.330 --> 00:19:11.051]  But the bigger issue is they're scooping all the data up.
[00:19:11.051 --> 00:19:19.874]  So let's go ahead and go to this report with our crew, Josh Owens, Rob Due, and Paul Joseph Watson in Austria, Bilderberg 2015.
[00:19:22.236 --> 00:19:24.098]  Rob Dew here reporting for InfoWars.com.
[00:19:24.098 --> 00:19:25.960]  We have some breaking news.
[00:19:25.960 --> 00:19:28.703]  First off, just over this way, we're going to show you some shots of this.
[00:19:28.703 --> 00:19:31.306]  We have a sighting of the Hotel Interalpen.
[00:19:31.306 --> 00:19:36.892]  We were able to see the site and it's along the road going to the golf course.
[00:19:36.892 --> 00:19:38.574]  But that's not the big breaking news.
[00:19:38.574 --> 00:19:40.857]  The big breaking news is actually standing behind me.
[00:19:40.857 --> 00:19:42.258]  What it looks like we have here is a
[00:19:43.079 --> 00:19:48.161]  A communications type van, but not to enable communications, to disable communications.
[00:19:48.161 --> 00:19:52.163]  And here with more on that is Paul Joseph Watson, who just landed from Innsbruck today.
[00:19:52.163 --> 00:19:53.423]  Paul, how are your communications?
[00:19:53.423 --> 00:19:59.606]  Yeah, we were just talking to an informed local who told us a few other interesting things, but he directly said that this vehicle
[00:20:00.266 --> 00:20:07.688]  ...is basically designed to cut off communications for anybody in the nearby area trying to cover Bilderberg as media.
[00:20:07.688 --> 00:20:16.729]  So this could be a transmitter, we're not sure, but we were told directly that this van is being used to cut cell phone signals so people can't broadcast and cover this event.
[00:20:16.729 --> 00:20:21.410]  So it's not enough that they have checkpoints six miles around the perimeter.
[00:20:21.410 --> 00:20:28.772]  Now we can't even cover the event via, you know, standard cell phone coverage because they're directly interfering in people's communications.
[00:20:28.772 --> 00:20:29.512]  It's ridiculous.
[00:20:29.972 --> 00:20:40.999]  And I'll tell you this, Paul, the Wi-Fi, we're supposed to have Wi-Fi at the place I'm staying at up on the mountain, and I haven't been able to get anything out of there, only cell phone signals are the only thing that comes out, so I'm wondering if this has to do with that.
[00:20:40.999 --> 00:20:46.002]  There's also an antenna right over there, we'll shoot another long-range shot of that so we can show you what that looks like.
[00:20:46.002 --> 00:20:52.726]  It looks like it was pretty recent put up, but that could also be part of this triangulation grid that they're setting up to cut off communications.
[00:20:53.166 --> 00:20:58.870]  Yeah, there was speculation during the Bundy Ranch siege that this was happening, that they were cutting off communications.
[00:20:58.870 --> 00:21:00.251]  That was never confirmed.
[00:21:00.251 --> 00:21:05.574]  We were told directly by a very informed local who said that this is exactly what's happening.
[00:21:05.574 --> 00:21:16.401]  So if they have to go to this level to shut down independent media and mainstream press coverage of this event, again, it illustrates how paranoid they are about any information leaking out of Bilderberg 2015.
[00:21:17.802 --> 00:21:26.850]  And you know I wouldn't be surprised if after we put out this report that suddenly this area becomes off-limits because right now we are free to travel in this area.
[00:21:26.850 --> 00:21:29.352]  You can actually see the barrier over here.
[00:21:29.352 --> 00:21:41.762]  You're not allowed to go over that way and there's a barrier on the other side of the road over there and those are basically if you step over that line or if you are caught on the other side of that line it is a 500 euro fine or two weeks in jail whichever you prefer.
[00:21:42.921 --> 00:21:46.103]  Yeah, and it's obviously quite near the golf course, which is still open.
[00:21:46.103 --> 00:21:47.504]  That's outside the perimeter.
[00:21:47.504 --> 00:21:51.026]  But people could just wander into that security zone on a whim.
[00:21:51.026 --> 00:21:56.450]  You could get families out hiking on the weekend, not aware of what's going on with Bilderberg, and they could just wander in and be subject to a €500 fine.
[00:21:56.450 --> 00:21:57.430]  Again, it's insane.
[00:21:58.951 --> 00:22:02.033]  Or if you knock your golf ball over into the finery and that's your last one.
[00:22:02.033 --> 00:22:04.994]  Hey, I could get my golf ball and boom, 500 euro fine.
[00:22:04.994 --> 00:22:06.255]  Anything could happen.
[00:22:06.255 --> 00:22:06.775]  And guess what?
[00:22:06.775 --> 00:22:08.396]  Bilderberg is starting tomorrow.
[00:22:08.396 --> 00:22:10.697]  The elites will start landing at Innsbruck.
[00:22:10.697 --> 00:22:13.618]  They'll be taken here either by car.
[00:22:13.618 --> 00:22:15.139]  Some might come by helicopter.
[00:22:15.139 --> 00:22:16.660]  Who knows how they're going to be getting here.
[00:22:16.660 --> 00:22:18.881]  Henry Kissinger, I think, is coming by teleportation device.
[00:22:20.336 --> 00:22:22.358]  Well, I wouldn't put anything past him.
[00:22:22.358 --> 00:22:28.304]  But I mean, this is a big story that, you know, we've been told that this van is there to cut out communications.
[00:22:28.304 --> 00:22:29.905]  There's nobody in it at the moment.
[00:22:29.905 --> 00:22:32.087]  I'm sure there has been at some point.
[00:22:32.087 --> 00:22:33.789]  So this is a major breaking story.
[00:22:33.789 --> 00:22:39.375]  Bilderberg directly interfering in communications to prevent coverage of their conference.
[00:22:39.375 --> 00:22:42.037]  Yeah, they're stifling all forms of communication.
[00:22:42.037 --> 00:22:44.459]  But what would you expect in the home of Adolf Hitler?
[00:22:45.340 --> 00:22:46.300]  I don't know.
[00:22:46.300 --> 00:22:49.221]  This is Rob Deere reporting for InfoWars.com with Paul Joseph Watson.
[00:22:49.221 --> 00:22:55.322]  Here's a shot, once again, if anybody out there knows what this is, please tell us in the comments of this video if we're wrong.
[00:22:55.322 --> 00:23:02.704]  We've been told that this is a device, a communications device, to cut off communication to the outside world, exactly what the elites want.
[00:23:02.704 --> 00:23:04.424]  They want to stay in shadows.
[00:23:04.424 --> 00:23:07.945]  They don't want to step out in the light and just say, hey, we're here to control you.
[00:23:07.945 --> 00:23:08.345]  We're here to
[00:23:09.145 --> 00:23:10.026]  Control all your money.
[00:23:10.026 --> 00:23:13.088]  We want to get rid of cash so we can control everything about your life.
[00:23:13.088 --> 00:23:14.909]  They want to keep that hidden from you out there.
[00:23:14.909 --> 00:23:17.090]  And that's why we need to see people out there speaking up.
[00:23:17.090 --> 00:23:22.054]  We thank everybody for calling the police and letting them know that they cannot stifle journalists here.
[00:23:22.054 --> 00:23:24.135]  That really helped us out, so we really do appreciate it.
[00:23:24.135 --> 00:23:27.417]  Once again, this is Rob Dyrdek reporting for Infowars.com and Paul Joseph Watson.
[00:23:27.417 --> 00:23:30.659]  Thank you.
[00:23:30.659 --> 00:23:35.883]  And we'll be talking to all those guys coming up here in about six, seven minutes after we got a break.
