[00:00.000 --> 00:00.580]  Action.
[12:59.980 --> 13:06.980]  Even though we all raise our hands to uphold the Constitution.
[13:06.980 --> 13:14.980]  I just hope no Congress, no regardless who's in the majority, will ever take us down this path again.
[13:14.980 --> 13:24.980]  We have such great potential in this nation, but to have wasted a majority on this is an embarrassment to this Congress.
[13:24.980 --> 13:27.980]  Questions? Yes ma'am.
[13:27.980 --> 13:36.980]  Does it make it harder to defend the president when his personal attorney is still traveling to Ukraine investigating his campaign rivals
[13:36.980 --> 13:41.980]  and claims he wants to give some sort of presentation about it to Congress?
[13:41.980 --> 13:46.980]  It does not, it is not hard to defend this president surely on the facts of what's out there.
[13:46.980 --> 13:53.980]  I think it's hard for the Democrats to move forward when they start with a quick pro quo to bribery, to every other element they go.
[13:53.980 --> 14:00.980]  It's hard for the Democrats to continue this when the people they bring forth in their hearings are pretty much donors.
[14:00.980 --> 14:07.980]  Their expert witnesses when it comes to their scholars were donors to presidential campaigns.
[14:07.980 --> 14:08.980]  That's right.
[14:08.980 --> 14:12.980]  The idea that they're going to change the course of history that staff is going to interview.
[14:12.980 --> 14:19.980]  Alright folks, we are back live broadcasting worldwide on this Tuesday, December 10, 2019 worldwide transmission.
[14:19.980 --> 14:23.980]  I intend to open the phones up at the bottom of the hour. That's in about 15 minutes.
[14:23.980 --> 14:32.980]  I'm going to give a number out now on the whitewash IG report that we predicted with total precision.
[14:32.980 --> 14:40.980]  We're going to walk through that. We're taking calls on that subject, the impeachment, the votes they've got to pass it by next week,
[14:40.980 --> 14:44.980]  and then into the trial in the Senate just for Christmas.
[14:44.980 --> 14:56.980]  And what type of tricks you think they're going to play during that period? I'm going to lay out what they're going to do next week, next month's news today for my research.
[14:56.980 --> 15:03.980]  And also, I'll ensure the answer, the people rising up peacefully and civil disobedience and shutting down these corrupt globalists.
[15:03.980 --> 15:05.980]  You better do it or we're going to lose everything we've got.
[15:05.980 --> 15:12.980]  It's all coming up. 877-789-2539, 877-789 Alex.
[15:12.980 --> 15:16.980]  I want to give first-time callers, again, a chance in the first hour to get on board.
[15:16.980 --> 15:24.980]  It'll be open phones for everybody after that, 877-789-2539, 877-789-2539.
[15:24.980 --> 15:28.980]  And we'll be going right to your phone calls at the bottom of the hour.
[15:28.980 --> 15:36.980]  When we come back, we're going to look at the two articles, Abuse of Power and Obstruction of Congress.
[15:36.980 --> 15:41.980]  They said when he tweeted and called witnesses liars, which was true, that's illegal.
[15:41.980 --> 15:45.980]  Having his lawyer go around and find corruption is the Democrats. That's not allowed.
[15:45.980 --> 15:49.980]  Going after corruption is a crime and upside down world.
[15:49.980 --> 16:18.980]  I'm Alex Jones, Band.Video. They hate it when you share that link. Live feeds at Band.Video.
[16:20.980 --> 16:23.980]  Right on the East Bank of the Mississippi.
[16:23.980 --> 16:29.980]  Because of the flooding, we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse,
[16:29.980 --> 16:35.980]  we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[16:35.980 --> 16:40.980]  So here's what you should do right now. Check out the PPX Microgrid System at myownpowergrid.com.
[16:40.980 --> 16:47.980]  That's myownpowergrid.com. Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[16:47.980 --> 16:51.980]  In the best part, you're not going to pay $750 or $500 or even $200.
[16:51.980 --> 17:20.980]  Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[17:20.980 --> 17:38.980]  That's myownpowergrid.com.
[17:38.980 --> 17:59.980]  Order your two-month supply today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com.
[17:59.980 --> 18:06.980]  The last few days I've been online looking for the speech, actually read it in a book about Winston Churchill many years ago,
[18:06.980 --> 18:11.980]  and I've found a few places where it's mentioned, but if you can find it, please send it to showtipstemfullwars.com.
[18:11.980 --> 18:16.980]  And he talked about in the darkest hours at the beginning of World War II the fact that there have been times in history
[18:16.980 --> 18:20.980]  where people had a chance to stand up and fight early on and were assured of victory.
[18:20.980 --> 18:26.980]  Then there was a second point in history where folks have to fight even though the chances of winning are pretty steep.
[18:26.980 --> 18:34.980]  There's a third time when you know you're going to lose, but you have to fight because being enslaved and being slowly killed is much, much worse.
[18:34.980 --> 18:41.980]  That's a paraphrase. But ladies and gentlemen, we are in the position now of being able to win this easily if we find our spirit,
[18:41.980 --> 18:49.980]  find our focus, and don't give up and take action. But if we don't stand up and get involved, we're going to skip number two and go right to number three.
[18:49.980 --> 18:58.980]  That's a fact. They fear infowars because we are alive. It's time for the world to awaken and take back our future.
[18:58.980 --> 19:00.980]  Andy in Florida. Thank you, Andy. Go ahead.
[19:00.980 --> 19:07.980]  Hey, Alex, I love you, man. We love you. Before I go ahead and talk about the topic on hand, I got to talk about one of your products.
[19:07.980 --> 19:13.980]  A little bit about me. I'm 245 pounds. I work about 10 to 13 hours a day at UPS and make a long story short.
[19:13.980 --> 19:20.980]  I used to have a problem with Adderall. I do have ADHD, but I was taking Adderall for its energy boosting properties.
[19:20.980 --> 19:24.980]  I kind of got a little out of hand and I listen to you religiously in my truck every day.
[19:24.980 --> 19:30.980]  So I tried your TurboForce and really it's a cliche, this product changed my life, but TurboForce really changed my life.
[19:30.980 --> 19:37.980]  It was a day I'd no longer take Adderall and I get by literally 13 hours a day I work on a half of a packet of your TurboForce.
[19:37.980 --> 19:44.980]  And if you take a half a packet, that's literally a dollar a day and you save so much money versus, you know, a monster, which is what, 499.
[19:44.980 --> 19:50.980]  And, you know, I just had to call and tell you guys how great TurboForce is. And if anybody's on the fence, they really have to try it.
[19:50.980 --> 19:54.980]  We're really proud of TurboForce. So thank you, sir. Commit to buy a lot of your products at M4store.com.
[19:54.980 --> 20:21.980]  Then help us spread the word and let's just get busy at m4store.com.
[20:25.980 --> 20:37.980]  Resistance to tyrants is obedience to God. It's Alex Jones.
[20:37.980 --> 20:41.980]  Remember what Congress from McCarthy said, we're going to play the next segment.
[20:41.980 --> 20:50.980]  What law professor, liberal Obama voter Jonathan Turley said, the abuse of power, the illegal activity is by Congress.
[20:50.980 --> 20:58.980]  And he said, if you specifically take up the article that you're saying you are, he's a really smart guy.
[20:58.980 --> 21:09.980]  You could tell by their questioning of obstruction of Congress for Trump criticizing witnesses and Trump going to courts and trying to block your action.
[21:09.980 --> 21:15.980]  Congress and the executive, the legislative and the executive battle each other through the courts.
[21:15.980 --> 21:19.980]  They can also battle each other through legislation, executive orders.
[21:19.980 --> 21:22.980]  But that's what the president does.
[21:22.980 --> 21:28.980]  Other presidents have arrested members of Congress and, you know, spied on them.
[21:28.980 --> 21:33.980]  Imagine if Trump did that.
[21:33.980 --> 21:46.980]  Imagine if Trump got caught illegally spying on Congress, but that's what the Democrats did to Trump.
[21:46.980 --> 21:49.980]  And now that's what shifts done.
[21:49.980 --> 21:51.980]  They've been surveilling all these people.
[21:51.980 --> 21:56.980]  They just go get warrants later and parallel construct what they're doing.
[21:56.980 --> 22:01.980]  In live time, shifts spying on hundreds of members of the press, Congress, everybody.
[22:01.980 --> 22:03.980]  It's an incredible scandal.
[22:03.980 --> 22:10.980]  Now, remember, they opened up these espionage investigations of Trump and they opened criminal investigations up during the campaign.
[22:10.980 --> 22:20.980]  That's all admitted two years ago, the inspector general of the courts put out a report saying we were given false information for these warrants in hindsight.
[22:20.980 --> 22:23.980]  That got zero coverage except here on air, zero.
[22:23.980 --> 22:29.980]  William Benny got contacted by the White House and said, hey, you and others directed us at this.
[22:29.980 --> 22:31.980]  They can get the press to cover it.
[22:31.980 --> 22:38.980]  And Benny called up a bunch of people, including me and said, hey, certain people want this to get out there.
[22:38.980 --> 22:40.980]  And zero coverage.
[22:40.980 --> 22:42.980]  That's how control the corporate presses.
[22:42.980 --> 22:48.980]  They are in lockstep like North Korea when it comes to hoaxes and lies.
[22:48.980 --> 22:50.980]  And that's the biggest whopper out of all this.
[22:50.980 --> 22:54.980]  The IG report coming out beyond Nothing Burger.
[22:54.980 --> 22:57.980]  His Comey comes out and says, this exonerates me.
[22:57.980 --> 23:00.980]  No spying on the president happened.
[23:00.980 --> 23:01.980]  No spying on his campaign.
[23:01.980 --> 23:04.980]  He goes, no wiretaps.
[23:04.980 --> 23:07.980]  That's because they haven't called him that in court filings in 30 years.
[23:07.980 --> 23:09.980]  They don't put a wire on the phone line.
[23:09.980 --> 23:10.980]  It's data collection.
[23:10.980 --> 23:12.980]  They scoop it up digitally.
[23:12.980 --> 23:15.980]  But I've got his tweets and his quotes in the news.
[23:15.980 --> 23:17.980]  Boy, Trump was delusional.
[23:17.980 --> 23:20.980]  Nobody ever spied on him.
[23:20.980 --> 23:30.980]  That's like saying Clydesdales aren't horses or Budweiser in the beer or Tom Brady doesn't play with the Patriots.
[23:30.980 --> 23:40.980]  I mean, it's just a lie of a magnitude in your face that is beyond gaslighting.
[23:40.980 --> 23:42.980]  It's like saying, I'm not wearing a light blue shirt.
[23:42.980 --> 23:43.980]  It's a red shirt.
[23:43.980 --> 23:45.980]  You're like, that's a light blue shirt.
[23:45.980 --> 23:47.980]  You're like, I'm not wearing a shirt, actually.
[23:47.980 --> 23:51.980]  You're crazy.
[23:51.980 --> 23:56.980]  Vanity Fair and more than 20 publications, I stayed up late last night reading all this,
[23:56.980 --> 24:07.980]  said that Owen Schreuer said that Trump said that Obama should be hung at the impeachment hearing.
[24:07.980 --> 24:11.980]  He never said any such thing.
[24:11.980 --> 24:16.980]  They then said he wore a tailored suit because he likes Nazis.
[24:16.980 --> 24:18.980]  I'm not kidding.
[24:18.980 --> 24:24.980]  In news publications with no link, this is next level.
[24:24.980 --> 24:30.980]  There it is, the impeachment protester was a wolf in a wool blend suit.
[24:30.980 --> 24:33.980]  But it wasn't just that.
[24:33.980 --> 24:41.980]  There were these headlines with man shouts hang President Obama in racist rant at impeachment hearing.
[24:41.980 --> 24:43.980]  He said no such thing.
[24:43.980 --> 24:46.980]  He didn't say anything about Obama.
[24:46.980 --> 24:48.980]  They don't care.
[24:48.980 --> 24:54.980]  And when you've got the media and everybody so willing to be criminal,
[24:54.980 --> 24:58.980]  it means that we have crossed the Rubicon and it means they're only going to get worse.
[24:58.980 --> 25:00.980]  And the question is, how much are we going to put up with?
[25:00.980 --> 25:05.980]  Because it's just going to get more crazy.
[25:05.980 --> 25:11.980]  And there it is, M4's host called for Obama to be lynched, interrupts impeachment hearings.
[25:11.980 --> 25:13.980]  What the hell?
[25:13.980 --> 25:15.980]  That's salon.
[25:15.980 --> 25:18.980]  And you read it and they write it like he actually said it.
[25:18.980 --> 25:23.980]  Years ago out of context, he said, people say you get hung for treason.
[25:23.980 --> 25:25.980]  I'm not saying you hang Obama.
[25:25.980 --> 25:28.980]  That turns into, oh, he's a black guy, hang a black guy.
[25:28.980 --> 25:32.980]  Oh, you mean like the KKK.
[25:32.980 --> 25:34.980]  Again, it's just incredible.
[25:34.980 --> 25:40.980]  So lies based on lies, based on lies, and it just gets crazier and crazier.
[25:40.980 --> 25:45.980]  But the big one here is shift threatens press freedom, that's the Wall Street Journal,
[25:45.980 --> 25:50.980]  controversy of the spying on members of the press and Republicans that are on the committee.
[25:50.980 --> 25:52.980]  That's a conflict of interest.
[25:52.980 --> 25:55.980]  You can't do that.
[25:55.980 --> 25:58.980]  But shift won't even be called as a witness.
[25:58.980 --> 26:01.980]  He says, oh, and not in the House or the Senate, just I'm above the law.
[26:01.980 --> 26:06.980]  I'm God, you can't call me, but I'm spying on everyone illegally.
[26:06.980 --> 26:12.980]  Now a stack, Democrats unveil Trump impeachment charges.
[26:12.980 --> 26:18.980]  And then I've got all the stacks right here of Jonathan Turley was threatened and his dog was threatened.
[26:18.980 --> 26:23.980]  They threatened to kill his dog.
[26:23.980 --> 26:28.980]  And then now we've got proud of himself.
[26:28.980 --> 26:31.980]  Former FBI director.
[26:31.980 --> 26:37.980]  The lying giant, the leaker saying no one ever spot on the Trump campaign or Trump.
[26:37.980 --> 26:39.980]  The ID report doesn't even say that.
[26:39.980 --> 26:42.980]  It just says it was legitimate spying.
[26:42.980 --> 26:46.980]  Which of course it wasn't.
[26:46.980 --> 26:51.980]  He really got to pull back and ask yourself, what planet are these people from?
[26:51.980 --> 26:57.980]  Well, IG Horowitz sham report says FBI was biased in favor of Trump.
[26:57.980 --> 27:01.980]  This guy's definitely got some hood spa rights.
[27:01.980 --> 27:04.980]  Chris Minahan and information liberation.
[27:04.980 --> 27:09.980]  We're going to take your calls at 877-789 Alex 877-789-2539.
[27:09.980 --> 27:17.980]  We come back on the IG report on the ongoing impeachment on the tricks they're going to pull on what we're going to do to take action against it.
[27:17.980 --> 27:19.980]  What you're going to do, it's all coming up.
[27:19.980 --> 27:23.980]  Please don't forget that your purchases this Christmas season.
[27:23.980 --> 27:27.980]  M4warstore.com, get you great products, you don't have to fight the big lines, the traffic.
[27:27.980 --> 27:32.980]  You don't support these big box stores and big corporate outfits that almost to a company,
[27:32.980 --> 27:36.980]  literally have it out for you and your family, your children, your second amendment,
[27:36.980 --> 27:38.980]  and are totally globalist and occultic.
[27:38.980 --> 27:42.980]  Why in the hell would you spend money with the establishment when you go to M4warstore.com
[27:42.980 --> 27:48.980]  and keep this beacon of liberty and freedom and just game changing information warfare.
[27:48.980 --> 27:53.980]  It's scary being, you know, the most valuable operation in the fight against the new world order,
[27:53.980 --> 27:55.980]  but we got to stay in the game, folks.
[27:55.980 --> 27:59.980]  So we're offering the best deal ever on the real Red Pill Plus.
[27:59.980 --> 28:02.980]  It's got three different forms of natural, powerful energy in it,
[28:02.980 --> 28:08.980]  and regular Red Pill is what I take because I don't need the three forms of powerful energy that are in it.
[28:08.980 --> 28:13.980]  It has the preglonone that is the big game changer that they try to keep secret from you,
[28:13.980 --> 28:18.980]  and for a hundred years prescribing for people with things like arthritis and things.
[28:18.980 --> 28:20.980]  But it's over the counter.
[28:20.980 --> 28:22.980]  It's the base of all hormones in your body.
[28:22.980 --> 28:25.980]  As you get older, you have lower and lower levels of it.
[28:25.980 --> 28:30.980]  But whether you're playing football in high school or whether you're a 60-year-old, you know, janitor,
[28:30.980 --> 28:32.980]  or it doesn't matter, it's amazing.
[28:32.980 --> 28:35.980]  And with all the vitamins and minerals with it, it uploads even better.
[28:35.980 --> 28:41.980]  Real Red Pill Plus is 67% off at cost with a free bottle of bio tree selenium from the mustard seed
[28:41.980 --> 28:44.980]  that's critical for electrochemical activities in the body.
[28:44.980 --> 28:48.980]  These two products together are unbelievable at infowarstore.com.
[28:48.980 --> 28:50.980]  Did you hear what I just said?
[28:50.980 --> 28:54.980]  Pre-shipping, double-patriot points at cost with a free bottle of bio tree selenium.
[28:54.980 --> 29:23.980]  We're selling everything out.
[29:24.980 --> 29:50.980]  We're selling everything out.
[29:50.980 --> 30:01.980]  If it isn't broken, then you can't fix it.
[30:01.980 --> 30:07.980]  That's why the technocracy is openly breaking the human code, genetically mutating us,
[30:07.980 --> 30:11.980]  poisoning us, lowering our IQs, lowering our life expectancy,
[30:11.980 --> 30:18.980]  and then destroying the institutions and cultural systems developed by our ancient mammal species of the family.
[30:18.980 --> 30:20.980]  We're being taken off the land.
[30:20.980 --> 30:26.980]  We're being taken beyond domestication to the next level of slavery
[30:26.980 --> 30:31.980]  until we cannot even procreate anymore and are no longer human
[30:31.980 --> 30:35.980]  than the corporate masters who wish more than anything to play God,
[30:35.980 --> 30:39.980]  believe they can come rescue humanity with their new systems
[30:39.980 --> 30:44.980]  that we will willingly beg for them to implement against us.
[30:44.980 --> 30:49.980]  This is the forced seduction of the Luciferian world government model.
[30:49.980 --> 30:51.980]  This is the post-human error.
[30:51.980 --> 30:53.980]  This is the ultimate tyranny visited upon the planet.
[30:53.980 --> 30:55.980]  This is the crossroads.
[30:55.980 --> 30:57.980]  Resist or be destroyed for eternity.
[30:57.980 --> 31:02.980]  If you understand why the globalist, why the servants of Satan hate info wars,
[31:02.980 --> 31:09.980]  it's because we're awake, we're alive, we're passionate, and we're not giving up.
[31:09.980 --> 31:14.980]  That's why it's critical for those of us that are aware of the New World Order's plans
[31:14.980 --> 31:19.980]  to not get down when they attack us and they persecute us and they lie about us.
[31:19.980 --> 31:23.980]  That's what we should expect because we are hurting these scumbags.
[31:23.980 --> 31:26.980]  The globalists have literally sold their souls to the dark side
[31:26.980 --> 31:29.980]  and they do what they do because they're slaves
[31:29.980 --> 31:35.980]  because they are eternally driven to try to suppress and dominate and destroy the innocent.
[31:35.980 --> 31:39.980]  It is up to us who are awake, not the sheep and not the wolves,
[31:39.980 --> 31:45.980]  but the sheepdogs to stand firm and resist these wicked tyrants.
[31:45.980 --> 31:47.980]  They fear the fact that we are awake.
[31:47.980 --> 31:50.980]  They fear the fact that we are alive.
[31:50.980 --> 31:53.980]  They fear the fact that we love God.
