[00:00.000 --> 00:01.000]  Find out right now.
[02:56.000 --> 02:59.000]  are planning a massive attack on Britain.
[02:59.000 --> 03:01.000]  We'll talk about that on the program today.
[03:01.000 --> 03:04.000]  There's also some information, according to WorldNetDaily,
[03:04.000 --> 03:09.000]  smoking gun tape that could indict Shilary Clinton,
[03:09.000 --> 03:15.000]  possibly exposing her to a felony that would have a five-year prison sentence attached to it.
[03:15.000 --> 03:20.000]  More Virginia Tech news today, more news coming out about the DARPA connections of Virginia Tech.
[03:20.000 --> 03:22.000]  We'll talk about that today.
[03:22.000 --> 03:25.000]  Also, there is something big going on in France.
[03:25.000 --> 03:26.000]  We'll touch on that.
[03:26.000 --> 03:31.000]  The left versus right is being billed on Drudge Report and in mainstream media,
[03:31.000 --> 03:37.000]  but we have a dire warning for you related to this selection process going on in France right now.
[03:37.000 --> 03:43.000]  More information about Alberto Antigonzales, the Cold War as it pertains to Russia now
[03:43.000 --> 03:46.000]  with this missile shield in play over Europe.
[03:46.000 --> 03:47.000]  We have done the analysis.
[03:47.000 --> 03:49.000]  This is not a defensive weapon.
[03:49.000 --> 03:56.000]  This is really a mode or a method to clear the way for offensive weapons in space, creating a space war.
[03:56.000 --> 03:57.000]  That's not a conspiracy.
[03:57.000 --> 04:03.000]  This comes right from, oh, Bob Bowman, who we work with, was headed Star Wars under two presidents.
[04:03.000 --> 04:05.000]  I guess he would know about that.
[04:05.000 --> 04:08.000]  And then we're going to talk about, in fact, here in just a few minutes,
[04:08.000 --> 04:13.000]  we're going to play you some audio from an incident here in Austin, Texas,
[04:13.000 --> 04:20.000]  over the weekend where John Kerry came in to give a little speech with his wife, Theresa Heinz Kerry,
[04:20.000 --> 04:27.000]  and they were confronted by a group here in Austin known as the Austin 9-11 Truth Now group,
[04:27.000 --> 04:34.000]  and I thought very professionally they managed to address some pretty big issues to John Kerry,
[04:34.000 --> 04:39.000]  really made him squirm, talked about chemtrails, talked about genetically modified food,
[04:39.000 --> 04:44.000]  depleted uranium, and, of course, talked about 9-11 and Building 7.
[04:44.000 --> 04:48.000]  We're going to play that clip for you when we come back from this next break.
[04:48.000 --> 04:53.000]  I believe also we're going to have Erin Dooley on the program today to talk about how this got set up
[04:53.000 --> 04:59.000]  and really to show you that you don't need to be afraid of Skull and Bones Kerry or Skull and Bones Heinz
[04:59.000 --> 05:04.000]  or any of these super global elitists who will come and visit your town
[05:04.000 --> 05:08.000]  and try to gain your support for their coming selections.
[05:08.000 --> 05:11.000]  You're going to be interested in this. This is a good one, folks.
[05:11.000 --> 05:16.000]  It shows that standing up to the power certainly has its rewards.
[05:16.000 --> 05:21.000]  I'm Jack Blood filling in for Alex Jones today, infowars.com, prisonplanet.com.
[05:21.000 --> 05:24.000]  We'll take a quick break, come back with more news and information.
[05:24.000 --> 05:27.000]  You're not getting anywhere else. This is the Genesis Communications Radio Network.
[05:39.000 --> 05:42.000]  It's here after a year in production and traveling to distant lands.
[05:42.000 --> 05:44.000]  My new film, Terror Storm, is complete.
[05:44.000 --> 05:49.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks
[05:49.000 --> 05:52.000]  against their own populations as a pretext to enslave them.
[05:52.000 --> 05:56.000]  Terror Storm proves that not only was 9-11 an inside job,
[05:56.000 --> 06:00.000]  but the attacks of 7-7 in London were carried out by British Intelligence.
[06:00.000 --> 06:03.000]  Terror Storm chronicles the lies that took us to war in Iran,
[06:03.000 --> 06:09.000]  a White House program to disseminate fake news, NSA spying, secret police torture,
[06:09.000 --> 06:12.000]  the latest 9-11 information, and much, much more.
[06:12.000 --> 06:16.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[06:16.000 --> 06:18.000]  It's an anthology of government crimes.
[06:18.000 --> 06:22.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[06:22.000 --> 06:26.000]  Get your copy today at infowars.com or prisonplanet.com
[06:26.000 --> 06:31.000]  or by calling toll-free 1-888-2533139
[06:31.000 --> 06:35.000]  or watch it right now online at prisonplanet.tv.
[06:37.000 --> 06:41.000]  The war on terrorism, will it be fought overseas or will it affect us here at home?
[06:41.000 --> 06:46.000]  If you are like most folks, you want to be prepared but can't afford an underground shelter.
[06:46.000 --> 06:47.000]  So what do you do?
[06:47.000 --> 06:52.000]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[06:52.000 --> 06:55.000]  With a little know-how, it's not that difficult.
[06:55.000 --> 07:00.000]  Sheltering in place, surviving acts of terrorism from biological, chemical, and radioactive fallout
[07:00.000 --> 07:06.000]  developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health,
[07:06.000 --> 07:10.000]  communicable diseases, and has worked as a nuclear specialist for the U.S. government.
[07:10.000 --> 07:13.000]  He gives you easy-to-follow video instructions
[07:13.000 --> 07:17.000]  and walks you step-by-step through the process of preparing your home as a shelter.
[07:17.000 --> 07:22.000]  Get this critical video every American needs for only $29 plus shipping.
[07:22.000 --> 07:27.000]  Order by calling New Millennium today at 888-803-4438.
[07:27.000 --> 07:30.000]  That's 888-803-4438.
[07:30.000 --> 07:33.000]  Or order on the web at berkeywater.com.
[07:35.000 --> 07:38.000]  Have you ever thought about what's in your shampoo, soap, or detergent?
[07:38.000 --> 07:44.000]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehyde, and more?
[07:44.000 --> 07:50.000]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[07:50.000 --> 07:51.000]  Hi, this is Alex Jones.
[07:51.000 --> 07:54.000]  I was shocked when I discovered I could be inhaling these additives
[07:54.000 --> 07:58.000]  that can lead to coughing, wheezing, and shortness of breath, headaches, nausea,
[07:58.000 --> 08:00.000]  irritation of the skin, and mucous membranes.
[08:00.000 --> 08:06.000]  Now compare Kalben Pure Soap, all-natural, earth-friendly, no harsh chemicals, no animal testing.
[08:06.000 --> 08:11.000]  They're safe, and you save 85% of the money you're spending on cleaning products now.
[08:11.000 --> 08:15.000]  Start saving over $1,000 a year for your family of four.
[08:15.000 --> 08:22.000]  Keep it natural. Call Kalben Pure Soap for a free catalog at 1-800-340-7091.
[08:23.000 --> 08:25.000]  Or log on to 5starsoap.com.
[08:25.000 --> 08:29.000]  Try Kalben Pure Soaps, and I'll bet you'll never use any other cleaning products again.
[08:29.000 --> 08:34.000]  Call 1-800-340-7091 for all your cleaning needs.
[08:36.000 --> 08:38.000]  Ease the T-Rex of political talk.
[08:38.000 --> 08:41.000]  Alex Jones on the GCN Radio Network.
[08:52.000 --> 09:05.000]  This could be the first time that Skull and Bone's John Cherry has been confronted on 9-11 Truth,
[09:05.000 --> 09:07.000]  issues of depleted uranium.
[09:07.000 --> 09:13.000]  Certainly, I don't think he's gotten a lot of information or rhetoric on chemtrails.
[09:13.000 --> 09:19.000]  You almost have to watch this video, and that is up at infowars.com right now, or prisonplanet.com.
[09:19.000 --> 09:21.000]  We're going to play some of it for you.
[09:21.000 --> 09:27.000]  There have been multiple interpretations of what Kerry said and responded to in this.
[09:27.000 --> 09:29.000]  We'll talk about this.
[09:29.000 --> 09:36.000]  But this was a result of a truth squad attending a Kerry speech, a Kerry stump speech.
[09:36.000 --> 09:40.000]  He claims he's not running for president, yet he's doing stump speeches around the country
[09:40.000 --> 09:44.000]  with his prime financial backer, his wife, Theresa Hines Kerry.
[09:44.000 --> 09:48.000]  And let's remind you, her husband was killed in a plane crash.
[09:48.000 --> 09:54.000]  He was a Skull and Bone schoolmate, a Yale schoolmate at Skull and Bone's with John Kerry and George W. Bush.
[09:54.000 --> 09:59.000]  The guy dies in a plane crash, and the next thing you know, she's hooking up with John Kerry.
[09:59.000 --> 10:02.000]  So there's a lot of background here to go into.
[10:02.000 --> 10:07.000]  We're going to have Alex Jones come up here in just about 20 minutes to kind of get into this and break this down.
[10:07.000 --> 10:09.000]  More information about the VT shooting as well.
[10:09.000 --> 10:15.000]  But the video in many ways speaks for itself, and this really shows that you can speak truth to power.
[10:15.000 --> 10:21.000]  You can stand up to these super global elitists and shock them, make them squirm, make them nervous,
[10:21.000 --> 10:28.000]  and hopefully, which you might find in the case of this particular video, again, the picture is kind of worth a thousand words,
[10:28.000 --> 10:33.000]  but hopefully get them to say something on the record that they're not supposed to say.
[10:33.000 --> 10:41.000]  I think we give these people a little bit too much credit sometimes for being genius when they're really not very smart at all.
[10:41.000 --> 10:46.000]  So it's always good to try to push these people, try to get a, as Webster Tarpley likes to call it,
[10:46.000 --> 10:50.000]  a macaca moment where you can embarrass and humiliate a politician
[10:50.000 --> 10:54.000]  and potentially end his career flat with a video camera and a tape recorder.
[10:54.000 --> 10:57.000]  That's what the people did at Austin 9-11 Truth.
[10:57.000 --> 11:01.000]  Now, good people, we know them down here. They worked very hard to get out 9-11 Truth.
[11:01.000 --> 11:03.000]  So we're going to play this video for you. We'll come back, give you some analysis.
[11:03.000 --> 11:05.000]  John, go ahead and roll that.
[11:05.000 --> 11:09.000]  Please join me in giving them a big, authentic welcome.
[11:35.000 --> 11:45.000]  I'm glad we have time for just a couple more questions.
[11:45.000 --> 11:49.000]  So we'll try to do them as quick as we can. We'll move as fast as we can.
[11:49.000 --> 11:57.000]  Hi, Senator Kerry. You bring up our sense of personal responsibility as citizens and to hold people responsible and accountable.
[11:57.000 --> 12:02.000]  And I was just wondering if you had ever heard of Dr. Stephen Jones.
[12:02.000 --> 12:07.000]  He is a professor and was a professor at Brigham Young University.
[12:07.000 --> 12:09.000]  He was put on leave and then forced into retirement.
[12:09.000 --> 12:13.000]  He did a conference and a presentation here last weekend at the University of Texas
[12:13.000 --> 12:16.000]  put on by the Project of New American Citizens.
[12:16.000 --> 12:24.000]  And he discovered by testing World Trade Center dust that there were chemical compounds
[12:24.000 --> 12:28.000]  and the same chemical composition that made up ceramics.
[12:28.000 --> 12:31.000]  He believes that this is a result of controlled demolition.
[12:31.000 --> 12:36.000]  And I was just wondering, since you are all four holding people accountable
[12:36.000 --> 12:43.000]  and being personally responsible as a citizen, if you were up to hearing witness and expert testimony
[12:43.000 --> 12:48.000]  as to how the World Trade Center was brought down by controlled demolition.
[12:48.000 --> 12:55.000]  Well, that's a new one to me. I'd have to, I mean, obviously I'm open to anything that's based on fact and evidence.
[12:55.000 --> 13:00.000]  And if somebody has evidence, I'll take a look at it. I'd be happy to take a look at it.
[13:00.000 --> 13:10.000]  Also, a question I have for you. World Trade Center 7 was brought down on September 11th at 5.20 in the evening.
[13:10.000 --> 13:19.000]  The leaseholder of the World Trade Center complex, Larry Silverstein, gave a public interview on PBS in 2002.
[13:19.000 --> 13:25.000]  And he said that they pulled that building, which is a demolition term for intentionally bringing down a building.
[13:25.000 --> 13:30.000]  This man made over $5 billion from those buildings' destruction.
[13:30.000 --> 13:34.000]  And I want to know if there was ever a formal investigation into Larry Silverstein,
[13:34.000 --> 13:41.000]  the leaseholder of the World Trade Center complex, and his ties to this entire event.
[13:41.000 --> 13:44.000]  I don't believe there's been a formal investigation. I haven't heard that. I don't know that.
[13:44.000 --> 13:49.000]  I do know that that wall, I remember, was in danger.
[13:49.000 --> 13:53.000]  And I think that they made a decision based on the danger that it had of destroying other things,
[13:53.000 --> 13:57.000]  that they did it in a controlled fashion.
[13:57.000 --> 14:02.000]  You know, he's part of the construction reconstruction effort for the memorial and the use of the land, et cetera.
[14:02.000 --> 14:05.000]  There's been a long tug of war going on in New York.
[14:05.000 --> 14:10.000]  I am not following every aspect of it because it's not in my jurisdiction, so to speak.
[14:10.000 --> 14:13.000]  Well, I'll check on what the story is.
[14:13.000 --> 14:15.000]  I'll take a look at it based on what you've said.
[14:15.000 --> 14:18.000]  You have the first people anywhere in the country who have listed my intention.
[14:18.000 --> 14:24.000]  Oh, interestingly enough, the 9-11 Commission Report does not even address World Trade Center 7
[14:24.000 --> 14:27.000]  and the fact that it fell the way that it did.
[14:27.000 --> 14:31.000]  Let me find out about it. I don't know enough about it. It's not in our book, et cetera.
[14:31.000 --> 14:35.000]  All right, there you heard it. These are the first people in the country, according to John Kerry,
[14:35.000 --> 14:37.000]  who have asked him these questions.
[14:37.000 --> 14:40.000]  He's promised to look into the first question.
[14:40.000 --> 14:45.000]  That is the research of Professor Stephen Jones, which I think we should hold him to.
[14:45.000 --> 14:49.000]  Unfortunately, in that audio clip, and I'd like to find another audio clip
[14:49.000 --> 14:54.000]  and perhaps play this again if we can get Aaron Dooley on from Austin 9-11 Truth Now
[14:54.000 --> 14:56.000]  because I like how he sets up his question.
[14:56.000 --> 15:02.000]  He starts off, and you have to understand, this is a very controlled situation here.
[15:02.000 --> 15:04.000]  They're in a bookstore. They need to be polite.
[15:04.000 --> 15:08.000]  You heard the rabid applause and clapping, so you're surrounded by the enemy.
[15:08.000 --> 15:14.000]  And I thought that the gentleman asking the second question did a great job kind of leading up to it.
[15:14.000 --> 15:21.000]  He gave a few compliments to Kerry about his book and segued right into environmentalism,
[15:21.000 --> 15:25.000]  right into genetically modified food, chemtrails, depleted uranium,
[15:25.000 --> 15:29.000]  and then went right into the Building 7 information.
[15:29.000 --> 15:32.000]  So I really loved how he kind of worked up to that question.
[15:32.000 --> 15:38.000]  I can predict for you that John Kerry will no longer be taking any unscripted questions.
[15:38.000 --> 15:44.000]  This means that if we don't have the opportunity, again, to speak truth to power in a uniform
[15:44.000 --> 15:49.000]  or a professional manner as these people have done here in Austin, Texas,
[15:49.000 --> 15:52.000]  over the weekend at this particular engagement by John Kerry,
[15:52.000 --> 15:55.000]  then we're going to have to be rude about it, all right?
[15:55.000 --> 15:59.000]  But it is always preferable to try to be as professional as possible
[15:59.000 --> 16:02.000]  when asking these questions to these criminals.
[16:02.000 --> 16:05.000]  And let's call John Kerry what he is. He's a criminal.
[16:05.000 --> 16:09.000]  He covered up for the BCCI banking scandal, covered up for Iran-Contra,
[16:09.000 --> 16:13.000]  and has been a cover-up artist now for, well, his whole life,
[16:13.000 --> 16:15.000]  and controlled opposition in the Vietnam War.
[16:15.000 --> 16:20.000]  I mean, we can go on and on and on about the lists of high crimes and misdemeanors by John Kerry.
[16:20.000 --> 16:23.000]  To say that this isn't in his jurisdiction, I mean, he is a U.S. senator.
[16:23.000 --> 16:28.000]  I would assume that anything under the headline of 9-11 is in his jurisdiction,
[16:28.000 --> 16:33.000]  especially when one of the alleged hijackers took off from Boston Logan Airport,
[16:33.000 --> 16:35.000]  which happens to be his home state.
[16:35.000 --> 16:38.000]  Now, let's get into the controversy here
[16:38.000 --> 16:41.000]  because I'm probably reading this a little bit different
[16:41.000 --> 16:45.000]  than some of the other people who have done the analysis on this story.
[16:45.000 --> 16:48.000]  The headlines I received today in my mailbox were
[16:48.000 --> 16:50.000]  John Kerry admits a controlled demolition.
[16:50.000 --> 16:55.000]  But if you listen very carefully, and I think this might have been one of the problems,
[16:55.000 --> 16:59.000]  you know, with follow-up questions in this particular instance,
[16:59.000 --> 17:03.000]  if you listen very carefully, he's deflecting the question
[17:03.000 --> 17:07.000]  and equating controlled demolition, again, trying to deflect the question,
[17:07.000 --> 17:10.000]  change the subject, and this is really, I think,
[17:10.000 --> 17:12.000]  evident of somebody who does know what's going on.
[17:12.000 --> 17:15.000]  Otherwise, he's not going to be deflecting the question.
[17:15.000 --> 17:19.000]  He's going to be listening to the question, trying to address the question and answer that question.
[17:19.000 --> 17:23.000]  Instead, he tried to twist it into talking about the remains of Building 7,
[17:23.000 --> 17:26.000]  the remains actually of the World Trade Center tower
[17:26.000 --> 17:30.000]  and how they would be brought down and they would be brought down in a controlled manner.
[17:30.000 --> 17:34.000]  He's talking about literally the skeleton, the remains,
[17:34.000 --> 17:37.000]  not much of it was left, of course, as we know,
[17:37.000 --> 17:42.000]  and how that can be cleared for reconstruction into, you know,
[17:42.000 --> 17:47.000]  I guess, to debate the problem of how that memorial is going to go up.
[17:47.000 --> 17:49.000]  So he changed and twisted the question,
[17:49.000 --> 17:52.000]  and I think we're really jumping to conclusions here
[17:52.000 --> 17:56.000]  if we think that John Kerry has just admitted that there was a controlled demolition.
[17:56.000 --> 18:00.000]  But there is some reading between the lines in this, and it's an interesting topic.
[18:00.000 --> 18:03.000]  I do, you know, certainly want to get into this,
[18:03.000 --> 18:06.000]  and I know Alex is going to come up here very shortly to try to help us dissect it.
[18:06.000 --> 18:11.000]  Also, somebody from Austin 9-11 Truth coming aboard on the program today.
[18:11.000 --> 18:14.000]  And I just can't be prouder of the people here in Austin, Texas,
[18:14.000 --> 18:16.000]  and not just Austin because I know people up in Tulsa.
[18:16.000 --> 18:18.000]  We were just up in Dallas.
[18:18.000 --> 18:21.000]  We were the people that are brave enough to go up against
[18:21.000 --> 18:26.000]  what is known in this country as establishment power.
[18:26.000 --> 18:28.000]  So very, very brave people.
[18:28.000 --> 18:32.000]  In fact, I don't know if I'll get into it on the program today on Alex's show.
[18:32.000 --> 18:36.000]  I definitely will on my program following the show today.
[18:36.000 --> 18:39.000]  We did an event up in Dallas, and I'll just tell you this.
[18:39.000 --> 18:44.000]  We were under about six to seven hours of police harassment and surveillance,
[18:44.000 --> 18:47.000]  and I believe it's because I said 9-11 was an inside job
[18:47.000 --> 18:51.000]  and there were some people in Dallas that just frankly didn't want to hear that.
[18:51.000 --> 18:53.000]  I'll tell you the whole story on my program.
[18:53.000 --> 18:58.000]  I don't want to go into too much personal and private information here,
[18:58.000 --> 19:01.000]  but it was quite an odyssey to say the least.
[19:01.000 --> 19:05.000]  Going back to this particular story, again, I mean it is just so important
[19:05.000 --> 19:09.000]  and to raise the issue of Dr. Stephen Jones' scientific research,
[19:09.000 --> 19:13.000]  to put that in front of these people, to talk about accountability.
[19:13.000 --> 19:18.000]  And here is a good example of the first woman asking the question in this particular instance
[19:18.000 --> 19:23.000]  using Kerry's words against him, if I may be so bold,
[19:23.000 --> 19:26.000]  and that is he's talking about personal accountability,
[19:26.000 --> 19:29.000]  accountability of course of George W. Bush and the war in Iraq,
[19:29.000 --> 19:34.000]  and using that to say since you're so interested in accountability,
[19:34.000 --> 19:37.000]  have you seen the research, have you seen the science
[19:37.000 --> 19:41.000]  as it pertains to the World Trade Center towers in 9-11?
[19:41.000 --> 19:44.000]  And I thought that she just did a great job in that
[19:44.000 --> 19:48.000]  and putting together some of the information that Stephen Jones has put out
[19:48.000 --> 19:51.000]  and making him say on the record that he's going to be looking into this.
[19:51.000 --> 19:55.000]  Now of course we know this is what they always say to try to sidestep the issue,
[19:55.000 --> 19:58.000]  and I think in some ways maybe we shouldn't fall for that.
[19:58.000 --> 20:02.000]  Getting them to say that is good, but following up with more questions,
[20:02.000 --> 20:05.000]  staying on the ball, listening closely to the answers,
[20:05.000 --> 20:15.000]  and if they skirt the answers to call them on that
[20:15.000 --> 20:17.000]  and to force them to be accountable.
[20:17.000 --> 20:19.000]  I believe we're going to break right now.
[20:19.000 --> 20:21.000]  This is the Alex Jones Show. I'm Jack Blood. Stay tuned.
[20:36.000 --> 20:40.000]  Through the years of providing water filters to America,
[20:40.000 --> 20:42.000]  you've come to us and we've listened.
[20:42.000 --> 20:45.000]  You asked us to make the water level visible to eliminate the guesswork
[20:45.000 --> 20:47.000]  when refilling the water. We listened.
[20:47.000 --> 20:51.000]  You asked for an elevated base so the system could be used in places
[20:51.000 --> 20:53.000]  beside on the edge of a counter. We listened.
[20:53.000 --> 20:57.000]  You asked us to develop a filter that was made in the USA.
[20:57.000 --> 21:01.000]  We listened. You asked us to include an emergency light for camping
[21:01.000 --> 21:03.000]  and during power outages. We listened.
[21:03.000 --> 21:06.000]  We listened. After 9-11, you asked us to develop a filter
[21:06.000 --> 21:09.000]  that was more powerful in removing chemical agents.
[21:09.000 --> 21:13.000]  Again, we listened. Introducing the Berkey Light,
[21:13.000 --> 21:17.000]  the gravity filter requested by America, designed by Americans,
[21:17.000 --> 21:19.000]  and made in America.
[21:19.000 --> 21:22.000]  Get the Berkey Light, the American Water Purifier.
[21:22.000 --> 21:27.000]  Only $279. Call new millennium, 888-803-4438.
[21:27.000 --> 21:32.000]  That's 888-803-4438 or order on the web at berkeywater.com.
[21:32.000 --> 21:34.000]  Not yet available in Iowa.
[21:36.000 --> 21:38.000]  Hi, Ted Anderson from Midas Resources.
[21:38.000 --> 21:42.000]  On April 23, 2007, gold spots, $6.91 one-ounce gold coins
[21:42.000 --> 21:47.000]  can be purchased for $7.12, $3.58.53 for half, $1.79.26 for quarter ounce coins
[21:47.000 --> 21:52.000]  at $7.12.98, $3.58.53, and $1.79.26.
[21:52.000 --> 21:56.000]  We've been hearing the USA has been spending money faster than tax collections.
[21:56.000 --> 21:59.000]  Now the government has published the document that sounds the alarm.
[21:59.000 --> 22:02.000]  That's right, the United States Government Accountability Office, the GAO,
[22:02.000 --> 22:05.000]  has published the long-term fiscal outlook document,
[22:05.000 --> 22:08.000]  clearly stating that the federal debt burden is spiraling out of control.
[22:08.000 --> 22:11.000]  This will directly affect programs like Social Security
[22:11.000 --> 22:14.000]  to FDIC's ability to insure bank deposits.
[22:14.000 --> 22:17.000]  Taxation and inflationary printing of the U.S. dollar
[22:17.000 --> 22:19.000]  are inevitable pressures facing the economy.
[22:19.000 --> 22:24.000]  Get this document free by calling 800-686-2237.
[22:24.000 --> 22:27.000]  The U.S. GAO has spelled it out in black and white.
[22:27.000 --> 22:36.000]  Call 800-686-2237. That's 800-686-2237.
[22:36.000 --> 22:39.000]  Do you know the truth about cancer treatments?
[22:39.000 --> 22:42.000]  Do you realize that with all presently accepted methods,
[22:42.000 --> 22:45.000]  you are not correctly attacking the cancer
[22:45.000 --> 22:48.000]  and you are mostly fighting to survive the treatment?
[22:48.000 --> 22:51.000]  Do you realize that mutilating surgery, burning,
[22:51.000 --> 22:56.000]  and the poisoning of your entire system are totally unnecessary?
[22:56.000 --> 23:02.000]  But now, it's cancer's turn to die with LaceMed Inc.'s patented methodology.
[23:02.000 --> 23:05.000]  Without cutting, bleeding, drugs, or damaging radiation,
[23:05.000 --> 23:09.000]  we can destroy skin cancer and breast tumors of any size
[23:09.000 --> 23:13.000]  without adverse side effects at our physician's office.
[23:13.000 --> 23:16.000]  Laser technology at its best.
[23:16.000 --> 23:22.000]  For more information, call 702-953-0267
[23:22.000 --> 23:30.000]  or visit www.lasemedinc.com.
[23:30.000 --> 23:35.000]  Call 702-953-0267.
[23:35.000 --> 23:37.000]  Government is best, which governs least.
[23:37.000 --> 23:39.000]  Wake up and smell the fascism.
[23:39.000 --> 23:42.000]  Being in government means never having to say you're sorry.
[23:42.000 --> 23:45.000]  What part of unconstitutional do you not understand, George?
[23:45.000 --> 23:48.000]  In today's world full of tyranny and injustice,
[23:48.000 --> 23:52.000]  sometimes it seems the only thing we still have is our freedom of speech.
[23:52.000 --> 23:55.000]  Exercise your freedom of speech by purchasing your choice
[23:55.000 --> 23:57.000]  of hundreds of different Liberty Stickers,
[23:57.000 --> 24:01.000]  from humorous to serious, at LibertyStickers.com.
[24:01.000 --> 24:05.000]  LibertyStickers.com can even customize your own bumper stickers.
[24:05.000 --> 24:07.000]  It's time to stand up for what you believe.
[24:07.000 --> 24:09.000]  Invest in your freedom.
[24:09.000 --> 24:11.000]  Get your stickers at LibertyStickers.com
[24:11.000 --> 24:14.000]  for your family, friends, and community.
[24:14.000 --> 24:20.000]  Go to LibertyStickers.com or call 877-873-9626.
[24:20.000 --> 24:24.000]  That's 877-873-9626.
[24:24.000 --> 24:26.000]  And express your freedom of speech today.
[24:26.000 --> 24:30.000]  Call 877-873-9626.
[24:30.000 --> 24:34.000]  That's 877-873-9626.
[24:44.000 --> 24:53.000]  All our times have come.
[24:53.000 --> 25:00.000]  We're but now they're gone.
[25:00.000 --> 25:05.000]  Seasons don't feel the reefer.
[25:05.000 --> 25:08.000]  Thanks for tuning in to the Genesis Communications Network,
[25:08.000 --> 25:10.000]  the Alex Jones Show.
[25:10.000 --> 25:13.000]  I'm Jack Blood, your radio gun, sitting in for Alex Jones.
[25:13.000 --> 25:16.000]  You may be popping up with us here in about six minutes on the show today
[25:16.000 --> 25:18.000]  to help us cover some breaking news in the program.
[25:18.000 --> 25:20.000]  We'll be going to your calls shortly thereafter.
[25:20.000 --> 25:25.000]  And I'm told that Joseph Kilgus will be joining us from the 9-11 Truth Group
[25:25.000 --> 25:27.000]  that took on John Kerry here over the weekend.
[25:27.000 --> 25:28.000]  Great story.
[25:28.000 --> 25:30.000]  I love reporting these things from around the country.
[25:30.000 --> 25:33.000]  This is the difference that we've really seen.
[25:33.000 --> 25:38.000]  This is the difference between 2007 9-11 Truth, or truth in general,
[25:38.000 --> 25:40.000]  and say 2005.
[25:40.000 --> 25:42.000]  People are really taking it to them.
[25:42.000 --> 25:47.000]  And, of course, it couldn't have been more evident on the fifth anniversary of 9-11 at Ground Zero,
[25:47.000 --> 25:53.000]  where roughly 2,000 people in identical Investigate 9-11 t-shirts were at Ground Zero.
[25:53.000 --> 26:00.000]  Alex Jones, in a great moment in his career, I think, as brave as you can possibly be,
[26:00.000 --> 26:05.000]  bullhorned Ground Zero with 9-11 as an inside job
[26:05.000 --> 26:09.000]  before he went on to bullhorn the CFR and Silverstein properties.
[26:09.000 --> 26:14.000]  So this is really the difference now in 2007.
[26:14.000 --> 26:18.000]  And this is something that I don't think we'll be rolling back on.
