[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[15:59.000 --> 16:14.000]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house. I sued the IRS in one. I beat the IRS then and I've been beating them ever since. I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[16:14.000 --> 16:29.000]  I can help you too. If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case. Call 834 no tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[16:44.000 --> 16:59.000]  It's former colony, the US, had to save the empire. Was there ever a vote? Who do we fight for? The deep state began with World War One, the United States of Empire by James Dunn, available at Amazon Books.
[16:59.000 --> 17:17.000]  Hunters, anglers, campers and survivalists, get back to nature, expand your horizons with the highest quality, most versatile, unique slingshots and slingbos on the market at slingbo.com. Slingbo products are compact and models start from just 1798. They're perfect for your bug out bag or storing in your vehicle.
[17:17.000 --> 17:29.000]  Give yourself and your loved ones the excitement and tradition of slingbo, a new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill, only at slingbo.com.
[17:47.000 --> 17:59.000]  Live from the packed bacon or warm and serve, lifesaving ready to eat bacon, 10-year shelf life bacon, ships free at fullycookedbacon.com, fullycookedbacon.com.
[18:17.000 --> 18:26.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:26.000 --> 18:37.000]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:37.000 --> 18:52.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:52.000 --> 19:00.000]  Go outside and enjoy the air you breathe. Head to infoworselife.com and grab a pack of our pollen block chewable tablets.
[19:00.000 --> 19:12.000]  Brainforce Plus is a top-tier, newtropin, focus, clarity, energy, but instead of having a seven times markup, we have a hundred and fifty percent markup.
[19:12.000 --> 19:22.000]  Right now, it's massively discounted and when you get a bottle of it, a 25% off, you get a free bottle of what is our total bestseller.
[19:22.000 --> 19:30.000]  It's not very profitable because we give it at such a low price, but it's amazing that, of course, he's knockout the ultimate sleep aid.
[19:30.000 --> 19:36.000]  So we've got a way to energize you, ramp you up in a healthy way during the day and put you deep into that restful, healthy sleep at night.
[19:36.000 --> 19:44.000]  It's the Brainforce and Knockout Combo Deal, 25% off Brainforce and a free bottle of knockout together right now.
[19:44.000 --> 19:52.000]  Get a combo and experience both these rigged products today. Take advantage of it and fund the M4. M4worselife.com or M4store.com.
[19:52.000 --> 20:14.000]  Brainforce Plus Knockout Combo right now. Get your free bottle today at M4store.com.
[20:22.000 --> 20:31.000]  Looking live there at the White House lawn, Alex Jones, the controversial host, Trump's supporter, out there with a bullhorn,
[20:31.000 --> 20:38.000]  and that's what you heard earlier, some people out there as well, saying they support President Trump, but they don't support Twitter.
[20:38.000 --> 20:43.000]  President Trump meeting with the CEO of Twitter, Jack Dorsey, here at the White House today.
[20:43.000 --> 20:53.000]  You kind of hear the bullhorn in the background, thought we'd show you.
[20:53.000 --> 21:08.000]  That was Brett Baer on Fox News yesterday. While the president was meeting with Jack Dorsey, he gives a shout out to Alex Jones, the controversial Alex Jones.
[21:08.000 --> 21:19.000]  Yes, make sure you add that caveat. But there you go. Hey, I actually give Brett credit to even save Voldemort's name on live television.
[21:19.000 --> 21:31.000]  So it's the small victories. But yes, you know, DC is buzzing right now, folks, and Alex Jones is still out there.
[21:31.000 --> 21:41.000]  And so I've got another story happening in DC right now that you're just not going to believe. In fact, I hope Alex runs into these people, quite frankly.
[21:41.000 --> 22:09.000]  And it would really be something. But before we get into what Alex may be doing today, here is a look at what Alex Jones was doing yesterday.
[22:09.000 --> 22:14.000]  It's Alex Jones in DC, shaking hands, carrying a bullhorn.
[22:39.000 --> 22:49.000]  President Trump must enforce the First Amendment in section 230 of the Telecommunications Act and stop Big Tech from making censors.
[22:49.000 --> 22:55.000]  The American people demand that their First Amendment be defended.
[22:55.000 --> 23:10.000]  President Trump has signed an executive order to stop colleges from banning free speech. That is the right move by the president. But the president must take action against Big Tech censorship now.
[23:10.000 --> 23:15.000]  All the evidence shows the Democrats already stole the last midterm election.
[23:15.000 --> 23:25.000]  They're openly bragging about the censorship that they're engaged in. And we, the people, must stand against this censorship.
[23:25.000 --> 23:41.000]  President Trump, you must defend free speech. President Trump, you must take action for the First Amendment for racketeering of Democrats and Big Tech are colluding together.
[23:41.000 --> 23:51.000]  And because the federal government has left a large vacuum open with no regulation against these censors, it is allowing the communists Chinese.
[23:51.000 --> 24:01.000]  It is allowing the authoritarian EU. And it's allowing the Hollywood leftist to by fiat create a world government censorship system.
[24:01.000 --> 24:11.000]  President Trump, your only area you're failing right now is because Congress won't let you defend the border and wouldn't give you the funding. We understand.
[24:11.000 --> 24:17.000]  But the place you can't take action is as a champion of the First Amendment.
[24:17.000 --> 24:31.000]  President Trump, you are allowing the EU and the communists Chinese and Big Tech to work together to censor. The argument that the government can't regulate these companies is bogus.
[24:31.000 --> 24:39.000]  Don't let the American people that elected you be silenced stand for the First Amendment.
[24:39.000 --> 24:58.000]  You know about the censorship. You know what's happened. Stand against the fake news. It is critical for you, President Trump, to take action against the globalist and the Chinese cops working with traitors in our country to censor the American people.
[24:58.000 --> 25:13.000]  President Trump, you must take action against the censors. You must take action against Big Tech. You must take action against the globalist. You must take action against the NWO.
[25:13.000 --> 25:31.000]  We have the internal documents and videos of Google, Facebook and Twitter admitting their incredible censorship of the American people. We have the evidence of their collusion. We have the head of Google saying we're doing this to stop Trump winning again.
[25:31.000 --> 25:43.000]  And then they lie to Congress, President Trump. They lie to Congress, President Trump. And they say they never censor anybody. They never censor the conservative. They never fix the search for an adult.
[25:43.000 --> 26:02.000]  Big Tech is loyal. Ipohors.com has been standing for the republic. So has News Wars.com. And we have honorably been fighting for this republic in its remote. And the independent press that got you elected needs the cavalry to come, President Trump.
[26:02.000 --> 26:14.000]  Big Tech must be broken up. Big Tech is working with Congress, China. It's working with the EU. It's working with others to openly censor not just their people, but us.
[26:14.000 --> 26:33.000]  This is the foreign election meddling, President Trump. This is the globalism. But America's fighting back. And thanks to your leadership, we're away. But we need you to stand against Big Tech censorship, President Trump. President Trump, America, listen to you.
[26:33.000 --> 26:51.000]  We stood up. We got you elected. You defeated the fake Russian gate hopes. But now you must defeat the attempt to destroy the First Amendment. President Trump, please save the First Amendment. Please do the right thing and stand up against Big Tech.
[26:51.000 --> 27:05.000]  You will not win the 2020 election unless you stop the censorship because they'll steal the election as they already planned to do. And you won't have the people's voice there when the whole corporate media turns against you.
[27:05.000 --> 27:25.000]  The Fox News is already starting to turn against you. Now is the time, ladies and gentlemen. Now is the time to stand for the First Amendment. Now is the time to stand up against the Chai cops and the EU working with Big Tech to restrict free speech.
[27:25.000 --> 27:37.000]  Now is the time to stand against these censors and take action. This is the right thing to do. It's the right thing for the country. It's the right thing for America.
[27:37.000 --> 27:55.000]  And the censorship is incredible. And the censorship is un-America. And the censorship is illegal. President Trump, stand up for the First Amendment.
[27:55.000 --> 28:23.000]  So there you have it, ladies and gentlemen. Alex Jones.
[28:23.000 --> 28:45.000]  Bullhorning outside the White House. Now, I've got a bullhorn right here. This bullhorn is legendary. And I'm actually sending this bullhorn out today to an info warrior.
[28:45.000 --> 28:59.000]  And who knows, if you play your cards right, you may get the Info Wars legendary bullhorn next. This is the Alex Jones show. We'll be right back.
[28:59.000 --> 29:17.000]  Heart disease is on the rise. Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there. Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[29:17.000 --> 29:23.000]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[29:23.000 --> 29:33.000]  The blood pressure has normalized. My diabetes has totally improved. Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[29:33.000 --> 30:00.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy. Order your two month supply today by calling 866-295-5305. That's 866-295-5305. Or order online, hbextract.com. Heart and body extract, 866-295-5305. Or hbextract.com.
[30:00.000 --> 30:06.000]  Our grandparents, the great grandparents, know that they can food during the fall, so they'd have it during the winter.
[30:06.000 --> 30:16.000]  And that's what I'm talking about at M4sTour.com. With M4 Select, it's the full spectrum of my patriots' supply on the top, most respected companies out there.
[30:16.000 --> 30:24.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[30:24.000 --> 30:35.000]  But I want to be a market leader and I want you to have storeable food so it's a total win-win. We have those incredible self prices back at M4sTour.com on M4 Select storeable foods.
[30:35.000 --> 30:43.000]  They've got special diet foods. They've got three month supplies, your supplies, weak emergency supplies. They've got so many great products there.
[30:43.000 --> 30:49.000]  And you've got a three year supply. If stuff happens, you can feed your whole block. It's up to us to be self sufficient.
[30:49.000 --> 31:00.000]  You're buying war bonds, bringing great products together. With God's help, we are unstoppable. M4sTour.com and M4 Select, high quality storeable foods, powered by my patriots' supply.
[31:00.000 --> 31:03.000]  Frank in North Carolina, thanks for holding so long. Go ahead.
[31:03.000 --> 31:10.000]  Yeah, I just have to say something, man. It seems like every time I turn on your broadcast, you're bracking. It just gets old now.
[31:10.000 --> 31:15.000]  I'm going to shut you down right now, okay? We're taking calls about your nomination.
[31:15.000 --> 31:22.000]  Do you understand they're having congressional hearings trying to shut us down? Do you understand I'm ringing the alarm?
[31:22.000 --> 31:29.000]  If that was happening to anybody else, I'd be freaked out. I mean, what's it going to take us being shut down? Is that what you want, Frank?
[31:29.000 --> 31:30.000]  You know what, Alex?
[31:30.000 --> 31:38.000]  Hey, put him on pause again. Hey, Frank, do you understand it's not bragging to say we are the tip of the spear, we're under attack, we need your help.
[31:38.000 --> 31:45.000]  As much begging as I do, we can barely pay the bills and grow in the face of this. I'm not going to just stop growth and let them start pushing us backwards.
[31:45.000 --> 31:49.000]  Do you understand? I need your help, Frank. I need your help, Frank.
[31:49.000 --> 31:55.000]  Go to M4store.com right now and help fund the M4.
[31:55.000 --> 32:00.000]  Do you understand? I need your help, Frank. Free Press needs your help, Frank.
[32:00.000 --> 32:13.000]  I've been doing a lot of research into Google and YouTube censorship, and I've noticed that there's one type of video that is the most censored, the most buried, the most suppressed.
[32:13.000 --> 32:25.000]  And that's the videos where you saw in 2016 election night all the arrogant leftist authoritarians, like the young turds and others, get so butt hurt when Trump won.
[32:25.000 --> 32:31.000]  They don't want us to have that victory. They don't want us to remember what political action did.
[32:31.000 --> 32:36.000]  And that's why the globalist, Hillary and others, are trying to shut M4's down.
[32:36.000 --> 32:44.000]  This is a fight about taking your speech away, not just my speech, about taking your very sovereignty away. This country is in a war.
[32:44.000 --> 32:53.000]  So again, I want to thank you for what you've done, but I want to remind you, if you don't spread the articles and videos, and if you don't financially get the great products we have and fund us,
[32:53.000 --> 33:00.000]  in the 360 wind, we're dead in the water. I'm in your hands, you're in my hands, infowarstore.com. Thank you.
[33:23.000 --> 33:30.000]  You're listening to the Alex Jones show, and now your host, Owen Troyer.
[33:30.000 --> 33:39.000]  Well, I'm about to be joined by one of the most legendary Jedi's in all of the galaxy.
[33:39.000 --> 33:53.000]  Leo Zagami from LeoZagami.com is about to be joining me. We sell his books at infowars.com, and I brought Leo on today to really get the audience woke.
[33:53.000 --> 34:04.000]  And there's so much in the news today. I was wondering how I was even going to segue into this conversation I want to have with Leo today, but it turns out he's written the perfect story to do just that.
[34:04.000 --> 34:12.000]  It's at LeoZagami.com. Joe Biden, the Vatican candidate choice for 2020. Now, there's some interesting things in this story.
[34:12.000 --> 34:27.000]  One is this Cura Foundation and how it's linked to the Vatican and then kind of the dystopian biotech tyranny that it seems to be aligned with.
[34:27.000 --> 34:35.000]  But then two, I realized something going over the story before Leo joined us.
[34:35.000 --> 34:48.000]  Leo, it does appear to me that Joe Biden is the globalist candidate, and should we even dare say the secret societies, the Illuminati candidate.
[34:48.000 --> 35:00.000]  And I realize this now, they're in big trouble because even though he's pulling high right now, I'm not sure how realistic those polls are.
[35:00.000 --> 35:08.000]  And they're going to have a tough time getting Joe Biden into the White House. He's very old. Trump is having a lot of success right now.
[35:08.000 --> 35:18.000]  And I mean, let's not forget all the Biden groping videos that just went viral. I mean, those aren't going to go to rest. So it appears to me, Leo, correct me if I'm wrong,
[35:18.000 --> 35:30.000]  Biden, as you have it here in your headline, the Vatican candidate, but really that means the New World Order candidate, which to me means the New World Order is in quite a pinch.
[35:30.000 --> 35:32.000]  Leo Zagami.
[35:32.000 --> 35:42.000]  Yeah, it is definitely losing some points. This New World Order with this candidate who is not very credible to, at least to our eyes, our conservative eyes.
[35:42.000 --> 35:49.000]  But I'm sure that he has a very large audience of Libtards all over the world ready to endorse him.
[35:49.000 --> 36:04.000]  And of course, I pointed out just with this photo that I put in this article is next to Lady Gaga, for example, who is a known Luciferian during the documentary on Lady Gaga by Netflix.
[36:04.000 --> 36:19.000]  They actually played the music Lucifer Rising by Bobby Bessolero, which is one of the assassins of the Charles Manson massacres. And we are talking here about a candidate who is definitely endorsed because one year ago, exactly one year ago,
[36:19.000 --> 36:28.000]  there was this gathering in the Vatican called Unite to Cure, how science technology in the 21st century will impact culture and society.
[36:28.000 --> 36:39.000]  Now, everybody that is anybody in the Libtard movement was there. And there were, of course, Dr. Sanya Gupta from CNN.
[36:39.000 --> 36:47.000]  And then we had Defak Chopra. We had Jack Nicolaus. We had Katy Perry. We had many people.
[36:47.000 --> 36:56.000]  Oh, Katy Perry, the one that was trying to steal that house in California from the nuns? The one that was petitioning the Pope?
[36:56.000 --> 37:08.000]  Well, of course, you have to be a Satanist or an Illuminati. Peter Gabriel, for example, was there. And we know that in the 80s, he already pioneered the symbolism of the Illuminati in one of his videos.
[37:08.000 --> 37:14.000]  So we are talking here about people that at the core of the New World War, including David Lynch.
[37:14.000 --> 37:23.000]  So these people met one year ago in the Vatican. And they said in one year from now, we're going to announce this candidacy to the world.
[37:23.000 --> 37:32.000]  And I tell you, I mean, we might underestimate it, but I say let's be careful about this candidate because he could reserve some surprises.
[37:32.000 --> 37:39.000]  It's very powerful. And of course, they can play some dirty tricks in 2020s around the corner.
[37:39.000 --> 37:46.000]  So let's see what happens. But the candidacy of Joe Biden would be announced in the next 24 to 48 hours.
[37:46.000 --> 37:53.000]  So exactly one year after this Vatican meeting where he spoke. So do you think this is a coincidence?
[37:53.000 --> 38:02.000]  I don't believe in coincidences in this setup because these are people who know exactly what they're going to be doing in two years from now.
[38:02.000 --> 38:09.000]  They're not people like me and you and they have an agenda schedule. Everything is really calculated to the detail.
[38:09.000 --> 38:17.000]  So they knew exactly what they were doing. That's why I pointed out that he is the candidate of choice for the Vatican.
[38:17.000 --> 38:28.000]  And of course, the Jesuits are the ones who are the moment on both sides of the ocean are trying to push for this open borders immigrant policy.
[38:28.000 --> 38:37.000]  And they are on one side here in Europe with the John Claude Ulrich, which is another John Claude and he's actually friend and fellow Luxembourg,
[38:37.000 --> 38:50.000]  a bogus John Claude Junker. So these two people, John Claude Ulrich is the head Jesuit who controls is the president of the European conferences of the Catholic Church.
[38:50.000 --> 38:59.000]  So we're talking here about this power of the Jesuits that is openly endorsing migration. They're doing the same thing as I reported also a week ago.
[38:59.000 --> 39:07.000]  And John Claude Junker is literally a Nazi fortune heir. But the guy's like stumbling around drunk all the time now.
[39:07.000 --> 39:16.000]  I mean, I don't know what his deal is. But Leo, I want to bring this back to the candidacy of Joe Biden because the force is strong day.
[39:16.000 --> 39:23.000]  I was wondering how I was going to get into this with you, but it kind of parallels what I wanted to talk with you today about how much power.
[39:23.000 --> 39:29.000]  So folks can go get Leo's books at infowars.com. They're just amazing stuff.
[39:29.000 --> 39:39.000]  And in fact, you even, we had you on the war room to discuss this, you even accurately predicted the New Zealand shooting in your most recent book.
[39:39.000 --> 39:49.000]  So you've been studying, you've been a part of, you've been writing about the Illuminati, the secret societies that they've been around for hundreds of years,
[39:49.000 --> 39:55.000]  some aspects of these even longer. But the ones that were really in power, I would say probably came out of Germany.
[39:55.000 --> 40:01.000]  You would agree a few hundred years ago, and they've been the ones kind of bringing in all of this technology and everything.
[40:01.000 --> 40:08.000]  But this is my question. How much power over the world should we say?
[40:08.000 --> 40:15.000]  Do these secret societies still have? Do they still have the same amount of power that they had 30 years ago leading up to this point
[40:15.000 --> 40:23.000]  and have new secret societies kind of informing in Silicon Valley with upstarts and the technology boom and all the access?
[40:23.000 --> 40:28.000]  Has that kind of mitigated the secret societies power? Do they still have the power they once wielded?
[40:28.000 --> 40:34.000]  And to me, I think it all kind of can parallel the story you wrote.
[40:34.000 --> 40:38.000]  Here's Joe Biden, the New World Order Illuminati candidate.
[40:38.000 --> 40:47.000]  And I mean, I don't think his chances are good. And if this is what they're banking on to try to take back power and control in the West,
[40:47.000 --> 40:50.000]  I mean, that's like you said, I mean, that dodge aren't good for them.
[40:50.000 --> 40:57.000]  So do you think that parallels where these secret societies and the power that they've had over the world for so long?
[40:57.000 --> 40:59.000]  Do you think this parallels where they're at right now?
[40:59.000 --> 41:05.000]  Or do you think they still have the same ability to basically do and pull whatever strings they want?
[41:05.000 --> 41:10.000]  Or simply have still all the cash in the world and more.
[41:10.000 --> 41:19.000]  So until you control the finances of this planet, you actually control who is printing the money, you are controlling the whole show.
[41:19.000 --> 41:23.000]  So I don't think that we're getting rid of this kind of people.
[41:23.000 --> 41:34.000]  I mean, they can have their internal wars, but in the end, they are the most rich and powerful people on the planet and institutions like the church are also very rich.
[41:34.000 --> 41:40.000]  So how are we going to overcome this materialistic power?
[41:40.000 --> 41:50.000]  It's very difficult to overcome this materialistic power if not with a spiritual and cultural revolution that has to be started in a nation that is truly free.
[41:50.000 --> 42:02.000]  Nowadays, there is only the United States of America that we can call really free because the rest of the world is falling under socialist rule and
[42:02.000 --> 42:04.000]  techno-technocratic dictatorship.
[42:04.000 --> 42:06.000]  So all over the place.
[42:06.000 --> 42:12.000]  So basically, we are now with Donald J. Trump, the only place the United States of America.
[42:12.000 --> 42:14.000]  But how long this is going to last?
[42:14.000 --> 42:20.000]  I mean, they have immense power, unfortunately, and not at the spiritual level.
