[00:00:00.109 --> 00:00:00.289]  Oh, God!
[00:09:03.701 --> 00:09:13.187]  Dr. Bonnie Henry in a Kamloops article in May said that the inequities in our society are such that there's no way we would implement a vaccine passport.
[00:09:13.187 --> 00:09:15.528]  She said that in May, quote unquote.
[00:09:15.528 --> 00:09:17.309]  And now we have a vaccine passport.
[00:09:17.549 --> 00:09:21.852]  But mostly, they don't want vaccines to be mandatory for anyone.
[00:09:21.852 --> 00:09:24.513]  It's not totally against being vaccinated.
[00:09:24.513 --> 00:09:26.054]  I'm vaccinated.
[00:09:26.054 --> 00:09:34.460]  I'm here because I find that the freedoms of all of these people in Canada is being squashed.
[00:09:34.460 --> 00:09:42.485]  Across the province, similar rallies took place outside major hospitals in Victoria, Nelson, and Prince George, and also in Kelowna.
[00:09:45.034 --> 00:09:51.981]  When I became a nurse, I made an oath to advocate for my patients, and patients have the right to refuse.
[00:09:51.981 --> 00:09:54.824]  It's in BC law, it's what we were taught in school.
[00:09:54.824 --> 00:09:59.168]  Everybody should have the right to choose whatever goes into their bodies.
[00:09:59.168 --> 00:10:00.289]  It shouldn't be mandatory.
[00:10:00.289 --> 00:10:02.592]  For those people who want to, well and good.
[00:10:03.467 --> 00:10:04.087]  In B.C.
[00:10:04.087 --> 00:10:08.430]  so far, vaccines are only mandatory for those who work in long-term care homes.
[00:10:08.430 --> 00:10:11.212]  I'm not going to get the COVID vaccine.
[00:10:11.212 --> 00:10:15.275]  My wife is a nurse and she works in assisted living and she's not going to get it either.
[00:10:15.275 --> 00:10:19.237]  So there's some hard decisions that have got to be made on September 13th.
[00:10:19.237 --> 00:10:26.322]  A new vaccine card will be required starting September 13th for non-essential services like gyms and restaurants.
[00:10:26.322 --> 00:10:30.745]  And protesters say that's a slippery slope towards eroding their freedom.
[00:10:30.745 --> 00:10:32.866]  Eva Yu-Gwen Senge, CBC News, Vancouver.
[00:10:50.923 --> 00:10:56.106]  So what are you seeing for vaccine injuries?
[00:10:56.106 --> 00:10:58.366]  Um, 33 just just this past week.
[00:10:58.366 --> 00:10:59.407]  How about this?
[00:10:59.407 --> 00:11:01.788]  Three fully vaccinated individuals deceased.
[00:11:02.355 --> 00:11:06.178]  This poor woman is a mother of two.
[00:11:32.166 --> 00:11:37.831]  Um, like I said, 30 years old and she was fully vaccinated and regrets it deeply.
[00:11:37.831 --> 00:11:44.598]  This was a month ago and she is now intubated in critical condition, fighting for her life, potentially about to leave her children motherless.
[00:11:44.598 --> 00:11:49.842]  And of course she regrets 1,000% being injected and she acknowledges it.
[00:11:49.842 --> 00:11:51.064]  So did her physician.
[00:11:51.064 --> 00:11:51.224]  So...
[00:11:52.009 --> 00:11:53.431]  I don't know why the lies continue.
[00:11:53.431 --> 00:11:54.512]  I see it every single day.
[00:11:54.512 --> 00:11:59.157]  This whole story about 90% unvaccinated cases.
[00:11:59.157 --> 00:11:59.818]  No.
[00:11:59.818 --> 00:12:04.944]  I can tell you I've been in the front of the lines for the last year and eight months or however long it's been.
[00:12:04.944 --> 00:12:05.885]  Too long.
[00:12:05.885 --> 00:12:07.427]  And that is a complete lie.
[00:12:07.427 --> 00:12:09.649]  I have seen nothing but vaccinated individuals.
[00:12:10.710 --> 00:12:12.151]  Undefinited as well.
[00:12:12.151 --> 00:12:13.251]  But don't believe the lies.
[00:12:13.251 --> 00:12:15.412]  Don't believe the media.
[00:12:15.412 --> 00:12:16.292]  It's awful.
[00:12:16.292 --> 00:12:18.313]  And you work in the ICU, right?
[00:12:18.313 --> 00:12:19.213]  I have worked ICU.
[00:12:19.213 --> 00:12:23.055]  I am on a unit that is strictly COVID patients at this point.
[00:12:23.055 --> 00:12:24.395]  So the news media is lying.
[00:12:24.395 --> 00:12:25.395]  How about that?
[00:12:25.395 --> 00:12:26.196]  The whole time.
[00:12:26.196 --> 00:12:27.036]  The entire time.
[00:12:47.619 --> 00:12:54.381]  Daniel Andrews has announced that Victoria's lockdown will be extended until 2070 of the state.
[00:12:54.381 --> 00:12:56.501]  No it won't.
[00:12:56.501 --> 00:12:57.442]  It will not.
[00:12:57.442 --> 00:12:59.062]  Take the lead back to the beginning.
[00:12:59.062 --> 00:13:00.522]  Take the lead back to the beginning.
[00:13:00.522 --> 00:13:07.064]  Daniel Andrews has announced that Victoria's lockdown will be extended until 70% of the state has had at least one dose of the COVID vaccine.
[00:13:10.233 --> 00:13:12.073]  That was not a Freudian slip.
[00:13:12.073 --> 00:13:17.295]  You could tell that she did that on purpose as a desperate warning to the public.
[00:13:17.295 --> 00:13:28.578]  The Aussies have been a prison colony for over 140 years and they understand what's going on and so all over the place they are basically putting out emergency messages to the public.
[00:13:28.578 --> 00:13:35.280]  Many of their top presenters and reporters have actually gone public against what's happening but this isn't going to go to 2070 because
[00:13:36.755 --> 00:13:40.058]  They plan to totally depopulate the earth of humans by then.
[00:13:40.058 --> 00:13:44.802]  And again, I'm going to show you those documents coming up.
[00:13:44.802 --> 00:13:57.452]  But the first thing I want to get to is cold hard facts from the Israeli government, the UN, and John Hopkins that works for the Rockefeller Foundation that are putting together the statistics and the numbers.
[00:13:57.452 --> 00:13:59.874]  And I guess they hope you don't go look these up.
[00:14:01.138 --> 00:14:01.338]  Yes, sir.
[00:14:22.169 --> 00:14:24.791]  With the so-called vaccine, COVID-19 vaccine.
[00:14:24.791 --> 00:14:28.754]  Here are the side-by-sides of India and Israel, new COVID cases.
[00:14:28.754 --> 00:14:31.736]  India has a 10% vaccination rate and Israel has a 65.
[00:14:31.736 --> 00:14:34.598]  It's actually more like 90 vaccination rate.
[00:14:34.598 --> 00:14:36.960]  India uses ivermectin, vitamin D and zinc.
[00:14:36.960 --> 00:14:40.842]  Israel uses COVID vaccinations and booster shots of the same poison.
[00:14:40.842 --> 00:14:42.764]  Any questions?
[00:14:42.764 --> 00:14:47.927]  So you see when they first did some of their 10% vaccinations, they haven't done it in a long time.
[00:14:47.927 --> 00:14:48.748]  You see the spike.
[00:14:49.926 --> 00:14:50.126]  I think?
[00:15:08.013 --> 00:15:11.298]  That's an Egyptian thing that the Romans and the Greeks picked up.
[00:15:11.298 --> 00:15:13.381]  The Greeks and the Romans.
[00:15:13.381 --> 00:15:15.744]  That's something ancient Druids and others did.
[00:15:15.744 --> 00:15:17.867]  The Hindus burned bodies.
[00:15:17.867 --> 00:15:23.034]  Native Americans put a platform up and put the body out in the air to rot.
[00:15:24.375 --> 00:15:26.277]  So that's what they're doing.
[00:15:26.277 --> 00:15:37.370]  It's again total deception and wait till I get to some of the biggest fake news ever that Oklahoma hospitals are full of people sick from ivermectin horsepace that we checked it out.
[00:15:37.370 --> 00:15:39.813]  It's a fake story by Rolling Stone and others.
[00:15:39.813 --> 00:15:42.436]  This is the fall of the mainstream media we're witnessing.
[00:15:43.936 --> 00:15:47.077]  There's the statistics there for you on screen.
[00:15:47.077 --> 00:15:48.737]  Here is another one.
[00:15:48.737 --> 00:15:54.599]  Reassurgence of SARS-CoV-2 infection in a highly vaccinated health workforce.
[00:15:54.599 --> 00:16:02.301]  Another big study showing that as soon as they got vaccinated, the rate of them getting sick with COVID went from nothing to off the charts.
[00:16:02.301 --> 00:16:06.342]  I mean, you just, it's like, oh, you pour gasoline on something and you light it, it burns.
[00:16:06.342 --> 00:16:09.703]  You take the shots, you get really sick.
[00:16:09.703 --> 00:16:11.884]  Just ask Oscar de la Hoya, who can't,
[00:16:12.739 --> 00:16:13.499]  Get out of bed right now.
[00:16:13.499 --> 00:16:17.621]  He took both shots and is fighting for his life with COVID.
[00:16:17.621 --> 00:16:29.705]  Just in, Sweden bans travelers from Israel, one of the most vaccinated countries in the world, into the country from September 6th due to record-breaking rise in COVID-19 cases and deaths.
[00:16:29.705 --> 00:16:36.167]  And it's mainly, again, it's tracking mainly people that are vaccinated that are sick and dying.
[00:16:36.167 --> 00:16:37.308]  And let me just show you.
[00:16:38.615 --> 00:17:01.978]  Some of those numbers here it is Israel launched the third dose and as predicted it triggered that auto immune system where it ends up attacking the body their body warned what happened I guess ADE and it's now the deaths are just off the frickin charts they have the most vaccinated people in the world of a big country and it's just just off the charts here's another one
[00:17:03.553 --> 00:17:12.220]  Uh, in Israel is still finalizing the report, but as you can see, it says number of COVID deaths, uh, in the last, uh, month, and it's a 606.
[00:17:12.220 --> 00:17:21.427]  And as you can see, it is fully vaccinated, 272, not fully vaccinated, only one shot, 133.
[00:17:21.427 --> 00:17:27.191]  That's the vast majority are vaccinated dying and 173 yet to be classified.
[00:17:27.191 --> 00:17:29.613]  And they're just barely any deaths that weren't vaccinated.
[00:17:31.206 --> 00:17:33.869]  Barely any deaths that had not had the vaccine.
[00:17:50.760 --> 00:17:52.541]  CNN finally reports the truth.
[00:17:52.541 --> 00:17:59.783]  States that had some of the worst COVID-19 cases rates in past week also reported the highest rates of new vaccinations.
[00:17:59.783 --> 00:18:00.724]  Isn't that funny?
[00:18:00.724 --> 00:18:01.864]  Just like Israel.
[00:18:01.864 --> 00:18:04.185]  Because it's a live virus vaccine.
[00:18:04.185 --> 00:18:07.626]  Whether it's J&J, whether it's Moderna, whether it's Pfizer.
[00:18:07.626 --> 00:18:11.948]  With Moderna and Pfizer, though, it's a synthetic virus, but it is a virus.
[00:18:11.948 --> 00:18:17.030]  And it's live, and it makes your body create more of the spike protein, which infects people.
[00:18:17.030 --> 00:18:19.131]  Pfizer's own study says that.
[00:18:20.182 --> 00:18:20.742]  Here's another one.
[00:18:20.742 --> 00:18:27.145]  More than 100 Ontario youth sent to hospital for vaccine-related heart problems report, including deaths.
[00:18:27.145 --> 00:18:28.026]  Oh, here's an old U.S.
[00:18:28.026 --> 00:18:29.046]  government report.
[00:18:29.046 --> 00:18:32.948]  Special Virus Cancer Program.
[00:18:32.948 --> 00:18:35.950]  National Cancer Institute.
[00:18:35.950 --> 00:18:36.470]  This is U.S.
[00:18:36.470 --> 00:18:39.672]  Department of Health, Education, and Warfare.
[00:18:39.672 --> 00:18:45.555]  They call it Welfare, and it goes back to how they knew that most cancer was caused by viruses.
[00:18:45.555 --> 00:18:48.176]  And now they're giving you a cancer virus injection.
[00:18:49.540 --> 00:18:51.742]  They know the general public can't help it.
[00:18:51.742 --> 00:18:57.406]  They just can't believe they're being attacked, so they'll Stockholm Syndrome and rationalize and say, oh, it's the non-vaccinated causing it.
[00:18:57.406 --> 00:18:58.727]  You know, that's not true.
[00:18:58.727 --> 00:19:02.850]  Here's that Oscar de la Hoya story I was telling you about from NBC News.
[00:19:02.850 --> 00:19:10.597]  Oscar de la Hoya hospitalized with COVID withdraws from Victor Belafonte fight.
[00:19:10.597 --> 00:19:13.799]  And he's there fighting for his life after the second shot.
[00:19:13.799 --> 00:19:14.900]  And it just goes on.
[00:19:15.572 --> 00:19:17.574]  and on from there.
[00:19:17.574 --> 00:19:30.425]  Now let's talk about our children and let's hear from some very respected and esteemed medical doctors on what's really happening because something so huge happened this week.
[00:19:30.425 --> 00:19:39.813]  In the UK their main regulatory body of the government said do not give under 16s any of these experimental shots and they said don't give people
[00:19:40.802 --> 00:19:45.023]  The EU also came out and said don't give people a third jab.
[00:19:45.023 --> 00:19:49.064]  Now the EU government is saying they're going to override their CDC and their FDA and
[00:19:59.406 --> 00:20:09.751]  Also, Boris Johnson, I've got a clip of him right here, also said he's going to override their own bureaucrats that have worked at the big companies and believe in vaccines.
[00:20:09.751 --> 00:20:15.895]  But see, they know this stuff is really bad and worse than any problems vaccines ever had, because this isn't a problem.
[00:20:15.895 --> 00:20:17.055]  This is by design.
[00:20:17.055 --> 00:20:19.777]  Again, let that sink in.
[00:20:19.777 --> 00:20:23.218]  In late August, now we're already into September, in the year 2021,
[00:20:24.813 --> 00:20:38.444]  The regulators in Europe, the regulators in the UK, and the regulators in the United States came out and said, don't do this.
[00:20:38.444 --> 00:20:39.684]  Oh, that's right.
[00:20:39.684 --> 00:20:42.266]  They didn't just do it in the EU or the UK.
[00:20:42.266 --> 00:20:47.210]  This week, last Monday, what happened?
[00:20:47.210 --> 00:20:54.396]  We saw the number one and number two regulators over the FDA come out and say, don't give it to children.
[00:20:55.740 --> 00:21:06.468]  Under 16 don't give people the booster shots and that politicians and Big Pharma were making the decisions for the FDA that that shouldn't happen.
[00:21:06.468 --> 00:21:11.092]  Now the head of the FDA says she's going to go ahead and ram this through anyways.
[00:21:11.092 --> 00:21:17.777]  She's the lady that approved Oxycontin and of course Fentanyl and allowed it to be used on children.
[00:21:18.689 --> 00:21:25.315]  Oh, and by the way, the big opium company that brought out OxyContin in their own documents 20 years ago that said, we're going to addict people with this.
[00:21:25.315 --> 00:21:28.839]  It's as strong as heroin, but we're going to claim it's not addictive.
[00:21:28.839 --> 00:21:34.003]  They have been given immunity by the federal court.
[00:21:34.003 --> 00:21:35.745]  No jail time, no nothing.
[00:21:35.745 --> 00:21:36.846]  I'm going to say it again.
[00:21:36.846 --> 00:21:41.791]  The people that dumped OxyContin on America that's killed millions of people.
[00:21:42.935 --> 00:21:43.976]  They're saying it's okay.
[00:21:43.976 --> 00:21:50.820]  So that's the federal courts green lighting what they've just done to us with these poison shots as well.
[00:21:50.820 --> 00:21:53.142]  Truly disgusting.
[00:21:53.142 --> 00:21:55.423]  But I just want to say it again because it's so big.
[00:21:55.423 --> 00:22:10.093]  In the EU, in the UK, in the US, all the regulatory heads, the heads, have said do not give these under-16s, do not do the third quote booster shot, and that we have big pharma and politicians telling us what to do and this is dangerous.
[00:22:11.377 --> 00:22:14.991]  So they got stampeded into going along with this and emergency authorization.
[00:22:14.991 --> 00:22:16.899]  The FDA two weeks ago did not authorize.
[00:22:17.691 --> 00:22:23.753]  They did a new emergency authorization and said in 2025 we might give it real authorization.
[00:22:23.753 --> 00:22:27.454]  But they're using that fake authorization to now go after our military.
[00:22:27.454 --> 00:22:30.335]  I mean, this is criminal activity out in the open.
[00:22:30.335 --> 00:22:33.917]  So let's hear from Dr. McCullough.
[00:22:33.917 --> 00:22:38.959]  Let's hear from other expert medical doctors around the world as well.
[00:22:38.959 --> 00:22:42.940]  And then we're going to have a little clip from Fauci flip-flopping, and I'll be back.
[00:22:43.390 --> 00:22:50.456]  Just to be clear, that's the Pfizer registrational trials published in the New England Journal of Medicine, May 27th.
[00:22:50.456 --> 00:22:58.342]  Keep in mind that the USFDA approved the Pfizer vaccine for that group before the release of that paper.
[00:22:58.342 --> 00:23:04.027]  They approved the vaccine on May 10th with only the information on the antibodies.
[00:23:04.027 --> 00:23:08.651]  So our USFDA, in their approval letter, did not consider any safety information.
[00:23:10.871 --> 00:23:13.052]  That's unprecedented that our U.S.
[00:23:13.052 --> 00:23:17.094]  FDA would not safeguard children and carefully abuse safety.
[00:23:17.094 --> 00:23:25.237]  It's unprecedented and it's a form of agency malfeasance that is wrongdoing by those in position of authority.
[00:23:25.237 --> 00:23:30.479]  As a whistleblower attempt, but we have a very broad malfeasance.
[00:23:31.059 --> 00:23:39.183]  We have a unification of doctors groups, the media, the FDA, the CDC, the NIH.
[00:23:39.183 --> 00:23:44.685]  None of them are presenting or reviewing safety whatsoever.
[00:23:44.685 --> 00:23:45.945]  None of them.
[00:23:45.945 --> 00:23:49.107]  And there's no presentation of safety to the public.
[00:23:49.107 --> 00:23:49.287]  None.
[00:23:50.165 --> 00:24:02.940]  Committee members also questioned what would happen to individuals if they refused to participate in the World Debt Reset Program or the Health Pass or the vaccination schedule.
[00:24:03.820 --> 00:24:07.141]  The answer we got was very troubling.
[00:24:07.141 --> 00:24:18.566]  Essentially, we were told it was our duty to make sure we come up with a plan, meaning the Liberal Party was told that it was their duty to come up with a plan to ensure that would never happen.
[00:24:18.566 --> 00:24:23.687]  We were told it was in the individual's best interest to participate.
[00:24:23.687 --> 00:24:32.511]  When several committee members pushed relentlessly to get an answer, we were told that those who refused would first live under the lockdown restrictions indefinitely.
[00:24:33.231 --> 00:24:47.736]  And that over a short period of time, as more Canadians transitioned into the Debt Forgiveness Program, the ones who refused to participate would be deemed a public safety risk and would be relocated into isolation facilities.
[00:24:47.736 --> 00:24:50.678]  Once in those facilities, they would be given two options.
[00:24:50.678 --> 00:25:02.302]  Participate in the Debt Forgiveness Program and be released, or stay indefinitely in the isolation facility under the classification of a serious public health risk and have all your assets seized.
[00:25:03.314 --> 00:25:10.577]  As you can imagine, after hearing all of this, it turned into quite the heated discussion and escalated beyond anything I've ever witnessed before.
[00:25:10.577 --> 00:25:17.680]  In the end, it was implied by the PMO that the whole agenda will move forward no matter who agrees with it or not.
[00:25:21.281 --> 00:25:43.190]  French government to open 7,000 vaccination centers in school and it says from September they planning on doing this to children without parents consent and if the parents do not agree with this they can be fined 30,000 euro and two years in prison please pause and
[00:25:43.809 --> 00:25:44.930]  Read this.
[00:25:44.930 --> 00:25:45.510]  Share this.
[00:25:45.510 --> 00:25:50.193]  This is not something that the citizens of the United States right now should be worried about.
[00:25:50.193 --> 00:25:54.736]  There's no doubt that we knew that we would get cases here.
[00:25:54.736 --> 00:25:58.838]  There is no need to change anything that you're doing on a day-by-day basis.
[00:25:58.838 --> 00:26:08.484]  If you do those things, masks, no crowds, physical distance, personal hygiene, no doubt you're going to be able to turn these things around.
[00:26:08.484 --> 00:26:10.586]  When you're in the middle of an outbreak,
[00:26:11.366 --> 00:26:18.329]  Wearing a mask might make people feel a little bit better, and it might even block a droplet.
[00:26:18.329 --> 00:26:22.811]  But it's not providing the perfect protection that people think that it is.
[00:26:22.811 --> 00:26:24.652]  Make sure you wear a mask.
[00:26:24.652 --> 00:26:26.032]  So you wear a mask.
[00:26:26.032 --> 00:26:30.534]  Then you put a cloth mask over, which actually is much better.
[00:26:30.534 --> 00:26:35.357]  Another coronavirus that obviously jumped from an animal species.
[00:26:35.357 --> 00:26:38.158]  We don't know exactly how that happened.
[00:26:38.158 --> 00:26:40.459]  We have not ruled out the possibility
[00:26:40.999 --> 00:26:44.267]  That there could have been a leak from the lab?
[00:26:44.267 --> 00:26:48.536]  Should we have any worries about walking by someone on the street who may be unvaccinated?
[00:26:49.173 --> 00:26:49.873]  Not at all.
[00:26:49.873 --> 00:27:00.757]  I would have no concern walking down the street past a person who's not been vaccinated and even a person who's been infected because the protection is really quite substantial.
[00:27:00.757 --> 00:27:10.820]  We do know that the science shows now that even people who are vaccinated and get a breakthrough infection can transmit.
[00:27:12.094 --> 00:27:19.878]  All of the things that I have spoken about consistently from the very beginning have been fundamentally based on science.
[00:27:19.878 --> 00:27:31.265]  So if you are trying to, you know, get at me as a public health official and a scientist, you're really attacking not only Dr. Anthony Fauci, you're attacking science.
[00:27:31.265 --> 00:27:34.647]  You have to be asleep not to see that.
[00:27:34.647 --> 00:27:35.107]  Remember,
[00:27:36.598 --> 00:27:46.327]  This is about getting rid of open, free societies where you go to college, where you can go on vacations, where you have a swimming pool, where you can go to the national parks.
[00:27:46.327 --> 00:27:49.030]  The globalists think there's too many people.
[00:27:49.030 --> 00:27:53.795]  They've made the decision decades ago in major symposiums that have even been on TED TV.
[00:27:55.168 --> 00:27:56.449]  To depopulate the planet.
[00:27:56.449 --> 00:28:00.871]  That's why Bill Joy in 1999 wrote the article, Why the Future Doesn't Need Us.
[00:28:00.871 --> 00:28:09.877]  He said he went to a tech conference with all the top billionaires and they made the unofficial decision to carry out forced depopulation.
[00:28:09.877 --> 00:28:12.358]  And Bill Gates has publicly made those statements.
[00:28:12.358 --> 00:28:19.763]  So, I'm going to get to that coming up in a little while, even though we've harped on it and I've made films on it, like Endgame, it's free online.
[00:28:20.796 --> 00:28:24.659]  You gotta understand now, they've gone from beta testing to the operational.
[00:28:24.659 --> 00:28:27.622]  So let me show you what the depopulation looks like.
[00:28:27.622 --> 00:28:33.306]  They already rationed healthcare in the UK, where the average cancer surgery lasts a year and a half.
[00:28:33.306 --> 00:28:38.310]  With cancers that are not operated on, within just a few months, you have almost 100% death rate.
[00:28:40.353 --> 00:28:42.354]  But don't hear it from me.
[00:28:42.354 --> 00:29:02.640]  Hear under the rationing of the last year and a half around the world, where the hospitals were closed and wouldn't see people, and now tens of millions have died of cancer, tens of millions have died of suicide, tens of millions that UN estimates 20 million extra starved to death in the third world, mainly Africa, because there was no jobs.
[00:29:02.640 --> 00:29:04.580]  Everything got shut down.
[00:29:04.580 --> 00:29:06.661]  Killed dozens of times what COVID ever did.
[00:29:07.486 --> 00:29:10.408]  Because it's designed to depopulate.
[00:29:10.408 --> 00:29:20.497]  And I know you as regular viewers get this, but that's why you've got to take this report and share it with friends and family, or take the clips out that you think are most important and put them on Twitter and Facebook and Instagram and YouTube.
[00:29:20.497 --> 00:29:23.759]  Because if you don't, the globalists are going to win.
[00:29:23.759 --> 00:29:25.461]  You've got to show people this information.
[00:29:25.461 --> 00:29:31.446]  So let's play a clip from national television in England where a caller calls in and says doctors refuse to see him.
[00:29:33.561 --> 00:29:39.564]  For months and months and months and wouldn't even give him an antibiotic when he thought he had a skin rash.
[00:29:39.564 --> 00:29:41.945]  And it turned out it was cancer.
[00:29:41.945 --> 00:29:46.928]  And now they're saying, well, you're probably not going to live, so we're not going to even give you treatment.
[00:29:46.928 --> 00:29:49.449]  That's what it's like to live under this system.
[00:29:49.449 --> 00:29:55.892]  I remember six, seven years ago, Paul Joseph Watson that does work for Infowars.com had a cold for a few weeks, was coughing up blood.
[00:29:56.653 --> 00:29:58.394]  How to backdrill infection, you'll later learn.
[00:29:58.394 --> 00:30:00.376]  You have to go to the National Health Service first.
[00:30:00.376 --> 00:30:04.879]  They have private clinics for the rich, but you gotta get permission to go to them, and he's not rich.
[00:30:04.879 --> 00:30:14.146]  And he goes, and they give him just a pack of aspirin, Tylenol, and some tissues.
[00:30:14.146 --> 00:30:17.128]  And he coughs up blood more, and he's about to die.
[00:30:17.128 --> 00:30:24.554]  He goes to them, and he finally gets permission to go to a private clinic, pays them thousands of pounds, thousands of dollars,
