[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[03:09.000 --> 03:29.000]  But again, there is an evil instinct to the parasites that they want to dominate and they want to control and they want to run the other 52% that actually produces and they have a crazed out of their mind mentality that they're in an existential battle.
[03:29.000 --> 03:36.000]  They're like a drowning person projecting all their problems, all their issues onto us and it's legendary.
[03:36.000 --> 03:43.000]  Ladies and gentlemen, I'm going to break down when we come back from break with the president and he says, I'm going to lay out the latest news, but here's the deal.
[03:43.000 --> 03:51.000]  Obama committed massive crimes starting in his second administration, ordering ICE to let illegals pour into the United States.
[03:51.000 --> 03:53.000]  They covered it up by saying, oh, it's children.
[03:53.000 --> 03:56.000]  No, it was 17% below the age of 18.
[03:56.000 --> 03:59.000]  Didn't vet them for diseases, anything.
[03:59.000 --> 04:01.000]  Didn't even care about them.
[04:01.000 --> 04:03.000]  It was about getting rid of the borders, setting a precedent.
[04:03.000 --> 04:08.000]  That right there was an impeachable offense, but Congress didn't do anything.
[04:08.000 --> 04:16.000]  We went out of the border and broke that news with emergency managers admitting it on tape and Border Patrol telling us on video.
[04:16.000 --> 04:17.000]  Info wars broke that.
[04:17.000 --> 04:23.000]  That's why they hate the fact we're here because we'll bring on information nobody else will touch because it is so powerful because it is so dangerous.
[04:23.000 --> 04:32.000]  He ordered, under dereliction of duty, the Border Patrol to ignore the law and to let people in.
[04:32.000 --> 04:41.000]  The FBI called me, didn't do Jack Diddly squat about that, but oh, in a meeting, he's there with the president saying, gee, I sure hope, you know, in your case that you're able to drop this on Flint.
[04:41.000 --> 04:43.000]  Didn't say you're ordered to drop it.
[04:43.000 --> 04:44.000]  Didn't say I'm the president.
[04:44.000 --> 04:45.000]  I'm telling you to do this.
[04:45.000 --> 04:46.000]  That would be obstruction.
[04:46.000 --> 04:48.000]  He said, gee, I sure hope we can get this moving forward.
[04:48.000 --> 04:49.000]  I think he's a good guy, don't you?
[04:49.000 --> 04:50.000]  FBI director.
[04:50.000 --> 04:52.000]  Yeah, I think he's a great guy.
[04:52.000 --> 04:54.000]  That's a transcript, supposedly.
[04:54.000 --> 04:56.000]  They turned that into Trump's the threat.
[04:56.000 --> 04:58.000]  No, Trump's the threat to the globalist.
[04:58.000 --> 04:59.000]  That's why they want him gone.
[04:59.000 --> 05:28.000]  Stay with us.
[05:29.000 --> 05:33.000]  Well, we're created by intelligence services can backfire on its creators.
[05:33.000 --> 05:38.000]  Quote, Microsoft's management has made it clear that the virus originated from U.S. intelligence services.
[05:38.000 --> 05:39.000]  End of quote.
[05:39.000 --> 05:46.000]  Putin said that last year, Washington refused Russia's proposal on cybersecurity threats with the aim of drafting a bilateral agreement.
[05:46.000 --> 05:58.000]  Now, regarding the forum's main intent, Putin said that the plan is for the greater Eurasia, not to just be an abstract geopolitical arrangement, but a truly civilization-wide project looking toward the future, which can be achieved through the spirit
[05:58.000 --> 05:59.000]  of cooperation.
[05:59.000 --> 06:28.000]  This has been Daria for Infowars.com.
[06:29.000 --> 06:36.000]  Superblue contains natural oils and ingredients used since Biblical times to help wipe out bad bacteria and eliminate bad breath.
[06:36.000 --> 06:44.000]  Just some of the ingredients in Superblue chosen by our dental experts include xylitol, peppermint oil, iodine, nano-silver, and more.
[06:44.000 --> 06:52.000]  Due to requests from lifters who found that spearmint was a little bit too strong for some of their children, we have created the new bubblegum flavored Superblue that is spearmint free.
[06:52.000 --> 07:01.000]  Learn more about the new bubblegum flavored Superblue toothpaste and more at InfowarsLife.com and support the Infowar while you support healthy gums and teeth.
[07:01.000 --> 07:05.000]  A new shipment of bio-truth selenium is now available at InfowarsLife.com.
[07:05.000 --> 07:07.000]  We've been sold out for months.
[07:07.000 --> 07:12.000]  Our one-of-a-kind InfowarsLife bio-truth selenium formula is now back in stock at InfowarsLife.com.
[07:12.000 --> 07:16.000]  This is the true selenium formula that has rocked the nutraceutical industry to its core.
[07:16.000 --> 07:26.000]  Nearly every other selenium supplement on the market is produced with synthetic selenium, but bio-truth selenium is made from a source of 100% organic mustard seed.
[07:26.000 --> 07:29.000]  The effects of the essential trace mineral selenium are well known.
[07:29.000 --> 07:41.000]  From supporting the thyroid gland and immune system to DNA production and eyesight, bio-truth selenium is also the perfect supercharger to survival shield X2 nascent iodine as both help support a healthy thyroid and many other systems.
[07:41.000 --> 07:46.000]  Visit InfowarsLife.com to order your bottle of bio-truth selenium before we sell it again.
[07:46.000 --> 07:55.000]  That's InfowarsLife.com to secure your selenium and other key products that don't only help yourself and your family, but also fund our operation against the globalist, A360Win.
[07:55.000 --> 08:12.000]  We didn't ask for this fight, but we're in this fight. This is the time to support Infowars. That's InfowarsLife.com.
[08:25.000 --> 08:41.000]  Some of them want to abuse you. Some of them want to get used by you. Some of them want to abuse you. Some of them want to be abused.
[08:41.000 --> 08:56.000]  It was about a month and a half ago in March that Atlantic Monthly, one of the most elite globalist publications where they actually communicate with each other like Foreign Affairs or New Yorker Magazine or the Financial Times of London.
[08:56.000 --> 09:06.000]  Pretty much everything else is for public consumption. And if you read The New Yorker, if you read Atlantic Monthly, if you read The Economist, that's another one.
[09:06.000 --> 09:22.000]  They are openly saying overthrow Trump, kill Trump, and use continuity of government to remove the entire Tea Party freedom caucus claiming they're all Russian agents and use the military to do it.
[09:22.000 --> 09:43.000]  Now, at that time, when I cover the article rewriting the rules of presidential succession, you notice I told you months before they'd use COG and they'd use the parallel FEMA government that's designed originally if we get hit with a nuclear attack or an asteroid or a mass plague, whatever the case may be,
[09:43.000 --> 09:53.000]  that there's an emergency backup government. But always that emergency backup government can then plan in parallel and with funding to create their own coup d'etat.
[09:53.000 --> 10:02.000]  And this happens in many other nations. And there's been behind the scenes attempts at using COG previously to bring down Ronald Reagan.
[10:02.000 --> 10:17.000]  In fact, the COG intended him to die in 1981. He didn't die from the gunshot wound. And so the deep state that had become activated by Alexander Haig then had to pull back.
[10:17.000 --> 10:23.000]  And of course, it was Alexander Haig, who many experts believe was deep throat that helped bring down Nixon as well.
[10:23.000 --> 10:40.000]  Well, the Naval Intelligence Officer Bob Woodward. This time it's a little bit different because a lot of the deep state is actually for Trump, once Americana, once prosperity and doesn't want the destruction of this country.
[10:40.000 --> 10:55.000]  Now, here's what I'm going to lay out for you today. Several big points. And I hope the Congress listens. I hope that the President listens. I hope you listen.
[10:55.000 --> 11:04.000]  I hope our radio affiliates listen. I hope foreign governments listen. I hope the whole world pays attention because I've studied how our government really works.
[11:04.000 --> 11:16.000]  I've studied the deep state. Use that term 20 plus years ago. Shadow government I use 20 plus years ago because those are real terms that were there starting back in the 50s.
[11:16.000 --> 11:24.000]  I just became aware of it in the last 25 years. And so they love to call me conspiracy theorist and just throw that out there.
[11:24.000 --> 11:34.000]  But if you turn on the news now, Fox News, they're saying information wars being used against the president and attempt to overthrow him so multinationals can take over the United States.
[11:34.000 --> 11:45.000]  You tune over to CNN. Dana Bash goes, yeah, this is deep state revenge against Trump. We're taking over. Chuckie Schumer is out there saying the intelligence community's got six ways to Sunday to bring you down.
[11:45.000 --> 11:48.000]  Trump better watch your butt.
[11:48.000 --> 12:08.000]  Globalism, world government, carbon taxes, one child policies, AI supercomputers, total surveillance, everything I laid out 20 years ago is now water cooler talk every single day.
[12:08.000 --> 12:22.000]  Now, everybody might want to hear what's coming next, because I'm going to tell you the different avenues we've got here, kind of like those novels you read back in junior high that have choose your own adventure that have three or four different endings.
[12:22.000 --> 12:41.000]  Let me go through the different scenarios that we're going to go down here. And it could be a mix of several of these, but I'm going to tell you exactly where we were, where we are. And boy, Lordy, Lordy Lordy to quote the former FBI director, where we're going.
[12:41.000 --> 12:57.000]  And I suggest everyone get out pencils and paper. And I suggest everybody have a real discussion about this and people look into what I'm going to say, what we're going to put on screen and the clips we're going to play, because they're not planning a soft coup.
[12:57.000 --> 13:03.000]  If they're successful, take it on Trump. They're going to shut down the independent media.
[13:03.000 --> 13:11.000]  They're going to charge people. They're going to arrest people. They're going to reeducate people. That is all in the current Pentagon manuals.
[13:11.000 --> 13:21.000]  Why do you think the Pentagon got upset and helped put Trump in? Because they knew what the next phase was with Hillary shutting down the press, arresting her opposition in mass.
[13:21.000 --> 13:35.000]  And it's not that the military and even the smarter guys at the CIA are angels. They understand it will trigger an extended long term, bloody hot war in this country.
[13:35.000 --> 13:43.000]  So there are people that want stability. They want free market. They want prosperity. It's better for America. It's better for the world.
[13:43.000 --> 13:57.000]  Socialism, collectivism, crony capitalism is a nightmare and only works for the one tenth of one percent. So the people that just want stability and business and don't want to mount America's head on the wall,
[13:57.000 --> 14:05.000]  they're trying desperately to block the next phase. See, Trump's just holding back what was already about to be put in place.
[14:05.000 --> 14:19.000]  So I'm going to lay down the facts. I'm going to lay them out where we've been, where we are, where we're going. But let me just give you a basic summation here.
[14:19.000 --> 14:31.000]  In the last four or five months, I've told you, since he was president-elect, this is a deep state coup d'etat operation to undermine him, to destroy him in the public eye first.
[14:31.000 --> 14:37.000]  And then they're not going to let Trump go to prison or even step down. They know he won't. They're going to kill him.
[14:37.000 --> 14:42.000]  And the best minds agree with me. They're going to kill him at the peak of the investigation.
[14:42.000 --> 14:52.000]  Donald Trump is a dead man. He's a dead man. He's dead. He's walking dead right now unless we counter this.
[14:52.000 --> 15:03.000]  Because I'm not just going to lay out where we've been, where we are, where we're going. We can change where we're going if we admit how much trouble we're in.
[15:03.000 --> 15:10.000]  And let me say something else to everybody. A lot of you claim you want to fight tyranny. A lot of you claim you wanted free market.
[15:10.000 --> 15:18.000]  A lot of you claim you want to be American. Our forebears had to fight bloody wars for what we've got.
[15:18.000 --> 15:27.000]  If you won't fight information war, if you won't spend money in this fight, if you won't buy time on local radio, if you won't call C-SPAN, if you won't put billboards up,
[15:27.000 --> 15:35.000]  if you won't go talk to your state house, if you won't go talk to your congresspeople, NDC, and get them by the hand and tell them you know what's going on,
[15:35.000 --> 15:47.000]  and if they go along with this takeover of America, they're going to be held accountable. If you don't do that, we're going to lose the information war and then we don't have any recourse
[15:47.000 --> 15:54.000]  but to defend ourselves because let me tell you something. These people, these globalists, they want us. They have said they want to snuff us out once and for all.
[15:54.000 --> 16:12.000]  This is an existential warrior in the very same Bolsheviks that came out of New York and London and Paris and major German cities like Berlin that took over Russia
[16:12.000 --> 16:24.000]  and exterminated the Christians in Mass. That same disease is in America and plans a hot Bolshevik war.
[16:24.000 --> 16:32.000]  David Horowitz was brought up in New York City by parents that came out of this and he'll warn you all day, they want to kill everybody
[16:32.000 --> 16:39.000]  and I'm just telling you right now, they mean business. They will line you and your family up and they'll shoot you in the head and they'll rape your daughters
[16:39.000 --> 16:44.000]  and they'll kill your sons and they'll make your wife work in a field till she dies.
[16:44.000 --> 16:54.000]  So, you want to understand where we're at? We've got the Bolshevik Revolution 2.0 with a crazy Nazi collaborator, George Soros, who you know is making money.
[16:54.000 --> 17:03.000]  They knew as soon as this impeachment stuff got launched and as soon as Republicans started getting on board, the stock market started plunging, you can bet every red cent in your little piggy bank.
[17:03.000 --> 17:10.000]  George Soros is making a bunch of money today off this. But that's okay because he's a Nazi collaborator. He's above the law.
[17:10.000 --> 17:18.000]  It's okay for Obama to open the borders up and ignore the law and bring in illegals and bringing folks with diseases and not even vet them and violate all these federal laws
[17:18.000 --> 17:25.000]  because he's above the law. Oh, but Trump probably might have said, oh, I hope you can see it through in your own research.
[17:25.000 --> 17:33.000]  I hope that we don't have to charge him with anything. That's totally, that's the president. But anybody could say, I sure hope that nothing's here.
[17:33.000 --> 17:38.000]  I hope it doesn't have to go forward. I think he's a great guy. I don't think he did anything. That's the president's free speech.
[17:38.000 --> 17:46.000]  That's not even obstruction of justice, but the president says that's not accurate and what was it said and that's why he's got it recorded.
[17:46.000 --> 17:53.000]  And notice, no one gets to see the memo. No one knows who said it. It's okay though because the deep state says so.
[17:53.000 --> 18:03.000]  So we're going to lose this whole country because the globalists want to militarily politically capture it. They already had it partially captured.
[18:03.000 --> 18:20.000]  That's where we've been controlled for decades, manipulated all these cowards put musicians of power, all these big oligarch combines of corporations and groups that are milking us and consolidating control
[18:20.000 --> 18:24.000]  and shutting down their competition and dumbing down the population to secure their victory.
[18:24.000 --> 18:31.000]  None of them ever stick their head up above the grass though. They all just as a combine commit their crimes and slowly take over society.
[18:31.000 --> 18:38.000]  And now we got to the point where they want to bring in millions of unwashed radical Islamists and they want to further break up our families.
[18:38.000 --> 18:45.000]  They want to tell us there are no genders, male and female, existing or bad and hurt others. This is all happening and Mother's Day is banned.
[18:45.000 --> 18:53.000]  And so they want to fully conquer us as a civilization, use what's left of America's wealth and power to expand their unelected corporate world government.
[18:53.000 --> 19:03.000]  So that's where we are, but their carbon taxes are getting killed. Their foreign multinational TPP of total takeover of Congressional power is killed by President Trump.
[19:03.000 --> 19:10.000]  The coal they turned off is killed by Trump. He's making it cool to be American again. He's bringing sovereignty back. He's bringing wealth back.
[19:10.000 --> 19:17.000]  So you don't want to be the 48% that don't work because you can make a lot of money actually working. He's turning the engine of liberty back on.
[19:17.000 --> 19:25.000]  The engine of renaissance and they're panicking. That's where we are. And all their propaganda and all their lies got defeated.
[19:25.000 --> 19:32.000]  And patriots in the government like Seth Rich and the Democratic Party burned them and exposed what criminals they are.
[19:32.000 --> 19:41.000]  And now the whole deep state and the EU and the Vatican and the Communist Chinese, all of them are focused against America.
[19:41.000 --> 19:49.000]  All the forces of Mordor against Midas Tirith, if you want to use the archetypal example of Lord of the Rings.
[19:49.000 --> 20:00.000]  All the power focused to bring us down once and for all and to destroy Trump. And if Trump falls, make no mistake, our chances of fixing things peacefully are falling.
[20:00.000 --> 20:02.000]  America's dying.
[20:31.000 --> 20:40.000]  Many books have been written regarding the law of attraction. But what if all these books are missing the most important information we can use when it comes to activating this law in our lives?
[20:40.000 --> 20:51.000]  The new book, It's Time to Align, the most powerful self-help book ever written by Alan Laudinger, takes a look at how the law of attraction really works and how it is being suppressed in our lives.
[20:51.000 --> 20:56.000]  Learn how to overcome this manipulation and how to experience alignment with the creative power of the universe.
[20:56.000 --> 21:01.000]  Get the new book, It's Time to Align, available at Amazon.com.
[21:26.000 --> 21:31.000]  The book is about the most powerful self-help book ever written by Alan Laudinger.
[21:31.000 --> 21:36.000]  It's about the power of attraction.
[21:36.000 --> 21:41.000]  The power of attraction is the power of the universe.
[21:41.000 --> 21:46.000]  The power of attraction is the power of the universe.
[21:46.000 --> 21:56.000]  I'm a long way from the caveman my ancestors were, but I'm sure as hell trying to get back to that essence that made us what we were, and this is a big part of it.
[21:56.000 --> 22:20.000]  Check out Caveman, ultimate paleo formula for yourself and Forrest Limes.com today.
[22:27.000 --> 22:36.000]  The answer to being in control of your own health care is freedom from insurance.
[22:36.000 --> 22:42.000]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[22:42.000 --> 22:47.000]  Individual share amounts begin at $107 a month and $347 for families.
[22:47.000 --> 22:49.000]  Choose from three health sharing programs.
[22:49.000 --> 22:56.000]  If you have any comments, maybe eligible for sharing, see guidelines. Discount programs available for dental, vision, and pharmacy.
[22:56.000 --> 23:20.000]  This is a money saving message from tax mediation services. If your business owes $20,000 or more in taxes, we can help you today, right now.
[23:20.000 --> 23:28.000]  Your attorneys know every law, every tax break, and every possible opportunity to help you resolve and reduce your tax debt.
[23:28.000 --> 23:32.000]  And if you owe more than $20,000, you may be at the top of their hit list.
[23:32.000 --> 23:36.000]  So don't take your tax debt lightly because it will not go away on its own.
[23:36.000 --> 23:42.000]  The IRS can seize your bank accounts, your home, and even shut down your business.
[23:42.000 --> 23:51.000]  Call our tax experts today at 1-800-765-9681 and let us deal with the IRS while you focus on your business.
[23:51.000 --> 24:01.000]  That's 1-800-765-9681. Again, that's 800-765-9681.
[24:01.000 --> 24:13.000]  Federal agents, we are armed!
[24:13.000 --> 24:21.000]  Ladies and gentlemen, I'm going to explain this very, very slowly and very, very clearly.
[24:21.000 --> 24:37.000]  We have to break down what's currently happening in America and all over the world. We have to lay out who the players are and we have to, as citizens, develop battle plans to defend this republic and to defend other sovereign free market nations.
[24:37.000 --> 24:48.000]  Now the good news is, Australia went under pure carbon taxes and absolute open borders for a while. The public battled back, took their government back, and has reversed much of it.
[24:48.000 --> 24:57.000]  Same thing happened in England, same thing is happening in Iceland. Italy has said no to EU expansion. Greece is battling back, Russia is battling back.
[24:57.000 --> 25:07.000]  Brazil is just it. We can see the numbers on the metrics. Huge audience out of Brazil. And I get all sorts of letters and emails and I just see it all over the web.
[25:07.000 --> 25:19.000]  Brazil knows about the New World Order and is just in total war against socialism because they've seen Venezuela, they've seen Argentina, they've seen rich countries as rich as the US, richer in the case of Argentina.
[25:19.000 --> 25:28.000]  God. Socialism. And it happens over a few generations and then you're totally poor.
[25:28.000 --> 25:41.000]  And they're living in slums with huge, beautiful buildings that were built 50, 60, 70 years ago all around them and wondering why their grandparents had electricity 24 hours a day and great culture and life and money and then why they have nothing.
[25:41.000 --> 25:52.000]  Because you got sold out by socialism because they created a system where the elite live in palaces and then you have nothing. Socialism doesn't exist. It's a scam.
[25:52.000 --> 26:05.000]  But I digress, ladies and gentlemen. President Trump, I don't care that the president's called me and thanked me and I've talked to the president. It means nothing.
[26:05.000 --> 26:13.000]  I'm not into Hollywood. I'm on the famous people. I'm not defending Trump because he's like a sports team that I'm a fan of.
[26:13.000 --> 26:28.000]  Trump is the archetype of America now, standing bullish in the face of the tyrants, the intimidation, the demonization, the lies, them trying to rig the election against him, all the foreign money, all the foreign intelligence, all the horrible things done to his family,
[26:28.000 --> 26:36.000]  the weakness of many people in his family, but he still brings them along with him, the weakness of the people he pulls from in the Republican Party.
[26:36.000 --> 26:52.000]  But still delivering on the economy, delivering on sovereignty, delivering on standing against ISIS that Obama helped create, defending Christians, speaking out about the genocide of Christians, doing amazing things, getting a good Supreme Court justice in.
[26:52.000 --> 26:58.000]  So let me tell you, we've talked about the past and the present and what deep state's doing. I'll talk more about that in the next segment.
[26:58.000 --> 27:13.000]  But I want to talk about where we're going. They have said in the Atlantic Monthly and in the New Yorker magazine and now in foreign affairs and now in public affairs of the Washington Post, all the exact same thing.
[27:13.000 --> 27:31.000]  A battle plan on overthrowing Trump and then removing all the Republicans that got elected in the last election, claiming they're all Ruskies and reversing it all, the awakening, the libertarian, conservative, American awakening.
[27:31.000 --> 27:47.000]  It already has a phalanx, beachhead in Congress and in the states and the legislatures, a total tsunami, political realignment that only happens every 80 years or so on average.
[27:47.000 --> 28:04.000]  The third realignment in our history of the United States of America, the longest standing continual government in world history because it had a Constitution and Bill of Rights, wasn't perfect but was light years ahead of the rest.
[28:04.000 --> 28:15.000]  It now is teetering, hanging by a thread. They love to use that term. We are hanging by a thread and they're destroying the thread in real time.
[28:15.000 --> 28:27.000]  We're rebuilding the thread in real time. It is a epic battle of forces coming together right now and everything you do is so critical because we're not fighting tyrants that just want to take over.
[28:27.000 --> 28:40.000]  They want to destroy our families. They want to take our guns. They want to take our private property because they want to social engineer us and run us and fly above us in their jumbo jets while we don't have air conditioning or cars or medicine or education or future.
[28:40.000 --> 28:56.000]  These are the most greedy, evil people that the UN and the Clinton Foundation and Obama, they go around to third world countries and rob them and run slave mines and do the most horrible stuff you can imagine like Bono giving less than 1% of the billions he raises for African aid.
[28:56.000 --> 29:16.000]  These are the worst, most greedy, horrible, evil people the world has ever seen and they see America as the ultimate engine of power and if they can just get full control and if they can just settle their score with the old American system and defeat us,
[29:16.000 --> 29:40.000]  defeat the Renaissance, the old America is the new world, is the future, is the new Atlantis, if they can just destroy that they win. How could you question if Trump isn't for real when the entire corrupt evil system of the world is trying to bring him down and they invert reality and say he's back by a foreign power that can barely run its own affairs while the EU, the Vatican, the
[29:40.000 --> 29:53.000]  communist, Chinese, all these other countries, globalist groups, Hollywood, the big banks are all waging war against Trump because he represents us, we are under attack.
[29:53.000 --> 30:22.000]  America is being killed before your eyes.
[30:22.000 --> 30:31.000]  Wheeler told Fox 5 DC, I have a source inside the police department that has looked me straight in the eye and said Rod, we were told to stand down on this case and I can't share any information with you.
[30:31.000 --> 30:41.000]  Now that is highly unusual for a murder investigation, especially from a police department. When asked if there's information that links Seth Rich to WikiLeaks, Wheeler replied, absolutely, yeah, that's confirmed.
[30:41.000 --> 30:54.000]  Now of course the DC police are saying, oh no, there's no cover up, neither they nor the FBI have been helping Wheeler out in this case. Alex Jones broke all this down in a video back in August of 2016 titled, does Assange have proof of Clinton murder?
[30:54.000 --> 31:14.000]  Now let's see how long it takes Seth Rich's trending on Twitter.
[31:14.000 --> 31:43.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats and amino acids that needs to do its healing work.
[31:43.000 --> 31:54.000]  You need to check out InfowarsTeam.com. Give your body the gift of good nutrition, head over to InfowarsTeam.com. Your body will be very grateful.
[31:54.000 --> 32:20.000]  On the web at InfowarsTeam.com. That's InfowarsTeam.com.
[32:20.000 --> 32:32.000]  When bacteria infect your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks. That's why the last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[32:32.000 --> 32:53.000]  Super Blue fluoride-free toothpaste is a groundbreaking new formula that's loaded with good halogen iodide instead of the bad halogen fluoride. Super Blue contains natural oils and ingredients used its biblical times to help wipe out bad bacteria and eliminate bad breath. Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodide, nano silver and more.
[32:53.000 --> 33:19.000]  Learn more about InfowarsLife Super Blue toothpaste at InfowarsLife.com and support the Infowar while you support healthy gums and teeth.
[33:19.000 --> 33:27.000]  Rallying Patriots Worldwide in Defense of Human Liberty. It's Alex Jones.
[33:27.000 --> 33:50.000]  Now, coming up, I'm going to lay out their battle plan to bring down Trump. I've been telling you exactly how they do it from the beginning because I've studied deep state. I've studied their own writings. I'm not bragging when I tell you that. It's just you must understand that I am telling you point blank the reality of what's unfolding and what's happening.
[33:50.000 --> 34:07.000]  I went and saw a film a few weeks ago called The Promise that's based on AP transcripts and other journalists that were there of exactly what happened just from a bird's eye view and from a personal perspective in the Armenian genocide.
[34:07.000 --> 34:21.000]  And there's a scene in the film that historically happened, but it condensed several stories that happened on the road trying to get away from the Islamists, from the Turkish government that were coming to kill the Armenian Christians.
[34:21.000 --> 34:33.000]  Many villages were dumping out of the hills and were being told that they could go to another town to be rescued, but that town had already been overrun and everybody had been killed except for a few survivors.
[34:33.000 --> 34:41.000]  And despite the fact that the survivors were running the other direction telling people, we just came from there, they just killed everybody.
[34:41.000 --> 34:51.000]  We don't know where we're going, but we know that way you can't go. The people wanted the lottery ticket. They wanted to believe, no, there's ships there waiting to save us.
[34:51.000 --> 35:00.000]  We heard that a few days ago. We're going to get there. Well, those ships have been driven out. It had been occupied by what was left of the Ottoman Empire.
[35:00.000 --> 35:10.000]  And in the movie, he talks to a big group of people. They finally listen to him. He says, I've been there. They killed my wife. They killed my family. Believe me, you need to go.
[35:10.000 --> 35:19.000]  And the leader of one of the groups says, this man speaks the truth. Let's stay here and let's fight. So most of them did survive by going to the hills and fighting.
[35:19.000 --> 35:30.000]  The point is, I'm here telling you, I've been there, okay? I've seen what they do. I've studied history. I've studied the globals. I've seen what they've done to me and my family.
[35:30.000 --> 35:36.000]  A lot of them I can't talk about on air. Believe me, they're bad folks. There's no ifs ands or buts about the Democratic Party.
[35:36.000 --> 35:42.000]  Why do you think the Republicans are so scared of them? Why do you think Glenn Beck rolled over a few years ago and is working with them?
[35:42.000 --> 35:53.000]  Most people, when they find out just how evil this is, they roll over to it. Let me tell you something. The top of the Democratic Party are devil worshipers and pedophiles.
[35:53.000 --> 36:02.000]  That's a fact. It's all come out. Everybody knows it. They've got their PR firms out there, you know, trying to find a few cases where stuff didn't happen to then say there's no such thing as pedophilia.
[36:02.000 --> 36:17.000]  While they're on the news saying legalized pedophilia and trying to sexualize your kids, and Trump has busted over 5,000 pedophiles arrested with children and another 150,000 just got green-minded to be arrested who were caught in the whole playpen scandal.
[36:17.000 --> 36:24.000]  Notice none of that happened under Obama. We're seeing 10 times or more the arrest of pedophiles right now.
[36:24.000 --> 36:36.000]  And it's in the news. One time, every time they arrest 1,000 here, 400 there, 200 here, it's happening every day and there's almost no coverage.
[36:36.000 --> 36:47.000]  Trump has green-lighted the police and green-lighted the good people in our government to start going after this. There's a civil war going on against the pedophile army, ladies and gentlemen.
[36:47.000 --> 36:54.000]  You wonder why they're so evil? Pedophilia is just one level. The rabbit hole goes deeper.
[36:54.000 --> 37:02.000]  You've seen all these big bankers and all these big people coming out and saying, listen, it starts out with hookers and drugs. Next, it's underage hookers, 16 years old.
[37:02.000 --> 37:11.000]  Then, if you want to be in the club, you got to have sex with a kid. And then next, they want you to kill a little kid that they grabbed out of somebody's backyard a week before.
[37:11.000 --> 37:18.000]  And these people start breaking down on TV saying they couldn't do it.
[37:18.000 --> 37:24.000]  Oh, yeah. That's how you join the club. You know, Crips and Bloods or the Eastside Vatos or the different white supremacist gangs.
[37:24.000 --> 37:30.000]  You got to go kill a liquor store owner. You got to go shoot somebody. You got to go do something really, really nasty. You got to hit an old lady in the head with a hammer.
