[00:00.000 --> 00:02.000]  Wait and feel great!
[04:19.700 --> 04:28.700]  They're very adaptable, and these warm periods in the past, what we call hipsy thermals, pose no problem for them.
[04:28.700 --> 04:32.700]  Climate variation in the past is clearly natural.
[04:32.700 --> 04:37.700]  So why do we think it's any different today?
[04:37.700 --> 04:42.700]  In the current alarm about global warming, the culprit is industrial society.
[04:42.700 --> 04:49.700]  Thanks to modern industry, luxuries once enjoyed exclusively by the rich are now available in abundance to ordinary people.
[04:49.700 --> 04:53.700]  Novel technologies have made life easier and richer.
[04:53.700 --> 04:58.700]  Modern transport and communications have made the world seem less foreign and distant.
[04:58.700 --> 05:04.700]  Industrial progress has changed our lives, but has it also changed the climate?
[05:04.700 --> 05:11.700]  According to the theory of man-made global warming, industrial growth should cause the temperature to rise.
[05:11.700 --> 05:18.700]  All right, ladies and gentlemen, we'll be back with Alan Watt from Canada and your phone calls at 800-25-99231.
[05:18.700 --> 05:23.700]  I'll go over the days, important news, the economy, his outlook on the future, and a lot more.
[05:23.700 --> 05:27.700]  The always intriguing Alan Watt, straight ahead, I'm Alex Joe.
[05:30.700 --> 05:33.700]  We have a new president coming into office in January.
[05:33.700 --> 05:36.700]  His number one word of use is change.
[05:36.700 --> 05:39.700]  What if the change was not the change America expected?
[05:39.700 --> 05:44.700]  What if all natural products were handed over to the pharmaceutical companies to be eradicated?
[05:44.700 --> 05:49.700]  What if the only remedy for sickness and disease was to take drugs?
[05:49.700 --> 05:52.700]  This hasn't happened yet, I repeat, not yet.
[05:52.700 --> 05:56.700]  Prepare and defend your body with GetTheTea.com.
[05:56.700 --> 05:58.700]  That's GetTheTea.com.
[05:58.700 --> 06:05.700]  In an ever-changing world where toxins, chemicals, fluoride, infiltrate every level of your system every day,
[06:05.700 --> 06:09.700]  take charge and GetTheTea. Online, that's GetTheTea.com.
[06:09.700 --> 06:11.700]  GetTheTea.com.
[06:11.700 --> 06:16.700]  Or call us 928-308-0408.
[06:16.700 --> 06:21.700]  Order now, 928-308-0408.
[06:21.700 --> 06:26.700]  Don't wait until it's too late. GetTheTea.com.
[06:28.700 --> 06:34.700]  On September 11, 2001, along with hundreds of my fellow troops, I went to grounds here on
[06:34.700 --> 06:37.700]  and we knew what to do, or at least we thought we did.
[06:37.700 --> 06:44.700]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[06:44.700 --> 06:53.700]  Whitman, EPA director on the 18th made a statement that the air was safe to breathe.
[06:53.700 --> 07:00.700]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[07:00.700 --> 07:03.700]  He had his hand over the radio while he was getting a countdown.
[07:03.700 --> 07:09.700]  He takes his hand off in a year, three, two, one, and it was boom, boom, boom, boom, boom.
[07:09.700 --> 07:12.700]  This is an emergency transmission worldwide.
[07:12.700 --> 07:18.700]  Download Truth Rising at prisonplanet.tv and aggressively spread it worldwide.
[07:18.700 --> 07:21.700]  Or order the DVD at infowars.com.
[07:21.700 --> 07:27.700]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[07:27.700 --> 07:34.700]  Hello, I'm Steve Shank. We're entering a holiday season never before seen in America.
[07:34.700 --> 07:43.700]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force unpopular decisions.
[07:43.700 --> 07:49.700]  Without this warning, many of us who still have money available would have unknowingly wasted on our Christmas gifts
[07:49.700 --> 07:53.700]  that will be useless when the only food available isn't a government bread line.
[07:53.700 --> 07:57.700]  When the president is faced with the expected national security incident,
[07:57.700 --> 08:02.700]  the in-place patriot legislation will control transport and distribution of food.
[08:02.700 --> 08:06.700]  Those of us who are able to take care of ourselves must put in supplies of food.
[08:06.700 --> 08:12.700]  This will free up the relief organizations to give food to those unable or not smart enough to prepare.
[08:12.700 --> 08:18.700]  The greatest gift this Christmas is life itself, food for these unknown times.
[08:18.700 --> 08:27.700]  Call 800-409-5633 on the web eFoodsDirect.com 800-409-5633.
[08:28.700 --> 08:37.700]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[08:37.700 --> 08:51.700]  It is November 18, 2008. We've got an hour and 52 minutes left in this transmission broadcasting on the AM and FM dial.
[08:51.700 --> 09:01.700]  Transmitting and streaming over the web at infowars.com and prisonplanet.com as well as over different satellite systems.
[09:01.700 --> 09:06.700]  This is The Alex Jones Radio Show. I am Alex Jones.
[09:06.700 --> 09:15.700]  Our guest is Alan Watt of cuttingthroughthematrix.com again for the next hour and 51 minutes now.
[09:15.700 --> 09:22.700]  I know that we have Don and Costa Rica, Jimmy and Kentucky, Dustin and others holding over from the last hour,
[09:22.700 --> 09:24.700]  but Alan can speak to any subjects you want to call in about.
[09:24.700 --> 09:28.700]  If you want to talk to Alan Watt, it's 1-800-255-99231.
[09:28.700 --> 09:30.700]  I have a lot of questions I want to ask Alan.
[09:30.700 --> 09:34.700]  I want to have discussions with him and try to bring both of our knowledge of the New World Order
[09:34.700 --> 09:38.700]  and all of our knowledge together to a higher level because to defeat the enemy,
[09:38.700 --> 09:40.700]  you have to know who they are and what their agenda is,
[09:40.700 --> 09:46.700]  but we will start going to your calls in T-minus 20 minutes when we come out of the bottom of the outbreaks.
[09:46.700 --> 09:51.700]  Everybody be patient. We're going to get to everybody who is patiently holding.
[09:51.700 --> 09:57.700]  But Alan, last hour I had a caller call in, Mike from California saying,
[09:57.700 --> 10:04.700]  well, if they're saying they plan to kill 80% of us, how do they plan to do that? And I was explaining to him that it's incremental.
[10:04.700 --> 10:09.700]  First, they've got to socialize this, get us under government control, being regulated, being tracked, being traced,
[10:09.700 --> 10:16.700]  in government schools where they always have things more far advanced than they are for the adults.
[10:16.700 --> 10:21.700]  This is all part of programming, bringing in the new model,
[10:21.700 --> 10:27.700]  flushing out the old info, putting in the new, reducing the language, semantically reducing the language,
[10:27.700 --> 10:33.700]  drugging, poisoning, sterilizing the population. We have all the numbers on that. I want to go over that.
[10:33.700 --> 10:39.700]  But out of the gates, I wanted to ask you, because I've seen a lot of this in their club of Rome planning,
[10:39.700 --> 10:43.700]  UN planning, biological diversity assessments.
[10:43.700 --> 10:48.700]  We've seen a lot of it in the university level documents they're putting out.
[10:48.700 --> 10:53.700]  What the Rand Corporation is saying, what the British Ministry of Defense said last year that I know you covered extensively,
[10:53.700 --> 10:58.700]  as we did here, where they admit that there's a global elite and they're waging war against the individual,
[10:58.700 --> 11:06.700]  that they're putting in robotic aircraft so they can replace humans, even refusing to say nerve gas large cities.
[11:06.700 --> 11:12.700]  So can you walk through how, from the pieces we have, I know you've researched the same stuff I have,
[11:12.700 --> 11:18.700]  and even more in some cases because I hear you, I read you, I know it's all on target because it's from the enemy's own manual.
[11:18.700 --> 11:24.700]  So for listeners, this is not our opinion here. But again, they leave gaps in it. They explain a lot of it,
[11:24.700 --> 11:30.700]  but then you have to, it's all compartmentalized and partitioned. You have to put it all together.
[11:30.700 --> 11:37.700]  And they're not clear on timeframes, but they want to use global war, global famine, controlled bioweapons releases,
[11:37.700 --> 11:44.700]  to train us with each terror attack, each bioweapons release, being bigger to live in a more and more controlled society
[11:44.700 --> 11:50.700]  in the name of keeping us safe to get us finally in that totally controlled technological enslavement grid,
[11:50.700 --> 11:57.700]  control grid, so that they can then exterminate us en masse with the super bioweapons they have,
[11:57.700 --> 12:01.700]  and they say they're racing to do this to save the earth.
[12:01.700 --> 12:06.700]  So can you break down how you see that unfolding and where you see it going on and what?
[12:06.700 --> 12:11.700]  Yes, well, as far as bringing the population down, it's already happening.
[12:11.700 --> 12:16.700]  It's been happening for 50 years and their own statistics prove it.
[12:16.700 --> 12:24.700]  I read reports this last week or so from official reports on the sterilization of males, the CBC television,
[12:24.700 --> 12:31.700]  Canada, that's the BBC version of the Canadians, came up with a documentary called The Disappearing Male,
[12:31.700 --> 12:36.700]  where now 85% are more sterile.
[12:36.700 --> 12:39.700]  The West is dying from Russia to Japan to the United States.
[12:39.700 --> 12:46.700]  First World is dying at about 3-4% a year, but to be clear, you mean they slowed down the global growth?
[12:46.700 --> 12:53.700]  Absolutely, and there's more women, girls being born than boys now because the boys have been attacked in the womb
[12:53.700 --> 13:03.700]  by Spinal A and phthalates, which will literally alter the biological makeup of the male, the taxes, and the crime system at the age of 7 weeks as a fetus.
[13:03.700 --> 13:10.700]  And we're seeing them today, the family of males, they're much slimmer, they have no shoulders.
[13:10.700 --> 13:16.700]  Let's not glaze over that, and this is again main government documents, CBC broadcast,
[13:16.700 --> 13:25.700]  and what Alan and I have already covered, but there was codified, the baby boys are dying in the womb, in mass, being targeted if they make it out.
[13:25.700 --> 13:32.700]  I don't even want to say they're feminine, they're an emasculated male whose literal glands do not develop.
[13:32.700 --> 13:34.700]  Alan, please continue.
[13:34.700 --> 13:46.700]  And also in that same documentary, they said that 10 years ago they could take sperm samples from young healthy males in college around the age of 18,
[13:46.700 --> 13:59.700]  and they had 60 million sperm per million liter, and now the new normal is 10 million per million liter, so that's how far it's dropped.
[13:59.700 --> 14:08.700]  And so they keep dropping the normal sperm count for males, and the sperm that's left is a motile, is a motile dysfunctional,
[14:08.700 --> 14:15.700]  it doesn't find the target, it cannot go to the ovum, so technically most males today are almost completely sterile.
[14:15.700 --> 14:23.700]  And this is well understood, they've been studying this for 50 years, and so now they're releasing what they've always known for the last 50 years.
[14:23.700 --> 14:29.700]  And you have to go back 50 years to the writings of Charles Galton Darwin, who came out with his book,
[14:29.700 --> 14:36.700]  The Next Million Years, where he outlines on behalf of the elites the different techniques of doing this very thing,
[14:36.700 --> 14:42.700]  sterilizing the population, primarily targeting the males, and reducing them drastically.
[14:42.700 --> 14:48.700]  So it has been happening, people are always looking for a big apocalypse, and it doesn't happen that way,
[14:48.700 --> 14:54.700]  it happens gradually, quietly, and the big mainstream media make no big deal about it.
[14:54.700 --> 15:02.700]  Explain that, because you do that very well, they state it's silent weapons for quiet wars, they slowly turn up the ambient chemicals,
[15:02.700 --> 15:09.700]  the frequency pollution, what's in the water, the food, so that we slowly get used to the neighbors, the kids dying of cancer,
[15:09.700 --> 15:14.700]  the old people dying early, we slowly get used to everybody not being able to have babies on the block,
[15:14.700 --> 15:18.700]  except for the new third world populations that come in that haven't been under the chemicals,
[15:18.700 --> 15:24.700]  but then you take third world groups that have been here a generation, they're just as sterilized as blacks and whites.
[15:24.700 --> 15:26.700]  I mean, we're under hardcore attack right now.
[15:26.700 --> 15:35.700]  It's complete all out warfare, and now he discussed this with Charles Galton Darwin, he was a physicist in the 1950s,
[15:35.700 --> 15:44.700]  and you find Arthur Koesler also worked at the United Nations, Arthur Koesler is admitted now, Koesler was a member of MI5, MI6,
[15:44.700 --> 15:52.700]  and he taught at university in New York for a while, he worked for the United Nations, and he wrote about this necessity as well,
[15:52.700 --> 15:58.700]  of vastly reducing the population, but using the same techniques, in fact, that they've been using on animals,
[15:58.700 --> 16:07.700]  and basically animal management in the forestry commissions, they target primarily the males to bring their population down drastically,
[16:07.700 --> 16:08.700]  same techniques we use chemical.
[16:08.700 --> 16:13.700]  Yeah, they've been putting out baits to chemically sterilize badgers and foxes,
[16:13.700 --> 16:17.700]  and again, it's all done just like you manage animals, they even say that, go ahead please.
[16:17.700 --> 16:24.700]  Yes, they actually call it hair management when they discuss humans in the medical societies now openly.
[16:24.700 --> 16:30.700]  So this has been happening, we're seeing all the other side effects as the sperm count drops,
[16:30.700 --> 16:37.700]  and the endocrine system is severely attacked in young men, their IQ level is dropping as well,
[16:37.700 --> 16:43.700]  which also explains why they can't catch on to the big picture of what's happening around them,
[16:43.700 --> 16:47.700]  they literally don't have the ability to see what's happening,
[16:47.700 --> 16:54.700]  and that again ties in with the big planning committees who discussed this with Charles Galton Darwin,
[16:54.700 --> 17:02.700]  he didn't do this on his own, he spoke on behalf of the big think tanks and foundations that worked on behalf of the British elite at the time,
[17:02.700 --> 17:09.700]  and they talked about the necessity for dumbing down the people, especially the male, because the male was their main target,
[17:09.700 --> 17:17.700]  they said that the men will never ever accept this new world order, this regimented system from birth to death.
[17:17.700 --> 17:22.700]  And that's why they project and riddle in the boys, that's why they target them for a fist fight,
[17:22.700 --> 17:27.700]  they go to jail now, instead of being allowed to do their normal male activities,
[17:27.700 --> 17:38.700]  and they'd be like arresting a baby pronghorn, a juvenile pronghorn for challenging other males out on the grassy plains of New Mexico,
[17:38.700 --> 17:43.700]  all normal human activity is made criminal, the male is destroyed.
[17:43.700 --> 17:51.700]  That is correct, and say they had targeted the IQ, there's very little testosterone working there,
[17:51.700 --> 17:59.700]  you technically are not a man anymore, you won't rebel, you won't stand up and fight, you won't even object, you're very passive,
[17:59.700 --> 18:07.700]  and again this is well understood by hered management for animals, when you basically neuter a bull,
[18:07.700 --> 18:15.700]  it becomes very, very placid, and you'll accept treatment quite easily, there's no objections, well that's happened in society.
[18:15.700 --> 18:21.700]  And then the police now take steroids to supplement the fact that they've been basically neutered,
[18:21.700 --> 18:27.700]  and so that's the only sequestered area though, where you're allowed to be male, only if you're assaulting your own people though.
[18:27.700 --> 18:34.700]  That is correct, that is absolutely correct, and of course the guys in charge of the military and the police turn a blind eye,
[18:34.700 --> 18:39.700]  they understand this, and I've seen cops too in Toronto standing outside the gold gym,
[18:39.700 --> 18:45.700]  and opening their big bags, and inside there's all the files there of the different steroids, they have bags of it,
[18:45.700 --> 18:51.700]  and they all look like the incredible Hulk, they have no neck, and with the shaven heads there,
[18:51.700 --> 18:59.700]  and they're just dying to get out there and be aggressive, now they have permission, so once again it's authorized from the top.
[18:59.700 --> 19:06.700]  Please continue. Well, what's interesting too, one of the main chemicals that is a synthetic hormone,
[19:06.700 --> 19:12.700]  the very things that Charles Galton Darwin was talking about and advocated was bisphenol A.
[19:12.700 --> 19:22.700]  Now bisphenol A was understood, it was discovered in the 1800s, and in the 1930s the chemical companies in the US
[19:22.700 --> 19:32.700]  had done extensive experimentation with it, and they found that it was an endocrine disruptor, it literally would attack male growth in the womb.
[19:32.700 --> 19:39.700]  So what did it do with this bisphenol A? They made it mandatory to use it to sterilize all babies' bottles.
[19:39.700 --> 19:44.700]  That's right, there's hundreds of types of plastic, but they find this one type of sterilizing rats and guinea pigs,
[19:44.700 --> 19:50.700]  and so they make sure there's universal adoption of that, how loving.
[19:50.700 --> 19:59.700]  And then of course they put it into the bottles themselves, and with heat it leaches very quickly from the plastic feeding bottles for babies,
[19:59.700 --> 20:03.700]  and it's in the little teats they use to the rubber teats.
[20:03.700 --> 20:08.700]  And in children it's even more devastating, Alan Watts, stay there, we're going to come back and talk more about this.
[20:08.700 --> 20:14.700]  Only one small facet of how you're under attack. Don't believe us, it's all true, all on record, they bragged how they would do it.
[20:14.700 --> 20:25.700]  Diet injections and injunctions will reduce you to the level of mutton, or sheep, but mutton on the plate.
[20:25.700 --> 20:48.700]  We'll be right back, ladies and gentlemen, stay with us.
[20:55.700 --> 21:01.700]  That's why there's Puricleer from Ripple Creek.
[21:26.700 --> 21:33.700]  Hey GCN listeners, if you're looking for the perfect Christmas gift this year, listen up.
[21:33.700 --> 21:36.700]  This message is going to make holiday shopping very easy.
[21:36.700 --> 21:40.700]  This year, give the amazing Survival Seed Bank to friends and family.
[21:40.700 --> 21:49.700]  Here's why, the Survival Seed Bank will give any friend or loved one the ability to grow a full acre crisis garden of nutritionally dense life sustaining food.
[21:49.700 --> 21:58.700]  And the Survival Seed Bank is not just a box of open pollinated seeds, it's an indestructible, waterproof seed bank that can even be buried if necessary.
[21:58.700 --> 22:04.700]  And here's the best part, the price of Survival Seed Bank has been drastically reduced for GCN listeners this Christmas.
[22:04.700 --> 22:10.700]  You might even want to pick one up for yourself. The price goes back up January 1st and the supply is definitely limited.
[22:10.700 --> 22:13.700]  Think outside the box and into the bank this year.
[22:13.700 --> 22:19.700]  Give a Survival Seed Bank by going to survivalseedbank.com. That's survivalseedbank.com.
[22:19.700 --> 22:28.700]  Or you can call 877-327-0365. That's 877-327-0365 to give the perfect gift.
[22:28.700 --> 22:35.700]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[22:35.700 --> 22:39.700]  The enemies struck America on September 11th. But who is the enemy?
[22:39.700 --> 22:40.700]  Bin Laden.
[22:40.700 --> 22:41.700]  This is his ammo.
[22:41.700 --> 22:44.700]  We have to look to the Middle East. We have to look to Osama bin Laden.
[22:44.700 --> 22:51.700]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[22:51.700 --> 22:58.700]  Some U.S. investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[22:58.700 --> 23:02.700]  I'm aware that some Israeli citizens have been detained.
[23:02.700 --> 23:09.700]  Bin Laden's connections to the CIA, the hijackers' ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network,
[23:09.700 --> 23:12.700]  warnings in war games, the shadow government, and much, much more.
[23:12.700 --> 23:16.700]  Fabled Enemies. Get the DVD at infowars.com.
[23:16.700 --> 23:21.700]  Or see it in super high quality, along with hundreds of other titles at prisonplanet.tv.
[23:21.700 --> 23:28.700]  Either you are with us, or you are with the terrorists.
[23:28.700 --> 23:32.700]  Free yourself from expensive cable and satellite fees.
[23:32.700 --> 23:40.700]  Follow what you want to see. GCN listeners, now you can transform your living room's HDTV into a virtual war room command center.
[23:40.700 --> 23:41.700]  With ZV.
[23:41.700 --> 23:47.700]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all of your HDTVs.
[23:47.700 --> 23:53.700]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows.
[23:53.700 --> 23:58.700]  Anything that can be viewed on your PC can be controlled from your couch with a ZV remote.
[23:58.700 --> 24:00.700]  With its built-in mouse touchpad.
[24:00.700 --> 24:07.700]  Plus, the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more.
[24:07.700 --> 24:10.700]  In HD and all just a click away.
[24:10.700 --> 24:13.700]  With ZV, there are no subscription or download fees.
[24:13.700 --> 24:16.700]  The ZV is bundled with everything you need to easily get started.
[24:16.700 --> 24:20.700]  Free yourself from expensive cable and satellite fees.
[24:20.700 --> 24:23.700]  Get your ZV today at freedomonmytv.com.
[24:23.700 --> 24:26.700]  That's freedomonmytv.com.
[24:26.700 --> 24:31.700]  That's it for today.
[24:42.700 --> 24:44.700]  Alan Watts, our guest.
[24:44.700 --> 24:46.700]  Paul's coming up.
[24:46.700 --> 24:51.700]  Alan, of course, you've only covered one tiny area of this and they just throw it in your face
[24:51.700 --> 24:56.700]  that they knew in the studies over 100 years ago what this would do.
[24:56.700 --> 24:59.700]  They said, well, put it in the plastics.
[24:59.700 --> 25:01.700]  Put it in the liners for the 10 cans.
[25:01.700 --> 25:03.700]  Put it in everything.
[25:03.700 --> 25:09.700]  And more importantly, they said, let's put fluoride, sodium fluoride in the water.
[25:09.700 --> 25:13.700]  We have the documents on that, but then they just laugh at us.
[25:13.700 --> 25:15.700]  Please continue Alan Watts.
[25:15.700 --> 25:18.700]  Yes, what you have is a multi-pronged attack.
[25:18.700 --> 25:23.700]  When you look at your victim or your enemy in warfare, you must study the enemy.
[25:23.700 --> 25:26.700]  The enemy are the people.
[25:26.700 --> 25:27.700]  You study them.
[25:27.700 --> 25:28.700]  You find out what their habits are.
[25:28.700 --> 25:31.700]  What do all people go through in stages, et cetera.
[25:31.700 --> 25:33.700]  How do they rear their young?
[25:33.700 --> 25:34.700]  You can conceive their young.
[25:34.700 --> 25:36.700]  Where can you hit your target?
[25:36.700 --> 25:41.700]  You hit your target in the womb, preferably if you want to stop major natural changes from occurring.
[25:41.700 --> 25:44.700]  You get in there first and you cause abnormal changes.
[25:44.700 --> 25:48.700]  We've been under attack from so many areas, including the inoculations.
[25:48.700 --> 25:52.700]  Now Bertrand Russell, Lord Bertrand Russell, another member of MI5,
[25:52.700 --> 25:57.700]  who is now declassified again along with Coesler and many other big writers of their time,
[25:57.700 --> 26:00.700]  who led big international meetings.
[26:00.700 --> 26:06.700]  He said himself that they'd also use the needle to make people very placid.
[26:06.700 --> 26:08.700]  Those are his words in one of his books.
[26:08.700 --> 26:10.700]  And they have been using inoculations.
[26:10.700 --> 26:15.700]  They train the public who are taught to trust their masters
[26:15.700 --> 26:20.700]  and they've trained them that everything they pump into your body is for your own good.
[26:20.700 --> 26:23.700]  Well, it's like your dog lovingly coming over and getting your lap
[26:23.700 --> 26:26.700]  and the government just inject cyanide in.
[26:26.700 --> 26:28.700]  It's so sick.
[26:28.700 --> 26:29.700]  Please continue.
[26:29.700 --> 26:30.700]  Yes.
[26:30.700 --> 26:37.700]  And once again, these inoculations literally have targeted the immune system of people.
[26:37.700 --> 26:41.700]  There's hardly a person in the Western world with an intact immune system.
[26:41.700 --> 26:48.700]  I thought about this years ago when I looked at the fads that the medical sciences have gone through
[26:48.700 --> 26:50.700]  and they do go through these strange fads.
[26:50.700 --> 26:57.700]  And back in the 50s, at the same time as all this was mandated to go into effect with the food and so on,
[26:57.700 --> 27:02.700]  they also started tonsillectomies and removing adenoids.
[27:02.700 --> 27:06.700]  As a matter of course with all children in Europe around the age of four or five,
[27:06.700 --> 27:11.700]  it was the done thing to do and every mother brought in their child and they become their adenoids
[27:11.700 --> 27:12.700]  and their tonsils.
[27:12.700 --> 27:14.700]  That's your first line of defense.
[27:14.700 --> 27:16.700]  They are parts of your immune system.
[27:16.700 --> 27:18.700]  They create white blood cells.
[27:18.700 --> 27:22.700]  So once they're removed, you're already missing 30% of them.
[27:22.700 --> 27:28.700]  You're being set up so that ordinary little colds or flus or things which would normally fight off
[27:28.700 --> 27:30.700]  could actually kill you.
[27:30.700 --> 27:33.700]  And that was the intent of attacking the immune system.
[27:33.700 --> 27:38.700]  And they did studies in the 40s. They knew that antibiotics were going to create super bacteria.
[27:38.700 --> 27:40.700]  But please continue.
[27:40.700 --> 27:46.700]  And not only that, what really staggers in the mind too, I call this the matrix because you swallow the world
[27:46.700 --> 27:52.700]  that's been presented to you and everything in it is pretty well a false or a deception or a cover.
[27:52.700 --> 28:01.700]  Now again, the CBC in Canada did an incredible documentary a few years ago called Phaegiosites.
[28:01.700 --> 28:09.700]  Now Phaegiosites are viruses which are man made which can attack and destroy other viruses.
[28:09.700 --> 28:14.700]  Any other viruses programmed, literally programmed to destroy or a bacterium.
[28:14.700 --> 28:23.700]  And the Russians, the Soviet system were using them from 1917 onwards and all through the period up until the 90s,
[28:23.700 --> 28:25.700]  the mid 90s, the West were important.
[28:25.700 --> 28:28.700]  They knew about this of course in intelligence agencies.
[28:28.700 --> 28:30.700]  They knew about this in the military industrial complex.
[28:30.700 --> 28:33.700]  But we were told there's nothing but antibiotics.
[28:33.700 --> 28:37.700]  Meanwhile, children can go into a clinic in Russia with pneumonia.
[28:37.700 --> 28:40.700]  They get a little puffer inhalants.
[28:40.700 --> 28:42.700]  They have a couple of breaths of this.
[28:42.700 --> 28:49.700]  They go home and they're cured the following day because special viruses can be programmed like computers from 1917
[28:49.700 --> 28:52.700]  and they did not need antibiotics in Russia.
[28:52.700 --> 28:58.700]  Now a company in New York bought over all of the rights of this particular Georgian company,
[28:58.700 --> 29:02.700]  an ex-Soviet Union, and they've kept it quiet.
[29:02.700 --> 29:05.700]  They're only using it for one thing only and I don't trust them here.
