[00:00:02.153 --> 00:00:03.114]  It's happened.
[00:04:06.664 --> 00:04:15.068]  When, not if, the games speed up Zika's spread, the already urgent job of inventing new technologies to stop it becomes harder.
[00:04:15.068 --> 00:04:25.532]  By spreading the virus faster and farther, the games steal away the very thing, time, that scientists and public health professionals need to build such defenses.
[00:04:25.532 --> 00:04:29.314]  Fifth, proceeding with the games violates what the Olympics stands for.
[00:04:29.514 --> 00:04:38.942]  The International Olympic Committee writes that Olympism seeks to create social responsibility and respect for universal fundamental ethical principles.
[00:04:38.942 --> 00:04:43.606]  But how socially responsible or ethical is it to spread disease?
[00:04:43.606 --> 00:04:55.076]  The globalists behind this are willing to create a worldwide epidemic as an act of controlled folly that will begin incubating in just four days on your local idiot box.
[00:04:55.076 --> 00:04:56.717]  John Bowne for Infowars.com
[00:04:58.358 --> 00:05:02.002]  All of it perfectly timed to spread Zika.
[00:05:02.002 --> 00:05:07.988]  An article up at the Washington Post, wearing Don't Tread On Me insignia could be punishable racial harassment.
[00:05:07.988 --> 00:05:14.674]  The Equal Employment Opportunity Commission, also known as FAG, among its other functions, decides hostile work environment.
[00:05:14.674 --> 00:05:17.337]  Harassment claims brought against federal agencies.
[00:05:17.597 --> 00:05:24.721]  On January 8, 2014, a complainant filed that the agency subjected him to discrimination on the basis of race.
[00:05:24.721 --> 00:05:35.567]  In the fall of 2013, a co-worker repeatedly wore a cap to work with insignia of the Gadsden flag, which depicts a coiled rattlesnake in the phrase, don't tread on me.
[00:05:35.567 --> 00:05:44.712]  Complainant stated that he found the cap to be racially offensive to African Americans because the flag was designed by Christopher Gadsden, a slave trader and owner of slaves.
[00:05:44.992 --> 00:05:52.503]  Although a thorough review of the record, it is clear that the Gadsden flag originated in a revolutionary war in a non-racial context.
[00:05:52.503 --> 00:05:53.204]  Boom!
[00:05:53.204 --> 00:05:53.925]  Facts!
[00:05:53.925 --> 00:05:54.566]  Boom!
[00:05:54.566 --> 00:05:55.667]  Liberals down!
[00:05:55.667 --> 00:06:00.194]  This has been Joe Biggs, serving you some information at InfoWars.com.
[00:06:00.194 --> 00:06:00.594]  Enjoy!
[00:06:02.006 --> 00:06:06.169]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:06:06.169 --> 00:06:13.635]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:06:13.635 --> 00:06:24.684]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:06:25.084 --> 00:06:32.928]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:06:32.928 --> 00:06:36.789]  But I am most proud of the product we're now launching today.
[00:06:36.789 --> 00:06:47.014]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:06:47.014 --> 00:06:53.697]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[00:06:54.077 --> 00:06:55.518]  That means it's clean.
[00:06:55.518 --> 00:06:56.698]  That means it's pure.
[00:06:56.698 --> 00:06:59.599]  That's InfoWarsLife.com and Vitamin Mineral Fusion.
[00:06:59.599 --> 00:07:01.880]  Take action now before we sell out.
[00:07:01.880 --> 00:07:03.941]  Brain Force, it's completely different.
[00:07:03.941 --> 00:07:05.162]  Try a bottle of it.
[00:07:05.162 --> 00:07:06.763]  Rob Dew joins us.
[00:07:06.763 --> 00:07:09.864]  You worked, I guess, like 20 plus hours.
[00:07:09.864 --> 00:07:10.944]  Tell us what Brain Force did.
[00:07:10.944 --> 00:07:11.905]  I'd been working all day.
[00:07:11.905 --> 00:07:14.406]  I took a couple hours off coaching basketball.
[00:07:14.406 --> 00:07:15.826]  I get in here at 830.
[00:07:15.826 --> 00:07:17.727]  I was kind of run down.
[00:07:17.727 --> 00:07:19.428]  You know, I just didn't feel like I was gonna make it.
[00:07:19.648 --> 00:07:21.529]  And I really wanted to do a good job on the interview.
[00:07:21.529 --> 00:07:23.370]  I got my bottle of Brain Force right there.
[00:07:23.370 --> 00:07:24.431]  I popped two of them.
[00:07:24.431 --> 00:07:26.692]  And about 20 minutes later, it's like, bing!
[00:07:26.692 --> 00:07:28.493]  Everything just kind of clears up.
[00:07:28.493 --> 00:07:30.154]  It's got four and a half stars.
[00:07:30.154 --> 00:07:31.495]  People really love it.
[00:07:31.495 --> 00:07:32.095]  Read about it.
[00:07:32.095 --> 00:07:35.917]  Find out why third-party nutraceutical sites give it such high praise.
[00:07:35.917 --> 00:07:41.180]  Because it really does have the best organic-based systems that will blow your socks off.
[00:07:41.380 --> 00:07:45.423]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:07:45.423 --> 00:07:51.566]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:07:51.566 --> 00:07:57.470]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:08:12.549 --> 00:08:18.120]  Before America can be great again, she must be free again.
[00:08:18.120 --> 00:08:20.765]  You're listening to the Alex Jones Show!
[00:08:35.396 --> 00:08:41.422]  My friends, we are live on this Friday, the fifth day of August 2016 worldwide transmission.
[00:08:41.422 --> 00:08:42.843]  We got three months and change.
[00:08:42.843 --> 00:08:51.411]  90-something days from the 2016 major general election.
[00:08:51.411 --> 00:08:53.893]  And so much stands in the balance we're talking about.
[00:08:54.938 --> 00:08:58.701]  Upwards of three, four, maybe even five Supreme Court justices.
[00:08:58.701 --> 00:09:06.867]  We're talking about the Trans-Pacific Partnership that the bipartisan Republicans and Democrats say they're going to foist upon us, even though we're not allowed to read it.
[00:09:06.867 --> 00:09:08.108]  And so much more.
[00:09:08.108 --> 00:09:12.832]  Obama has been acting outside of law, opening up our borders.
[00:09:12.832 --> 00:09:16.515]  Hillary admits she's coming after our guns.
[00:09:16.515 --> 00:09:23.480]  She's also come out in a new speech and said she does plan to raise taxes on the middle class.
[00:09:23.480 --> 00:09:24.021]  It's incredible.
[00:09:25.219 --> 00:09:28.001]  It's an incredible time to be alive.
[00:09:28.001 --> 00:09:37.088]  And then we've got Khan going on international Islamic television saying, Allah is tripping up Mr. Trump.
[00:09:37.088 --> 00:09:51.500]  Well, only if Allah is really the devil, because the establishment globalist system that is in the news today, legalizing human animal splices in the US, it's already been going on.
[00:09:52.708 --> 00:10:05.354]  The very group selling baby parts, they're the ones that don't like Mr. Trump, so how could any supposed Muslim claim that they're following God's commandments, the Ten Commandments?
[00:10:05.354 --> 00:10:09.576]  No Muslims say they follow that and support all this.
[00:10:09.576 --> 00:10:18.921]  Obama's daughter has been videotaped and photographed twerking, shaking her butt in a sexually suggestive way.
[00:10:21.187 --> 00:10:25.929]  Simulating the act of sex.
[00:10:25.929 --> 00:10:30.972]  And he's come out and said, listen, women aren't supposed to be all reserved.
[00:10:30.972 --> 00:10:33.713]  They shouldn't have to be demure.
[00:10:33.713 --> 00:10:36.335]  Let women be open and free and libertine, laissez-faire.
[00:10:37.466 --> 00:10:40.047]  Well, I say women have the right to do what they want as long as it doesn't hurt anybody.
[00:10:40.047 --> 00:10:41.347]  I agree with Obama.
[00:10:41.347 --> 00:10:50.210]  The problem is, is that he promotes the most hardcore forms of Islamic Sharia law that the Wahhabis push and gets massive amounts of money from them.
[00:10:50.210 --> 00:11:02.514]  That's what's so hypocritical about all this and throwing thousands of homosexuals off roofs just in the liberation of Egypt that our media promoted as a wonderful thing.
[00:11:02.514 --> 00:11:05.815]  The Muslim Brotherhood liberating it from the freedoms it had previously.
[00:11:07.816 --> 00:11:09.977]  Very, very serious situation.
[00:11:09.977 --> 00:11:12.238]  Homeland Security is announcing domestic spy drones.
[00:11:12.238 --> 00:11:14.019]  They've always been doing it the last decade.
[00:11:14.019 --> 00:11:16.100]  The media would say we were conspiracy theorists.
[00:11:16.100 --> 00:11:17.181]  But that's being announced today.
[00:11:17.181 --> 00:11:21.343]  That's some of the headlines up on DrudgeReport.com.
[00:11:21.343 --> 00:11:23.244]  Some of the stories up on Infowars.com.
[00:11:23.244 --> 00:11:28.146]  Harry Reid wants CIA to give Trump fake intelligence briefings.
[00:11:28.146 --> 00:11:29.847]  What, kind of like you give the American people?
[00:11:30.933 --> 00:11:32.494]  Because, you know, Trump can't be trusted.
[00:11:32.494 --> 00:11:34.575]  He's not a globalist selling the country out.
[00:11:34.575 --> 00:11:42.699]  These globalists that have sold us out to the Communist Chinese, Reid's even worse than Hillary, they're the custodians of the country.
[00:11:42.699 --> 00:11:44.179]  They can be trusted.
[00:11:44.179 --> 00:11:45.300]  They're the good people.
[00:11:45.300 --> 00:11:48.181]  But let me get to the main issue.
[00:11:48.181 --> 00:11:53.504]  And I shot a special report that's going to be up the next hour at InfoWars.com, right before I went live on air today.
[00:11:54.383 --> 00:12:13.146]  And that's the fact that there is a giant hoax that's been going for 48 hours, that Donald Trump is going to drop out of the race, that there's been an intervention by the Republican Party and by Reince Priebus and everybody else meeting with Trump, and that they're trying to get him to step down.
[00:12:13.146 --> 00:12:17.047]  Now it's the Republican Party and Democratic Party at the highest levels putting this out.
[00:12:17.047 --> 00:12:21.608]  Then the Republicans come out and say he is the nominee, he will be the nominee, to act like they're not part of it.
[00:12:22.366 --> 00:12:31.049]  They couldn't steal the nomination from the American people, like they did Sanders, on the Democratic side, so they're trying to create the illusion that he's not in the race.
[00:12:31.049 --> 00:12:32.369]  Where did I hear that before?
[00:12:32.369 --> 00:12:34.650]  Ben Carson.
[00:12:34.650 --> 00:12:42.092]  Again, 5.30, 6 o'clock in the afternoon, the heavy voting starting, he's in second place in voting, feels good, gets on a plane to go to the next state.
[00:12:43.769 --> 00:12:46.131]  While he's in the air for two and a half hours, where was he flying?
[00:12:46.131 --> 00:12:47.312]  It was Florida.
[00:12:47.312 --> 00:12:52.076]  While he's in the air for two and a half hours, they announced, oh we talked to him, he did step down.
[00:12:52.076 --> 00:12:55.218]  And he said he endorses Cruz, the tweets were saying.
[00:12:55.218 --> 00:13:02.043]  And oh, then a bunch of people flipped for Cruz, and Cruz got second place.
[00:13:02.043 --> 00:13:06.247]  Cruz later had to admit that his campaign head did indeed do that, and he had to step down.
[00:13:09.110 --> 00:13:18.439]  Now, fast forward to June 18th of this year, Politico, the New York Times, they all ran with it as a beta test.
[00:13:18.439 --> 00:13:22.502]  And they all announced in different news articles, Trump is stepping down.
[00:13:22.502 --> 00:13:25.825]  Trump is dropping out due to not being able to raise money.
[00:13:25.825 --> 00:13:28.648]  He only raised $60 million so far in the months before.
[00:13:31.018 --> 00:13:34.600]  And then you read deeper in the articles, they had to get a response from Trump.
[00:13:34.600 --> 00:13:38.042]  He says, this story is a total fabrication from you and Politico as usual.
[00:13:38.042 --> 00:13:41.143]  The New York billionaire sent an email sent by his campaign manager.
[00:13:41.143 --> 00:13:42.604]  I will never leave the race.
[00:13:42.604 --> 00:13:45.506]  Nobody has enough money to pay me to leave the race.
[00:13:45.506 --> 00:13:49.208]  And if they did, it would be totally illegal anyway.
[00:13:49.208 --> 00:13:52.509]  Did Obama and the Clintons get you to write this garbage?
[00:13:52.509 --> 00:13:54.770]  Now what's funny is, this was the 16th.
[00:13:56.391 --> 00:14:04.685]  A little less than a month later, in fact almost a month later of the day, the Hillary emails come out on the eve of the RNC on the 15th, a month after this.
[00:14:04.685 --> 00:14:06.107]  29 days after this.
[00:14:11.092 --> 00:14:26.284]  And it's her directing Politico, Associated Press, ABC, NBC, MSNBC on what to say and what to do and how to attack Trump and how to attack Sanders and how to send their people dressed like Sanders supporters to attack Trump people so those two sides would fight with each other.
[00:14:27.841 --> 00:14:35.285]  Positioning herself in the general election to inoculate psychologically Sanders supporters to hate Trump people, which is not happening.
[00:14:35.285 --> 00:14:36.926]  In mass, they're going to Trump.
[00:14:36.926 --> 00:14:42.329]  He was 10 points ahead in major polls that were skewed, probably 15, 20 points ahead.
[00:14:42.329 --> 00:14:48.332]  So now they start sampling 15% more Democrats in all the major polls are now doing this.
[00:14:49.491 --> 00:14:53.652]  Reuters and others led the way to then give her a lead.
[00:14:53.652 --> 00:14:54.692]  I mean, wow!
[00:14:54.692 --> 00:15:13.778]  Now to create the perception those polls are real, they announce he's sliding, losing support, they have a big string of rhino Republicans and neocons, all the usual suspects, the Rockefeller Republicans, from John McCain to Crystal, just everybody, coming out against Trump.
[00:15:14.790 --> 00:15:18.653]  They have Genrich come out and say, oh yeah, there is interventions, he is in trouble.
[00:15:18.653 --> 00:15:30.842]  The trusted little buddy, who you notice Trump didn't pick as his VP, even though he's offered $300 million by Adelson, the casino owner, at the end, and that's been confirmed.
[00:15:30.842 --> 00:15:33.984]  So, now they're running the Cheyenne hoax.
[00:15:33.984 --> 00:15:39.728]  And Trump came out Wednesday night, a few hours into this, and said, we've never been more unified, everything's great.
[00:15:39.728 --> 00:15:43.691]  He didn't want to add fuel to it, he didn't want to give it power, and say, of course I'm not dropping out.
[00:15:44.656 --> 00:15:48.619]  Well, now he needs to.
[00:15:48.619 --> 00:15:50.621]  And that's what I've said.
[00:15:50.621 --> 00:15:52.842]  On air and off air.
[00:15:52.842 --> 00:15:55.885]  I know some of his advisors are like, oh that makes us look weak.
[00:15:55.885 --> 00:15:57.846]  Look, they're putting that out everywhere.
[00:15:57.846 --> 00:15:59.868]  You have to say, how dare you come out
[00:16:01.021 --> 00:16:06.604]  And claim I'm dropping out when in many polls and in swing states I'm 10 points ahead, like Florida.
[00:16:06.604 --> 00:16:15.808]  How dare you, with these fake Reuters polls and others, sample 15% more Democrats to skew it and give her a 10 point lead, when I really have a 5 point, even in those skewed polls.
[00:16:15.808 --> 00:16:22.871]  And how dare you do what you did to Ben Carson and come out and announce I'm dropping out to create the illusion that all you've got is Hillary.
[00:16:24.264 --> 00:16:25.285]  How dare you?
[00:16:25.285 --> 00:16:31.830]  I want an apology from all these different mainstream media outlets and the Democrat and Republican Party pulling this latest scam.
[00:16:31.830 --> 00:16:35.033]  No wonder I think you're going to try to rig the general election.
[00:16:35.033 --> 00:16:37.515]  You tried to rig the primary against me.
[00:16:37.515 --> 00:16:40.017]  Says that?
[00:16:40.017 --> 00:16:40.878]  They're in deep trouble.
[00:16:42.537 --> 00:16:59.989]  Now some thinking is, let them run this hoax, let them get even more extreme and claim that his wife's a prostitute and he's a racist and he's dropping out and he's bankrupt and all the rest of this and he's a Russian spy and just let it percolate and have Trump still standing there and come out later and talk about it.
[00:16:59.989 --> 00:17:06.853]  And again, there's some thinking that this is the establishment destroying itself right now and that there's going to be a backlash to it.
[00:17:06.853 --> 00:17:09.055]  And I tend to think that that is the case, but still,
[00:17:09.895 --> 00:17:13.497]  I would counter it right up front, not wait for it to basically percolate.
[00:17:13.497 --> 00:17:24.962]  Because it's meant, and here's the key, he raised $60 million, spent another $60 something of his own, that's $120 plus million, up until last month.
[00:17:24.962 --> 00:17:31.445]  After that RNC event and that incredible speech and his incredible family and the other speakers, he raised $97 million in the last three weeks.
[00:17:35.467 --> 00:17:45.529]  And they went into complete panic mode because he'd be able to raise billions in the next seven, eight weeks.
[00:17:45.529 --> 00:17:47.989]  He's proven that he can go outside the system and do it.
[00:17:47.989 --> 00:17:48.789]  He's incredible.
[00:17:48.789 --> 00:17:49.749]  What a maverick.
[00:17:49.749 --> 00:17:55.490]  And so that's why they are in conniption fit deception mode right now.
[00:17:55.490 --> 00:17:57.671]  So people keep saying, where's Donald Trump's statement?
[00:17:57.671 --> 00:18:02.432]  When they first floated it, believe me Politico is the heart of the system now with this info.
[00:18:02.432 --> 00:18:04.452]  When they first floated this, he said,
[00:18:05.885 --> 00:18:09.506]  This story is a total fabrication from you and Politico as usual.
[00:18:09.506 --> 00:18:12.326]  The Newark billionaire sent an email sent by the campaign manager.
[00:18:12.326 --> 00:18:14.067]  I will never leave the race.
[00:18:14.067 --> 00:18:16.527]  Nobody has enough money to pay me to leave the race.
[00:18:16.527 --> 00:18:18.707]  And if they did, it would be totally illegal.
[00:18:18.707 --> 00:18:21.888]  Did Obama and the Clintons get you to write this garbage?
[00:18:21.888 --> 00:18:29.569]  And of course we got the emails one month later on the eve of the RNC that indeed this was the case.
[00:18:29.569 --> 00:18:31.830]  So there is Trump's response.
[00:18:31.830 --> 00:18:32.630]  Back to the future.
[00:18:34.022 --> 00:18:36.164]  And they're going to continue to push this.
[00:18:36.164 --> 00:18:38.226]  They're going to continue to put out outrageous stuff.
[00:18:38.226 --> 00:18:44.611]  Remember they put out that he raped a 16-year-old girl in Houston and it was all a made-up name and a made-up person?
[00:18:44.611 --> 00:18:46.633]  We told you here first it was made up.
[00:18:46.633 --> 00:18:50.957]  Two days before the media had to put in the back of the paper, okay, that was a fake name, a fake lawsuit.
[00:18:52.116 --> 00:19:05.628]  I could go down and file a fake lawsuit, pro se, at the Travis County Courthouse in Austin, Texas, by Easter Bunny Jones, and claim that Donald Trump raped me while riding a purple rhinoceros.
[00:19:05.628 --> 00:19:08.931]  Now, it's totally not true, but it doesn't matter.
[00:19:08.931 --> 00:19:14.976]  The mainstream media would probably go with it, if I made it sound more realistic, and I said my name was, say, you know, Will Smith.
[00:19:17.762 --> 00:19:19.643]  And you know, Donald Trump did something to me.
[00:19:19.643 --> 00:19:21.964]  They would run with it, because this is what they're doing.
[00:19:21.964 --> 00:19:23.765]  And I've never seen anything like it.
[00:19:23.765 --> 00:19:24.765]  It's incredible.
[00:19:24.765 --> 00:19:29.767]  And it shows how desperate these globalist criminals are, that have hijacked their nation, that they're doing this.
[00:19:29.767 --> 00:19:36.190]  When we return, remember about a week and a half ago, I got up here on air.
[00:19:37.329 --> 00:19:38.030]  Well, it was less than that.
[00:19:38.030 --> 00:19:39.211]  It was Saturday.
[00:19:39.211 --> 00:19:44.316]  And I put out the emergency message to Trump about how they tried to steal it from him, but he had a landslide so they couldn't stop him.
[00:19:44.316 --> 00:19:45.737]  They did steal it from Sanders.
[00:19:45.737 --> 00:19:47.759]  And now they've got all these illegals voting.
[00:19:47.759 --> 00:19:49.761]  And now they're allowing him to register to vote.
[00:19:49.761 --> 00:19:51.343]  And he needs to make a big issue out of that.
[00:19:51.343 --> 00:19:52.424]  And of course he did.
[00:19:52.424 --> 00:19:54.986]  Because he already sees what I see.
[00:19:54.986 --> 00:19:56.728]  And they had a conniption fed over that.
[00:19:56.728 --> 00:19:59.251]  But let me tell you, he knows what he's doing.
[00:19:59.251 --> 00:20:00.232]  We'll talk about it when we come back.
[00:20:02.498 --> 00:20:04.160]  Is the recession really over?
[00:20:04.160 --> 00:20:05.961]  Is a bigger one on the way?
[00:20:05.961 --> 00:20:08.844]  Will our next president lead us to prosperity and peace?
[00:20:08.844 --> 00:20:11.207]  Or will it all fall apart?
[00:20:11.207 --> 00:20:13.749]  Our modern world is unpredictable and unstable.
[00:20:13.749 --> 00:20:15.130]  Are you ready for what comes next?
[00:20:15.130 --> 00:20:16.952]  What if the worst happens?
[00:20:16.952 --> 00:20:18.874]  Will your family have enough food?
[00:20:18.874 --> 00:20:22.618]  Willing to gamble that nothing bad will ever happen to you?
[00:20:22.618 --> 00:20:26.962]  Be wise and be ready with 25-Year Shelf Life Wise Food Storage.
[00:20:27.262 --> 00:20:32.984]  Wise Food Storage provides affordable ready-made gourmet meals with a super long 25-year shelf life.
[00:20:32.984 --> 00:20:38.666]  Just add water and your family is eating delicious food instead of fighting for scraps in a food riot.
[00:20:38.666 --> 00:20:39.546]  Try it free.
[00:20:39.546 --> 00:20:42.907]  Order a no-obligation free sample meal delivered right to your front door.
[00:20:42.907 --> 00:20:48.529]  And for a limited time, in recognition of the July 4th holiday, get a 20% discount and free shipping on all orders.
[00:20:48.889 --> 00:20:51.692]  Once done, you're set for up to 25 years.
[00:20:51.692 --> 00:20:54.734]  Be wise and be ready with Wise Food Storage.
[00:20:54.734 --> 00:20:56.035]  Call for your free sample now.
[00:20:56.035 --> 00:20:56.156]  800-803-5505.
[00:20:56.156 --> 00:20:56.196]  800-803-5505.
[00:21:01.710 --> 00:21:07.632]  Men, if you're like me, you appreciate the feeling of a clean, smooth shave from a quality blade.
[00:21:07.632 --> 00:21:10.633]  The sort of shave that cuts clean without the burn.
[00:21:10.633 --> 00:21:20.797]  So why are you messing around with generic razors that cost $32 for an 8-pack, when you can shave with Harry's high-quality German-engineered blades for half the price?
[00:21:21.517 --> 00:21:34.408]  And because Harry's is so confident in the quality of their blades, they'll send you their most popular set, complete with a razor, one of their world-famous blades, shaving cream, and post-shave balm for free, if you cover shipping.
[00:21:34.408 --> 00:21:38.011]  A total value of $20 at no cost to you, with code 1151 at checkout.
[00:21:39.372 --> 00:21:42.035]  They're way of saying thank you for trying them.
[00:21:42.035 --> 00:21:46.860]  How is Harry's able to save you all this money and still give you the best shave you'll ever enjoy?
[00:21:46.860 --> 00:21:49.903]  By owning the factory that manufactures the blades.
[00:21:49.903 --> 00:21:50.904]  That's how.
[00:21:50.904 --> 00:21:57.411]  Go to harrys.com now and enter code 1151 at checkout to claim your free trial set and post shave balm.
[00:21:57.411 --> 00:21:59.093]  That's harrys.com.
[00:21:59.093 --> 00:21:59.313]  Code 1151.
[00:22:01.334 --> 00:22:09.421]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[00:22:09.421 --> 00:22:15.646]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:22:15.646 --> 00:22:21.250]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:22:21.250 --> 00:22:26.194]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:22:26.194 --> 00:22:28.436]  Go to LibertyOnCall.org.
[00:22:28.436 --> 00:22:30.297]  That's LibertyOnCall.org.
[00:22:31.175 --> 00:22:40.598]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:40.598 --> 00:22:45.019]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:45.019 --> 00:22:52.021]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:52.021 --> 00:22:53.902]  Buy now at DefenderShield.com.
[00:22:53.902 --> 00:22:56.303]  For 10% off, use promo code GCN.
[00:22:56.303 --> 00:22:59.804]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:23:00.677 --> 00:23:01.798]  Think about this.
[00:23:01.798 --> 00:23:14.371]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[00:23:14.371 --> 00:23:18.395]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:23:18.615 --> 00:23:22.459]  Protect your family's water supply with the trusted Big Berkey Water Filter.
[00:23:22.459 --> 00:23:33.352]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:23:33.592 --> 00:23:37.034]  Big Berkey Water Filters are the original and most trusted on the market.
[00:23:37.034 --> 00:23:39.276]  The gold standard in water purification.
[00:23:39.276 --> 00:23:42.778]  And our filters last for years at less than two cents per gallon.
[00:23:42.778 --> 00:23:43.499]  Big Berkey.
[00:23:43.499 --> 00:23:46.601]  The one powerful enough to purify stagnant pond water.
[00:23:46.601 --> 00:23:48.262]  Get your Big Berkey today.
