[00:00:08.490 --> 00:00:12.940]  Leading a frontal assault on the lies of the New World Order.
[00:03:56.390 --> 00:03:57.570]  This is a treaty.
[00:03:57.570 --> 00:04:01.531]  So the first thing they do is lie about it being a treaty so they don't have to get the votes.
[00:04:01.531 --> 00:04:02.851]  Senator Sessions has seen this.
[00:04:02.851 --> 00:04:04.812]  He's written a very scathing letter.
[00:04:04.812 --> 00:04:07.892]  We're going to talk about that in detail in the next segment.
[00:04:07.892 --> 00:04:10.173]  Alex Jones is going to be co-hosting with us throughout this hour.
[00:04:10.173 --> 00:04:11.353]  He's going to be talking about
[00:04:11.833 --> 00:04:11.953]  Yes.
[00:04:29.096 --> 00:04:31.538]  Publications, technical publications about firearms.
[00:04:31.538 --> 00:04:35.142]  And of course, this could be extended to anything.
[00:04:35.142 --> 00:04:39.646]  This is a way of destroying the Second Amendment using the First Amendment.
[00:04:39.646 --> 00:04:43.730]  And these are regulations that are being passed by the State Department.
[00:04:43.730 --> 00:04:44.230]  Stay with us.
[00:04:44.230 --> 00:04:46.332]  In the next segment, Alex Jones is going to break this down.
[00:04:46.332 --> 00:04:46.773]  Be right back.
[00:04:58.752 --> 00:05:01.274]  Today's top stories for June 5th, 2015.
[00:05:01.274 --> 00:05:05.858]  TPP begins to unravel as Obama launches final push for votes.
[00:05:05.858 --> 00:05:24.414]  Article by Paul Joseph Watson, the Trans-Pacific Partnership trade package is beginning to unravel with more prominent voices slamming President Obama and the Republican leadership over the secretive deal that threatens to cost American jobs and hand big corporations new powers that would violate national sovereignty.
[00:05:24.414 --> 00:05:25.395]  Hunting for hackers,
[00:05:25.595 --> 00:05:28.656]  NSA secretly expands internet spying at U.S.
[00:05:28.656 --> 00:05:29.256]  border.
[00:05:29.256 --> 00:05:41.140]  Article by New York Times, without public notice or debate, the Obama administration has expanded the NSA's warrantless surveillance of Americans' international internet traffic according to a classified NSA document.
[00:05:41.540 --> 00:05:55.175]  In mid-2012, Justice Department lawyers wrote two secret memos permitting the spy agency to begin hunting on internet cables without a warrant and on American soil for data linked to computer intrusions originating abroad.
[00:05:55.175 --> 00:05:57.638]  You can find more reports like this at InfoWars.com
[00:06:03.872 --> 00:06:15.701]  It was easier to control a million people, literally, it was easier to control a million people than physically to kill a million people.
[00:06:15.701 --> 00:06:21.485]  Today, it is infinitely easier to kill a million people than to control.
[00:06:30.669 --> 00:06:32.574]  The answer to 1984 is 1776.
[00:06:32.574 --> 00:06:36.826]  You're listening to The Alex Jones Show.
[00:06:59.136 --> 00:07:05.864]  Ladies and gentlemen, it is Sunday, the 7th day of June 2015.
[00:07:05.864 --> 00:07:15.035]  This is an emergency report dealing not just with the Second Amendment, but with every basic human liberty that is now under open, naked attack.
[00:07:15.835 --> 00:07:19.358]  Again, ladies and gentlemen, this is a live radio broadcast.
[00:07:19.358 --> 00:07:29.625]  We're going to be throwing it in a moment to David Knight, who is live in studio in Austin, Texas, co-hosting with me the Sunday Syndicated Transmission.
[00:07:29.625 --> 00:07:42.634]  We'll also post this emergency alert to YouTube as well, and we're begging everyone out there to please go to InfoWars.com, click on the article, go to the NRA website and see this for yourself.
[00:07:43.514 --> 00:07:51.521]  Remember last year, Cody Wilson, fellow Austinite, developed a 3D printable gun.
[00:07:51.521 --> 00:07:54.504]  An AR-15.
[00:07:54.504 --> 00:08:04.192]  And the feds came after him and said, you can't put a file out, just digital information on how to build that, or we're going to indict you.
[00:08:04.192 --> 00:08:04.993]  And we warned then.
[00:08:05.825 --> 00:08:19.328]  That the Feds were going to claim that basically any type of written information about reloading, about how to fix any type of firearm, you name it, would be basically seen as the anarchist cookbook, and that information itself was terrorist.
[00:08:19.328 --> 00:08:21.809]  This is prior restraint.
[00:08:21.809 --> 00:08:33.292]  Well, now the NRA, who's very conservative and always very slow to act, has come out from their hill contacts, and Obama's promised a raft of executive powers, outside of law, to restrict the Second Amendment,
[00:08:34.102 --> 00:08:44.609]  They've now come out, stories on Infowars.com, and announced they're coming after the Second Amendment, not just with ammo restrictions, not just with the attempt that they've been announcing to ban some of the 5.56 ammo.
[00:08:46.972 --> 00:08:56.299]  But no, now they're saying they're going after the literature, everything, and that you'll have to get permission before you communicate about guns, period, on the internet.
[00:08:56.299 --> 00:09:10.589]  They've also announced in two different congressional hearings that they want to bring back the quote, Fairness Doctrine, kind of like the USA Freedom Act, it's a horrible name, it's very Orwellian, the Fairness Doctrine to not let people on talk radio or print actually say their political views.
[00:09:11.505 --> 00:09:12.645]  You're like, that'll never happen.
[00:09:12.645 --> 00:09:19.327]  Really until 1987, when Bruce Fine, head counsel of the FCC, got rid of it.
[00:09:19.327 --> 00:09:20.287]  Our guest Bruce Fine.
[00:09:20.287 --> 00:09:25.168]  Until that was done, talk radio didn't even exist.
[00:09:25.168 --> 00:09:26.229]  So we're going into this.
[00:09:26.229 --> 00:09:29.269]  The internet kill switch, the FCC takeover of the web.
[00:09:29.269 --> 00:09:32.770]  They've had Zuckerberg, Facebook meeting with the Communist Chinese in the U.S.
[00:09:32.770 --> 00:09:33.750]  on how to do this.
[00:09:33.750 --> 00:09:34.971]  It's in the TPP.
[00:09:34.971 --> 00:09:35.951]  That part's been leaked.
[00:09:38.169 --> 00:09:40.711]  The borders are open without any type of law.
[00:09:40.711 --> 00:09:43.153]  The power plants are being shut off outside of law.
[00:09:43.153 --> 00:09:44.535]  They're just power-grabbing.
[00:09:44.535 --> 00:09:48.598]  Michelle Obama tells our kids what to eat in schools outside of law.
[00:09:48.598 --> 00:09:51.981]  And if the schools don't follow it, they're fined outside of law.
[00:09:51.981 --> 00:09:53.883]  They just do whatever they want.
[00:09:53.883 --> 00:09:56.265]  Here's the article on InfoWars.com.
[00:09:56.265 --> 00:09:57.966]  Absolutely critically important.
[00:09:57.966 --> 00:10:03.932]  NRA, gun blogs, videos, web forums threatened by new Obama regulation.
[00:10:04.702 --> 00:10:12.669]  When you read the article by the Washington Examiner, it links to the NRA story at the NRA website.
[00:10:12.669 --> 00:10:19.856]  Breaking it down to the announcement, June 3rd, took us four or five days to find out about this, Federal Register.
[00:10:21.528 --> 00:10:24.731]  And that is where they are announcing it.
[00:10:24.731 --> 00:10:30.095]  So they just publish things in the Federal Register, they just do whatever they want in everyone's face.
[00:10:30.095 --> 00:10:38.361]  But notice, if you go to Infowars.com, or even mainstream media websites, it's the same story over and over again.
[00:10:38.361 --> 00:10:42.344]  Rand Paul demands White House release trade deal text immediately.
[00:10:42.344 --> 00:10:42.745]  See?
[00:10:42.745 --> 00:10:45.427]  Again, dictatorial, centralized power.
[00:10:45.427 --> 00:10:46.888]  Outside of law, just doing whatever they want.
[00:10:48.061 --> 00:10:50.824]  And thank God Rand Paul is saying, no, you must release it.
[00:10:50.824 --> 00:10:51.624]  I demand you do it.
[00:10:51.624 --> 00:10:53.126]  That's what a statesman would do.
[00:10:53.126 --> 00:10:55.668]  No one else even dares do that.
[00:10:55.668 --> 00:10:58.230]  Obama on his amnesty.
[00:10:58.230 --> 00:11:00.572]  The law is on our side.
[00:11:00.572 --> 00:11:03.955]  When he said he, quote, changed the law.
[00:11:03.955 --> 00:11:06.318]  No, Congress never passed the amnesty.
[00:11:06.318 --> 00:11:08.239]  He's done it by Executive Fiat.
[00:11:08.239 --> 00:11:12.603]  So it's more deception over and over and over again.
[00:11:12.603 --> 00:11:13.304]  Let's continue.
[00:11:14.657 --> 00:11:28.948]  Now, Joint Chiefs Chairman Dempsey says Putin intends to undermine Ukraine and NATO, when clearly, you can say what you want about Russian corruption, it's certainly there, the West is on their border, messing with them.
[00:11:28.948 --> 00:11:44.020]  So again, it's all part of this lawlessness, all part of this recklessness by the elite we have here, and Obama has previously promised at least 16 different initiatives to go after the Second Amendment.
[00:11:45.130 --> 00:11:50.211]  They're now saying they're just going to put anybody who's ever been to a psychologist basically and ever claimed insurance on it.
[00:11:50.211 --> 00:11:53.932]  They're going to claim you have a disability and restrict buying guns.
[00:11:53.932 --> 00:11:55.413]  Then they're going to make you turn them in.
[00:11:55.413 --> 00:12:01.154]  This is already being selectively tested in states like California and New York.
[00:12:01.154 --> 00:12:07.496]  So the establishment is making their move to sew up the United States and consolidate total control.
[00:12:07.496 --> 00:12:12.577]  If people don't get upset about this outrageous move
[00:12:13.764 --> 00:12:24.488]  That the Feds are now saying in a comment period, oh yeah, we're getting ready to, I mean if you go to Barnes and Noble, it's reloading magazines, designs of guns, how to fix them.
[00:12:24.488 --> 00:12:27.069]  They're saying, no, no, no, you can't have those.
[00:12:27.069 --> 00:12:33.812]  And I remember the old timers always saying, when they start going after gun manuals, when they start going after gun technicals, when they start trying to restrict that,
[00:12:34.352 --> 00:12:36.634]  Get ready, they're coming after the guns in general.
[00:12:36.634 --> 00:12:39.535]  They're trying to kill the Second Amendment right to keep and bear arms.
[00:12:39.535 --> 00:12:43.718]  Culture, I'm going to throw it now live to David Knight in the studio.
[00:12:43.718 --> 00:12:50.602]  And I'm going to be back at the bottom of the hour with a very important message and information on the agenda of Bilderberg 2015.
[00:12:50.602 --> 00:12:55.325]  Then I'll be back at the end to get more into TPP.
[00:12:55.325 --> 00:12:56.926]  But all of this connects together.
[00:12:56.926 --> 00:13:03.310]  Centralized dictatorial power where arbitrary, tyrannical groups can do whatever they want, whenever they want.
[00:13:03.610 --> 00:13:09.452]  All right, we take you now to the Infowars.com news studios and David Knight.
[00:13:09.452 --> 00:13:18.436]  And that article that Alex was talking about on Infowars.com is the NRA says that gun blogs, videos, web forums are threatened by new Obama regulation.
[00:13:18.436 --> 00:13:24.438]  They say gunsmiths, manufacturers, reloaders, do-it-yourselfers could all find themselves muzzled.
[00:13:24.438 --> 00:13:25.799]  And here's the deal.
[00:13:25.799 --> 00:13:29.080]  This is all regulations being put out by the State Department.
[00:13:29.620 --> 00:13:32.862]  Regulations that would govern international arms sales, they say.
[00:13:32.862 --> 00:13:40.866]  So because this is something that's going across international lines, and because, of course, the Internet is international, they would come after the Internet.
[00:13:40.866 --> 00:13:48.710]  They say that any technical violations of this, people would face up to $1 million and 20 years in jail.
[00:13:48.710 --> 00:13:50.671]  That's how draconian these regulations are.
[00:13:51.371 --> 00:13:55.134]  Think about how they're coming after us just in this one area.
[00:13:55.134 --> 00:13:56.376]  Look at the U.N.
[00:13:56.376 --> 00:13:58.077]  Arms Trade Treaty.
[00:13:58.077 --> 00:14:00.639]  Look at the Trans-Pacific Partnership.
[00:14:00.639 --> 00:14:06.044]  These are all things that can be used to stifle, to control firearms.
[00:14:06.044 --> 00:14:14.732]  We also have the FCC and the State Department then coming after the Internet, after free speech, after technical information.
[00:14:14.732 --> 00:14:16.093]  Understand that the U.N.
[00:14:16.093 --> 00:14:17.635]  Arms Trade Treaty, they put that together
[00:14:18.255 --> 00:14:25.786]  It was admitted by the New York Times that Fast and Furious was a false flag attack designed to discredit the Second Amendment.
[00:14:25.786 --> 00:14:29.210]  And of course, what did Faults of Fast and Furious involve?
[00:14:29.210 --> 00:14:33.136]  It involved shipping arms across the border between the United States and Mexico.
[00:14:33.756 --> 00:14:38.059]  That was supposed to justify the UN Arms Trade Treaty for the American people.
[00:14:38.059 --> 00:14:39.781]  That was going to be their false flag.
[00:14:39.781 --> 00:14:47.366]  Instead, when a federal agent got killed in this and it blew up in their face, that was discredited.
[00:14:47.366 --> 00:14:49.848]  So they have tried to push this through in various ways.
[00:14:50.348 --> 00:14:58.271]  Many people believe that they will push it through, perhaps might be part of these trade partnerships, the Transatlantic, the Trans-Pacific partnerships.
[00:14:58.271 --> 00:15:08.834]  That might include restrictions on it that they would then use to say, well, since we have to track the flow of firearms across borders by treaty, that means we have to get all this
[00:15:09.634 --> 00:15:12.977]  Information about you, about your firearms.
[00:15:12.977 --> 00:15:17.461]  We have to create this database so that we can do our work and enforce this treaty.
[00:15:17.461 --> 00:15:20.263]  That's the rationale that they would use for that.
[00:15:20.263 --> 00:15:25.647]  Now, of course, if this isn't in the Trans-Pacific or Trans-Atlantic partnerships, understand
[00:15:26.408 --> 00:15:30.050]  That it can be added after these things have been passed.
[00:15:30.050 --> 00:15:48.742]  That's one of the things that's so outrageous about these partnership agreements is that we cannot only not see it before it's passed, that the elected representatives of ours cannot modify it or amend it, but that it will be easily amended without any input from the Congress after it is passed.
[00:15:48.742 --> 00:15:51.484]  We have to pass it so that they can change it.
[00:15:51.684 --> 00:15:52.806]  Stay with us, we're going to be right back.
[00:15:52.806 --> 00:15:58.939]  We're going to talk about Bilderberg as the root of these Trans-Pacific, Trans-Atlantic partnerships.
[00:16:00.055 --> 00:16:05.218]  Alex Jones here with Infowarslife.com Consumer Alert Report.
[00:16:05.218 --> 00:16:12.541]  Many of you are aware that around the world most populations are woefully deficient in clean forms of iodine.
[00:16:12.541 --> 00:16:20.625]  The good news is our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[00:16:20.625 --> 00:16:21.626]  The bad news is
[00:16:21.966 --> 00:16:29.630]  For the first time in more than a year, supplies at InfoWarsLife.com of Survival Shield X2 Nascent Iodine are running low.
[00:16:29.630 --> 00:16:34.433]  But what's even more serious is the supply of these Deep Earth Crystals.
[00:16:34.433 --> 00:16:41.796]  That exclusive 999 pure source is proprietary and only available to InfoWarsLife.com.
[00:16:41.796 --> 00:16:44.698]  And that supply is running low and is in question.
[00:16:44.918 --> 00:16:51.901]  That's why it's more important than ever to secure your current and longtime supply of Survival Shield Nascent Iodine X2 today.
[00:16:51.901 --> 00:16:55.883]  Available exclusively at InfoWarsLife.com or by calling toll-free 888-253-3139.
[00:16:59.847 --> 00:17:16.517]  Ladies and gentlemen, you haven't really ever heard firearms manufacturers as sponsors on my syndicated radio show or the nightly news or the news website InfoWars.com because the companies I've been approached by were not the highest quality and they weren't as affordable as they should be, so I refused.
[00:17:16.517 --> 00:17:20.019]  Probably 30, 40 firearms manufacturers over the years will then
[00:17:20.359 --> 00:17:24.424]  About six months ago, we get contacted by Head Down Firearms.
[00:17:24.424 --> 00:17:25.946]  Hdfirearms.com.
[00:17:25.946 --> 00:17:29.269]  Owned and run by a bunch of former Navy SEALs, Special Ops people.
[00:17:29.269 --> 00:17:34.415]  They're veterans, they're patriots, they're listeners of the radio show, and they want to support the broadcast.
[00:17:34.415 --> 00:17:35.096]  It's always about
[00:17:35.196 --> 00:17:35.396]  Thank you.
[00:17:59.896 --> 00:18:07.101]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:18:07.101 --> 00:18:16.467]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:18:16.767 --> 00:18:24.135]  Now, Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:18:24.135 --> 00:18:31.962]  Infowarslife.com developed a silver bullet by closely working with one of the top silver manufacturing labs in the United States.
[00:18:31.962 --> 00:18:35.246]  We set out to bring you the very best at the lowest price.
[00:18:35.626 --> 00:18:40.610]  Find out more about the proprietary development of Silver Bullet at InfoWarsLife.com.
[00:18:40.610 --> 00:18:45.013]  In these times, it's essential to have high-quality, loyal silver on hand.
[00:18:45.013 --> 00:18:48.055]  No survival chest is complete without Silver Bullet.
[00:18:48.055 --> 00:18:51.157]  Exclusively available at InfoWarsLife.com.
[00:18:51.157 --> 00:18:55.501]  Secure your Silver Bullet today at InfoWarsLife.com or by calling toll-free 888-253-3139.
[00:18:59.594 --> 00:19:04.738]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:19:04.738 --> 00:19:10.862]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:19:10.862 --> 00:19:15.645]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:19:15.645 --> 00:19:19.208]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:19:19.208 --> 00:19:21.189]  No needles, no injections.
[00:19:21.189 --> 00:19:25.813]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:19:29.435 --> 00:19:30.455]  Alex Jones here.
[00:19:30.455 --> 00:19:39.737]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:19:39.737 --> 00:19:43.518]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:19:43.518 --> 00:19:51.880]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:19:51.880 --> 00:19:54.481]  Visit Infowarslife.com or call 1-888-253-3139.
[00:19:54.481 --> 00:19:55.221]  That's Infowarslife.com.
[00:20:02.469 --> 00:20:12.572]  You're listening to the Alex Jones Show.
[00:20:12.572 --> 00:20:20.274]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:20:27.054 --> 00:20:28.396]  Welcome back to the Alex Jones Show.
[00:20:28.396 --> 00:20:29.137]  I'm David Knight.
[00:20:29.137 --> 00:20:30.959]  I'm co-hosting today with Alex Jones.
[00:20:30.959 --> 00:20:43.575]  In the last segment, he was talking about the new firearms regulations that the NRA has pointed out the State Department is trying to make law that would essentially restrict not only the Second Amendment, but also the First Amendment.
[00:20:44.176 --> 00:20:47.159]  Putting in penalties up to 20 years in prison.
[00:20:47.159 --> 00:20:53.544]  One million dollar fines because you publish technical details about firearms or other things.
[00:20:53.544 --> 00:21:06.215]  In the past what they have done is they gave an exclusion to things that were in the public domain and so it begs the question as to how they are going to define that and it's a very complicated discussion there but the NRA is concerned about it.
[00:21:06.215 --> 00:21:07.396]  We should all be concerned about this.
[00:21:07.936 --> 00:21:23.062]  We have seen multiple ways that this administration, and of course the one before it, is coming after the internet freedoms that we enjoy, as well as our international sovereignty is now on the line, just as we saw with the
[00:21:24.022 --> 00:21:25.943]  Implementation of NAFTA.
[00:21:25.943 --> 00:21:29.586]  It was very important for them to get that done under a Democrat president.
[00:21:29.586 --> 00:21:31.427]  They got it done under Clinton.
[00:21:31.427 --> 00:21:48.339]  It's very important for them to get this done under Obama, because so many people who will just march in lockstep behind that, the camp followers of the Democratic Party, who might be concerned about this, because on the surface it looks like, and this is the way they're selling it on the surface, to get it
[00:21:48.979 --> 00:21:50.260]  to pass
[00:22:08.069 --> 00:22:08.529]  I don't
[00:22:27.589 --> 00:22:31.651]  Who are traveling now on their way to Bilderberg coming up this next week.
[00:22:31.651 --> 00:22:39.856]  We have Paul Joseph Watson, Rob Dew, Josh Owens are all going to be in Austria this next week covering the Bilderberg group.
[00:22:39.856 --> 00:22:43.778]  Something that for many decades they pretended did not even exist.
[00:22:43.778 --> 00:22:45.319]  Well into the 90s.
[00:22:45.319 --> 00:22:49.961]  If you talked about Bilderberg you were laughed at as being a conspiracy theorist.
[00:22:49.961 --> 00:22:52.923]  We now know that Bilderberg, going back to
[00:22:54.190 --> 00:22:55.472]  It's very beginning.
[00:22:55.472 --> 00:23:02.961]  The very first few meetings they were working on creating a European Union and a Euro currency.
[00:23:02.961 --> 00:23:10.111]  That's the way they move to global governance is through this gradual process that is going on there.
[00:23:10.111 --> 00:23:12.454]  Now we're in the later stages of consolidation.
[00:23:12.994 --> 00:23:15.636]  Some of these organizations have been exposed.
[00:23:15.636 --> 00:23:26.864]  We're going to be following who is showing up at the Bilderberg Conference, but of course right now in Austria, not too far from where the Bilderberg Conference is going to be held, they have the G7 meetings going on.
[00:23:26.864 --> 00:23:32.768]  And the people that are there are very concerned about the Transatlantic Partnership, the TTIP.
[00:23:34.116 --> 00:23:46.961]  The protesters at the G7 Summit in Garmisch, Austria, in Bavaria, are upset about what they see as being a sellout, rightfully so, a sellout of sovereignty.
[00:23:46.961 --> 00:23:47.581]  Here's some of the quotes.
[00:23:47.581 --> 00:23:50.562]  This is a story on The Guardian by Charlie Skelton, of course.
[00:23:51.362 --> 00:23:54.184]  He is the one who covers Bilderberg for the Guardian.
[00:23:54.184 --> 00:23:56.666]  We saw him there last year in Copenhagen.
[00:23:56.666 --> 00:23:57.967]  A very good writer.
[00:23:57.967 --> 00:23:58.748]  This is what he says.
[00:23:58.748 --> 00:24:08.074]  He says, a helicopter came and hovered directly over us for about five minutes, presumably because they thought someone on the march had brought along a thermonuclear device.
[00:24:08.074 --> 00:24:11.457]  He says, they're talking about this being the largest police operation
[00:24:11.977 --> 00:24:13.718]  In the history of Bavaria.
[00:24:13.718 --> 00:24:15.099]  He said it was too loud to speak.
[00:24:15.099 --> 00:24:18.061]  He said there were so many helicopters hovering over us right now.
[00:24:18.061 --> 00:24:22.984]  He says, I keep expecting to hear Riot of the Valkyries referring to Apocalypse Now.
[00:24:22.984 --> 00:24:25.166]  I don't know exactly what they're all doing up there.
[00:24:25.166 --> 00:24:27.707]  I hope they're trying to avoid each other.
[00:24:27.707 --> 00:24:34.352]  And then he quotes a journalist from Der Spiegel, says that it is the largest police operation in the history of Bavaria.
[00:24:34.352 --> 00:24:40.396]  And he goes on to say, such a huge display of power like this, I'm afraid people feel that it's a provocation.
[00:24:40.976 --> 00:24:41.716]  Precisely.
[00:24:41.716 --> 00:24:45.058]  That's exactly what it is when they put up a massive police presence.
[00:24:45.058 --> 00:24:54.042]  If you look at that picture on there, if you pull that picture up for the article, you can see a few protesters flanked by an army of cops escorting them as they're marching.
[00:24:54.042 --> 00:24:56.383]  And so, Skelton goes on and says, it feels a bit weird.
[00:24:56.963 --> 00:25:01.007]  There could not actually be any more police in Garmisch than there are right now.
[00:25:01.007 --> 00:25:02.288]  There wouldn't be room.
[00:25:02.288 --> 00:25:04.550]  He says there's traffic jams of police vehicles.
[00:25:04.550 --> 00:25:10.675]  Every spare inch of tarmac has been commandeered for police coaches, riot vans, operations trucks.
[00:25:10.675 --> 00:25:15.420]  The only cars on the road that aren't police cars are being driven by Plains Cove policemen.
[00:25:15.740 --> 00:25:18.262]  And he goes on to say, it's a show of political power.
[00:25:18.262 --> 00:25:20.564]  This is a 16-year-old student who is wide awake.
[00:25:20.564 --> 00:25:26.489]  He said, this is a show of political power, but it is also a suppression of political protest.
[00:25:26.489 --> 00:25:33.355]  People have been stopped at checkpoints for so long, for hours at a time, that it's really difficult simply to show up here.
[00:25:33.355 --> 00:25:37.918]  But that's all that we can do in this situation is to show up.
[00:25:37.918 --> 00:25:40.260]  Essentially, that's what Bilderberg is about.
[00:25:40.260 --> 00:25:41.721]  We can't get into the meetings.
[00:25:41.721 --> 00:25:42.222]  They hide it.
[00:25:42.222 --> 00:25:43.963]  They keep it in secret, just like they do the G7.
[00:25:45.541 --> 00:25:55.048]  Unlike the G7, where you've got heads of state meeting, we have heads of state, we have corporations meeting, we have intelligence agencies meeting, and build a murk like they have for decades.
[00:25:55.048 --> 00:25:58.550]  And of course, we're not allowed to see what happens there.
[00:25:58.550 --> 00:26:02.133]  The best we can do is try to ascertain who is there.
[00:26:02.133 --> 00:26:05.836]  In the last year or so, they have published an agenda, but we don't know if that's true.
[00:26:05.836 --> 00:26:07.077]  We have no way to verify that.
[00:26:07.077 --> 00:26:08.417]  We just have to take their word for it.
[00:26:09.398 --> 00:26:14.445]  But then, Skelton goes on to ask in his article, he says, but what made this 16-year-old show up today?
[00:26:14.445 --> 00:26:19.933]  And the 16-year-old said, it's the TTIP, that's the European version, the Transatlantic Partnership.
