[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[00:09:10.063 --> 00:09:27.348]  With a replay of what they did two years ago, you would see a massive realignment, the biggest political slaughter, non-violent slaughter, metaphoric slaughter we've ever seen since we've had voting in this country in the last 250 years.
[00:09:27.348 --> 00:09:33.250]  This, ladies and gentlemen, is the New World Order fighting for its life.
[00:09:33.250 --> 00:09:39.492]  That said, they'll mitigate it with fraud, and the Republicans
[00:09:41.687 --> 00:10:02.646]  We'll not get enough in to have a swing vote of patriots in the House that'll be able to not just block deep state legislation, but it'll be able to push good legislation to bring the globalists to justice on a raft of issues like gain-of-function bioweapons and open borders and human smuggling and fentanyl and just all the things that are going on.
[00:10:04.204 --> 00:10:05.466]  Around the country.
[00:10:05.466 --> 00:10:17.680]  And we see a complete replay of two years ago, ABC News and all the other globalist mouthpieces are saying, oh, it'll look like Republicans are winning massively, but expect a lot of those races to go for Democrats.
[00:10:17.680 --> 00:10:21.025]  So you can see the scripting and you can see the scripting in the last speech of Biden.
[00:10:22.230 --> 00:10:29.214]  Well, he's done a bunch of speeches the last few days, but the big one last Friday, where he said, we can't have them attacking democracy!
[00:10:29.214 --> 00:10:33.497]  Why, they want to hurt us, and they want to put us in camps, and they want to kill our kids.
[00:10:33.497 --> 00:10:40.240]  You've heard that talking point just totally made up, and that if you challenge the election, you are a terrorist.
[00:10:40.240 --> 00:10:50.787]  But they're going to challenge the election, and are challenging the election, and have Politico out there saying they think that the RNC is trying to steal races with the voting machines.
[00:10:51.727 --> 00:10:57.629]  Total oxymoronic murder of common sense, murder of logic, upside down world.
[00:10:57.629 --> 00:10:59.370]  You can't talk about election fraud.
[00:10:59.370 --> 00:11:00.570]  You can't question elections.
[00:11:00.570 --> 00:11:10.254]  You shouldn't investigate, even though the State Department for 80 years or more has sent delegates around the world to observe elections and grade them.
[00:11:10.254 --> 00:11:17.417]  And if you compare our elections to other countries, we have amongst some of the worst elections in the world.
[00:11:18.311 --> 00:11:20.476]  Or an international watchdog group show.
[00:11:20.476 --> 00:11:26.728]  Oh, don't trust foreign elections, but you can trust ours and don't ask any questions.
[00:11:26.728 --> 00:11:29.133]  ABC News says Red Mirage will look like...
[00:11:30.256 --> 00:11:33.277]  Big Republican win, but vote count could take weeks.
[00:11:33.277 --> 00:11:37.517]  Early election night results might not indicate final tallies.
[00:11:37.517 --> 00:11:39.818]  For weeks, ABC News!
[00:11:39.818 --> 00:11:45.779]  And it goes on and on and on with Michigan Democrat officials saying it's expected to take weeks.
[00:11:45.779 --> 00:11:50.140]  And the White House Press Secretary will play in a moment saying it could take weeks.
[00:11:50.140 --> 00:11:52.801]  And Fetterman saying it could take weeks.
[00:11:52.801 --> 00:11:58.922]  And a federal judge ruling that yes, they've got to count ballots that are mislabeled or torn up or have the wrong dates on them.
[00:11:59.918 --> 00:12:00.899]  It goes on and on.
[00:12:14.929 --> 00:12:20.430]  The swing vote for Democrats in a state that's normally Democrat, swinging heavily Republican, just like New York.
[00:12:20.430 --> 00:12:25.511]  Michigan pollster does expect red mirage on election night, but Democrat victories.
[00:12:25.511 --> 00:12:26.451]  Fox.
[00:12:26.451 --> 00:12:29.812]  The M campaign sounds alarmed about red mirage.
[00:12:29.812 --> 00:12:31.533]  Axios.
[00:12:31.533 --> 00:12:35.513]  Trump calls on Republicans to go out and vote, crush the communists at the ballot box.
[00:12:35.513 --> 00:12:36.274]  Love that rhetoric.
[00:12:36.274 --> 00:12:37.754]  It's absolutely true.
[00:12:37.754 --> 00:12:40.795]  Election Day tabulators across Maricopa County.
[00:12:40.795 --> 00:12:42.335]  Again, that key place that keeps happening.
[00:12:43.234 --> 00:12:45.600]  Where the Republicans win in all the other counties, but not there.
[00:12:45.600 --> 00:12:49.411]  Oh, and in Maricopa County, they're not working again!
[00:12:51.513 --> 00:12:56.176]  Tabulators in Texas, a key Democrat controlled area, is not working again.
[00:12:56.176 --> 00:12:58.057]  Just like before.
[00:12:58.057 --> 00:13:01.439]  Votes in key Arizona counties are being misread.
[00:13:01.439 --> 00:13:04.081]  Of course, accidentally for the Democrats.
[00:13:04.081 --> 00:13:05.021]  Here we go again.
[00:13:05.021 --> 00:13:09.184]  Dominion Machines in Mercer, New Jersey, experiencing programming glitch.
[00:13:09.184 --> 00:13:13.186]  It's happening again in New York City polling stations with a pipe bomb threat.
[00:13:13.186 --> 00:13:17.449]  The same as a broken water main that didn't actually happen there in Atlanta.
[00:13:17.449 --> 00:13:20.791]  A last minute change is already delaying vote counting in Philadelphia.
[00:13:23.345 --> 00:13:26.827]  Judge Nye's request to sequester military ballots in Wisconsin.
[00:13:26.827 --> 00:13:33.771]  68% say they'll be thinking about inflation a lot when casting their ballots.
[00:13:33.771 --> 00:13:36.813]  Governor Witch Whitmer got confronted about her lockdowns.
[00:13:36.813 --> 00:13:41.075]  She just said her headphones didn't work anymore.
[00:13:41.075 --> 00:13:46.818]  Biden pledged to shut down coal plants twisted by media, says the White House press secretary.
[00:13:46.818 --> 00:13:47.979]  And more gaslighting.
[00:13:47.979 --> 00:13:49.760]  Here's the press secretary talking about
[00:13:51.010 --> 00:13:57.558]  It may take a while to actually tell you who won the election, because again, they only have so many votes in warehouses, pretty filled out.
[00:13:57.558 --> 00:14:09.652]  They only got so many bullets in their gun to steal key areas, and the party bosses want to be able, when the rubber meets the road, because they don't have enough votes to steal it everywhere, to pick the key places where they do want to keep their operatives in place.
[00:14:09.652 --> 00:14:09.993]  Here it is.
[00:14:10.785 --> 00:14:13.366]  It took two weeks to call every state.
[00:14:13.366 --> 00:14:18.849]  In modern elections, more and more ballots are being cast in early voting and also by mail.
[00:14:18.849 --> 00:14:26.593]  And many states don't start counting those ballots until after the ballots, after, pardon me, after the polls close on November 8th.
[00:14:27.453 --> 00:14:30.156]  So, you heard the President say this the other night.
[00:14:30.156 --> 00:14:32.157]  He has been very clear on this as well.
[00:14:32.157 --> 00:14:36.501]  We may not know all the winners of elections for a few days.
[00:14:36.501 --> 00:14:41.025]  It takes time to count all legitimate ballots in a legal and orderly manner.
[00:14:41.025 --> 00:14:46.470]  That's how this is supposed to work, and it's important for us.
[00:14:46.470 --> 00:14:48.873]  So that's how it's supposed to work.
[00:14:48.873 --> 00:14:52.336]  You go back 50 years ago, 80 years ago, 100 years ago, every little
[00:14:53.677 --> 00:15:03.733]  Precinct would count the ballots, they would then phone it in, or call it in, or before we really even had telephones, they would then go down to the city square area and they would then tabulate them all together.
[00:15:04.534 --> 00:15:08.415]  You'd have poll watchers that would go and make sure that number that was in the precinct was correct.
[00:15:08.415 --> 00:15:09.675]  We had pretty fair elections on average.
[00:15:09.675 --> 00:15:10.996]  Still some problems.
[00:15:10.996 --> 00:15:16.777]  But now with all the computers and all the fancy gadgetry, well, we just can't know for weeks.
[00:15:16.777 --> 00:15:20.358]  That's just the way it works, ladies and gentlemen.
[00:15:20.358 --> 00:15:31.640]  Now a big part of this activism exposing these people is never giving up, even when they steal elections, and coming back and enforcing the issue as it angers voters who don't give up and only double down.
[00:15:31.640 --> 00:15:32.481]  And that's what scares them.
[00:15:32.481 --> 00:15:33.721]  They want you to give up, never give up.
[00:15:34.480 --> 00:15:43.369]  And they also don't want you to say, hey, there's live real coverage of what's going down and what they don't want you to know about the election as they try a replay of the set the two years ago.
[00:15:43.369 --> 00:15:52.918]  Here's the forbidden link, Alex Jones and InfoWars.com and InfoWars.com forward slash show and band dot video.
[00:15:52.918 --> 00:15:54.120]  We'll be right back.
[00:15:54.120 --> 00:15:55.921]  But you are the Paul Reveres.
[00:15:55.921 --> 00:15:58.124]  Spread the live transmission now.
[00:16:00.418 --> 00:16:01.560]  Thanksgiving 2022 is here.
[00:16:01.560 --> 00:16:05.264]  We've got the biggest sale of the year going right now.
[00:16:05.264 --> 00:16:11.072]  Now, the good news is I'm going to extend this sale up to 60% off right through Christmas.
[00:16:11.072 --> 00:16:15.278]  The bad news is by Christmas, almost every product in the store will be sold out.
[00:16:15.558 --> 00:16:17.641]  We won't get more for months and months and months.
[00:16:17.641 --> 00:16:22.126]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[00:16:22.126 --> 00:16:28.052]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award-winning coffee.
[00:16:28.052 --> 00:16:32.217]  And now, DNA Force Plus, Vitamin Refusion, Body's Ultimate Turmeric Formula.
[00:16:33.218 --> 00:16:39.061]  So many other great products like Ultimate Krill Oil, Ultimate Fish Oil, Vazzo Beats, Secret 12.
[00:16:39.061 --> 00:16:43.364]  They are all going to sell out in the next few weeks or in the next month.
[00:16:43.364 --> 00:16:45.965]  Again, more stuff is going to sell out today.
[00:16:45.965 --> 00:16:50.328]  So every hour you wait, more stuff will be sold out at InfoWarsTore.com.
[00:16:50.328 --> 00:16:57.032]  Promo code 1776 and you get an additional 10% off the already giant savings at InfoWarsTore.com.
[00:16:57.032 --> 00:16:58.333]  Thank you so much for your support.
[00:16:58.333 --> 00:16:58.753]  God bless.
[00:17:00.461 --> 00:17:09.007]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[00:17:09.007 --> 00:17:18.653]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex, it's not election day.
[00:17:18.653 --> 00:17:20.314]  And that's the problem.
[00:17:20.314 --> 00:17:23.076]  And everything changed after COVID-19.
[00:17:23.076 --> 00:17:25.858]  They illegally changed state elections.
[00:17:26.739 --> 00:17:32.283]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[00:17:32.283 --> 00:17:34.305]  Well, this isn't any way to run an election.
[00:17:34.305 --> 00:17:38.569]  We're in a serious country when we have elections that can be stolen like this.
[00:17:38.569 --> 00:17:53.682]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity, and question the fact that elections
[00:17:54.422 --> 00:17:56.523]  Um, shouldn't be run the way they are.
[00:17:56.523 --> 00:18:00.585]  We're not election deniers, we're election realists.
[00:18:00.585 --> 00:18:21.216]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[00:18:21.776 --> 00:18:34.839]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[00:18:34.839 --> 00:18:43.681]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[00:18:43.681 --> 00:18:50.102]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[00:18:50.222 --> 00:18:51.643]  So, continue to do it.
[00:18:51.643 --> 00:18:53.825]  Go to places like InfoWarsTore.com.
[00:18:53.825 --> 00:18:55.927]  Go to the places like Save InfoWars.
[00:18:55.927 --> 00:19:01.612]  Continue to keep InfoWars alive, because in the process, you're keeping American liberty alive.
[00:19:01.612 --> 00:19:02.113]  Look at that.
[00:19:02.113 --> 00:19:07.457]  Everybody else is just like yellow or clear, and that's because it's been denatured, it's been watered down.
[00:19:07.457 --> 00:19:09.879]  We didn't do that.
[00:19:09.879 --> 00:19:14.403]  You think I would metaphysically sell you something that is the very best I can get?
[00:19:14.403 --> 00:19:16.025]  I'd rather go to hell than do that.
[00:19:16.616 --> 00:19:25.638]  I will only give you the maximum best info, the maximum truth, the maximum product, because I want that goodwill!
[00:19:25.638 --> 00:19:27.379]  What I do to you, I do to myself.
[00:19:27.379 --> 00:19:29.159]  Don't you get the big secret?
[00:19:29.159 --> 00:19:31.640]  You ever seen fish oil look like that?
[00:19:31.640 --> 00:19:33.600]  No, you haven't seen that, have you?
[00:19:33.600 --> 00:19:44.022]  And this little jewel right here is solid liquid consciousness.
[00:19:44.022 --> 00:19:45.563]  Look it up.
[00:19:45.563 --> 00:19:46.023]  Find out.
[00:19:48.115 --> 00:19:51.599]  How even the FDA and the government admits fish oil is incredible.
[00:19:51.599 --> 00:19:56.905]  The number one thing anybody can do for themselves is take good fish oil or krill oil.
[00:19:56.905 --> 00:20:01.790]  Just like our information is dynamite, so are our products and forestore.com.
[00:20:01.790 --> 00:20:07.677]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:20.178 --> 00:20:24.562]  Everybody knows that the dice are loaded.
[00:20:24.562 --> 00:20:29.506]  Everybody rolls with their fingers crossed.
[00:20:29.506 --> 00:20:34.130]  Everybody knows the war is over.
[00:20:34.130 --> 00:20:37.533]  Everybody knows the good guys lost.
[00:20:38.594 --> 00:20:42.178]  Live, mid-term, bloodbath, red wave coverage.
[00:20:42.178 --> 00:20:49.145]  And when I say bloodbath, I mean that metaphorically.
[00:21:01.564 --> 00:21:03.545]  We don't want any violence.
[00:21:03.545 --> 00:21:06.608]  Biden keeps saying we're all about to be a bunch of terrorists.
[00:21:06.608 --> 00:21:11.671]  Republicans are about to be violent when they try to steal the election.
[00:21:11.671 --> 00:21:14.293]  When they have the history of being violent.
[00:21:14.293 --> 00:21:17.856]  And there's a bunch of news articles about the CIA all over the news.
[00:21:17.856 --> 00:21:20.338]  I'll cover this coming up next segment.
[00:21:20.338 --> 00:21:23.340]  Saying it's time to use the CIA on the American people.
[00:21:23.340 --> 00:21:25.141]  Which they're already doing.
[00:21:25.141 --> 00:21:26.843]  They've broken the last few weeks of the intercept.
[00:21:27.662 --> 00:21:31.905]  To censor you, to surveil you, to control you, working with the ADL.
[00:21:31.905 --> 00:21:33.526]  This is completely illegal.
[00:21:33.526 --> 00:21:35.207]  It's absolutely outrageous.
[00:21:35.207 --> 00:21:37.628]  We don't even need new laws or investigations.
[00:21:37.628 --> 00:21:38.549]  They've done it.
[00:21:38.549 --> 00:21:39.950]  It's on the books it's illegal.
[00:21:39.950 --> 00:21:42.151]  They need to be arrested.
[00:21:42.151 --> 00:21:50.817]  Coming up today, David Icke, George Christensen is going to be on, Member of Parliament in Australia about the massive miscarriages
[00:21:52.076 --> 00:21:52.656]  that are happening.
[00:21:52.656 --> 00:21:55.858]  We're going to be covering the election, all the latest numbers right through past midnight tonight.
[00:21:55.858 --> 00:21:59.481]  We're going to be covering the big issues they don't want us to focus on as well.
[00:21:59.481 --> 00:22:13.789]  We're going to have Owen Troyer, Harrison Smith, Ali Alexander, Steve Bannon, Robert Barnes, and a bunch of other big guests like Roger Stone, Darren Beattie, and others right through past midnight tonight.
[00:22:13.789 --> 00:22:15.931]  You definitely do not want to miss any of this.
[00:22:16.451 --> 00:22:21.437]  The live show headline has the feed in it on the front page of InfoWars.com for you to share.
[00:22:21.437 --> 00:22:23.540]  Live Election Day coverage with Alex Jones.
[00:22:23.540 --> 00:22:28.446]  The Deep State is attempting to steal the midterms using the exact same criminal tactics from 2020.
[00:22:31.053 --> 00:22:33.736]  And we've got a big transmission lined up.
[00:22:33.736 --> 00:22:48.090]  Yours truly, Alex Jones and his team and an ensemble of insightful guests and broadcasters will be transmitting deep into the night as we chronicle the incredible spectacle of the American people trying to retake control of the nation from the transhumanist globalists.
[00:22:48.530 --> 00:22:57.594]  Watch and share this tremendous live broadcast that will be a marathon of vital election coverage and exclusive analysis found nowhere else.
[00:22:57.594 --> 00:23:01.435]  Stay tuned for special guests and more that will also be out of the list.
[00:23:01.435 --> 00:23:03.916]  The Blueprint to Defeat the New World Order is now here.
[00:23:03.916 --> 00:23:05.757]  Thank you so much for joining us.
[00:23:05.757 --> 00:23:08.578]  And I want to be very clear.
[00:23:08.578 --> 00:23:11.659]  They're going to try to spin their attempt at steal tonight.
[00:23:11.659 --> 00:23:15.241]  That's why we're not just going to chronicle like we're passive observers here.
[00:23:16.155 --> 00:23:17.176]  What they're trying to do to us.
[00:23:17.176 --> 00:23:28.064]  We're going to be tracking it with your calls from what you've seen at the polls or what you're witnessing in key battleground states like Michigan, like Pennsylvania, like Wisconsin, like Arizona.
[00:23:29.025 --> 00:23:42.408]  We are going to be, like Georgia, we're going to be just blasting through today and taking a ton of calls throughout the night, not just the special guests that are joining us.
[00:23:42.408 --> 00:23:48.390]  And I may even do something tonight where we don't even get your name or where you're calling from, and we just air you live on air.
[00:23:49.370 --> 00:23:53.151]  That's something I used to do a long time ago when I was running a show with only one border operator.
[00:23:53.151 --> 00:23:55.431]  That's real talk radio right there.
[00:23:55.431 --> 00:24:04.453]  But that'll be later into the wee hours of the evening and it won't be fully decided tonight because they don't care if Republicans win about 5-10 points.
[00:24:04.453 --> 00:24:05.913]  They've got warehouses full of fake ballots.
[00:24:05.913 --> 00:24:07.073]  They're going to go cram them in.
[00:24:07.073 --> 00:24:09.174]  They're going to pull in with trucks in the middle of the night when it's closed.
[00:24:09.174 --> 00:24:10.494]  They're going to cover the windows up again.
[00:24:10.494 --> 00:24:12.694]  They're going to say water mains broke again when they don't.
[00:24:12.694 --> 00:24:13.755]  They're going to try to steal it.
[00:24:13.755 --> 00:24:15.035]  I mean, this is a hardcore criminal group.
[00:24:15.956 --> 00:24:18.740]  They're going to try to intimidate and attack and sue anybody that challenges it.
[00:24:18.740 --> 00:24:20.102]  But it doesn't matter.
[00:24:20.102 --> 00:24:21.484]  In the end, we're winning.
[00:24:21.484 --> 00:24:26.292]  And you see the whole world turning against the New World Order.
[00:24:26.292 --> 00:24:29.116]  But I want to cover the tactics with David Icke.
[00:24:30.418 --> 00:24:32.900]  Who's been listed as a level three terrorist.
[00:24:32.900 --> 00:24:38.383]  You know, I saw that last week when it broke and then I went and looked at the actual EU letter.
[00:24:38.383 --> 00:24:42.806]  It said, well, he believes the government's corrupt and planning to put you in camps.
[00:24:42.806 --> 00:24:45.348]  And that's scary and can make people not like the government.
[00:24:45.348 --> 00:24:48.950]  So he's banned from Europe for two years.
[00:24:48.950 --> 00:24:51.132]  That's the model for the rest of the world.
