[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[10:40.000 --> 10:45.000]  And then if you resist it, you're racist. So they're just destroying the dream of the abolitionists of Martin Luther King.
[10:45.000 --> 10:49.000]  Of course, it's a democratic party. They're a race-based party. They are flipping the script.
[10:49.000 --> 10:55.000]  When it's majority white, they're KKK. When it's majority other groups, they turn them into brown KKK.
[10:55.000 --> 11:01.000]  And it's Don Lemon. It's the whole scripting point that the biggest terror threat is white men.
[11:01.000 --> 11:08.000]  Imagine saying the biggest threat in the world is Asians or the biggest threat in the world is you fill in the blank.
[11:08.000 --> 11:11.000]  Jews, I didn't say that. I'm hypothetically saying it.
[11:11.000 --> 11:16.000]  They'd be, oh my God, you're the worst person in the world. Because it is bad to just say a group of people are bad.
[11:16.000 --> 11:23.000]  Imagine if you said the biggest problem in America is black people. That's what they're saying. It's white people.
[11:23.000 --> 11:28.000]  And then they're not bringing up here from Venezuela, and they admit now most of them from Venezuela,
[11:28.000 --> 11:32.000]  not Honduras, not Guatemala. They were staged there by the UN.
[11:32.000 --> 11:41.000]  That country totally collapsed. The only route Venezuela has is north. It's up there in eastern, northern South America, northeast South America.
[11:41.000 --> 11:45.000]  And they're all just coming right in, up through Central America.
[11:45.000 --> 11:49.000]  They're not allowed to stop. They just leapfrog from UN center to UN center.
[11:49.000 --> 11:57.000]  Now they've got the buses all lined up, funded by the open society, funded by USAID, funded by the Annenberg,
[11:57.000 --> 12:03.000]  funded by the MacArthur, funded by the Ford Foundation. It's all the same names.
[12:03.000 --> 12:17.000]  And there are the buses. And guess what? Oh, the first buses are set to start arriving in just three to four days in McAllen, Texas.
[12:17.000 --> 12:23.000]  Oh, we've been down there six or seven times. Six years ago, five years ago, four years ago, two years ago.
[12:23.000 --> 12:29.000]  The report, we're going to play it coming up, is the UN in charge at the Texas border.
[12:29.000 --> 12:34.000]  And the Border Patrol ordered to load people. They haven't even checked their identities on buses.
[12:34.000 --> 12:38.000]  Many of us ended up being trafficked by sex traffickers.
[12:38.000 --> 12:41.000]  Print me the Washington Post and then again, please.
[12:41.000 --> 12:47.000]  So imagine, I'm up here trying to say it's Soros in the UN and the media is like, that's insane. Fireloo dogs.
[12:47.000 --> 12:55.000]  My God, he says again, the sun is yellow in the daytime sky.
[12:55.000 --> 13:02.000]  When it's on record that it's Soros, it's on record they're child smuggling. It's on record it's illegal.
[13:02.000 --> 13:08.000]  But see, Obama had executive orders in place saying to the Border Patrol, you just let the people come in.
[13:08.000 --> 13:14.000]  They're like, well, most of these are little kids or adults and there's not even parents and we're loading them on.
[13:14.000 --> 13:18.000]  All these so-called charities, we don't even know who they are and they're just disappearing.
[13:18.000 --> 13:25.000]  And a lot of them ended up in sex slavery or dead or trafficked into other countries.
[13:25.000 --> 13:33.000]  How dare Trump change that? And if you show up out of a desert with crying kids and there's two men and seven kids
[13:33.000 --> 13:38.000]  and the kids are crying in Spanish saying, my mama was killed, my mama was killed.
[13:38.000 --> 13:48.000]  Oh, we're just going to load you up on a bus with some weird creepy potbellied Democrat who probably got a Nambla card in their wallet
[13:48.000 --> 13:52.000]  and just bye-bye because if you don't, you're abusing people.
[13:52.000 --> 13:57.000]  This is the lawlessness Democrats create in every city and the piles of human feces.
[13:57.000 --> 14:04.000]  Why? Because they're devil worshipers. They're filled with a spirit of destruction and pain.
[14:04.000 --> 14:10.000]  And there are children being abused everywhere around them because they're psychic vampires.
[14:10.000 --> 14:19.000]  When Chuck Schumer and Pelosi drive by and see feces everywhere and kids starving, it's like a fire to their satanic spirit.
[14:19.000 --> 14:24.000]  It's like warm. See, badness to someone who's into serious satanism is the only time they feel warm.
[14:24.000 --> 14:29.000]  I've talked to top psychiatrist, you name it, who've been on and they don't want to be putting books.
[14:29.000 --> 14:34.000]  But the criminologists know this. The child molesters, the child killers, they have nightmares.
[14:34.000 --> 14:40.000]  They feel like they're demon possessed. They're absolutely unhappy unless they're hurting someone really innocent.
[14:40.000 --> 14:47.000]  And then there's like white light all around them. They feel warm. They feel good. They feel satisfied.
[14:47.000 --> 14:55.000]  The only time George Soros feels alive is when he's hurting innocent people and ripping countries apart and taking old people's pensions
[14:55.000 --> 15:01.000]  and having them freeze to death because they don't have any power for gas.
[15:01.000 --> 15:05.000]  And when you understand that, you understand everything at that point.
[15:05.000 --> 15:11.000]  They want to hurt you and your family. They want to steal your birthright. They want to steal your speech.
[15:11.000 --> 15:19.000]  They want to steal your genetics. They want to sterilize you. Every form of evil that they can invent, they do.
[15:19.000 --> 15:24.000]  So that's what they're doing.
[15:24.000 --> 15:31.000]  And it's a giant criminal operation and it must be met. It must be dealt with head on.
[15:31.000 --> 15:39.000]  Are you going to let Alexander Soros literally suck the spiritual essence out of this country
[15:39.000 --> 15:42.000]  into that black hole that are his two eyes?
[15:42.000 --> 15:52.000]  No. No. You shall not pass. You, back to hell in the name of Jesus Christ.
[15:52.000 --> 16:10.000]  In the name of Jesus Christ. Back to hell, Soros. Back to hell.
[16:23.000 --> 16:29.000]  It's like the one you're listening to.
[16:29.000 --> 16:36.000]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[16:36.000 --> 16:40.000]  Since 2005, thousands have depended on Berkey purified water.
[16:40.000 --> 16:48.000]  The Berkey guy provides the lowest price filtration systems in every size for incredibly delicious water now and in an emergency.
[16:48.000 --> 16:59.000]  Get to GoBerkey.com or call 877-886-3653. 877-886-3653. GoBerkey.com
[17:18.000 --> 17:36.000]  Here that. That's the sound of a house being trashed while a gang of thieves ransacked the place.
[17:36.000 --> 17:39.000]  And what they don't steal will be destroyed.
[17:39.000 --> 17:50.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[17:50.000 --> 17:57.000]  Security is a mindset and fake TV should be part of your security solution. Be vigilant, but not fearful.
[17:57.000 --> 18:10.000]  Go to faketv.com.
[18:27.000 --> 18:38.000]  We began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:38.000 --> 18:42.000]  Polymblock is natural and effective. It is not an antihistamine.
[18:42.000 --> 18:52.000]  In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:52.000 --> 19:00.000]  Go outside and enjoy the air you breathe. Head to InfowarsLife.com and grab a pack of our Polymblock chewable tablets.
[19:23.000 --> 19:31.000]  It features the same great formula that supports your heart, brain, healthy aging process with an all-new natural caffeine boost included.
[19:31.000 --> 19:37.000]  A powerful, pregnant-owned base, the real red pill, has quickly become one of our fellow Infowars' favorite products.
[19:37.000 --> 19:48.000]  Now, with an extra proprietary energy blend inside, including green tea extract and rematte leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[19:48.000 --> 19:57.000]  Got all the great stuff that real red pill has? It's also got the boost in it. Get the Real Red Pill Plus at InfowarsStores.com.
[20:18.000 --> 20:45.000]  It is in the U.S. Constitution. It's in the U.S. Constitution. And it's in the Bill of Rights. And it's also in English common law that was hard fought to get the right to keep and bear arms.
[20:45.000 --> 20:53.000]  And that right has been usurped all over the planet where once free peoples were allowed to have weapons. Only slaves are disarmed.
[20:53.000 --> 21:03.000]  It's the first sign of a free person is that they have speech, and they have the right to private property, and they have the right to arms to defend themselves.
[21:03.000 --> 21:21.000]  The trifecta. And then, of course, with that comes the right to worship or not worship. Everything else flows from those founts of speech, of defense, of property. A man's home is his castle.
[21:21.000 --> 21:36.000]  That's Magna Carta. 1215. 1776 was not a revolution against England. It was a revolution against the corrupt Imperium usurping the rights of Englishmen.
[21:36.000 --> 21:54.000]  1776 was born on the field on the plain of Runnymede. 1776 was born in 1215.
[21:54.000 --> 22:20.000]  2016 was born on the field of Runnymede. 2018 in Brazil and Germany was born on the field of Runnymede. The epicenter, the beginning, the trigger chain reaction to the Renaissance that then swept Europe 300 years later.
[22:20.000 --> 22:25.000]  Think about it.
[22:25.000 --> 22:42.000]  So, people have a right to go down to the border with their firearms, but Trump's got it handled. The professional military's got it handled.
[22:42.000 --> 22:54.000]  This is so dangerous, they don't even want the National Guard running it. Okay? So, everybody needs to stay away from the border. You've got a right to go down there with your firearms.
[22:54.000 --> 23:16.000]  But I'm guaranteeing you, right now the globalists are rushing buses up, just like we predicted and James Woods predicted and others did a few weeks ago, to get them to the border a few days before. And the first are supposedly going to show up in three and a half days in McAllen where they've got a friendly leftist government down there that works under the UN.
[23:16.000 --> 23:28.000]  I'm going to show newscast for you in a minute, saying that, and they're going to bring across the people. And if Trump stops them, they're going to show little kids, they hold up front and say, look, Trump's hurting little kids, the army's hurting little kids.
[23:28.000 --> 23:45.000]  These are people using children as shields who have been leftist organized in Venezuela and Nicaragua and San Salvador and Honduras and Guatemala that are hell, whole countries.
[23:45.000 --> 24:05.000]  I'll just leave it at that. I've had family that died of the results of their wounds living down there. So, it's been bad, it's real bad, and it makes Mexico look nice.
[24:05.000 --> 24:25.000]  And it's all being organized by the UN and the State Department with all the stay-behind networks of Soros. And when Lou Dobbs covered that last week, the entire system went into a connection fit and everything Soros had on Facebook and Twitter just hit them with hundreds of thousands of calls,
[24:25.000 --> 24:39.000]  millions of emails to just harass Fox to remove that because it was the total truth. This is a foreign invasion organized out of our own government and it's criminal and Trump should cut the funding off of the State Department to Soros.
[24:39.000 --> 24:44.000]  That's it. The head's off the snake. Got to happen now.
[24:44.000 --> 24:55.000]  How do you think they want me off the air because my information warfare bombs are true and they go right? You ever seen the videos of cruise missiles that shoot through people's windows? That's them full wars.
[24:55.000 --> 25:04.000]  They're sitting there drinking their coffee in the New World Order and here comes the truth right through, right between their eyes, through the window and up politically.
[25:04.000 --> 25:22.000]  That's the same thing. And when you see them freak out, you know it's the truth. But I don't need to see Lou Dobbs say that. I've been videotaping. It's on the local news all the time that the UN runs all this and the damn buses every day 20, 30, 40 up in the McAllen alone just hammering through kids being sex trafficked all of it.
[25:22.000 --> 25:33.000]  So what am I getting at here? This is out of the Daily Caller. It's up on infowars.com. And I totally agree with this. U.S. Border Patrol warns Texans about militias stopping migrant caravan.
[25:33.000 --> 25:42.000]  I'm not worried about real militias and military veterans down there with walkie talkies and firearms because it's dangerous and everything and, you know, calling and helping when you see people.
[25:42.000 --> 25:57.000]  But you're going to be set up. If I was the globalist, I would send down infiltrators into these teams using fake names, you name it, provocateurs to link up with other militias and other civil defense groups.
[25:57.000 --> 26:06.000]  We've got a great job in Arizona, other areas documenting as journalists what's going on.
[26:06.000 --> 26:19.000]  But you know this is the prime false flag. I'm sure of it now. Mike Adams has been sure of it. They are rushing those buses to the border to have the quickest confrontation they can.
[26:19.000 --> 26:32.000]  And they want to send it to Texas because they know Texas is going to have a strong response. And they want to make it look like Kent State for the National Guard shooting people.
[26:32.000 --> 26:38.000]  And that's how the War of Independence began on Bunker Hill.
[26:38.000 --> 26:49.000]  Is somebody shot first? They're not sure. Probably the British. But when you want to start a war, you have somebody off the side who fires the shot heard around the world. We don't need the shot heard around the world down there.
[26:49.000 --> 26:59.000]  And listen, patriots know this. They're staying away or you're going down there as journalists. You're not calling yourself militias.
[26:59.000 --> 27:17.000]  But if you want to go into a hornet's nest at Southern Poverty Law Center and media matters and serious operatives who obviously aren't just working at media matters at Southern Poverty Law Center, they are foundation level, higher than CIA, really bad people.
[27:17.000 --> 27:26.000]  They got access to your bank accounts. They got access to everybody. They have total access to everything. Top security clearance, code links to everything. They are the stay behind criminal network.
[27:26.000 --> 27:39.000]  And they stick out like sore thumbs. They look like demonic hunchback rats. I don't care if they're black, white, they're just evil people. But you better watch your butt if you go down there and you better say you're a journalist.
[27:39.000 --> 27:48.000]  And I get having a firearm in your vehicle, but man, you don't want to be set up by these people because they're going to do it.
[27:48.000 --> 28:02.000]  The groups they're affiliated with, the stay behind networks. And this is an emergency situation. So all I can tell you is Arizona, California, Texas, you probably need more people down there.
[28:02.000 --> 28:13.000]  But it's like Yoda tells Luke Skywalker, hey, don't take your weapons into that part of the swamp. He's like, why? Well, this isn't a place for weapons at this point.
[28:13.000 --> 28:19.000]  There's a time for weapons. There's a time not for weapons. Of course, he doesn't listen and takes his weapons and you see what happens.
[28:19.000 --> 28:32.000]  And anybody that's got any understanding knows this is not where the citizen militia is absolutely constitutional and wonderful and good. This is not the place for that.
[28:32.000 --> 28:37.000]  This is not the place for that. We trust Trump. He knows what he's doing.
[28:37.000 --> 28:46.000]  We do need citizens down there in safe areas. Do what the border patrol says. Video taping and documenting because they're going to try to set the border patrol up and everybody.
[28:46.000 --> 29:10.000]  And so you've got to be there to document that. Information warfare is what's needed now. First amendment now. That's the weapon system. Use it. Hammer them hard. It's the weapon right now. Information warfare. Get down there and defend the truth.
[29:16.000 --> 29:29.000]  Give yourself and your loved ones the excitement and tradition of Slingbow, a new frontier in archery and truly modern twist on this primitive survival tool. Feel the thrill only at Slingbow.com.
[29:46.000 --> 29:59.000]  That's G-U-S-S-E-T dot com. Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to. In Liberty, David Hall, Diamond Gusset Jean Company.
[30:16.000 --> 30:29.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do. But I want to be a market leader and I want you to have storeable food so it's a total win-win.
[30:29.000 --> 30:43.000]  We have those incredible sell prices back in forward store dot com on in forward select storeable foods. They've got special diet foods. They've got three month supplies, your supplies, weak emergency supplies. They've got so many great products there.
[30:43.000 --> 30:54.000]  They've got a three year supply. If stuff happens, you can feed your whole block. It's up to us to be self-sufficient. If you're buying war bonds, bringing great products together with God's help, we are unstoppable.
[30:54.000 --> 31:21.000]  In forward store dot com, in forward select, high quality storeable foods, powered by my Patriot supply.
[31:24.000 --> 31:41.000]  We're back against the chemicals in the food and water to fight back against the modern day lifestyle with the screen time and the extended hours to still have the stamina and endurance, energy and drive to get to the gym, get to the park and get exercise that you need for your health.
[31:41.000 --> 31:56.000]  In forward store dot com and get super mail vitality before it's gone. This is actually our last run of super mail vitality. So I want you to experience super mail vitality before it's too late. Unleash the super mail in you.
[31:56.000 --> 32:16.000]  Super mail vitality. Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, in forward life has the formula for you. Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA and omega-3 is found in our high quality, ultra pure Krill Oil concentrate.
[32:16.000 --> 32:26.000]  Containing powerful antioxidants such as Azazanthin and omega-3s, ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[32:26.000 --> 32:38.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[32:38.000 --> 32:50.000]  And while other Krill Oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high quality Krill Oil concentrate, paired with our ultimate fish oil or you separately.
[32:50.000 --> 33:11.000]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil, now available at InfowarsStore.com.
[33:11.000 --> 33:20.000]  When I grow up, I want to be a rock star!
[33:41.000 --> 33:49.000]  To the Central Texas Command Center and the heart of the Resistance, you're listening to Alex Jones.
[33:49.000 --> 33:57.000]  America won't die, you will die!
[33:57.000 --> 34:00.000]  They don't have any power!
[34:00.000 --> 34:11.000]  All they could do, like call, sleep, sleep, put us into a trance, and then suck us dry, but we woke up, pulling them off our necks.
[34:11.000 --> 34:15.000]  And now we're getting our strength back.
[34:15.000 --> 34:22.000]  Coming for you, globalists, coming for you.
[34:22.000 --> 34:32.000]  For an American band, we're coming to your town with prosperity and fortune and the stars.
[34:32.000 --> 34:38.000]  It's a lot better than North Korea and Venezuela, isn't it?
[34:38.000 --> 34:41.000]  For young Chiquitas in Omaha.
[34:41.000 --> 34:51.000]  Good part right here.
[34:51.000 --> 34:53.000]  Feeling good, feeling right.
[34:53.000 --> 34:57.000]  Saturday night, the hotel detective.
[34:57.000 --> 35:00.000]  He was out of sight.
[35:00.000 --> 35:04.000]  I don't know what he's talking about, let's stop right there.
[35:04.000 --> 35:07.000]  They were going to get to meet the boys in the band.
[35:07.000 --> 35:08.000]  Good, good song.
[35:08.000 --> 35:10.000]  Okay, I'm going to stop right there.
[35:10.000 --> 35:12.000]  I'm feeling victory.
[35:12.000 --> 35:14.000]  What about you?
[35:14.000 --> 35:17.000]  I'm feeling victory here.
[35:17.000 --> 35:21.000]  Now, exactly what does that victory portend?
[35:21.000 --> 35:24.000]  And what is the shape of that victory?
[35:24.000 --> 35:35.000]  Because you can feel, you can see, you can smell, and you can put the temporal evidence together as well and get a clear picture from a distance.
[35:35.000 --> 35:42.000]  But like a mirage, you know you're approaching something good, but is it what you thought it was?
[35:42.000 --> 35:51.000]  Like the Garth Brooks song, some of God's greatest gifts were unanswered prayers?
[35:51.000 --> 35:53.000]  I think we're going to win this election.
[35:53.000 --> 36:01.000]  But even if the enemy somehow is able to steal it, victory is close.
[36:01.000 --> 36:11.000]  But like a video game or like any chapter in a book or the way life really works, as soon as we've slayed this big dragon
[36:11.000 --> 36:19.000]  and then walked up to the top of the next hill, we're going to see something 20 times worse, but we're going to have confidence.
[36:19.000 --> 36:27.000]  And remember what we went through and we're going to look down from the top of the hill to the thing we thought was so big and it's going to be little.
[36:27.000 --> 36:31.000]  We're going to think, is it far away and looks small?
[36:31.000 --> 36:38.000]  And if we walk back down the hill, by the time we even get there, what we were fighting has melted away.
[36:38.000 --> 36:43.000]  It's not even dust, let me say.
[36:43.000 --> 36:45.000]  You see how that works?
[36:45.000 --> 36:47.000]  It's all an illusion.
[36:47.000 --> 36:49.000]  Of course people want prosperity.
[36:49.000 --> 36:51.000]  Of course humans can do anything.
[36:51.000 --> 36:54.000]  We're making the image of the big guy.
[36:54.000 --> 36:59.000]  He didn't dump us out on this planet to play tiddlywanks.
[36:59.000 --> 37:02.000]  And the globalists know that and they just want to control it.
[37:02.000 --> 37:04.000]  They're like, oh my God, this is incredible.
[37:04.000 --> 37:05.000]  We've got to be in charge of this.
[37:05.000 --> 37:07.000]  Don't let them know how amazing they are.
[37:07.000 --> 37:12.000]  Tell them they're crap constantly and they're killing the earth while we're actually killing it.
[37:12.000 --> 37:18.000]  Because our God says killing it.
[37:18.000 --> 37:22.000]  This is quite the Halloween special so far, isn't it?
[37:22.000 --> 37:24.000]  Okay, I'm going to stop right there.
[37:24.000 --> 37:31.000]  Let me get serious here.
[37:31.000 --> 37:40.000]  Just Rob Zombie's rendition of American Band of Underground Railroad or whatever.
[37:40.000 --> 37:41.000]  It's too good.
[37:41.000 --> 37:45.000]  Maybe we should hear that song again.
[37:45.000 --> 37:46.000]  Okay, all right.
[37:46.000 --> 37:47.000]  Let me just stop for a minute.
[37:47.000 --> 37:48.000]  Just stop for a minute.
[37:48.000 --> 37:54.000]  We've got a lot of serious stuff to cover here.
[37:54.000 --> 37:58.000]  There's something really important I was going to hit when I came back in on a break.
[37:58.000 --> 38:04.000]  And I got a little bit flummoxed and I know what it is I want to cover.
[38:04.000 --> 38:07.000]  But I'm having trouble finding my article.
[38:07.000 --> 38:08.000]  Here it is.
[38:08.000 --> 38:12.000]  And so I'm going to kind of reconnoiter here for a minute.
[38:12.000 --> 38:14.000]  And when I come back in the next segment, I'll get into it.
[38:14.000 --> 38:21.000]  But Kanye West did not come out against President Trump.
[38:21.000 --> 38:32.000]  The media went with that lie, what he came out against was Candace Owens speaking for him
[38:32.000 --> 38:35.000]  and getting too big for her britches.
[38:35.000 --> 38:38.000]  And I'm not in the business of, you know, fawning after celebrities.
[38:38.000 --> 38:40.000]  I like Kanye West.
[38:40.000 --> 38:43.000]  And my friend, I don't pay attention to pop music very much.
[38:43.000 --> 38:48.000]  But once I saw years ago gay fish in the whole South Park thing, I thought this is really good.
[38:48.000 --> 38:49.000]  I like this song.
[38:49.000 --> 38:51.000]  I listen to gay fishes routinely.
[38:51.000 --> 38:53.000]  It's on my list of music.
[38:53.000 --> 38:56.000]  It's a comedy that the South Park brothers came up with.
[38:56.000 --> 38:58.000]  A little funny piece.
[38:58.000 --> 39:01.000]  And people said, well, that's what Kanye really sounds like.
[39:01.000 --> 39:05.000]  So I got on the Spotify and I typed in, you know, Kanye.
[39:05.000 --> 39:08.000]  And I sort of like, cold digger all these songs.
[39:08.000 --> 39:09.000]  Now, this is the rap I like.
[39:09.000 --> 39:11.000]  Well, no wonder this got so famous.
[39:11.000 --> 39:12.000]  This is good stuff.
[39:12.000 --> 39:14.000]  Because most of the stuff I hear, you know, rap on the radio.
[39:14.000 --> 39:15.000]  It's like, it's like new country.
[39:15.000 --> 39:16.000]  I just can't listen to it.
[39:16.000 --> 39:18.000]  Kanye West, it's all really good.
[39:18.000 --> 39:20.000]  It's very diverse music as well.
[39:20.000 --> 39:24.000]  Every song doesn't sound the same show.
[39:24.000 --> 39:32.000]  Well, I'll tell the story when we come back from break, but it's important because he's a bellwether and they're trying to destroy him for what he's done.
[39:32.000 --> 39:42.000]  And then he had to put the brakes on because he did not design that shirt and he did not give her permission to do that.
[39:42.000 --> 39:47.000]  And that's the one thing really makes artists mad is people not just taking credit for something.
[39:47.000 --> 39:48.000]  They've done.
[39:48.000 --> 39:49.000]  Most artists can handle that.
[39:49.000 --> 39:53.000]  Don't say I did something when I didn't.
[39:53.000 --> 39:54.000]  It's like politics.
[39:54.000 --> 39:57.000]  I didn't say get battle rifles and go kill the media.
