[00:00.000 --> 00:01.400]  We've got it, Bada.
[04:48.800 --> 04:59.800]  But back to Mitt Romney. He, of course, is, I'll tell you about when we get back, but Mitt Romney's a big carbon tax supporter and the author of Obamacare.
[04:59.800 --> 05:07.800]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history.
[05:07.800 --> 05:12.800]  These are finishing off this agenda that we're pulling the rug from underneath Americans at home.
[05:12.800 --> 05:18.800]  I've turned a tremendous influence on our president in Congress, and they really are calling the shots.
[05:18.800 --> 05:23.800]  I think it's incumbent upon all of us as American citizens to pay attention.
[05:23.800 --> 05:33.800]  Full of the republic identifies the enemies of our nation. The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[05:33.800 --> 05:39.800]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches, and the Congress is saying, who do we make the checkout to?
[05:39.800 --> 05:46.800]  Today seems like nobody does care. And right now in Washington, D.C., we have seen a fall of the republic.
[05:46.800 --> 06:07.800]  Get your copy of Full of the Republic on DVD at infowars.com or watch it online right now in super high quality at prisonplanet.tv.
[06:16.800 --> 06:36.800]  Okay, ladies and gentlemen, we are live. Thank you so much for joining us.
[06:36.800 --> 06:46.800]  It is, of course, Sunday, the 25th day of September 2011. We're going to be live here for the next two hours.
[06:46.800 --> 06:50.800]  We're also going to have open phones. I want to get into some of the news, and I'll open the phones up.
[06:50.800 --> 06:58.800]  I want to take your calls throughout the next two hours. And we have Aaron Dykes and FullWars.com reporter with some breaking news joining us at the start of the next hour.
[06:58.800 --> 07:08.800]  We're also going to talk for a few minutes with Luke Radowski, who's been inside of those Wall Street demonstrations, where there have now been a whole bunch of different arrests taking place.
[07:08.800 --> 07:27.800]  We have the Daily Mail, as well as Reuters reporting that the euro has six weeks to live if the countries that make up the euro in Europe do not give up all of their sovereignty to a, quote, financial union owned and run by the very same megabanks that sold those governments
[07:27.800 --> 07:30.800]  the worthless derivatives.
[07:30.800 --> 07:45.800]  And they're holding Europe hostage, of course. If Europe gives in and waves what sovereignty it has left, even out of the euro itself, they, of course, will be further imploded, just like the big central banks have done in the third world over and over again.
[07:45.800 --> 08:02.800]  Here in the US, of course, the traders in both parties have transferred power to the new super congress that controls the power of the purse. An unprecedented event that's gotten almost no news coverage. We live in incredible times as the private corporate criminal world government openly establishes itself.
[08:02.800 --> 08:22.800]  Now, before I get into the fall of Barack Obama, and what could be the political fall of Rick Perry before he ever hatched out on the national stage and break down what happened at the Republican, the latest Republican debate with Herman Cain winning and a lot more.
[08:22.800 --> 08:37.800]  And the Miami paper has the headline here. Let me just give it to you, because it's amazing. Rick Perry in deep trouble. That's the Miami Herald headline. Before I get into that.
[08:37.800 --> 08:51.800]  And the establishment dinosaur corpse zombie walking corpse media that that there's a big survey out today that the mainstream media is furthering and accelerating its its hemorrhaging of viewers and readers.
[08:51.800 --> 09:07.800]  We crossed the Rubicon two and a half years ago, according to a bunch of big university studies where the internet now has more viewers, more listeners, more readers, going there for news than all the mainstream media combined, even with their internet footprint alternative is bigger than them.
[09:07.800 --> 09:22.800]  But that hemorrhaging has only accelerated as they continue to try to prop up people like Rick Perry. Here's the cover of Time magazine, the rise of Rick Perry. So I am in quick fall if we get the word out on this guy.
[09:22.800 --> 09:43.800]  The same thing with the other kind all pretty boy. Mr. Mr. Carbon tax Mr. Obamacare Mitt Romney. If we get the word out about what they really support, it's over for them. And you notice people are waking up now in a few weeks to these people instead of taking a few years like Obama or six, seven years with
[09:43.800 --> 10:03.800]  George W Bush or seven and a half years to wake up to Bill Clinton being a con artist. People are waking up to the game that the who has talked about, you know, I was driving in today, listening to 93.7 LBJ, the local rock station and listen to the who song won't get fooled again.
[10:03.800 --> 10:18.800]  And this was something. This was music that came out in 1971. And they're talking about the left right paradigm. They're talking about the scams. They're talking about how it's a two party dictatorship.
[10:18.800 --> 10:34.800]  But finally, decades and decades later, more and more people. Well, Congress has a 9% approval rating, the lowest in history. There is a political realignment happening. There is a great awakening. But just because you're awake doesn't know, doesn't mean you know exactly where you are.
[10:34.800 --> 10:48.800]  You never woke up in the middle of the night in the hotel room. And you wonder where you are. Takes you a few seconds to go. Oh, I'm out of town. You know, I'm in New Mexico or I'm in California or I'm in New York or I'm in South Texas. I'm in Illinois.
[10:48.800 --> 11:01.800]  You're not at home, you know, back in Kansas anymore. That's the same thing. People are awake now. But that doesn't mean they figured out exactly what's going on. But at least now they'll listen and understand this global criminal takeover.
[11:01.800 --> 11:15.800]  I mean, listen to the words from Won't Get Fooled Again by the Who. First, maybe if you're younger or older and don't know who the Who are, I should play a clip of this song to remind you. Here it is.
[11:15.800 --> 11:34.800]  You've heard that before. Alright, we're going to come back after the break and actually play some of the pertinent sections from the piece about meet the new boss, same as the old boss, Won't Get Fooled Again.
[11:34.800 --> 11:46.800]  But I wanted to remind you of the Who. By the way, Jaren was down at his favorite place to watch soccer on television. You don't mind if I say where you go and watch soccer, do you, Jaren?
[11:46.800 --> 11:59.800]  He loves it. Fado's down there. He's always trying to get me to go down there. And I guess he was there, Robert Plant. And I almost could strangle Jaren for not going up with his iPhone, his producer phone, and shooting quick interview with Robert Plant.
[11:59.800 --> 12:09.800]  Nobody was bugging him in there. Most people didn't even know who he was. I guess he owns one of the teams, his team was losing, the team he was watching, and Jaren didn't go over and talk to Robert Plant.
[12:09.800 --> 12:16.800]  And then Jaren pointed out, well, my iPhone's so old, the producer iPhone is so old, it doesn't shoot video, so I have to get a new producer phone.
[12:16.800 --> 12:30.800]  But side issue that got brought up. I heard Jeff Ward on Local 590 AM this week saying that he talked to a cab driver who saw, who had Robert Plant in his car. I don't know why Robert Plant's here in town.
[12:30.800 --> 12:36.800]  And quite frankly, at the end of the day, it's a great musician, but I really don't care. I just brought it up because we're talking about rock and roll.
[12:36.800 --> 12:47.800]  Listen to the words of this song before I come back and get into what's really happening in the 2012 presidential campaign. Obama, Rick Perry, all of them. They're all in the same camp. Different parties, same camp.
[12:47.800 --> 13:03.800]  Only one guy stands outside of it. But listen to this. These words won't get fooled again. The who? We'll be fighting in the streets with our children and our feet, and the morals that they worship will be gone.
[13:03.800 --> 13:11.800]  And the men who spurred us on sit in judgment of all wrong. They decide and the shotgun sings the song.
[13:11.800 --> 13:22.800]  Talk about revolution. I'll tip my hat to the new constitution. I'll take a bow for the new revolution. Smile and grin at the change all around me. The hope and change is 1971.
[13:22.800 --> 13:30.800]  Pick up my guitar and play just like yesterday and I'll get on my knees and pray we won't get fooled again. Don't get fooled again.
[13:30.800 --> 13:45.800]  Change had had to come. We knew it all along, but we were liberated from the fall. That's all. But the world looks just the same and history ain't changed because the banners, they were all flown in the last war.
[13:45.800 --> 13:54.800]  They're always fighting the last war, not the new, the new con game. You think of a dictator as Hitler, Stalin and Mao, not as a bureaucracy, not as a banking cartel.
[13:54.800 --> 14:07.800]  I'll tip my hat to the new constitution. Take a bow for the new revolution. Smile and grin at the change all around me. Pick up my guitar and play just like yesterday and I'll get on my knees and pray we won't get fooled again.
[14:07.800 --> 14:17.800]  Don't get fooled again. No, no. By the way, I have confirmed from folks that most of the who are huge fans of the show. And if you're listening out through, you ought to come on the show.
[14:17.800 --> 14:29.800]  Of course, there's even folks in rock bigger than the who I've talked to who are listeners but won't come on. Continuing here, I'll move my shelf and my family aside.
[14:29.800 --> 14:38.800]  If we happen to be left half alive, I'll get all my papers and smile at the sky for I know that the hypnotized never die. Do you?
[14:38.800 --> 14:58.800]  And it doesn't sound as good when I'm speaking at sorry folks. There's nothing in the street looks any different to me and the slogans are replaced by the by and the parting on the left is now the parting on the right and the beards have all grown longer overnight.
[14:58.800 --> 15:11.800]  I'll tip my hat to the new Constitution. I'll take a bow for the new Revolution. Smile and grin at the change all around me. Pick up my guitar and play just like yesterday that I'll get on my knees and pray we don't get fooled again.
[15:11.800 --> 15:23.800]  Don't get fooled again. No, no. Yeah. Meet the new boss same as the old boss. Folks, do you like being conned? Do you enjoy being screwed around?
[15:23.800 --> 15:40.800]  There's one person in the 2012 race who's being attacked by MSNBC and Fox by CNN and CNBC. There's one guy in every debate who when he wins the poll, the MSNBC didn't show it and Fox didn't either.
[15:40.800 --> 16:01.800]  There's one guy that they boo that they dub booing over whenever he won the CPAC poll two years in a row. His name's Ron Paul. We're going to talk about Rick, slime ball, Perry, all of them straight ahead. We're going to talk about Obama and how pathetic he is and how I told you he would implode.
[16:01.800 --> 16:14.800]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator. Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[16:14.800 --> 16:30.800]  The respiratory system is the first line of defense for airborne pathogens and viruses. The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[16:30.800 --> 16:45.800]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator. Very easy to follow, step-by-step instructions are provided, making production fast and simple.
[16:45.800 --> 17:00.800]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator. That's www.silverlungs.com.
[17:16.800 --> 17:27.800]  Now this man has made some outrageous predictions over the years. The crazy part is, he's usually right. You see, he predicted the collapse of GM, Panny May, Freddie Mac and America's biggest mall owner, General Growth Properties.
[17:27.800 --> 17:38.800]  In fact, Barron's called his work a dire prophecy. Recently, he created a video which you can watch online for free, detailing his biggest and most important prediction yet, and it's a real eye-opener.
[17:38.800 --> 17:46.800]  If you can't stress this enough, you should at least watch this free video online today. He explains everything you need to know, including simple steps you can take to protect yourself.
[17:46.800 --> 17:59.800]  You can find the video at www.endofamerica3.com. That's end of America. The number 3.com. Watch the free video at www.endofamerica3.com. That's end of america3.com.
[17:59.800 --> 18:08.800]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator. Number 1. New climate legislation could easily double or triple your electric bill.
[18:08.800 --> 18:19.800]  Number 2. Our new energy czar wants to control how much power your electric company allows you to have. It's true. Total government control of electricity in the name of smart grid technology is coming.
[18:19.800 --> 18:31.800]  Number 3. In some areas of the country, the power grid is dangerously overloaded. And now, new socialist legislation is only compounding the problem. Number 4. Dangerous weather is always a threat to local grids.
[18:31.800 --> 18:40.800]  Every year, thousands of families lose their power from weather-related onages. Number 5. A solar power generator provides powerful backup insurance and peace of mind.
[18:40.800 --> 18:51.800]  Number 6. I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors. You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[18:51.800 --> 18:59.800]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[18:59.800 --> 19:10.800]  Hello friends, Alex Jones here. You all know I've worked for years with Steve Shank and eFood Direct. I have eFoods for my own emergency food supply. You know, Steve, life is different now for all of us, isn't it?
[19:10.800 --> 19:23.800]  Very different. People are using this great food to survive the present hurricane season, and we've already had $40 billion worth of damage from floods, storms, quakes, and droughts. And that's just the first 8 months of this year.
[19:23.800 --> 19:30.800]  Disasters are newsworthy, but only touch a few of us Americans. The huge issue of the Great Depression is on everyone's mind.
[19:30.800 --> 19:38.800]  The unemployment, the loss of homes, lost businesses, and skyrocketing food costs are hitting every American, so everyone needs food security.
[19:38.800 --> 19:45.800]  Folks, this month you will get free shipping on every food order from eFoods Direct. That's right, every order gets free shipping starting September 6.
[19:45.800 --> 19:59.800]  Get stocked up with the best-gorable foods out there with eFoods Direct, and be prepared for any emergency before it happens. Take advantage of this special call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[20:15.800 --> 20:25.800]  That's right, all of these foods are going to be sold.
[20:25.800 --> 20:54.800]  That's right, all of these foods ran from George W. Bush when he was leaving office to Barack Obama. And if you would have voted for McCain, you would have been going to another establishment,
[20:54.800 --> 21:02.800]  bought and paid for individual. When you actually look at their policies, there's almost no difference. There's a difference in delivery and style.
[21:02.800 --> 21:11.800]  But in the final equation, modern American presidents are puppets of the bureaucracy and of the special interests that are put into power.
[21:11.800 --> 21:21.800]  Now, I know what I'm saying here today is no revelation. I know that probably over 90% of you are saying, really Alex, tell us something we don't know.
[21:21.800 --> 21:31.800]  What are you going to tell us next, that birds sing, that water's wet, that the sky is blue? Okay, so you know this.
[21:31.800 --> 21:40.800]  Well, then why is Mitt Romney right now the frontrunner with Rick Perry II and Ron Paul III?
[21:40.800 --> 21:47.800]  Why are two died-in-the-wool establishment hacks in power?
[21:47.800 --> 21:56.800]  Let me go one further. Why don't Democrats love Rick Perry and love Mitt Romney?
[21:56.800 --> 22:01.800]  I mean, they're for torture, they're for wars, they're for big government.
[22:01.800 --> 22:06.800]  They're bought and paid for by the very same big Wall Street interests that get the trillions in corporate welfare.
[22:06.800 --> 22:25.800]  I mean, if you really look at who finances all these people, that's what I used to tell Democrats. I said, look, you should love George Bush because the very same special interests that are financing your political party are financing him.
[22:25.800 --> 22:36.800]  And I told Democrats, I said, you're going to love Obama even though he's going to continue everything Bush did because that's who the very same special interests are putting money into.
[22:36.800 --> 22:43.800]  This is not rocket science. And so the Republican and Democratic leadership will act like they're fighting with each other.
[22:43.800 --> 23:02.800]  But when you get down to a case like Ron Paul, and I was driving in listening to local radio today and I heard a host asking his listeners, why are you saying Ron Paul is the first here when he came in fifth or whatever it was in Florida?
[23:02.800 --> 23:08.800]  Why do you guys keep insisting he can win? And I heard a few callers who really couldn't articulate things.
[23:08.800 --> 23:19.800]  Let me articulate things for everybody out there, okay? Ron Paul has won the two coveted CPAC polls in a row by record percentages.
[23:19.800 --> 23:26.800]  That is a Republican straw poll of the real Republican faithful.
[23:26.800 --> 23:35.800]  He got standing ovations when he spoke about non-interventionism and true libertarian constitutionalism that you can call conservatism.
[23:35.800 --> 23:39.800]  That's all just labels. The point is he's just dead fast.
[23:39.800 --> 23:46.800]  And this year when he won, Fox News dubbed booing over it and Cotton said it was an accident.
[23:46.800 --> 23:54.800]  Ron Paul has won the New Hampshire statistically because she's bought 4,000 votes that's admitted. He won the Iowa.
[23:54.800 --> 24:02.800]  He won the California. He won most of the other states or came in second or third place.
[24:02.800 --> 24:07.800]  But that isn't what matters, even though Ronald Reagan won those polls and even though Ronald Reagan won the CPAC.
[24:07.800 --> 24:15.800]  That's all somewhat important. What is important is he is the second biggest collector of money under Mitt Romney.
[24:15.800 --> 24:20.800]  And it's small donations on average, less than 50 bucks when Mitt Romney's are in the thousands.
[24:20.800 --> 24:23.800]  You can go look it up at the Federal Elections Commission.
[24:23.800 --> 24:26.800]  And they're going to be filing more of those numbers soon.
[24:26.800 --> 24:33.800]  So number one, he's a big earner, a big collector of money, and it's coming from grassroots.
[24:33.800 --> 24:38.800]  He's gotten over 70% of all military donations combined. You can just search that term.
[24:38.800 --> 24:42.800]  Ron Paul gets majority of military donations. You'll get Politico Associated Press.
[24:42.800 --> 24:45.800]  But again, buried in the back of the news.
[24:45.800 --> 24:51.800]  He gets more than all Republicans and Obama combined. Ron Paul.
[24:51.800 --> 24:56.800]  In every scientific poll I've seen comes in first, second, or third place.
[24:56.800 --> 25:03.800]  That's why Ron Paul, in the Republican debate earlier in the week, not the last one in Florida, said,
[25:03.800 --> 25:07.800]  I am, maybe it was the latest one, they all run together.
[25:07.800 --> 25:14.800]  I actually have been watching them, not live, but on the web when we post them on infowars.com and prisonplanet.com.
[25:14.800 --> 25:19.800]  It didn't skip through some of the lower tier candidates, but I've been watching most of it.
[25:19.800 --> 25:28.800]  And Ron Paul is, says himself, he's a number three candidate, and undoubtedly he's number three.
[25:28.800 --> 25:32.800]  Now, I was going to do a report on this on the infowars nightly news.
[25:32.800 --> 25:37.800]  Trotty, but didn't have time. It's actually in there on news desk. I should have had it for the break.
[25:37.800 --> 25:42.800]  But several news publications broke down the numbers.
[25:42.800 --> 25:50.800]  And Dew was checking it and found it to be accurate. Ron Paul, out of all the candidates in the last three debates,
[25:50.800 --> 25:57.800]  Republican debates has gotten the least amount of time in questions and in answers.
[25:57.800 --> 26:05.800]  The last one I saw was like, Romney was like 13 minutes and Ron Paul was four and a half.
[26:05.800 --> 26:07.800]  Perry was like nine minutes.
[26:07.800 --> 26:12.800]  I mean, this is so obvious that they run this hoax.
[26:12.800 --> 26:13.800]  Ron Paul can't win.
[26:13.800 --> 26:14.800]  Ron Paul can't win.
[26:14.800 --> 26:20.800]  Even John Stewart a month ago helped break the hoax finally and showed a compilation of four different TV networks,
[26:20.800 --> 26:26.800]  all saying the exact same thing about Ron Paul can't win or when he had second place mentioning first and third.
[26:26.800 --> 26:29.800]  I hear the conservative radio networks do the same thing.
[26:29.800 --> 26:32.800]  Local radio, it is a talking point.
[26:32.800 --> 26:38.800]  Now, local talk show hosts aren't getting a talking point. They regurgitate what the national talk show hosts say.
[26:38.800 --> 26:44.800]  A lot of them know and they'll go up the corporate ladder from the establishment if they show themselves to be yes men and women.
[26:44.800 --> 26:49.800]  But others are just weak-minded and just kind of think repeating what's on the Sunday news shows.
[26:49.800 --> 26:51.800]  Well, those are the experts on TV.
[26:51.800 --> 26:59.800]  So if I regurgitate their pap talking points, that makes me sound like I'm really smart.
[26:59.800 --> 27:05.800]  No, no, it's about getting outside the box off the reservation, off the plantation.
[27:05.800 --> 27:09.800]  So if, in fact, I'm going to have Paul Watson do this tomorrow.
[27:09.800 --> 27:12.800]  I'm going to call Paul Watson before I even get off air today.
[27:12.800 --> 27:20.800]  And I'm going to ask him to write a big article tomorrow chronicling the dirty tricks against Ron Paul that have been run just the last six months.
[27:20.800 --> 27:33.800]  And it is mind-blowing how many of them. But just something we did confirm in Drudge Report linked to our article about this Friday.
[27:33.800 --> 27:39.800]  Fox News pulls polls showing Ron Paul debate victory, claims Mitt Romney won.
[27:39.800 --> 27:50.800]  When they close the poll out, Ron Paul beating by right at double by 11,000 votes and it's geo-located. You can only vote once with an IP address.
[27:50.800 --> 27:57.800]  And this happens at every poll. I've seen somewhere he gets more than double where he has like 62% won the last NBC poll.
[27:57.800 --> 28:02.800]  62% all the others had 30 something and then they wouldn't even mention him.
[28:02.800 --> 28:05.800]  Wall Street Journal two weeks ago had a poll where he got over 40%.
[28:05.800 --> 28:09.800]  And it showed all the other candidates and it said other candidate, which was Ron Paul.
[28:09.800 --> 28:13.800]  And then everybody commenting under the thing said, we know what you're doing Wall Street Journal.
[28:13.800 --> 28:18.800]  It's liberal, it's conservative, but they're all flavors of the same establishment Kool-Aid.
[28:18.800 --> 28:21.800]  You ever wonder why Gatorade has like 20 different flavors?
[28:21.800 --> 28:24.800]  It's so they take up shelf space.
[28:24.800 --> 28:29.800]  It's the same thing with the Republicans and Democrats. They just want to make you think you're getting choices,
[28:29.800 --> 28:35.800]  but the poll comes from the same company like a Don King fight where Don King owns both the fighters.
[28:35.800 --> 28:36.800]  Here it is.
[28:36.800 --> 28:43.800]  Fox News poll shows Ron Paul debate victory, pulls the poll, but not before we screen shot it and saved it,
[28:43.800 --> 28:48.800]  and then put up an article saying in its place that Mitt Romney had won.
[28:48.800 --> 28:51.800]  We're going to tell you about that and take your call straight ahead.
[28:51.800 --> 29:00.800]  877-789-Alex, 877-789-Alex, stay with us.
[29:00.800 --> 29:02.800]  Hi, folks. This is Alex Jones.
[29:02.800 --> 29:07.800]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognized risk.
[29:07.800 --> 29:09.800]  Saving means to make money.
[29:09.800 --> 29:14.800]  The Calben Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps
[29:14.800 --> 29:18.800]  that are triple concentrated and twice as good as what you're using now.
[29:18.800 --> 29:23.800]  Soaps made from vegetable and coconut oils that contain no useless dyes,
[29:23.800 --> 29:26.800]  perfumes, deodorants, or antibacterials.
[29:26.800 --> 29:31.800]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores,
[29:31.800 --> 29:34.800]  and deteriorating clothing called lint.
[29:34.800 --> 29:37.800]  If you want something better, if you want something you've never had before,
[29:37.800 --> 29:39.800]  you have to do something you've never done before.
[29:39.800 --> 29:44.800]  Getting a free catalog is easy by calling 800-340-7091
[29:44.800 --> 29:48.800]  or see Calben on the Web at 5starsoap.com.
[29:48.800 --> 29:53.800]  Take charge of your health now by calling 800-340-7091
[29:53.800 --> 30:17.800]  or see Calben on the Web at 5starsoap.com.
[30:23.800 --> 30:27.800]  This documentary exposes how the continuity of government program has established
[30:27.800 --> 30:29.800]  an old powerful shadow state.
[30:29.800 --> 30:33.800]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[30:33.800 --> 30:37.800]  Prepare to enter the secretive world of emergency dictatorship.
[30:37.800 --> 30:43.800]  Body scanners, sound cameras, citizen spies, stage terror, and cameras on every street corner.
[30:43.800 --> 30:47.800]  It's only the beginning of the New World Order's hellish plan.
[30:47.800 --> 30:50.800]  The police state isn't coming, it's here.
[30:50.800 --> 30:54.800]  Secure your copy today at infowars.com
[30:54.800 --> 30:59.800]  or see it online in the highest quality at prismplanet.tv.
[30:59.800 --> 31:06.800]  When you're out on the road, the last place you want to be is on the road.
[31:06.800 --> 31:11.800]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[31:11.800 --> 31:20.800]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[31:20.800 --> 31:28.800]  They so pride in every stitch guarantee you love the way they fit.
[31:28.800 --> 31:33.800]  They put a diamond gusset in the crotch where you need it most.
[31:33.800 --> 31:59.800]  Blue diamond gussets got it, others don't.
[31:59.800 --> 32:04.800]  You all know I've worked for years with Steve Shank and eFood Direct.
[32:04.800 --> 32:06.800]  I have eFoods for my own emergency food supply.
[32:06.800 --> 32:09.800]  You know Steve, life is different now for all of us, isn't it?
[32:09.800 --> 32:14.800]  Very different. People are using this great food to survive the present hurricane season
[32:14.800 --> 32:20.800]  and we've already had $40 billion worth of damage from floods, storms, quakes, and droughts.
[32:20.800 --> 32:22.800]  And that's just the first eight months of this year.
[32:22.800 --> 32:26.800]  Natural disasters are newsworthy, but only touch a few of us Americans.
[32:26.800 --> 32:30.800]  The huge issue of the Greatest Depression is on everyone's mind.
[32:30.800 --> 32:34.800]  The unemployment, the loss of homes, lost businesses, and skyrocketing food costs
[32:34.800 --> 32:38.800]  are hitting every American, so everyone needs food security.
[32:38.800 --> 32:42.800]  Folks, this month you will get free shipping on every food order from eFood Direct.
[32:42.800 --> 32:45.800]  That's right, every order gets free shipping starting September 6th.
[32:45.800 --> 32:49.800]  Get stocked up with the best adorable foods out there with eFood Direct
[32:49.800 --> 32:51.800]  and be prepared for any emergency before it happens.
[32:51.800 --> 32:58.800]  Take advantage of this special call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[33:00.800 --> 33:03.800]  Coast to coast, direct from Austin.
[33:03.800 --> 33:07.800]  You're listening to the Alex Jones Broadcasting Network.
[33:07.800 --> 33:09.800]  Network.
[33:37.800 --> 33:39.800]  Trust me, I'm good.
[33:39.800 --> 34:07.800]  All right, we are back live. Look, if you want to understand what's going on with Ron Paul
[34:07.800 --> 34:15.800]  that the establishment thought, hey, this guy can sell our baloney better than Obama.
[34:15.800 --> 34:20.800]  Or this guy cannot sell the baloney as well as Obama.
[34:20.800 --> 34:23.800]  I was having a Freudian slip because I was about to say next.
[34:23.800 --> 34:28.800]  Now the establishment is sick and tired of Obama, so you've seen the Chicago Tribune,
[34:28.800 --> 34:33.800]  the Washington Post, all these editorials coming out saying don't run again, Obama.
