[00:00:02.745 --> 00:00:04.085]  Wow, folks.
[00:05:04.892 --> 00:05:05.773]  Like many experts.
[00:05:06.033 --> 00:05:08.434]  I believe another devastating crash is coming.
[00:05:08.434 --> 00:05:10.474]  I think it's a matter of when, not if.
[00:05:10.474 --> 00:05:13.375]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:05:13.375 --> 00:05:18.897]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:05:18.897 --> 00:05:20.278]  It's a company I trust.
[00:05:20.278 --> 00:05:26.380]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:05:26.380 --> 00:05:29.601]  I'm talking real money, not paper or worthless stocks.
[00:05:29.601 --> 00:05:33.562]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:05:34.022 --> 00:05:39.867]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:05:39.867 --> 00:05:40.548]  Don't delay.
[00:05:40.548 --> 00:05:47.574]  Call 844-541-ALEXNOW and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:05:47.574 --> 00:05:52.358]  These are dangerous times and you need to make financial protection a priority.
[00:05:52.358 --> 00:05:55.001]  I personally own these survival packs and you should too.
[00:05:55.001 --> 00:05:56.242]  Pick up the phone and call 844-541-ALEXNOW.
[00:06:15.169 --> 00:06:35.096]  Ladies and gentlemen, we are now only two days out from the most historic election in U.S.
[00:06:35.096 --> 00:06:36.256]  history.
[00:06:36.256 --> 00:06:37.797]  The stakes could not be higher.
[00:06:39.457 --> 00:06:49.659]  Now, obviously, in the last two hours, the FBI director came out, James Comey, and said that she's completely exonerated in all the emails, basically forever.
[00:06:49.659 --> 00:06:56.061]  This is when new WikiLeaks emails have come out showing they lied to Congress and the FBI and were, quote, covering up evidence.
[00:06:56.061 --> 00:07:06.583]  But see, they diverted the public into the 650,000 on Anthony Weiner's laptop and Uma Abedin, Hillary's girlfriend,
[00:07:08.635 --> 00:07:13.158]  And we had Larry Nichols, the former top Clinton operative, on last Sunday.
[00:07:13.158 --> 00:07:14.398]  He's joining us again.
[00:07:14.398 --> 00:07:18.601]  He said word for word, Alex, they're setting Trump up.
[00:07:18.601 --> 00:07:23.063]  Next Saturday or Sunday, Comey will come out and completely exonerate him.
[00:07:23.063 --> 00:07:26.085]  Now we're going to play that clip for you from last Sunday.
[00:07:29.158 --> 00:07:31.619]  But, I mean, we have the insiders.
[00:07:31.619 --> 00:07:41.685]  I talked to a Pentagon insider, I talked to a former high-level CIA official today, and they all told me the same thing.
[00:07:41.685 --> 00:07:47.868]  The military is being told, stand down, Hillary is going to be installed.
[00:07:47.868 --> 00:07:56.493]  Now, if you want to know how James Bond-y this is, before I get to any of this news, I'm sitting here, we've got a bunch of TV networks, CNN, Fox News, you name it, on.
[00:07:57.819 --> 00:08:04.342]  It's LeBron James of the Cleveland Cavaliers, with Hillary, with close-up shots.
[00:08:04.342 --> 00:08:20.370]  I sit down, 15 minutes before airtime, and I'm sent a photo by, let's just say insiders, on the Cleveland Police Department, to my phone.
[00:08:20.370 --> 00:08:23.331]  Document Cam Police for TV viewers, all subscribers, radio listeners.
[00:08:23.331 --> 00:08:24.932]  This is the crowd that was there,
[00:08:25.950 --> 00:08:35.533]  When LeBron James spoke, and I said 700, I was corrected, I went back and read the text message, the crowd is 300.
[00:08:35.533 --> 00:08:42.876]  Now, if you actually watched the newscast, even on Fox, they would not show you this.
[00:08:42.876 --> 00:08:47.037]  It was LeBron bowing up, everyone, it was a rock star party.
[00:08:47.037 --> 00:08:51.359]  These are total winners, and meanwhile, the police are sitting there running security, sending me this photo.
[00:08:51.359 --> 00:08:54.140]  By the way, this was shot by a high level.
[00:08:55.262 --> 00:08:59.183]  Okay, let's just say that.
[00:08:59.183 --> 00:09:00.503]  High level.
[00:09:00.503 --> 00:09:05.445]  Now, that's what's going on in this country.
[00:09:05.445 --> 00:09:19.008]  Literally a tiny crowd of a couple hundred in front, maybe a hundred or so behind her, with close shots, to create the illusion that she's really the coolest person to vote for because, you know, she's hanging out with folks in the hood like LeBron James.
[00:09:20.117 --> 00:09:22.057]  I mean, this is the ultimate joke.
[00:09:22.057 --> 00:09:27.699]  LeBron James was going to cancel, I was told by our police sources, but then Hillary threw a complete fit.
[00:09:27.699 --> 00:09:35.080]  And the word is, they were basically paying people off the street to come in.
[00:09:35.080 --> 00:09:41.061]  Now, they also fell on their face because they tried for a week to recruit in mainly black areas, and hardly any black folks showed up.
[00:09:41.061 --> 00:09:44.842]  And there's massive low black turnout right now being reported for Democrats.
[00:09:44.842 --> 00:09:47.743]  And joining us is Roger Stone at the bottom of the hour on that front.
[00:09:49.417 --> 00:09:52.738]  This is a landslide for Trump, but they are intending to steal it.
[00:09:52.738 --> 00:09:54.439]  This is confirmed.
[00:09:54.439 --> 00:09:56.539]  This is so historical what we're living through.
[00:09:56.539 --> 00:09:59.060]  Now let me just stop right there.
[00:09:59.060 --> 00:10:12.244]  If you think I'm joking about it and you're a radio listener about the crowd of 300 she had, I just showed the photo to TV viewers and then showed you the mainstream media with close-up shots to deceive the public.
[00:10:12.244 --> 00:10:15.585]  You can go to our Facebook from last night from the special broadcast we did.
[00:10:16.730 --> 00:10:20.534]  One video, archived from us live last night for four hours.
[00:10:20.534 --> 00:10:21.815]  Guess how many views it has?
[00:10:21.815 --> 00:10:26.460]  We can pull it up on Alex Jones' Facebook right now.
[00:10:26.460 --> 00:10:30.183]  Just go to Alexander Emert Jones Facebook, see the video box area.
[00:10:30.183 --> 00:10:31.745]  You scroll down, there you go, that's it.
[00:10:34.023 --> 00:10:37.926]  837,000 views, because they broke the video in two.
[00:10:37.926 --> 00:10:43.270]  There's another one with 300 and a couple, so when I say a million, it's actually a million two, but there it is.
[00:10:43.270 --> 00:10:44.691]  One video, 837,000 views.
[00:10:44.691 --> 00:10:46.012]  On YouTube, 200,000.
[00:10:46.012 --> 00:10:50.176]  On our internal streams, 400 plus thousand people.
[00:10:50.176 --> 00:10:52.577]  How many millions is that?
[00:10:52.577 --> 00:10:54.079]  Two and a half million or so?
[00:10:54.079 --> 00:10:58.202]  We have two and a half million viewers last night, separate from even my terrestrial radio show.
[00:11:00.990 --> 00:11:06.953]  If you go to Hillary's Facebook mentions, because only quote celebrities get them, it's not the Facebook live thing, it's Facebook mentions.
[00:11:06.953 --> 00:11:08.974]  So we're celebrities, so we get one.
[00:11:08.974 --> 00:11:13.537]  When you go to hers right now, guess how many watched today live with LeBron James through now?
[00:11:13.537 --> 00:11:18.019]  Because it counts live and then afterwards.
[00:11:18.019 --> 00:11:21.341]  That watched the archive.
[00:11:21.341 --> 00:11:25.343]  5,500 as of 12 minutes ago before I went live.
[00:11:25.343 --> 00:11:27.405]  Donald Trump has crowds of 30, 40, 50,000 people, on average 10,000 in small towns.
[00:11:31.186 --> 00:11:33.747]  Because he averages between big towns and small towns.
[00:11:33.747 --> 00:11:36.929]  Hillary has 300 people.
[00:11:36.929 --> 00:11:38.750]  They have to do ultra-close shots.
[00:11:38.750 --> 00:11:40.410]  Let me show TV viewers again.
[00:11:40.410 --> 00:11:44.332]  We're showing their ultra-close shot of the crowd.
[00:11:44.332 --> 00:11:46.633]  Now, back out.
[00:11:46.633 --> 00:11:51.876]  Sent to us by the Cleveland Police Department.
[00:11:51.876 --> 00:11:53.537]  That's the wide shot.
[00:11:53.537 --> 00:11:56.378]  And notice they know exactly what to send us.
[00:11:56.378 --> 00:11:57.359]  Didn't ask for it.
[00:11:57.359 --> 00:11:58.119]  Nothing.
[00:11:58.119 --> 00:11:59.740]  They know exactly what we need.
[00:12:05.290 --> 00:12:08.652]  Ladies and gentlemen, this is massive, massive fraud.
[00:12:08.652 --> 00:12:13.695]  You go to her site.
[00:12:13.695 --> 00:12:14.396]  You go to the video.
[00:12:16.400 --> 00:12:17.420]  You can see it.
[00:12:17.420 --> 00:12:18.901]  And you got all of her videos combined.
[00:12:18.901 --> 00:12:20.262]  It's like something like 6 million views.
[00:12:20.262 --> 00:12:21.162]  And they're pumping it.
[00:12:21.162 --> 00:12:24.403]  But the main one, LeBron James on stage, that one's at 6.5 million.
[00:12:24.403 --> 00:12:26.784]  The one with LeBron James has 5,000 as of I checked.
[00:12:26.784 --> 00:12:28.705]  That's, I think, another compilation of videos.
[00:12:28.705 --> 00:12:35.748]  The point is, is that they are pushing this with Facebook and Zuckerberg and everybody totally behind them.
[00:12:35.748 --> 00:12:37.988]  And they're in total panic mode.
[00:12:37.988 --> 00:12:40.890]  But when Hillary puts out a full hour-long video, 5,000 watch it.
[00:12:40.890 --> 00:12:44.171]  Little 20-second snips for people that have no attention span, 6 million.
[00:12:46.420 --> 00:12:55.804]  And Infowars is only one small part of this, but this is the whole media, every TV channel, force-feeding you to go watch this.
[00:12:55.804 --> 00:12:58.445]  And what they're giving you is close-up, blown-up shots.
[00:12:58.445 --> 00:13:00.485]  It just shows what the Wikileaks show.
[00:13:00.485 --> 00:13:01.626]  How rigged it is.
[00:13:01.626 --> 00:13:02.846]  How they're rigging the polls.
[00:13:02.846 --> 00:13:04.047]  How they're rigging the numbers.
[00:13:04.047 --> 00:13:08.188]  How they're rigging on every single front.
[00:13:08.188 --> 00:13:10.729]  These issues.
[00:13:10.729 --> 00:13:12.630]  And how stupid they think you are.
[00:13:14.079 --> 00:13:17.163]  Now, that said, I don't know what's going to happen in two days.
[00:13:17.163 --> 00:13:32.581]  You can say technically it's just the rest of the day and tomorrow and then it's election day, but it's a little more than 48 hours until we're in the thick of the election and we know Bev Harris, who's bipartisan, she's a Democrat, she said Hillary is clearly going to steal it.
[00:13:33.592 --> 00:13:35.655]  They're not going to let Trump win, but he is the leader.
[00:13:35.655 --> 00:13:40.022]  The fraud is in with this fraction, fractionating thing they're doing.
[00:13:40.022 --> 00:13:42.426]  Then, they've caught him with the programs.
[00:13:42.426 --> 00:13:46.232]  Then WikiLeaks comes out today and says they're not going to allow
[00:13:47.605 --> 00:13:49.066]  Trump to win the fix is in.
[00:13:49.066 --> 00:13:50.486]  He is a big liberal.
[00:13:50.486 --> 00:13:57.269]  Any real liberal just wants to have integrity in our voting system and is admitting massive vote fraud is now happening.
[00:13:57.269 --> 00:13:58.710]  Want to go watch her full report?
[00:13:58.710 --> 00:14:01.271]  Biggest election fraud in history discovered in the United States.
[00:14:01.271 --> 00:14:02.432]  That was from last Monday.
[00:14:02.432 --> 00:14:03.992]  Seems like a hundred years ago.
[00:14:03.992 --> 00:14:08.734]  Time now, what was moving super quick, now it's moving like really fast but also super slow.
[00:14:08.734 --> 00:14:10.235]  You know what I mean?
[00:14:10.235 --> 00:14:14.697]  It's like we're moving forward really fast, but then I look back in time, a week ago seems like 20 years ago.
[00:14:17.631 --> 00:14:26.153]  So, so much is unfolding, so much is happening, and this is such a huge time to be alive, but here's the bottom line.
[00:14:26.153 --> 00:14:37.196]  Larry Nichols, we're gonna play the clip when we come back, came out, and he said, well he called me last Friday, and I talked to him Saturday and Sunday and talked to other sources.
[00:14:37.196 --> 00:14:42.357]  He talked to Supreme Court Justice and others, and he said,
[00:14:44.005 --> 00:14:50.791]  Now I don't know if the military is going to do something or anybody else, but as it stands, and I don't want to demoralize people, but they're going to give it to her.
[00:14:50.791 --> 00:14:53.113]  Trump's winning by a landslide.
[00:14:53.113 --> 00:14:59.479]  But Alex is stealing it in Philadelphia and Cleveland and Miami, Alex.
[00:14:59.479 --> 00:15:06.145]  And Comey will announce on Saturday or Sunday that she's totally exonerated.
[00:15:06.145 --> 00:15:06.526]  Watch.
[00:15:07.759 --> 00:15:10.340]  Then he came on air and basically said the same thing.
[00:15:10.340 --> 00:15:30.030]  And you're just sitting here, watching the country stolen in front of you, and with all these poor, sad, lottery ticket mentality people that wanted free health care and wanted this and that, and they have no idea it was always a screw job, it was always meant to be a screw job, and then Gruber and others go on TV and make fun of you, and now, when we come back, even before the Larry Nichols,
[00:15:31.598 --> 00:15:38.041]  The Washington Post, all of them are now celebrating, and they said, yes, non-citizens will decide the election.
[00:15:38.041 --> 00:15:40.842]  They are voting, and there's nothing you can do to stop it.
[00:15:40.842 --> 00:15:50.766]  So they're going to have this big celebration to collapse our borders more, bring in more third world, and just basically, I guess, make Americans slaves.
[00:15:50.766 --> 00:15:52.447]  I mean, it's on, folks.
[00:15:52.447 --> 00:15:56.669]  It is all being announced, and Obama said it's OK for illegals to vote.
[00:15:57.941 --> 00:16:03.583]  InfoWars is proud to announce the official InfoWars Live app, available now for iPhone and Android.
[00:16:03.583 --> 00:16:12.025]  InfoWars Live allows you to watch a live, high-definition feed of the Alex Jones Show 24-7 and get the latest breaking InfoWars reports straight to your phone.
[00:16:12.025 --> 00:16:15.066]  Want to read the latest exclusives on InfoWars.com?
[00:16:15.066 --> 00:16:16.867]  Or do you want to catch up on world news?
[00:16:16.867 --> 00:16:19.987]  Now you can do so with InfoWars Live anywhere you go.
[00:16:19.987 --> 00:16:22.328]  You can browse the news, share content, and more.
[00:16:22.328 --> 00:16:25.309]  And best of all, it's free to download at InfoWars.com.
[00:16:25.489 --> 00:16:26.909]  The app is brand new.
[00:16:26.909 --> 00:16:28.150]  This is the first release.
[00:16:28.150 --> 00:16:30.490]  And it was completely built from the ground up.
[00:16:30.490 --> 00:16:34.312]  We've seen example after example of cable news networks attempting to deceive you.
[00:16:34.312 --> 00:16:42.934]  In short, the mainstream media is being covertly manipulated by well-financed political forces who are trying to sway public opinion in an unnatural direction that only serves establishment agendas.
[00:16:43.174 --> 00:16:48.217]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[00:16:48.217 --> 00:16:55.562]  So download InfoWars Live today at InfoWars.com and learn what's really going on instead of being spoon-fed lies by the mainstream media.
[00:16:57.947 --> 00:17:00.248]  Electrify your day with Secret 12.
[00:17:00.248 --> 00:17:01.808]  It's like lightning in a bottle.
[00:17:01.808 --> 00:17:05.710]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:17:05.710 --> 00:17:13.652]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:17:13.652 --> 00:17:18.614]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:17:18.614 --> 00:17:19.334]  The reality is
[00:17:19.634 --> 00:17:24.440]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:17:24.440 --> 00:17:32.229]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:17:32.229 --> 00:17:36.634]  It pairs two forms of vitamin B12 into one explosive formula.
[00:17:36.914 --> 00:17:45.937]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:17:45.937 --> 00:17:49.498]  Electrify your mind and body and take your health to the next level.
[00:17:49.498 --> 00:17:53.399]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:17:53.399 --> 00:17:55.020]  That's InfoWarsLife.com.
[00:17:58.510 --> 00:18:00.552]  Brain Force, it's completely different.
[00:18:00.552 --> 00:18:01.773]  Try a bottle of it.
[00:18:01.773 --> 00:18:03.354]  Rob Dew joins us.
[00:18:03.354 --> 00:18:06.477]  You worked, I guess, like 20 plus hours.
[00:18:06.477 --> 00:18:07.578]  Tell us what Brain Force did.
[00:18:07.578 --> 00:18:08.519]  I've been working all day.
[00:18:08.519 --> 00:18:11.021]  I took a couple hours off coaching basketball.
[00:18:11.021 --> 00:18:12.423]  I get in here at 830.
[00:18:12.423 --> 00:18:14.344]  I was kind of run down.
[00:18:14.344 --> 00:18:16.066]  You know, I just didn't feel like I was going to make it.
[00:18:16.266 --> 00:18:18.148]  And I really wanted to do a good job on the interview.
[00:18:18.148 --> 00:18:19.989]  I got my bottle of Brain Force right there.
[00:18:19.989 --> 00:18:21.030]  I popped two of them.
[00:18:21.030 --> 00:18:23.312]  And about 20 minutes later, it's like, bing!
[00:18:23.312 --> 00:18:25.254]  Everything just kind of clears up.
[00:18:25.254 --> 00:18:26.775]  It's got four and a half stars.
[00:18:26.775 --> 00:18:28.096]  People really love it.
[00:18:28.096 --> 00:18:28.696]  Read about it.
[00:18:28.696 --> 00:18:32.540]  Find out why third-party nutraceutical sites give it such high praise.
[00:18:32.540 --> 00:18:37.824]  Because it really does have the best organic-based systems that will blow your socks off.
[00:18:38.004 --> 00:18:42.026]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[00:18:42.026 --> 00:18:48.190]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[00:18:48.190 --> 00:18:54.093]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:18:58.351 --> 00:19:07.697]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[00:19:07.697 --> 00:19:10.579]  The potential for power grid chaos.
[00:19:10.579 --> 00:19:18.764]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[00:19:18.764 --> 00:19:21.686]  My friends, chaos is already here, and it's gonna get a lot worse.
[00:19:21.946 --> 00:19:28.009]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[00:19:28.009 --> 00:19:31.931]  Now I've got the perfect power solar generator system at my house.
[00:19:31.931 --> 00:19:33.791]  The Solutions from Science system.
[00:19:33.791 --> 00:19:36.313]  Simply put, this thing is amazing.
[00:19:36.313 --> 00:19:38.814]  Solutions from Science only makes the best equipment.
[00:19:38.814 --> 00:19:41.575]  Go to powergridchaos.com.
[00:19:41.575 --> 00:19:44.616]  That's powergridchaos.com to check it out.
[00:19:44.616 --> 00:19:45.697]  Now this is key.
[00:19:45.697 --> 00:19:46.938]  Right now, get 70% off.
[00:19:47.998 --> 00:19:51.300]  They're top-of-the-line perfect power solar generator.
[00:19:51.300 --> 00:19:53.281]  This is the one I use in my home.
[00:19:53.281 --> 00:20:02.347]  Go to powergridchaos.com and get 70% off.
[00:20:02.347 --> 00:20:05.028]  You're listening to the Alex Jones Show.
[00:20:09.611 --> 00:20:10.952]  We've got it.
[00:20:10.952 --> 00:20:16.738]  The transmission is coming to you.
[00:20:16.738 --> 00:20:19.021]  Waging war on corruption.
[00:20:19.021 --> 00:20:21.143]  Alright, here I go.
[00:20:21.143 --> 00:20:27.409]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:27.409 --> 00:20:30.733]  Are we seeing the ER?
[00:20:30.733 --> 00:20:31.494]  We've got it.
[00:20:34.165 --> 00:20:36.406]  Stories up on TrumpsReport.com.
[00:20:36.406 --> 00:20:40.650]  It's from the great folks over at Gateway Pundit who did the research.
[00:20:40.650 --> 00:20:49.196]  Guess who shouted out, reportedly, gun and made a run at Trump to make him look like a fool and a coward?
[00:20:49.196 --> 00:20:49.757]  Which he wasn't.
[00:20:49.757 --> 00:20:52.959]  He stood there very strong until the Secret Service forcefully took him off the stage.
[00:20:52.959 --> 00:20:54.401]  He came right back.
[00:20:54.401 --> 00:20:57.663]  It's a bird dogger, a Democratic Party blogger operative.
[00:20:57.663 --> 00:21:00.786]  We can put it up on screen for TV viewers.
[00:21:02.199 --> 00:21:03.740]  So isn't that just special?
[00:21:03.740 --> 00:21:07.163]  That story is also, again, posted to InfoWars.com.
[00:21:07.163 --> 00:21:10.406]  Update, Trump attacker was Bird Dogger.
[00:21:10.406 --> 00:21:11.407]  That's in the WikiLeaks.
[00:21:11.407 --> 00:21:14.290]  You know, go out and attack people, basically cause disturbance.
[00:21:14.290 --> 00:21:15.351]  Mentioned in WikiLeaks.
[00:21:16.854 --> 00:21:17.655]  So there you go.
[00:21:17.655 --> 00:21:19.996]  Oh, and there's another report in the Washington Post.
[00:21:19.996 --> 00:21:29.703]  The Washington Post finally, I guess, because the word came in, the fix is in for Hillary, they think, they've got to go ahead and act like they're distancing themselves from her because, you know, they've got to fight for her to get her in.
[00:21:29.703 --> 00:21:33.346]  But then once she's in, they can play the part of opposition and not lose all their readers.
[00:21:33.346 --> 00:21:35.407]  Well, too late, you're totally discredited.
[00:21:35.407 --> 00:21:40.331]  There's a new big, giant graphic image we should tweet out, and it's Hillary.
[00:21:40.331 --> 00:21:41.131]  And if you scroll down,
[00:21:42.162 --> 00:21:46.846]  Hillary Clinton's lying is the behavior of a sociopath.
[00:21:46.846 --> 00:21:51.270]  No, it goes a little bit further than that.
[00:21:51.270 --> 00:22:00.437]  In fact, I tweeted an image out today where folks found a photo of her that really crystallizes who she is, where she looks like a demonic clown.
[00:22:00.437 --> 00:22:04.601]  And that's what people that are around her closely describe her as, is a very, very scary person.
[00:22:04.601 --> 00:22:08.304]  Now, they have created such an upside-down world.
[00:22:09.636 --> 00:22:25.262]  That if I don't want to pay for Ukrainian, Mexican, Chinese, Venezuelan, you name it, people to come in, have babies for free, get put on welfare.
[00:22:25.262 --> 00:22:27.463]  Welfare's not enough to live on though.
[00:22:27.463 --> 00:22:29.844]  Then you go out and get a job and then drive down wages.
[00:22:29.844 --> 00:22:30.965]  You're not a bad person.
[00:22:30.965 --> 00:22:31.945]  I get why you're coming here.
[00:22:31.945 --> 00:22:33.165]  I would too if I was you.
[00:22:33.165 --> 00:22:37.607]  The point is it's designed not to even rise you up, but to create a permanent underclass.
[00:22:37.607 --> 00:22:38.768]  And then they've got the nerve
[00:22:39.488 --> 00:22:44.551]  To have all these states trying to pass law, some have done it, but not put it on the books.
[00:22:44.551 --> 00:22:50.615]  That is, the governors didn't sign in Illinois or California this year, to let illegals vote.
[00:22:50.615 --> 00:23:01.381]  And now, all over the big Spanish language channels, they have arrogant, entitled people going, if you live here, you're a citizen, and you should be able to vote.
[00:23:01.381 --> 00:23:04.223]  Really, can I go to Mexico or Venezuela or
[00:23:05.262 --> 00:23:11.612]  Ukraine or Nigeria and just show up and say, I've been here a year, I work here, you've got to let me vote.
[00:23:11.612 --> 00:23:13.755]  They would kick your butt.
[00:23:13.755 --> 00:23:18.402]  But now, the video's up on InfoWars.com.
[00:23:18.402 --> 00:23:19.464]  President Obama.
[00:23:21.744 --> 00:23:26.346]  Encourages illegals to vote, says there is no penalty, and if you vote, you're a citizen.
[00:23:26.346 --> 00:23:28.486]  He repeats what the pundit says.
[00:23:28.486 --> 00:23:34.209]  And in case you think this is some type of mental typo, it's all scripted, because we've seen it literally in hundreds of articles.
[00:23:34.209 --> 00:23:36.149]  Here's the Washington Post.
[00:23:36.149 --> 00:23:39.250]  Could non-citizens decide the November election?
