[00:00.000 --> 00:29.000]  Live from the InfoWars.com Studios, it's Alex Jones.
[10:15.000 --> 10:19.000]  Here's Governor Abbott talking about the federal support.
[10:19.000 --> 10:27.000]  What can you tell us about President Trump's personal engagement in this problem and in managing the response to it?
[10:27.000 --> 10:31.000]  It's been extremely professional, very helpful.
[10:31.000 --> 10:35.000]  He called and said, Governor, whatever you need, you've got.
[10:35.000 --> 10:43.000]  And this is the quickest turnaround I've ever seen from the time that a governor made a disaster declaration to getting that granted.
[10:43.000 --> 10:52.000]  What that means for the layperson out there is because the president so swiftly granted my application for a disaster declaration,
[10:52.000 --> 10:56.000]  it means it triggered all the resources of FEMA to help Texas.
[10:56.000 --> 11:03.000]  And what you will see over the coming weeks and months is a tremendous rebuilding from all this damage.
[11:03.000 --> 11:06.000]  And a large part of that will because of FEMA helping out.
[11:06.000 --> 11:12.000]  And so we are very appreciative of the way the president and the White House has responded to this catastrophe.
[11:12.000 --> 11:14.000]  And it is a catastrophe.
[11:14.000 --> 11:18.000]  There's 10 million people in the city of Houston now.
[11:18.000 --> 11:20.000]  I'm going to tell the White House something right now.
[11:20.000 --> 11:29.000]  I'm going to tell all of our listeners something right now that is absolutely of the maximum level of criticalness.
[11:29.000 --> 11:36.000]  And if everyone just listens to me, you're going to realize this is common sense, hiding in plain view,
[11:36.000 --> 11:44.000]  but that we have to go against our own libertarian, conservative, Christian nature on this.
[11:44.000 --> 11:50.000]  We're not like the leftists that turn everything around against their enemies and lie continually.
[11:50.000 --> 11:57.000]  And we're not the types even when anti-fop beats, kills, attacks folks, even complain about it.
[11:57.000 --> 11:59.000]  But we have to start putting the blame on them.
[11:59.000 --> 12:04.000]  I know we're the type of folks that are just going to focus on getting things fixed here in Texas.
[12:04.000 --> 12:06.000]  That's important, and that's the main mission.
[12:06.000 --> 12:17.000]  But the Democrat mayor of Houston that absolutely openly hates Trump publicly said,
[12:17.000 --> 12:20.000]  oh, this is a bunch of hype last week for Trump.
[12:20.000 --> 12:22.000]  We're not going to declare an emergency.
[12:22.000 --> 12:29.000]  It's going to miss us because they knew Trump was going to respond hardcore like he did during the campaign.
[12:29.000 --> 12:31.000]  He's not stupid, but he really cares.
[12:31.000 --> 12:33.000]  That's what he's all about.
[12:33.000 --> 12:36.000]  And they knew that all this was coming.
[12:36.000 --> 12:42.000]  And so they just wanted to play along with the imaginary fact that everything was going to be okay,
[12:42.000 --> 12:48.000]  hoping that it would be a worse emergency even if it did yet because people wouldn't have evacuated
[12:48.000 --> 12:51.000]  and somehow that would blow back on Trump.
[12:51.000 --> 12:53.000]  You know how the Democrats operate.
[12:53.000 --> 12:56.000]  You know the memos that have come out about not letting a good crisis go to waste.
[12:56.000 --> 13:00.000]  You know they confer with their major governors and their major mayors
[13:00.000 --> 13:06.000]  and that Houston's one of the top Democrat mayors and pretty much a Democrat city now.
[13:06.000 --> 13:08.000]  The alternator is the state blue.
[13:08.000 --> 13:14.000]  And so you know that last week they got warned on Thursday by Abbott and said,
[13:14.000 --> 13:16.000]  you better mandatory evacuation.
[13:16.000 --> 13:21.000]  And the governor left the city officials alone to have their authority,
[13:21.000 --> 13:24.000]  even though he could have overridden it, maybe he should have.
[13:24.000 --> 13:29.000]  But then if the storm wouldn't hit the city, they'd be, oh, you're fascistic ordering people to leave.
[13:29.000 --> 13:34.000]  So everybody's trying to balance this here on not letting the Democrats score giant political points
[13:34.000 --> 13:41.000]  because you better believe they want this to be the Waterloo pun intended of Donald John Trump.
[13:41.000 --> 13:45.000]  I mean, they've got the big central banks out trying to plunge the stock market.
[13:45.000 --> 13:48.000]  They've raised interest rates four times trying to kill this recovery.
[13:48.000 --> 13:52.000]  They're doing everything they can.
[13:52.000 --> 13:56.000]  And now Democrats themselves in the city are pissed.
[13:56.000 --> 13:59.000]  They're saying, why didn't you tell people to evacuate?
[13:59.000 --> 14:00.000]  Why didn't you trigger?
[14:00.000 --> 14:03.000]  Because the county and city is supposed to do that.
[14:03.000 --> 14:08.000]  The evacuation call to the governor and then the signs all turn on and then everybody's supposed to get out of there.
[14:08.000 --> 14:12.000]  Because that's how this works. Nobody wants some centralized power over them.
[14:12.000 --> 14:18.000]  FEMA's not supposed to just come in, push the governor, push the mayor, push the county, push the state police,
[14:18.000 --> 14:21.000]  push the local police and the sheriff's departments around.
[14:21.000 --> 14:26.000]  They did that in Katrina.
[14:26.000 --> 14:29.000]  Hard to believe that was so long ago.
[14:29.000 --> 14:41.000]  But by the time Abbott called for that, they were already Humvees and trucks and douche and a half and emergency command centers
[14:41.000 --> 14:44.000]  and trailers to house people rolling in.
[14:44.000 --> 14:52.000]  Drew has been driving all over the state of Texas this weekend and they have seen just the roads choked with FEMA emergency vehicles
[14:52.000 --> 14:55.000]  that are stockpiled up between Dallas and Fort Worth.
[14:55.000 --> 15:04.000]  You drive up I-35, we take the branch up towards Fort Worth and you will just look out to your left and look out to your right
[15:04.000 --> 15:10.000]  and just see tens of thousands of trailers and emergency vehicles and things for a major hurricane hitting Houston.
[15:10.000 --> 15:15.000]  And that is indeed what's happened and it's now instantly going into motion down there.
[15:15.000 --> 15:21.000]  It's not the government's perfect. It's not everything's going to go absolutely, you know, like angels are running this.
[15:21.000 --> 15:25.000]  But you're seeing night and day response from George W. Bush.
[15:25.000 --> 15:31.000]  Now, when you talk about Obama and hurricane responses, nonexistent.
[15:31.000 --> 15:36.000]  Because why does he have to? He's a Democrat. He's got the media on his side, the cold bloodedness of these people.
[15:36.000 --> 15:42.000]  Just like they wanted Fannie Mae and Freddie Mac bankrupted. Remember all that?
[15:42.000 --> 15:47.000]  Because they didn't want the public being homeowners. They want you to be renters.
[15:47.000 --> 15:51.000]  That all came out in lawsuits and documents. The feds have lost lawsuits over this.
[15:51.000 --> 16:02.000]  It's how sickening it is that Obama is absolutely, totally and completely out to get the average person.
[16:02.000 --> 16:06.000]  It's simply amazing to witness that.
[16:06.000 --> 16:14.000]  Now, I've got other news here that is just over the top and I'm going to get to it at the bottom of the hour.
[16:14.000 --> 16:20.000]  Oh, and Shroyer, who was down there with some of the crew for two days as it hit.
[16:20.000 --> 16:24.000]  He's going to be in studio next hour in the third hour.
[16:24.000 --> 16:29.000]  If he's able to get to higher ground and get on the broadcast,
[16:29.000 --> 16:34.000]  let him know, Michael Zimmerman and crew, that if they need to stay out there on the boat, saving people,
[16:34.000 --> 16:39.000]  or they're getting powerful footage of alligators and people's swimming pools or whatever,
[16:39.000 --> 16:42.000]  or in their backyards or on top of the roofs that he can stay out there.
[16:42.000 --> 16:46.000]  I mean, he can always come on the fourth hour, come on after he gets all the key intel.
[16:46.000 --> 16:50.000]  But again, we have a lot of exclusive video, a lot of exclusive articles,
[16:50.000 --> 16:58.000]  a lot of exclusive photos being posted to infowars.com and newswars.com right now.
[16:58.000 --> 17:02.000]  We have massive news also coming up dealing with the indictments.
[17:02.000 --> 17:05.000]  Now, the Attorney General is doing his job and not being intimidated.
[17:05.000 --> 17:13.000]  Mueller, subpoenas, Podesta Group as firm, retroactively files more pro-Russia disclosures.
[17:13.000 --> 17:19.000]  So Mueller, trying to look like he's being fair, is ferreting into all the incredible Russia connections
[17:19.000 --> 17:23.000]  that the Clintons have because there are none with Trump.
[17:23.000 --> 17:27.000]  That's up on newswars.com right now.
[17:27.000 --> 17:32.000]  Coming up, it's on Christian Groups, SUS, SPLC, and Amazon Overhate Group designation.
[17:32.000 --> 17:36.000]  If you want to bring the globalists down, and I'll cover this later in the hour,
[17:36.000 --> 17:38.000]  this is the way to do it because here's the deal.
[17:38.000 --> 17:46.000]  We're not talking about just a lawsuit like the ACLU is doing
[17:46.000 --> 17:52.000]  because the president is banning trans people from the military.
[17:52.000 --> 17:55.000]  That has no standing. It's going to get shot down.
[17:55.000 --> 17:58.000]  Regardless of what you think about it.
[17:58.000 --> 18:02.000]  This is completely different because Amazon under an SPLC directive,
[18:02.000 --> 18:07.000]  just like SPLC now runs Google's systems blocking us, in many cases.
[18:07.000 --> 18:11.000]  They're on the board in your data, in the Google interfaces.
[18:11.000 --> 18:16.000]  The SPLC, the famous folks that ran the Elohim City Nazi compound and more.
[18:16.000 --> 18:20.000]  I mean, these are really bad people that pose the civil rights organization.
[18:20.000 --> 18:26.000]  They're putting mainline Christian Groups in databases where they can then not engage in commerce,
[18:26.000 --> 18:31.000]  not have an area to sell their books on Amazon,
[18:31.000 --> 18:37.000]  not be part of the Amazon platform where you go to an area to find charities.
[18:37.000 --> 18:40.000]  They're saying you're just not allowed access to a thing that is a monopoly
[18:40.000 --> 18:45.000]  that's even killing Main Street, it's killing Walmart, it's so tyrannical.
[18:45.000 --> 18:50.000]  And now it's expanding its monopoly.
[18:50.000 --> 18:54.000]  And they're telling Christians, you don't have a platform here.
[18:54.000 --> 19:01.000]  Christians are forced to sue because this is spreading and this database is being used everywhere
[19:01.000 --> 19:04.000]  to put mainline Christian Groups right next to Nazis.
[19:04.000 --> 19:10.000]  So you take the Nazis right to have free speech, now it's everybody.
[19:10.000 --> 19:17.000]  So that's why I've said we're forced to sue because the same stuff's happening to us.
[19:17.000 --> 19:23.000]  I'm not litigious and I've been talking to a lot of top lawyers and they say these are all very strong cases we have.
[19:23.000 --> 19:25.000]  In fact, they're open and shut.
[19:25.000 --> 19:30.000]  The Supreme Court, as they point out in this article, has already ruled that what Amazon is doing is illegal.
[19:30.000 --> 19:36.000]  What the SPLC is doing is classic hardcore authoritarianism like the Nazis did.
[19:36.000 --> 19:40.000]  In the 30s, first saying Jews couldn't have businesses.
[19:40.000 --> 19:44.000]  This is what you do, you first shut somebody off economically before you come after them completely.
[19:44.000 --> 19:46.000]  This is hardcore, bare knuckles attacks.
[19:46.000 --> 19:48.000]  We'll be right back.
[19:48.000 --> 20:07.000]  I'm Alex Jones with the latest on Hurricane Harvey and the Gulf of Houston.
[20:19.000 --> 20:23.000]  See guidelines, discount programs available for dental, vision and pharmacy.
[20:23.000 --> 20:25.000]  Go to libertyoncall.org.
[20:25.000 --> 20:54.000]  That's libertyoncall.org.
[20:55.000 --> 20:57.000]  FullyCookedBacon.com.
[20:57.000 --> 21:25.000]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at inforestore.com.
[21:25.000 --> 21:29.000]  It warns that your oral health can have a serious impact on your entire body.
[21:29.000 --> 21:32.000]  Super Blue fluoride-free toothpaste is a groundbreaking new formula.
[21:32.000 --> 21:36.000]  It's loaded with good halogen iodine, some of the bad halogen fluoride.
[21:36.000 --> 21:43.000]  Super Blue contains natural oils and ingredients used its biblical times to help wipe out bad bacteria and eliminate bad breath.
[21:43.000 --> 21:50.000]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[21:50.000 --> 21:58.000]  Learn more about InfoWarsLife Super Blue toothpaste at infowarslife.com and support the InfoWars while you support healthy gums and teeth.
[21:58.000 --> 22:02.000]  Are you one of the 15 million men who suffer from an enlarged prostate?
[22:02.000 --> 22:10.000]  If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate, then you need to know about Prostate Miracle.
[22:10.000 --> 22:15.000]  Prostate Miracle contains beta-cytosterone, which is 3,000 times stronger than salt bow metal.
[22:15.000 --> 22:24.000]  To claim your $10 Patriot discount, go to ProstateMiracle.com and enter promo code PATRIOT or call 877-965-2140.
[22:24.000 --> 22:46.000]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family. Since 2005, thousands have depended on Berkey purified water.
[22:46.000 --> 22:57.000]  In an emergency, get to goberkey.com or call 877-886-3653. 877-886-3653. Goberkey.com.
[23:16.000 --> 23:27.000]  Bold statement, you bet. See him now at survivalistcamps.com. That's survivalistcamps.com. Trust your family survival to survivalistcamps.com.
[23:46.000 --> 23:57.000]  Available rifle threat armor today at katiearmor.com. And for a limited time, get all plates at wholesale pricing only at catiearmor.com.
[24:16.000 --> 24:27.000]  You are either with the Republic or against it. From the front lines of the Information War, it's Alex Jones.
[24:27.000 --> 24:40.000]  Well, I've got a problem from Hurricane Harvey, and that's that the city of Austin, normally 2 million people, is like 2.5 million, and the traffic now is almost round the clock. Worse has ever been.
[24:40.000 --> 24:57.000]  Thank God I've only got that problem with some of the Aquarian refugees from the flooded mega city that is Houston, named after the man that the Comanche and Cherokee Indians called the Raven, Sam Houston.
[24:57.000 --> 25:23.000]  Here's the big news. 15 trillion gallons dumped on Houston, many areas 20 feet underwater. And then I look at the despicable, dirtbag, evil nature of the Democratic Party leadership and how they take every crisis they can and make it as bad as they can to then blame Republicans or try to bankrupt different Republican or libertarian or Christian states.
[25:23.000 --> 25:36.000]  It is truly sickening. Remember Obama with the fires that rage for months a few years ago, wouldn't send emergency aid to Texas from FEMA for months.
[25:36.000 --> 25:48.000]  Remember when we got hit by other hurricanes and Obama wouldn't declare an emergency. Period. And the media wouldn't say a word. That is how cold blooded these people are.
[25:48.000 --> 25:57.000]  But when Democrat areas got hit, Bush sent FEMA. The problem was, he'd order everybody else not to come and help.
[25:57.000 --> 26:05.000]  Like the Cajun Navy we see the police working with, are they surveyed doing a pretty good job down in Houston right now.
[26:05.000 --> 26:19.000]  I'd say doing a great job with the police battling some of the looters and saving thousands and thousands of people every hour who were told don't evacuate by the city's mayor.
[26:19.000 --> 26:29.000]  Because A, I guess he was hoping just the hurricane wouldn't hit Houston, even though it was scheduled to and the forecasters said it was probably going to be the storm of all storms.
[26:29.000 --> 26:43.000]  And even four or five inches of rain, a huge flood. Or is it because they wanted it to be the biggest disaster possible, hoping they could blame Trump, which they started doing Friday afternoon before the hurricane even hit Rockport.
[26:43.000 --> 26:56.000]  And hours and hours before it hit Houston, they were already saying Trump hasn't responded. He hasn't done a good enough job knowing that you don't know, the average Democrat doesn't know, that the federal law and state law shows the governor has to request him in.
[26:56.000 --> 27:11.000]  And the minute they did, those trucks were already running and ready at the FEMA Center in North Texas outside Fort Worth, and we're all ready rolling out within one minute of the governor sending that letter digitally to the president.
[27:11.000 --> 27:21.000]  Within one minute it's being reported, Trump was waiting, boom, got it, executed, made the phone call, trucks rolling. And it's all his fault.
[27:21.000 --> 27:38.000]  Ladies and gentlemen, it's even in the Associated Press that the mayor of the new Atlantis, Houston, that the mayor ordered a stand down. How sensational is that?
[27:38.000 --> 27:52.000]  Democrat mayor, here's the question, why did the Democrat mayor of Houston order a stand down? Because that's what it is to say, we're not in an emergency and you don't even need to have an evacuation advisory.
[27:52.000 --> 28:07.000]  He didn't even have an evacuation advisory. He said, why would we do that? There's no point. You've just got a Category 2 at the time, became a Category 3 megastorm, full water coming right at one of the biggest cities in the United States that's on low ground.
[28:07.000 --> 28:19.000]  And you decide to not even put people on alert, but folks, they put people on alert usually for tropical storms.
[28:19.000 --> 28:28.000]  Trump meets and tweets as Texas Governor praises Harvey's response. Hurricane Harvey will render some parts of Texas uninhabitable for an extended period of time.
[28:28.000 --> 28:49.000]  That's on infowars.com. Here's the Wall Street Journal. Texas Governor, major split over whether Houston needed evacuations. A split between Texas Governor Greg Abbott and Houston Mayor Sylvester Turner over whether the metropolis should have been evacuated is raising questions about officials' response to damaging floodwaters as the catastrophe continues to engulf the region.
[28:49.000 --> 29:07.000]  Mr. Turner, Democrat and other local officials urged residents to stay in their homes. Did you hear that? And Governor Abbott said, get the hell out of there! And you know what the Democrat said? We're not gonna do it, we're not gonna do it, and we're gonna blame Trump.
[29:07.000 --> 29:28.000]  KKK, go away, come back another day. I'm not kidding! You cannot make up the magnitude of this. Mr. Turner, Democrat and other local officials urged residents to stay in their homes as Hurricane Harvey, which has since downgraded a tropical storm, approached Houston on Friday.
[29:28.000 --> 29:46.000]  But Governor Abbott and Republicans suggested otherwise, saying get out. But the Democrats don't listen to their enemy. That's why all over Twitter and Facebook Democrats are celebrating the hurricane saying kill them rednecks, wipe them out, yeah! So stupid they don't owe more than half the state many areas of Democrat.
[29:46.000 --> 29:58.000]  Ladies and gentlemen, stay with us. We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[29:58.000 --> 30:16.000]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great patriot apparel to meet like-minded people, and we've got a new humongoid sale. Not the number of things that are on massive sale, but on what's on sale.
[30:16.000 --> 30:34.000]  Out for months, not been on sale for months and months. We've never offered super male vitality, known concentrated herbs, cold pressed, super male vitality, 57% off. It's never been the price. It is right now with 3,596 reviews, 4.6 reviews total by third party sites, unprecedented.
[30:34.000 --> 30:46.000]  And it's cold pressed. That's why super male is so different. People say, well, I know these compounds work because it's admitted to science and these are other, what you sell, they, Buzzfeed said, it's like, it's already best selling stuff. It's been certified as healthy and good forever.
[30:46.000 --> 30:54.000]  Why these aren't anything new? Because why do something new when you can have the oldest and best butt cold pressed? Boo! Boo!
[30:54.000 --> 31:07.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[31:07.000 --> 31:16.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade grown Arabica beans.
[31:16.000 --> 31:28.000]  We have now managed to secure these sought after beans in a highly customized blend. Discover and try a bag of the Patriot blend 100% organic coffee at infowarslife.com.
[31:28.000 --> 31:35.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[31:35.000 --> 31:42.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[31:42.000 --> 31:50.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[31:50.000 --> 31:59.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[31:59.000 --> 32:08.000]  Men, give your body the support it needs with InfoWars Life Prostiguard. It's time to start assisting the body in regulating proper prostate balance.
[32:08.000 --> 32:19.000]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[32:19.000 --> 32:27.000]  The Prostiguard formula does just that with its mixture of plant based nutrients and antioxidants that help give your body total support.
[32:27.000 --> 32:40.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium and copper. Prostiguard is something that the men on the InfoWars crew take every day.
[32:40.000 --> 32:47.000]  And from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[32:47.000 --> 32:58.000]  Now's the time to start naturally supporting your body. Get Prostiguard on your side today exclusively at infowarslife.com. That's infowarslife.com.
[32:58.000 --> 33:20.000]  If you are receiving this transmission, you are the resistance.
[33:20.000 --> 33:33.000]  Live from the InfoWars.com studios, it's Alex Jones.
[33:33.000 --> 33:59.000]  It all started on Friday at around 7pm. Again, it all started last Friday at around 7pm when Hurricane Harvey slammed in to the Texas coast around Corpus Christi and Rockport and then made its way north into Houston,
[33:59.000 --> 34:09.000]  where three plus days later, it's still sitting there dumping a record amount of water on the city.
[34:09.000 --> 34:33.000]  Meteorologists were very conclusive in their analysis and concurred with one another that there needed to be a city-wide evacuation.
[34:33.000 --> 34:46.000]  The governor and state emergency management officials begged the mayor and Democrat city council to issue the emergency warning to evacuate.
[34:46.000 --> 35:06.000]  And the Democrat officials, according to the Houston Chronicle and the Associated Press and the Wall Street Journal, thumbed their noses at them even though this was routine even for a tropical storm, much less a category 3 when it made landfall.
[35:06.000 --> 35:23.000]  Now, it's been called one of the worst disasters in U.S. history, monetarily, and the death toll is beginning to mount images of people swimming inside nursing homes, people fishing inside their homes,
[35:23.000 --> 35:38.000]  alligators on people's front porches literally going door-to-door trying to find high ground. And here's the story out of the Wall Street Journal. Incredible that the mayor ordered to stand down.
[35:38.000 --> 35:51.000]  That's what that is. The governor says, under the Constitution, under law, you need to go ahead and declare it. We're looking at declaring it. Should we make it mandatory? Should we put out an advisory?
[35:51.000 --> 36:03.000]  The Democrats said, we don't want anything. Not even an advisory. Not a mandatory but an advisory. And that's following the Constitution.
[36:03.000 --> 36:11.000]  You saw Bush really screw up Katrina because he ordered FEMA to take full control. The locals knew where the people were. The locals knew how to get in and save folks.
[36:11.000 --> 36:22.000]  FEMA just secured the city, like it was a military encampment, and then the mass carnage then ensued, and it also enabled the looting. But that was a better response than Obama.
