[00:00:03.010 --> 00:00:18.191]  InfoWars has been banned.
[00:05:27.945 --> 00:05:39.120]  That way they can contest the election even though Trump's declared winner, hold everything up with the ballots, then cause a constitutional crisis, call for secession, and have the UN come in and declare the election for Biden.
[00:05:39.120 --> 00:05:41.382]  This is what John Podesta and others are on record saying.
[00:05:41.923 --> 00:05:55.412]  And so when you see them in concert, censoring something like the Hunter Biden laptop story, that is a drill, that is a test to get all their systems ready, but also to condition the public that big tech works in unison to suppress speech and information.
[00:05:55.412 --> 00:05:57.133]  This is election meddling 101.
[00:05:57.133 --> 00:05:57.994]  This is illegal.
[00:06:02.117 --> 00:06:03.798]  Big Brother.
[00:06:03.798 --> 00:06:06.119]  Mainstream media.
[00:06:06.119 --> 00:06:07.920]  Government cover-ups.
[00:06:07.920 --> 00:06:10.001]  You want to stop tyranny?
[00:06:10.001 --> 00:06:12.142]  Well, so does he.
[00:06:12.142 --> 00:06:16.805]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:23.092 --> 00:06:25.333]  Ladies and gentlemen, we are live.
[00:06:25.333 --> 00:06:31.457]  Thank you so much for joining us on this Thursday, October 15th, 2020 transmission.
[00:06:31.457 --> 00:06:34.719]  I am your host, Alex Jones.
[00:06:34.719 --> 00:06:42.063]  Well, I'm sure you've noticed that absolute tyranny is unfolding, not just here, but around the world.
[00:06:42.063 --> 00:06:46.646]  The headline for the live transmission that you're watching right now or listening to is breaking
[00:06:48.157 --> 00:06:58.271]  Big Tech censorship of Biden bombshell test for total Internet takeover November 3rd.
[00:06:58.271 --> 00:07:01.316]  Now we've actually seen Big Tech led by Facebook.
[00:07:02.506 --> 00:07:13.516]  Google, Apple, and Twitter say that they're not going to allow disinformation if the President challenges the election, even though there's evidence that Democrats are going to challenge.
[00:07:13.516 --> 00:07:16.118]  That's going to be taken as completely normal and good.
[00:07:16.118 --> 00:07:21.582]  They're going to try to hold it up for months and then implement the 20th Amendment.
[00:07:21.582 --> 00:07:25.726]  So that information is absolutely critical to understand.
[00:07:25.726 --> 00:07:28.508]  And then as we approach, I've said this for the last two months,
[00:07:29.332 --> 00:07:47.319]  The election that's now in 18 days, 97 to inauguration, they will then accelerate the purging, the banning, the blacklisting, the shadow banning of basically 100 plus million Americans because they said themselves they would do that.
[00:07:47.319 --> 00:07:54.842]  So basically everyone I know who are even just mainline Republicans or my son Rex Jones, all are banned off Twitter now just the last week.
[00:07:56.189 --> 00:08:09.860]  Because Congress has sat there and let big tech, mainly owned by foreign countries and companies, tell us what to do and engage in massive organized crime and massive censorship.
[00:08:09.860 --> 00:08:23.951]  And so Congress is the equivalent of Native Americans when Cortez arrived, who'd never seen sailing ships or never seen muskets and never seen horses and didn't even know how to respond to it.
[00:08:24.878 --> 00:08:39.583]  Or Midwestern Native Americans, when the big iron horse arrives on the railroad, they are just totally flummoxed by it and don't know what to do and are following its every directive.
[00:08:39.583 --> 00:08:48.066]  It's big tech that ordered all the stores closed and ordered the courts closed and ordered everyone to lock down and only communicate over the internet.
[00:08:48.066 --> 00:08:52.328]  It's big tech that dictates what you can and what you can't say.
[00:08:54.269 --> 00:08:58.872]  About your view on the forced inoculations that are now being announced.
[00:08:58.872 --> 00:09:02.415]  It's big tech that is announcing its own courts and its own systems.
[00:09:02.415 --> 00:09:06.418]  It's corporate global governance.
[00:09:06.418 --> 00:09:15.744]  And this is a massive evolutionary jump, in their words, the takeover of all of society as we know it.
[00:09:15.744 --> 00:09:20.848]  And I talk to people on the street that are wearing their mask and I say, you know, they've announced that the masks are going to be permanent.
[00:09:20.848 --> 00:09:21.969]  Bill Gates says 10 years.
[00:09:23.712 --> 00:09:25.913]  And they go, I don't care, I like them now.
[00:09:25.913 --> 00:09:27.153]  You see, they're habituated.
[00:09:27.153 --> 00:09:35.557]  And they're going to be habituated to their smartphones and their travel apps and all the inoculations they'll have to take to have the travel app.
[00:09:35.557 --> 00:09:40.539]  And Gates is saying, no matter how many vaccines you take, you still won't be able to travel unless they say you can.
[00:09:40.539 --> 00:09:47.021]  This is permanent, corporate, technocracy, martial law.
[00:09:47.021 --> 00:09:48.942]  And it's got the public turned against each other.
[00:09:50.495 --> 00:09:51.915]  Let me read you some of these headlines.
[00:09:51.915 --> 00:09:53.656]  This is on Infowars.com.
[00:09:53.656 --> 00:09:55.296]  Direct link to the Pentagon transcript.
[00:09:55.296 --> 00:09:56.016]  Senior U.S.
[00:09:56.016 --> 00:10:00.117]  Army official says there'll never be a return to normal post-COVID.
[00:10:00.117 --> 00:10:01.718]  You'll never be free again.
[00:10:01.718 --> 00:10:04.759]  This person needs to be fired.
[00:10:04.759 --> 00:10:13.861]  Meanwhile, Senate Judiciary Committee to subpoena Jack Dorsey after Twitter suspends Trump campaign House GOP accounts over Biden scandal.
[00:10:13.861 --> 00:10:14.341]  Why not?
[00:10:16.636 --> 00:10:23.998]  Facebook, Google, Apple, Twitter, all in a concerted effort yesterday, blocked the Burisma emails.
[00:10:23.998 --> 00:10:28.220]  It wasn't just the crackpipes, or the hookers, or the sex.
[00:10:28.220 --> 00:10:30.620]  It was the emails that we have up on InfoWars.com.
[00:10:30.620 --> 00:10:33.381]  That's why you have to have a site to be able to have the information.
[00:10:33.381 --> 00:10:35.482]  It can't be shared over these platforms.
[00:10:35.482 --> 00:10:37.582]  Even Google's going into emails now, we've learned.
[00:10:37.582 --> 00:10:38.923]  If you have Gmail and blocking it,
[00:10:40.253 --> 00:10:42.395]  The crackpipes and all of that is nothing.
[00:10:42.395 --> 00:10:47.378]  It's the emails from the head of Burisma saying, thank you for hooking your dad up with me.
[00:10:47.378 --> 00:10:49.560]  We'll get you the money now.
[00:10:49.560 --> 00:10:54.303]  Just like Biden says, hey, they had a prosecutor investigating me and my son.
[00:10:54.303 --> 00:10:56.024]  There was a billion dollars supposed to be paid that day.
[00:10:56.024 --> 00:10:59.006]  I said, you won't get that billion dollars if you don't fire that prosecutor.
[00:10:59.006 --> 00:11:00.968]  And son of a bitch, they fired the prosecutor.
[00:11:02.312 --> 00:11:07.877]  So this just confirms all of that, that what they said Trump did, they themselves had done.
[00:11:07.877 --> 00:11:10.239]  It's always total inversion of reality.
[00:11:10.239 --> 00:11:14.463]  So this is the come-to-Jesus moment, but is it too late for Congress?
[00:11:14.463 --> 00:11:19.627]  Is it too late for the average, what, 79-year-old lawyer?
[00:11:19.627 --> 00:11:21.489]  The average person in Congress is a 79-year-old lawyer.
[00:11:25.609 --> 00:11:27.851]  Who doesn't even know how their phone works.
[00:11:27.851 --> 00:11:32.115]  They'll always ask in hearings, is it true the phone can track my location?
[00:11:32.115 --> 00:11:35.337]  And Sundar Pichai says, no, it doesn't.
[00:11:35.337 --> 00:11:39.241]  Because technically, it's not the phone, it's the GPS app.
[00:11:39.241 --> 00:11:42.263]  They all use legal ways to manipulate and lie.
[00:11:42.263 --> 00:11:46.747]  Oh, no, we've never worked with the communist Chinese on artificial intelligence.
[00:11:46.747 --> 00:11:50.050]  We've never helped spy on their citizens, even though they do, publicly.
[00:11:51.556 --> 00:12:00.786]  These are authoritarian elitists that don't believe in freedom, that think you're a schmuck, that think you're stupid, that are allied with authoritarian regimes, making their move.
[00:12:00.786 --> 00:12:04.571]  And so now, the House and Senate Judiciary Committees...
[00:12:06.365 --> 00:12:21.592]  Try to send letters out and publish that they're announcing hearings, and that they're going to subpoena Jack Dorsey, and they're going to subpoena Zuckerberg over this, and Zuckerberg and Jack Dorsey say, you're not even allowed to say that on my platform.
[00:12:21.592 --> 00:12:23.373]  We are the government now.
[00:12:23.373 --> 00:12:27.975]  And the old lawyers sit there and piss down their legs, because it's what they do.
[00:12:28.848 --> 00:12:40.116]  They're the same ones that sold us out to Communist China, the same ones that let pedophiles operate inside our schools, the same ones that are all a bunch of cowardly, old, stupid lawyers.
[00:12:40.116 --> 00:12:44.559]  And the Chi-Coms and Big Tech muscled in and just pushed them aside.
[00:12:44.559 --> 00:12:52.425]  And they pushed the FBI aside, and all these people being enslaved by China, enslaved by Big Tech, enslaved by the culture of Hollywood.
[00:12:52.425 --> 00:12:54.626]  Oh, but who's the FBI worried about?
[00:12:54.626 --> 00:12:56.828]  Right-wing Christians and white people.
[00:12:58.527 --> 00:13:00.308]  What a sick ideology!
[00:13:00.308 --> 00:13:09.792]  What a sick group of people having their own future destroyed but they don't care because they pretend they're part of this big, wonderful, winning team.
[00:13:09.792 --> 00:13:10.632]  Look at these headlines.
[00:13:10.632 --> 00:13:15.975]  Twitter blocks link to Republican judiciary website in another attempt to censor Biden's scandal.
[00:13:15.975 --> 00:13:18.856]  And what's in the letter?
[00:13:18.856 --> 00:13:22.698]  The fact that Biden's campaign is confirmed and Marisma's confirmed?
[00:13:22.698 --> 00:13:24.398]  These are real emails.
[00:13:24.398 --> 00:13:27.800]  Paper play, quid pro quo, absolutely illegal.
[00:13:28.993 --> 00:13:30.314]  And it continues.
[00:13:30.314 --> 00:13:40.199]  Senator Hawley and Cruz accuse Twitter of election meddling over censorship of New York Post Exposé, but still do nothing, just like Jordan will do nothing.
[00:13:40.199 --> 00:13:43.701]  We've got the letters, we've got the articles, we've got the emails you're not supposed to see.
[00:13:43.701 --> 00:13:45.583]  They're at InfoWars.com.
[00:13:45.583 --> 00:13:48.504]  Oh, but nobody needed InfoWars.com anymore.
[00:13:48.504 --> 00:13:50.085]  Nobody needed Banned.video.
[00:13:50.085 --> 00:13:52.086]  Oh, you've all got your Twitter.
[00:13:52.086 --> 00:13:54.247]  You've all got your YouTube.
[00:13:54.247 --> 00:13:54.748]  But you don't.
[00:13:56.397 --> 00:14:01.481]  Because now hundreds of thousands of minders trained by the Southern Poverty Law Center and the ADL are in control of their programming.
[00:14:01.481 --> 00:14:04.984]  AI that goes through in live time even your private messages and stops you.
[00:14:04.984 --> 00:14:07.205]  And Congress doesn't see that as racketeering.
[00:14:07.205 --> 00:14:09.047]  Congress doesn't see that as organized crime.
[00:14:09.047 --> 00:14:10.788]  Congress doesn't see that as election meddling.
[00:14:10.788 --> 00:14:16.953]  They just talk about Section 230 and do nothing because the Republicans have been bought and paid for as well.
[00:14:16.953 --> 00:14:23.158]  And so Big Tech doesn't respect them and is now usurping their legitimate power as our elected representatives.
[00:14:24.352 --> 00:14:38.678]  Congress is more and more becoming vestigial, ceremonial, archaic, a remnant, a ritual, a skeleton of what it once was.
[00:14:41.069 --> 00:14:43.791]  That's why I told you two and a half years ago we got banned everywhere.
[00:14:43.791 --> 00:14:45.151]  I said we're building our own video site.
[00:14:45.151 --> 00:14:46.332]  We're beefing up the sites.
[00:14:46.332 --> 00:14:47.353]  We're doing our own system.
[00:14:47.353 --> 00:14:48.774]  We need money to build it now.
[00:14:48.774 --> 00:14:49.594]  Satellite uplinks.
[00:14:49.594 --> 00:14:52.136]  We need to get on more terrestrial radio stations now.
[00:14:52.136 --> 00:14:53.656]  More precious than ever.
[00:14:53.656 --> 00:14:55.938]  Because the new dark age is here.
[00:14:55.938 --> 00:15:03.482]  The electronic Berlin Wall is lowering down on us now.
[00:15:03.482 --> 00:15:09.486]  And I don't know if it's too late for Congress and too late for Trump and too late for all these people that listen to folks like Brad Parscale.
[00:15:10.540 --> 00:15:17.566]  They told him their targeted ads got Trump elected, not his grassroots, that was cut off starting with Infowars.
[00:15:17.566 --> 00:15:22.069]  And now the President himself has his tweets blocked, and has his YouTubes blocked.
[00:15:22.069 --> 00:15:30.656]  And is gamed and scammed because Big Tech works with authoritarians like China and thinks we're weak, and has never gotten in trouble for what they've done.
[00:15:30.656 --> 00:15:36.180]  And so now, Big Tech works with Big Pharma and the UN to keep a UN lockdown going.
[00:15:36.180 --> 00:15:39.203]  And the end of our economy, and says the mask never come off.
[00:15:39.503 --> 00:15:46.806]  And if you criticize the forced inoculations, you'll be banned, and your bank account will be taken, and they're gonna put dozens of them in you a year.
[00:15:46.806 --> 00:15:56.151]  It was two, then five, now Gates says dozens a year, in your body, controlling your DNA, raping you, controlling you, coming for you, because you rolled over!
[00:15:58.148 --> 00:16:00.629]  2020ElectionCenter.com.
[00:16:00.629 --> 00:16:03.429]  Just type it in one time and you've got it saved right there in your browser.
[00:16:03.429 --> 00:16:17.813]  And then you can share it on Twitter, Facebook, YouTube, Apple platforms, but most importantly, via text message, email, or by word of mouth, because they have banned the links to ban.video.
[00:16:17.813 --> 00:16:26.155]  But 2020ElectionCenter.com is a clone of the site, the exact same links, the exact same videos where you can comment, you can share them, everything.
[00:16:26.155 --> 00:16:26.695]  The system,
[00:16:27.655 --> 00:16:32.396]  He's censoring because the power of the people overrode them four years ago.
[00:16:32.396 --> 00:16:37.237]  Trump has finally figured this out, since he's going to take action once re-elected against Big Tech.
[00:16:37.237 --> 00:16:38.717]  I mean, he's moderating the situation.
[00:16:38.717 --> 00:16:43.178]  Well, we know the president's overwhelmed right now, so we're going to sit here and cry because he has to take an action.
[00:16:43.178 --> 00:16:54.020]  We the people are taking action now, and you can do it very, very easily by sharing 2020ElectionCenter.com, 2020ElectionCenter.com, and checking out the new, redesigned InfoWars.com and sharing that link.
[00:16:54.020 --> 00:16:55.320]  Oh, that really upsets them.
[00:16:55.320 --> 00:16:55.880]  Oh, yeah.
[00:16:57.336 --> 00:17:06.445]  It was 30 months ago that InfoWars, and of course yours truly Alex Jones, was banned on more than 60 major platforms in one day.
[00:17:06.445 --> 00:17:10.969]  Led by the CEO of Apple, Tim Cook, who helps China run giant death camps.
[00:17:10.969 --> 00:17:15.753]  Always just let that be in the back of your mind when we talk about these monsters and where they're taking us.
[00:17:16.474 --> 00:17:18.515]  They have no bottom.
[00:17:18.515 --> 00:17:20.076]  And people said, Jones, how are you taking it?
[00:17:20.076 --> 00:17:21.316]  And I said, I'm taking it just fine.
[00:17:21.316 --> 00:17:22.697]  They're coming for you next.
[00:17:22.697 --> 00:17:23.757]  This is a technocracy.
[00:17:23.757 --> 00:17:25.298]  They're merging with Big Pharma.
[00:17:25.298 --> 00:17:26.358]  They're taking over the media.
[00:17:26.358 --> 00:17:30.280]  This is a digital, psychological dictatorship in their own words.
[00:17:30.280 --> 00:17:32.401]  This is a planetary takeover.
[00:17:32.401 --> 00:17:36.923]  They're then going to start locking us in our houses using supposed plague threats.
[00:17:36.923 --> 00:17:42.485]  That's so the wireless system can come into place with the driverless cars and the robot takeover.
[00:17:42.485 --> 00:17:43.846]  How'd I know all this would happen?
[00:17:43.846 --> 00:17:45.707]  Because they've been saying they're going to do it.
[00:17:51.843 --> 00:17:54.988]  Stan, as crazy as all this sounds, it doesn't come from me.
[00:17:54.988 --> 00:17:59.595]  It comes from them.
[00:17:59.595 --> 00:18:02.198]  You're listening to the Alex Jones Show.
[00:18:13.576 --> 00:18:17.400]  The date is Thursday, October 15th, 2020.
[00:18:17.400 --> 00:18:26.429]  18 days out from the next globalist coup attempt against our Republic and the 45th President of the United States.
[00:18:26.429 --> 00:18:28.451]  I'm your host, Alex Jones.
[00:18:28.451 --> 00:18:33.477]  Ever faithful to my family, to God, and to you.
[00:18:33.477 --> 00:18:35.359]  And very, very honored to be here in this position.
[00:18:36.690 --> 00:18:45.696]  I'm exhausted from the long fight, but I've got strength like never before, because I know that we are headed towards the summit and the main battlefield, ladies and gentlemen.
[00:18:45.696 --> 00:18:47.777]  Let me boil this down very, very calmly here.
[00:18:47.777 --> 00:18:51.520]  Again, I'm Alex Jones, your host.
[00:18:51.520 --> 00:18:56.843]  There is a scientific breakaway civilization that has decided to give up its humanity and merge with machines.
[00:18:56.843 --> 00:18:59.285]  That is the AI religion that they follow.
[00:18:59.285 --> 00:19:01.667]  I told you this 26 years ago from their own writings.
[00:19:01.667 --> 00:19:06.270]  Elon Musk has gone public the last two years, Bill Joy and others 20 years ago.
[00:19:08.729 --> 00:19:13.312]  I've had overtures from these groups, trying to get me to join them many times.
[00:19:13.312 --> 00:19:17.794]  The head of the Kissinger Group, in front of my producer, tried to get me to join them as well.
[00:19:17.794 --> 00:19:19.995]  That was not in confidence, so I can tell that story.
[00:19:19.995 --> 00:19:21.516]  That's one of many times.
[00:19:21.516 --> 00:19:34.523]  I know the New World Order is real, because I have their own documents, their own research, and because I research what they're up to, and because I understand their larger plan better than most of their top executives, they've tried to get me to join them.
[00:19:34.523 --> 00:19:35.964]  Just like they tried to get my father to join them.
[00:19:36.724 --> 00:19:42.487]  So, when I sit here and I explain this to you, this is not a game, this is not a joke.
[00:19:42.487 --> 00:19:44.628]  These people are gonna kill you and your family.
[00:19:44.628 --> 00:19:48.790]  Do you understand that?
[00:19:48.790 --> 00:20:01.075]  They're gonna do it once you're brain damaged and filled with cancer viruses and out of your mind in an electromagnetic soup so that you are debilitated to the point of you cannot resist.
[00:20:01.075 --> 00:20:04.017]  Think about how a spider operates and you'll have the enemy.
[00:20:04.017 --> 00:20:04.157]  Now,
[00:20:05.578 --> 00:20:08.479]  We're being caught in the web right now.
[00:20:08.479 --> 00:20:19.064]  They're moving on from the web point to spinning us into a more tightly controlled position, teaching us how to be locked down, teaching us how to be slaves.
[00:20:19.064 --> 00:20:30.210]  And then the next mode, in the next year to three years, will be fangs going in, and that's the forced inoculation, that you'll quote, accept you're really being coerced into it.
[00:20:30.210 --> 00:20:32.051]  And then once you've been given that soft kill,
[00:20:33.208 --> 00:20:50.418]  That spiritually, culturally, and genetically will begin to liquefy your genetics and overtake your genetics, literally, with the mRNA vaccines and other things they're doing, so that you spiritually and physically will fall to your knees in front of Satan.
[00:20:50.418 --> 00:21:01.705]  And then the spider, right as the last light of your soul leaves, will plunge its fangs in and have a blood meal, sucking every drop of its sanguination out of your husk.
[00:21:03.288 --> 00:21:08.413]  Now, that's who Bill Gates is, is a hungry baby spider of the mommy.
[00:21:08.413 --> 00:21:14.398]  That's why he rubs his hands together like a rat and gets very excited and smiles when he talks about global collapse and death.
[00:21:14.398 --> 00:21:21.344]  Because, metaphysically, he's hungry and wants to get the fangs in now for the main meal.
[00:21:21.344 --> 00:21:28.290]  Mommy is explaining to him that it's going to be a slow process dissolving us, aging us,
[00:21:29.730 --> 00:21:43.278]  Liquefying our soul, having our children turned over to them, sterilizing our young boys, poisoning ourselves, denouncing God, so that we get all the little free goodies given to us by Satan, that aren't free.
[00:21:43.278 --> 00:21:45.720]  They're at the price of our soul.
[00:21:45.720 --> 00:21:51.923]  So I just want everyone to know the beautiful continuum they have for you and your family plant.
[00:21:51.923 --> 00:21:54.665]  And this is what you face.
[00:21:54.665 --> 00:21:55.766]  This is what I face.
[00:21:57.261 --> 00:21:59.984]  This is not speculation.
[00:21:59.984 --> 00:22:06.711]  I've just given you an allegory of the spider and its prey.
[00:22:06.711 --> 00:22:12.877]  Well, I am not the prey of the spider.
[00:22:12.877 --> 00:22:15.300]  Alright, now let's get scientific and talk about what's currently happening.
[00:22:16.724 --> 00:22:21.387]  I told you eight months ago because they admitted this in all of their public documents.
[00:22:21.387 --> 00:22:22.467]  Would you like me to list them again?
[00:22:22.467 --> 00:22:23.888]  I know you all know what they are.
[00:22:23.888 --> 00:22:31.092]  Lockstep, Event 201, a bunch of UN drills, Pentagon Report 2010, the Ministry of Defense 2007.
[00:22:35.083 --> 00:22:38.765]  Flash mobs, microchips, and the coming collapse that'll bring it up.
[00:22:38.765 --> 00:22:41.827]  I forget the exact name of the Ministry of Defense report.
[00:22:41.827 --> 00:22:42.147]  2007.
[00:22:42.147 --> 00:22:44.909]  I mean, you could already see it before they announced it all.
[00:22:44.909 --> 00:22:47.430]  People saw those reports and they said, this is what Jones is saying.
[00:22:47.430 --> 00:22:49.812]  How the hell do they know this?
[00:22:49.812 --> 00:22:53.034]  They got Boris Johnson at the UN saying, you will accept nanotech.
[00:22:53.034 --> 00:22:57.497]  You will accept microchips injected into your body next year.
[00:22:57.497 --> 00:22:58.317]  And why was he saying that?
[00:22:58.317 --> 00:23:00.739]  Because he's been told that's what's coming.
[00:23:00.739 --> 00:23:03.180]  And he was letting the system know, hey, I screw people with Brexit.
[00:23:03.180 --> 00:23:04.421]  I'm really a globalist operative.
[00:23:05.583 --> 00:23:05.663]  I'm
[00:23:26.957 --> 00:23:27.217]  This is
[00:23:57.357 --> 00:23:59.778]  Did you take your child to a drag queen story time?
[00:23:59.778 --> 00:24:01.539]  Did you let them sit on their lap?
[00:24:01.539 --> 00:24:03.560]  Did you let them babysit your child?
[00:24:03.560 --> 00:24:05.500]  Did you let them rape your child?
[00:24:05.500 --> 00:24:13.684]  I mean, like, letting your 5-year-old get raped by a pedophile, you're talking major cred that's going to be put in your system.
[00:24:13.684 --> 00:24:16.685]  And then of course, finally, sterilizing your child, massive.
[00:24:16.685 --> 00:24:19.486]  You'll get 5 years living wage off that.
[00:24:19.486 --> 00:24:21.847]  Chop your own balls off, same thing.
[00:24:21.847 --> 00:24:23.968]  Join Church of Satan, bigger bonuses.
[00:24:25.382 --> 00:24:37.595]  hurt yourself, take lots of psychotropics, say that you're debilitated, say that you're depressed, again, and then they tell you you're a weakling and they tell you there's nobody there for you and they tell you you're so bad so you shove a gun in your mouth and kill yourself.
[00:24:37.595 --> 00:24:44.663]  They're all there preying on you to debilitate you, get control of you, make you depressed, cut you off from God, and then kill you.
[00:24:47.182 --> 00:25:08.538]  Because again, the decision has been made, there's too many people, people are too dumb, they're too lazy, but they've made it that way with the system, so that it's a self-fulfilling prophecy, so that those of us that aren't like that will join the spider in killing our own people, because then he can eat us last, that makes us defenseless when we turn on our own species with the spider.
[00:25:08.538 --> 00:25:13.942]  So if you work with these entities, and you do this to your own people, you'll be damned.
[00:25:13.942 --> 00:25:14.502]  And what does that mean?
[00:25:14.502 --> 00:25:16.424]  You'll be cut off from the Creator.
[00:25:18.848 --> 00:25:19.360]  You understand?
[00:25:20.888 --> 00:25:23.330]  And all of this is accelerating.
[00:25:23.330 --> 00:25:25.111]  And the big tech is the surveillance grid.
[00:25:25.111 --> 00:25:27.012]  The big tech is the control grid.
[00:25:27.012 --> 00:25:29.113]  It's the thing to force you to do all this.
[00:25:29.113 --> 00:25:34.036]  And then those that you see like Governor Newsom and Hillary Clinton, they're all wanting to be at the global government level.
[00:25:34.036 --> 00:25:40.880]  They're all wanting to show that they enthusiastically merge with this spirit and accept the destruction of humanity and celebrate it.
[00:25:40.880 --> 00:25:47.805]  And they're all trying to become one with the Luciferian satanic spirit so they can transcend the destruction of the planet.
[00:25:47.805 --> 00:25:50.026]  And they believe they're doing this beautiful thing and that
[00:25:50.026 --> 00:25:52.885]  And out of this destruction comes the birth of this new entity.
[00:25:53.817 --> 00:25:56.798]  That is the marriage of Satan and humanity.
[00:25:56.798 --> 00:26:00.618]  But in truth, humanity is being destroyed and giving up its humanity in that processing.
