[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[00:08:08.891 --> 00:08:09.932]  Come on!
[00:08:09.932 --> 00:08:13.475]  Let CNN count the votes!
[00:08:13.475 --> 00:08:21.982]  We're standing here in Atlanta, Georgia at Olympic Park, the site of the false flag attack that was blamed on Richard Jewell during the Olympics.
[00:08:21.982 --> 00:08:26.346]  And there's the CNN Center and building right behind me.
[00:08:26.346 --> 00:08:28.047]  And we have the Goodyear blimp flying around.
[00:08:28.047 --> 00:08:31.050]  This is quite a conflagration happening.
[00:08:31.050 --> 00:08:32.111]  And guess what else happened?
[00:08:32.591 --> 00:08:37.034]  They counted a lot of the mysterious votes that had problems inside the CNN building.
[00:08:37.034 --> 00:08:39.255]  That was a ballot counting center.
[00:08:39.255 --> 00:08:43.337]  So as Stalin said, I don't care who cast the vote, I care who counts them.
[00:08:43.337 --> 00:08:48.680]  Well, Ali Alexander, the national founder and coordinator of Stop the Steal Movement is here.
[00:08:48.680 --> 00:08:50.621]  We've been all over the country together fighting.
[00:08:50.621 --> 00:08:53.683]  We've reached a critical juncture here in Georgia.
[00:08:53.683 --> 00:08:58.426]  But first, big breaking news, Ali, on the situation that is just explosive.
[00:08:58.726 --> 00:09:01.388]  I got a Hollywood gangster movie in Michigan.
[00:09:01.388 --> 00:09:02.349]  Tell us about that.
[00:09:02.349 --> 00:09:09.976]  So in Wayne County, Michigan, that's Detroit, the Republicans, two Republicans and two Democrats sit on the canvassing board.
[00:09:09.976 --> 00:09:22.146]  The Republicans decided not to certify the election, but under duress and threat from hundreds of thousands of tweets, the leftist Antifa, BLM, they reluctantly agreed under the condition
[00:09:22.867 --> 00:09:25.048]  That the Secretary of State would do an audit.
[00:09:25.048 --> 00:09:29.689]  We are in legal and constitutional limbo as we don't even understand what that means.
[00:09:29.689 --> 00:09:31.210]  What are their rights?
[00:09:31.210 --> 00:09:38.973]  So what we have is bullying from the left against people who just want to certify clean elections, not bad elections.
[00:09:38.973 --> 00:09:41.053]  And we're just in constitutional limbo, folks.
[00:09:41.053 --> 00:09:42.774]  You're going to have to watch InfoWars.
[00:09:42.774 --> 00:09:48.556]  You're going to have to watch the Stop the Steal movement as we navigate this through patriots in the streets and through the courts.
[00:09:49.136 --> 00:09:58.214]  And let's talk about why they were saying we're not certifying this and calling for an audit, which they're still calling for an audit, but they did go ahead and say they're going to certify it.
[00:09:59.537 --> 00:10:01.758]  Because things were, quote, out of balance at a record level.
[00:10:01.758 --> 00:10:03.479]  So they're out of balance at a record level.
[00:10:03.479 --> 00:10:06.360]  I think it was double from 2016 to now.
[00:10:06.360 --> 00:10:09.201]  And the Republicans are like, there's a human error here.
[00:10:09.201 --> 00:10:12.623]  Let's figure that out before we send it to the Secretary of State's office.
[00:10:12.623 --> 00:10:14.564]  And then the Secretary of State would certify.
[00:10:14.564 --> 00:10:23.128]  And then, depending on state law, the governor or some other automatic statutory entity would then do the final certification to send the electors to the electoral college.
[00:10:23.328 --> 00:10:24.949]  They talk about out of balance.
[00:10:24.949 --> 00:10:26.709]  It's a lot of different things that are happening.
[00:10:26.709 --> 00:10:28.890]  You've got 80 plus, 90 plus percent turning out.
[00:10:28.890 --> 00:10:32.611]  Some precincts, 100 percent of the voters turning out.
[00:10:32.611 --> 00:10:33.711]  120, 130, 150.
[00:10:33.711 --> 00:10:35.832]  More votes than there are voters in some cases.
[00:10:35.832 --> 00:10:39.073]  You've got dead people by the thousands voting in Detroit.
[00:10:39.073 --> 00:10:40.173]  This is going on.
[00:10:40.173 --> 00:10:41.254]  So the brainwashing...
[00:10:41.894 --> 00:10:42.074]  I'm
[00:11:01.354 --> 00:11:04.276]  Well, one of them's a former high-level Southern Poverty Law Center.
[00:11:04.276 --> 00:11:10.100]  She comes out and starts threatening people that are reporting on it, saying, I'll arrest you for reporting on this.
[00:11:10.100 --> 00:11:16.025]  I mean, we have the intimidation, we have the fraud, we have the cover-up, we have it all, but people need to stand up peacefully and say no to this.
[00:11:16.405 --> 00:11:18.186]  Yes, Michigan is very dangerous.
[00:11:18.186 --> 00:11:20.566]  George Soros owns the Attorney General there.
[00:11:20.566 --> 00:11:24.167]  If we go there, they're going to arrest us and we might just have to make them.
[00:11:24.167 --> 00:11:29.489]  Pennsylvania Supreme Court made a decision last night, just to piggyback off what you said about poll watchers.
[00:11:29.489 --> 00:11:36.491]  The Pennsylvania Supreme Court, in a 5-2 decision, said it doesn't matter that there were no Republicans in some of these polling locations.
[00:11:36.491 --> 00:11:37.552]  It's fine.
[00:11:37.552 --> 00:11:39.032]  That's settled, folks.
[00:11:39.032 --> 00:11:41.013]  Sure, we can take it to the Supreme Court.
[00:11:41.013 --> 00:11:44.434]  But I warned everyone weeks ago, Chief Justice Roberts,
[00:11:44.974 --> 00:11:51.819]  He set us up with the Wisconsin decision when he said, oh, it's fine if the state court decides something I don't agree with.
[00:11:51.819 --> 00:11:53.000]  Ma-federalism.
[00:11:53.000 --> 00:11:59.804]  So, you know, don't look for relief out of the Supreme Court out of this bad Pennsylvania decision where they say, you don't need Republican poll watchers.
[00:11:59.804 --> 00:12:01.205]  That's not damaging.
[00:12:01.205 --> 00:12:06.549]  We need relief from the legislatures in the federal and state constitutions.
[00:12:06.549 --> 00:12:11.513]  It's time for them, when there's fraud, to call emergency sessions, which is why we're in Georgia.
[00:12:11.513 --> 00:12:14.495]  Tell folks about what we're doing the next four days in a row at high noon.
[00:12:14.915 --> 00:12:24.019]  So at high noon at the Georgia State Capitol, Alex Jones, myself, and other patriots are here, and we are marching, and we are telling the Secretary of State, stop!
[00:12:24.019 --> 00:12:25.039]  Don't certify.
[00:12:25.039 --> 00:12:27.761]  The chances of that happening are zero.
[00:12:27.761 --> 00:12:37.825]  But we might stop the deadline that happens 24 hours after that, and that's when Governor Brian Kemp, who's been wobbly in this whole issue, then has to certify the election from his office.
[00:12:37.825 --> 00:12:44.208]  When he signs a piece of paper certifying the election, it puts a Democrat slate of electors to the Electoral College.
[00:12:44.548 --> 00:12:46.569]  We cannot have this to happen.
[00:12:46.569 --> 00:12:50.392]  If this happens, our remedies in court then become next to nil.
[00:12:50.392 --> 00:13:02.840]  What he has to do, what Governor Kim has to do today is call the state legislator into an emergency session, keep them through January 9th, and give them broad oversight so they can reclaim their constitutional powers.
[00:13:02.840 --> 00:13:06.562]  And it's their duty, it's their obligation to select electors.
[00:13:06.562 --> 00:13:08.564]  They need to reclaim that constitutional power.
[00:13:08.564 --> 00:13:09.524]  That's right.
[00:13:09.524 --> 00:13:11.866]  It was Nancy Pelosi's daughter that tried to get the electors
[00:13:12.466 --> 00:13:15.928]  After Trump had been elected to say no, she said she had a right to do that.
[00:13:15.928 --> 00:13:17.108]  That's really questionable.
[00:13:17.108 --> 00:13:21.970]  But this is the legislature during the election process before it's been conceded.
[00:13:21.970 --> 00:13:23.911]  And look, if I thought Trump had really lost, I wouldn't be here.
[00:13:23.911 --> 00:13:27.913]  He got more votes in all these battleground states than he got last time by a huge margin.
[00:13:27.913 --> 00:13:31.515]  He got almost 11 million more votes nationally than he got last time.
[00:13:31.515 --> 00:13:33.036]  He has all these giant rallies.
[00:13:33.036 --> 00:13:34.676]  They froze it that night.
[00:13:34.676 --> 00:13:37.818]  And then all the votes came in at every state straight up.
[00:13:37.818 --> 00:13:39.919]  And we have all the evidence in Georgia of incredible fraud.
[00:13:40.299 --> 00:13:40.679]  I think so.
[00:14:07.446 --> 00:14:08.907]  Tape this right before the live show today.
[00:14:08.907 --> 00:14:12.448]  It will also be posted at Infowars.com, so please get this out.
[00:14:12.448 --> 00:14:13.348]  That's why we're here.
[00:14:13.348 --> 00:14:14.769]  That's why your numbers are needed.
[00:14:14.769 --> 00:14:20.971]  We expect there to be hundreds today, thousands tomorrow, tens of thousands or hundreds of thousands coming up on Saturday.
[00:14:20.971 --> 00:14:22.572]  Be here and stop the steal.
[00:14:22.572 --> 00:14:23.893]  You are the modern Paul Reveres.
[00:14:23.893 --> 00:14:29.615]  Again, I'll only tell folks where they visit your website to find out the real Stop the Steal movement, not neocons hijacking into derailments.
[00:14:29.775 --> 00:14:32.177]  StopTheSteal.us.
[00:14:32.177 --> 00:14:34.079]  StopTheSteal.us.
[00:14:34.079 --> 00:14:36.301]  Go there and find out how you can participate.
[00:14:36.301 --> 00:14:37.802]  We're in all 50 states.
[00:14:37.802 --> 00:14:39.583]  We're all pissed off about this.
[00:14:39.583 --> 00:14:46.429]  And we highlight the contested states of where we need you, if you can get in your RV, if you can get in your truck, if you can get in your bike.
[00:14:46.429 --> 00:14:53.575]  If we, the people, will put pressure on these judges and these politicians, they'll be forced to react to our moves.
[00:14:53.575 --> 00:14:55.437]  Alright, more live coverage of the Lowe's Troyer right now.
[00:15:15.031 --> 00:15:22.095]  Everyone watching, take to the streets!
[00:15:22.095 --> 00:15:26.497]  Leave your talk!
[00:15:26.497 --> 00:15:27.638]  Take to the streets!
[00:15:36.477 --> 00:15:38.940]  Our election is not transparent!
[00:15:38.940 --> 00:15:41.203]  We're not allowed to check signatures!
[00:15:41.203 --> 00:15:43.526]  We're not allowed to ask questions!
[00:15:43.526 --> 00:15:46.549]  Facebook and Twitter are de-platforming us!
[00:15:46.549 --> 00:15:48.952]  We must come out in the streets!
[00:15:48.952 --> 00:15:50.093]  Chant with me!
[00:15:50.093 --> 00:15:51.915]  Stop the steal!
[00:15:51.915 --> 00:15:53.497]  Stop the steal!
[00:15:53.497 --> 00:15:54.859]  Stop the steal!
[00:15:54.859 --> 00:15:56.381]  Stop the steal!
[00:16:08.786 --> 00:16:13.089]  Now it's easier than ever to have Band.Video on your iPhone.
[00:16:13.089 --> 00:16:16.571]  Simply go to Band.Video with your Safari browser.
[00:16:16.571 --> 00:16:19.854]  Then you click the Share button at the bottom of the screen.
[00:16:19.854 --> 00:16:23.396]  When the menu comes up, you simply click Add to Home Screen.
[00:16:23.396 --> 00:16:25.638]  It will then ask you to name the app.
[00:16:25.638 --> 00:16:27.059]  I suggest Band.Video.
[00:16:27.719 --> 00:16:33.183]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:16:33.183 --> 00:16:41.670]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:16:41.670 --> 00:16:48.375]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[00:16:48.375 --> 00:16:51.177]  However you want, be sure and share BAN.VIDEO.
[00:16:57.756 --> 00:17:03.138]  When President Trump said that the mainstream corporate media was the enemy of America, he really was telling the truth.
[00:17:03.138 --> 00:17:09.380]  They don't just work for the communist Chinese, and the globalists, and the EU, and the whole Hollywood, America-hating, God-hating crew.
[00:17:09.380 --> 00:17:18.804]  They literally say that they are in control of our minds, and believe that they do own us, and tell us who the president is, even though that's not in law.
[00:17:18.804 --> 00:17:23.006]  And they're just gaslighting the whole public over and over again, saying, Joe Biden is president-elect.
[00:17:23.843 --> 00:17:27.084]  Repeating it over and over, you know, like a brainwashing mantra.
[00:17:27.084 --> 00:17:32.906]  When it's up, again, to the state government to certify those votes, and those votes are being challenged, there's massive evidence of fraud.
[00:17:32.906 --> 00:17:35.847]  Again, this is so incredibly clear.
[00:17:35.847 --> 00:17:42.769]  Biden said, because he thought he was going to lose up front, that, oh, we're going to challenge the vote no matter what, until every vote's counted.
[00:17:42.769 --> 00:17:45.990]  Well, a lot of votes haven't been counted, and there's massive fraud being discovered, so...
[00:17:46.530 --> 00:17:49.893]  We're going to hold the course here because Joe Biden is a communist Chinese agent.
[00:17:49.893 --> 00:17:50.593]  He's a globalist.
[00:17:50.593 --> 00:17:51.774]  He wants carbon taxes.
[00:17:51.774 --> 00:17:56.037]  He will destroy this country by design to consolidate power and take control of us.
[00:17:56.037 --> 00:18:00.701]  This is war.
[00:18:00.701 --> 00:18:03.303]  You're listening to the Alex Jones Show.
[00:18:40.154 --> 00:18:49.957]  Ladies and gentlemen, this is the Alex Jones Show on InfoWars.
[00:18:49.957 --> 00:18:58.840]  And Alex Jones is right there on the screen, bullhorning the state capitol building in Atlanta, Georgia.
[00:18:58.840 --> 00:19:01.501]  I think that's Nick Fuentes to his left.
[00:19:01.501 --> 00:19:05.322]  Rob Dew there on screen as well, filming.
[00:19:05.322 --> 00:19:08.183]  And you can see the crowd gathered behind him where we were.
[00:19:09.229 --> 00:19:16.694]  Last week, I believe even, was that on last week of this day or yesterday?
[00:19:16.694 --> 00:19:19.435]  Point is, we are rallying the troops.
[00:19:19.435 --> 00:19:21.977]  We are on a forward march.
[00:19:21.977 --> 00:19:24.919]  We are louder than ever and we are going to stop this steal.
[00:19:24.919 --> 00:19:32.563]  But even if the Democrats get away with this, they've been so caught.
[00:19:32.563 --> 00:19:38.047]  Whatever comes at the end of this is going
[00:19:39.881 --> 00:19:49.088]  To be a full reveal of just how corrupt our system has been.
[00:19:49.088 --> 00:19:54.052]  Now I've got more news stories and reports of the total election fraud.
[00:19:54.052 --> 00:20:05.862]  We've got the smoke signals being sent by the fake Biden president-elect transition team of what that administration would ever be about.
[00:20:05.862 --> 00:20:06.983]  It's scary folks.
[00:20:08.018 --> 00:20:12.280]  And then just more evidence is pouring in with videos now of what's going on in Georgia.
[00:20:12.280 --> 00:20:18.162]  But let's go live to Alex Jones there in front of the state capitol building in Atlanta with a large crowd behind him.
[00:20:27.455 --> 00:20:35.043]  The globalists have been caught red-handed, engaged in massive fraud, and the people know!
[00:20:35.043 --> 00:20:47.935]  And the people will not accept this fraudulent election, and just like in other countries, bare minimum, we need a new election called in the disputed states!
[00:20:47.935 --> 00:20:49.537]  Stop the steal!
[00:20:49.537 --> 00:20:50.438]  Stop the steal!
[00:21:02.361 --> 00:21:08.263]  Brian Kemp, the Republican Governor, is letting this happen!
[00:21:08.263 --> 00:21:12.265]  And the Republican Secretary of State is a criminal!
[00:21:12.265 --> 00:21:14.485]  And he is letting them steal this election!
[00:21:14.485 --> 00:21:19.187]  Because the Governor's Chief of Staff is on the payroll of Dominion!
[00:21:20.243 --> 00:21:23.004]  Is this great or what?
[00:21:23.004 --> 00:21:35.111]  You are in your living room, you're in your kitchen, you're in your car, and you've got Alex Jones live bullhorning in Atlanta.
[00:21:35.111 --> 00:21:36.411]  I love it.
[00:21:36.411 --> 00:21:37.652]  This is what it's all about.
[00:21:39.216 --> 00:21:39.556]  It's illegal!
[00:21:39.556 --> 00:21:40.237]  It's illegal!
[00:21:40.237 --> 00:21:40.697]  It's illegal!
[00:21:40.697 --> 00:21:41.657]  It's illegal!
[00:21:41.657 --> 00:21:42.058]  It's illegal!
[00:21:42.058 --> 00:21:43.078]  It's illegal!
[00:21:43.078 --> 00:21:43.458]  It's illegal!
[00:21:43.458 --> 00:21:44.299]  It's illegal!
[00:21:44.299 --> 00:21:44.559]  It's illegal!
[00:21:44.559 --> 00:21:44.819]  It's illegal!
[00:21:44.819 --> 00:21:45.119]  It's illegal!
[00:21:45.119 --> 00:21:45.580]  It's illegal!
[00:21:45.580 --> 00:21:46.140]  It's illegal!
[00:21:46.140 --> 00:21:46.580]  It's illegal!
[00:21:46.580 --> 00:21:47.161]  It's illegal!
[00:21:47.161 --> 00:21:47.521]  It's illegal!
[00:21:47.521 --> 00:21:47.821]  It's illegal!
[00:21:47.821 --> 00:21:48.121]  It's illegal!
[00:21:48.121 --> 00:21:48.401]  It's illegal!
[00:21:48.401 --> 00:21:48.822]  It's illegal!
[00:21:48.822 --> 00:21:49.182]  It's illegal!
[00:21:49.182 --> 00:21:49.922]  It's illegal!
[00:21:49.922 --> 00:21:50.723]  It's illegal!
[00:21:50.723 --> 00:21:51.163]  It's illegal!
[00:21:51.163 --> 00:21:51.583]  It's illegal!
[00:21:51.583 --> 00:21:52.003]  It's illegal!
[00:21:52.003 --> 00:21:52.464]  It's illegal!
[00:21:52.464 --> 00:21:53.564]  It's illegal!
[00:21:53.564 --> 00:21:53.944]  It's illegal!
[00:21:53.944 --> 00:21:54.385]  It's illegal!
[00:21:54.385 --> 00:21:55.565]  It's illegal!
[00:21:55.565 --> 00:21:55.865]  It's illegal!
[00:21:55.865 --> 00:21:56.166]  It's illegal!
[00:21:56.166 --> 00:21:56.486]  It's illegal!
[00:21:56.486 --> 00:21:56.846]  It's illegal!
[00:21:56.846 --> 00:21:57.106]  It's illegal!
[00:21:57.106 --> 00:21:57.666]  It's illegal!
[00:21:57.666 --> 00:21:58.047]  It's illegal!
[00:21:58.047 --> 00:21:58.507]  It's illegal!
[00:21:58.507 --> 00:21:58.867]  It's illegal!
[00:21:58.867 --> 00:21:59.427]  It's illegal!
[00:21:59.427 --> 00:21:59.888]  It's illegal!
[00:21:59.888 --> 00:22:00.388]  It's illegal!
[00:22:00.388 --> 00:22:00.728]  It's illegal!
[00:22:00.728 --> 00:22:01.028]  It's illegal!
[00:22:01.028 --> 00:22:01.409]  It's illegal!
[00:22:01.409 --> 00:22:01.889]  It's illegal!
[00:22:01.889 --> 00:22:02.249]  It's illegal!
[00:22:02.249 --> 00:22:02.569]  It's illegal!
[00:22:02.569 --> 00:22:03.009]  It's illegal!
[00:22:03.009 --> 00:22:03.310]  It's illegal!
[00:22:03.310 --> 00:22:03.790]  It's illegal!
[00:22:03.790 --> 00:22:04.150]  It's illegal!
[00:22:04.150 --> 00:22:04.590]  It's illegal!
[00:22:04.590 --> 00:22:04.851]  It's illegal!
[00:22:04.851 --> 00:22:05.371]  It's illegal!
[00:22:08.336 --> 00:22:08.857]  No, we need you every day!
[00:22:08.857 --> 00:22:10.038]  Let's let the governor know how often you're coming out!
[00:22:10.038 --> 00:22:10.238]  Every day!
[00:22:10.238 --> 00:22:10.658]  Every day!
[00:22:10.658 --> 00:22:10.879]  Every day!
[00:22:10.879 --> 00:22:11.099]  Every day!
[00:22:11.099 --> 00:22:11.359]  Every day!
[00:22:11.359 --> 00:22:11.619]  Every day!
[00:22:11.619 --> 00:22:11.860]  Every day!
[00:22:11.860 --> 00:22:12.080]  Every day!
[00:22:12.080 --> 00:22:12.300]  Every day!
[00:22:12.300 --> 00:22:12.500]  Every day!
[00:22:12.500 --> 00:22:12.720]  Every day!
[00:22:12.720 --> 00:22:12.941]  Every day!
[00:22:12.941 --> 00:22:13.461]  Every day!
[00:22:13.461 --> 00:22:13.701]  Every day!
[00:22:13.701 --> 00:22:13.922]  Every day!
[00:22:13.922 --> 00:22:14.122]  Every day!
[00:22:14.122 --> 00:22:14.322]  Every day!
[00:22:14.322 --> 00:22:14.923]  Every day!
[00:22:14.923 --> 00:22:15.123]  Every day!
[00:22:15.123 --> 00:22:15.323]  Every day!
[00:22:15.323 --> 00:22:15.523]  Every day!
[00:22:15.523 --> 00:22:15.743]  Every day!
[00:22:15.743 --> 00:22:16.384]  Every day!
[00:22:16.384 --> 00:22:16.584]  Every day!
[00:22:16.584 --> 00:22:16.784]  Every day!
[00:22:16.784 --> 00:22:16.985]  Every day!
[00:22:16.985 --> 00:22:17.185]  Every day!
[00:22:17.185 --> 00:22:17.645]  Every day!
[00:22:17.645 --> 00:22:17.865]  Every day!
[00:22:17.865 --> 00:22:18.066]  Every day!
