[00:00.000 --> 00:12.000]  We are on the march. The empire is on the run. Alex Jones and the GCN radio network.
[02:58.000 --> 03:09.000]  Basically, in little over 40 hours, in fact, little over 24 hours, they raised an amount over $4.8 million to have a recount in Wisconsin.
[03:09.000 --> 03:13.000]  And it looks like a recount in Michigan and Pennsylvania.
[03:13.000 --> 03:20.000]  Of course, you will notice that those three states are the three states which Trump won narrowly.
[03:20.000 --> 03:30.000]  Isn't it interesting that in the interest of having a fair and ethical vote, they're only doing a vote recount in states that Trump won?
[03:30.000 --> 03:40.000]  Even though Hillary won in states such as New Hampshire, Nevada, with far narrower margins than Trump won in Pennsylvania.
[03:40.000 --> 03:49.000]  Out of these three states where they're doing the recount, and it looks like they're going to raise enough money to do so, they're all states in which Trump narrowly won.
[03:49.000 --> 04:01.000]  Of course, this is off the back of a meeting between computer scientists and the Clinton campaign last week, where they're trying to get them to call officially from the Clinton campaign for a recount.
[04:01.000 --> 04:08.000]  And then lo and behold, Jill Stein emerges out of nowhere and says, oh, by the way, we want a recount.
[04:08.000 --> 04:12.000]  What's going on here? There's certain people who are very, very concerned about this.
[04:12.000 --> 04:20.000]  They point to the bizarre methods in which the money is being raised. It seems to be added on in a uniform, bot-like fashion.
[04:20.000 --> 04:24.000]  Again, she raised over $3 million for her entire campaign.
[04:24.000 --> 04:29.000]  Months and months of campaign financing only amounted to $3 million.
[04:29.000 --> 04:36.000]  Yet she was able to raise over $4.8 million in little over 24 hours.
[04:36.000 --> 04:43.000]  But, you know, a lot of people, a lot of respected people, people like Bill Mitchell have said that this is just theater. It's nothing to worry about.
[04:43.000 --> 04:50.000]  I think it is something to worry about. Given what we saw with Brexit, they immediately tried to steal this from us.
[04:50.000 --> 05:07.000]  Are they going to try and steal it from Trump? We'll be back on the Alex Jones show after the break in Four Wars dot com. We'll be right back.
[05:21.000 --> 05:29.000]  Once these groups realized just how bad Obamacare really was, they wanted exemptions from the very same law they forced on everyone else, which Obama gave them.
[05:29.000 --> 05:35.000]  President Obama also had the IRS grant special illegal favors for his brother's so-called charity.
[05:35.000 --> 05:43.000]  The Daily Color reported the IRS had taken the unprecedented step of approving a nonprofit application within just one month from the Barrick H. Obama Foundation.
[05:43.000 --> 05:56.000]  Additionally, the IRS illegally gave retroactive approval for the organization's taxes and status. You can find out more from the article on infowars.com entitled 75 times Obama broke law during presidency.
[05:56.000 --> 06:17.000]  This is Kit Daniels reporting.
[06:26.000 --> 06:38.000]  It's got four and a half stars. People really love it. Read about it. Find out why third party nutraceutical sites give it such high praise because it really does have the best organic based systems that will blow your socks off.
[06:38.000 --> 06:48.000]  I haven't pulled an all nighter like that in a while, but I probably could not have done it without Brain Force. I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[06:48.000 --> 06:58.000]  You will find Brain Force and other game-changing products at infowarslife.com or call 888-253-3139.
[06:58.000 --> 07:08.000]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce about a group you took years for you to develop DNA Force for us.
[07:08.000 --> 07:20.000]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important. What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[07:20.000 --> 07:23.000]  Telomeres are the little cups on the end of our chromosomes.
[07:23.000 --> 07:25.000]  And when it runs out, you start dying.
[07:25.000 --> 07:37.000]  We chose the PQQ because it has over 175 different clinical trials. It's one of the most effective substances in the world. It works like an antioxidant. It works to repair nerve growth factor.
[07:37.000 --> 07:41.000]  So this is a formula to deliver the maximum amount. It's in powder form.
[07:41.000 --> 07:46.000]  We have so many five-star reviews. I take this. This is the product that I take.
[07:46.000 --> 07:51.000]  infowarslife.com and the profit we make. We fight the global. We fight the new world order.
[07:51.000 --> 08:10.000]  Secure your DNA Force today at infowarslife.com or call toll-free 888-253-3139.
[08:10.000 --> 08:23.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[08:23.000 --> 08:27.000]  We alive. This is the Alex Jones show Friday, November 25th.
[08:27.000 --> 08:30.000]  Alex Jones will be coming up at the bottom of the hour.
[08:30.000 --> 08:40.000]  But just to set the table here, and we're going to get onto this article, which is up on infowars.com, is Jill Stein's recount and attempt to steal the election from Hillary.
[08:40.000 --> 08:57.000]  As I said before the break, some of the same Trump supporters who were very concerned about vote fraud before the election are surprisingly relaxed about this new recount in Wisconsin, Michigan and Pennsylvania set to take place over the next week.
[08:57.000 --> 09:05.000]  In fact, AP reports that they are set to file before today's 5pm deadline in Wisconsin for a recount of the vote.
[09:05.000 --> 09:14.000]  And again, people seem very lackadaisical about it. I mean, if they could rig the election, how couldn't they rig this recount?
[09:14.000 --> 09:24.000]  I mean, given the fact that the Clinton campaign has met personally with these computer scientists who claim that there are anomalies in the way the votes were counted,
[09:24.000 --> 09:30.000]  in the way they were tallied by electronic voting machines. Of course, small problem with that in Michigan.
[09:30.000 --> 09:35.000]  They don't use electronic voting machines. And Jill Stein can't seem to answer that.
[09:35.000 --> 09:45.000]  She can't seem to answer the question which I've put to her several times now as to why these recounts are only taking place in states that Trump won.
[09:45.000 --> 09:51.000]  Let's go to my video which went up last night. This is about Jill Stein's recount. Let's roll that video.
[09:51.000 --> 09:59.000]  So the temper tantrums failed, the rioting and smashing up cities failed, and sending death threats to electors failed.
[09:59.000 --> 10:07.000]  Now Hillary supporters encouraged by Jill Stein's fundraising campaign are demanding a recount in Michigan, Wisconsin and Pennsylvania.
[10:07.000 --> 10:15.000]  They spent months sniping about how evil and dangerous Trump was for saying he might not immediately accept the election results.
[10:15.000 --> 10:22.000]  They refused to say that he would respect the results of this election.
[10:22.000 --> 10:30.000]  Now, make no mistake, by doing that, he is threatening our democracy.
[10:30.000 --> 10:37.000]  And the peaceful transition, the peaceful transition of power is one of the things that sets us apart.
[10:37.000 --> 10:41.000]  It's how we hold our country together, no matter who's in charge.
[10:41.000 --> 10:45.000]  Now they're refusing to accept the election results.
[10:45.000 --> 10:49.000]  Donald Trump refused to say that he'd respect the results of this election. That's a direct threat to our democracy.
[10:49.000 --> 10:56.000]  So by Hillary's own logic, her supporters along with Jill Stein are now a direct threat to democracy.
[10:56.000 --> 11:00.000]  So when the riot talks about vote fraud, it's a direct threat to democracy.
[11:00.000 --> 11:04.000]  But when the left does it, it's ethical.
[11:04.000 --> 11:06.000]  But Hillary won the popular vote. What are you afraid of?
[11:06.000 --> 11:11.000]  Oh, I don't know. Maybe the fact that she's a lying corrupt sociopath.
[11:11.000 --> 11:21.000]  Maybe the fact that her entire campaign was backed by an establishment that wouldn't hesitate to exploit a recount to carry out the vote fraud that they thought they didn't need on election day.
[11:21.000 --> 11:31.000]  The Clinton campaign has already held meetings with computer scientists who claim that there are anomalies between votes cast on electronic voting machines and those cast by paper ballots.
[11:31.000 --> 11:37.000]  Yeah, one problem with that, Michigan didn't even use electronic voting machines.
[11:37.000 --> 11:47.000]  And as Nate Silver, hardly a Trump supporter, has documented, these so-called anomalies completely disappear when you factor in demographics.
[11:47.000 --> 11:50.000]  This whole thing was already debunked before it even began.
[11:50.000 --> 11:58.000]  Is Hillary Clinton willing to risk civil war in America by installing herself as part of a coup?
[11:58.000 --> 12:06.000]  This is all a long shot, but it just goes to illustrate how the left only professes its love for democracy when they're winning.
[12:06.000 --> 12:10.000]  As soon as they start losing, they have a hissy fit of epic proportions.
[12:10.000 --> 12:19.000]  We saw the exact same thing after Brexit, and they're still trying to derail that, pissing all over the democratic will of the British people.
[12:19.000 --> 12:29.000]  Jill Stein also keeps raising the amount they're asking for to fund this recount every time it's met. Could this just be one huge money-making scam?
[12:29.000 --> 12:31.000]  And why is Jill Stein pushing this?
[12:31.000 --> 12:38.000]  Is it to try and regain some lefty street cred because she was vaguely supportive of Trump during the campaign?
[12:38.000 --> 12:40.000]  If so, that's pathetic.
[12:40.000 --> 12:48.000]  Seriously, Jill Stein said that a Hillary presidency would mean nuclear war, and now she's throwing Hillary a lifeline.
[12:48.000 --> 12:52.000]  Under Hillary Clinton, we could slide into nuclear war very quickly.
[12:52.000 --> 12:56.000]  The deadline for demanding a recount in these three states is almost up.
[12:56.000 --> 13:02.000]  The Wisconsin deadline is tomorrow. In Pennsylvania, it's Monday, and Michigan is Wednesday next week.
[13:02.000 --> 13:08.000]  If they extend those deadlines to cater for this campaign, then you know the fix is in.
[13:08.000 --> 13:11.000]  So listen up, crybaby butthurt losers.
[13:11.000 --> 13:16.000]  No matter how many times you recount the votes, Hillary will still have lost.
[13:16.000 --> 13:21.000]  No matter how many death threats you send to electors, Hillary will still have lost.
[13:21.000 --> 13:28.000]  No matter how many boohoo whining temper tantrums you have, Hillary will still have lost.
[13:28.000 --> 13:33.000]  No matter how many cities you smash up, Hillary will still have lost.
[13:33.000 --> 13:35.000]  You lost.
[13:35.000 --> 13:38.000]  Your entire ideology has been rejected.
[13:38.000 --> 13:51.000]  Go home, lick your wounds, and listen to people like Bernie Sanders who explained why you lost, because no one resonates with you constantly shoving identity politics down people's throats.
[13:51.000 --> 13:56.000]  It doesn't work anymore. Your era is finished. It's done.
[13:56.000 --> 14:08.000]  Now wipe the blubbering tears from your face, step aside, and let the adults get on with making America great again.
[14:08.000 --> 14:25.000]  OK, that video went up last night. Here is the latest that the Associated Press, Jill Stein, will request recount in Wisconsin Green Party says the article states under Wisconsin Law Stein's campaign must show a basis for the recount in that state and cover costs.
[14:25.000 --> 14:30.000]  So they need to show a basis for the recount, yet they haven't shown any basis whatsoever.
[14:30.000 --> 14:38.000]  Is the vote tight? Was it tight in Wisconsin? Yes, but it was tight in Nevada. It was tight in New Hampshire.
[14:38.000 --> 14:44.000]  It was tight in other states, yet there's no recount taking place in states where Hillary won.
[14:44.000 --> 14:53.000]  This is what Jill Stein said to PBS yesterday, quote, this is not being done to benefit one candidate at the expense of the other.
[14:53.000 --> 15:01.000]  So that's the case, Jill. Why are you only fundraising to conduct recounts in states where Trump won?
[15:01.000 --> 15:06.000]  How many times do we need to ask that question? Haven't received an answer thus far.
[15:06.000 --> 15:18.000]  Hillary won New Hampshire, Minnesota and Nevada by fewer votes than Trump won Pennsylvania, but there will be no recount in any of those three states.
[15:18.000 --> 15:25.000]  Is it only happening in the states that Trump won? So Trump won Pennsylvania by 78,000 votes.
[15:25.000 --> 15:30.000]  And that's what Jill Stein aims to have a recount. She aims to have a recount in Pennsylvania.
[15:30.000 --> 15:36.000]  Their deadline is tomorrow. The Wisconsin deadline is today. Michigan deadline is Wednesday.
[15:36.000 --> 15:43.000]  In all of those three states, they want a recount. So Trump beat Hillary by 78,000 votes in Pennsylvania.
[15:43.000 --> 15:49.000]  Yet Clinton only won New Hampshire by less than 3000 votes.
[15:49.000 --> 15:55.000]  She won Minnesota by less than 44,000 votes and Nevada by around 26,000 votes.
[15:55.000 --> 16:00.000]  So in all three cases, in all three states where she narrowly defeated Trump,
[16:00.000 --> 16:07.000]  she won by a significantly smaller margin than what Trump had over Hillary in Pennsylvania.
[16:07.000 --> 16:16.000]  So why are we having a recount in Pennsylvania when these three blue states were significantly tighter on election night?
[16:16.000 --> 16:20.000]  And why hasn't Jill Stein answered that question? Again, this happened.
[16:20.000 --> 16:24.000]  This didn't just emerge out of the blue independently via Jill Stein.
[16:24.000 --> 16:30.000]  This happened after these computer scientists met with Hillary Clinton's campaign.
[16:30.000 --> 16:36.000]  They had a conference call with spirit cooking spooky Podesta a week ago.
[16:36.000 --> 16:41.000]  This is where this started. So now they're trying to claim that it's all Jill Stein's work.
[16:41.000 --> 16:51.000]  Again, is that to contain the backlash? Is that to prevent charges that by leading this recount initiative, Hillary would be a sore loser?
[16:51.000 --> 16:54.000]  Jill Stein seems to have taken it on.
[16:54.000 --> 17:01.000]  And again, they're talking about evidence that the vote was hacked in these three states.
[17:01.000 --> 17:08.000]  How can a vote be hacked in Michigan when it wasn't conducted on electronic voting machines?
[17:08.000 --> 17:11.000]  This is the quote from Chris Thomas. Listen to this.
[17:11.000 --> 17:16.000]  He's the director of Michigan's Bureau of Elections. He told the Detroit Free Press.
[17:16.000 --> 17:21.000]  We are an entire paper and optical scan state.
[17:21.000 --> 17:29.000]  So the only electronic version of this vote is where you fill in the paper ballot and then have it scanned by an optical scanner.
[17:29.000 --> 17:35.000]  There's no electronic voting machine. They didn't use any in the presidential election in Michigan.
[17:35.000 --> 17:40.000]  He went on to say, quote, nothing is connected to the Internet.
[17:40.000 --> 17:45.000]  So again, the claim that this could have been hacked completely debunked on the face of it.
[17:45.000 --> 17:50.000]  And on top of that, they already counted the vote twice in Michigan.
[17:50.000 --> 17:55.000]  And when I put this out on Twitter last night, there were a few leftists, a few Hillary supporters right now.
[17:55.000 --> 18:04.000]  Not true. Well, yes, it is. They had the quick count, which was conducted on the night of the election announced on the morning of the ninth.
[18:04.000 --> 18:08.000]  They then had a second certified count, which was conducted.
[18:08.000 --> 18:15.000]  They only just released the final results of that yesterday and Trump won by 10,700 votes.
[18:15.000 --> 18:18.000]  So they already had two counts in Michigan.
[18:18.000 --> 18:23.000]  If they have a third count, given that this is a state which does not use electronic voting machines,
[18:23.000 --> 18:29.000]  if they have the third count, oh, and lo and behold, we've just discovered all these new paper ballots in the name of Hillary.
[18:29.000 --> 18:32.000]  I mean, that is going to stink to high heaven.
[18:32.000 --> 18:35.000]  And again, it's only happening in states that Trump won.
[18:35.000 --> 18:42.000]  You've also got, again, the fact that Trump supporters seem very, very lackadaisical about this.
[18:42.000 --> 18:46.000]  They don't seem to really think that this is a threat.
[18:46.000 --> 18:50.000]  All the top Trump people on Twitter that I've looked at aren't very concerned about this.
[18:50.000 --> 18:53.000]  Over at the Donald Reddit, they are more concerned about it.
[18:53.000 --> 18:59.000]  And questions are also swirling as to how Stein managed to raise such a whopping sum of money,
[18:59.000 --> 19:03.000]  which is now $4.8 million in such a short space of time,
[19:03.000 --> 19:07.000]  given that her entire campaign only raised $3 million.
[19:07.000 --> 19:12.000]  Obviously, you've got a lot of but her Hillary supporters that are donating to that.
[19:12.000 --> 19:18.000]  But again, $4.8 million in a little over 24 hours.
[19:18.000 --> 19:22.000]  I mean, do we have George Soros' hand involved in this?
[19:22.000 --> 19:26.000]  Do we have big Hillary donors involved in this?
[19:26.000 --> 19:30.000]  And again, using Jill Stein as a fallback to take the flak.
[19:30.000 --> 19:35.000]  But in fact, they had other experts analyze the claims made by the computer scientists
[19:35.000 --> 19:40.000]  who claim that there were anomalies between the electronic voting machine ballots and the paper ballots.
[19:40.000 --> 19:43.000]  And even they said that there was no evidence here.
[19:43.000 --> 19:46.000]  So again, Wisconsin law states there needs to be evidence,
[19:46.000 --> 19:50.000]  not just funding, not just you prove you can pay for a recount.
[19:50.000 --> 19:53.000]  You need to have actual evidence that there was fraud.
[19:53.000 --> 20:17.000]  If you have none, we'll be back to discuss it after this break. Don't go away.
[20:23.000 --> 20:26.000]  And we are experiencing lower IQs.
[20:26.000 --> 20:29.000]  But now there is a weapon to fight back and win.
[20:29.000 --> 20:32.000]  Introducing DNA Evolve.
[20:32.000 --> 20:37.000]  A revolutionary breakthrough in a category of cognitive enhancers called Neutropics.
[20:37.000 --> 20:41.000]  I've been using DNA Evolve and couldn't feel better.
[20:41.000 --> 20:43.000]  For me, it works.
[20:43.000 --> 20:46.000]  It feels great to get things done again and get ahead.
[20:46.000 --> 20:51.000]  Try a free sample for yourself at dnaevolvesample.com.
[20:51.000 --> 21:02.000]  Supplies are limited, so go to dnaevolvesample.com right now.
[21:02.000 --> 21:06.000]  Hello, everybody. My name is Charlie Sayles.
[21:06.000 --> 21:12.000]  I'm a Vietnam veteran, a Monica player, vocalist, and blues songwriter.
[21:12.000 --> 21:16.000]  Now I've been married, been homeless, every witch away.
[21:16.000 --> 21:22.000]  And now I've hooked up with a great record company, not just me, a lot of musicians.
[21:22.000 --> 21:47.000]  You're going to like this. This message is brought to you by FetalRecords.com.
[21:52.000 --> 22:07.000]  There is an affordable alternative to the high cost of healthcare that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[22:07.000 --> 22:13.000]  Imagine having access to quality, affordable healthcare that allows you the freedom to choose your doctor and hospital.
[22:13.000 --> 22:19.000]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[22:19.000 --> 22:24.000]  Find out how you and your family can contain healthcare costs without giving up your freedom.
[22:24.000 --> 22:50.000]  Go to libertyoncall.org. That's libertyoncall.org.
[22:50.000 --> 23:02.000]  What looks good under your Christmas tree and tastes even better?
[23:02.000 --> 23:10.000]  Big Berkey water filters. Yes, the gift of clean water, a gift that provides a great foundation for achieving good health in the lives of your loved ones.
[23:10.000 --> 23:21.000]  A big Berkey water filter gives them protection from bacteria, heavy metals, chlorine, fluoride, pesticides and herbicides, VOCs and more.
[23:21.000 --> 23:23.000]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[23:23.000 --> 23:33.000]  And that saves time and money in filter replacements that other water filters require and are even powerful enough to purify treated, untreated or even stagnant pond water.
[23:33.000 --> 23:40.000]  As always, all orders over $50 are shipped free and GCN listeners get 5% off all ceramic filter systems.
[23:40.000 --> 23:51.000]  Order online at bigberkeywaterfilters.com, or call 877-99-Berkey.
[23:51.000 --> 23:55.000]  That's 877-99-B-E-R-K-E-Y.
[23:55.000 --> 24:11.000]  All this Christmas, give a big Berkey water filter.
[24:11.000 --> 24:20.000]  We are back live on the Alex Jones show. Alex Jones will be coming up with his take on this recount, which people seem to be very relaxed about.
[24:20.000 --> 24:28.000]  Alex is relaxed about it, and rightly so. I'm certainly not either. But before we get back into the news, I want to tell you about our specials at infowarsstore.com.
[24:28.000 --> 24:35.000]  Because we've got an amazing discount right now, Silver Bullet Colloidal Silver at just $9.95.
[24:35.000 --> 24:41.000]  This price will only be held for the next 24 hours. That's $9.95 for Silver Bullet Colloidal Silver.
[24:41.000 --> 24:52.000]  The infowarslife Silver Bullet Colloidal Silver is finally here following Alex's extensive search for a powerful colloidal silver product that is free of artificial additives.
[24:52.000 --> 25:03.000]  No crap in this. We try to get the purest solutions possible and utilize as high quality processors to ensure for a truly unique product that has applications for both preparedness and regular use.
[25:03.000 --> 25:21.000]  Again, 737 reviews, independent reviews, 4.8 out of 5. I mean, that is huge. If you went on Amazon.com and you saw 4.8 out of 737 independent reviews, that is high praise indeed.
[25:21.000 --> 25:35.000]  And it's only $9.95. That is huge. Normally retails for $29.95. So you've got a $20 saving on Silver Bullet Colloidal Silver right now at infowarsstore.com.
[25:35.000 --> 25:40.000]  We've also got Brainforce Plus, which I need to get my hands on.
[25:40.000 --> 25:45.000]  And again, I used to take Joe Rogan's product, which was similar, but this is even better.
[25:45.000 --> 25:53.000]  And I'm guessing that Brainforce is even a boost on top of that. In fact, I took two of these right before the show. I've got it right here.
[25:53.000 --> 25:58.000]  This is the ordinary Brainforce that we had before. Now we've got Brainforce Plus.
[25:58.000 --> 26:04.000]  And again, this enhances cognitive thinking. This enables you to get tasks done quicker.
[26:04.000 --> 26:09.000]  If you're a public speaker, it enables you to speak more clearly.
[26:09.000 --> 26:16.000]  Again, you could use this even in social situations. People go out, they have brain fog. They've got people talking at them from all different directions.
[26:16.000 --> 26:24.000]  This really clears up your mind, enables you to speak more clearly. Again, it's Brainforce Plus.
[26:24.000 --> 26:31.000]  $296. Again, huge savings, $18.99 savings. That's over 47% saving.
[26:31.000 --> 26:37.000]  That is extremely reasonable. In fact, other products, similar products, which aren't even as good.
[26:37.000 --> 26:45.000]  I've seen them go for as much as double what we're offering Brainforce Plus for at infowarstore.com.
[26:45.000 --> 26:52.000]  So again, it's not just about getting great products that have independent five-star reviews, replete with hundreds of them.
[26:52.000 --> 26:56.000]  It's about supporting this broadcast. You've seen how it's grown so quickly.
[26:56.000 --> 27:03.000]  You've seen how we're now taking on the mainstream media and winning, which is now why they say we're fake news,
[27:03.000 --> 27:10.000]  which we're going to get onto in a moment, but supporters get the products at infowarstore.com.
[27:10.000 --> 27:18.000]  Now, before we get on to fake news here in the last couple of minutes, we have the Daily Mail reporting Trump transition aids
[27:18.000 --> 27:25.000]  molasking Mitt Romney to issue public apology for calling Trump phony and fraud so he can be secretary of state.
[27:25.000 --> 27:36.000]  This has obviously caused a huge uproar amongst Trump supporters in the last couple of days. Never Romney was trending on Twitter a couple of days ago.
[27:36.000 --> 27:43.000]  People don't want Mitt Romney as secretary of state. They don't want him anywhere near a Trump administration.
[27:43.000 --> 27:49.000]  In fact, Sernovich, who's coming up in the next hour, he said that it was basically his line in the sand.
[27:49.000 --> 27:56.000]  He said that if Trump appointed Mitt Romney as secretary of state, you'd have to get off the Trump train.
[27:56.000 --> 28:01.000]  Others are saying that that's drama queen behavior. That's going over the top.
[28:01.000 --> 28:08.000]  But again, the narrative here is that, oh, you know, we can't have Mitt Romney because he insulted Donald Trump during the campaign.
[28:08.000 --> 28:14.000]  No, it's not about that. Nobody cares about insults. You know, Ben Carson insulted Trump.
[28:14.000 --> 28:19.000]  Trump insulted a lot of other people who are going to end up in his cabinet. Nobody cares about that.
[28:19.000 --> 28:23.000]  Mitt Romney basically led the Never Trump movement.
[28:23.000 --> 28:33.000]  This is a corrupt, compromised establishment insider who has nothing whatsoever to do with the Trump movement and shouldn't be anywhere near it.
[28:33.000 --> 28:43.000]  This is a guy who vehemently, even more so than Hillary Clinton, wanted to arm jihadist rebels in Syria as far back as 2011.
[28:43.000 --> 28:46.000]  And look what happened. Look how great that ended up.
[28:46.000 --> 28:51.000]  This is a guy who was pushed basically for a confrontation with Russia.
[28:51.000 --> 28:57.000]  If this guy gets in, this would push us back towards a war with Russia.
[28:57.000 --> 29:00.000]  It would be like Hillary Clinton won the election.
[29:00.000 --> 29:10.000]  And again, he led the Never Trump movement. They almost tried to insert him in the final few months as a ringer to try and derail Trump at the RNC.
[29:10.000 --> 29:16.000]  I mean, Trump won based largely on backlash to Obamacare.
[29:16.000 --> 29:24.000]  Obamacare was based on Romneycare. In fact, Mitt Romney himself said without Romneycare, there would be no Obamacare.
[29:24.000 --> 29:26.000]  So again, he's a neocon.
[29:26.000 --> 29:31.000]  He supported the same disastrous policies in the Middle East as Hillary Clinton did.
[29:31.000 --> 29:35.000]  He basically led, was the figurehead of the Never Trump movement.
[29:35.000 --> 29:42.000]  Nobody cares about insults. We care about policies. We care about history. We care about legacy.
[29:42.000 --> 29:45.000]  And that's why Mitt Romney should be nowhere near a Trump administration.
[29:45.000 --> 30:07.000]  We'll be back with Alex Jones after the break. Don't go away.
[30:15.000 --> 30:20.000]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[30:20.000 --> 30:24.000]  It helps balance the thyroid gland. It helps detoxify.
[30:24.000 --> 30:27.000]  Selenium is another one of those absolute must-haves.
[30:27.000 --> 30:32.000]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[30:32.000 --> 30:38.000]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[30:38.000 --> 30:43.000]  So it really is a all-around nutrient that everybody really needs.
[30:43.000 --> 30:50.000]  I'm taking it now every day. This is soaking. Biotru selenium is the product, the best selenium that we could bring you.
[30:50.000 --> 30:52.000]  We believe it's the best out there at a very, very low price.
[30:52.000 --> 31:21.000]  Exclusively available at M4WarsLive.com or by calling toll-free, triple-eight, two-five, three-three, one-three-nine.
[31:23.000 --> 31:38.000]  You know about RVs. You've heard about bunkers, but surviving is not recreation and man wasn't made to live underground.
[31:38.000 --> 31:49.000]  Introducing Survivalist Camps, the ultimate fully functional off-the-grid survival bug outhouse that's mobile, well-equipped and custom built to outlast any other RV or trailer.
[31:49.000 --> 31:59.000]  Go to survivalistcamps.com to learn more. That's survivalistcamps.com, providing your basic needs to survive. Survivalistcamps.com.
[31:59.000 --> 32:04.000]  I want to tell you about a brand new off-the-grid product. It's a pocket-sized solar generator.
[32:04.000 --> 32:13.000]  Even though it's so small you can put it in your pocket, it can actually run some 110 appliances at your house, like small refrigerators to keep your food from spoiling.
[32:13.000 --> 32:21.000]  The best part, though, you can take it with you. It's mobile to jumpstart cars, trucks, buses, 18-wheelers, huge tractors, even airplanes.
[32:21.000 --> 32:28.000]  The new PPX system provides an endless supply of off-the-grid electricity, basically creating your own private power grid anywhere in the world.
[32:28.000 --> 32:35.000]  A true innovation. I have never seen anything like this. You're going to want to load up on these. One for your truck, your wife's car, your house, cabin.
[32:35.000 --> 32:44.000]  It's even a great Christmas idea if you've got a friend who wants to get off the grid. Go to privatepowergrid.com. That's privatepowergrid.com and check this out.
[32:44.000 --> 32:53.000]  Buy one right now. Use coupon code GCN at checkout and get a second one free on $300 in free off-the-grid bonuses. Check it out.
[32:53.000 --> 33:11.000]  Privatepowergrid.com. Limited one for household. Privatepowergrid.com.
[33:11.000 --> 33:21.000]  Before America can be great again, she must be free again. You're listening to the Alex Jones show.
[33:21.000 --> 33:37.000]  We are back live as negotiations continue over Donald Trump's secretary of state. They're now saying that it could be Petraeus, of course, a massive, massive backlash against Mitt Romney.
[33:37.000 --> 33:45.000]  It looked like he could be a shoe-in. Obviously, we know he had that meeting with Trump. But again, Trump's base basically had a fit revolted against it.
