[00:00.000 --> 00:05.280]  A4.
[06:35.600 --> 06:39.600]  Dad, can we stop? We need to go to the bathroom.
[06:39.600 --> 06:43.600]  What? Again? We just stopped two hours ago.
[06:43.600 --> 06:47.600]  Honey, let's stop, because I gave the kids their spark-burkey water bottles.
[06:47.600 --> 06:49.600]  Why did you do that?
[06:49.600 --> 06:53.600]  Because they can't drink and talk at the same time, and that way we don't have to listen to them singing.
[06:53.600 --> 06:56.600]  Are we there yet? Are we there yet?
[06:56.600 --> 06:57.600]  For the entire trip.
[06:57.600 --> 07:01.600]  Hmm, I didn't think about that. Great idea.
[07:01.600 --> 07:04.600]  Yeah, and it's cheap entertainment for the kids.
[07:04.600 --> 07:11.600]  Bottled water costs around 75 cents a bottle, and using our burky sport bottles, it costs us less than two and a half cents per refill.
[07:11.600 --> 07:14.600]  Honey, you're terrific.
[07:14.600 --> 07:19.600]  Oh, honey, so are you. You're the one that bought the family our sport burky water bottles.
[07:19.600 --> 07:22.600]  Now can we stop? I need to go too.
[07:22.600 --> 07:29.600]  Get your burky sport purification bottle for only $39 by calling new millennium at 888-803-4438.
[07:29.600 --> 07:35.600]  That's 888-803-4438, or order on the web at burkywater.com.
[07:35.600 --> 07:40.600]  Times are tough right now, but there are a lot of different ways to get ourselves out of this mess,
[07:40.600 --> 07:44.600]  providing for our own food, water, and power are a good start.
[07:44.600 --> 07:51.600]  As you may have heard by now, Ken Solar has been configuring alternative energy packages for over a decade.
[07:51.600 --> 07:55.600]  Ken's most popular items right now is the new Solar Powered Generator.
[07:55.600 --> 08:01.600]  For a lot less than you'd expect, this portable system can chop up nearly a third of your electric bill.
[08:01.600 --> 08:06.600]  Getting yourself onto solar power is one of the most liberating things you can do for yourself and your family.
[08:06.600 --> 08:14.600]  The Solar Powered Generator will run your lights, fan, electric blanket, your refrigerator, and a whole slew of household items.
[08:14.600 --> 08:20.600]  Visit Ken's website at kensolar.com for free downloads, free videos and how-tos.
[08:20.600 --> 08:23.600]  And of course, the new Solar Powered Generator.
[08:23.600 --> 08:28.600]  Enter the GC and coupon code during your order and save an additional 10%.
[08:28.600 --> 08:32.600]  Get a Solar Powered Generator now from kensolar.com.
[08:32.600 --> 08:35.600]  That's kensolar.com.
[08:35.600 --> 08:48.600]  The Genesis Communications Radio Network proudly presents The Alex Jones Show, because there's a war on for your mind.
[08:48.600 --> 08:52.600]  All right, folks. This is Alex Jones from I-35.
[08:52.600 --> 09:02.600]  I'm taking a well-deserved short family vacation to go visit with my family here in Texas, and I'm driving that I-35.
[09:02.600 --> 09:10.600]  And we're going to go back to a great rebroadcast actually from last week with the obsolete man and a bunch of other interviews and key things we covered.
[09:10.600 --> 09:16.600]  But in the meantime, I want to announce in case anybody missed it, that's why I'm joining you via cell phone with 18-wheelers on both sides of me.
[09:16.600 --> 09:22.600]  As I hurled down I-35 in the lane, is that Ron Paul has announced for president.
[09:22.600 --> 09:25.600]  The media is saying he's thinking about running for president.
[09:25.600 --> 09:29.600]  We talked to his office this morning before I got on the road. He is running for president.
[09:29.600 --> 09:34.600]  We have a big report out on this on prisonplanet.com in the next few hours.
[09:34.600 --> 09:37.600]  The Washington Post is reporting he's considering running for president.
[09:37.600 --> 09:40.600]  Ron Paul's office told us he is running for president.
[09:40.600 --> 09:47.600]  You know, this show has lobbied him to run for president. Many of you have lobbied for him to run for president, and he's a routine guest.
[09:47.600 --> 09:52.600]  He's going to be scheduled next week with Jack Blood and when Bob Dacier is sitting in, they're both sitting in next week.
[09:52.600 --> 10:00.600]  Different days, I'm not sure which day next week that Congressman Ron Paul will be there.
[10:00.600 --> 10:05.600]  But they told us his office said he will be there for 30 minutes next week.
[10:05.600 --> 10:10.600]  Again, he is running for president. He has the trifecta. He's anti-war.
[10:10.600 --> 10:13.600]  He's a constitutionalist, and he's a libertarian.
[10:13.600 --> 10:16.600]  He has a conservative voting record in Congress.
[10:16.600 --> 10:21.600]  Delay in Texas tried to rewrite the district to defeat him,
[10:21.600 --> 10:24.600]  kicked him out of his Republican district into a liberal district,
[10:24.600 --> 10:32.600]  and he won by an even bigger landslide with 65% of the vote down in the Galveston County and surrounding areas.
[10:32.600 --> 10:37.600]  I'm driving through right now. And so this is absolutely amazing.
[10:37.600 --> 10:42.600]  This is so exciting that this is happening.
[10:42.600 --> 10:44.600]  And he truly is the dark horse candidate.
[10:44.600 --> 10:48.600]  And by dark horse, he is the ace in the hole.
[10:48.600 --> 10:52.600]  Of course, we have election fraud with about 35% of the country we know,
[10:52.600 --> 10:57.600]  but I talked to Ron Paul off here last time he was on a few months ago,
[10:57.600 --> 11:00.600]  and I said, everybody wants you to run for president. You've got to run for president.
[11:00.600 --> 11:03.600]  He said, look, I think my liberty committee is the answer,
[11:03.600 --> 11:10.600]  getting a big caucus in Congress that's anti-UN, anti-fellow reserve, anti-New World War.
[11:10.600 --> 11:15.600]  He said they would come down on me too hard, they would crush me, and they would destroy me in the media.
[11:15.600 --> 11:17.600]  And I said, well, we need you to do it, Congressman.
[11:17.600 --> 11:22.600]  You know there's nobody else that's got the appeal that you do in national polls.
[11:22.600 --> 11:25.600]  A few of them have been done in the last two years.
[11:25.600 --> 11:32.600]  Ron Paul has over a 65% approval rating, the same thing he just got in an election here in Texas.
[11:32.600 --> 11:35.600]  He's gotten a tie at 68%.
[11:35.600 --> 11:40.600]  Tom Tancrino is not running. Tom Tancrino is nothing compared to Ron Paul.
[11:40.600 --> 11:43.600]  He's won on a lot of issues, right on some.
[11:43.600 --> 11:49.600]  Ron Paul is right on every single issue, every single issue.
[11:49.600 --> 11:53.600]  Congressman Ron Paul is running for president.
[11:53.600 --> 11:57.600]  The Democrats should vote for him. They should know. They should know.
[11:57.600 --> 11:59.600]  And they should mobilize behind him.
[11:59.600 --> 12:01.600]  The Democratic leadership is pro-war.
[12:01.600 --> 12:03.600]  They're just arguing about whether to escalate or not.
[12:03.600 --> 12:08.600]  Hillary and Schumer and all the rest of them want to go into Iran and go into Syria.
[12:08.600 --> 12:10.600]  They're totally criminal party.
[12:10.600 --> 12:13.600]  They're trying to implement more police state legislation.
[12:13.600 --> 12:18.600]  They don't want to repeal Patriot Act or HR 6166 Military Commissions Act
[12:18.600 --> 12:22.600]  or the John Warner Defense Operational Act of 2007 that literally makes George Bush a dictator.
[12:22.600 --> 12:25.600]  The Democrats are bought and paid for by the same people.
[12:25.600 --> 12:27.600]  No one has a record like Ron Paul.
[12:27.600 --> 12:32.600]  A battle-heartened combat flight surgeon who served two tours in Vietnam.
[12:32.600 --> 12:38.600]  We're talking about an American here who has practiced as a family doctor.
[12:38.600 --> 12:42.600]  We're talking about a man who's been in Congress off and on since the 70s
[12:42.600 --> 12:45.600]  and has never once compromised.
[12:45.600 --> 12:49.600]  You're talking about a man our personal friends with who I absolutely respect.
[12:49.600 --> 12:52.600]  I know I'm telling you, we've all got to get behind him.
[12:52.600 --> 12:55.600]  This is why, even if they stage the election, even if they demonize him and attack him,
[12:55.600 --> 12:58.600]  and even if he doesn't get the Republican nomination,
[12:58.600 --> 13:02.600]  Congressman Ron Paul will be able to educate people on a national platform.
[13:02.600 --> 13:04.600]  They cannot ignore him.
[13:04.600 --> 13:08.600]  This is a boon to liberty, a boon to freedom, a boon to our society.
[13:08.600 --> 13:10.600]  This is so exciting.
[13:10.600 --> 13:12.600]  And make no mistake, Genesis Listers.
[13:12.600 --> 13:17.600]  Genesis Communications Radio Network Listers are affiliates from Knoxville, Tennessee,
[13:17.600 --> 13:22.600]  to Kansas City, to Chicago, to Austin, Texas, Radio Free Austin, you name it.
[13:22.600 --> 13:25.600]  You are the reason Ron Paul is running for president.
[13:25.600 --> 13:26.600]  A big part of it.
[13:26.600 --> 13:30.600]  We have lobbied the daylights out of him for the last year to run for president.
[13:30.600 --> 13:31.600]  We've got to get behind him.
[13:31.600 --> 13:33.600]  We've got to contribute to him.
[13:33.600 --> 13:37.600]  We have got to absolutely support him and let the mainstream media try to demonize him.
[13:37.600 --> 13:39.600]  That's why they lost all credibility.
[13:39.600 --> 13:41.600]  We have a good chance for him to win New Hampshire.
[13:41.600 --> 13:44.600]  We have a good chance for him to get the nomination.
[13:44.600 --> 13:46.600]  Frankly, he'd be in great danger at that point,
[13:46.600 --> 13:47.600]  but he knows that.
[13:47.600 --> 13:48.600]  He's a veteran.
[13:48.600 --> 13:50.600]  He's fighting for his country again.
[13:50.600 --> 13:53.600]  This is the most exciting thing I have seen in years.
[13:53.600 --> 13:58.600]  Frankly, it's got me ready to turn around and not go on vacation because this is so huge.
[13:58.600 --> 14:00.600]  Back to the retransmission.
[14:00.600 --> 14:03.600]  And again, I am so thankful to everybody out there.
[14:03.600 --> 14:06.600]  Ron Paul running for president.
[14:06.600 --> 14:10.600]  Anti-war, anti-UN, anti-New World Order.
[14:10.600 --> 14:16.600]  A constitutionalist that liberals can vote for, very popular with Democrats, very popular with Republicans,
[14:16.600 --> 14:23.600]  very popular with libertarians from which he springs, running as a Republican.
[14:23.600 --> 14:27.600]  I've talked to so many top political experts who agree with my analysis.
[14:27.600 --> 14:29.600]  It's not even an art analysis.
[14:29.600 --> 14:30.600]  It's easy.
[14:30.600 --> 14:35.600]  Ron Paul is the strongest and the only viable anti-New World Order candidate.
[14:35.600 --> 14:37.600]  This is a perfect storm that's happening right now.
[14:37.600 --> 14:39.600]  The people know both parties have sold them out.
[14:39.600 --> 14:40.600]  That's why he's running.
[14:40.600 --> 14:42.600]  That's why he's throwing it all at the table.
[14:42.600 --> 14:43.600]  He is in the arena.
[14:43.600 --> 14:46.600]  He's going to be fighting their biggest gladiators, ladies and gentlemen.
[14:46.600 --> 14:48.600]  He's going up against the big guns.
[14:48.600 --> 14:50.600]  He's the next wing, going up against the Death Star.
[14:50.600 --> 14:56.600]  We have got to support Congressman Ron Paul and pray for him and pray for him.
[14:56.600 --> 14:58.600]  All right, Ron Paul is on the show next week.
[14:58.600 --> 14:59.600]  God bless you all.
[14:59.600 --> 15:01.600]  Death to the New World Order.
[15:01.600 --> 15:02.600]  We shall prevail.
[15:02.600 --> 15:03.600]  Back to retransmission.
[15:03.600 --> 15:04.600]  Intelligence gathering.
[15:04.600 --> 15:06.600]  They are merging our regulations.
[15:06.600 --> 15:12.600]  They are merging the 25 big federal agencies under Homeland Security with the respective
[15:12.600 --> 15:19.600]  agencies in Mexico and Canada through the last 100 years of financing and the corporations
[15:19.600 --> 15:20.600]  writing legislation.
[15:20.600 --> 15:32.600]  The three governments fit together like three Legos, like snap tools, like a jigsaw puzzle.
[15:32.600 --> 15:37.600]  It just goes together like a hand and glove, like a horse and garage.
[15:37.600 --> 15:42.600]  All crafted, all machined, plop into place.
[15:42.600 --> 15:48.600]  And why do they want a new government to erase the Bill of Rights and Constitution and any
[15:48.600 --> 15:54.600]  vestiges of common law in our body of law?
[15:54.600 --> 16:01.600]  They are replacing what we were with the new, no new process, no liberty, no freedom, no
[16:01.600 --> 16:09.600]  families, forced drugging, total control, no jobs of any significance, no control of your
[16:09.600 --> 16:12.600]  destiny, a nightmare.
[16:12.600 --> 16:14.600]  Guess what they got?
[16:14.600 --> 16:16.600]  Freedom of Information Act yesterday.
[16:16.600 --> 16:18.600]  This is Yahoo News.
[16:18.600 --> 16:24.600]  Social Security Agreement with Mexico released after three and a half year Freedom of Information
[16:24.600 --> 16:25.600]  Act battle.
[16:25.600 --> 16:30.600]  PR News wired for numerous refusals over the three and a half years.
[16:30.600 --> 16:37.600]  Social Security Administration, SSA, has released the first known public copy of the U.S. Social
[16:37.600 --> 16:40.600]  Security Totalization.
[16:40.600 --> 16:43.600]  That's like saying we're not for global government, we're for global governance.
[16:43.600 --> 16:45.600]  Totalization, merger.
[16:45.600 --> 16:50.600]  U.S., Mexico, Social Security, Totalization Agreement.
[16:50.600 --> 16:52.600]  That's merger.
[16:52.600 --> 16:55.600]  Totalization means merging all the numbers, the total.
[16:55.600 --> 17:00.600]  The government was forced to make the disclosure in response to lawsuits filed under Freedom
[17:00.600 --> 17:07.600]  of Information Act by the TREA Senior Citizens League, the second largest senior citizens
[17:07.600 --> 17:14.600]  organization in the U.S. Dwarf by AARP, which is totally bought and paid for by the globalist.
[17:14.600 --> 17:19.600]  The Totalization Agreement could allow millions of illegal Mexican workers to draw billions
[17:19.600 --> 17:23.600]  of dollars from U.S. Social Security Trust Fund.
[17:23.600 --> 17:29.600]  The agreement between the U.S. and Mexico was signed in June of 2004 and is awaiting President
[17:29.600 --> 17:30.600]  Bush's signature.
[17:30.600 --> 17:35.600]  Once President Bush approves the agreement, which could be done without Congress's vote,
[17:35.600 --> 17:42.600]  either House of Congress, neither House, would have 60 days to disapprove the agreement by
[17:42.600 --> 17:45.600]  voting to reject it.
[17:45.600 --> 17:50.600]  The Social Security Administration itself warns that Social Security is within decades of bankruptcy.
[17:50.600 --> 17:57.600]  It's already bankrupt, yet they seem to have no problem making arrangements and agreements
[17:57.600 --> 18:05.600]  that hasten its demise, said Ralph McCutchen, Chairman of the TREA Senior Citizens League.
[18:05.600 --> 18:09.600]  Okay.
[18:09.600 --> 18:14.600]  They're merging every department, every agency.
[18:14.600 --> 18:16.600]  I mean, look at this story right here.
[18:16.600 --> 18:25.600]  They're not just in name merging the agencies and the laws and the regulations that this
[18:25.600 --> 18:32.600]  North American SPP group just writes up and then the heads of the agencies just implement
[18:32.600 --> 18:38.600]  without Congress even knowing what's going on or having any oversight.
[18:38.600 --> 18:40.600]  They're physically getting rid of the border.
[18:40.600 --> 18:45.600]  They're physically coming in and lobbying and buying up the politicians at the state level
[18:45.600 --> 18:51.600]  who then hand the roads over to those international bodies and their subsidiary companies and
[18:51.600 --> 18:56.600]  governmental organizations both, public-private partnership.
[18:56.600 --> 19:05.600]  We also have the taxation systems being equalized and being merged.
[19:05.600 --> 19:16.600]  And we have our military, 20% of the ground troops in Iraq are non-citizens.
[19:16.600 --> 19:23.600]  And if you go read the actual text of testimony before Congress last year, they're saying that
[19:23.600 --> 19:32.600]  by 2010, half of ground forces, infantry forces in the Marine Corps and the Army are projected
[19:32.600 --> 19:40.600]  to be non-citizen.
[19:40.600 --> 19:45.600]  And the Boston Globe reports they're, quote, considering expanding the number of non-citizens
[19:45.600 --> 19:48.600]  in the ranks and expanding recruiting stations overseas.
[19:48.600 --> 19:53.600]  The average American has no idea there's recruiting stations overseas in the Philippines,
[19:53.600 --> 19:58.600]  in Mexico City, from Manila to Mexico City, and in Eastern Europe.
[19:58.600 --> 20:02.600]  They have no idea they're recruiting convicted felons, aggravated felons.
[20:02.600 --> 20:04.600]  That's been, though, in the news.
[20:04.600 --> 20:06.600]  The back of the paper.
[20:06.600 --> 20:10.600]  I mean, you can't get any more New World War than that.
[20:10.600 --> 20:11.600]  We come back.
[20:11.600 --> 20:16.600]  I'll continue with the evidence of the death of the United States in 2006.
[20:16.600 --> 20:26.600]  And then we'll look forward into 2007, the year of the primacy of the American Union.
[20:26.600 --> 20:30.600]  And all this data I'm putting out fits into both these columns.
[20:30.600 --> 20:31.600]  We'll be right back.
[20:31.600 --> 21:00.600]  We'll be right back.
[21:01.600 --> 21:30.600]  We'll be right back.
[21:31.600 --> 21:58.600]  We'll be right back.
[21:58.600 --> 22:24.600]  We'll be right back.
[22:28.600 --> 22:55.600]  We'll be right back.
[22:55.600 --> 23:22.600]  We'll be right back.
[23:22.600 --> 23:51.600]  We'll be right back.
[23:52.600 --> 24:19.600]  We'll be right back.
[24:19.600 --> 24:40.600]  We'll be right back.
[24:49.600 --> 24:56.600]  Welcome back.
[24:56.600 --> 25:01.600]  So 2006 is the year America died.
[25:01.600 --> 25:11.600]  They've been a long, laborious program to do it, but they officially, after carrying out the terror attacks,
[25:11.600 --> 25:23.600]  took all the bureaucracies under the control of Homeland Security that Homeland Security could implement the merger without Congress's oversight with Mexico and Canada.
[25:23.600 --> 25:27.600]  And then now they're advertising the North American Union as a way to keep us all safe.
[25:27.600 --> 25:32.600]  I'll never forget, U.N. General McKenzie, the Wednesday after a week after 9-11,
[25:32.600 --> 25:52.600]  saying that we're going to have a continental security perimeter with Mexican, U.S. and Canadian troops patrolling the physical border of North America down from Alaska down to the border of Mexico with Guatemala.
[25:52.600 --> 25:59.600]  And then now Robert Pasteur and others have been in the press and on CNN saying the exact same thing.
[25:59.600 --> 26:04.600]  The only thing that will keep you safe from terrorist is the North American Union.
[26:04.600 --> 26:07.600]  I mean, these guys are incredible.
[26:07.600 --> 26:14.600]  And of course, I was watching an old C-SPAN CFR meeting last night getting clips out of it for a film I'm making, and there they were there.
[26:14.600 --> 26:24.600]  It was the Gary Hart-Rudman-Warrant-Rudman Commission, which every one of their recommendations, all 50 of them, got implemented into the letter.
[26:24.600 --> 26:34.600]  It was the National Homeland Security and just Patriot Act, just every one of the things that had already been written and packaged and was prepared.
[26:34.600 --> 26:38.600]  And so we do not have a border.
[26:38.600 --> 26:51.600]  They are with the new blanket Amnesty program that they're set to reintroduce in the next few days as Congress prepares to reconvene this week with Democrats' first order of business.
[26:51.600 --> 26:54.600]  It's a hate crimes law to restrict free speech.
[26:54.600 --> 26:58.600]  And of course, a guest worker blanket Amnesty program.
[26:58.600 --> 27:02.600]  They are, again, emerging our social security systems.
[27:02.600 --> 27:06.600]  They are recruiting heavily out of the third world to make up our military.
[27:06.600 --> 27:12.600]  Of course, non-U.S. citizens are more likely to fire on U.S. citizens and to follow orders.
[27:12.600 --> 27:18.600]  Every empire, when it oppresses some people, brings in foreign troops to do the job.
[27:18.600 --> 27:23.600]  Of course, these will be foreign troops in our uniforms, as we told you they would.
[27:23.600 --> 27:30.600]  We went to urban warfare drills from Louisiana to California and showed you the footage of it.
[27:30.600 --> 27:39.600]  This has been a long, long program, now coming to fruition.
[27:39.600 --> 27:47.600]  So 2007 was the year, will be the year of the American Union really standing on its own two feet.
[27:47.600 --> 27:49.600]  And this will be the test of it.
[27:49.600 --> 27:52.600]  Will the American people wake up to it?
[27:52.600 --> 27:54.600]  And it's different programs.
[27:54.600 --> 28:00.600]  Will they realize how dire the situation is or will they capitulate and accept it?
[28:00.600 --> 28:07.600]  Simultaneously, in 2007, they're announcing from Indiana to Texas, from Oregon to New York,
[28:07.600 --> 28:11.600]  that foreign companies are being given.
[28:11.600 --> 28:17.600]  You really look at the deals that are being given to fire sale prices.
[28:17.600 --> 28:26.600]  The infrastructure, the ports, the roads, to be used as taxing mechanisms to fund the North American Union.
[28:26.600 --> 28:31.600]  When they seize a major interstate highway or a farm-to-market road, say in Texas,
[28:31.600 --> 28:38.600]  and place toll roads on existing roads, it is apportioned out to the city, the county, the state,
[28:38.600 --> 28:47.600]  the federal government, and then a large portion to be rolled into an SPP, Security and Prosperity Partnership funding mechanism.
[28:47.600 --> 28:52.600]  This has all been announced to even, quote, build roads in Mexico.
[28:52.600 --> 28:54.600]  This is a signed agreement.
[28:54.600 --> 28:56.600]  Congress isn't involved.
[28:56.600 --> 29:02.600]  A signed agreement between the bureaucracies of our government and the Mexican and Canadian governments
[29:02.600 --> 29:11.600]  are tax-funding and build the superhighway that goes south out of Texas down to the west coast of Mexico,
[29:11.600 --> 29:15.600]  where the Chinese goods will flow in.
[29:15.600 --> 29:24.600]  And again, everybody gets focused on the NAFTA superhighway I-35, which I am literally three miles from right where I sit.
[29:24.600 --> 29:26.600]  That is only one major artery.
[29:26.600 --> 29:30.600]  They are grabbing 82, this is in the SPP documents,
[29:30.600 --> 29:36.600]  82 existing and if you count them, there is only 85 interstate highways.
[29:36.600 --> 29:46.600]  So there is 82 others plus I-35, that is 83 of the 85 already slated to go under this
[29:46.600 --> 29:50.600]  and they are throwing toll roads down on them right now.
[29:50.600 --> 29:55.600]  And that money is going to be taken and put into the bureaucracy to fund the further dismantling.
[29:55.600 --> 30:00.600]  I mean, if they grab the infrastructure of any country, especially its roads, the heart of an infrastructure,
[30:00.600 --> 30:04.600]  then the U.S. is even worse because we are totally dependent on roads.
[30:04.600 --> 30:11.600]  And we are sprawling civilization compared to Europe or Japan.
[30:11.600 --> 30:14.600]  So it is a bloodless coup.
[30:14.600 --> 30:17.600]  The military industrial complex figured out that they could take over foreign countries,
[30:17.600 --> 30:23.600]  but why not just take over the one that funded them, the one where they grew in their own bosom?
[30:23.600 --> 30:25.600]  They are overthrowing the people.
[30:25.600 --> 30:29.600]  We are on the march, the empire is on the run.
[30:29.600 --> 30:35.600]  Alex Jones and the GCN Radio Network.
[30:35.600 --> 30:38.600]  The statistics are heart-wrenching.
[30:38.600 --> 30:42.600]  According to the CWC of the 43 million people who have served in the major wars
[30:42.600 --> 30:46.600]  from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[30:46.600 --> 30:50.600]  Most likely each one of us can say we either knew someone who served
[30:50.600 --> 30:52.600]  or know a brave soul who is currently serving our country.
[30:52.600 --> 30:56.600]  Now there is a unique way to pay tribute to the courageous men and women
[30:56.600 --> 31:00.600]  who spend their lives protecting our freedom and to those who have lost their lives doing so.
[31:00.600 --> 31:06.600]  Davis Products is offering high-quality, solid-cast aluminum memorial markers for your American flag.
[31:06.600 --> 31:10.600]  Each memorial marker is specifically designed to represent one of 15 wars.
[31:10.600 --> 31:14.600]  All markers include a 3-8-inch pointed and threaded aluminum rod,
[31:14.600 --> 31:17.600]  painted and highlighted for an appearance that is unforgettable.
[31:17.600 --> 31:20.600]  What better way to pay homage to our enlisted loved ones?
[31:20.600 --> 31:23.600]  Davis Products memorial markers are only $9 a piece
[31:23.600 --> 31:27.600]  and can be ordered by calling 814-827-4946.
[31:27.600 --> 31:30.600]  That's 814-827-4946.
[31:30.600 --> 31:32.600]  Or visit davis-products.com.
[31:32.600 --> 31:35.600]  That's davis-products.com.
[31:35.600 --> 31:38.600]  It's a fact. You can legally eliminate credit card debt,
[31:38.600 --> 31:41.600]  which has been fraudulently created by the banks.
[31:41.600 --> 31:46.600]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[31:46.600 --> 31:50.600]  So why should you, the hardworking American, be harassed for yours?
[31:50.600 --> 31:53.600]  There's a double standard when it comes to being responsible for debt.
[31:53.600 --> 31:57.600]  And unlike the Federal Reserve, the people of this country can't print more money when needed.
[31:57.600 --> 32:01.600]  Day of Jubilee has created a successful program designed for people
[32:01.600 --> 32:05.600]  that want to stop harassing calls and threatening letters from bill collectors.
[32:05.600 --> 32:07.600]  We also do credit restoration.
[32:07.600 --> 32:11.600]  Join the thousands of Americans who now breathe a sigh of relief
[32:11.600 --> 32:14.600]  because they have legally eliminated their credit card debt.
[32:14.600 --> 32:18.600]  Instead of living each day in fear, it's time to turn your life around.
[32:18.600 --> 32:20.600]  Call Day of Jubilee.
[32:20.600 --> 32:26.600]  Open 9 a.m. to 5 p.m. Central Standard Time at 920-293-8024.
[32:26.600 --> 32:30.600]  That's 920-293-8024.
[32:30.600 --> 32:32.600]  And ask for Robert.
[32:32.600 --> 32:35.600]  Don't wait any longer to get your life back in order.
[32:35.600 --> 32:38.600]  Attention, attention everyone.
[32:38.600 --> 32:41.600]  A brand new invention just released.
[32:41.600 --> 32:46.600]  It's called RIST Ease, the new patented portable ergonomic wrist support.
[32:46.600 --> 32:50.600]  RIST Ease comforts your wrists from the sometimes painful tasks of typing,
