[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[04:56.000 --> 04:59.000]  If you choose to accept it, we'll kick their ass.
[05:26.000 --> 05:31.000]  There are tons of tools to help you. For instance, if you want to remodel your home, go to homegain.com.
[05:31.000 --> 05:38.000]  Use their home sale maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[05:38.000 --> 05:42.000]  For 10 years, these folks have been helping home sellers and buyers.
[05:42.000 --> 05:49.000]  Visit their link at infowars.com. Look for Max, the orange homegain gorilla to help you with any real estate needs you might have.
[05:49.000 --> 05:52.000]  You'll love this site. It's homegain.com.
[05:52.000 --> 05:57.000]  H-O-M-E-G-A-I-N dot com. Check them out today.
[06:23.000 --> 06:31.000]  Coming to you live, ladies and gentlemen from our Central Texas Command Center.
[06:31.000 --> 06:37.000]  The front lines of the resistance for pre-humanity. I am Alex Jones.
[06:37.000 --> 06:49.000]  If you look at the landscape of radio talk show host of newspapers, magazines, websites, infowars.com, prisonplanta.com, my syndicated radio broadcast, the films, all of them are number one.
[06:49.000 --> 06:58.000]  I have the number one and two biggest alternative news websites, much bigger than Limbaugh and Glenn Beck and all their sites combined, just one of my big sites.
[06:58.000 --> 07:01.000]  And I have two, Prison Planet and InfoWars.
[07:01.000 --> 07:09.000]  When you look at my online political films, I don't just have several in the top ten political documentaries online.
[07:09.000 --> 07:16.000]  I have basically all of them except for Loose Change and I produce that.
[07:16.000 --> 07:35.000]  We're bucking the trend. We get people concerned worldwide, not just here in the United States about things other than Mel Gibson and his domestic disputes and Lindsay Lohan and their drug problems and what's happening with some serial killer from the Netherlands.
[07:35.000 --> 07:48.000]  We talk about hard core issues here that affect you and your family and we are growing exponentially. The growth curve is straight up right now and the system knows that.
[07:48.000 --> 08:00.000]  Now, to be technical, I've got a bunch of other news coming up, but to be technical here, there's a director account on YouTube that had a copy of the Obama deception on it.
[08:00.000 --> 08:05.000]  We allow anybody to post it anywhere on the web that had 6.5 million views.
[08:05.000 --> 08:14.000]  When you type the name Obama or President Obama or Barack Obama in, it was the number one link on Google and Yahoo.
[08:14.000 --> 08:20.000]  That was before we had listeners promote the term the Obama deception to make it the number one trend search Friday and Saturday.
[08:20.000 --> 08:35.000]  A whole bunch of newspapers reported on the film Saturday. Someone hacked into the director's channel, probably YouTube themselves, and deleted that film, the Obama deception in my newest film, Police State for the Rise of FEMA.
[08:35.000 --> 08:45.000]  Luckily, we were twittered about it by listeners and were able to call the director who runs the director channel to get him inside there to change the passcode before they took all the videos down.
[08:45.000 --> 08:54.000]  The point is, this is a serious federal crime. This is a hack against this film. This is an attack against everyone's free speech.
[08:54.000 --> 09:01.000]  I came in last night to shoot the video. We're about to premiere here, the video and audio, where I lay this out.
[09:01.000 --> 09:09.000]  Then we're going to come back after the break and get into more internet censorship that's going on. Here it is.
[09:09.000 --> 09:19.000]  My friends, there has been an assault on the First Amendment and free speech. The Obama deception has been erased, obliterated, censored, put into the memory hole.
[09:19.000 --> 09:37.000]  Why is this important? Well, it deals with the First Amendment and free speech, but this hack was illegal. These people went in and somehow got our passcode and deleted this film and other documentaries I've made so that you don't have a right to watch it and make up your own mind.
[09:37.000 --> 09:48.000]  Now, there are hundreds of versions of the film online, but the number one video that changed the channel on YouTube had 6.5 million views and something strange was happening.
[09:48.000 --> 10:03.000]  It was accelerating, getting close to 100,000 views a day. When you search the name Barack Obama, President Obama or Obama, the number one link on Google and YouTube and many other major search engines and sites was my film.
[10:03.000 --> 10:20.000]  Not Lindsay Lohan, not the BP oil spill, but the Obama deception. But it wasn't just the number one link when you search the President's name. It was the number one trend on Google for several days and it was growing exponentially.
[10:20.000 --> 10:36.000]  Then the YouTube channel was hacked and it was removed along with my film Police State for the Rise of FEMA. There were over 25 newspaper and major blog reviews on Saturday, July 17, 2010.
[10:36.000 --> 10:49.000]  Luckily, one of my webmasters happened to be writing a story about the fact that the Obama deception was getting hundreds of thousands of views a day and was the number one trend being searched on major search engines.
[10:49.000 --> 11:00.000]  So within 15 minutes of them being removed, we were getting Twitter pings telling us it was down. So I called the director's channel who we work with and I said, hey, your site's being hacked.
[11:00.000 --> 11:17.000]  He drove in from a barbecue he was at, went in within an hour of this starting and was watching someone live in the interface deleting my films, deleting Police State for the Rise of FEMA and the Obama deception and think, God, we could change the passcode before it continued.
[11:17.000 --> 11:32.000]  This is a massive act of censorship on the level playing field of the market of ideas we were winning. We were having an effect. We were unlocking Democrats and Republicans' minds to the larger world.
[11:32.000 --> 11:43.000]  We were shattering their paradigms and expanding their horizons of understanding. We cannot put up with this. This is an assault on all of our free speech on our First Amendment.
[11:43.000 --> 11:55.000]  Look, whether I agree with a book or a film or not, I'm against burning it. I'm against destroying it. Ladies and gentlemen, watch the Obama deception and find out why the system is so deathly afraid of it.
[11:55.000 --> 12:15.000]  It exposed the fact that Obama works for the very same special interest that George W. Bush does and it sought to bring the American people together regardless of race, color, creed or political persuasion for liberty and freedom and against this banking bailout takeover that is now expanding into a Federal Reserve dictatorship.
[12:15.000 --> 12:34.000]  People were shocked by how accurate it was. It's very hard to figure out someone's passcode and I believe this was an inside job by either a YouTube or Google employee or someone who they gave the passcodes to and YouTube needs to launch an investigation and track back the IP addresses from where this originated.
[12:34.000 --> 12:49.000]  This is a serious crime, a film that was number one on the web and the number one search term has been deleted at a critical time. We have the FCC, we have Cass Sunstein, the White House regulations are saying they want to censor the web.
[12:49.000 --> 12:57.000]  We have cybersecurity admitting that they are offensive. They're going to go out and counter people that are anti-war or anti-establishment.
[12:57.000 --> 13:07.000]  We have seen in just the last week our official Facebook page deleted because we reportedly had a Gadsden flag on it, one of the symbols of the founding of this nation.
[13:07.000 --> 13:18.000]  We've seen tens of thousands of blogs deleted just this week by the federal government. We see cybersecurity announcing they're going to offensively go out and counter people on the web.
[13:18.000 --> 13:26.000]  Ladies and gentlemen, it is two minutes to midnight in this society and if we don't stand together, we will all surely hang separate.
[13:26.000 --> 13:36.000]  If I'm being censored today, it's going to be you tomorrow. I want you to remember what that famous pastor said at the end of World War II who had been in a concentration camp for years and barely survived.
[13:36.000 --> 13:43.000]  He said that first they came for the communists and I said nothing because I wasn't a communist. Then they came for the Jews and I said nothing because I wasn't a Jew.
[13:43.000 --> 13:51.000]  Then they came for the labor unions and the Seventh Day Adventists and others and I said nothing because I wasn't a labor activist or a Seventh Day Adventist.
[13:51.000 --> 13:56.000]  Then they came for me and there was nobody left to speak up for me because everybody else had already been taken away.
[13:56.000 --> 14:04.000]  They are attacking our free speech. They're openly announcing they're doing it. Lieberman saying he wants Chinese style net censorship here in the United States.
[14:04.000 --> 14:15.000]  We're in an emergency situation and this attack on the Obama deception is an attack on this free republic. Obama is a treacherous traitor, but he's only a puppet.
[14:15.000 --> 14:24.000]  It's his controllers that are trying to protect their pawn. Here's the good news. We can fight back and the destiny of this documentary is now in your hands.
[14:24.000 --> 14:36.000]  You can do several things. Number one, go find the links on YouTube, Google and other sites where the video is still posted and send that link out to everyone and tell them this is a censored film.
[14:36.000 --> 14:48.000]  This is a film that the establishment doesn't want you to see. This is a number one film that was deleted and let these censors, these criminals, these 21st century book burners know
[14:48.000 --> 14:57.000]  that every time they attack freedom of speech and creativity and expression that the American people and the people of the world are going to strike back.
[14:57.000 --> 15:10.000]  Send the links to the Obama deception out to everyone you know and go to Google and Yahoo and other major search engines and type in the Obama deception every day when you first log into your computer.
[15:10.000 --> 15:17.000]  And let's keep it at the top of the trends chart. Let's make it the number one search term in the world that it was.
[15:17.000 --> 15:29.000]  Let's have the Obama deception rise from the ashes like a phoenix carrying the light of liberty and freedom. It is up to all of you to carry this torch forward and to not let these censors get away with this.
[15:29.000 --> 15:39.000]  You've got to get angry and focused and serious and realize that the Obama deception was threatening the establishment. The system is scared right now.
[15:39.000 --> 15:51.000]  They know that you're awake. Let's teach these thugs, these would be authoritarians that when they mess with America and the First Amendment that we're going to redouble our efforts and take action against their tyranny.
[16:09.000 --> 16:16.000]  I'll show you the most delicious, easy to fix, most portable, best food on the planet for your exciting fun in the sun.
[16:16.000 --> 16:24.000]  With each order of a three month responder pack, you'll get a free grab and go accessory kit with the backpackers, water purifier, stove and carry bag.
[16:24.000 --> 16:35.000]  You'll also get a free campers bakery pack with pancakes, biscuits and cornbread muffins. All this delicious food can be easily prepared stovetop at home or in a pan over a campfire.
[16:35.000 --> 16:43.000]  You'll also get a free eFoozeDirect.com slash summer or call 800-409-5633 for information and ordering.
[16:43.000 --> 16:49.000]  Summer fun with food just doesn't get any better than this folks. You need it, they've got it, just get it.
[16:49.000 --> 17:00.000]  eFoozeDirect.com slash summer or 800-409-5633. eFoozeDirect.com slash summer or 800-409-5633.
[17:00.000 --> 17:05.000]  The question is where should the American people draw their line in the sand?
[17:05.000 --> 17:08.000]  What have we got? A republic or a monarchy?
[17:08.000 --> 17:12.000]  A republic is based on a constitution which protects minority rights.
[17:12.000 --> 17:16.000]  Not democracy, not mob rule, two wolves and a sheep voting on what's for dinner.
[17:16.000 --> 17:22.000]  So they think they own our land, they think they own our water, children, our education, our money.
[17:22.000 --> 17:26.000]  We have to define who we are and what we will tolerate.
[17:26.000 --> 17:30.000]  Somebody's going to ask you what you did during the Patriot Uprising.
[17:30.000 --> 17:35.000]  We have the facts, we have the constitution, we have the Bill of Rights, we have common law.
[17:35.000 --> 17:39.000]  Knowledge is power, ladies and gentlemen, and I'm so excited to be able to offer you.
[17:39.000 --> 17:41.000]  Don't tread on me. Rise of the Republic.
[17:41.000 --> 17:46.000]  Terrany is upon us, but liberty and the sleeping giant that is the American people is rising.
[17:46.000 --> 17:51.000]  A new tool in the info war. Don't tread on me. Order it at infowars.com
[17:51.000 --> 17:56.000]  or prisonplanet.com or call toll free 888-253-3139
[17:56.000 --> 18:00.000]  and support independent patriotic liberty films.
[18:00.000 --> 18:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[18:04.000 --> 18:09.000]  Number one, new climate legislation could easily double or triple your electric bill.
[18:09.000 --> 18:14.000]  Number two, our new energies are wants to control how much power your electric company allows you to have.
[18:14.000 --> 18:20.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[18:20.000 --> 18:24.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[18:24.000 --> 18:28.000]  And now, new socialist legislation is only compounding the problem.
[18:28.000 --> 18:32.000]  Number four, dangerous weather is always a threat to local grids.
[18:32.000 --> 18:35.000]  Every year, thousands of families lose their power from weather related onages.
[18:35.000 --> 18:40.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[18:40.000 --> 18:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[18:45.000 --> 18:50.000]  You can get more information at www.mysolarbackup.com.
[18:50.000 --> 18:51.000]  That's mysolarbackup.com.
[18:51.000 --> 18:59.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[18:59.000 --> 19:01.000]  Hello friends, this is Alex Jones.
[19:01.000 --> 19:04.000]  You've heard me talk about Calvin five star subs for years.
[19:04.000 --> 19:10.000]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[19:10.000 --> 19:13.000]  You can buy factory direct, shipped via UPS right to your door.
[19:13.000 --> 19:20.000]  Check them out on the web at fivestarsoap.com or call 800-340-7091.
[19:20.000 --> 19:21.000]  Take my word for it.
[19:21.000 --> 19:24.000]  Once you've used pure soap, you won't buy anything else.
[19:24.000 --> 19:30.000]  Since 1947, Calvin's soap company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[19:30.000 --> 19:32.000]  Buy American and stay clean.
[19:32.000 --> 19:38.000]  As well as support info wars, visit fivestarsoap.com today or call 1-800-340-7091.
[19:38.000 --> 19:40.000]  Well Marty, what do you have to say?
[19:40.000 --> 19:48.000]  As founder and owner for over 63 years, satisfaction is guaranteed on double your dirt back.
[19:48.000 --> 19:58.000]  Call us at 1-800-340-7091 for a free catalog or visit our website fivestarsoap.com.
[19:58.000 --> 20:10.000]  Thank you.
[20:28.000 --> 20:32.000]  Everybody knows the war is over.
[20:32.000 --> 20:37.000]  Everybody knows the good guys lost.
[20:37.000 --> 20:41.000]  Everybody knows the fight was fixed.
[20:41.000 --> 20:45.000]  The poor stay poor, the rich get rich.
[20:45.000 --> 20:52.000]  Thank you for joining us on this special Sunday edition, the 18th day of July 2010.
[20:52.000 --> 21:01.000]  I'm going to get into other world news coming up, but the fact is we have the number one political films online.
[21:01.000 --> 21:08.000]  Glenn Beck has made some documentaries, imitating what I do and that's fine, and they might get a half million views.
[21:08.000 --> 21:17.000]  Mine get tens of millions of views on YouTube and Google and BlipTV and LiveLeak and the rest of them.
[21:17.000 --> 21:18.000]  Tens of millions.
[21:18.000 --> 21:20.000]  Every film I put out.
[21:20.000 --> 21:23.000]  That's why we release them for free.
[21:23.000 --> 21:25.000]  Yes, I sell DVDs.
[21:25.000 --> 21:31.000]  I sell DVDs of the documentary films and that's how we fund our operation.
[21:31.000 --> 21:35.000]  But at the end of the day, if I don't have a free country, my children have no future.
[21:35.000 --> 21:37.000]  I want to have an effect.
[21:37.000 --> 21:47.000]  So I put these films on PrisonPlanet.tv in the highest quality and I invite everyone to rip them and to put them on the bit torrents on all the major video sites.
[21:47.000 --> 21:50.000]  And it's having a huge societal effect.
[21:50.000 --> 21:57.000]  But the establishment could not put up Friday and Saturday with the number one search trend in the world.
[21:57.000 --> 22:03.000]  Not being Lindsay Lohan or Mel Gibson or BP oil spill.
[22:03.000 --> 22:08.000]  It was the Obama deception because of all of you out there getting the word out.
[22:08.000 --> 22:14.000]  And the video that was the top link, and this has been going on for at least a month.
[22:14.000 --> 22:19.000]  When you type in the name Obama and any variation thereof was this film.
[22:19.000 --> 22:23.000]  Now that's not the case now because I understand how the Internet works.
[22:23.000 --> 22:30.000]  Some people I guess don't because I've gotten some emails saying, well, I type in the Obama now and the top link isn't your film.
[22:30.000 --> 22:33.000]  I know that's because they erased the link.
[22:33.000 --> 22:42.000]  See, the way Google works is whatever gets the most traffic and the most pings when their spiders are out there on the web tracking everything, it's number one.
[22:42.000 --> 22:44.000]  And so it was number one.
[22:44.000 --> 22:48.000]  And so someone hacked in to the director channel.
[22:48.000 --> 22:49.000]  I don't have a director channel.
[22:49.000 --> 22:55.000]  Those were only allowed at the beginning of YouTube six years ago before Google bought it.
[22:55.000 --> 23:05.000]  And there's a fella in Virginia, Kenneth Webb, a great guy who grabbed it off prisonplanet.tv a year and a half ago and posted it.
[23:05.000 --> 23:08.000]  There were many others that did as well, thousands of others that did.
[23:08.000 --> 23:16.000]  And his was the best end code, so we linked to that and it had 6.5 million views, but it wasn't just slowly growing.
[23:16.000 --> 23:19.000]  It was accelerating to where it would have seven and a half million in a week.
[23:19.000 --> 23:24.000]  It was exponentially growing and then 8 million and 9 million and 10, 20, 30 million.
[23:24.000 --> 23:29.000]  It would probably have had 40 million by the end of the year on just one upload of it.
[23:29.000 --> 23:30.000]  One version.
[23:30.000 --> 23:34.000]  Do you think the establishment was going to put up with that?
[23:34.000 --> 23:37.000]  Remember Obama was the YouTube president.
[23:37.000 --> 23:39.000]  He was the YouTube candidate.
[23:39.000 --> 23:41.000]  He had the Obama girl.
[23:41.000 --> 23:44.000]  When you typed Obama into YouTube, you didn't get the Obama girl.
[23:44.000 --> 23:47.000]  You didn't get White House YouTube channel.
[23:47.000 --> 23:49.000]  You got the Obama deception.
[23:49.000 --> 23:52.000]  There's Google trends on screen for prisonplanet.tv viewers.
[23:52.000 --> 23:55.000]  Number one, July 16, 2010.
[23:55.000 --> 23:57.000]  Number one yesterday.
[23:57.000 --> 24:00.000]  By the way, it's not in the top thousand trends right now.
[24:00.000 --> 24:03.000]  They have artificially removed it.
[24:03.000 --> 24:09.000]  Not only has Google that owns YouTube mysteriously allowed this hack to happen.
[24:09.000 --> 24:11.000]  By the way, the passcode was 14 feet long.
[24:11.000 --> 24:13.000]  Nobody figured out that passcode.
[24:13.000 --> 24:16.000]  Nobody cracked that passcode.
[24:16.000 --> 24:21.000]  You can't just put a computer interface up to a interface and have it just bombard it.
[24:21.000 --> 24:24.000]  After a few times, it locks down.
[24:24.000 --> 24:30.000]  Whoever got in there knew the passcode and went in with hundreds of videos posted and zeroed in.
[24:30.000 --> 24:32.000]  This wasn't even my channel.
[24:32.000 --> 24:36.000]  Zeroed in on the Obama deception in police state for the rise of FEMA.
[24:36.000 --> 24:39.000]  My newest film that came out just three months ago.
[24:39.000 --> 24:41.000]  It had over half a million views.
[24:41.000 --> 24:43.000]  And knocked it out.
[24:43.000 --> 24:45.000]  Took them down.
[24:45.000 --> 24:49.000]  Ladies and gentlemen, I believe the globalists have miscalculated here.
[24:49.000 --> 24:52.000]  And so I'm going to ask listeners to do something right now.
[24:52.000 --> 24:56.000]  They've clearly blacklisted the term the Obama deception out of Google trends.
[24:56.000 --> 25:00.000]  So that even though it's the number one trend search, it's being blocked completely from the entire list.
[25:00.000 --> 25:02.000]  We're going to change it.
[25:02.000 --> 25:07.000]  We're going to variant it right now to Obama deception censored.
[25:07.000 --> 25:09.000]  Obama deception censored.
[25:09.000 --> 25:14.000]  And when you put that in, you get the articles at infowars.com and prisonplanet.com.
[25:14.000 --> 25:16.000]  I came in last night when this happened.
[25:16.000 --> 25:21.000]  I shot the video you just heard earlier for radio listeners or watched as prisonplanet.tv members.
[25:21.000 --> 25:23.000]  I came in, shot the video.
[25:23.000 --> 25:33.000]  Aaron and Rob Jacobson stayed up till seven in the morning to get the video edited, uploaded, and to write an article that I wrote with them that they posted.
[25:33.000 --> 25:43.000]  And when you search the term Obama deception censored, the video that I shot and the article that we wrote is the number one link.
[25:43.000 --> 25:51.000]  Now, if you simply Google and Yahoo the term the Obama deception censored or Obama deception censored.
[25:51.000 --> 25:54.000]  In fact, don't even say the Obama deception censored.
[25:54.000 --> 25:56.000]  You type that in.
[25:56.000 --> 25:59.000]  These censors aren't going to have their way, but let's not stop there.
[25:59.000 --> 26:07.000]  Let's make the second search in case they've blacklisted and blacked out the entire term Obama deception.
[26:07.000 --> 26:14.000]  In case these McCarthyites have done that, I want you to search the term infowars.com.
[26:14.000 --> 26:22.000]  No www in front of it, just infowars.com and just type it into your search engine over and over again, and we'll see how they like it.
[26:22.000 --> 26:30.000]  Because before we had listeners last Friday go in and type in the Obama deception, it was already the number one link when you typed in the name Obama.
[26:30.000 --> 26:31.000]  Think of that.
[26:31.000 --> 26:33.000]  We were beating Lindsay Lohan.
[26:33.000 --> 26:35.000]  We were beating the Mel Gibson scandal.
[26:35.000 --> 26:36.000]  We were beating everything.
[26:36.000 --> 26:38.000]  The system doesn't want that.
[26:38.000 --> 26:40.000]  They don't want you to see the Obama deception.
[26:40.000 --> 26:43.000]  Find out why they're so scared of this film.
[26:43.000 --> 26:47.000]  This film made in early 2009.
[26:47.000 --> 26:52.000]  It was released a month and a half after he was inaugurated.
[26:52.000 --> 26:55.000]  It was released right after he was inaugurated because I knew what he was going to do.
[26:55.000 --> 26:57.000]  I knew who his advisors were.
[26:57.000 --> 27:00.000]  I said he'll continue the wars, the torture, the secret arrest, the spying.
[27:00.000 --> 27:03.000]  He will bankrupt the economy.
[27:03.000 --> 27:05.000]  He'll expand the banker bailouts.
[27:05.000 --> 27:07.000]  I laid everything out in this film.
[27:07.000 --> 27:10.000]  This is the most popular film I've ever made.
[27:10.000 --> 27:16.000]  And we've had other dirty tricks with false copyright claims filed that I had to basically injunct.
[27:16.000 --> 27:19.000]  And other things going on to remove this.
[27:19.000 --> 27:25.000]  There have been other director versions on YouTube where people are able to post the whole video that had been removed and blocked in the past.
[27:25.000 --> 27:28.000]  But those only had like a million views in one case, so I didn't make an issue out of it.
[27:28.000 --> 27:33.000]  This sucker had 6.5 million and was accelerating.
[27:33.000 --> 27:38.000]  It was starting to get more views in a day than it was getting in a month.
[27:38.000 --> 27:40.000]  And they panicked.
[27:40.000 --> 27:43.000]  What is it in the Obama deception that they don't want you to see?
[27:43.000 --> 27:45.000]  Email your entire email list.
[27:45.000 --> 27:47.000]  We can crush these people if you'll take action.
[27:47.000 --> 27:48.000]  You have the power to set this free.
[27:48.000 --> 27:50.000]  Email your whole email list.
[27:50.000 --> 27:52.000]  Your Facebook, your MySpace, your Twitter.
[27:52.000 --> 27:54.000]  Call in to talk radio shows.
[27:54.000 --> 27:56.000]  And send them other links.
[27:56.000 --> 27:59.000]  There are thousands of other versions of the film online for free.
[27:59.000 --> 28:04.000]  But the issue is none of them have more than a million views apiece.
[28:04.000 --> 28:06.000]  None of them have more than a million views.
[28:06.000 --> 28:09.000]  Some have a million, 200,000 or so.
[28:09.000 --> 28:12.000]  But none of them are close to 6.5 million.
[28:12.000 --> 28:22.000]  And so that video, getting 6.5 million, when anybody in the world typed in President Obama or Barack Obama, it was my film.
[28:22.000 --> 28:24.000]  And what does my film do?
[28:24.000 --> 28:31.000]  It exposes that Bush, Obama, all these people work for the same global corporate interests that are not free market but want a monopoly.
[28:31.000 --> 28:35.000]  So search the term the Obama deception censor.
[28:35.000 --> 28:37.000]  Three words, Obama deception censor.
[28:37.000 --> 28:40.000]  And infowars.com.
[28:40.000 --> 28:42.000]  And we will show them the power of the people.
[28:42.000 --> 28:46.000]  They struck back Saturday because they were scared.
[28:46.000 --> 28:50.000]  They struck back because they understand the people are rising and waking up.
[28:50.000 --> 28:52.000]  Now we've got to strike back against them.
[28:52.000 --> 28:54.000]  We cannot give in to this tyranny.
[28:54.000 --> 28:56.000]  We've got some final points to make on this front.
[28:56.000 --> 28:58.000]  Then a bunch of other news on your phone call.
[28:58.000 --> 29:05.000]  Stay with us.
[29:29.000 --> 29:35.000]  All this delicious food can be easily prepared stovetop at home or in a pan over a campfire.
[29:35.000 --> 29:43.000]  Go to efoodsdirect.com slash summer or call 800-409-5633 for information and ordering.
[29:43.000 --> 29:46.000]  Summer fun with food just doesn't get any better than this, folks.
[29:46.000 --> 29:49.000]  You need it. They've got it. Just get it.
[29:49.000 --> 30:01.000]  efoodsdirect.com slash summer or 800-409-5633.
[30:01.000 --> 30:05.000]  Alex Jones here with urgent information concerning trendsresearch.com.
[30:05.000 --> 30:10.000]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute
[30:10.000 --> 30:13.000]  into a concise, readily accessible form.
[30:13.000 --> 30:17.000]  By tracking 300 separately defined domestic and international trends,
[30:17.000 --> 30:21.000]  Trends Journal establishes the connections that others fail to see or misinterpret.
[30:21.000 --> 30:25.000]  Gerald Solentes Trends Journal allows you to anticipate change,
[30:25.000 --> 30:29.000]  recognize the implications, and take protective strategies.
[30:29.000 --> 30:34.000]  Individual readers from every walk of life can put the Trends Journal trends forecast
[30:34.000 --> 30:37.000]  and trends analysis to practical use.
[30:37.000 --> 30:40.000]  Extra information to keep you well informed throughout the year.
[30:40.000 --> 30:44.000]  When any current event of major social economic or political significance occurs,
[30:44.000 --> 30:47.000]  Trends Journal notifies its subscribers of their implications.
