[00:00:03.922 --> 00:00:04.683]  Just checking in.
[00:08:17.319 --> 00:08:22.342]  Rallying patriots worldwide in defense of human liberty.
[00:08:22.342 --> 00:08:25.424]  It's Alex Jones.
[00:08:25.424 --> 00:08:31.929]  We take it for granted that millions of Koreans, tens of thousands of U.S.
[00:08:31.929 --> 00:08:32.189]  troops,
[00:08:44.472 --> 00:08:51.356]  ...died, as well as hundreds of thousands of Chinese, in the Korean War that is still on.
[00:08:51.356 --> 00:08:56.380]  Armistice signed July 27th, 1953, and 60-plus years later, we sit here on the verge of that ceasefire ending.
[00:09:04.534 --> 00:09:15.200]  Now, two weeks ago, North Korea said they were going to fire missiles between 10 to 20 miles off the coast of Guam and our Air Force Base there.
[00:09:15.200 --> 00:09:23.805]  Trump signaled that if he did do that, we would have retaliatory strikes on North Korea.
[00:09:23.805 --> 00:09:28.007]  Kim Jong-un blinked and did not carry out the test.
[00:09:28.007 --> 00:09:33.030]  Instead, he has started firing multiple missiles overnight, yesterday and today,
[00:09:34.571 --> 00:09:34.731]  That's
[00:09:50.143 --> 00:09:59.110]  Missiles over the territory of North Korea at a very low trajectory and crashing them into the ocean or if we start doing that to Russia or Russia do that to us.
[00:09:59.110 --> 00:10:13.902]  Imagine if Russia pulled up ships off the coast of Florida and fired a missile over Florida over the peninsula from the east from the Atlantic Ocean and then it plunged into the Gulf of Mexico say in Tampa right off the shore.
[00:10:13.902 --> 00:10:15.863]  Would that be an act of war?
[00:10:15.863 --> 00:10:18.786]  Very serious provocation.
[00:10:19.952 --> 00:10:27.859]  And Russia, according to the Russian news, has ordered mass evacuation over North Korea missile launch.
[00:10:27.859 --> 00:10:33.103]  The Daily Star is reporting, former UK diplomat, world is much less safe due to North Korea threat.
[00:10:33.103 --> 00:10:38.788]  Russia's civil defense officials have reportedly ordered to shift residents in the country's Far East to safer areas.
[00:10:38.788 --> 00:10:41.770]  An extraordinary movement fears of worldwide conflict.
[00:10:41.770 --> 00:10:42.331]  North Korea
[00:10:44.210 --> 00:10:49.474]  Anger the international community by launching a missile that flew directly over Japan.
[00:10:49.474 --> 00:10:52.015]  It's not like they shot it up into space and it came back down.
[00:10:52.015 --> 00:10:53.136]  They shot it right over.
[00:10:53.136 --> 00:10:57.139]  You know, a missile you could see with a naked eyeball.
[00:10:57.139 --> 00:10:59.721]  With a missile trail.
[00:10:59.721 --> 00:11:06.165]  That's like in a western, you know, the guy walks up and starts shooting the gun by your feet saying, come on, pull, draw, do something, boy.
[00:11:06.165 --> 00:11:11.329]  North Korea angered the international community by launching a missile that flew directly over Japan and says they're going to fire more.
[00:11:12.346 --> 00:11:16.510]  They've been firing others as well the last few days, but not over Japan.
[00:11:16.510 --> 00:11:17.191]  In response, U.S.
[00:11:17.191 --> 00:11:24.077]  President Donald Trump threatened to the communist state with military action, warning all options are on the table.
[00:11:24.077 --> 00:11:24.518]  As the Trump
[00:11:26.351 --> 00:11:37.499]  Reeled from the provocative test, thousands of people from the city of Vladilaskov, if I'm pronouncing that right, were moved as part of an emergency operation.
[00:11:37.499 --> 00:11:39.420]  Russian President Vladimir Putin fears the U.S.
[00:11:39.420 --> 00:11:47.585]  may wage war against the secretive state that Trump threatened to unleash fire and fury should it fire more missiles.
[00:11:47.585 --> 00:11:50.648]  And then you can go back up everything that they're reporting here.
[00:11:52.092 --> 00:12:01.174]  In other mainline reports I have reporting on each section of this overall boil-down article that's linked at NewsWars.com and InfoWars.com.
[00:12:01.174 --> 00:12:03.295]  Trump on North Korea, the Hill.
[00:12:03.295 --> 00:12:04.695]  All options are on the table.
[00:12:04.695 --> 00:12:07.215]  Let's go more into his statement.
[00:12:07.215 --> 00:12:14.017]  President Trump said early Tuesday, now it's Wednesday, that all options are on the table.
[00:12:14.017 --> 00:12:16.717]  North Korea fired a missile that flew over Japanese airspace.
[00:12:16.717 --> 00:12:18.678]  Trump said in a statement, the world has
[00:12:19.861 --> 00:12:22.523]  Received North Korea's latest message loud and clear.
[00:12:22.523 --> 00:12:30.851]  The regime has signaled its contempt for its neighbors, for all members of the United Nations, and for minimum standards of acceptable international behavior.
[00:12:30.851 --> 00:12:40.080]  Trump said, threatening and destabilizing actions only increase North Korea's regime's isolation in the region and are among all nations of the world and all options are on the table.
[00:12:40.080 --> 00:12:45.565]  His comments come after the Pentagon confirmed late Monday that North Korea fired a missile that flew over Japan's airspace.
[00:12:47.039 --> 00:13:03.014]  But you wouldn't know any of this was going on and that today Russia announced an evacuation of major cities in the east of Russia ahead of possible nuclear war because all we're hearing is First Lady on her way to Air Force One was wearing high heels.
[00:13:08.319 --> 00:13:18.363]  You know, they've had major directors come out and say that Wonder Woman is a step back because it shows a woman looking good, using her body to be impressive.
[00:13:18.363 --> 00:13:19.803]  As if men don't do that as well.
[00:13:19.803 --> 00:13:22.524]  And it's the same thing.
[00:13:22.524 --> 00:13:28.446]  See, they hate Melania because she's projecting the feminine power, one large aspect of it.
[00:13:28.446 --> 00:13:32.628]  She also has smarts and they can't stand it.
[00:13:32.628 --> 00:13:36.509]  There she is up on the pedestal with the high heels and later she gets off the plane not wearing them.
[00:13:37.705 --> 00:14:03.725]  The point is that the top story yesterday wasn't the bridges failing, and the roads beginning to fail, and the looting, and the dead police officers, and the craziest coastal natural disaster in history, the costliest, divided USA embraces as the flood brings us together.
[00:14:05.694 --> 00:14:15.380]  I'm looking at DrudgeReport.com right now, but look, GDP up, jobs up, but you wouldn't even know that in mainstream media.
[00:14:15.380 --> 00:14:30.009]  Whenever Eric Trump tried to tweet a drudge link to CNBC a month ago or three weeks ago about great job numbers, they blocked it and said this violates our terms of service.
[00:14:30.009 --> 00:14:33.271]  Inappropriate or hateful.
[00:14:33.271 --> 00:14:33.952]  Because the truth
[00:14:35.120 --> 00:14:36.001]  It's hateful.
[00:14:36.001 --> 00:14:39.564]  You need to stall the economy as much as possible to make Trump fail.
[00:14:39.564 --> 00:14:42.967]  The big banks came out and said the economy is going to go down last week.
[00:14:42.967 --> 00:14:44.788]  The Federal Reserve said it's going to go down last week.
[00:14:44.788 --> 00:14:49.072]  They did everything they could to drive down the economy.
[00:14:52.213 --> 00:14:56.055]  But now, since they're failing, they just get more angry.
[00:14:56.055 --> 00:15:06.019]  And Kathy Griffin climbs out from underneath a rock to get more publicity, and she says she's no longer sorry for decapitated Trump photo to get more attention.
[00:15:06.019 --> 00:15:21.525]  Yes, we knew you were never sorry, and that it's a directive of the globalists to try to start a race war, class war in this country by you, the elites, trying to destroy the middle class and complete their journey to total financial impoverishment and serfdom.
[00:15:22.366 --> 00:15:24.427]  You want your slaves disarmed.
[00:15:24.427 --> 00:15:27.329]  You want them controlled.
[00:15:27.329 --> 00:15:37.336]  But, as the left prepares their civil unrest, they want to back away from the wind-up toy of Antifa drooling meth heads that they've created.
[00:15:37.336 --> 00:15:45.841]  Fearing Antifa mayhem, Berkeley Mayor wants free speech week cancelled for UC conservatives.
[00:15:45.841 --> 00:15:50.905]  That's right, you as conservatives, period, cannot have free speech because of the Antifa.
[00:15:51.616 --> 00:16:02.203]  Just like they bring in the Islamicist, they cause the big crisis, they're not compatible with our free way of life, our open society, and then we have to get rid of our open society because of them.
[00:16:02.203 --> 00:16:04.244]  That's in the WikiLeaks.
[00:16:04.244 --> 00:16:06.045]  That is the plan.
[00:16:06.045 --> 00:16:16.191]  And then if somebody fights back against these people, when they're clubbing them in the head or killing somebody, and one of the antifa gets killed, they will give them royal honors.
[00:16:16.191 --> 00:16:18.653]  Like Jesus Christ was hung on the cross again.
[00:16:21.206 --> 00:16:29.694]  But, again, they're having to distance themselves now ahead of the edicts banning free speech that, oh, they aren't against the evil meth-head Antifa.
[00:16:29.694 --> 00:16:35.359]  Berkeley police arrest 13 protesters in connection to Antifa violence.
[00:16:35.359 --> 00:16:41.705]  The spitting, the clubbing, the attacking, the bike locks, the cowardly hordes of women.
[00:16:43.055 --> 00:16:56.581]  Ganging up and stomping and kicking on men who dared go to a prayer meeting drenched in spit as they hawk loogies on them and howl and scream.
[00:16:56.581 --> 00:16:58.522]  Just a bunch of gang thugs.
[00:16:58.522 --> 00:17:08.186]  Show you some of these mug shots that just want to go out and beat the daylights out of people.
[00:17:08.186 --> 00:17:09.547]  Real ne'er-do-wells.
[00:17:11.454 --> 00:17:15.222]  Nancy Pelosi finally condemns Antifa for Berkeley violence.
[00:17:15.222 --> 00:17:19.932]  Oh, after she said, oh, I'm glad they did that over the weekend, she said, they're fighting Nazis.
[00:17:21.493 --> 00:17:24.414]  The problem was, a lot of the Nazis happened to be black and Hispanic.
[00:17:24.414 --> 00:17:33.219]  They were attacking not just white, who she's dehumanized as part of her rearguard action, with all the stolen loot she's gotten to get us all fighting with each other.
[00:17:33.219 --> 00:17:47.086]  So they don't know what to do because the internet has thousands of videos, some of them millions and millions of views apiece, much more powerful coverage than mainstream media, and people are seeing the horror of the living dead meth heads.
[00:17:49.992 --> 00:17:58.000]  Men in dresses, running around beating up women and men who don't even defend themselves.
[00:17:58.000 --> 00:18:03.887]  It's just the image of the decadence, of the insanity.
[00:18:03.887 --> 00:18:07.811]  Berkeley Mayor, we should classify Antifa as a gang.
[00:18:10.865 --> 00:18:36.223]  So the big news is the left turns on the Antifa at least on the surface because they know they've got their left is preparing some false flags and the globalists know they're getting ready to launch some false flags against different liberal associated installations to blame on Trump and the Liberty Movement in a giant operation to bring in civil unrest.
[00:18:36.223 --> 00:18:38.704]  So that's just some of the news.
[00:18:39.653 --> 00:18:49.275]  We're going to be getting into more details on today, but don't worry about North Korea threatening to attack their neighbors or launch nuclear weapons at Japan or Seoul, South Korea or the U.S.
[00:18:49.275 --> 00:19:03.099]  Don't worry about Russia evacuating its major eastern cities, because the word is that Trump has green-lighted nuclear strikes on North Korea if need be to remove the threat, and Russia has been consulted on that.
[00:19:04.827 --> 00:19:06.568]  Never mind all that.
[00:19:06.568 --> 00:19:12.732]  We need to have the Democrats say that Trump mentioned the crowd size while touring Texas.
[00:19:12.732 --> 00:19:15.474]  He said, look at this great crowd of people out here to help.
[00:19:15.474 --> 00:19:19.817]  Look how wonderful you are out here taking action.
[00:19:19.817 --> 00:19:21.098]  All these great people out here.
[00:19:23.049 --> 00:19:25.572]  Having some solidarity, thanking the locals.
[00:19:25.572 --> 00:19:29.976]  And they turned that into, oh, he's bragging and he has a big crowd.
[00:19:29.976 --> 00:19:30.657]  Well, that's right.
[00:19:30.657 --> 00:19:32.599]  You couldn't get anybody out to protest him, really.
[00:19:32.599 --> 00:19:40.007]  In Phoenix, you pointed cameras at the bikers for Trump and had the headline everywhere that that was bikers against Trump.
[00:19:41.721 --> 00:19:51.227]  CNN reporter Trump showed very little empathy to Harvey victims because he was solemn most the time, but then when he acted excited, that was wrong too.
[00:19:51.227 --> 00:19:56.711]  Meanwhile, we're on the edge of World War III and Antifa is celebrating Texas hit by Harvey.
[00:19:58.288 --> 00:20:03.411]  The answer to being in control of your own health care is freedom from insurance.
[00:20:03.411 --> 00:20:09.114]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:20:09.114 --> 00:20:14.317]  Individual share amounts begin at $107 a month and $347 for families.
[00:20:14.317 --> 00:20:16.258]  Choose from three health sharing programs.
[00:20:16.258 --> 00:20:18.640]  Holistic treatments may be eligible for sharing.
[00:20:18.640 --> 00:20:19.600]  See guidelines.
[00:20:19.600 --> 00:20:22.882]  Discount programs available for dental, vision, and pharmacy.
[00:20:22.882 --> 00:20:24.823]  Go to LibertyOnCall.org.
[00:20:24.823 --> 00:20:26.384]  That's LibertyOnCall.org.
[00:20:28.061 --> 00:20:29.943]  Fully cooked, ready-to-eat bacon.
[00:20:29.943 --> 00:20:33.165]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:20:33.165 --> 00:20:34.766]  Savory and delicious.
[00:20:34.766 --> 00:20:37.608]  I buy some, I use some, I store some.
[00:20:37.608 --> 00:20:38.269]  Awesome.
[00:20:38.269 --> 00:20:41.351]  No refrigeration needed with a 10-year shelf life.
[00:20:41.351 --> 00:20:42.933]  NASA PAC Technology.
[00:20:42.933 --> 00:20:43.553]  Bacon.
[00:20:43.553 --> 00:20:47.716]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:20:47.716 --> 00:20:49.137]  Or warm and served.
[00:20:49.137 --> 00:20:51.179]  Life-saving, ready-to-eat bacon.
[00:20:51.179 --> 00:20:53.140]  10-year shelf life bacon.
[00:20:53.140 --> 00:20:55.923]  Ships free at FullyCookedBacon.com.
[00:20:55.923 --> 00:20:57.143]  FullyCookedBacon.com.
[00:20:57.972 --> 00:21:00.555]  Are you happy washing your hands with harsh chemicals?
[00:21:00.555 --> 00:21:02.697]  Are you happy doing laundry with detergents?
[00:21:02.697 --> 00:21:04.680]  Are you happy paying high prices?
[00:21:04.680 --> 00:21:06.742]  Find your happiness with Pure Soap.
[00:21:06.742 --> 00:21:11.608]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[00:21:11.608 --> 00:21:12.489]  Buy in bulk.
[00:21:12.489 --> 00:21:15.412]  Get a 12-, 36-, or 48-month supply.
[00:21:15.412 --> 00:21:17.835]  Or get items individually and still save big.
[00:21:18.095 --> 00:21:21.377]  You're getting soap products twice as good as what you're using now.
[00:21:21.377 --> 00:21:23.638]  Earth-friendly and natural soaps.
[00:21:23.638 --> 00:21:25.419]  Your family deserves the best.
[00:21:25.419 --> 00:21:28.080]  Happiness is 5starsoap.com.
[00:21:28.080 --> 00:21:30.861]  Why not put your money up the drain for a change?
[00:21:30.861 --> 00:21:37.204]  See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[00:21:37.204 --> 00:21:44.408]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated.
[00:21:44.408 --> 00:21:46.549]  Soaps made from vegetable and coconut oils.
[00:21:46.889 --> 00:21:50.552]  See their full selection of soaps at 5starsoap.com.
[00:21:50.552 --> 00:21:53.874]  That's F-I-V-E, starsoap.com.
[00:21:53.874 --> 00:21:57.517]  Or call 1-800-340-7091 for a catalog.
[00:21:57.517 --> 00:22:01.039]  Are you one of the 15 million men who suffer from an enlarged prostate?
[00:22:01.039 --> 00:22:09.225]  If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate, then you need to know about Prostate Miracle.
[00:22:09.225 --> 00:22:13.989]  Prostate Miracle contains beta-cytosterol, which is 3,000 times stronger than saltpeterol.
[00:22:14.369 --> 00:22:16.790]  Claim your $10 Patriot discount.
[00:22:16.790 --> 00:22:23.374]  Go to ProstateMiracle.com and enter promo code PATRIOT or call 877-965-2140.
[00:22:23.374 --> 00:22:27.075]  That's 877-965-2140.
[00:22:27.075 --> 00:22:30.517]  Water is the single most important thing your body needs.
[00:22:30.517 --> 00:22:33.839]  So you want to be sure it's the best for you and your family.
[00:22:33.839 --> 00:22:37.881]  Since 2005, thousands have depended on Berkey Purified Water.
[00:22:38.101 --> 00:22:42.725]  The Berkey Guy provides the lowest price filtration systems in every size.
[00:22:42.725 --> 00:22:49.850]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:22:49.850 --> 00:22:55.094]  877-886-3653.
[00:22:55.094 --> 00:22:57.116]  GoBerkey.com.
[00:22:57.116 --> 00:22:58.377]  Maybe not today.
[00:22:58.377 --> 00:22:59.658]  Maybe not tomorrow.
[00:22:59.658 --> 00:23:03.401]  But soon, you'll need a plan and place to survive.
[00:23:03.401 --> 00:23:04.502]  Forget bonkers.
[00:23:04.502 --> 00:23:05.983]  You're not a live underground gopher.
[00:23:06.303 --> 00:23:08.004]  You need Survivalist Camps.
[00:23:08.004 --> 00:23:15.806]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:23:15.806 --> 00:23:16.806]  Bold statement?
[00:23:16.806 --> 00:23:17.806]  You bet!
[00:23:17.806 --> 00:23:20.287]  See them now at survivalistcamps.com.
[00:23:20.287 --> 00:23:22.488]  That's survivalistcamps.com.
[00:23:22.488 --> 00:23:25.649]  Trust your family's survival to survivalistcamps.com.
[00:23:26.619 --> 00:23:33.041]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[00:23:33.041 --> 00:23:40.124]  With the release of our CQB technology, we now offer the most comfortable, concealable, rifle-threat body armor available.
[00:23:40.124 --> 00:23:43.985]  Things may look good now, but what if you need added protection?
[00:23:43.985 --> 00:23:49.227]  Get your very own concealable rifle-threat armor today at kdarmor.com.
[00:23:49.227 --> 00:23:54.809]  And for a limited time, get all plates at wholesale pricing only at katiarmor.com.
[00:24:22.823 --> 00:24:24.826]  This is historic.
[00:24:24.826 --> 00:24:27.068]  It's epic what happened.
[00:24:27.068 --> 00:24:27.949]  But you know what?
[00:24:27.949 --> 00:24:31.433]  It happened in Texas, and Texas can handle anything.
[00:24:31.433 --> 00:24:32.734]  Thank you all, folks.
[00:24:32.734 --> 00:24:33.855]  Thank you.
[00:24:33.855 --> 00:24:34.276]  Thank you.
[00:24:50.040 --> 00:24:57.506]  And CNN played that exact clip, and then criticized the President.
[00:24:57.506 --> 00:25:10.716]  And I don't even know if I should play some of these demonization clips, because CNN is so discredited, they're such a joke, they're so sick, that why should we even give them attention at this point?
[00:25:10.716 --> 00:25:17.561]  CNN reporter Trump showed very little empathy to Harvey victims, as though he was coming to a small campaign rally of sorts.
[00:25:19.022 --> 00:25:35.456]  They say this from their air-conditioned offices, when everybody, the locals, the sheriff's departments, the emergency management, the state, have said that Homeland Security, FEMA, everything under Trump's direction has never been anywhere close to this responsive.
[00:25:35.456 --> 00:25:39.579]  It's been called completely and totally responsive by the governor.
[00:25:39.579 --> 00:25:43.862]  And this is the biggest hurricane flooding disaster in U.S.
[00:25:43.862 --> 00:25:44.563]  history.
[00:25:44.563 --> 00:25:46.725]  All the experts agree, hands down,
[00:25:49.892 --> 00:25:51.833]  People in Brazil don't act like this.
[00:25:51.833 --> 00:25:53.254]  People in China don't act like this.
[00:25:53.254 --> 00:25:54.395]  People in Russia.
[00:25:54.395 --> 00:25:56.356]  People in Europe.
[00:25:56.356 --> 00:26:11.566]  We have a spoiled rotten media and their spoiled rotten constituents who are like Day of the Dead meth heads on one end or arrogant wannabe know-it-all academics that just cuss and scream and yell and hate America.
[00:26:11.566 --> 00:26:14.808]  Owen Schroeder has gone out twice in the last few weeks in Austin.
[00:26:16.331 --> 00:26:27.754]  And last night, after the kids went to bed at like 10 at night, I spent an hour and a half just watching the footage he shot, unedited yesterday, over an hour of it.
[00:26:27.754 --> 00:26:39.397]  He just uploaded it in 20 minute chunks last night, with people screaming and cussing at him, and saying the most horrible things, and then not even able to even finish sentences.
[00:26:39.397 --> 00:26:45.198]  And then they tell him, we're UT professors, or we're this and that, and they're like, you know, F Ben Carson, he's not black!
[00:26:46.633 --> 00:26:52.062]  The footage is on Infowars.com with the headline, shock video.
[00:26:52.062 --> 00:26:56.028]  Alt-left says Ben Carson not black.
[00:26:56.028 --> 00:26:57.350]  And then she says he's retarded.
[00:26:57.350 --> 00:27:01.496]  Because see, any black person that supports Trump
[00:27:02.554 --> 00:27:15.457]  Even though he put himself through school as an admitted top brain surgeon, which is about the hardest job there is, he's done brain surgeries that nobody else has survived from, removing kids' heads that are together where the brains are grown together, and the kids are fine today.
