[00:00:01.318 --> 00:00:02.899]  Or less than 10 minutes, I guess.
[00:04:14.857 --> 00:04:18.259]  That's now being put back until the next session of Parliament.
[00:04:19.040 --> 00:04:25.047]  And despite the fact that they're already beta testing the national ID card in small towns across the country.
[00:04:25.047 --> 00:04:33.376]  And the thumb scanners are going in and the cops say, you got a thumb scan to buy and sell in hundreds of little towns, a mass conditioning has begun.
[00:04:33.376 --> 00:04:37.701]  And yeah, so to bypass this mass opposition against the conditioning,
[00:04:38.703 --> 00:04:46.887]  The British government then proposed the Microchip Biometric Passport, which is essentially the same thing as the National ID Card.
[00:04:46.887 --> 00:04:52.670]  Simultaneously, the UN has called for it, the US has, Belgium has, unifying the system right now.
[00:04:52.670 --> 00:04:57.372]  Okay, well, you've just got to have this card to fly or travel or boat.
[00:04:57.372 --> 00:04:58.833]  Oh, now you've got to have it to drive your car.
[00:04:59.719 --> 00:05:08.261]  And the characteristics of it are iris, facial, fingerprint scans, merged with key medical, employment, other personal data.
[00:05:08.261 --> 00:05:13.081]  And now you're head of Scotland Yard wants a compulsory national DNA database.
[00:05:13.081 --> 00:05:14.702]  You must all report to give it.
[00:05:14.702 --> 00:05:18.042]  When you get your driver's license or ID card, you'll have to have to leave your house.
[00:05:18.042 --> 00:05:19.302]  Same thing in the U.S.
[00:05:19.302 --> 00:05:27.544]  in Bill Clinton's 97 executive order to put clinics into all DPS units around the country to take your blood or urine at that point for DNA sampling.
[00:05:27.864 --> 00:05:29.826]  Which will then be on a barcode on your ID.
[00:05:29.826 --> 00:05:31.569]  This is already federal law here in the US.
[00:05:32.683 --> 00:05:45.193]  And so, you ask the question, what do the government, the British government and all other governments, need to achieve all this police state, in light of the fact that they're encountering a massive backlash against it?
[00:05:45.193 --> 00:05:54.500]  Well, obviously they need a large-scale terrorist attack on London, which will then enable them to pass emergency legislation containing all these Nightmare Laws.
[00:05:54.500 --> 00:05:58.904]  And so, I mean, we've got posted on PrisonPlanet.com and InfoWars today,
[00:06:00.044 --> 00:06:03.786]  And by the way, that's martial law, folks.
[00:06:23.912 --> 00:06:33.155]  And we saw it with legislation passed immediately after the Omar bombing in 98, which was obviously carried out by MI5, which we've covered before.
[00:06:33.155 --> 00:06:34.296]  Which is in your book, my friend.
[00:06:34.296 --> 00:06:34.736]  Stay there.
[00:06:34.736 --> 00:06:42.078]  We're going to come back and get into some of these key articles here, and then start the third hour and get into more of it and make calls.
[00:06:42.078 --> 00:06:43.139]  We'll be right back.
[00:06:43.139 --> 00:06:43.679]  PrisonPlanet.com.
[00:06:59.642 --> 00:07:06.025]  Waging War on Corruption, Alex Jones on the GCN Radio Network.
[00:07:06.025 --> 00:07:12.828]  Alright, we're about to get into the news of British-US sponsored terror.
[00:07:12.828 --> 00:07:17.130]  That is by the private corrupt systems that control things.
[00:07:17.130 --> 00:07:23.313]  But I'm holding in my hand a copy of Order Out of Chaos, Elite Sponsored Terrorism, the New World Order.
[00:07:23.313 --> 00:07:26.695]  And Watson, just in 60 seconds, tell folks what the book covers.
[00:07:29.326 --> 00:07:35.811]  Well the book is very up to date because I only finished actually writing it a few months ago.
[00:07:35.811 --> 00:07:45.699]  Basically the book is a bullet point run through all the different facets of government sponsored terrorism and the order out of chaos scenario.
[00:07:45.699 --> 00:07:55.286]  So we've got everything from the agenda behind the war in Afghanistan, the agenda behind the war in Iraq, September 11th, three chapters on September 11th,
[00:07:56.327 --> 00:07:56.528]  I'm not.
[00:08:07.967 --> 00:08:26.949]  Catapult into the next world war because of the nuclear situation and then we go right through to the whole UFO movement which via research we found out that it's actually the UFO threat and the intergalactic threat is in fact a staged operation funded by
[00:08:28.430 --> 00:08:33.654]  The very names that we try to expose behind the New World Order, people like Rockefeller and Rothschild.
[00:08:33.654 --> 00:08:45.823]  I mean, literally, you've got Kansas City Star, Associated Press articles where Clinton's former chief of staff and his Rothschild run the fake UFO movement, these fake radio shows, all this stuff.
[00:08:45.823 --> 00:08:46.964]  It's in there, folks.
[00:08:46.964 --> 00:08:51.547]  Also, Israel's sponsored terror, how they blow stuff up and blame it on people.
[00:08:51.547 --> 00:08:54.450]  I mean, this is out of her rots and stuff.
[00:08:54.450 --> 00:08:55.951]  This is all documented, folks.
[00:08:56.531 --> 00:09:02.056]  Order Out of Chaos, $19.95, 300 plus pages long, full of documents and diagrams.
[00:09:02.056 --> 00:09:06.240]  Get a second book for $12 as a gift for friends or family or for Christmas.
[00:09:06.240 --> 00:09:08.862]  So $31.90 for two books.
[00:09:08.862 --> 00:09:11.244]  I published this book.
[00:09:11.244 --> 00:09:12.085]  I want you to get it.
[00:09:12.085 --> 00:09:12.725]  It's excellent.
[00:09:12.725 --> 00:09:12.785]  1-888-253-3139.
[00:09:18.968 --> 00:09:25.750]  That's 888-253-3139 or Infowars.com or PrisonPlanet.com to order.
[00:09:25.750 --> 00:09:33.713]  And you can also write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, Texas, 78704.
[00:09:33.713 --> 00:09:37.834]  The new film, of course, is Police State 3, Total Enslavement.
[00:09:37.834 --> 00:09:38.635]  It's excellent as well.
[00:09:38.635 --> 00:09:42.556]  From PNAC to government-sponsored terror gets into all of it.
[00:09:43.409 --> 00:09:44.870]  And of course, there's Road to Tyranny.
[00:09:44.870 --> 00:09:45.811]  Don't wait, folks.
[00:09:45.811 --> 00:09:46.792]  Get this information.
[00:09:46.792 --> 00:09:48.133]  Get it out to people.
[00:09:48.133 --> 00:09:50.094]  And I am really proud of Order Out of Chaos.
[00:09:50.094 --> 00:09:51.315]  It's better than Dissent and Tyranny.
[00:09:51.315 --> 00:09:52.596]  Dissent and Tyranny is great.
[00:09:52.596 --> 00:09:56.319]  Covers the history of government-sponsored terror, September 11th, in the police state.
[00:09:56.319 --> 00:09:58.561]  It's only $12, 230 pages.
[00:09:58.561 --> 00:10:00.643]  This is over 300 pages long, 1995.
[00:10:00.643 --> 00:10:04.286]  Infowars.com or PrisonPlanet.com.
[00:10:04.286 --> 00:10:08.509]  I want to come back and get into the MI5 terrorism and the rest of it, but what about this article
[00:10:09.967 --> 00:10:12.769]  Uh, that came out today from AFP.
[00:10:12.769 --> 00:10:17.472]  Asnar al-Islam leader threatens to document his links to the U.S.
[00:10:17.472 --> 00:10:22.495]  He's saying, hey, if you say we're a terrorist group, I'm gonna expose that we warned the CIA about 9-11.
[00:10:22.495 --> 00:10:26.057]  That's just like the, uh, one Taliban guy who, who waited for U.S.
[00:10:26.057 --> 00:10:28.139]  forces and said, oh, I warned you about the attacks.
[00:10:28.139 --> 00:10:30.120]  And they arrested him, but let all the others go.
[00:10:30.120 --> 00:10:31.301]  Break that down, Paul.
[00:10:32.458 --> 00:10:47.146]  Well yeah, we've had numerous articles with similar circumstances where these terrorists are in fact documenting their link to British intelligence to try and avoid them being extradited, executed, whatever.
[00:10:47.146 --> 00:10:57.352]  And we had a recent article out of the London Times actually, the headline of which was, Immigration Officers Let Terrorists Into UK.
[00:10:58.133 --> 00:11:07.054]  And the article described how an Algerian al-Qaeda cell, who were identified as an al-Qaeda cell back in October of last year,
[00:11:07.651 --> 00:11:17.076]  We're not only given passports and allowed to enter the country, but we're actually given jobs and access to secure areas at Heathrow Airport.
[00:11:17.076 --> 00:11:25.681]  We all remember Tony Blair had tanks rolling around Heathrow Airport back in February, citing unspecified threats.
[00:11:25.681 --> 00:11:32.044]  And then we find out that the threat itself was artificially created by the Blair government.
[00:11:32.044 --> 00:11:32.725]  Unbelievable!
[00:11:32.725 --> 00:11:33.705]  There's CIA!
[00:11:33.705 --> 00:11:34.826]  We'll talk about the Philippines!
[00:11:35.763 --> 00:11:37.666]  Admit it, the government carries out the terror.
[00:11:37.666 --> 00:11:41.050]  I mean, it's the same thing over and over again.
[00:11:41.050 --> 00:11:45.075]  Third hour, straight ahead, your calls and a lot of news.
[00:11:45.075 --> 00:11:50.282]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:11:59.848 --> 00:12:01.169]  Big Brother.
[00:12:01.169 --> 00:12:02.929]  Mainstream media.
[00:12:02.929 --> 00:12:04.690]  Government cover-ups.
[00:12:04.690 --> 00:12:06.250]  You want answers?
[00:12:06.250 --> 00:12:07.830]  Well, so does he.
[00:12:07.830 --> 00:12:12.011]  He's Alex Jones on the GCN Radio Network.
[00:12:12.011 --> 00:12:17.513]  And now, live from Austin, Texas, Alex Jones.
[00:12:17.513 --> 00:12:24.415]  Folks, we're talking about the most important subject concerning politics in your life.
[00:12:24.415 --> 00:12:25.755]  Government-sponsored terror.
[00:12:26.864 --> 00:12:42.729]  We're talking to a man who's researched it in depth, probably even more in some areas than I have, Paul Watson, webmaster, editor for PrisonPlanet.com, my website, and also we publish his book, Order Out of Chaos, a leaked sponsored tear in the New World Order.
[00:12:42.729 --> 00:12:44.409]  I know we have Barbara and others that are holding.
[00:12:44.409 --> 00:12:49.731]  If you'd like to join us in this hour, talk about any news item concerning the globalist crime syndicates, 1-800-259-9231.
[00:12:49.731 --> 00:12:49.831]  Now,
[00:12:54.514 --> 00:13:04.499]  It's come out that while Tony Blair had tanks all around Heathrow saying terrorists were about to attack, they had ordered their embassies to allow known Al-Qaeda into the country, then given them jobs and passes.
[00:13:04.499 --> 00:13:05.200]  MI5 did.
[00:13:05.200 --> 00:13:07.821]  British intelligence at the airbase.
[00:13:07.821 --> 00:13:10.482]  At the international airport.
[00:13:10.482 --> 00:13:18.646]  And now it's coming out that people are coming out who've been captured, and they're saying, look, I work for MI5 or MI6.
[00:13:18.646 --> 00:13:19.627]  The evidence is coming out.
[00:13:20.493 --> 00:13:21.835]  There's just a bunch of news on this.
[00:13:21.835 --> 00:13:23.057]  Let's go over it, Paul.
[00:13:23.057 --> 00:13:23.838]  Launch into it.
[00:13:23.838 --> 00:13:31.828]  What's going on here and is the British public starting, the English public I should say, are they starting to get what's going on?
[00:13:33.273 --> 00:13:38.777]  In some pockets, yes, because this stuff is obviously coming out in mainstream newspapers.
[00:13:38.777 --> 00:13:47.484]  But we mentioned just before the break, we had the headline out of the London Times, immigration officers let terrorists into UK.
[00:13:47.484 --> 00:13:52.948]  It was a known Al-Qaeda cell, Algerian Al-Qaeda cell, known as such in October last year.
[00:13:53.828 --> 00:14:05.895]  They were allowed to enter the country, given passports, then given jobs at Heathrow Airport, immediately after which we saw tanks rolling around right before the Iraq War to bully everyone into submission.
[00:14:05.895 --> 00:14:12.379]  And the interesting thing is that this actual cell was discovered in January, and so...
[00:14:13.516 --> 00:14:21.661]  They managed to keep the story under wraps for nearly nine months that the British government had allowed this sale into the UK.
[00:14:21.661 --> 00:14:32.769]  I mean, something else that's come out recently we can take a look at is the article from the London Guardian with the headline, Suspect claims MI5 can clear his name.
[00:14:33.559 --> 00:14:41.806]  And the article actually reads, quote, an alleged member of Osama Bin Laden's al-Qaeda network wanted in connection with the bombings of U.S.
[00:14:41.806 --> 00:14:52.315]  embassies in Africa claimed yesterday he was in frequent touch with British security services, including a named MI5 agent.
[00:14:52.315 --> 00:14:55.458]  And we get into this sort of thing in Order Out of Chaos.
[00:14:55.458 --> 00:15:00.002]  We've talked before on the show about the case of Abu Qatada.
[00:15:01.314 --> 00:15:07.037]  Qatada was actually described as the European leader of the Al Qaeda network.
[00:15:07.037 --> 00:15:10.679]  It turns out he's really an MI5 agent in safe houses.
[00:15:10.679 --> 00:15:12.260]  Just unbelievable.
[00:15:12.260 --> 00:15:14.001]  Whatever happened to Tariq Aziz?
[00:15:14.001 --> 00:15:20.984]  They were going to give the Iraqi Foreign Minister a palace on one of Prince Charles' 100,000 acre pieces of property.
[00:15:20.984 --> 00:15:21.805]  Whatever happened to him?
[00:15:21.805 --> 00:15:30.089]  I don't know what happened to him, but yeah, the story came out that Prince Charles had graciously offered his palace to Tariq Aziz.
[00:15:30.979 --> 00:15:49.575]  And then we have every couple of weeks a new Saddam tape basically telling everyone to fight the US and yet we can go back to the report that came out in April of the fact that Saddam was actually paid off by the Americans and flown out with the help of Russia.
[00:15:50.362 --> 00:15:52.323]  And then we had the... I tell you what, stay there.
[00:15:52.323 --> 00:15:53.884]  Let's go over that.
[00:15:53.884 --> 00:15:56.825]  I've got some other government-sponsored terror I want to cover with England.
[00:15:56.825 --> 00:16:02.308]  But then let's talk about how they claim that they caught the number two man's back last week with Bin Laden.
[00:16:02.308 --> 00:16:05.229]  But then we have the article where they say they captured him 18 months ago.
[00:16:05.229 --> 00:16:12.973]  I mean, they've got to be doing this on purpose to just totally condition us to accept lies, Paul.
[00:16:12.973 --> 00:16:17.996]  I mean, why do you think their lies are so blatant where somebody with an A.D.I.Q.
[00:16:17.996 --> 00:16:18.756]  could figure this out?
[00:16:19.907 --> 00:16:29.378]  Well, obviously, as you mentioned earlier, they're trying to paint the Americans and the British establishment as the bad guys, so then the UN can come in and take over.
[00:16:29.378 --> 00:16:37.127]  I mean, they tried to do that directly during the Clinton administration, but now it's got smokescreen behind this neocon front.
[00:16:37.127 --> 00:16:39.409]  But yeah, you mentioned the Iraqis.
[00:16:39.409 --> 00:16:40.571]  We've got chemical allies.
[00:16:41.403 --> 00:16:48.369]  Supposedly arrested a few weeks ago when it turns out he was actually captured in February.
[00:16:48.369 --> 00:16:51.091]  So, not possible I don't think.
[00:16:51.091 --> 00:16:53.053]  We'll be right back folks, stay with us.
[00:17:02.747 --> 00:17:04.068]  Big Brother.
[00:17:04.068 --> 00:17:05.830]  Mainstream media.
[00:17:05.830 --> 00:17:07.592]  Government cover-ups.
[00:17:07.592 --> 00:17:09.154]  You want answers?
[00:17:09.154 --> 00:17:10.736]  Well, so does he.
[00:17:10.736 --> 00:17:14.921]  He's Alex Jones on the GCN Radio Network.
[00:17:14.921 --> 00:17:18.986]  And now, live from Austin, Texas, Alex Jones.
[00:17:20.735 --> 00:17:22.836]  This is out of Dubai.
[00:17:22.836 --> 00:17:36.019]  AFP, the suspected leader of Kurdish Islamic extremist group, threatened in an interview published Saturday to produce evidence of his contacts with Washington prior to the September 11th hijackings.
[00:17:36.019 --> 00:17:40.380]  I have in my possession irrefutable evidence against the Americans, and I'm prepared to supply it.
[00:17:40.380 --> 00:17:41.901]  You won't be alive very long, buddy.
[00:17:41.901 --> 00:17:45.242]  They've already killed a bunch of Saudi Arabian princes that said that.
[00:17:45.242 --> 00:17:49.803]  The United States tries to implicate me in an affair linked to terrorism, Mullah
[00:17:50.882 --> 00:17:59.945]  Prakar, if I'm pronouncing that right, who is believed to be a front for Asar al-Islam, told Al-Hayat newspaper.
[00:17:59.945 --> 00:18:07.148]  He dismissed as fabrications reports linking his group to Al-Qaeda, saying they were designed to justify a strike against Iraq.
[00:18:07.148 --> 00:18:07.988]  That's been proven now.
[00:18:08.897 --> 00:18:13.766]  Pekar told the Arabic Language Daily that he had been approached by the United States for September 11th.
[00:18:13.766 --> 00:18:19.597]  I had a meeting with a CIA representative and someone from the American Army in a town of Sumayyah.
[00:18:21.229 --> 00:18:23.290]  Or Iraqi Kurdistan.
[00:18:23.290 --> 00:18:27.813]  At the end of 2000, they asked us to collaborate with them, but we refused to do so.
[00:18:27.813 --> 00:18:28.993]  He said, British U.S.
[00:18:28.993 --> 00:18:39.639]  News reports this week claimed that Prakar, who has enjoyed political refugee status in Norway since 1991, and Asar al-Islam would be key elements of U.S.
[00:18:39.639 --> 00:18:45.022]  Secretary Colin Powell's group of links between Al-Qaeda and Baghdad, who presented to the U.N.
[00:18:45.022 --> 00:18:46.603]  Security Council on Wednesday.
[00:18:46.603 --> 00:18:48.644]  I thought we'd go back
[00:18:49.944 --> 00:18:52.345]  And to talk about that.
[00:18:52.345 --> 00:18:57.707]  Now, Paul Watson from the United Kingdom.
[00:18:57.707 --> 00:19:02.108]  I want to talk to you about this and we're going to go to Barbara in Tennessee and others that are patiently holding at 1-800-259-9231.
[00:19:06.963 --> 00:19:09.544]  But, I know you watch the news, I know you read it.
[00:19:09.544 --> 00:19:11.225]  I taped the entire war.
[00:19:11.225 --> 00:19:13.105]  I mean, I taped about eight hours a day.
[00:19:13.105 --> 00:19:18.928]  Dozens of times, Wolfowitz said in press conferences, we paid off two major army groups, we paid off Republican Guard.
[00:19:18.928 --> 00:19:20.328]  They're going to give up most of them.
[00:19:20.328 --> 00:19:22.389]  Come on, let's go into Iraq.
[00:19:22.389 --> 00:19:24.670]  After the war, he said, we never said that.
[00:19:24.670 --> 00:19:25.570]  That's totally made up.
[00:19:25.570 --> 00:19:26.390]  That's lies.
[00:19:26.390 --> 00:19:29.252]  The media didn't call him on it.
[00:19:29.252 --> 00:19:32.633]  He said that they had killed Saddam's sons three times.
[00:19:32.633 --> 00:19:33.933]  Then they showed us wax figures.
[00:19:33.933 --> 00:19:35.474]  They said they killed Saddam three times.
[00:19:36.529 --> 00:19:38.436]  Uh, they go on and on.
[00:19:38.436 --> 00:19:42.370]  Now they said that 18 months ago they captured Bin Laden's right-hand man.
[00:19:43.180 --> 00:19:47.261]  Then they claim that he's been putting out threats again six months ago, now he's doing it again.
[00:19:47.261 --> 00:19:52.443]  They claim they have him captured, but he's still putting out new threats with bin Laden.
[00:19:52.443 --> 00:19:55.244]  Then it turns out the tape is a fake, a compilation.
[00:19:55.244 --> 00:20:00.485]  Bush gives a speech last Wednesday, says you better pass Patriot Act 2, bin Laden's gonna be back.
[00:20:00.485 --> 00:20:03.646]  An hour later, bin Laden pops up on TV, I'm gonna get you.
[00:20:03.646 --> 00:20:06.747]  Turns out that's fake, just like the fat bin Laden tape.
[00:20:06.747 --> 00:20:12.029]  I mean, is it because they know that 70% of Americans don't know where Iraq is on a map,
[00:20:12.711 --> 00:20:16.894]  Is it because... I mean, this is incredible.
[00:20:16.894 --> 00:20:20.017]  I mean, they could come up with better lies than this.
[00:20:20.017 --> 00:20:24.560]  Again, it's to demonize America and the UK, to play the part of the bad cop, to energize the UN.
[00:20:24.560 --> 00:20:25.221]  We know that.
[00:20:25.221 --> 00:20:27.782]  But there's got to be more to this.
[00:20:27.782 --> 00:20:29.664]  Give us some examples of what I just talked about.
[00:20:30.729 --> 00:20:45.814]  Well, also, 70% of Americans think that Saddam Hussein was involved with 9-1-1, and even people like Rumsfeld and Cheney have come out in the past few days and said that that's not the case, even though they used that as a pretext before the war.
[00:20:45.814 --> 00:20:52.356]  But you mentioned the staged outcome of the war, with Saddam being flown out by the Russians,
[00:20:53.568 --> 00:21:06.492]  Um, it's clear that the so- I mean, your listeners will remember the so-called ceasefire that we witnessed right in the middle of the war, um, when there was basically a seven to ten day break in any sort of major incident.
[00:21:06.492 --> 00:21:12.514]  Um, that was when the deal actually took place that ensured the swift capture of Baghdad immediately afterwards.
[00:21:13.337 --> 00:21:18.523]  And they admit that they flew out Republican Guard generals, gold bars, euros, dollars.
[00:21:18.523 --> 00:21:22.266]  Rumsfeld said it before the war, and then he just said, I never said that.
[00:21:22.266 --> 00:21:29.894]  The guy was in front of a hundred cameras on national TV day after day, and then he said after the war, we didn't pay anybody off.
[00:21:29.894 --> 00:21:31.156]  That's not true.
[00:21:31.156 --> 00:21:32.056]  They fought.
[00:21:32.056 --> 00:21:33.098]  We just crushed them.
[00:21:33.758 --> 00:21:41.871]  And then they rolled into Baghdad in machine gun minivans full of families and just randomly slaughtered everybody to act like there was some enemy.
[00:21:41.871 --> 00:21:45.898]  Then there was a response and then they claim the boogeyman bin Laden's doing it.
[00:21:46.767 --> 00:21:55.571]  Yeah, I mean, you remember before the war, there was a broad effort to encourage Hussein and leading Ba'ath Party officials to accept political asylum.
[00:21:55.571 --> 00:21:59.193]  And then he said he'd take it, and they said, we'll kill you if you try to leave.
[00:21:59.193 --> 00:22:04.016]  Then they have the ceasefire, gave it to him, flew him out to Belarus, and now we're going to have all these staged events.
[00:22:07.370 --> 00:22:21.144]  The so-called battle for Baghdad, right before it immediately kicked off, mainstream newspapers were predicting that it would cost as many as 12,000 American troops lives, and in the end it turned out to be a walkover.
[00:22:21.144 --> 00:22:22.826]  Well, why was it a walkover?
[00:22:23.726 --> 00:22:38.330]  The Middle Eastern newspapers reported that with the help of Russia, who flew them out of the country, top fast party officials and Saddam Hussein himself were paid off by the Americans to order the Republican Guard, what was left of it, to stand down.
[00:22:38.330 --> 00:22:42.791]  And you've got, again today, another Saddam Hussein tape.
[00:22:43.721 --> 00:23:00.024]  And we look at the previous tapes that have come out of these Arab television stations where just about a week ago the Bin Laden tape was a conglomeration of old footage featuring his so-called right-hand man who again was arrested... By the way, that's now admitted, folks.
[00:23:00.024 --> 00:23:00.724]  They admit that.
[00:23:00.724 --> 00:23:06.605]  But see, that's the tiny paragraph in the back of the paper in the retraction.
[00:23:06.605 --> 00:23:09.546]  All the big headlines is what Dumbbell America remembers.
[00:23:10.865 --> 00:23:19.261]  And a major plank of the whole Iraq situation is the whistleblowers that have come out exposing the fact that it was a phony war in the first place.
[00:23:20.184 --> 00:23:27.108]  Well, let's remember that Saddam in 1958 was hired, brought to Egypt, trained by the CIA publicly to commit assassinations.
[00:23:27.108 --> 00:23:28.988]  He did commit assassinations.
[00:23:28.988 --> 00:23:36.472]  He then was maneuvered in the 68 to be the head of the security force, the secret police of the Ba'ath.
[00:23:36.472 --> 00:23:38.613]  Then in, what, 76, they put him into power.
[00:23:38.613 --> 00:23:39.394]  He was a big ally.
[00:23:39.394 --> 00:23:40.814]  They told him to invade Kuwait.
[00:23:40.814 --> 00:23:42.195]  They then cornered him.
[00:23:42.195 --> 00:23:43.556]  He didn't believe the invasion would begin.
[00:23:43.556 --> 00:23:44.916]  They launched the invasion.
[00:23:44.916 --> 00:23:46.457]  Then he was given the deal to leave.
[00:23:46.457 --> 00:23:48.058]  I mean, that's a fact, folks.
[00:23:48.058 --> 00:23:48.398]  Go ahead.
[00:23:49.227 --> 00:24:01.797]  And then the people that get in a high enough position of authority to blow the whistle on these sort of things, just like David Shaler did on the British funding of Al-Qaeda to carry out political assassinations across the globe.
[00:24:01.797 --> 00:24:08.142]  Those people are either imprisoned or murdered, with specific reference to David Kelly.
[00:24:08.142 --> 00:24:14.708]  And it is basically now obvious that it was a murder, and we have the article on PrisonPlanet.com
[00:24:15.328 --> 00:24:36.826]  From a well-known Scottish journalist who contacted me and asked that his name be withheld, and I checked out his credentials, found that he did write for the newspapers and magazines that he mentioned, and he told me that a reliable contact in the form of an ex-MI6 agent told him some interesting things regarding the circumstances of Dr Kelly's death.
[00:24:37.026 --> 00:24:39.348]  Look, my dad boiled it down real simple.
[00:24:39.348 --> 00:24:41.610]  They killed him so everybody gets a message.
[00:24:41.610 --> 00:24:43.291]  Electrodes hanging off of him.
[00:24:43.291 --> 00:24:44.952]  I mean, come on, folks.
[00:24:44.952 --> 00:24:51.197]  And you have to remember that this has basically come out in the Horton Inquiry that Kelly was telling people, writing in emails.
[00:24:51.197 --> 00:24:52.638]  I've got dark actors around me.
[00:24:52.638 --> 00:24:53.819]  I'm being threatened.
[00:24:53.819 --> 00:24:56.240]  I'm going to get my name back.
[00:24:56.240 --> 00:24:58.162]  Somebody's controlling my phone calls.
[00:24:59.111 --> 00:25:27.783]  And he was going back to Iraq afterwards and he was looking forward to the wedding of his daughter and the MI6 agent said that the murder, and that's what it is, the murder of David Kelly was quote sloppy work and that there was an apparent struggle at the scene of the crime and he said that it was sloppy work that Kelly's body was found with enough pills for an overdose but he hadn't ingested them and that the evidence should have been removed from the scene under quote normal procedure
[00:25:28.303 --> 00:25:36.555]  And he also said that the heart monitor pads found on Kelly's chest, which he just mentioned, were simply there to make sure that he was dead.
