[00:00.000 --> 00:15.000]  Oh oppression, you prey on us when we sleep
[15:26.000 --> 15:33.000]  Write down everything I say. It's all documented. But why am I going to document everything I say today?
[15:33.000 --> 15:42.000]  Because our video, TSA Fondles Woman and Children for Refusing Airport Naked Body Scanners, it got linked on Drudge Friday.
[15:42.000 --> 15:50.000]  It's still up there today, hundreds of thousands of views, and there are idiots in there saying, I'm lying about all this.
[15:50.000 --> 15:57.000]  When you're out on the road, the last place you want to be is on the road.
[15:57.000 --> 16:02.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[16:02.000 --> 16:11.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[16:11.000 --> 16:19.000]  They soak right in every stitch, guarantee you love the way they fit.
[16:19.000 --> 16:24.000]  They put a diamond gusset in the crotch where you need it most.
[16:24.000 --> 16:29.000]  Blue diamond gussets got it, others don't.
[16:29.000 --> 16:36.000]  We turn jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[16:36.000 --> 16:42.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[16:42.000 --> 16:49.000]  Order yours at gusset.com. Diamond gusset jeans got it, others don't.
[17:13.000 --> 17:19.000]  The power grid is dangerously overloaded, and now new socialist legislation is only compounding the problem.
[17:19.000 --> 17:26.000]  Dangerous weather is always a threat to local grids. Every year, thousands of families lose their power from weather-related onages.
[17:26.000 --> 17:31.000]  A solar power generator provides powerful backup insurance and peace of mind.
[17:31.000 --> 17:36.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[17:36.000 --> 17:42.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[17:42.000 --> 17:50.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[17:50.000 --> 17:55.000]  Hello friends, this is Alex Jones. You've heard me talk about Calvin 5-star soaps for years.
[17:55.000 --> 18:00.000]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[18:00.000 --> 18:06.000]  You can buy factory direct, shipped via UPS right to your door. Check them out on the web at www.fivestarsope.com
[18:06.000 --> 18:14.000]  or call 800-340-7091. Take my word for it, once you've used pure soap, you won't buy anything else.
[18:14.000 --> 18:20.000]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[18:20.000 --> 18:28.000]  Buy American and stay clean, as well as support info wars. Visit www.fivestarsope.com today or call 1-800-340-7091.
[18:28.000 --> 18:30.000]  Well Marty, what do you have to say?
[18:30.000 --> 18:38.000]  As founder and owner for over 63 years, satisfaction is guaranteed on W-Dirtback.
[18:38.000 --> 18:49.000]  Call us at 1-800-340-7091 for a free catalog or visit our website www.fivestarssoap.com. Thank you.
[18:51.000 --> 18:55.000]  Hundreds of nations have fallen to tyranny in the last century alone.
[18:55.000 --> 18:58.000]  This is our last chance to not relive history.
[18:58.000 --> 19:03.000]  As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[19:03.000 --> 19:09.000]  We have tremendous influence on our president and Congress, and they really are calling the shots.
[19:09.000 --> 19:14.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[19:14.000 --> 19:24.000]  Fall of the Republic identifies the enemies of our nation, the criminal offshore cartel, hell-bent on destroying sovereignty, and on its ashes constructing world government.
[19:24.000 --> 19:31.000]  Tim Geithner, Bernanke, and Arsonists, they're asking for more matches, and the Congress is saying, who do we make the check out to?
[19:31.000 --> 19:38.000]  Today seems like nobody does care, and right now in Washington D.C. we have seen a fall of the Republic.
[19:38.000 --> 19:43.000]  Get your copy of Fall of the Republic on DVD at infowars.com.
[19:43.000 --> 19:59.000]  We're watching online right now in super high quality at prisonplanet.tv.
[20:13.000 --> 20:21.000]  You know, I'm already demonized by Nightline, MSNBC, CNN, Southern Property Law Center.
[20:21.000 --> 20:33.000]  Hundreds of major publications are just reporting the facts and putting the pieces of the puzzle together here, right in front of everyone, connecting the dots.
[20:33.000 --> 20:40.000]  And make no mistake, I'm risking my life bringing you this information, but liberty and freedom and the truth is worth it.
[20:40.000 --> 20:46.000]  If you give into these lies and you give into this brazen corruption, we're going to be looted.
[20:46.000 --> 20:49.000]  We're going to be imploded into a third world country.
[20:49.000 --> 20:55.000]  This nation has never been perfect, but it's been the best country on the face of the Earth and human history for liberty.
[20:55.000 --> 20:57.000]  And that's been the engine.
[20:57.000 --> 21:01.000]  Why, 4% of the world population had more than half the wealth.
[21:01.000 --> 21:06.000]  We don't anymore, because when you lose liberty, you lose the engine of productivity and wealth.
[21:06.000 --> 21:15.000]  Now, I'm going to try to be calm, okay? I'm going to try to be calm here and go slow, because it seems like when I'm calm and go slow, I can cover more.
[21:15.000 --> 21:19.000]  And I'm going to go over all of these articles, but why am I angry?
[21:19.000 --> 21:30.000]  There are three or four different types of people this weekend commenting on the YouTube video, and I use it as a type of focus group to see what the public's saying and doing.
[21:30.000 --> 21:40.000]  I'd say 75% of the people watching our video that's up on the Drudge Report, it's on Info Wars, it's on Prison Planet, it's been linked by a bunch of other newspapers.
[21:40.000 --> 21:46.000]  TSA fondles women and children refusing airport naked body scanners.
[21:46.000 --> 21:54.000]  More than seven out of 10 comments say, I'm not going to fly anymore. This is a police state. This doesn't keep us safe.
[21:54.000 --> 22:00.000]  This happened to me and my wife. This happened to my children.
[22:00.000 --> 22:13.000]  But of the other 25, 30% or so, you've got people saying that I'm a complete liar and that enhanced pat downs aren't being started where they grab your genitals with the insides of their hands and women's breast,
[22:13.000 --> 22:21.000]  even though it's been on the news for a year and now they're saying they're going to do it to everyone. They're phasing it in on top of the naked body scanners.
[22:21.000 --> 22:34.000]  So out of that 25, 30%, you've got people who run the gamut of denying and saying none of it exists or saying, yes, I'm a TSA agent being paid minimum wage who's not law enforcement.
[22:34.000 --> 22:41.000]  And this is great. Al Qaeda will blow up planes if you don't let us do this.
[22:41.000 --> 22:52.000]  So you got people just denying it saying I'm a liar, even though during the 11 minute video that's up on Drudge excise from my show Thursday.
[22:52.000 --> 22:56.000]  Everything we talk about, we show news articles and video clips.
[22:56.000 --> 23:06.000]  And I interview my employee Michelle, who just flew back from Colorado and her and her 20 month old baby girl and her eight year old girl.
[23:06.000 --> 23:12.000]  Little girls, I know the eight year old for years has played with my daughters.
[23:12.000 --> 23:16.000]  I've got three children, eight, six and two and a half.
[23:16.000 --> 23:22.000]  And people were also in the video saying it's a lie that there was a fake video.
[23:22.000 --> 23:28.000]  I mean, this is the level of denial, but the good news is over 70%.
[23:28.000 --> 23:31.000]  You can go read the comments for yourself, understand what's happening.
[23:31.000 --> 23:36.000]  And it's been seen by hundreds of thousands of people will be seen by millions, no doubt in the next few days.
[23:36.000 --> 23:42.000]  The one YouTube channel that it's posted on the Alex Jones channel on YouTube has 71 million views.
[23:42.000 --> 23:51.000]  We have over 200 million in the last two years alone, all combined with our other channel showing the effect this broadcast is having just on one medium YouTube.
[23:51.000 --> 23:55.000]  Two million listeners a day weekdays, a million and a half Sundays.
[23:55.000 --> 24:01.000]  XM global shortwave, number one radio show on the internet.
[24:01.000 --> 24:04.000]  So the good news is the words getting out.
[24:04.000 --> 24:12.000]  Now for all of the deniers, I'm going to cover basically many of the angles that we're dealing with here.
[24:12.000 --> 24:16.000]  Then I'm going to open the phones up and normally it's wide open phones.
[24:16.000 --> 24:20.000]  We don't screen calls unless every once in a while I say I want police to call in.
[24:20.000 --> 24:23.000]  I want people from Kentucky to call in people from Louisiana.
[24:23.000 --> 24:27.000]  If something's happening regionally, only call in.
[24:27.000 --> 24:29.000]  You can start calling now.
[24:29.000 --> 24:36.000]  If you were fondled by TSA, did they put their hands between your legs?
[24:36.000 --> 24:39.000]  Do they do the circular motion squeezing your breast?
[24:39.000 --> 24:46.000]  And by the way, I mean on the video we show clips of mainstream news showing with a mannequin how they do it, grabbing women's breast.
[24:46.000 --> 24:52.000]  So there's all that denial, but I want people to specifically hear from you.
[24:52.000 --> 25:01.000]  888-201-2244-888-201-2244-888-201-2244.
[25:01.000 --> 25:08.000]  Now, let me calmly just go through this stack of mainstream news articles, okay?
[25:08.000 --> 25:11.000]  With the document cam on them.
[25:11.000 --> 25:16.000]  TSA fondles women and children of using airport naked body scanners.
[25:16.000 --> 25:21.000]  That's the article we have on Info Wars with the video testimony on it if you want to watch that.
[25:21.000 --> 25:23.000]  Next, Seattle Times.
[25:23.000 --> 25:26.000]  New airport pat-downs are more intrusive.
[25:26.000 --> 25:35.000]  New more aggressive pat-down procedures put in place at U.S. airports by the Transportation Security Administration are raising privacy concerns.
[25:35.000 --> 25:43.000]  And it goes on to say areas previously off limits, like the groin, genitals, breast, it's all right there.
[25:43.000 --> 25:50.000]  In fact, I didn't see it in my stack, the one I covered Friday, but we can be the ABC Newsroom where it says, genitals, thank you.
[25:50.000 --> 25:53.000]  Here is USA Today.
[25:53.000 --> 25:56.000]  Airport screeners get more aggressive with pat-downs.
[25:56.000 --> 25:59.000]  I saw these commenters saying, I've been flying a lot.
[25:59.000 --> 26:02.000]  They only rub between my legs with the back of their hands.
[26:02.000 --> 26:04.000]  Alex says they grab palms up and squeeze.
[26:04.000 --> 26:06.000]  That's a lie.
[26:06.000 --> 26:07.000]  This is new.
[26:07.000 --> 26:09.000]  Did you hear me say new?
[26:09.000 --> 26:10.000]  Did you hear it?
[26:10.000 --> 26:13.000]  There weren't naked body scanners in two years ago.
[26:13.000 --> 26:14.000]  They're now in there.
[26:14.000 --> 26:18.000]  Two years ago, people said I was lying about that when they ordered the stinking things.
[26:18.000 --> 26:20.000]  Stop living in denial.
[26:20.000 --> 26:23.000]  I'm sorry, I'm not going to get, I'm trying to be calm here.
[26:23.000 --> 26:29.000]  I'm just, I just, you can't, this is a nation of people who want to be sheep.
[26:29.000 --> 26:31.000]  Here's Los Angeles Times.
[26:31.000 --> 26:34.000]  New TSA pat-down procedure expands nationwide.
[26:34.000 --> 26:40.000]  It goes on to say that they squeeze your groin and your breast.
[26:40.000 --> 26:41.000]  Here's another one.
[26:41.000 --> 26:42.000]  CNN.
[26:42.000 --> 26:47.000]  TSA to phase in new pat-down procedures at airports nationwide.
[26:47.000 --> 26:53.000]  And it detect hidden areas such as the breast and everywhere else.
[26:53.000 --> 26:54.000]  Okay.
[26:54.000 --> 26:56.000]  Then I get these denials that it could cause cancer.
[26:56.000 --> 26:57.000]  I saw those comments.
[26:57.000 --> 26:59.000]  This is the mail, the daily mail.
[26:59.000 --> 27:03.000]  Airport body scanners could give you cancer warrants experts.
[27:03.000 --> 27:10.000]  And then I have the government's own report here that's coming up in my stack where they say this.
[27:10.000 --> 27:11.000]  And there's the ABC News.
[27:11.000 --> 27:16.000]  Flyers in the American Civil Liberties Union are expressing concern about the pat-down because
[27:16.000 --> 27:19.000]  screeners are touching passengers' breast and genitals.
[27:19.000 --> 27:21.000]  That's USA Today.
[27:21.000 --> 27:22.000]  Okay.
[27:22.000 --> 27:24.000]  I've got the ABC News coming up.
[27:24.000 --> 27:25.000]  I mean, just stop.
[27:25.000 --> 27:29.000]  Literally, I showed these news articles during the video clip.
[27:29.000 --> 27:36.000]  And people were saying that it didn't say that in the articles because I had an ABC here and a New York Times here.
[27:36.000 --> 27:40.000]  And so they went and pulled up the New York Times that didn't say that and said that I was lying.
[27:40.000 --> 27:42.000]  But the ABC was laying right there.
[27:42.000 --> 27:43.000]  Here it is.
[27:43.000 --> 27:44.000]  Bloomberg.
[27:44.000 --> 27:45.000]  Bloomberg.
[27:45.000 --> 27:46.000]  I'm not making this up.
[27:46.000 --> 27:47.000]  Stop denying it.
[27:47.000 --> 27:48.000]  Face it.
[27:48.000 --> 27:55.000]  Airport body scanning raises radiation exposure.
[27:55.000 --> 27:56.000]  Committee says the U.S.
[27:56.000 --> 28:01.000]  government's interagency committee on radiation safety.
[28:01.000 --> 28:04.000]  And they're even more concerned about the workers who are around it all day.
[28:04.000 --> 28:05.000]  Okay.
[28:05.000 --> 28:06.000]  That's Bloomberg.
[28:06.000 --> 28:13.000]  Now, I also in the video talked about how the feds now want to put chest X-rays in, which are admittedly high radiation,
[28:13.000 --> 28:17.000]  claiming Alciiata, when they're not dining at the Pentagon,
[28:17.000 --> 28:20.000]  are going to sow bombs into women's breast.
[28:20.000 --> 28:22.000]  Well, how is somebody squeezing going to know?
[28:22.000 --> 28:28.000]  The point is, though, the point here is, people then said I was lying about that.
[28:28.000 --> 28:29.000]  Fox News.
[28:29.000 --> 28:32.000]  Terrorists could use explosives and breast implants to crash planes.
[28:32.000 --> 28:33.000]  Experts warn.
[28:33.000 --> 28:34.000]  There's another one.
[28:34.000 --> 28:35.000]  New York Post.
[28:35.000 --> 28:37.000]  Al-Qaeda surgical strike.
[28:37.000 --> 28:39.000]  Rest and butt bombs.
[28:39.000 --> 28:40.000]  And what do they call for?
[28:40.000 --> 28:41.000]  Chest X-rays.
[28:41.000 --> 28:43.000]  I'm coming back with more of it.
[28:43.000 --> 28:45.000]  We're going through every facet up within your phone calls.
[28:45.000 --> 28:46.000]  Stay with it.
[28:46.000 --> 28:47.000]  The denial's over.
[28:50.000 --> 28:54.000]  Alex told you the government announced recently that the recession is over.
[28:54.000 --> 28:56.000]  It ended on June of 2009.
[28:56.000 --> 29:00.000]  The millions of Americans unable to find work might not agree.
[29:00.000 --> 29:03.000]  Perhaps the recession ended for the bankers and government employees,
[29:03.000 --> 29:06.000]  but for the rest of us, things seemed to be getting worse.
[29:06.000 --> 29:08.000]  Gold and silver haven't heard the news either.
[29:08.000 --> 29:11.000]  They've begun their long expected journey to the moon.
[29:11.000 --> 29:14.000]  In addition to converting your shrinking dollars into gold and silver,
[29:14.000 --> 29:17.000]  you should consider a food savings account from eFoodsDirect.
[29:17.000 --> 29:19.000]  They both make fabulous investments.
[29:19.000 --> 29:21.000]  Food is our greatest dependency,
[29:21.000 --> 29:25.000]  and we know it will be more precious than any financial resource.
[29:25.000 --> 29:27.000]  You and your family need food to survive a crisis,
[29:27.000 --> 29:30.000]  and you can't eat paper, stocks, or metals.
[29:30.000 --> 29:35.000]  Alex has been urging you to invest in delicious, easy-fix meals to enjoy now or save for long term.
[29:35.000 --> 29:38.000]  This will freeze the cost of your food while you can still afford it.
[29:38.000 --> 29:44.000]  Visit eFoodsDirect.com on the internet, or call 800-409-5633.
[29:44.000 --> 30:06.000]  That's eFoodsDirect.com, or 800-409-5633.
[30:14.000 --> 30:17.000]  This documentary exposes how the continuity of government program
[30:17.000 --> 30:20.000]  has established an old, powerful shadow state.
[30:20.000 --> 30:24.000]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[30:24.000 --> 30:28.000]  Prepare to enter the secretive world of emergency dictatorship.
[30:28.000 --> 30:31.000]  Body scanners, sound cameras, citizen spies,
[30:31.000 --> 30:34.000]  staged terror and cameras on every street corner.
[30:34.000 --> 30:38.000]  It's only the beginning of the New World Order's hellish plan.
[30:38.000 --> 30:41.000]  The police state isn't coming. It's here.
[30:41.000 --> 30:45.000]  Secure your copy today at infowars.com,
[30:45.000 --> 31:14.000]  or see it online in the highest quality at PrismPlanet.tv.
[31:15.000 --> 31:21.000]  Visit eFoodsDirect.com, or see it online at infowars.com.
[31:21.000 --> 31:50.000]  Let's talk to the owner of Five Star Soap, Marty Schachter, and see what he has to say.
[31:50.000 --> 31:55.000]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system
[31:55.000 --> 31:58.000]  with your self-produced colloidal silver solutions,
[31:58.000 --> 32:01.000]  yet many are unaware of the entire function of the Silver Lungs System
[32:01.000 --> 32:06.000]  and how it has been designed to deliver your silver solutions anywhere in or on the body.
[32:06.000 --> 32:11.000]  My name is Mario Safaldi, and I'm the developer of the Silver Lungs Generator.
[32:11.000 --> 32:15.000]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions,
[32:15.000 --> 32:19.000]  it also comes equipped with the proper applicators and devices needed
[32:19.000 --> 32:23.000]  to deliver your silver solutions directly to key target areas.
[32:23.000 --> 32:31.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[32:31.000 --> 32:35.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs System
[32:35.000 --> 32:41.000]  at www.silverlungs.com to learn more about how the Silver Lungs System works.
[32:41.000 --> 32:49.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[33:11.000 --> 33:33.000]  We're supposedly the land of the free, home of the brave.
[33:33.000 --> 33:37.000]  We're told we're being naked body scanned and buried with radiation
