[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[00:03:30.833 --> 00:03:33.414]  You know, for a decade, I've been laying out this scenario.
[00:03:33.414 --> 00:03:39.417]  And now you, of course, have seen it unfold over in England and other parts of Europe.
[00:03:39.417 --> 00:03:44.520]  More and more people are asking, how does Alex Jones predict the future?
[00:03:44.520 --> 00:03:45.601]  I don't predict the future.
[00:03:47.148 --> 00:03:52.792]  The past is an example of how humans operate.
[00:03:52.792 --> 00:03:58.736]  Then you study current activities and globalist white papers, and you know what their plan is.
[00:03:58.736 --> 00:04:11.225]  The question is, does the public have the courage and the will and the self-preservation instincts to face the facts, to get involved, and to turn the tide?
[00:04:11.225 --> 00:04:14.127]  Because knowledge of this information
[00:04:15.572 --> 00:04:22.196]  And the active resistance to it in the Infowar is what will save this Republic.
[00:04:22.196 --> 00:04:28.920]  But we have a case of very virulent, hot tyranny breathing down our necks here.
[00:04:30.182 --> 00:04:35.728]  But for every action, there's an equal and opposite reaction, and that's Ron Paul, that's Alex Jones, that's you!
[00:04:35.728 --> 00:04:39.932]  You are the answer to the 1984 society.
[00:04:39.932 --> 00:04:41.013]  You are 1776.
[00:04:41.013 --> 00:04:49.621]  Now when we come back, I'm going to give you a rundown of a lot of the other big news, and we're getting into this special report.
[00:04:49.621 --> 00:04:51.744]  FEMA camps in America.
[00:05:01.128 --> 00:05:03.291]  You're subject to public police action.
[00:05:03.291 --> 00:05:04.573]  Tyranny is here.
[00:05:04.573 --> 00:05:08.217]  The grim future foretold in 1984 has become reality.
[00:05:08.217 --> 00:05:10.741]  It really says that the state is God.
[00:05:10.741 --> 00:05:16.148]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:05:16.588 --> 00:05:23.272]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:05:23.272 --> 00:05:29.235]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:05:29.235 --> 00:05:32.897]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:05:33.417 --> 00:05:37.700]  Prepare to enter the secretive world of emergency dictatorship.
[00:05:37.700 --> 00:05:43.644]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:05:43.644 --> 00:05:47.207]  It's only the beginning of the New World Order's hellish plan.
[00:05:47.207 --> 00:05:49.188]  The police state isn't coming.
[00:05:49.188 --> 00:05:50.309]  It's here.
[00:05:50.309 --> 00:05:57.114]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:06:00.049 --> 00:06:05.452]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:05.452 --> 00:06:17.779]  Because there's a war on for your mind.
[00:06:17.779 --> 00:06:22.482]  It is Sunday, the 21st day of August, 2011.
[00:06:22.482 --> 00:06:26.004]  We're going to be live here for the next three hours.
[00:06:27.426 --> 00:06:35.529]  Alex Jones coming to you from deep in the heart of Texas, Austin, Texas, blasting out on satellite Global Shortwave.
[00:06:35.529 --> 00:06:40.511]  And I know the Sunday show more than 60 AM and FM affiliates.
[00:06:40.511 --> 00:06:47.353]  Number one radio talk show streamed on the web, according to Shoutcast and other barometers.
[00:06:47.353 --> 00:06:49.474]  Thank you so much for joining us.
[00:06:49.474 --> 00:06:52.555]  Of course, I also come back weekdays 11 a.m.
[00:06:52.555 --> 00:06:53.796]  to 2 p.m.
[00:06:53.796 --> 00:06:55.797]  Central Time.
[00:06:55.797 --> 00:06:55.917]  OK.
[00:06:57.102 --> 00:07:01.145]  Coming up at the start of the next segment, I've got a special report.
[00:07:01.145 --> 00:07:07.150]  Ron Paul addresses plans for civil unrest detention camps.
[00:07:07.150 --> 00:07:10.112]  That's one of the reports we filed this weekend.
[00:07:10.112 --> 00:07:14.455]  We have some audio and videotape with Ron Paul discussing the FEMA camps.
[00:07:14.455 --> 00:07:16.136]  That's posted up at
[00:07:17.208 --> 00:07:20.290]  Infowars.com and PrisonPlanet.com.
[00:07:20.290 --> 00:07:24.373]  Ron Paul, they're setting the stage for violence in this country.
[00:07:24.373 --> 00:07:39.004]  Asked by Infowars correspondent Robert Wannick on video if he was concerned about the National Emergency Centers Establishment Act that officially funds the FEMA camps.
[00:07:40.114 --> 00:07:47.299]  And if there was a danger of Americans being held in the camps for martial law, Ron Paul responded, yeah, that's their goal.
[00:07:47.299 --> 00:07:53.503]  They're setting up the stage for violence in this country, no doubt about it, responded Paul.
[00:07:53.503 --> 00:08:03.409]  And so I wanted to go over why this is being established and set up, A, and B, how it's going to be rolled out.
[00:08:04.705 --> 00:08:12.450]  And we have in this article mainstream news this week going, there are emergency centers for you because of the recession and the depression.
[00:08:12.450 --> 00:08:15.612]  We just now thought of this.
[00:08:16.892 --> 00:08:34.745]  You see, tyrants can't implode societies to consolidate control and to enrich themselves without having a secret police, without having a red terror, without having a black, uniformed, jack-booted enforcement system.
[00:08:35.646 --> 00:08:42.789]  These are absolutely cold-blooded, multinational corporations that compete with each other at a very vicious level.
[00:08:42.789 --> 00:08:44.869]  They're absolutely ruthless.
[00:08:44.869 --> 00:08:48.510]  And our naivete has allowed this to unfold.
[00:08:48.510 --> 00:08:58.374]  So I'm going to get into the history of the development of internment camps for Japanese Americans, Italian Americans, German Americans.
[00:08:58.374 --> 00:08:59.854]  Hundreds of thousands that were held.
[00:08:59.854 --> 00:09:01.295]  Their land, by the way, taken.
[00:09:02.547 --> 00:09:25.623]  Many Italians Germans and Japanese even though their sons were serving in the military you get out of the camp if you serve the military They they had their fishing boats taken their property some of the most valuable areas of San Francisco A lot of folks of course were tortured to death in the camps here in the United States So you need to understand that when you don't have a Bill of Rights and Constitution it turns loose great evil
[00:09:26.463 --> 00:09:30.326]  And we already have the largest prison population in the world.
[00:09:30.326 --> 00:09:31.486]  Not per capita.
[00:09:31.486 --> 00:09:32.007]  No, no.
[00:09:32.007 --> 00:09:35.049]  We have more than China with a billion and a half people.
[00:09:35.049 --> 00:09:37.070]  We're only 310 million.
[00:09:37.070 --> 00:09:38.271]  And it's only getting worse.
[00:09:38.271 --> 00:09:40.732]  See, we have a predatory economy now.
[00:09:40.732 --> 00:09:41.793]  We don't have a free market.
[00:09:42.958 --> 00:09:56.022]  It's being gobbled up by the predatory insider crony capitalist system that is only capitalist in name, where insiders operate and totally rule society.
[00:09:56.022 --> 00:10:04.865]  So that report is coming up and then I'll get into your calls and more detail on the other news we have here in front of us.
[00:10:04.865 --> 00:10:06.906]  Speaking of crony capitalism,
[00:10:08.115 --> 00:10:17.397]  I remember the Drudge Report linked to our articles back in February, back on February 4th.
[00:10:18.837 --> 00:10:23.318]  And it became a big national news story and was discussed on the Sunday news shows.
[00:10:23.318 --> 00:10:32.741]  And it was the first time I've ever had the White House actually address us and attack this radio show and say that we're insane liars.
[00:10:32.741 --> 00:10:36.602]  Remember this headline from February 4th?
[00:10:36.602 --> 00:10:40.364]  Obama agenda to bankrupt power plants triggers blackouts.
[00:10:40.364 --> 00:10:42.884]  Remember the freezing weather across the U.S.
[00:10:42.884 --> 00:10:44.425]  and record blackouts?
[00:10:45.586 --> 00:10:52.355]  And then a day later, WhiteHouseAttacksPrisonPlanet.com report on blackouts.
[00:10:52.355 --> 00:10:54.959]  And you can go read the White House report.
[00:10:54.959 --> 00:11:01.348]  Their communications director, Dan Pfeiffer, came out and said we were completely insane.
[00:11:02.625 --> 00:11:09.968]  The problem was we were linking to the Texas Power Commission and others' reports.
[00:11:09.968 --> 00:11:17.412]  All we did was also have family that work at power plants, and I have a lot of listeners that work at them.
[00:11:18.652 --> 00:11:25.840]  I've known even under Bush, and now accelerating under Obama in the last two and a half years, they didn't let new plants open.
[00:11:25.840 --> 00:11:28.102]  They shut down a lot of existing plants.
[00:11:28.102 --> 00:11:40.975]  There's a $3 billion plant, total, you heard me, $3 billion, in Corpus Christi, one of the biggest in the country, that the EPA still hasn't allowed to open in the last year.
[00:11:41.923 --> 00:11:45.464]  And it was the same in Kansas and Missouri and Oklahoma and California.
[00:11:45.464 --> 00:11:56.167]  You saw the reports with the cold weather this year that, well, people are using more heat and we should have built more power plants because the population growing.
[00:11:56.167 --> 00:11:58.787]  And so we're having these blackouts.
[00:11:58.787 --> 00:12:04.048]  I mean, that's what the power companies said were happening.
[00:12:04.048 --> 00:12:05.909]  And that's what unfolded.
[00:12:05.909 --> 00:12:09.790]  And the reason I mentioned this story first
[00:12:11.064 --> 00:12:15.187]  Is because it's back in the news today.
[00:12:15.187 --> 00:12:16.889]  This is out of the journal Sentinel.
[00:12:16.889 --> 00:12:20.472]  Utilities warn of higher rates because of pollution rules.
[00:12:20.472 --> 00:12:29.379]  Nothing comes out of the coal power plants but water vapor and carbon dioxide that plants live off of and then they put off oxygen.
[00:12:29.379 --> 00:12:33.622]  Humans exhale carbon dioxide and Bill Gates has said humans are bad for exhaling it.
[00:12:33.622 --> 00:12:35.284]  Part of the atmosphere of the planet.
[00:12:35.284 --> 00:12:37.125]  Part of the symbiotic system.
[00:12:37.125 --> 00:12:37.846]  The carbon cycle
[00:12:40.376 --> 00:12:45.200]  By the way, I covered this Friday and some people didn't believe me, so I'm going to re-pull it out of the stack later.
[00:12:45.200 --> 00:12:57.431]  The London Guardian did go with the report that NASA officially has said that space aliens are going to attack the United States and the entire planet if we don't pay carbon taxes to Al Gore.
[00:12:57.431 --> 00:12:59.633]  That is not satire, that is not a joke.
[00:12:59.633 --> 00:13:02.015]  I know it's insane, but do not blame me.
[00:13:03.868 --> 00:13:06.750]  Do not blame me because it sounds insane.
[00:13:06.750 --> 00:13:08.352]  That's how dumb they think you are.
[00:13:08.352 --> 00:13:09.432]  There it is, Leningradian.
[00:13:09.432 --> 00:13:13.516]  Aliens may destroy humanity to protect other civilizations, say scientists.
[00:13:13.516 --> 00:13:16.398]  Rising greenhouse emissions could tip off aliens.
[00:13:16.398 --> 00:13:19.660]  We are rapidly expanding threat, warns a NASA report.
[00:13:19.660 --> 00:13:23.884]  And they say, pay money to the Rothschilds that own the big climate exchange with Al Gore.
[00:13:23.884 --> 00:13:25.045]  And that's who publicly owns it.
[00:13:25.045 --> 00:13:27.406]  Just type in Rothschilds Climate Exchange.
[00:13:27.406 --> 00:13:29.608]  Pay them to breathe or aliens will kill us.
[00:13:29.608 --> 00:13:32.470]  And the NASA report says the aliens may strike any minute.
[00:13:32.470 --> 00:13:32.651]  I mean,
[00:13:33.371 --> 00:13:42.996]  Ladies and gentlemen, I'm not the conspiracy theorist for being right 99% of the time and knowing how things work, okay?
[00:13:42.996 --> 00:13:45.718]  All right?
[00:13:45.718 --> 00:13:49.140]  They're shutting down power plants all over the country.
[00:13:49.140 --> 00:13:51.721]  They've shut down two in the last decade here in Austin.
[00:13:51.721 --> 00:13:54.103]  One of them was a city-owned utility.
[00:13:54.103 --> 00:13:55.784]  Now, why would big mega
[00:13:56.789 --> 00:14:05.551]  Power companies like General Electric who was given a waiver in February from their own rules that they wrote.
[00:14:05.551 --> 00:14:13.113]  Some of their former top people run the greenhouse gas section of the EPA.
[00:14:13.113 --> 00:14:17.474]  Just like Monsanto runs all the major Food and Drug Administration positions.
[00:14:17.474 --> 00:14:24.796]  Or the Goldman Sachs, JPMorgan have all the Federal Reserve honchos and Treasury Secretaries.
[00:14:24.796 --> 00:14:26.256]  This is a mafia operation.
[00:14:27.615 --> 00:14:30.157]  And they're giving a total waiver on all their plants.
[00:14:30.157 --> 00:14:32.298]  So they're building new ones.
[00:14:32.298 --> 00:14:37.561]  If you get them to build your plant and pay them protection money, then you are given a waiver.
[00:14:37.561 --> 00:14:44.845]  But the head of the Energy Department said just a few months ago, quote, massive numbers of plants will be shut down.
[00:14:44.845 --> 00:14:46.826]  He went on to say they're looking at shutting down over 300.
[00:14:46.826 --> 00:14:49.748]  Now, that's going to do two things.
[00:14:49.748 --> 00:14:53.770]  That's going to more than double, and I'm talking about the next two years, your power cost.
[00:14:53.770 --> 00:14:55.451]  You've already seen them go up more than double.
[00:14:57.325 --> 00:14:59.026]  And it's going to cause rolling blackouts.
[00:14:59.026 --> 00:15:03.668]  We're going to be like Romania, or Venezuela, or Iran now.
[00:15:03.668 --> 00:15:04.908]  We're going to be a third world country.
[00:15:04.908 --> 00:15:08.930]  And your power is going to go off a lot.
[00:15:08.930 --> 00:15:14.973]  See, this is what dictatorships and corrupt systems are all about, is total and complete domination.
[00:15:16.274 --> 00:15:21.897]  They'd rather sell you less for more, and only have a few insiders involved.
[00:15:21.897 --> 00:15:26.600]  So here is the Journal Sentinel, utilities warned of higher rates because of pollution rules.
[00:15:26.600 --> 00:15:31.122]  Here is the Washington Post, getting ready for a wave of coal plant shutdowns.
[00:15:31.122 --> 00:15:35.324]  That provides 51% of our power.
[00:15:35.324 --> 00:15:43.769]  And I've got a new one here, where the news breaks down new greenhouse gas rules to cause rolling blackouts.
[00:15:44.884 --> 00:15:46.425]  So, you know what?
[00:15:46.425 --> 00:15:52.948]  I'm going to finish up with how mafia government works in the next segment.
[00:15:52.948 --> 00:15:57.149]  Well, you saw thousands of companies get waivers from Obama from the healthcare.
[00:15:57.149 --> 00:15:57.410]  See?
[00:16:00.546 --> 00:16:03.891]  Congratulations to our friends at eFoodsDirect.com.
[00:16:03.891 --> 00:16:08.497]  In August, they celebrate 30 years in the long-term storable food business.
[00:16:08.497 --> 00:16:15.947]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:16:15.947 --> 00:16:16.928]  For a limited time, you can
[00:16:18.730 --> 00:16:24.994]  Get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:16:24.994 --> 00:16:32.379]  The Freedom Supply includes a large variety of fruits and vegetables, dairy, legumes, grains, sprouting seeds, and more.
[00:16:32.379 --> 00:16:35.601]  Plus, you get a generous supply of their quick-fix meals.
[00:16:35.601 --> 00:16:40.184]  This is the most complete, extensive, and affordable unit they have ever offered.
[00:16:40.184 --> 00:16:45.128]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get 30% off a one-year food supply.
[00:16:48.530 --> 00:16:51.813]  If you have ever considered getting a supply, now is the time.
[00:16:51.813 --> 00:16:54.015]  Call 800-409-5633.
[00:16:54.015 --> 00:17:00.501]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:17:00.501 --> 00:17:07.167]  When you're out on the road, the last place you want to be is on the road.
[00:17:07.167 --> 00:17:12.312]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:17:12.312 --> 00:17:14.193]  There's a place down in Tennessee
[00:17:16.383 --> 00:17:27.027]  Well they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[00:17:29.366 --> 00:17:34.109]  They put a Diamond Gusset in the crotch where you need it most.
[00:17:34.109 --> 00:17:37.952]  Blue Diamond Gussets got it.
[00:17:37.952 --> 00:17:39.173]  Others don't.
[00:17:39.173 --> 00:17:41.334]  We turn jeans inside out.
[00:17:41.334 --> 00:17:43.116]  Diamond Gusset Jeans.
[00:17:43.116 --> 00:17:45.998]  Made in the USA with unparalleled quality.
[00:17:45.998 --> 00:17:50.241]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:17:50.241 --> 00:17:52.622]  So you can ride all day with confidence.
[00:17:52.622 --> 00:17:55.324]  Order yours at gusset.com.
[00:17:55.324 --> 00:17:57.706]  Diamond Gusset Jeans got it.
[00:17:57.706 --> 00:17:58.186]  Others don't.
[00:18:01.098 --> 00:18:05.782]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:18:05.782 --> 00:18:12.229]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:18:12.229 --> 00:18:14.491]  Number one, study the past.
[00:18:14.491 --> 00:18:16.893]  History really does repeat itself.
[00:18:16.893 --> 00:18:20.616]  Number two, learn to spot the dangerous food shortage trends.
[00:18:21.744 --> 00:18:24.826]  Number three, take decisive action.
[00:18:24.826 --> 00:18:28.669]  A perfect storm is brewing, or a global food crisis.
[00:18:28.669 --> 00:18:37.715]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves, warning signs that trigger the deadliest famines in history.
[00:18:37.715 --> 00:18:41.138]  Don't get caught unprepared when the crisis hits.
[00:18:41.138 --> 00:18:45.641]  This book is only available at risingpricesemptyshelves.com.
[00:18:45.641 --> 00:18:49.844]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:18:50.544 --> 00:18:55.167]  Again, that website is risingpricesemptyshelves.com.
[00:18:55.167 --> 00:19:00.329]  That's risingpricesemptyshelves.com.
[00:19:00.329 --> 00:19:15.798]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:19:15.798 --> 00:19:19.480]  My name is Mario Cifaldi, and I'm the developer of the Silver Lungs Generator.
[00:19:20.478 --> 00:19:33.249]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:19:33.249 --> 00:19:40.514]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:19:41.195 --> 00:19:51.583]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:19:51.583 --> 00:19:55.505]  As well, we are always ready to answer any questions you may have.
[00:19:55.505 --> 00:19:58.608]  That's www.SilverLungs.com.
[00:20:01.127 --> 00:20:04.708]  Coast to coast, direct from Austin.
[00:20:04.708 --> 00:20:18.250]  You're listening to the Alex Jones Broadcasting Network.
[00:20:18.250 --> 00:20:26.532]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:20:28.689 --> 00:20:34.157]  Okay, we're gonna look at FEMA Camp USA and the proof that
[00:20:35.339 --> 00:20:42.641]  The federal government owned by foreign banks through fraud is preparing for a total collapse depression scenario.
[00:20:42.641 --> 00:20:45.462]  The Pentagon admits they're preparing for it.
[00:20:45.462 --> 00:20:57.126]  And the first lockup of roving hordes that the public will beg to be locked up because the minute the welfare crowd doesn't get their paycheck, they're going to riot.
[00:20:57.126 --> 00:21:01.207]  Then the precedent will be set to have the military on the streets.
[00:21:03.107 --> 00:21:16.572]  And then the staged events will begin as a pretext to go after the political resistance to the complete economic designed implosion of the United States.
[00:21:16.572 --> 00:21:20.754]  It has to be destroyed once and for all to bring in the new system.
[00:21:20.754 --> 00:21:31.138]  That's why they're doing these culturally shocking things like having TSA actually stick their hands down many people's pants or having cameras in school bathrooms.
[00:21:31.718 --> 00:21:39.785]  Or having public schools announce, yes, we're washing your children over laptops in the shower when they're at home in Philadelphia.
[00:21:39.785 --> 00:21:43.688]  This is all being done to absolutely break your will.
[00:21:43.688 --> 00:21:49.894]  That's why Bloomberg and AP come out and say, yeah, the government took the veterans death benefits for the last 12 years.
[00:21:49.894 --> 00:21:54.498]  They secretly made a deal to allow insurance companies to steal their life insurance they paid for.
[00:21:55.293 --> 00:22:03.416]  Yeah, they're going to go ahead and slash in half people who've served in the military for 20 years or more and have their 50% pension.
[00:22:03.416 --> 00:22:05.177]  You're not going to be getting it.
[00:22:05.177 --> 00:22:09.039]  Besides, even if you get it, it's going to be devalued.
[00:22:09.039 --> 00:22:18.563]  And they've done the psychological warfare actuaries that they know a lot of 50, 60, 70, 80-year-old vets, Marines and people, are going to get violent.
[00:22:18.563 --> 00:22:21.124]  And they're going to use that to start arresting everybody.
[00:22:21.864 --> 00:22:24.168]  The globalists are sitting offshore.
[00:22:24.168 --> 00:22:29.195]  They don't care if cops and military get chewed up fighting old cops and military.
[00:22:29.195 --> 00:22:32.740]  Again, the globalists, people think of things in a two-dimensional warfare model.
[00:22:34.008 --> 00:22:43.651]  of black against white, black checkers or red checkers versus black checkers, or white chess pieces versus black chess pieces.
[00:22:43.651 --> 00:22:45.172]  No, no, no, no, no, no, no.
[00:22:45.172 --> 00:22:55.236]  The globalists for thousands of years fund all sides of conflicts, sometimes three or four sides, but people don't want to get that.
[00:22:55.236 --> 00:23:01.738]  They think of it as Ford, Chevy, Coke, Pepsi, Dallas Cowboys, Washington Redskins.
[00:23:02.438 --> 00:23:08.463]  And because of that, because of that, we're going to get hurt real, real bad.
[00:23:08.463 --> 00:23:13.426]  I'm sorry, I said I'd get into the FEMA camps and how they're going to get us to the FEMA camps.
[00:23:13.426 --> 00:23:17.129]  Oh, you're going to be begging to go to the FEMA camps.
[00:23:17.129 --> 00:23:20.191]  This isn't going to be like with Hitler or Stalin where you don't want to go.
[00:23:20.191 --> 00:23:24.675]  The way they're going to advertise it is you're going to be fighting to get into them.
[00:23:24.675 --> 00:23:27.497]  I first discovered this going to urban warfare drills 12 years ago.
[00:23:29.654 --> 00:23:39.257]  And I guess, in some cases, 14 years ago, and they would always have the role players screaming, I'm an American, you can't take my rights, let me into the camp.
[00:23:39.257 --> 00:23:47.700]  Oh yes, but once you're in the camp, well, you are biometrically scanned and troublemakers are taken to a special area.
[00:23:47.700 --> 00:23:49.701]  And that's, lo and behold, what they said with the
[00:23:51.727 --> 00:23:54.328]  Emergency Centers Establishment Act.
[00:23:54.328 --> 00:24:01.910]  They said that this is going to be an area, and it'll have its own jail and things, where people that are homeless en masse go.
[00:24:01.910 --> 00:24:06.491]  And see, we already have right at 50 million people on food stamps.
[00:24:06.491 --> 00:24:10.412]  They say 45, but there's another 5 million or so on supplemental.
[00:24:10.412 --> 00:24:13.333]  In fact, it's really above 50 million now.
[00:24:13.333 --> 00:24:16.054]  Those are digital food lines.
[00:24:16.054 --> 00:24:19.895]  Those are people with food line cards.
[00:24:19.895 --> 00:24:20.215]  50 million.
[00:24:22.119 --> 00:24:24.882]  And see, they're still going to get their creds put on those.
[00:24:24.882 --> 00:24:28.305]  They're just not going to buy Jack Diddley's squat.
[00:24:28.305 --> 00:24:32.549]  And these are entitled people.
[00:24:32.549 --> 00:24:35.012]  And what do you think they're going to do?
[00:24:35.012 --> 00:24:37.054]  Well, they're going to start rioting.
[00:24:37.054 --> 00:24:38.816]  You think this summer's been bad?
[00:24:38.816 --> 00:24:41.558]  I predict next summer you're going to see major fireworks.
[00:24:41.558 --> 00:24:45.522]  You know, I predicted riots all over Europe two years ago.
[00:24:45.522 --> 00:24:46.103]  This year.
[00:24:47.891 --> 00:24:58.279]  Oh, I'm sorry, I was getting into the crony insiders and how our economy's going from a true free market to a total insider operation.
[00:24:58.279 --> 00:25:09.647]  If you read the Founding Fathers writings or you read Americana right up until the last 50 years, everything was about how the big boys collude together to shut down the little people.
[00:25:09.647 --> 00:25:11.588]  And that doesn't even mean in business.
[00:25:11.588 --> 00:25:16.452]  I mean, they will, Big Agra openly writes laws to shut down small farms and ranches.
[00:25:18.382 --> 00:25:29.252]  Insurance companies wrote the health care law to make 35 million people get their product and to let insurance companies and HMOs control what doctors can do for care to lower the standard.
[00:25:29.252 --> 00:25:30.493]  Bill Gates admitted that.
[00:25:30.493 --> 00:25:32.075]  He said, yeah, we do need to kill grandma.
[00:25:32.927 --> 00:25:34.288]  Remember the cover of Newsweek?
[00:25:34.288 --> 00:25:35.629]  The case for killing Granny?
[00:25:35.629 --> 00:25:38.090]  I know it sounds crazy, but it was on the cover.
[00:25:38.090 --> 00:25:39.631]  Bill Gates said it.
[00:25:39.631 --> 00:25:41.352]  Don't give Grandma treatment.
[00:25:41.352 --> 00:25:43.533]  Take care of ten teachers.
[00:25:43.533 --> 00:25:46.475]  Telling you that somebody loses, you win.
[00:25:46.475 --> 00:25:51.798]  The minute you have that attitude, civilization falls.
[00:25:51.798 --> 00:25:55.941]  The minute you give in to corruption, just a little bit, suddenly it races through the system.
[00:25:59.807 --> 00:26:01.008]  I thought everybody was like me.
[00:26:01.008 --> 00:26:15.762]  I mean, I come from both sides of my family, Christian, hard-working, Protestant-type people who just wouldn't cheat anybody out of a nickel, pull over and... I mean, I remember being a kid and going, Dad, please don't stop.
[00:26:15.762 --> 00:26:16.642]  Please, no.
[00:26:16.642 --> 00:26:20.206]  He stopped and tried to change every person's tire that was broken down.
[00:26:22.403 --> 00:26:24.524]  Road trips were hell.
[00:26:24.524 --> 00:26:27.726]  A few times people tried to rob him in the last few years, so he stopped.
[00:26:27.726 --> 00:26:29.226]  That's all part of the collapse of society.
[00:26:29.226 --> 00:26:31.487]  But I come from goody-two-shoes, you know?
[00:26:31.487 --> 00:26:32.908]  I'm a weirdo!
[00:26:32.908 --> 00:26:39.111]  You see, I grew up, and when I saw cops dealing drugs going to high school in Dallas, I got mad and spoke about it.
[00:26:39.111 --> 00:26:44.474]  So they let my dad know, we're gonna kill your son if you don't leave town, and we moved to Austin.
[00:26:44.474 --> 00:26:49.096]  I guess I've kind of got a Serpico-type lifestyle history.
