[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[08:35.000 --> 08:57.000]  I can assure you, but they say in the hundred years or so, they've been tracking asteroids with telescopes and radio systems. This is the closest one has ever passed. And it would be hundreds of thousands of megatons of the equivalent of hydrogen bombs going off if it was to actually hit the planet earth.
[08:57.000 --> 09:18.000]  Okay, so that story is obviously important, but we'll cover it more a little bit later in the transmission. The storm that has hit the northeast has killed reportedly 10 people and left millions without power and stranded 700,000 individuals.
[09:18.000 --> 09:29.000]  And my only question is this, why is FEMA again putting up signs outside their offices saying closed for the storm? I thought they're the people that are going to protect us.
[09:29.000 --> 09:49.000]  Winter storm buries northeast leaves 10 dead 700,000 powerless. I also was reading stranded New Englanders are digging out three feet of snow and I said before feet and stranded motors were still being reached by emergency crews early Sunday and one of the biggest blizzards of the generation left at least 10 people dead and over 700,000 electricity across the northeast.
[09:49.000 --> 10:05.000]  Of course, the answer to Nemo or Nemo, the storm is to pay Al Gore more money because every time there's bad weather, hot or cold Al Gore says pay carbon credits on all carbon dioxide that plants breathe and this bad weather will stop.
[10:05.000 --> 10:15.000]  There's always bad weather somewhere in the world. There's tens of thousands of micro climates in the planet. But that's just some of the news on that front.
[10:15.000 --> 10:30.000]  Israel is saying they may strike Syria on a routine basis now. And again, I'm not an enemy of Israel. But at the same time, Assad didn't attack anybody. He's been pretty mainline the last decades since his dad died.
[10:30.000 --> 10:45.000]  And our government and NATO are putting al Qaeda in Libya and Syria to take over those countries and they're engaged in ethnic cleansing of Christians and Muslim minorities and it's all on record. And you turn on CNN.
[10:45.000 --> 11:00.000]  And it's like the valiant freedom fighters move towards Damascus and on and on and on while they're they're the ones attacking and they're the ones committing the atrocities. This is not some internal operation overthrow the Assad regime.
[11:00.000 --> 11:14.000]  The the interest that have hijacked our country, the people that have conquered us through financial fraud, I'm going to get to that in a moment, are the ones using al Qaeda to take over Libya and Syria. And it's totally immoral.
[11:14.000 --> 11:28.000]  It's a preemptive invasion and some say, oh, come on, Alex, let's get rid of Arab dictators, but get rid of Mubarak and then put the Muslim Brotherhood in who are now running around sexually mutilating women and everything else.
[11:28.000 --> 11:44.000]  I mean, put put something 10 times worse in. In fact, how about 100 times worse because the Muslim Brotherhood is just funding fronting for the Saudi Arabia and the jihadis and now put actual al Qaeda and Libya and Syria and they're beheading Christians.
[11:44.000 --> 11:57.000]  And that's in the foreign news, but not on the news here. I mean, it's Twilight Zone. And then if I fly the TSA wants to grab my genitals because al Qaeda might be hiding in my Calvin Klein underwear or might be hiding in my fruit of the loom underwear.
[11:57.000 --> 12:10.000]  While the government runs al Qaeda, I mean, listen, I'm done. Okay, I'm done. Here's the Washington Post, Israeli strike in Syria might be first in series.
[12:10.000 --> 12:18.000]  And they just say, oh, we've taken four or five miles in a buffer zone. They already took some of that back in the 60s and why not just take the whole country as a buffer zone.
[12:18.000 --> 12:29.000]  And they say because of al Qaeda, you've got to love the fact that Israel, NATO, the United States, that is the interest running these countries.
[12:29.000 --> 12:38.000]  The people are all pretty much the same. They just want a good future for the children, whether you're Syrian, Israeli, American, French, pretty much humans are humans, people are people.
[12:38.000 --> 12:48.000]  But just the bizarreness that they're doing this in the media is not even making a big issue out of it. Even though we know it's controlled media, this is bizarre.
[12:48.000 --> 12:56.000]  I mean, this would be like saying Superman is Lex Luthor. You'd go, no, he's not Superman's the enemy of Lex Luthor.
[12:56.000 --> 13:10.000]  It's that dumbed down and bizarro to use another term out of comic books that this is going on that it doesn't even compute for me. I mean, that's how stupid the system thinks you are.
[13:10.000 --> 13:15.000]  The propaganda is targeted at about a third grade level, literally.
[13:15.000 --> 13:28.000]  The bad man wear turban. We take your rights and set up checkpoint for bad man in turban. I'm like, well, and we're a lucky CIA. It's been leaked and confirmed that he hangs out at the Pentagon and got orders.
[13:28.000 --> 13:41.000]  No, he's bad man in turban. No, no, he works for you. What you say America al Qaeda, no criminal elements that have hijacked America are using al Qaeda to take over whoever they want.
[13:41.000 --> 13:52.000]  And to menace us so the system can play the part of the good cop and take our rights. You understand that the foreign banks of the good cop, the bad cop is al Qaeda.
[13:52.000 --> 14:02.000]  It's very elementary. It's very elementary. Senator Palpatine hires mercenaries to attack his own planet to become dictator.
[14:02.000 --> 14:17.000]  Star Wars, episode three, five year olds can figure it out. Can adults figure it out? Can you figure it out? Can you figure it out? Can you figure it out? That is the $64 trillion question.
[14:17.000 --> 14:35.000]  All right, when we come back here, that's just some of the news. DHS, watchdog, OK's, suspicion with seizures of electronic devices along border. And the problem is they grab US citizens computers and sometimes just don't give them back when you fly in.
[14:35.000 --> 14:47.000]  And then the last time before they got stopped, they were doing it to anybody that flew. They just take your laptop and download the contents without a warrant. Police are now doing this with your cell phones saying it's not part of your person papers or effects.
[14:47.000 --> 15:11.000]  Really, Fourth Amendment person papers or effects. My iPhone is not my effects. And then we've got another one even bigger here. Shyspa back hacking online espionage. Resurrect cybersecurity bill, which even seen at news that CBS shows is Russian or Chinese style internet censorship.
[15:11.000 --> 15:29.000]  So all of that is coming up. But first, when we come back, the top stories. We have been maneuvered by design to be debtors to the communist Chinese and the globalists are on record saying they're going to impoverish Americans but also Westerners as a tool of political control.
[15:29.000 --> 15:43.000]  And I'm going to tie that into the police state. Christopher Dorner, the first US homeland drone strike victim current TV saying that the Al Jazeera and Al Gore run system. And we've got it also out of Reuters, but it's not true.
[15:43.000 --> 15:51.000]  Because look at this meet the North Dakota family of anti government separatists busted by cops using a predator drone. That was two years ago.
[15:51.000 --> 16:02.000]  They're using drones all the time. The military industrial complex that Dwight D Eisenhower warned us about. But I guess he's with Al Qaeda.
[16:02.000 --> 16:14.000]  If you want an American company with American products made by Americans, here is the Cal Bend soap company. Alex and his staff have used these pure soap products for years.
[16:14.000 --> 16:21.000]  These all natural soaps are made from the highest quality vegetable and coconut oils that are earth friendly and safe.
[16:21.000 --> 16:29.000]  See them on the web at five stars soap dot com or call 800-340-7091 for a free catalog.
[16:29.000 --> 16:40.000]  Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soaps for all your cleaning needs.
[16:40.000 --> 16:47.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[16:47.000 --> 16:59.000]  See them on the web at five stars soap dot com or call 800-340-7091 for a free catalog.
[16:59.000 --> 17:15.000]  Alex Jones here with a message to fellow freedom lovers. The prognosis for the entire planetary economic system runs from bad to worse. The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[17:15.000 --> 17:25.000]  That's why we've assembled the most vital and important preparedness items at info wars shop dot com. These are items that I did research on that I personally use.
[17:25.000 --> 17:35.000]  You've got the life straw so you can turn fetted water into safe water anywhere you go. The K-Tour hand crank generator to charge up key equipment during power outages or out in the field.
[17:35.000 --> 17:45.000]  Strategic relocation third edition by Joel Scousum. When disaster strikes by Matthew Stein, they're a safe used by Homeland Security to protect yourself during any radiological event.
[17:45.000 --> 17:55.000]  Hand crank shortwave AMFM radios. Everything that we've researched and found to be the best is available at info wars shop dot com and your purchase makes our info war possible.
[17:55.000 --> 17:59.000]  We're getting prepared. Are you info wars shop dot com.
[17:59.000 --> 18:09.000]  You prepare by purchasing gold food and firearms, but if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[18:09.000 --> 18:19.000]  When you're sleeping or away from home, who's watching out for intruders. Check out simply safe. It's a new do it yourself home security system that is completely wireless.
[18:19.000 --> 18:29.000]  Go to get simply safe dot com. Simply safe is independent and off the grid. It runs on battery power. So even if the grid goes down, you're protected.
[18:29.000 --> 18:42.000]  It's completely customizable so you can use it in your home business boat trailer storage unit or shed. Get simply safe dot com. Simply safe is also ridiculously easy to install yourself in under 20 minutes.
[18:42.000 --> 18:49.000]  So there's no need to let a stranger into your home. If you move or need to relocate, you can take the system with you wherever you go.
[18:49.000 --> 18:59.000]  You aren't always at home, but simply safe will stand guard protecting your property 24 hours a day, seven days a week. Again, that's get simply safe dot com.
[19:19.000 --> 19:40.000]  It is the only one that does it and out of the gates. We have a discounted at 10% off with promo code water. This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines,
[19:40.000 --> 19:50.000]  ammonia and chlorine hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate.
[19:50.000 --> 20:11.000]  Get your pro pure with a new pro one filter today at infowarstore.com or by calling 888-253-3139.
[20:20.000 --> 20:46.000]  All right, welcome back my friends Alex Jones here live as we are every Sunday, four to 6pm syndicated weekday transmission. Of course, 11am to 2pm central standard time as well.
[20:46.000 --> 21:10.000]  Okay, where to start here in the second hour I'm going to open the phones up specifically for the families and those that have been victimized by the epidemic of suicides by active duty but also of veterans now 22 a day as of just a few weeks ago.
[21:10.000 --> 21:25.000]  And the mainstream media doesn't want to focus on this. The system, the establishment just wants to wrap itself in the heroism of the men and women of the armed services and their missions.
[21:25.000 --> 21:40.000]  They want to get reflected glory from it and then speak for them while stealing their pension funds, while using them for guinea pigs and medical experiments. The list goes on and on. We're going to really talk about this in the second hour on the Sunday
[21:40.000 --> 21:55.000]  session and humanize these folks. You can hear them call in hear their names. I mean, I myself could go pull up local news articles all over the place. I mean, I know people who've got family in the military who've committed suicide.
[21:55.000 --> 22:12.000]  I know you know people. I mean, it's 22 a day. It's over 10,000 just the last few years. It dwarfs combat related fatalities. And so you're going to hear all this hype about 20 dead children at Sandy Hook and we need to turn our guns in or you're going
[22:12.000 --> 22:27.000]  to hear we got to shut down all of Southern California and have a total police state forever because one individual allegedly goes crazy and kills three police. But you're not going to hear the media get all hysterical and chew their fingernails and hide
[22:27.000 --> 22:42.000]  it under the table over 22 servicemen and women committing suicide every single day. So we're going to be hearing from callers. I mean, I could easily get family members of folks that have died here in studio but instead we'll just hear from you
[22:42.000 --> 23:00.000]  specifically if you've lost family direct family close relation and we don't screen calls here but occasionally I give out the number and say only on this topic and so it is only on that topic when I get the number out at the end of the hour coming up here in about
[23:00.000 --> 23:18.000]  37 minutes from now. So standby for that we want to get your take on the situation or why you think it's happening. I mean, I know why it's happening. It's a cocktail of reasons but too many tears, psychotropic drugs, experimental drug programs and coming home and there's
[23:18.000 --> 23:32.000]  not being jobs and a lot of people are scared events and they shouldn't be because statistically they're not any more violent than anybody else. In fact, some of the best workers out there in my experience but you got a lot of people that don't like veterans
[23:32.000 --> 23:50.000]  and you got Homeland Security saying they're the number one terror threat. Well, I guess if you're afraid of Americans taking the country back ever, I guess the British government listed former veterans of the Redcoats and former veterans of the French and Indian
[23:50.000 --> 24:09.000]  war to be rounded up and have their guns turned in 1775. This isn't the first time corrupt empires have tried to disarm the veterans. After the Tsars fell, the Soviets did it. Well, before they became the Soviet Empire, the Communists did it, the Bolsheviks did it. I don't want to digress into a history lesson.
[24:09.000 --> 24:30.000]  I'm going to get to that in the next segment on why we've been maneuvered by the globalist to be absolutely bankrupted by design and I want to break down how that ties into Agenda 21. China eclipses U.S. as big as trading nation measured in goods, Bloomberg and we'll get into what the Federal Reserve's up to now.
[24:30.000 --> 24:47.000]  Now, that's the real Rubicon right there as of 2012 numbers. They now come out month and a half later as they always do. The only reason the U.S. is still a bigger GDP than China is the fiat money, the Federal Reserve notes.
[24:47.000 --> 25:03.000]  And they're rapidly devaluing those because here in this article, Fed's holdings of U.S. government debt, notice it says feds, that's the private Federal Reserve, but they're backed up by the Treasury. So they want to buy it because the U.S. taxpayer has to back it up.
[25:03.000 --> 25:23.000]  They buy it with fiat zeros and ones. Federal Reserve just puts it on a ballot sheet. They buy our debt and then sell it to the Communist Chinese and others or hold it. And then we in turn, the American people have to pay it back to the Fed, which is the private Federal Reserve set up by Standard Oil and others in 1913.
[25:23.000 --> 25:35.000]  It's just a giant. We can't just arrest these people like Bernie Manoff and Ken Lay. It can all end real quick. Sure, it takes some triaging debt, riding it off. They're already riding off this debt, by the way. They're fake debt.
[25:35.000 --> 25:50.000]  They just use it as a black hole to shove our money into to get us more into debt because, again, when you're involved in fiat, the only reason it's valuable is getting us to accept it and believe it's our debt to then get real assets.
[25:50.000 --> 26:10.000]  It's not just getting real assets. It's being able to selectively enforce and shut down your competition. You know, just 30 years ago, if you study the history of it, when Republicans got in office, they would audit all the Democrats.
[26:10.000 --> 26:23.000]  That is Democrats in federal government. They would harass them. When Democrats got in, they would do the same thing. And the kibosh kind of got put on that with Nixon, so I guess about 38 years ago or so. He got in trouble for that.
[26:23.000 --> 26:39.000]  Now, the parties don't do it to each other so much because they're all one big criminal gang at the top at the committee chairman level. They do it to the American people and they do it to former CIA, FBI folks that haven't told the line.
[26:39.000 --> 26:45.000]  And the words out there, keep your mouth shut or you'll, you know, we'll come take everything you got. I mean, it's just such intimidation.
[26:45.000 --> 27:06.000]  There were resting whistleblowers that exposed torture and putting them in jail for 30 months. I mean, you know, the CIA guy last week just got convicted. I mean, if this is when liberty and freedom fails, the best men rot in filthy jails and those that cried appease, appease are hung by those they tried to please.
[27:06.000 --> 27:19.000]  I mean, there's no doubt that you know what a red and silver 57 Chevy looks like. You know what a 69 Corvette looks like. Don't you?
[27:19.000 --> 27:32.000]  You know what an elephant looks like. This looks like a big, nasty, stinking, dangerous, horrible, aggressive, malignant, super cancer tyranny, super cancer tyranny.
[27:32.000 --> 27:49.000]  The government gone absolutely crazy haywire power trip from every level unaccountable, more and more. The only areas of the country still growing, still prospering despite the depression are areas that were behind the curve on big government like Texas.
[27:49.000 --> 28:02.000]  And we're still an incredible third world police state compared to many other areas in our past. It's just that we're a part of the body, you know, a group of organs that don't have all the deadly cancer completely yet.
[28:02.000 --> 28:11.000]  And we're not going into organ failure yet. So everybody's like running here as a lifeboat. It's being swamped. And the globalist goal is to swamp us, is to sink us.
[28:11.000 --> 28:19.000]  I'm going to explain that in the next segment. In fact, I said in the next segment, I'm already into the next segment and haven't gotten to my next big piece of news.
[28:19.000 --> 28:32.000]  When we come back, I'll get into Christopher Dorner. And again, the story is overblown and hyped, but in the story, you can educate and inform people about how the world really works.
[28:32.000 --> 28:41.000]  It is a treasure trove, despite the fact that it's a tragedy, to understand the mind of megalomania and delusional fruitcakeism.
[28:41.000 --> 28:50.000]  I mean, the gleam in the sky's eyes, the pride, you can look at it as manifesto all over. This is real. This isn't one of their staged events.
[28:50.000 --> 29:03.000]  It illustrates the spirit infecting government. We'll be right back.
[29:21.000 --> 29:30.000]  Now being expanded nationwide, this documentary exposes how the continuity of government program has established an old powerful shadow state.
[29:30.000 --> 29:34.000]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[29:34.000 --> 29:44.000]  Prepare to enter the secretive world of emergency dictatorship, body scanners, sound cameras, citizen spies, staged terror and cameras on every street corner.
[29:44.000 --> 29:51.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here.
[29:51.000 --> 30:18.000]  Secure your copy today at infowars.com or see it online in the highest quality at PrisonPlanet.tv.
[30:21.000 --> 30:24.000]  Danny from New York City wrote in following Hurricane Sandy and said,
[30:24.000 --> 30:52.000]  Almost all the grocery stores are closed, but I managed to get my e-foods just in time to be able to help my sister and my niece.
[30:52.000 --> 31:07.000]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[31:07.000 --> 31:14.000]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver based products.
[31:14.000 --> 31:25.000]  Our most popular silver based products are the 32 oz nano silver solutions, our 2 oz nano silver nasal applicators, as well as our all natural silver soaps.
[31:25.000 --> 31:36.000]  Just released is our 100% natural silver gel. Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[31:36.000 --> 31:47.000]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[31:47.000 --> 31:56.000]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[31:56.000 --> 32:07.000]  That's www.silverlungs.com.
[32:26.000 --> 32:46.000]  Supernatural silver is scientifically supported, extremely safe and is the number one choice of thousands of people for immune system support.
[32:46.000 --> 33:00.000]  How Supernatural Silver could change your life, go to www.supernaturalsilver.com and use the promo code healthy for 20% off. That's www.supernaturalsilver.com and like us on Facebook.
[33:16.000 --> 33:38.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[33:38.000 --> 33:47.000]  There is no turning back on the road, on the run.
[33:47.000 --> 34:09.000]  The news websites are infowars.com and prisonplanet.com and the site where we have the nightly news at weeknight 7 o'clock. We also stream video of the weekday radio show and of course the Sunday 4-6 special transmission are all streamed at infowarsnews.com.
[34:09.000 --> 34:14.000]  That will take you over to prisonplanet.tv.
[34:14.000 --> 34:21.000]  Okay, where to begin on this subject of Christopher Dorner.
[34:21.000 --> 34:28.000]  I covered some of this on Friday, the MO. When does something have the telltale signs of being staged? When doesn't it?
[34:28.000 --> 34:41.000]  When the media seizes on something instantly with a scripted focus of talking points, they are using a crisis to take liberties or they allowed it to happen or are involved.
[34:41.000 --> 34:53.000]  There have been cases of all of those permutations on record of staged events or provocateur events throughout history, not just with our government but countless other governments.
[34:53.000 --> 35:04.000]  I've read the manifesto, the two manifestos and it fits into the narcissistic kind of mental illness of someone who's kicked out of the party.
[35:04.000 --> 35:13.000]  Oh, special ops, anti-terror, training and then assigned, a guy that's going to be Jack Bauer, 24.
[35:13.000 --> 35:19.000]  And then he's assigned to the LAPD and all the corruption he sees and he says that he sees racism.
[35:19.000 --> 35:27.000]  And so now the media is like, maybe it is racism. We're going to reopen his firing case in 2007, 2008.
[35:27.000 --> 35:52.000]  All of this tells you that it's a real event. Now, regardless of all of this, they could certainly piggy bank other things on it to kind of use this down the road to save this crisis to put it in that political piggy bank to use the capital later.
[35:52.000 --> 36:02.000]  California has introduced legislation that makes people turn in all their semi-automatics. That's going to cause even faster exodus from California, which is exactly what the globalists want.
[36:02.000 --> 36:05.000]  They want it to implode so they can consolidate power.
[36:05.000 --> 36:15.000]  But regardless, you've had now several vehicles shot up. One case wasn't even a truck and another case was the wrong-making model, wrong color.
[36:15.000 --> 36:22.000]  The guy had a silver truck. It's a blue truck with women in it. And there's no apologies. It's just we're scared.
[36:22.000 --> 36:37.000]  And the image of tens of thousands of police up in the snow-capped mountains of California running around in giant armored combat gear that they can hardly walk in, it's ridiculous.
[36:37.000 --> 36:45.000]  Police officers are supposed to be investigators. They're supposed to be community service. They're supposed to be peacemakers. They're supposed to be peace officers.
[36:45.000 --> 36:54.000]  But see, they've militarized police and made them part of Homeland Security, and military goes and kills people and breaks things.
[36:54.000 --> 36:58.000]  And so that's the military we have here domestically now.
[36:58.000 --> 37:09.000]  And you're going to have some of their people go haywire because they've been educated and trained and prepped and prepared.
[37:09.000 --> 37:16.000]  I mean, if you train to pit bull all day to go out and attack people, don't be surprised when it goes out and attacks people.
[37:16.000 --> 37:20.000]  You're like, yeah, but they're supposed to target terrorists or they're supposed to target bad guys.
[37:20.000 --> 37:27.000]  Well, what if the system is the bad guys? It's going to turn inward on itself.
[37:27.000 --> 37:38.000]  And the larger issue in all of this is you've got one guy that's killed three people and shot two others allegedly, reportedly.
[37:38.000 --> 37:53.000]  And you've got the police. Because I've watched it on the news. You've watched it, the photos, the combat gear, the beat cops walking around with sound suppression silencers on 308s,
[37:53.000 --> 38:04.000]  creepers, M4, M16s, you name it. And the cops literally are acting like they could die any minute.
[38:04.000 --> 38:08.000]  I mean, I go do speaking engagements and don't have any security there to check anybody.
[38:08.000 --> 38:13.000]  And I walk out and talk to 2,000 people and I'm not even scared. I just walk out there. Something's going to happen. It's going to happen.
[38:13.000 --> 38:18.000]  It's like I drove here today. The most dangerous thing you can do is drive.
[38:18.000 --> 38:23.000]  And I don't look shaking and scared the whole time. I try to drive defensively.
[38:23.000 --> 38:29.000]  But it just shows the cultural mind control because I've watched a lot of this and I've watched local news feeds.
[38:29.000 --> 38:34.000]  And these aren't cops that know they're being videotaped out of store windows by the local news.
[38:34.000 --> 38:41.000]  I mean, the cops are running around in a giant drama queen, pity party.
[38:41.000 --> 38:46.000]  We have become a nation of drama queens, not just the police. And not all police departments are like this.
[38:46.000 --> 38:49.000]  And I know some LAPD people as well, and they never acted like this.
[38:49.000 --> 38:55.000]  I mean, this is drama queen central.
[38:55.000 --> 39:05.000]  And the globalist plan on record now to have a civil war that they instigate and start in this country by targeting gun owners,
[39:05.000 --> 39:10.000]  harassing gun owners, when gun owners start fighting back, start resisting, they're going to be called terrorists.
[39:10.000 --> 39:15.000]  And a lot of people are going to say, okay, I'm a terrorist. I'm going to start going out there and going after people.
[39:15.000 --> 39:20.000]  And I've always made this point. We don't want to go there. That's the last place we want to be.
[39:20.000 --> 39:27.000]  See, I'm not a guy dressed up in a bunch of Darth Vader gear trying to act tough and staying there on the street corner trying to scare little kids.
[39:27.000 --> 39:32.000]  You understand? I've really studied history. I know what a real war will be.
[39:32.000 --> 39:37.000]  I know the globalists want it because they win either way because it's going to destroy our economy and destroy our culture.
[39:37.000 --> 39:40.000]  But the entire preparation isn't to fight al-Qaeda now.
[39:40.000 --> 39:48.000]  In the training manuals, the TV shows, the dramas on TV to get the public ready for it, like I hate Paul Revere and Founding Fathers,
[39:48.000 --> 39:56.000]  that the new al-Qaeda is gun owning conservatives. That's the new West Point reports, two different ones saying the Tea Party is going to join al-Qaeda.
[39:56.000 --> 40:03.000]  And you know that's ridiculous. They don't care. Maybe 10% of the public's Tea Party, they're going to tell the 90% that we're al-Qaeda.
[40:03.000 --> 40:07.000]  West Point now teaches that. The Army War College now teaches that.
[40:07.000 --> 40:15.000]  They have TV shows because it's not real like Founding Fathers where the militia leader is really al-Qaeda, but the militia doesn't know.
[40:15.000 --> 40:21.000]  You're like, but that's just ridiculous. I mean, the Tea Party would never, it doesn't matter. It's on TV.
[40:21.000 --> 40:28.000]  And you've got a bunch of people like these cops in L.A. who statistically more of them are going to die this weekend car wrecks
