[00:00.000 --> 00:02.000]  We've got it.
[06:57.540 --> 07:01.780]  It will secretly kill US citizens or arrest you and have you disappear into a black hole
[07:02.500 --> 07:07.540]  Taxes at the county city state federal international level are
[07:08.660 --> 07:13.300]  Exploding school children are being taught to spy on their parents, but by golly
[07:14.900 --> 07:20.420]  You can go sit around with your friends and just everybody can get a real serious look on their face and oh
[07:20.420 --> 07:28.420]  Oh stop my heart breathe real deep that you know when they have the kickoffs and when they have special teams and when they have a
[07:28.900 --> 07:31.700]  When they have them get up there for a for a field goal
[07:32.420 --> 07:37.540]  I mean why I've been in restaurants when people are watching a football game and and and and and you see this
[07:38.260 --> 07:40.420]  Electricity in their eyes that you see for nothing else
[07:41.140 --> 07:43.140]  I wish people
[07:43.220 --> 07:48.340]  Had a little comments about the bill of rights and constitution and our heritage that made America so great
[07:48.340 --> 07:50.580]  On the backs of their cars, but instead
[07:51.300 --> 07:53.780]  No, they've got their favorite sports team
[07:54.900 --> 08:00.100]  And see I've read all the government documents and read them here on air where the anthropologists sociologists
[08:01.060 --> 08:06.900]  Psychologists talk about using sports going back a hundred years ago to create arrested development in men
[08:08.020 --> 08:10.020]  To take your normal tribal energies
[08:10.740 --> 08:14.740]  And to arrest your development and to make you obsessed with lotteries
[08:14.740 --> 08:23.940]  Uh with sports and with things that don't matter so the global social engineers can go about life actually controlling society
[08:25.300 --> 08:27.860]  You see until just 50 60 years ago or so
[08:28.500 --> 08:32.020]  Sports were something that children were into
[08:32.900 --> 08:36.820]  And they were something that the very poorest classes were into
[08:37.700 --> 08:41.780]  The very poorest people were into gambling
[08:41.780 --> 08:43.780]  And they were into sports
[08:47.220 --> 08:52.420]  And in Rome it was called bread and circus welfare you they gave you bread
[08:53.060 --> 08:55.940]  That was the welfare doll for everybody to make you dependent
[08:56.580 --> 09:02.660]  In the lower classes and circuses government free sponsored sporting events
[09:04.020 --> 09:07.620]  And that's what the culture was into so here's the deal
[09:07.620 --> 09:15.620]  I like football growing up as much as the next person. I like basketball, baseball all of it. Okay
[09:18.260 --> 09:23.700]  But at the end of the day it's being used by social engineers
[09:25.460 --> 09:32.020]  To totally distract society from real things that are happening and that's why i'm upset about it and I know that
[09:32.020 --> 09:39.940]  A lot of people aren't conscious of this and I think you should be conscious of it. You see you need to see yourself
[09:41.220 --> 09:47.540]  As a winner you need to have successes in your life that aren't through somebody else
[09:49.620 --> 09:56.100]  And it is very very sick how men sit around and get just crazed looks in their eyes
[09:56.100 --> 10:03.700]  And argue with each other and show off to each other who knows the most about golf or who knows the most about this or that
[10:03.940 --> 10:08.180]  I'm not saying sports aren't a good thing if you're playing them. It's good. It's healthy
[10:08.500 --> 10:10.500]  It's something that should be part of your life
[10:10.820 --> 10:13.540]  But when it's everything in your life
[10:14.180 --> 10:20.180]  And the family's breaking down and society is degenerating and all these other things are unfolding
[10:22.340 --> 10:24.340]  It is very very sick
[10:24.340 --> 10:28.100]  And every civilization that is on the verge of
[10:29.060 --> 10:31.060]  giant wars imperial
[10:33.540 --> 10:35.540]  Tasmanian devil behavior
[10:36.580 --> 10:39.060]  expansionist wars corruption and collapse
[10:39.940 --> 10:41.380]  sports
[10:41.380 --> 10:43.140]  promiscuity
[10:43.140 --> 10:45.140]  family breaking down
[10:46.020 --> 10:49.220]  Decadence and and people saying I don't care
[10:49.220 --> 10:55.220]  Devil take the rest. I don't care about anybody but myself. Those are always the hallmarks
[10:56.020 --> 10:58.020]  the signpost
[10:58.020 --> 11:00.420]  For a society that is in deep trouble
[11:02.340 --> 11:04.340]  Nazi Germany
[11:04.900 --> 11:08.500]  In the build-up to Hitler totally obsessed with
[11:09.620 --> 11:13.140]  Sports with entertainment with gambling
[11:14.420 --> 11:16.420]  And people got an attitude of so what?
[11:16.420 --> 11:20.020]  Same thing has happened in every other culture. I mean here's an article
[11:20.820 --> 11:22.820]  Right here out of CBS news
[11:24.100 --> 11:26.100]  That
[11:26.180 --> 11:31.300]  Reminds me of a CNN story two days three days ago about a national survey
[11:32.100 --> 11:33.620]  headline
[11:33.620 --> 11:35.620]  consumer staying single
[11:36.660 --> 11:41.620]  And it went through the number that in just the last 30 years. They've doubled the number of
[11:41.620 --> 11:47.380]  Single people and within another two decades
[11:48.420 --> 11:55.860]  70% of people in this country will be single now. That's not a judgment about you being
[11:57.140 --> 12:01.940]  Single so you're bad. There's a lot of reasons for that. Some people are divorced. They choose to be single
[12:02.900 --> 12:04.900]  Whatever the case is but
[12:05.940 --> 12:07.940]  Expanding on that
[12:07.940 --> 12:09.940]  Expanding on that
[12:11.620 --> 12:16.980]  You cannot deny that in the textbooks we've read here on air the globalist white papers
[12:16.980 --> 12:21.940]  We've read the un documents the Planned Parenthood documents going back 50 60 70 years
[12:23.060 --> 12:25.060]  That we've done special reports on they say
[12:25.620 --> 12:31.700]  We're going to push not getting married. We're going to push open relationships. We're going to push
[12:32.420 --> 12:34.260]  chemicals in the water
[12:34.260 --> 12:38.100]  To reduce fertility and confuse sexual gender identity
[12:38.660 --> 12:45.460]  There's so much of this stuff in our water folks that the runoff into streams and rivers you can just type in fish now
[12:46.340 --> 12:50.500]  Either sterile or bisexual lizards amphibians the frogs
[12:51.620 --> 12:53.620]  It's so bad that the shrimp
[12:54.740 --> 13:01.780]  Are committing suicide in the Gulf of Mexico. There it is sex turns off many young Japanese men study
[13:01.780 --> 13:06.020]  Guys people won't believe about the shrimp committing suicide type in
[13:07.140 --> 13:09.140]  a shrimp commit suicide
[13:09.700 --> 13:12.980]  Prozac making shrimp commit suicide. It's a u.s. government report
[13:13.780 --> 13:17.380]  So much prozac is getting into the water out of the Mississippi
[13:18.980 --> 13:23.460]  Because of sewage runoff and some people are on serotonin reuptake inhibitors
[13:25.300 --> 13:29.300]  So much of it's running into the Mississippi other rivers that the shrimp
[13:29.300 --> 13:35.300]  Are on the mind-blasting fluoride-based chemical
[13:36.980 --> 13:39.220]  Now there's the headline that's not a mother nature network
[13:39.220 --> 13:44.820]  But it was originally MSNBC shrimp on prozac commit suicide study finds that shrimp swimming in prozac at every water
[13:45.780 --> 13:47.140]  tend to
[13:47.140 --> 13:50.740]  Just basically swim. We'll put it back on screen. I need to read the headline. Thanks
[13:51.300 --> 13:52.340]  Uh
[13:52.340 --> 13:56.900]  Yeah, because I was going to read the rest of the article and I I I hadn't read the the the rest of the headlines
[13:56.900 --> 13:58.740]  I won't be able to finish it
[13:58.740 --> 14:04.660]  The study finds that shrimp swimming in prozac at every water tend to swim towards the light making them easier pray
[14:05.860 --> 14:10.740]  And if you actually read deeper into the study, it's that they're not afraid of predators anymore
[14:12.260 --> 14:18.340]  It it it puts the humans and mammals and this is in the studies from the early 80s before they approved it
[14:18.820 --> 14:24.740]  Eli Lilly's prozac and there were hundreds of other variants of it over the next few decades worldwide that came out
[14:25.060 --> 14:27.060]  More than 30 variants here in the u.s
[14:27.060 --> 14:29.060]  But um
[14:30.420 --> 14:32.420]  What ends up happening
[14:33.860 --> 14:37.860]  Is every time the police pull up at a house and the woman's chopped her children up or
[14:38.020 --> 14:42.580]  Driven a car off a bridge with her kids in it or every time they go to a school
[14:42.580 --> 14:45.780]  There's a bunch of people shot in every case that I've ever seen
[14:46.900 --> 14:51.380]  They're on serotonin reuptake inhibitors because it's in the hallucinogen
[14:52.500 --> 14:54.500]  psychotropic class and on record
[14:54.500 --> 14:56.500]  Just go research it
[14:57.220 --> 15:00.740]  Puts you into a dream state into a highly suggestible
[15:01.460 --> 15:02.980]  hypnotized
[15:02.980 --> 15:04.980]  sleep state
[15:07.220 --> 15:11.540]  I mean I a few times I'm not putting these women down but in college and stuff dated girls
[15:11.540 --> 15:17.060]  I found out we're on serotonin reuptake inhibitors and I didn't even know but after a few dating four or five of them
[15:17.060 --> 15:19.060]  I would say are you taking SSRI's?
[15:20.740 --> 15:22.740]  And they'd be like yes, I do
[15:22.740 --> 15:28.340]  And I'm not going to get into how I figured out and could tell they were it's just that it's like they weren't there
[15:29.540 --> 15:34.580]  And they would well not going to get into it. The point is is they were in dream states
[15:35.460 --> 15:38.900]  Now I haven't even gotten into Iran. It's escalating towards war
[15:39.540 --> 15:42.740]  Uh a huge group of government documents and reports out
[15:43.300 --> 15:46.820]  Where the globalists are openly talking about staging false flags
[15:47.220 --> 15:51.780]  These are in public documents like you and I are idiots and don't read them saying this
[15:51.780 --> 15:53.780]  So then when they stage the attacks
[15:54.180 --> 15:57.780]  They can grandstand as heroes and we're like but you said you'd stage them
[16:00.420 --> 16:03.140]  I've been telling you about e-foods direct for a while now
[16:03.380 --> 16:07.540]  Here are my top 10 reasons to stock up on food for me foods direct number 10
[16:07.620 --> 16:12.740]  The food I get from e-foods direct tastes great number nine the e-foods meals are easy to prepare
[16:12.980 --> 16:18.980]  Eight e-foods direct delivers the food right to my front door seven most of these meals cost less than two dollars
[16:18.980 --> 16:22.820]  Six with their large variety. I can eat it every day five
[16:23.140 --> 16:28.580]  I always have access to high quality and delicious food number four e-foods products don't spoil
[16:28.820 --> 16:34.260]  So I never waste any food three e-foods uses only safe healthy ingredients number two
[16:34.500 --> 16:39.300]  I have my own food supply and don't depend on the grocery store and the number one reason
[16:39.540 --> 16:46.420]  I promote e-foods direct is they build special offers just for my listeners folks. Don't wait get prepared now
[16:46.420 --> 16:53.460]  We all need to be self-sufficient call e-foods direct at 800 409 5633 and ask for the alex jones special
[16:53.540 --> 16:59.460]  Call e-foods direct at 800 409 5633 or e-foods direct dot com forward slash alex
[16:59.780 --> 17:08.500]  This is alex jones with five good reasons you should consider buying a solar power generator number one new climate legislation could easily double or triple your electric bill
[17:08.740 --> 17:14.180]  Number two our new energies are wants to control how much power your electric company allows you to have
[17:14.180 --> 17:19.860]  It's true total government control of electricity in the name of smart grid technology is coming
[17:20.100 --> 17:26.500]  Number three in some areas of the country the power grid is dangerously overloaded and now new socialist legislation
[17:26.740 --> 17:34.340]  Is only compounding the problem number four dangerous weather is always a threat to local grids every year thousands of families lose their power from
[17:34.420 --> 17:40.820]  Weather related onages number five a solar power generator provides powerful backup insurance and peace of mind folks
[17:40.820 --> 17:45.460]  I really believe in the solar power generators offered by solutions from science one of my oldest sponsors
[17:45.620 --> 17:51.380]  You can get more information at www dot my solar backup dot com. That's my solar backup dot com
[17:51.620 --> 17:59.300]  Remember the government doesn't own the sun. So go to my solar backup dot com or call one eight seven seven three two seven zero three six five
[18:01.460 --> 18:02.980]  Hi folks, this is alex jones
[18:02.980 --> 18:08.500]  I want to tell you about the silver lungs generator now you can produce pure and endless colloidal silver
[18:08.500 --> 18:13.700]  And deliver the solution directly into the bloodstream by breathing the solution through the lungs
[18:14.260 --> 18:18.420]  The respiratory system is the first line of defense for airborne pathogens and viruses
[18:18.900 --> 18:24.980]  The silver lungs generator infuses the respiratory system with your self produced nano silver solutions
[18:25.300 --> 18:29.940]  And also delivers the silver nano particles instantly into the bloodstream
[18:30.420 --> 18:34.100]  With continued legislation threatening the sale of nano silver products
[18:34.100 --> 18:39.540]  You can now produce pure and endless colloidal silver with the silver lungs generator
[18:40.020 --> 18:45.780]  Very easy to follow step-by-step instructions are provided making production fast and simple go to
[18:46.820 --> 18:53.140]  www.silverlungs.com today and learn more about the breakthrough technology of the silver lungs generator. That's
[18:54.500 --> 18:56.500]  www.silverlungs.com
[18:56.500 --> 19:07.860]  Hundreds of nations have fallen to tyranny in the last century alone. This is our last chance to not relive history
[19:08.020 --> 19:10.020]  As we're finishing off this agenda
[19:10.420 --> 19:12.980]  They'll be pulling the rug from underneath americans at home
[19:13.300 --> 19:19.140]  I've turned an endless influence on our president in congress and they really are calling the shots
[19:19.300 --> 19:24.340]  I think it's incumbent upon all of us as american citizens to pay attention
[19:24.340 --> 19:29.620]  Full of the republic identifies the enemies of our nation the criminal off-short cartel
[19:29.940 --> 19:36.740]  Hell bent on destroying sovereignty and on its ashes constructing world government. Tim Geithner, Bernanke and arsonists
[19:36.900 --> 19:42.820]  They're asking for more matches and the congress is saying who do we make the check out to today seems like nobody does care
[19:43.060 --> 19:45.060]  And right now in washington dc
[19:45.300 --> 19:52.980]  We have seen a fall of the republic yet your copy of full of the republic on dvd at info wars dot com
[19:52.980 --> 19:58.180]  We're watching online right now in super high quality at prisonplanet.tv
[20:01.140 --> 20:08.820]  Coast to coast direct from austin you're listening to the alex jones broadcasting network network
[20:11.940 --> 20:17.540]  We now take you live to the central texas command center and the heart of the resistance
[20:17.540 --> 20:23.060]  You're listening to the alex jones show
[20:24.500 --> 20:26.500]  But the point that I was getting to
[20:27.860 --> 20:33.300]  Before I went to break and then I got off into shrimp committing suicide and here's the salon magazine headline
[20:34.100 --> 20:38.180]  uh breaking that down prozac make shrimp commit suicide
[20:39.940 --> 20:44.900]  Well, it's the same thing with humans. They now have to put on the inserts of those drugs that it increases suicide
[20:44.900 --> 20:48.020]  It's funny how they give it to people who they claim are suicidal
[20:48.420 --> 20:52.020]  And then when the suicide problem gets worse their answer is we'll put you on three or four
[20:52.580 --> 20:56.740]  Of these drugs at once the these are drug pushing companies
[20:57.700 --> 21:03.460]  But I got into that just seeing the cbs news headline sex turns off many young japanese men
[21:06.100 --> 21:12.100]  And they just think it's gross they just they just the uh the study shows they're pretty much just asexual
[21:12.100 --> 21:14.100]  And that's what the
[21:14.820 --> 21:20.820]  This being all a that the rockerfeller foundation publicly has written about that we've done reports on and linked to
[21:21.300 --> 21:26.420]  Just type in rockerfeller foundation on chemicals and water to reduce fertility and sex drive
[21:27.220 --> 21:29.220]  1952 1965
[21:30.180 --> 21:35.220]  Uh rockerfeller foundation vaccines to reduce fertility covertly added to population
[21:35.540 --> 21:40.100]  Or just type in white house science our current czar talks about different things
[21:40.100 --> 21:43.940]  They like to add to the water to do it. See this is all going on, but it's not
[21:44.500 --> 21:47.780]  Manly to get upset about having your food and water jacked
[21:48.660 --> 21:51.620]  And your culture dying and the end of the west
[21:53.140 --> 21:54.420]  No, no, no, no, no
[21:54.420 --> 21:59.060]  That's not manly when you're being assaulted to actually be scientific informed and warning people
[21:59.380 --> 22:04.900]  I'm just supposed to put on a big jersey go to a bar and eat a bunch of uh gmo stuff
[22:05.540 --> 22:07.540]  With fat all over it soaked
[22:07.540 --> 22:09.540]  Uh in msg and get brain damage
[22:10.580 --> 22:13.140]  Uh and scream and yell and act tough
[22:13.860 --> 22:16.740]  And then I would be a real man. I hear it as rockerfeller
[22:16.820 --> 22:21.620]  In fact, you guys are uh pulling it up from info wars.com then just link to the foundation itself
[22:21.940 --> 22:23.940]  But rockerfeller foundation documents
[22:24.660 --> 22:27.220]  Sterilence and vaccines. Good job pulling that up
[22:27.780 --> 22:32.340]  Rockerfeller foundation developed vaccines for mass scale fertility reduction
[22:32.340 --> 22:39.380]  And uh then you can link to the 1968 yearly report. That's just one of many and then of course what's called for was done exactly
[22:40.340 --> 22:45.140]  And I've seen the university reports where they laugh. They said well by uh 2020
[22:45.460 --> 22:50.980]  Most men won't even be able to get a get a woman pregnant and most men won't want to
[22:51.940 --> 22:56.900]  Uh and of course I've shown you the plant parenthood doc where they talked about the chemicals in the food and water
[22:56.900 --> 23:03.780]  Uh and from the 1950s we can pull that up for folks maybe uh where they say we're going to encourage homosexuality and we're going to jack your food and water
[23:04.340 --> 23:09.700]  And then of course they've had hundreds of publications attack me for republishing that they never it's a straw man
[23:09.700 --> 23:15.700]  They always just say I'm bashing gay people and saying the government did it. It's not a discussion of what people are doing sexually
[23:16.100 --> 23:23.780]  You understand they say they did it to you. Does it mean that there weren't people doing this normally or naturally or whatever in 2000 years ago?
[23:23.780 --> 23:31.620]  Or 500 years ago or whatever. No the point is the frogs the male frogs think they're females now
[23:32.340 --> 23:35.540]  That's not when I say that about a frog. I'm not bashing the gay frog
[23:36.260 --> 23:38.260]  But the chemical got in the water
[23:38.500 --> 23:44.180]  There's so much of it in our water it runs off and makes him in fact it actually changes them in reproduction
[23:44.340 --> 23:48.180]  They end up being a mathrodites that people won't believe that look up, uh
[23:49.380 --> 23:51.540]  Laykes and streams fitness
[23:51.540 --> 23:58.020]  lakes and streams, fish, hemaphrodites, fish sterile, or frog sterile, and I've seen reports
[23:58.020 --> 24:03.780]  of in some rivers two-thirds of fish sterile because of chemicals in water. See, I'm telling
[24:03.780 --> 24:14.020]  you about a poison, but here's CBS, call Japan the incredible shrinking country. Fewer babies
[24:14.020 --> 24:18.600]  mean Japan's population could plunge by 30% in coming decades and already has. There are
[24:18.600 --> 24:22.780]  many reasons for this demographic freefall. For instance, Japan has all but closed foreign
[24:22.780 --> 24:27.980]  immigrants. Yeah, but countries could always grow without immigrants. The United States
[24:27.980 --> 24:34.500]  had a two, for every two people in 1900, you look these numbers up, on average had about
[24:34.500 --> 24:41.580]  four and a half children. That's the ones that lived. You know, the old families that
[24:41.580 --> 24:47.340]  they told you weren't trendy, and you know, all the shows, you know, the programming
[24:47.340 --> 24:52.460]  of, oh, having kids is horrible. Oh my gosh, you got kids, it's terrible. My wife even
[24:52.460 --> 24:56.100]  has like trendies come up and hiss at her at old foods and say, you've got three kids,
[24:56.100 --> 25:00.580]  that's not good for the earth. I mean, there is sex-changing chemicals found at Potomac
[25:00.580 --> 25:06.460]  River. And that's National Geographic News, and it talks about the fish and the frogs
[25:06.460 --> 25:12.140]  and things being hemaphrodites or being sterilized. But again, I'm bashing the gay fish. Now,
[25:12.140 --> 25:19.140]  let's continue here. Propaganda everywhere. Almost every new cartoon, sitcoms, dramas,
[25:19.140 --> 25:26.060]  it's hellish to have children, hellish to be married. And again, this is being done.
[25:26.060 --> 25:31.260]  If it was your choice normally, that always happened. That's fine. We're not bashing single
[25:31.260 --> 25:36.860]  families here. The point is this modern culture is designed to wreck the family. That's why
[25:36.860 --> 25:42.020]  it becomes a self-fulfilling prophecy of it being horrible. Just like every action-adventure
[25:42.020 --> 25:47.020]  movie I see, I saw two in the last week, law-abiding citizen in source code. But in both of these
[25:47.020 --> 25:51.940]  right-wingers or terrorists, checkpoints are everywhere, SWAT teams are everywhere, and
[25:51.940 --> 25:56.820]  the right-wing guy in source code wants to nuke Chicago. It doesn't happen in reality,
[25:56.820 --> 26:02.340]  but it's a simulated reality. See, it's out of the propaganda that you know what they're
[26:02.340 --> 26:09.140]  going to do next. And I'm now digressing. But it goes on. There are many reasons for
[26:09.140 --> 26:14.940]  the demographic freefall. But young Japanese men are taking some of the blame for Japan's
[26:14.940 --> 26:21.340]  population decline. Studies show young males are apathetic about dating and disinterested
[26:21.340 --> 26:28.300]  in sex. Ladies and gentlemen, by the time I was 13 years old, well, I mean, I remember
[26:28.300 --> 26:32.900]  being, you know, in first grade and the other boys were going, girls, ooh, and I just thought
[26:32.900 --> 26:36.740]  they were cute and sweet and wanted to be friends with them, you know. And the same thing when
[26:36.740 --> 26:40.660]  I was 13 years old, you know, I thought the college girls were the most beautiful thing
[26:40.660 --> 26:45.280]  on earth, and I just knew they smelled good, they looked good, and I'd never seen anything
[26:45.280 --> 26:51.040]  prettier than that. I mean, we're talking worship here. Now, thank God, despite the
[26:51.040 --> 26:55.780]  fluoride and misfying all day and things, I still had enough of my olfactory nerves
[26:55.780 --> 27:00.260]  lined up, it's a lot of its smell. My eyes were still cued up, right? Everything was
[27:00.260 --> 27:04.540]  still, you know, pointed in the right direction. And I'm fulfilled. I've got a wife, I've
[27:04.540 --> 27:11.140]  got children. It's wonderful. But we also understand that we're tribal, and it's us
[27:11.140 --> 27:15.540]  for the family against the New World Order. Families have always been about defending
[27:15.540 --> 27:19.860]  each other. And hey, we may have problems, but remember, we're the only people in the
[27:19.860 --> 27:24.020]  world that care about each other and have got each other's backs. That's the oldest
[27:24.020 --> 27:30.700]  thing in human existence, just like a mound of meerkats. Man, they all know each other's
[27:30.700 --> 27:36.420]  tail. They get little squabbles, but they're on each other's teams. Honey badgers, wolves,
[27:36.420 --> 27:48.020]  coyotes, bears, otters, whales, rats, mice. This is what it is to be colony mammals.
[27:48.020 --> 27:54.740]  That's what we are. We're colony mammals that can change our destiny and have free will
[27:54.740 --> 28:00.220]  and can build spacecraft that go to foreign planets. And they gave you Mozart, Beethoven,
[28:00.220 --> 28:12.380]  Brom, quantum mechanics, the full integrated predictive future program systems you know
[28:12.380 --> 28:17.860]  as search engines, which are actually crystal ball integration systems to map human activity
[28:17.860 --> 28:25.340]  for over the horizon time prediction qualities. Humans can do incredible things. The globalists
[28:25.340 --> 28:31.380]  know that, they're scared of you. And so that's why society's collapsing. And when Nancy Pelosi
[28:31.380 --> 28:36.100]  comes out and says, it's goober having abortions and less people, this will save money. How
[28:36.100 --> 28:43.220]  is 1.3 children the average American? Two people have average 1.3 children. How is that going
[28:43.220 --> 28:48.420]  to replace the society? Well, the globalists have said in Wired Magazine, other places
[28:48.420 --> 28:52.420]  that they plan on just setting up a world government and exterminating most people.
[28:52.420 --> 28:56.940]  So that's why they've got control the west and you see populations plunging. We'll come
[28:56.940 --> 28:58.940]  back with the Iran situation.
[28:58.940 --> 29:04.500]  Hi, this is Alex Jones. Did you know that the global elite are now storing non-hybrid
[29:04.500 --> 29:09.300]  seeds in secret storage vaults near the Arctic Circle? Did you know that in a real meltdown,
[29:09.300 --> 29:13.140]  non-hybrid seeds could become more valuable than silver or gold? It's true, seeds have
[29:13.140 --> 29:16.620]  all performed even gold and silver before in this country. And it's possible that could
[29:16.620 --> 29:21.180]  even happen again. So our friends at Solutions from Science have put together the perfect
[29:21.180 --> 29:27.380]  mix of non-hybrid seeds. They call it a survival seed bank and it can produce an endless supply
[29:27.380 --> 29:31.940]  of nutrient dense food for you and your family. And here's the best part. These seeds have
[29:31.940 --> 29:36.620]  not been genetically modified in any way and you actually get enough seeds to plant a full
[29:36.620 --> 29:43.460]  acre crisis garden. So visit them today at survivalseedbank.com. That's survivalseedbank.com
[29:43.460 --> 29:54.540]  or give them a call at 877-327-0365. That's 877-327-0365. Remember, in a real crisis,
[29:54.540 --> 30:00.460]  non-hybrid seeds are the ultimate barter item. This is Alex Jones for survivalseedbank.com.
