[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[17:55.760 --> 18:03.760]  You know, I love how the Democrats are acting like Republicans have these Democrat Party people whose statues are being pulled down all over the country.
[18:03.760 --> 18:08.760]  I mean, it doesn't matter if it's Robert E. Lee or you're trying to pull down Thomas Jefferson.
[18:08.760 --> 18:14.760]  I mean, those are Democratic Party icons.
[18:14.760 --> 18:24.760]  I love how you got blacks running around yelling and screaming as the media told them to with a bunch of white, uh, night, uh, race pushers.
[18:24.760 --> 18:30.760]  When you don't have any blacks living that ever even saw slavery, you've got all these whites who are never connected to it.
[18:30.760 --> 18:37.760]  And then you've got the Democratic Party that is literally pushing this, that's removing their history.
[18:37.760 --> 18:41.760]  And then somehow that's all Donald Trump's fault.
[18:41.760 --> 18:45.760]  In fact, I tweeted that out this morning, that point.
[18:45.760 --> 18:47.760]  I've noticed a lot of other people making.
[18:47.760 --> 18:54.760]  It's just total hype hysteria mental illness.
[18:54.760 --> 18:56.760]  And the statistics are all there.
[18:56.760 --> 19:02.760]  I mean, there needs to be reparations for white people the last 20, 30 years getting attacked and killed by the tens of thousands every year.
[19:02.760 --> 19:07.760]  Seriously, if you want to play this whole game, and I'm not actually asking for that, there needs to be real travel advisories.
[19:07.760 --> 19:13.760]  They used to have in the 60s and some places like Selma, Alabama, the New York Times would put travel advisories out for black folks.
[19:13.760 --> 19:16.760]  Well, you know what? They needed a travel adviser. That's true.
[19:16.760 --> 19:18.760]  But we need real travel advisories now.
[19:18.760 --> 19:26.760]  The white folks need to understand that there is the promotion and the pushing of you being mugged, you being killed by the new black Panther Party and everybody else.
[19:26.760 --> 19:33.760]  They're saying go out and kill a white person, go out and mug a white person, go out and commit crime in their, you know, their neighborhoods because they deserve it.
[19:33.760 --> 19:44.760]  And you got a bunch of moral justice warrior, social justice warrior, virtue signaling white people that are so whacked out of their brains.
[19:44.760 --> 19:59.760]  When I was in Seattle, I couldn't walk 30 feet without a running up and screaming F U Nazi and then running because there's such cowards, but they act like a body snatcher cult.
[19:59.760 --> 20:04.760]  The answer to being in control of your own health care is freedom from insurance.
[20:04.760 --> 20:10.760]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[20:10.760 --> 20:15.760]  Individual share amounts begin at $107 a month and $347 for families.
[20:15.760 --> 20:17.760]  Choose from three health sharing programs.
[20:17.760 --> 20:19.760]  Holistic treatments may be eligible for sharing.
[20:19.760 --> 20:24.760]  See guidelines, discount programs available for dental, vision and pharmacy.
[20:24.760 --> 20:29.760]  Go to libertyoncall.org that's libertyoncall.org
[20:54.760 --> 20:59.760]  Ships free at fullycookedbacon.com
[20:59.760 --> 21:03.760]  As most of you already know, I am a voracious consumer of news and information.
[21:03.760 --> 21:16.760]  And in the last four or five years doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[21:16.760 --> 21:25.760]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing and then processing. And so I set out to develop caveman.
[21:25.760 --> 21:37.760]  But to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[21:37.760 --> 21:47.760]  Info wars isn't just fighting the globalist. We're getting results and we're expanding in the face of the complete media assault and winning because of your support.
[21:47.760 --> 22:08.760]  Caveman is back in stock. People absolutely love it. So please secure your caveman today at infowarslife.com or by calling toll free triple A 253 3139.
[22:17.760 --> 22:28.760]  To get a discount, go to prostatemiracle.com and enter promo code PATRIOT or call 877-965-2140. That's 877-965-2140.
[22:47.760 --> 22:58.760]  Get to goberky.com or call 877-886-3653. 877-886-3653. Goberky.com.
[23:17.760 --> 23:27.760]  See him now at survivalistcamps.com. That's survivalistcamps.com. Trust your family survival to survivalistcamps.com.
[23:47.760 --> 23:59.760]  Get a full-thread armor today at katiearmor.com and for a limited time get all plates at wholesale pricing only at catiearmor.com.
[24:17.760 --> 24:26.760]  Get a full-thread armor today at catiearmor.com. Trust your family survival to survivalistcamps.com.
[24:47.760 --> 24:57.760]  Get a full-thread armor today at catiearmor.com. Trust your family survival to survivalistcamps.com.
[24:57.760 --> 25:07.760]  Get a full-thread armor today at catiearmor.com. Trust your family survival to survivalistcamps.com.
[25:07.760 --> 25:17.760]  Get a full-thread armor today at catiearmor.com. Trust your family survival to survivalistcamps.com.
[25:37.760 --> 25:44.760]  And then you have 10,000 plus people come out to protest free speech calling it KKK.
[25:44.760 --> 25:53.760]  You've got old white people and old women being beaten up by mobs of mainly white meth heads with a few black people sprinkled in.
[25:53.760 --> 26:01.760]  Screaming that everyone's a Nazi as they grab American flags away from people and beat them up.
[26:01.760 --> 26:09.760]  Because they're looking for the mythical Nazi and they're all supposed to be Captain America battling Red Skull.
[26:09.760 --> 26:15.760]  And so I'd be walking along in Seattle and a lot of people saw it on live feeds.
[26:15.760 --> 26:25.760]  People would run up screaming and yelling going F U Nazi and then run in fear in almost every case.
[26:25.760 --> 26:32.760]  A few times I'd try to run after somebody saying talk to me talk to me. They'd say F U Nazi.
[26:32.760 --> 26:40.760]  Last night we were about to leave at about eight o'clock because our flight was at 1130 out of Seattle and Michael Zimmerman.
[26:40.760 --> 26:47.760]  Our rooms were close to each other and we had taken the bags from one room and put it in another where they were giving us a real late checkout.
[26:47.760 --> 26:51.760]  We're all in there in the room together and I said I'm sick of the hotel food.
[26:51.760 --> 26:55.760]  I'm going to walk 200 yards of this place and eat and he goes man I don't think that's a good idea.
[26:55.760 --> 26:59.760]  I'm staying here and I'm eating. I think we really pushed it.
[26:59.760 --> 27:11.760]  I said oh come on. So he stays there. I go with my wife down and I'm coming out last night at about 730 because we had to leave at eight.
[27:11.760 --> 27:18.760]  I got 200 yards to walk down to the hotel. There's nobody on the street and I'm walking and there's a parking garage right here.
[27:18.760 --> 27:24.760]  And there's a Range Rover punching its ticket and driving out and I can't see because it's still light outside.
[27:24.760 --> 27:33.760]  There's light on it. I was about to walk and then I just waited and I waved them past and they just sat there.
[27:33.760 --> 27:44.760]  So I start stepping out and the Range Rover hits the gas like it's going to run me over and I just stepped back and I go oh my gosh it's one of them.
[27:44.760 --> 27:50.760]  So I start walking across after he drives out. He rolls down his window and he goes F.U. Alex Jones.
[27:50.760 --> 27:56.760]  And he's some tatted up want to be you know tough guy and he's got his girlfriend looks pretty upset.
[27:56.760 --> 28:00.760]  The passenger side because he's pulled around looking at me. He's like 10 feet away or less.
[28:00.760 --> 28:05.760]  And I just said listen coward. You better watch it.
[28:05.760 --> 28:12.760]  He goes F.U. Fag. And I said listen man you're the one just like you're going to run over me.
[28:12.760 --> 28:16.760]  He goes oh yeah you want me to get out. I said just do whatever you want to man.
[28:16.760 --> 28:20.760]  I said yeah you're a coward. You're not getting out of that car.
[28:20.760 --> 28:24.760]  Maybe all my wife's standing right here. I just looked at him.
[28:24.760 --> 28:33.760]  And he starts driving away the same way I'm going in his car going F.U. F.U. you faggot you homosexual you cocksucker.
[28:33.760 --> 28:40.760]  This is what he's doing and I'm so jazzed up I'm not even getting my phone out because I'm just getting ready for him to get out of the car.
[28:40.760 --> 28:46.760]  And he drove off but I mean these people are the literal scum of the earth.
[28:46.760 --> 28:52.760]  This is a white guy and it was crossing white guys. It was like they're coming of age.
[28:52.760 --> 28:59.760]  Before that the reason Zimmerman said you probably shouldn't go out was it was about three o'clock four o'clock.
[28:59.760 --> 29:06.760]  The Sunday show had just ended. It was two hours ahead and I went down to check on even later checkout.
[29:06.760 --> 29:11.760]  And there was 50 floors in the building. We were on the 40th floor.
[29:11.760 --> 29:19.760]  And so I hit that I was going to go down but another guy was coming up.
[29:19.760 --> 29:27.760]  And so the door opens another guy gets on and I see as the doors open this guy was wife and like six year old son bows up.
[29:27.760 --> 29:31.760]  And I thought is he doing something with his kid and then as the doors close he goes after you Alex Jones.
[29:31.760 --> 29:36.760]  He waited till the doors close to do it. Another white guy with a handlebar mustache.
[29:36.760 --> 29:41.760]  I mean the cowardice of these people but they hate America and we come back.
[29:41.760 --> 29:48.760]  We have them chanting last night. Down with America we hate America in Austin.
[29:48.760 --> 30:00.760]  We have them here on the March. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:00.760 --> 30:04.760]  Why is the fungus? Why is the mold? Why is the yeast taking over?
[30:04.760 --> 30:06.760]  What is going on? What has changed?
[30:06.760 --> 30:14.760]  Dr. Group the new product Myco ZX supports normal fungal and yeast balance proprietary blend of herbs and enzymes made with high quality ingredients.
[30:14.760 --> 30:22.760]  Yeah fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[30:22.760 --> 30:26.760]  It's available at informerstore.com. We also have free shipping for $50 or more and 10% off.
[30:26.760 --> 30:32.760]  We've signed up for auto-ship additionally on top of that. Please! We only have a limited supply of this.
[30:32.760 --> 30:35.760]  I want to get your reviews. I want to hear what you have to say for me. It's been a crowd.
[30:35.760 --> 30:41.760]  Myco ZX antifungal, antifungus, anti-yeast. Get it today. Limited run.
[30:41.760 --> 30:47.760]  It will be months until we get more. Informerstore.com and ForwardsLife.com are a triple A, two, five, three, three, one, three, nine.
[30:47.760 --> 30:53.760]  I cannot sell something unless it helps somebody and you can't support an organization that didn't fight harder.
[30:53.760 --> 30:58.760]  Look at the response we're getting. We were changing the world together. You are the Info War. God bless you all.
[31:23.760 --> 31:28.760]  Freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[31:28.760 --> 31:38.760]  Woo! That's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[31:38.760 --> 31:48.760]  Harvestrite freeze dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[31:48.760 --> 31:55.760]  Now that's what I call the miracle of food preservation. Harvestrite is truly the world's best, most affordable freeze dryer.
[31:55.760 --> 32:21.760]  So what are you waiting for? Check it out right now at InfoWarsStore.com.
[32:21.760 --> 32:33.760]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[32:33.760 --> 32:40.760]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[32:40.760 --> 32:49.760]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[32:49.760 --> 32:59.760]  We've been testing this formula for years, but this is the limited first round of the public, so please take advantage of it today, support your own health, and support the InfoWars.
[33:19.760 --> 33:31.760]  From the front lines, from the front lines of the Information War, it's Alex Jones.
[33:31.760 --> 33:47.760]  I have a correction to make. Last segment I said Antifa was chanting alt left, really what they are was chanting here in Austin, Texas last night at UT, down with America. I'm sorry, they're chanting death to America.
[33:47.760 --> 33:54.760]  So it was worse than I was saying. I have to make that correction. Normally when I make mistakes, it's that I'm not saying how bad it actually is.
[33:54.760 --> 34:02.760]  Owen Troyer went down there by himself in the middle of the night last night because I just announced last night we're going to pull down the Confederate statues in the middle of the night.
[34:02.760 --> 34:13.760]  So he went down there and he sure enough got video of it and had folks because he was white coming over and saying, what the hell are you doing here?
[34:13.760 --> 34:32.760]  And there's so much cussing and so many threats. The raw video is up on infowars.com and prismfunna.com, but it's like a cult because when I was in Seattle, the first few days, a lot of folks were listeners, a lot of people liked the show.
[34:32.760 --> 34:45.760]  But after they announced I was in town in the newspaper on TV, people would come over, throw hot coffee on me, cuss at me, act like they're going to hit me with cars, just yelling scream.
[34:45.760 --> 34:54.760]  But then in every case, but in the case of the goblin, which we've got to actually give him honors, they got to throw hot coffee on me, they would all run.
[34:54.760 --> 35:02.760]  They would come over and say F.U. Nazi and then they would run or they would say F.U. and then jump on an elevator or as it closed in front of their kids.
[35:02.760 --> 35:17.760]  And this one guy was waiting with his car and acted like he was going to run me over and then was laughing at me, calling me a pejorative term, a fag and a Peter Puffer and all these other terms.
[35:17.760 --> 35:25.760]  And it's just, it's crazy. They're like trash. Liberals are uneducated, dumb trash.
[35:25.760 --> 35:37.760]  The lazy, all the statistics show what is six times more likely to steal, nine times more likely not to give to charity, but something like 14 times more likely, depending on the study, to signal that they're giving to charity.
[35:37.760 --> 35:44.760]  I mean, they're just a bunch of scum. And it really hit me that there's no good values with these people.
[35:44.760 --> 35:53.760]  They have just degenerated to the absolute scum of the earth. The video is alt left chance death to America in Austin, Texas.
[35:53.760 --> 35:59.760]  It just went up a few hours ago. Oh, and we need a bigger crew. You're out there by yourself in the middle of the night.
[35:59.760 --> 36:07.760]  Tell us what happened. We're going to play some of this heavily bleep stuff where these people are just hysterical that whites are hunting them down.
[36:07.760 --> 36:16.760]  Even though I have the FBI crime statistics, even the Washington Post says, aren't more white people than black people killed by police? Yes.
[36:16.760 --> 36:22.760]  And then we have the admissions that Black Lives Matter supporters have to grapple with this chart.
[36:22.760 --> 36:28.760]  And it's that they're 25 times more likely to kill a white person than a white person to kill a black person.
[36:28.760 --> 36:31.760]  And cops are twice as likely per capita.
[36:31.760 --> 36:37.760]  Not just that whites are a larger population to kill a white person. They actually respond.
[36:37.760 --> 36:46.760]  They slow roll to many other areas in Chicago and other areas where 3,000 plus people are shot a year, 97% of it by other blacks.
[36:46.760 --> 36:51.760]  These are in real numbers. And the thing is, I really want to empower people.
[36:51.760 --> 36:58.760]  But it's such a peer pressure system and things are so racist now that I've had the issue.
[36:58.760 --> 37:05.760]  So I've looked at the numbers. If you get one or two tourists killed in Mexico, in a state of Mexico and even a six month period,
[37:05.760 --> 37:08.760]  they will issue a travel advisory for that state.
[37:08.760 --> 37:11.760]  Say Oaxaca or Chihuahua or wherever.
[37:11.760 --> 37:17.760]  If it starts happening every few weeks, they'll issue it for the whole country of Mexico.
[37:17.760 --> 37:25.760]  But you literally have whites everywhere getting stabbed, killed, murdered, knockout game every day.
[37:25.760 --> 37:30.760]  25 white people are killed for every black person that's killed by a white person.
[37:30.760 --> 37:33.760]  And the main black groups are saying kill white people.
[37:33.760 --> 37:37.760]  We don't want you virtue signaling white people. You don't need to be white allies.
[37:37.760 --> 37:41.760]  These sick, weird college brain damage terms.
[37:41.760 --> 37:45.760]  You keep your mouth shut is what the black magazines are saying.
[37:45.760 --> 37:48.760]  I don't owe anybody anything. I haven't done anything.
[37:48.760 --> 37:51.760]  I'm not stooping down to your black KKK level.
[37:51.760 --> 37:57.760]  I'm not run by the Democratic Party and all your race based dirty, low down, scum garbage.
[37:57.760 --> 37:59.760]  I transcend you.
[37:59.760 --> 38:03.760]  And I'm going to march through your communist held areas and I'm going to get in your face
[38:03.760 --> 38:08.760]  and I'm going to issue travel advisories and I'm going to rally the troops of every race, color and creed
[38:08.760 --> 38:13.760]  who want free market liberty and who don't want to live in Venezuela or North Korea.
[38:13.760 --> 38:16.760]  Colorado man stabbed because of his Nazi haircut.
[38:16.760 --> 38:20.760]  Yahoo! acts like he deserves it.
