[00:00:05.854 --> 00:00:06.654]  Sign up.
[00:03:12.443 --> 00:03:19.908]  Doctors say they expect Secretary of State Hillary Clinton to make a full recovery from her surgery for a broken right elbow.
[00:03:19.908 --> 00:03:24.471]  Clinton tripped and fell in the State Department building Wednesday, breaking the elbow.
[00:03:24.471 --> 00:03:29.075]  Decisions about her upcoming overseas trip are still now being worked out.
[00:03:29.075 --> 00:03:32.337]  For the latest news analysis, log on to IRNnews.com.
[00:03:33.846 --> 00:03:34.726]  My name is Jeannie.
[00:03:34.726 --> 00:03:36.887]  I'm able to work from home and be a full-time mom.
[00:03:36.887 --> 00:03:38.828]  Hi, how in the world are you anyway?
[00:03:38.828 --> 00:03:42.769]  This is Andy Willoughby with the 3-Step Plan home-based business system.
[00:03:42.769 --> 00:03:46.810]  Thousands of Americans are successfully working from home with the 3-Step Plan.
[00:03:46.810 --> 00:03:50.091]  My name is Bill and I've been able to quit my job, pay off all of my bills.
[00:03:50.091 --> 00:03:55.733]  To find out how you could work from home with your own home-based business, go to 3stepplan.com or call 800-897-0395.
[00:03:55.733 --> 00:03:55.773]  800-897-0395.
[00:04:04.514 --> 00:04:09.038]  President Obama has issued a special proclamation for Father's Day Sunday.
[00:04:09.038 --> 00:04:11.900]  Fathers are our first teachers and coaches.
[00:04:11.900 --> 00:04:12.981]  They're our mentors.
[00:04:12.981 --> 00:04:14.102]  They're our role models.
[00:04:14.102 --> 00:04:17.245]  They set an example of success and they push us to succeed.
[00:04:17.245 --> 00:04:18.887]  Encourage us when we're struggling.
[00:04:18.887 --> 00:04:22.610]  They love us even when we disappoint them and they stand by us when nobody else will.
[00:04:22.875 --> 00:04:30.459]  The President also urged Americans to express their gratitude to all the fathers who serve today in the United States military.
[00:04:30.459 --> 00:04:38.724]  FDA telling consumers to avoid eating Nestle Toll House refrigerated cookie dough because it may be contaminated with E. coli.
[00:04:38.724 --> 00:04:43.046]  Agency says those who have the product should, quote, throw it away.
[00:04:43.046 --> 00:04:49.290]  Cooking the product is not recommended since the bacteria could get on your hands and cooking surfaces.
[00:04:49.830 --> 00:04:56.553]  Well, Bill and Marie DeCaro of Delaware County, Pennsylvania celebrated their wedding anniversary Saturday.
[00:04:56.553 --> 00:05:01.075]  Of course, a lot of people celebrated their wedding anniversary Saturday.
[00:05:01.075 --> 00:05:05.977]  But the DeCaros are the current longest married couple in the United States.
[00:05:05.977 --> 00:05:08.558]  They tied the knot 80 years ago.
[00:05:08.558 --> 00:05:09.338]  Both are 100 years old.
[00:05:10.919 --> 00:05:15.643]  And say they still love each other just as much today as when they first met.
[00:05:15.643 --> 00:05:20.208]  By the way, they met at a dancing school and they worked in a vaudeville act.
[00:05:20.208 --> 00:05:27.014]  Before starting a family, Bill says the secret is to not stay mad at one another and always love one another.
[00:05:27.014 --> 00:05:31.238]  I'm Jason Walker, IRN, USA, Radio News.
[00:05:33.821 --> 00:05:35.502]  Alex Jones here with a question.
[00:05:35.502 --> 00:05:37.244]  What does humidity mean to you?
[00:05:37.244 --> 00:05:39.925]  Most people think of hot and sticky summer days.
[00:05:39.925 --> 00:05:45.049]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:05:45.049 --> 00:05:48.251]  That's why I'd like you to visit acolablue.com.
[00:05:48.251 --> 00:05:48.972]  Acolablue.
[00:05:49.412 --> 00:06:04.695]  is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:06:04.695 --> 00:06:06.696]  Finally, drinking water that you control.
[00:06:06.696 --> 00:06:08.416]  I use one every day.
[00:06:08.416 --> 00:06:14.097]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[00:06:14.097 --> 00:06:16.378]  The Ecola Blue 28 is shipped right to your home.
[00:06:16.698 --> 00:06:20.100]  Ready to make close to seven gallons a day, right out of the box.
[00:06:20.100 --> 00:06:22.040]  They have a 30-day money-back guarantee.
[00:06:22.040 --> 00:06:25.622]  Call Ecolablue right now at 1-800-691-6043.
[00:06:25.622 --> 00:06:28.403]  That's 1-800-691-6043.
[00:06:28.403 --> 00:06:33.586]  Or visit Ecolablue at E-C-O-L-O-B-L-U-E dot com today.
[00:06:33.586 --> 00:06:34.086]  Specialist.
[00:06:34.086 --> 00:06:41.509]  Prepare yourself for a talk radio experience like no other.
[00:06:41.509 --> 00:06:44.250]  Strap yourselves in and hold on.
[00:06:44.250 --> 00:06:45.531]  He stands for truth.
[00:06:46.991 --> 00:06:50.232]  He stands for justice.
[00:06:50.232 --> 00:06:52.653]  He stands for what's right.
[00:06:52.653 --> 00:06:55.935]  This is the Alex Jones Show.
[00:06:55.935 --> 00:06:59.056]  Call Alex now, toll free at 877-590-5525.
[00:06:59.056 --> 00:07:02.497]  Now live from Austin, Texas, here's Alex Jones.
[00:07:16.977 --> 00:07:20.579]  Very important radio transmission lined up for you today.
[00:07:20.579 --> 00:07:21.300]  We are live.
[00:07:21.300 --> 00:07:26.983]  It is Sunday, the 21st day of June 2009.
[00:07:26.983 --> 00:07:34.668]  Coming up in about an hour and a half, NewsRadio 590 KLBJ reporter is going to pop in for about five minutes, Sarah Hudeberg.
[00:07:34.668 --> 00:07:43.793]  I heard her going over the news just before we went live and she was pointing out the fact that the state of Texas, the Cattlemen's Association and others
[00:07:44.540 --> 00:07:48.003]  Are saying, hey, we don't want this Clean Water Restoration Act.
[00:07:48.003 --> 00:07:53.627]  This will federalize all water, including rainwater, wells, aquifers.
[00:07:53.627 --> 00:07:59.170]  They are going to grab the entire supply, lakes, basically federal police everywhere.
[00:07:59.170 --> 00:08:01.432]  This is happening nationwide.
[00:08:01.432 --> 00:08:06.576]  And I covered this two weeks ago on the air, a week ago, and I get emails saying I'm a liar.
[00:08:06.576 --> 00:08:09.578]  But now here it is with state officials and cattlemen and other
[00:08:10.169 --> 00:08:10.689]  I don't know.
[00:08:32.469 --> 00:08:34.830]  Okay, we have a very important show lined up.
[00:08:34.830 --> 00:08:41.794]  Outside of those important issues, I'm going to be breaking down what's really happening with North Korea, what's really happening with Iran.
[00:08:41.794 --> 00:08:44.835]  Why is this suddenly happening all over the globe?
[00:08:44.835 --> 00:08:49.717]  Why are police in Peru machine-gunning hundreds of people?
[00:08:49.717 --> 00:08:51.338]  Why is it happening in Iran?
[00:08:51.338 --> 00:08:53.919]  Why suddenly is there war in Pakistan?
[00:08:53.919 --> 00:08:55.440]  Why suddenly is a U.S.
[00:08:55.440 --> 00:09:01.063]  ship in a standoff with an Iranian government-flagged vessel that they say has weapons on it?
[00:09:01.523 --> 00:09:05.145]  Why is North Korea saying they may go ahead and launch nuclear weapons?
[00:09:05.145 --> 00:09:09.368]  Why is this all just suddenly happening?
[00:09:09.368 --> 00:09:14.511]  We'll be breaking that down later in the show.
[00:09:14.511 --> 00:09:21.056]  But first off, in the stack of news in front of me, I have three stories.
[00:09:21.056 --> 00:09:22.657]  Some of these I covered this week.
[00:09:22.657 --> 00:09:24.538]  One of them is brand new today.
[00:09:25.279 --> 00:09:29.341]  Exclusive to PrisonPlanet.com and InfoWars.com.
[00:09:29.341 --> 00:09:35.524]  And you will hear about this later in mainstream media, but with their spin on it.
[00:09:35.524 --> 00:09:38.345]  We can't really say you do hear a lot of it here first.
[00:09:38.345 --> 00:09:42.587]  We really do the great research and our listeners send us the best tips.
[00:09:42.587 --> 00:09:47.309]  It was listeners found that bill to literally seize all the water supplies under federal control.
[00:09:47.309 --> 00:09:52.391]  And remember the feds themselves are now controlled by offshore private banks.
[00:09:52.391 --> 00:09:53.392]  And a separate issue
[00:09:54.747 --> 00:10:04.625]  Since Monday, when they finally released the Federal Reserve Reform Bill, it is a total private Federal Reserve takeover of even the federal government.
[00:10:04.625 --> 00:10:06.768]  No Bill of Rights, no Constitution.
[00:10:06.768 --> 00:10:08.091]  Dwarfs the Patriot Act.
[00:10:09.145 --> 00:10:15.770]  Dwarfs Military Commissions Act, dwarfs even what Hitler and Stalin and Mao put on paper for their illegitimate powers.
[00:10:15.770 --> 00:10:28.759]  This is just, we are God, we own and rule everything from a restaurant, a hot dog shack, up to the car dealerships and the car manufacturers and the steel producers.
[00:10:28.759 --> 00:10:32.841]  Everything, anything dealing with the economy.
[00:10:32.841 --> 00:10:36.444]  No judge, no jury, no due process, no nothing.
[00:10:37.085 --> 00:10:41.146]  We started beating the drum Monday, begging listeners to force this out in the mainstream news.
[00:10:41.146 --> 00:10:45.107]  It is now mainstream news.
[00:10:45.107 --> 00:10:46.687]  Because this wasn't even going to be discussed.
[00:10:46.687 --> 00:10:50.168]  There wasn't even going to be a debate about the end of the republic.
[00:10:50.168 --> 00:10:54.149]  And yes, ladies and gentlemen, it's actually all happening right now.
[00:10:54.149 --> 00:11:04.571]  As Lenin said, the evil genius that he was, there are times in history when more happens in a week or a month or a year than happened in the previous hundred years.
[00:11:04.571 --> 00:11:06.712]  Now, here's the first big top stories today.
[00:11:07.717 --> 00:11:29.031]  Remember, we broke the Homeland Security reports, the DHS report that made national news three months ago, saying all gun owners are the number one threat to the government, and that Homeland Security is set up to take on gun owners and veterans, libertarians, Ron Paul supporters, Bob Barr supporters, anyone who wants to control the borders.
[00:11:29.031 --> 00:11:29.852]  We broke that.
[00:11:29.852 --> 00:11:31.693]  People didn't believe it was real.
[00:11:31.693 --> 00:11:37.557]  Ron Paul's office found out it was real, said, yes, it's real, and it made national news, and the media spun it.
[00:11:38.536 --> 00:11:47.044]  And we broke the MIAC report out of Missouri, and we literally, I'd say, more than half the big news now that fights the New World Order is coming out of me.
[00:11:47.044 --> 00:11:52.229]  Coming out of my small office, my ragtag team, and it really freaks me out.
[00:11:52.229 --> 00:11:55.892]  Because it's a dangerous position to be in, and I'm not even that good.
[00:11:55.892 --> 00:11:57.454]  And I can't believe I'm in this position.
[00:11:59.090 --> 00:12:00.171]  But I'll tell you why it is.
[00:12:00.171 --> 00:12:02.332]  It's just because I read the email from our listeners.
[00:12:02.332 --> 00:12:05.114]  It's you scouring the bills, the legislation.
[00:12:05.114 --> 00:12:06.395]  It's you and the state police.
[00:12:06.395 --> 00:12:09.358]  It's you and the FBI that send me these documents.
[00:12:09.358 --> 00:12:10.378]  It's the whistleblowers.
[00:12:10.378 --> 00:12:19.665]  It's the preachers that sent me the reports that they were secretly being trained by FEMA to tell their flocks to hand in their guns, to go to FEMA camps and take forced inoculations when the time came.
[00:12:19.665 --> 00:12:22.027]  I got made fun of even though I gave you the secret documents.
[00:12:22.027 --> 00:12:23.068]  Now it's mainstream news.
[00:12:25.555 --> 00:12:32.070]  And I don't understand why we continue to break literally hundreds and hundreds of the major important stories.
[00:12:32.070 --> 00:12:34.015]  And now I'm being attacked by international media.
[00:12:34.747 --> 00:12:38.408]  I mean, we're here on the front lines getting battered to hell, ladies and gentlemen.
[00:12:38.408 --> 00:12:43.809]  And we know most of you are supporting us, but people need to take serious the time we've got left on air.
[00:12:43.809 --> 00:12:47.350]  The time we've got left with Infowars.com and PrisonPlanet.com.
[00:12:47.350 --> 00:12:51.171]  Do not take any of this for granted with the information I'm about to give you.
[00:12:51.171 --> 00:12:57.612]  A lot of people have died and been imprisoned and have lost their jobs to bring you the information you're about to get.
[00:12:57.612 --> 00:12:59.612]  Do you understand that?
[00:12:59.612 --> 00:13:00.533]  Do you understand that?
[00:13:00.533 --> 00:13:02.133]  This isn't a game, ladies and gentlemen.
[00:13:02.657 --> 00:13:04.518]  People ask, how can I still be alive?
[00:13:04.518 --> 00:13:06.660]  How can I be on AM and FM stations across the country?
[00:13:06.660 --> 00:13:09.202]  Because the globalists don't have total control.
[00:13:09.202 --> 00:13:16.948]  They're able to steer society, they're able to twist society, they're able to dominate, but not fully micromanage and control yet.
[00:13:16.948 --> 00:13:18.709]  That's now happening.
[00:13:18.709 --> 00:13:21.331]  The iron curtain is lowering.
[00:13:21.331 --> 00:13:23.833]  This is it, ladies and gentlemen.
[00:13:23.833 --> 00:13:27.877]  And even if you don't believe me intellectually, in your gut you know things are bad.
[00:13:27.877 --> 00:13:29.658]  You know we predicted all of this with precision.
[00:13:31.593 --> 00:13:33.573]  Now, this broke earlier in the week.
[00:13:33.573 --> 00:13:41.015]  People didn't believe us, and then the ACLU came out, found out about it, and started suing a day later.
[00:13:41.015 --> 00:13:45.876]  And it's now been on CNN, but CNN acts like, well, I guess it's reasonable.
[00:13:45.876 --> 00:13:51.177]  See, they'll take incredible stuff we report and then make it like it's no big deal.
[00:13:51.177 --> 00:13:55.718]  Like, oh yes, it is good to say veterans are the number one terror threat, and Homeland Security's for them.
[00:13:55.718 --> 00:13:59.359]  And they have the head of Veterans Affairs come out and say, well, veterans are terrorists,
[00:14:01.209 --> 00:14:07.993]  And now they're having the VFWs go back and have to basically register and get ready to turn in even their Civil War cannons.
[00:14:07.993 --> 00:14:10.034]  I mean, this is all happening, folks.
[00:14:10.034 --> 00:14:10.635]  Listen to this.
[00:14:10.635 --> 00:14:17.939]  DOD training manual, not even classified, describes protest as terrorism.
[00:14:17.939 --> 00:14:21.821]  All protest is illegal and is an act of terrorism.
[00:14:21.821 --> 00:14:23.983]  Protesting anything.
[00:14:23.983 --> 00:14:25.784]  A toxic waste dump in your neighborhood.
[00:14:27.974 --> 00:14:34.516]  Illegal aliens being above the law, not being arrested by local police, but citizens have the book thrown at them.
[00:14:34.516 --> 00:14:36.437]  The war.
[00:14:36.437 --> 00:14:39.118]  Attacks on the Second Amendment.
[00:14:39.118 --> 00:14:44.299]  Current Department of Defense anti-terrorism training course material states that the existence of First Amendment rights in the U.S.
[00:14:44.299 --> 00:14:47.740]  Constitution constitutes terrorist activity.
[00:14:47.740 --> 00:14:49.601]  The ACLU has written the DOD regardless.
[00:14:50.316 --> 00:14:59.506]  Regarding its anti-terrorism and force protection annual rehearsal training course, which advises personnel that political protest amounts to low-level terrorism.
[00:14:59.506 --> 00:15:01.328]  And it goes on, I'm going to read that later.
[00:15:01.328 --> 00:15:02.369]  Now this isn't the new story.
[00:15:02.369 --> 00:15:05.172]  I've been reporting this all week.
[00:15:05.172 --> 00:15:06.894]  Now I'll confirm to be real.
[00:15:06.894 --> 00:15:08.255]  Look, we don't make any of this up.
[00:15:08.255 --> 00:15:10.738]  I know we break it, break it, break it, break it, break it.
[00:15:10.738 --> 00:15:12.260]  People can't believe we break all this.
[00:15:15.307 --> 00:15:16.948]  Because we know what news is, folks.
[00:15:16.948 --> 00:15:18.009]  We go through our tips.
[00:15:18.009 --> 00:15:21.251]  We go through the stuff that millions of listeners feed us.
[00:15:21.251 --> 00:15:23.793]  And people now know we're the place to send the documents.
[00:15:23.793 --> 00:15:26.455]  We're the place to send the leads.
[00:15:26.455 --> 00:15:27.856]  Most of it declassified.
[00:15:27.856 --> 00:15:31.559]  Just publicly training the military that there's no more First Amendment in America.
[00:15:31.559 --> 00:15:34.742]  Now, listen to this.
[00:15:34.742 --> 00:15:35.922]  I told you about this.
[00:15:35.922 --> 00:15:39.585]  This is in the Obama deception release three months ago.
[00:15:39.585 --> 00:15:40.466]  Done four months ago.
[00:15:42.028 --> 00:15:45.009]  This is in the Obama deception.
[00:15:45.009 --> 00:15:48.071]  I talk about this every week on the show.
[00:15:48.071 --> 00:15:53.754]  It is now in the New York Times, so now it's real, so now we can talk about it.
[00:15:53.754 --> 00:15:58.856]  This is the New York Times, Friday.
[00:15:58.856 --> 00:16:00.517]  Our story about it has a link to it.
[00:16:00.517 --> 00:16:06.179]  Proposed law allows AG, Attorney General, Holder, to block gun sales to over a million Americans.
[00:16:06.179 --> 00:16:09.441]  The bill is no fly, no buy.
[00:16:10.814 --> 00:16:16.536]  No judge, no jury, a million, 100,000 plus, now it's a million, 200,000, a million, 200,000.
[00:16:16.536 --> 00:16:20.217]  It grows by 25,000 every month.
[00:16:20.217 --> 00:16:21.857]  And then that's not even the big news.
[00:16:21.857 --> 00:16:24.078]  That's not even the big news.
[00:16:24.078 --> 00:16:27.639]  When I get back, I'm gonna give you the big one.
[00:16:27.639 --> 00:16:28.039]  Stay with us.
[00:16:33.700 --> 00:16:35.881]  The world appears to be on the brink of collapse.
[00:16:35.881 --> 00:16:43.003]  Experts say a pinch of heirloom vegetable seed could soon be the most valuable resource on earth because it will provide healthy food now and every year after.
[00:16:43.003 --> 00:16:48.845]  Survivalistseeds.com now has the heirloom garden seed time capsule, allowing you to store your seeds for the future anywhere.
[00:16:48.985 --> 00:16:49.886]  even underground.
[00:16:49.886 --> 00:17:02.298]  For 100 years, the Heirloom Garden Seed Time Capsule can withstand 3 tons of weight, is 100% roto-proof, waterproof, and comes with a whopping 6,000 healthy vegetable seeds from 20 varieties that will grow anywhere in the USA.
[00:17:02.298 --> 00:17:08.865]  Unless you trust the government, the Heirloom Garden Seed Time Capsule and Heirloom Seeds from survivalistseeds.com is your long-term food solution.
[00:17:09.085 --> 00:17:13.707]  Our competition charges $0.10 to $1.25 per seed for these same heirloom varieties.
[00:17:13.707 --> 00:17:21.389]  But you can now have a head of lettuce, a bundle of carrots, a basket of tomatoes, a giant watermelon, and 16 other varieties for about a penny a seed each!
[00:17:21.389 --> 00:17:22.169]  Be prepared!
[00:17:22.169 --> 00:17:27.411]  Buy your heirloom seeds today from SurvivalistSeeds.com and have food insurance for your family forever!
[00:17:27.411 --> 00:17:29.232]  Visit SurvivalistSeeds.com.
[00:17:29.232 --> 00:17:33.153]  SurvivalistSeeds.com is owned by Big John Lipscomb, host of the Don't Tread on Me radio show.
[00:17:34.434 --> 00:17:36.415]  Hi, I'm John Swenson at Midas Resources.
[00:17:36.415 --> 00:17:40.537]  800-686-2237, extension 128.
[00:17:40.537 --> 00:17:42.677]  And let's take in a brief mind movie.
[00:17:42.677 --> 00:17:48.360]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[00:17:48.360 --> 00:17:54.162]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[00:17:54.162 --> 00:17:56.163]  The stimulus package is working.
[00:17:56.163 --> 00:17:58.044]  A bailout is coming your way.
[00:17:58.044 --> 00:18:02.246]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[00:18:02.246 --> 00:18:02.546]  Pardon me?
[00:18:03.386 --> 00:18:04.627]  Back to the real world.
[00:18:04.627 --> 00:18:08.890]  We know that we can rely on no one but ourselves to generate financial security.
[00:18:08.890 --> 00:18:11.451]  Protecting your assets is solely up to you.
[00:18:11.451 --> 00:18:13.153]  No one else is coming to the rescue.
[00:18:13.153 --> 00:18:24.620]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[00:18:24.620 --> 00:18:31.625]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[00:18:34.091 --> 00:18:45.822]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[00:18:45.822 --> 00:18:50.646]  The Center for Disease Control has declared a public health emergency across the United States.
[00:18:50.646 --> 00:18:52.308]  What can you do to prepare yourself?
[00:18:52.308 --> 00:18:54.470]  The answer is ZeroFlu.com.
[00:18:54.770 --> 00:18:58.553]  ZeroFlu.com offers you the very best at air purifiers.
[00:18:58.553 --> 00:19:11.282]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[00:19:11.522 --> 00:19:13.923]  Not only from the air, but from all surfaces.
[00:19:13.923 --> 00:19:16.824]  With no filters to replace ever, you save money.
[00:19:16.824 --> 00:19:18.164]  Prepare yourself today.
[00:19:18.164 --> 00:19:20.365]  To learn more, visit ZeroFlu.com.
[00:19:20.365 --> 00:19:22.086]  That's ZeroFlu.com.
[00:19:22.086 --> 00:19:22.826]  Or call 888-766-6066.
[00:19:22.826 --> 00:19:23.346]  888-766-6066 today.
[00:19:23.346 --> 00:19:23.887]  ZeroFlu.com.
[00:19:23.887 --> 00:19:26.167]  Protecting you and your family, one day at a time.
[00:19:33.683 --> 00:19:36.465]  The phone rings and the questions are asked.
[00:19:36.465 --> 00:19:37.725]  I've been so sick.
[00:19:37.725 --> 00:19:39.406]  Will the life change tea help me?
[00:19:39.406 --> 00:19:41.267]  Our answer is always the same.
[00:19:41.267 --> 00:19:47.371]  Yes, toxins and chemicals from food, water and air are attacking you this very moment.
[00:19:47.371 --> 00:19:52.854]  Fight back with our all natural detoxifying tea that works immediately.
[00:19:53.254 --> 00:19:57.757]  Many companies use gimmicks and misleading free trials for their campaign.
[00:19:57.757 --> 00:19:59.179]  We use results.
[00:19:59.179 --> 00:20:03.942]  LifeChangeT's formula created by a PhD has been around for over 20 years.
[00:20:03.942 --> 00:20:08.546]  There are things happening in the world that are unseen and not healthy.
[00:20:08.546 --> 00:20:12.429]  The public has reached its all-time record for chronic sickness.
[00:20:12.429 --> 00:20:16.311]  This atrocity won't change unless you call us right now.
[00:20:16.311 --> 00:20:16.932]  Our number is 928-308-0408.
[00:20:21.255 --> 00:20:24.276]  Again, that's 928-308-0408.
[00:20:24.276 --> 00:20:28.017]  Or you can order online at GetTheTea.com.
[00:20:28.017 --> 00:20:30.558]  That's GetTheTea.com.
[00:20:30.558 --> 00:20:34.299]  And remember, we have the cheapest shipping in the industry.
[00:20:34.299 --> 00:20:37.980]  Are you tired of searching for great talk radio?
[00:20:37.980 --> 00:20:39.481]  Search no more.
[00:20:39.481 --> 00:20:45.042]  We are the GCN Radio Network.
[00:20:45.042 --> 00:20:50.204]  Ladies and gentlemen, when I get up here on the radio and I tell you
[00:20:53.582 --> 00:20:56.466]  That they are training NORTHCOM to confiscate your guns.
[00:20:56.466 --> 00:21:00.230]  It's because I knew they'd set up NORTHCOM in the late 1990s.
[00:21:00.230 --> 00:21:03.234]  They didn't set up NORTHCOM in 2002.
[00:21:03.234 --> 00:21:06.998]  Bill Clinton was giving speeches to NORTHCOM in 1993.
[00:21:06.998 --> 00:21:12.665]  It is the military jurisdiction over the United States controlling the American people.
[00:21:13.922 --> 00:21:28.170]  And now the John Warner Defense Authorization Act of 2007 states their job is to take on the American people and the governors and the states and now the feds are openly announcing they're federalizing all the water and are basically take people's property if they want it.
[00:21:28.170 --> 00:21:41.398]  So everywhere in the East and the South that isn't under federal control like they are in the West we now are going to be because they're announcing a buffer zone of three times the size of the waterway on either side
[00:21:43.171 --> 00:21:43.671]  We're good to go.
[00:22:06.004 --> 00:22:13.848]  In the Obama deception, I explain, after they bankrupt us and steal tens of trillions, they will then set up a new bank of the world that will pay our carbon taxes to and that will then regulate us.
[00:22:13.848 --> 00:22:14.429]  How do I know?
[00:22:14.429 --> 00:22:15.969]  I'm reading their official documents.
[00:22:15.969 --> 00:22:19.011]  Now it's been announced, but it's worse than I thought.
[00:22:19.011 --> 00:22:20.872]  Worse than I thought.
[00:22:20.872 --> 00:22:28.076]  They're bypassing even the illusion of freedom and signing deals with this private offshore bank in treaties.
[00:22:28.803 --> 00:22:36.505]  They're going to have the private Federal Reserve, it's regional governorship, it's holding company, openly be above all laws and do whatever it wants.
[00:22:36.505 --> 00:22:43.907]  I mean, ladies and gentlemen, you think they've stolen $14.8 trillion, more than the GDP in eight months, seven months?
[00:22:43.907 --> 00:22:46.787]  This is worse than I even thought.
[00:22:46.787 --> 00:22:49.328]  I am shaking right now.
[00:22:49.328 --> 00:22:51.749]  They are definitely going for absolute broke.
[00:22:51.749 --> 00:22:52.589]  This is it.
[00:22:52.589 --> 00:22:54.789]  This is the total, complete takeover.
[00:22:54.789 --> 00:22:57.590]  They're going to stage massive terror attacks, but I'll tell you this,
[00:22:58.891 --> 00:23:01.512]  The good news is the people are waking up.
[00:23:01.512 --> 00:23:03.712]  I'm in here getting ready to do the Sunday Syndicated Show.
[00:23:03.712 --> 00:23:05.213]  It's really growing, by the way.
[00:23:05.213 --> 00:23:07.493]  And I'm listening to Dr. Dina Dell, who I've interviewed before.
[00:23:07.493 --> 00:23:09.374]  He's a different cat when he's on your show.
[00:23:09.374 --> 00:23:12.635]  And he knows who I am.
