[00:00.000 --> 00:05.000]  You're listening to GCN, the world leader in independent talk radio.
[04:07.000 --> 04:16.000]  So you will need to go to DrudgeReport.com to find a lot of the stories I'm going to be covering, obviously.
[04:17.000 --> 04:21.000]  Look at this headline. What are these weird street signs being installed in Las Vegas?
[04:22.000 --> 04:31.000]  And they look just like the Intellistreets designs that Homeland Security is spending billions of dollars on where streetlights and power poles become surveillance grids.
[04:31.000 --> 04:41.000]  And then they also give the public orders and in the future of these companies, or several, admit you'll waive your ID card in front of it or stand for a face scan.
[04:42.000 --> 04:47.000]  And what they do is they bark orders demanding you line up in front of the computer or a SWAT team is coming.
[04:48.000 --> 04:55.000]  I'm not joking. And there's also a video of people out in California. The cops come to the door, the kids are playing in the yard.
[04:56.000 --> 04:59.000]  They go, we're going to come in and make sure there's no disturbance. They say there is no disturbance.
[04:59.000 --> 05:06.000]  So the cops bust in and then taser both the man and woman who are doing nothing as punishment.
[05:07.000 --> 05:19.000]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird flu recently discovered in China, there has never been a more crucial time to support your immune system.
[05:19.000 --> 05:32.000]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver and is powerful enough to help protect you and your family.
[05:33.000 --> 05:40.000]  Supernatural Silver is scientifically supported, highly effective, and perfect for everyday use inside the body as well as out.
[05:40.000 --> 05:49.000]  The Science Digest Journal says silver is our mightiest germ fighter. It is virtually non-toxic and is emerging as a wonder of modern medicine.
[05:50.000 --> 05:55.000]  Supernatural Silver is the number one choice of thousands for improved health and immune system support.
[05:56.000 --> 06:07.000]  To find out how Supernatural Silver can change your life, go to SupernaturalSilver.com and use the promo code SPRING2013 for 20% off and like us on Facebook.
[06:07.000 --> 06:11.000]  In the last two years alone, the U.S. has seen huge losses to our food supply.
[06:12.000 --> 06:17.000]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[06:18.000 --> 06:21.000]  In 2012, we saw the largest drought in the country in more than 50 years.
[06:22.000 --> 06:25.000]  You may think out of sight, out of mind, and so you don't think you will be affected.
[06:26.000 --> 06:27.000]  The fact is you are. We all are.
[06:28.000 --> 06:30.000]  Food shortages drive prices up for everyone.
[06:30.000 --> 06:38.000]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[06:39.000 --> 06:43.000]  Be prepared before you need it with nutrient-dense food you can store for up to 25 years.
[06:44.000 --> 06:46.000]  You can hope for the best, but hope won't feed you.
[06:47.000 --> 06:50.000]  Do what I've done and get your own supply of the best, durable foods out there from eFoods Direct.
[06:51.000 --> 06:58.000]  Call 800-409-5633 or visit them on the web at eFoodsDirect.com forward slash Alex and check out their spring specials.
[06:58.000 --> 07:04.000]  Again, that number is 800-409-5633 or on the web at eFoodsDirect.com forward slash Alex.
[07:05.000 --> 07:07.000]  You can bet your life on eFoods Direct.
[07:08.000 --> 07:10.000]  You prepare by purchasing gold, food, and firearms.
[07:11.000 --> 07:16.000]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[07:17.000 --> 07:20.000]  When you're sleeping or away from home, who's watching out for intruders?
[07:21.000 --> 07:26.000]  Check out Simply Safe. It's a new do-it-yourself home security system that is completely wireless.
[07:26.000 --> 07:29.000]  Go to GetSimplySafe.com.
[07:30.000 --> 07:32.000]  Simply Safe is independent and off the grid.
[07:33.000 --> 07:36.000]  It runs on battery power, so even if the grid goes down, you're protected.
[07:37.000 --> 07:43.000]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[07:44.000 --> 07:45.000]  GetSimplySafe.com.
[07:46.000 --> 07:50.000]  Simply Safe is also ridiculously easy to install yourself in under 20 minutes.
[07:51.000 --> 07:53.000]  So there's no need to let a stranger into your home.
[07:53.000 --> 07:57.000]  If you move or need to relocate, you can take the system with you wherever you go.
[07:58.000 --> 08:04.000]  You aren't always at home, but Simply Safe will stand guard, protecting your property 24 hours a day, 7 days a week.
[08:05.000 --> 08:07.000]  Again, that's GetSimplySafe.com.
[08:10.000 --> 08:13.000]  Crashing through the lies and disinformation.
[08:13.000 --> 08:32.000]  It's Alex Jones on the GCN Radio Network.
[08:33.000 --> 08:35.000]  Ladies and gentlemen, I'm your host, Alex Jones. Thank you so much for joining us.
[08:35.000 --> 08:44.000]  It is the 15th day of May 2013, and I'm going to open the phones up throughout the three hours today.
[08:45.000 --> 08:57.000]  Dr. Corey Gold's talk show host in his own right is going to be joining us to give us his take on Benghazi gate, IRS gate, media spying, persecution gate, whatever you want to call it.
[08:58.000 --> 08:59.000]  What is behind all this and where is it going?
[09:00.000 --> 09:01.000]  There's now talk, which is good.
[09:01.000 --> 09:04.000]  That's where it should be going by Boehner of all people.
[09:05.000 --> 09:21.000]  The Speaker of the House to go after Obama or people in his party, in his criminal government with criminal charges.
[09:22.000 --> 09:24.000]  They're talking about who is going to go to jail.
[09:24.000 --> 09:31.000]  Someone needs to go to jail and national polls are out showing the majority of Americans want jail time for these criminals as well.
[09:32.000 --> 09:36.000]  We have footage up on Infowars.com about in California.
[09:37.000 --> 09:40.000]  The police come and say we heard there's a report of loud voices.
[09:41.000 --> 09:44.000]  And the family says, well, nothing's going on here.
[09:45.000 --> 09:46.000]  Kids are playing in the yard. We don't need any help.
[09:47.000 --> 09:48.000]  The cops say we're going to come in.
[09:49.000 --> 09:51.000]  You're going to get on the floor.
[09:51.000 --> 09:53.000]  And they say, no, you need a warrant for that.
[09:54.000 --> 09:55.000]  And that's what the courts have ruled.
[09:56.000 --> 10:01.000]  And they kick the door down and the people have their hands up and they both taser them as punishment.
[10:02.000 --> 10:05.000]  We're going to play that video and audio later.
[10:06.000 --> 10:14.000]  And then there's new footage up on Infowars.com of a reporter who went to an area northwest of London to actually visit a friend.
[10:14.000 --> 10:22.000]  And while he was at it, thought, well, nearby is the Grove Hotel where Bilderberg is going to be meeting in a few weeks.
[10:23.000 --> 10:24.000]  Google is already set to meet there next week.
[10:25.000 --> 10:27.000]  And a helicopter came over and then police.
[10:28.000 --> 10:37.000]  First he's like, oh, is that helicopter hovering over me for them as I walk down a country road just wanting to videotape a golf course?
[10:38.000 --> 10:40.000]  And then police show up and say, we've got to put you basically in a database.
[10:41.000 --> 10:42.000]  Give us your info. Why are you here?
[10:42.000 --> 10:45.000]  And secret police all over the place.
[10:46.000 --> 10:51.000]  And this is the essence of secret police where they just say, hi, we're here to look into what you're doing.
[10:52.000 --> 10:54.000]  We're here to put you in a database.
[10:55.000 --> 10:56.000]  We're here to make you answer questions.
[10:57.000 --> 10:59.000]  And you say, well, I'm not going to answer your questions.
[11:00.000 --> 11:04.000]  Well, we're going to beat you up and say that you said that you resisted us.
[11:05.000 --> 11:06.000]  It doesn't matter if it's on tape.
[11:07.000 --> 11:08.000]  They have kept juries that will put you in jail.
[11:08.000 --> 11:13.000]  We have the biggest prison population in the world here in the U.S. and it's only getting worse.
[11:14.000 --> 11:23.000]  And the system wants the police to act in a thuggish way against the public and train us that we're all criminals when the real criminals in government are above the law.
[11:24.000 --> 11:26.000]  And again, I'm not saying all police are bad.
[11:27.000 --> 11:30.000]  Most police are actually good people that sign up for the real reasons.
[11:31.000 --> 11:35.000]  But the thugs, the bullies are being promoted to the top and they are protecting the thugs.
[11:35.000 --> 11:41.000]  And there's a conversion over to the way police forces are in North Korea or Mexico.
[11:42.000 --> 11:52.000]  Now, that said, we reported last year on Intellistreets and other companies getting Homeland Security grants to put microphones in cameras and face scanning cameras.
[11:53.000 --> 11:58.000]  And New York's already putting these up in systems that scan through your clothes, quote, looking for weapons.
[11:59.000 --> 12:03.000]  So again, guilty until proven innocent, piercing your clothes, violating the Fourth Amendment.
[12:03.000 --> 12:10.000]  Because your person, you know, the clothing over you is your privacy, is your privacy.
[12:11.000 --> 12:13.000]  It's very, very simple.
[12:14.000 --> 12:22.000]  And we need your help up on Infowars.com with an article that we've got posted.
[12:23.000 --> 12:27.000]  What are these weird street signs being put up all over Las Vegas?
[12:27.000 --> 12:36.000]  And you look at them, they have the symbol of a badge on them with computer screens above, in the center and below.
[12:37.000 --> 12:44.000]  And they then have wiring going up to what looks like little command pods on the top of them.
[12:45.000 --> 12:50.000]  These are clearly police communication hub slash spy grids.
[12:51.000 --> 12:53.000]  But we need to identify exactly what company it is.
[12:53.000 --> 13:00.000]  The folks that sent us these images, I wish they would have gone to the back of the panels and looked for the stamp of manufacture.
[13:01.000 --> 13:09.000]  Because that would let us know. This is definitely some type of, you know, Google type wireless grabbing spy pod command pod.
[13:10.000 --> 13:12.000]  Because we can see the communications arrays.
[13:13.000 --> 13:16.000]  But it's also clearly there to give orders and commands to the public.
[13:16.000 --> 13:24.000]  A decade ago in England, they put up as the test ground thousands of telescreens that actually bark orders at you.
[13:25.000 --> 13:35.000]  And that it has a computer with sent messages, but then also the police can come over it and demand as it barks orders.
[13:36.000 --> 13:38.000]  There's the headline, talking surveillance cameras coming to US streets.
[13:39.000 --> 13:42.000]  That's May 14th, 2012, almost exactly a year ago.
[13:42.000 --> 13:45.000]  Wow. Talking surveillance cameras coming to US streets.
[13:46.000 --> 13:49.000]  IntelliStreet system now being installed with DHS backing.
[13:50.000 --> 13:54.000]  And it looks like the IntelliStreet or one of the other companies, but we need to confirm that.
[13:55.000 --> 13:57.000]  That indeed these are going in.
[13:58.000 --> 14:04.000]  And then it tells you, presents yourself, show ID, the new IDs, and we have the RFID chips in them in every state.
[14:05.000 --> 14:09.000]  And then you present yourself via the digital photo of your driver's license and it scans you.
[14:09.000 --> 14:15.000]  It takes a digital photo and that's the new system where you're walking and it goes, stand up straight up against the wall.
[14:16.000 --> 14:18.000]  Don't introduce a will respond in police presence.
[14:19.000 --> 14:22.000]  And the cops pull up. They're like, why didn't you stop back there? Well, I'm going somewhere.
[14:23.000 --> 14:24.000]  All right, buddy, up against the wall.
[14:25.000 --> 14:26.000]  Hey, welcome to America.
[14:29.000 --> 14:33.000]  And by the way, we have video this happening more and more, and then they'll beat somebody to death.
[14:34.000 --> 14:36.000]  And if you videotape it, they'll beat you to death or they'll put you in jail.
[14:36.000 --> 14:43.000]  Even when the footage comes out, I mean, they'll put a guy in handcuffs, shoot him right in the back and then grab everybody's video cameras.
[14:44.000 --> 14:45.000]  I mean, you've seen those cases.
[14:46.000 --> 14:50.000]  This is all a giant control grid for us where we are the hunted.
[14:51.000 --> 14:53.000]  And again, oh, it's going to stop crime.
[14:54.000 --> 14:58.000]  The government runs the motorcycle gangs, runs the gangs, runs the drugs, launders the money.
[14:59.000 --> 15:01.000]  They run the child kidnapping, all of it.
[15:02.000 --> 15:03.000]  All of it. I mean, look it up.
[15:03.000 --> 15:08.000]  Help me. Homeless man begs as cops fatally beat him in videotaped incident.
[15:09.000 --> 15:11.000]  Now, that was one of the famous ones out in California.
[15:12.000 --> 15:15.000]  It was just another one where they grabbed everybody's video tapes, all their phones.
[15:16.000 --> 15:18.000]  Took people to jail, you name it.
[15:19.000 --> 15:22.000]  And I think that's good. I think anybody videotaping police should be executed.
[15:23.000 --> 15:27.000]  By the way, I've got some articles. I'm going to get to make sarcastic, folks.
[15:27.000 --> 15:32.000]  I've got some articles. Are Austin police shootings a growing trend? K.I.
[15:33.000 --> 15:34.000]  A growing trend? They are way up.
[15:35.000 --> 15:38.000]  And I've said we've got a better department here in Austin than the many cities I've been to.
[15:39.000 --> 15:41.000]  But still, I mean, look at the benchmark we're at.
[15:42.000 --> 15:44.000]  Like, yeah, OK, Austin police are a lot better than North Korea.
[15:45.000 --> 15:46.000]  They're a lot better than New York police.
[15:47.000 --> 15:48.000]  But I don't want to become that.
[15:49.000 --> 15:53.000]  Exclusive. Shootings by Philly police soar as violent crime plummets.
[15:53.000 --> 15:57.000]  Philly dot com. Philadelphia Inquirer.
[15:59.000 --> 16:02.000]  And it goes through how they just pull people over and just shoot them.
[16:03.000 --> 16:04.000]  And that's the same thing happening in Austin.
[16:05.000 --> 16:06.000]  They pulled a guy over.
[16:07.000 --> 16:08.000]  And he got out, didn't do anything.
[16:09.000 --> 16:10.000]  And then they started shooting at him.
[16:11.000 --> 16:13.000]  Because he reportedly put his cell phone in his pocket.
[16:14.000 --> 16:15.000]  You know, you get out of the car, you get your cell phone. All right.
[16:16.000 --> 16:17.000]  Oh, boom, boom.
[16:18.000 --> 16:21.000]  And because they're so afraid, because they all go watch Olympus has fallen.
[16:21.000 --> 16:27.000]  They all go watch these movies and they really believe that there are people trying to kill them everywhere.
[16:28.000 --> 16:31.000]  As the violent crime rate has dropped forty nine percent.
[16:32.000 --> 16:33.000]  I've been reporting this for months.
[16:34.000 --> 16:35.000]  The Justice Department finally put out a full report on it.
[16:36.000 --> 16:38.000]  The L.A. Times. Here's the L.A. Times headline.
[16:39.000 --> 16:41.000]  Gun crime has plunged, but Americans think it's up.
[16:42.000 --> 16:43.000]  Study says. And it's cops as well.
[16:44.000 --> 16:49.000]  I mean, if you talk to a cop now, like you'll see a cop walking down the street like, hey, how's it going?
[16:49.000 --> 16:52.000]  They're like. Why are you talking to me?
[16:53.000 --> 16:57.000]  I mean, it's fear because, you know, they go watch 24 and they watch all these cop shows.
[16:58.000 --> 17:01.000]  And it's not just the cops, it's the general public.
[17:02.000 --> 17:05.000]  They literally believe terrorists are everywhere.
[17:06.000 --> 17:08.000]  Of course, I've seen the numbers. It varies year to year.
[17:09.000 --> 17:12.000]  But usually in an average year, you're about 13, 14 times.
[17:13.000 --> 17:14.000]  You can look this up, folks.
[17:14.000 --> 17:19.000]  You're more likely to die as a police officer in a car wreck or being run over by a driver.
[17:20.000 --> 17:22.000]  And cops know this. We really think about it.
[17:23.000 --> 17:25.000]  Then you are to be shot.
[17:26.000 --> 17:28.000]  Then you are to be shot.
[17:29.000 --> 17:32.000]  And it's just the wicked flee when none pursue.
[17:33.000 --> 17:34.000]  And if you're not wicked, that message isn't for you.
[17:35.000 --> 17:36.000]  But I just don't get it.
[17:37.000 --> 17:38.000]  I mean, this isn't real. The video games aren't real.
[17:39.000 --> 17:40.000]  The TV shows aren't real.
[17:40.000 --> 17:45.000]  There aren't really terrorists except for ones that globalists manufacture 99 percent of the time.
[17:46.000 --> 17:52.000]  I have found real terror attacks that have happened in the Middle East where it's asymmetrical warfare, where people fight.
[17:53.000 --> 17:58.000]  It's just war. But to demonize somebody you're in a war with, I'm not taking sides here, I'm just saying they're really asymmetrical.
[17:59.000 --> 18:03.000]  There is asymmetrical combat that goes on, and that is called terrorism.
[18:03.000 --> 18:09.000]  Now, when the West funds al-Qaeda to attack Libya and Syria and engage in, we look at the number.
[18:10.000 --> 18:13.000]  120,000 dead, most of them civilians, by al-Qaeda.
[18:14.000 --> 18:17.000]  120,000 dead in the last two years in Syria and growing.
[18:18.000 --> 18:23.000]  Lining the Alawite minority up, killing them, killing Christians, Jews, and it's called a protest.
[18:24.000 --> 18:31.000]  When they attacked the ambassador over the six to eight hours in Libya, it was called a protest.
[18:31.000 --> 18:39.000]  So real terrorists are called protesters, and there it is, Syrian death toll likely as high as 120,000, group says.
[18:40.000 --> 18:47.000]  That is from just yesterday out of the Huffington Post, but I think it's an AP article in Huffington Post.
[18:48.000 --> 18:53.000]  The point is, is that, see, I'm glad you pulled that up, guys, people don't think I'm making this stuff up.
[18:54.000 --> 18:56.000]  People just get amazed, I can rattle off statistics.
[18:56.000 --> 19:06.000]  You can rattle off baseball scores, but you can't rattle off 69% drop in wounding fatalities, I mean, in a wounding.
[19:07.000 --> 19:15.000]  39% in shooting fatality drops, and 49% overall violent crime rate drop since 1992.
[19:16.000 --> 19:20.000]  Look it up, I covered this last week, it's LA Times now.
[19:20.000 --> 19:28.000]  We've been telling you this since these statistics came out a few months ago, but now here it is, mainstream news, mainstream news.
[19:31.000 --> 19:36.000]  So that's just some of the videos and some of the articles that are up on infoawars.com right now.
[19:37.000 --> 19:42.000]  Shock video, California police break into home, tase victims, and the people are like, calm.
[19:43.000 --> 19:45.000]  They're like, okay, you just broke in our house, nothing's going on.
[19:45.000 --> 19:49.000]  People have their hands up, like good victims, and the cops taser them both.
[19:51.000 --> 19:55.000]  And people are even on my website defending it, going, well, we don't know what was going on in there.
[19:56.000 --> 20:00.000]  Hey, everybody, they show up at your house, hands up, come out, we're going to search your home without a warrant.
[20:01.000 --> 20:02.000]  It's the new America.
[20:03.000 --> 20:05.000]  And it's all getting you ready to take your bank accounts.
[20:06.000 --> 20:07.000]  So don't worry, cops, you're going to get it too.
[20:08.000 --> 20:12.000]  Man, I love that buttstock pouch on your Mosin Nagant. Where'd you get it?
[20:12.000 --> 20:20.000]  Strike Hard Gear. They have lots of hard to find gear for us Comblock shooters, like chest rigs and pouches for your SKS duck bill magazines.
[20:21.000 --> 20:22.000]  Set your sights on StrikeHardGear.com.
[20:23.000 --> 20:26.000]  Tough tactical gear for your Soviet-style weapon that's made in the USA.
[20:27.000 --> 20:31.000]  Plus a no-questions-asked 30-day money-back guarantee and lifetime replacement warranty.
[20:32.000 --> 20:36.000]  Enter GCN for a 5% discount on all products at StrikeHardGear.com.
[20:36.000 --> 20:46.000]  We the people grow cotton, we fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it lead back at interest, forcing taxes to service debt.
[20:47.000 --> 20:53.000]  This capitalism, or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[20:54.000 --> 21:00.000]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system. Call for your copy. 800-686-2237.
[21:00.000 --> 21:06.000]  It's time to understand the system. Call 800-686-2237. That's 800-686-2237.
[21:07.000 --> 21:10.000]  You prepare by purchasing gold, food and firearms.
[21:11.000 --> 21:16.000]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[21:17.000 --> 21:20.000]  When you're sleeping or away from home, who's watching out for intruders?
[21:21.000 --> 21:26.000]  Check out SimpliSafe. It's a new do-it-yourself home security system that is completely wireless.
[21:26.000 --> 21:29.000]  Go to GetSimplySafe.com.
[21:30.000 --> 21:36.000]  SimpliSafe is independent and off the grid. It runs on battery power, so even if the grid goes down, you're protected.
[21:37.000 --> 21:42.000]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit or shed.
[21:43.000 --> 21:45.000]  GetSimplySafe.com.
[21:46.000 --> 21:52.000]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[21:52.000 --> 21:56.000]  If you move or need to relocate, you can take the system with you wherever you go.
[21:57.000 --> 22:03.000]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[22:04.000 --> 22:06.000]  Again, that's GetSimplySafe.com.
[22:10.000 --> 22:18.000]  Stiction. It's the cholesterol of your diesel engine that clogs the arteries of your injectors, causing hard starts, bucking and chugging and potential injector failure.
[22:18.000 --> 22:25.000]  I used Hot Shot one time, drove to Alabama, 700 miles from where I live. I'll tell you what, it fixed the problem.
[22:26.000 --> 22:30.000]  9 out of 10 failed injectors can be rejuvenated with Hot Shot's Secret Stiction Eliminator.
[22:31.000 --> 22:35.000]  One $52 bottle could save you the cost of an expensive injector replacement.
[22:36.000 --> 22:37.000]  Deep Discount. Today only.
[22:38.000 --> 22:42.000]  For today only, purchase Hot Shot's Secret Stiction Eliminator online at $26.99.
[22:43.000 --> 22:46.000]  That's 50% off the retail price and includes free shipping.
[22:46.000 --> 22:50.000]  This price is only available online at HotShotSecret.com.
[22:51.000 --> 22:52.000]  Offer expires at noon today Pacific time.
[22:53.000 --> 22:58.000]  Visit HotShotSecret.com and click the microphone to grab your 50% discount and free shipping.
[22:59.000 --> 23:02.000]  This is a one-day promotion and will not be offered tomorrow or next week.
[23:03.000 --> 23:05.000]  Hot Shot Secrets. Powered by science.
[23:07.000 --> 23:09.000]  Time and time again.
[23:10.000 --> 23:13.000]  You need to come here and help us. We need assistance. Please.
[23:13.000 --> 23:16.000]  Those we should be able to depend on, let us down.
[23:17.000 --> 23:20.000]  Federal and state and local officials saying help is on the way.
[23:21.000 --> 23:23.000]  Will the folks here in Bell Harbor say show me?
[23:24.000 --> 23:25.000]  Don't depend on the government to save you.
[23:26.000 --> 23:32.000]  Take action now so that you're prepared for the next disaster with MyPatriotSupply.com.
[23:33.000 --> 23:38.000]  Get the best prices on storable food, non-GMO seeds, water filtration devices,
[23:38.000 --> 23:45.000]  home canning equipment, survival and self-reliance books and more at MyPatriotSupply.com.
[23:46.000 --> 23:49.000]  Call 866-229-0927.
[23:50.000 --> 23:53.000]  We are hurting down here and we need help immediately.
[23:54.000 --> 23:58.000]  Before it's time to survive, it's time to prepare.
[23:58.000 --> 24:07.000]  MyPatriotSupply.com. MyPatriotSupply.com.
[24:28.000 --> 24:33.000]  The reading list and private thoughts of Tea Party groups they were harassing and auditing.
[24:34.000 --> 24:41.000]  You see, they're turning the census into a yearly and then monthly government interrogation with threats of arrest
[24:42.000 --> 24:45.000]  if you don't violate your own Fifth Amendment and waive your rights as well as your Fourth Amendment.
[24:46.000 --> 24:53.000]  They are turning the IRS into something that runs your healthcare and spies on you and enforces everything and is a political control arm.
[24:53.000 --> 25:02.000]  They're taking all these federal agencies and they're metastasizing right now as the country is bankrupted by design.
[25:03.000 --> 25:07.000]  Obama campaign co-chair attacked Romney with leaked docs. No kidding.
[25:08.000 --> 25:13.000]  IRS approved liberal groups with Tea Party in limbo. GOP impeachment not off the table.
[25:14.000 --> 25:19.000]  Prominent Catholic professor claims IRS audited her after speaking out against Obama. Absolutely.
[25:19.000 --> 25:28.000]  This is all part of the intimidation. Demand to know who was paying for her.
[25:29.000 --> 25:38.000]  IRS asked for Facebook post. Demanded list of students that were part of libertarian and conservative groups.
[25:39.000 --> 25:42.000]  This is what a free country does? Well, they're just making sure.
[25:43.000 --> 25:46.000]  IRS wants you to share everything. Politico reports.
[25:46.000 --> 25:50.000]  And again, they're hoping to just bring all this out and normalize it.
[25:51.000 --> 25:56.000]  And so many people I talk to now go, you're absolutely right about this, but I better not visit info wars dot com.
[25:57.000 --> 26:02.000]  I better not speak out. They'll get me. No, if you give in to the fear, they will get everyone.
[26:03.000 --> 26:06.000]  This is what an authoritarian normalization looks like.
[26:07.000 --> 26:10.000]  I mean, it's like sheriffs in Palm Beach County.
[26:10.000 --> 26:22.000]  The sheriff comes out and says, if anyone criticizes the government, call us and we'll drop by to see what they're up to and have a nice little talk with them.
[26:23.000 --> 26:31.000]  What they'll do is force their way in your house without a warrant, grab you for a forced psychological evaluation by one of their hired psychiatrist or psychologist and take your guns.
[26:32.000 --> 26:37.000]  And there'll be no judge, no jury. You will now be listed as a mental patient in their fake database.
[26:37.000 --> 26:41.000]  People go, well, the sheriff also said if somebody talks about shooting the mayor.
[26:42.000 --> 26:47.000]  Now, what they say is if someone says they don't like the government or that they're angry at the government or they want to shoot the mayor.
[26:48.000 --> 26:57.000]  It's like if somebody says they want the Constitution and to kill their kids, see, they they add that into it to demonize the earlier point.
[26:57.000 --> 27:12.000]  It's all semantical con games with these people. And now all over the country, they're putting up microphones and cameras and and and telescreens and and and and telling you how they're going to prosecute you for this and prosecute for that.
[27:13.000 --> 27:18.000]  And we're watching you and you can't be trusted and you better do what the government says and you better.
[27:18.000 --> 27:30.000]  And oh, there's. There's all sorts of rulings like town hall reporting court rules against German homeschooling family seeking asylum who face prison time for homeschooling their children.
[27:31.000 --> 27:36.000]  And Obama is turning the family back, who's been here for three years from asylum.
[27:37.000 --> 27:45.000]  Oh, if you are if you're running from North Korea or you're running from stuff in Germany, which is an incredible police state now on many fronts, you're not allowed to get away.
[27:45.000 --> 27:49.000]  Oh, you're going to stay there because they want to make America like Germany is.
[27:50.000 --> 27:55.000]  They're trying to ban homeschooling. California a few years ago tried to ban it, but it got defeated in court.
[27:56.000 --> 28:07.000]  And they said in the court argument at the state level, I remember reading the the filing, they said the state has jurisdiction over your children and they are the primary guardians.
[28:07.000 --> 28:17.000]  And then now MSNBC in promo says the community, the state is the parents, not you. Your children are not yours.
[28:18.000 --> 28:21.000]  We need to get over this idea that your children are yours.
[28:22.000 --> 28:34.000]  And I'm glad you're upset out there. You know, I tell my entire crew who sits in there and gets upset about all this and they watch the videos, we're getting ready to play and they get upset and they say something's got to be done and they're all in there talking angry.
[28:34.000 --> 28:41.000]  And I looked at them all and I said, hey, everywhere I walk around in this office, people are in the coffee room, wherever looking at articles discussing it.
[28:42.000 --> 28:46.000]  And I'm glad I've got a crew that cares about this information. I'm glad I've got a crew that works so hard.
[28:47.000 --> 28:57.000]  I'm glad I've got a crew that is upset. But I say this, don't just sit around at your office or don't just sit around at church or wherever and talk with a few friends about how you're upset about what's going on.
[28:57.000 --> 29:08.000]  Go to the city council, go to the county commissioners, let them know that you're the boss and they're the servant. Set up your own YouTube channel, do your own radio podcast, go do your own YouTube channel.
[29:09.000 --> 29:21.000]  Because I've told particular people in this office that are constantly walking around talking to everybody else, everybody goes to them to talk about the New World Order and I'm like, when do all these great ideas get on air?
[29:21.000 --> 29:27.000]  When do all these discussions fight the New World Order? When are you going to put that on air? Put that on air.
