[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[00:03:23.202 --> 00:03:28.847]  And for every person they censor and shut down, so many other beautiful people pop up.
[00:03:28.847 --> 00:03:31.749]  And I'm just seeing all these new folks.
[00:03:31.749 --> 00:03:36.534]  Brown, yellow, red, black, pink.
[00:03:36.534 --> 00:03:38.095]  Some folks have beautiful porcelain skin.
[00:03:38.095 --> 00:03:38.415]  It's true.
[00:03:38.415 --> 00:03:39.957]  Some are like what you'd call white.
[00:03:39.957 --> 00:03:46.983]  But beautiful ebony skin and beautiful, just beautiful humans with beautiful eyes and beautiful souls.
[00:03:46.983 --> 00:03:47.684]  And so beautiful.
[00:03:48.855 --> 00:03:49.716]  And so good.
[00:03:49.716 --> 00:03:51.318]  The soul is what's so beautiful.
[00:03:51.318 --> 00:03:53.119]  It shines through those eyes.
[00:03:53.119 --> 00:03:58.545]  And to see this test and what it's really all about to show who's who is incredible.
[00:03:58.545 --> 00:04:00.026]  A lot of people are going to tap out.
[00:04:00.026 --> 00:04:01.728]  A lot of people are going to back down.
[00:04:01.728 --> 00:04:03.830]  A lot of people are going to roll over and try to hide.
[00:04:03.830 --> 00:04:06.653]  But this broadcast is not about hiding.
[00:04:06.653 --> 00:04:09.856]  This broadcast is about victory and overcoming.
[00:04:09.856 --> 00:04:13.059]  And when the enemy comes in like a flood,
[00:04:14.246 --> 00:04:18.250]  The Spirit of the Lord lifts up a standard against it.
[00:04:18.250 --> 00:04:34.266]  And I'm not that standard, but we together, collectively, our guests, our callers, the crew, our reporters, everything that's InfoWars is, is the standard that when the enemy comes in like a flood, the Spirit of the Lord
[00:04:35.498 --> 00:04:45.387]  Lifts up a standard against it, and I can feel my spirit in the wind as that standard, as that flag going forward.
[00:04:45.387 --> 00:04:50.471]  I can feel the energy and the resistance and the power of the people.
[00:04:50.471 --> 00:04:53.214]  And I am just so honored to be here with you.
[00:04:53.214 --> 00:04:54.755]  God bless you all.
[00:04:54.755 --> 00:04:55.896]  We'll be right back.
[00:04:55.896 --> 00:04:57.838]  The transmission kicks off in 60 seconds.
[00:05:00.851 --> 00:05:02.935]  I don't promote things unless they really work.
[00:05:14.599 --> 00:05:16.820]  You'll just take them and you'll just try them.
[00:05:16.820 --> 00:05:18.962]  I know you'll be our big customers.
[00:05:18.962 --> 00:05:22.184]  And finally, one of our best-selling products, sold out for months, it's back in stock.
[00:05:22.184 --> 00:05:23.165]  It's X3.
[00:05:23.165 --> 00:05:33.832]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[00:05:33.832 --> 00:05:38.435]  So X3, despite the fact it was run on iodine, is still on sale.
[00:05:38.795 --> 00:05:46.104]  At 50% off right now at InfoWarStore.com and it funds the Info War, which is a 360 win.
[00:05:46.104 --> 00:05:52.652]  If you've not experienced the power of iodine, takes two weeks to kick out on average, you've got to go to InfoWarStore.com and get X3 50% off.
[00:05:52.652 --> 00:05:53.373]  X3 50% off, InfoWarStore.com.
[00:06:11.218 --> 00:06:12.339]  Big Brother.
[00:06:12.339 --> 00:06:14.141]  Mainstream media.
[00:06:14.141 --> 00:06:16.022]  Government cover-ups.
[00:06:16.022 --> 00:06:17.743]  You want to stop tyranny?
[00:06:17.743 --> 00:06:19.405]  Well, so does he.
[00:06:19.405 --> 00:06:25.270]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:25.270 --> 00:06:35.198]  So, if you want to know the enemy main battle plan, it's the destabilization of civilization, the destruction of the family, the annihilation of small businesses and farms, to make us dependent on them.
[00:06:36.584 --> 00:06:48.712]  Then they'll have this digital overlay, digital currency, where they can program the digital tokens, where you can only spend them the ways they want you to, and they can track and trace you, and basically take money out of your account anytime they want.
[00:06:48.712 --> 00:06:50.413]  That's the golden goose.
[00:06:50.413 --> 00:06:52.074]  That's the brass ring.
[00:06:52.074 --> 00:06:54.916]  That's what the New World Order wants.
[00:06:54.916 --> 00:07:00.380]  And PayPal, a totally New World Order company, Peter Thiel hasn't owned it in over a decade.
[00:07:00.380 --> 00:07:03.542]  When I got banned on PayPal like four years ago, they go, Peter Thiel's a conservative.
[00:07:03.542 --> 00:07:04.182]  He wouldn't ban you.
[00:07:04.182 --> 00:07:05.423]  He didn't own it.
[00:07:05.423 --> 00:07:06.424]  Didn't have any interest in it anymore.
[00:07:07.270 --> 00:07:07.470]  I don't
[00:07:24.707 --> 00:07:26.128]  This J.P.
[00:07:26.128 --> 00:07:34.194]  Sears great little piece that the news host and comedian just released dealing with this because it's all completely accurate.
[00:07:34.194 --> 00:07:35.275]  It's all real.
[00:07:35.275 --> 00:07:40.219]  He just puts it in a comical fashion except he says the power is the people rallying and saying no.
[00:07:40.219 --> 00:07:41.600]  That's what's defeating PayPal.
[00:07:41.600 --> 00:07:44.162]  And that's true.
[00:07:44.162 --> 00:07:45.603]  But PayPal didn't do this on its own.
[00:07:45.603 --> 00:07:47.184]  This is the admitted agenda.
[00:07:47.184 --> 00:07:50.607]  This is already in place in China, going in in India and many other places.
[00:07:52.199 --> 00:07:57.401]  So the secret to this is, yes, we can do it until all the platforms do it.
[00:07:57.401 --> 00:07:59.322]  And that's what they're putting in place.
[00:07:59.322 --> 00:08:02.223]  And then you must follow every directive they give you.
[00:08:02.223 --> 00:08:04.464]  And it won't just be the latest leftist directive.
[00:08:04.464 --> 00:08:07.205]  Once the chains are on, it will be depopulation.
[00:08:07.205 --> 00:08:08.566]  It will be sterilization.
[00:08:08.566 --> 00:08:10.306]  It will be death.
[00:08:10.306 --> 00:08:13.768]  Total surveillance, total control.
[00:08:13.768 --> 00:08:14.308]  So J.P.
[00:08:14.308 --> 00:08:17.489]  Sears, I give him an A+, a 95.
[00:08:17.489 --> 00:08:18.130]  But you can get a 100.
[00:08:18.130 --> 00:08:20.891]  Because he didn't explain
[00:08:22.130 --> 00:08:23.950]  The Achilles heel.
[00:08:23.950 --> 00:08:38.573]  Once they get this in system-wide, once they make college students or federal workers or certain groups accept a social credit score, then it's for everybody else later, the military, then it's for everybody.
[00:08:38.573 --> 00:08:39.913]  So that's when they get us.
[00:08:39.913 --> 00:08:43.554]  But they are trying it and now's the key time to beat it and say no.
[00:08:43.554 --> 00:08:45.775]  And humanity is waking up and is saying no.
[00:08:45.775 --> 00:08:47.595]  So the front and center is this.
[00:08:49.195 --> 00:08:54.158]  They may be able to freeze your bank account, control your digital currency, force you onto this, get rid of cash.
[00:08:54.158 --> 00:08:55.178]  That's the holy grail.
[00:08:55.178 --> 00:08:56.619]  That's the mark of the beast.
[00:08:56.619 --> 00:08:59.741]  And so here's the piece where J.P.
[00:08:59.741 --> 00:09:01.162]  Sears really knocks it all apart.
[00:09:05.576 --> 00:09:11.400]  Alright, we're making billions of dollars and that's still not enough.
[00:09:11.400 --> 00:09:15.922]  We need to figure out how we can make even more money from our users.
[00:09:15.922 --> 00:09:19.785]  You mean even more money than we already charge for transactions?
[00:09:19.785 --> 00:09:20.585]  Yes!
[00:09:20.585 --> 00:09:22.687]  We're just making peanuts!
[00:09:22.687 --> 00:09:31.252]  We need to find a way to massively spike our profits by asserting more control over our users as people.
[00:09:31.252 --> 00:09:34.414]  Well that'll be tough to think of in a way that's ethical.
[00:09:35.134 --> 00:09:36.334]  I've got an idea.
[00:09:36.334 --> 00:09:37.895]  Yes, Cletus?
[00:09:37.895 --> 00:09:38.835]  What is it?
[00:09:38.835 --> 00:09:42.915]  Well, what if we treat our users like they're criminals?
[00:09:42.915 --> 00:09:44.696]  I like where you're going with this.
[00:09:44.696 --> 00:09:45.996]  Say more.
[00:09:45.996 --> 00:09:49.157]  Yeah, like, what if we fine our users $2,500?
[00:09:49.157 --> 00:09:51.937]  Fine them for what?
[00:09:51.937 --> 00:09:58.698]  We fine them $2,500 any time they speak misinformation.
[00:09:58.698 --> 00:10:02.119]  And who determines what this misinformation is?
[00:10:03.246 --> 00:10:04.067]  We do.
[00:10:04.067 --> 00:10:05.129]  I like it.
[00:10:05.129 --> 00:10:10.657]  Well, even if we fine them, sir, no one's gonna just willingly pay us for a fine like that.
[00:10:10.657 --> 00:10:11.959]  They won't have to.
[00:10:11.959 --> 00:10:16.886]  We take it from them by directly debiting their accounts because we hold all their money.
[00:10:18.220 --> 00:10:20.681]  What do the numbers on this look like?
[00:10:20.681 --> 00:10:22.501]  I don't think that's a good idea.
[00:10:22.501 --> 00:10:23.622]  Silence!
[00:10:23.622 --> 00:10:24.642]  Cletus!
[00:10:24.642 --> 00:10:26.903]  What do our projections on this look like?
[00:10:26.903 --> 00:10:37.666]  Well, we have 429 million users and we determine what misinformation is based on the working definition of misinformation is anything we disagree with.
[00:10:37.666 --> 00:10:45.369]  Then we correlate that with a statistical analysis we ran of how many people will eventually say something that we disagree with and we find
[00:10:47.253 --> 00:10:48.515]  That's all of them.
[00:10:48.515 --> 00:10:57.087]  Then we take all of them, our 429 million users, and multiply that by the misinformation find slash take of $2,500, and that equals...
[00:11:02.250 --> 00:11:05.733]  $1,072,500,000 in new revenue.
[00:11:05.733 --> 00:11:09.717]  That is amazing.
[00:11:09.717 --> 00:11:11.979]  Are there any downsides to this policy?
[00:11:11.979 --> 00:11:14.501]  None that I've been able to think of.
[00:11:14.501 --> 00:11:15.722]  Exactly.
[00:11:15.722 --> 00:11:17.563]  No downsides at all.
[00:11:17.563 --> 00:11:19.085]  I think this is a bad idea.
[00:11:19.085 --> 00:11:23.028]  Put this out of the new terms of service immediately.
[00:11:23.028 --> 00:11:23.869]  Sure thing, boss.
[00:11:27.483 --> 00:11:32.268]  Okay, so it turns out there was a downside we didn't think of.
[00:11:32.268 --> 00:11:33.229]  Really?
[00:11:33.229 --> 00:11:33.910]  What's that?
[00:11:33.910 --> 00:11:35.752]  We're getting major backlash.
[00:11:35.752 --> 00:11:37.614]  People don't like the policy.
[00:11:37.614 --> 00:11:38.795]  Who cares what people like?
[00:11:38.795 --> 00:11:40.637]  This is amazing for us.
[00:11:40.637 --> 00:11:41.938]  We ran the numbers.
[00:11:41.938 --> 00:11:43.700]  Excellent point, sir.
[00:11:43.700 --> 00:11:45.462]  But we're hemorrhaging users.
[00:11:45.462 --> 00:11:47.524]  People are closing their accounts left and right.
[00:11:48.905 --> 00:11:50.787]  No longer using PayPal.
[00:11:50.787 --> 00:11:53.771]  Who told these people they could just stop using PayPal?
[00:11:53.771 --> 00:11:55.473]  They can't just do that.
[00:11:55.473 --> 00:11:57.396]  They actually can.
[00:11:57.396 --> 00:11:59.759]  I didn't know they could just do that.
[00:11:59.759 --> 00:12:03.944]  Well, they need to stop it, because I don't like that they're doing that.
[00:12:03.944 --> 00:12:04.485]  But they are.
[00:12:05.726 --> 00:12:17.572]  It looks like this new scheme to make us a lot more money by serving our users much better with this new policy could end up costing us a lot if we don't act fast.
[00:12:17.572 --> 00:12:21.194]  Alright, we need to backtrack fast.
[00:12:21.194 --> 00:12:26.137]  We need a statement that's going to win back the trust of our users and keep them on the platform.
[00:12:26.994 --> 00:12:29.075]  Cletus, any ideas?
[00:12:29.075 --> 00:12:32.818]  Yeah, we could just tell people we did it by accident.
[00:12:32.818 --> 00:12:34.619]  That's brilliant!
[00:12:34.619 --> 00:12:36.520]  They'll definitely go for that.
[00:12:36.520 --> 00:12:37.941]  I don't think they will.
[00:12:37.941 --> 00:12:39.562]  How would that sound?
[00:12:39.562 --> 00:12:42.404]  I've already written up our statement, sir.
[00:12:42.404 --> 00:12:50.029]  PayPal is not fining people for misinformation and this language was never intended to be inserted in our policy.
[00:12:50.029 --> 00:12:52.771]  We're sorry for the confusion this has caused.
[00:12:52.771 --> 00:12:54.292]  That's perfect!
[00:12:54.292 --> 00:12:56.093]  Did you write that in crayon?
[00:12:56.093 --> 00:12:56.694]  Publish it!
[00:13:00.216 --> 00:13:03.237]  Well, have we fully recovered yet?
[00:13:03.237 --> 00:13:06.218]  It looks like our statement didn't exactly work, sir.
[00:13:06.218 --> 00:13:06.859]  What do you mean?
[00:13:06.859 --> 00:13:09.180]  Well, things have gotten even worse.
[00:13:09.180 --> 00:13:12.061]  We've lost six billion dollars in market cap.
[00:13:12.061 --> 00:13:13.482]  How could that be?
[00:13:13.482 --> 00:13:18.544]  We told these morons we didn't mean to do the thing that we deliberately did!
[00:13:18.544 --> 00:13:21.186]  Yeah, but it's almost like they somehow just...
[00:13:22.166 --> 00:13:23.127]  No.
[00:13:23.127 --> 00:13:28.312]  They're still leaving the platform in droves because they know what we're about.
[00:13:28.312 --> 00:13:30.554]  I can't believe our statement didn't work!
[00:13:30.554 --> 00:13:35.059]  We're powerful big tech, and our users are just moronic people!
[00:13:35.059 --> 00:13:36.780]  Another great point, sir.
[00:13:36.780 --> 00:13:41.885]  But it looks like when people unite, they're seemingly more powerful than we are.
[00:13:42.606 --> 00:13:48.989]  Enough of your kumbaya hippie bulls**t. Losing $6 billion in market cap almost overnight?
[00:13:48.989 --> 00:13:53.812]  We need a new strategy to boost our revenue and fast.
[00:13:53.812 --> 00:13:58.694]  We could fine people for trying to leave the platform.
[00:13:58.694 --> 00:14:00.715]  Say more about that.
[00:14:00.715 --> 00:14:05.077]  Alright, great job.
[00:14:05.077 --> 00:14:05.797]  JP Sears.
[00:14:05.797 --> 00:14:08.559]  You can see the full video on his YouTube site and his website.
[00:14:08.559 --> 00:14:09.819]  There it is on screen.
[00:14:09.819 --> 00:14:11.100]  But here's the problem.
[00:14:12.842 --> 00:14:17.204]  Since he cut that video, they came out and said, you know what, we are going to go ahead and fine you.
[00:14:17.204 --> 00:14:20.766]  But only if you're a racist, but they can fine us anything they want.
[00:14:20.766 --> 00:14:27.410]  But understand, what PayPal's doing is the whole model of the whole thing we've been harping on for decades, it's here.
[00:14:27.410 --> 00:14:38.156]  So once they get it in place everywhere, and Visa, and MasterCard, and JP Morgan, Chase just took Kanye off of his bank account, it's here.
[00:14:39.338 --> 00:14:42.699]  We've got to find the companies and the banks that'll work with us.
[00:14:42.699 --> 00:14:44.779]  And that's what I'm doing behind the scenes.
[00:14:44.779 --> 00:14:46.420]  Got some big stuff ready to launch.
[00:14:46.420 --> 00:14:49.841]  Not BS where, oh, we got a place for you to bank that's actually for you.
[00:14:49.841 --> 00:14:50.901]  And then it really isn't.
[00:14:50.901 --> 00:14:52.982]  But the real deal with some big players.
[00:14:52.982 --> 00:14:55.542]  There's a lot of folks that want to go along with this that are very successful.
[00:14:55.542 --> 00:14:59.023]  So we've been the main target of this.
[00:14:59.023 --> 00:15:03.084]  And as Nietzsche said, that which doesn't kill you makes you stronger, only makes you stronger.
[00:15:03.084 --> 00:15:04.164]  Because we didn't give up.
[00:15:04.164 --> 00:15:06.165]  We've learned a lot of this and we're ready for it.
[00:15:07.500 --> 00:15:13.467]  But that's currently going on against Infowars, so that's why your prayer, that's why your support, that's why you're worried about this so critical.
[00:15:13.467 --> 00:15:17.491]  We're in the endgame now.
[00:15:17.491 --> 00:15:18.252]  That's where we are.
[00:15:18.252 --> 00:15:21.516]  Alright, I want to talk about solutions when we come back.
[00:15:21.516 --> 00:15:27.963]  Amazing footage of leftists finally waking up and confronting their globalist controllers.
[00:15:29.025 --> 00:15:35.570]  Not just AOC getting confronted about nuclear war, but Rashid Tlaib being confronted about pedophilia and the Democratic Party.
[00:15:35.570 --> 00:15:36.630]  That's coming up.
[00:15:36.630 --> 00:15:41.594]  But please remember, InfoWarStore.com has products ready to ship to you.
[00:15:41.594 --> 00:15:44.036]  The globalists can't take it down because it's in bankruptcy.
[00:15:44.036 --> 00:15:45.236]  Chapter 5.
[00:15:45.236 --> 00:15:46.998]  We're going to continue on as long as you support.
[00:15:46.998 --> 00:15:48.419]  Ready to ship products to you right now.
[00:15:48.419 --> 00:15:52.502]  Promo code 1776 gets you an additional 10% off at checkout.
[00:15:52.502 --> 00:15:58.126]  That means on a product 50% off, like X3, or DNA Force Plus, you get 60.
[00:16:00.134 --> 00:16:01.975]  It's our bestseller.
[00:16:01.975 --> 00:16:05.738]  We first came out with it five years ago, and it was a moderate seller.
[00:16:05.738 --> 00:16:14.825]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall bestseller.
[00:16:14.825 --> 00:16:17.427]  And it's been sold out for a while, but it's finally back in stock.
[00:16:17.427 --> 00:16:24.072]  Vitamin Mineral Fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[00:16:24.072 --> 00:16:25.093]  It has all the minerals.
[00:16:25.613 --> 00:16:27.035]  All the key amino acids.
[00:16:27.035 --> 00:16:31.199]  All of the essential vitamins that you need to live and be healthy.
[00:16:31.199 --> 00:16:33.802]  Essential means without these things you die.
[00:16:33.802 --> 00:16:35.865]  And so much of the food is debased.
[00:16:35.865 --> 00:16:37.767]  There's so many chemicals in the environment.
[00:16:37.767 --> 00:16:41.911]  It is critical to bolster our body's defenses with a product like this.
[00:16:41.911 --> 00:16:44.134]  Now there are other great vitamin mineral products out there.
[00:16:44.594 --> 00:16:48.798]  But this is amongst the very best, and it's a low price, and it funds the InfoWare.
[00:16:48.798 --> 00:16:55.745]  So the only way you lose is not taking action today, getting Vitamin Mineral Fusion finally back in stock at InfoWareStore.com for 50% off.
[00:16:55.745 --> 00:17:00.010]  Vitamin Mineral Fusion, back in stock, InfoWareStore.com.
[00:17:00.010 --> 00:17:00.971]  By the will of God!
[00:17:02.199 --> 00:17:11.671]  And by God working through you and your support, InfoWars continues to persevere against attacks never before seen in the Western world against independent media.
[00:17:11.671 --> 00:17:13.293]  Thanks for keeping me in the fight.
[00:17:13.293 --> 00:17:20.522]  And over the years, you have come to the table, you have stepped to the plate so many times and kept InfoWars and free speech on the air, and I thank you.
[00:17:20.982 --> 00:17:25.425]  But now, I have my own legal bills that have reached the point that I can't pay them.
[00:17:25.425 --> 00:17:26.686]  And I need your support.
[00:17:26.686 --> 00:17:34.311]  So if you want to keep this operation moving forward, if you want to back me in this fight against the globalists, please visit SaveInfoWars.com
[00:17:36.152 --> 00:17:43.155]  And SaveInfoWars.com takes you to a URL that gives him go for direct Alex Jones Legal Defense Fund.
[00:17:43.155 --> 00:17:47.696]  This whole phase of their attacks, four years in the making, is almost over.
[00:17:47.696 --> 00:17:51.918]  And right at the end, we're not giving up, we're not giving in, but we could give out.
[00:17:51.918 --> 00:17:59.661]  So please, if you support what we're doing and want to fight for liberty and freedom and justice in the future, go to SaveInfoWars.com today.
[00:17:59.661 --> 00:18:01.902]  Look, it's not hype that InfoWars has changed the world.
[00:18:02.842 --> 00:18:07.383]  It's not hype that your support of InfoWars is the reason we were able to do this.
[00:18:07.383 --> 00:18:09.064]  So I salute you and I thank you.
[00:18:09.064 --> 00:18:12.985]  Now, you know about fluoride, the bad halogen on the periodic table.
[00:18:12.985 --> 00:18:16.866]  Well, high quality iodine is the good halogen and does the opposite of fluoride.
[00:18:16.866 --> 00:18:19.427]  And when you've got it in your body, it doesn't just supercharge your cells.
[00:18:19.427 --> 00:18:20.568]  It does just give you more energy.
[00:18:20.568 --> 00:18:21.728]  It doesn't just boost your immune system.
[00:18:22.208 --> 00:18:28.429]  But it also blocks the bad halogens in the fluoride, chlorine, bromide, bromine family.
[00:18:28.429 --> 00:18:32.810]  So ladies and gentlemen, it takes about two weeks for X3 to kick in on average.
[00:18:32.810 --> 00:18:36.871]  Take a few drops every day and almost everyone has dramatic results.
[00:18:36.871 --> 00:18:38.351]  Plus it funds the InfoWar.
[00:18:38.351 --> 00:18:42.151]  So what do you have to lose but taking action?
[00:18:42.151 --> 00:18:49.513]  Experience X3 finally back in stock at InfoWarStore.com right now for 50% off.
[00:18:49.513 --> 00:18:51.393]  Experience Triionine.
[00:18:51.753 --> 00:18:54.135]  Learn about the Ionine Fluoride Conspiracy.
[00:18:54.135 --> 00:19:02.122]  Learn how to counter the fluoride and fund the InfoWar and empower your life at InfoWarStore.com.
[00:19:02.122 --> 00:19:06.305]  The biggest sale of 2022 is running right now at InfoWarStore.com.
[00:19:06.305 --> 00:19:11.470]  Incredible products like X3 and Vitamineral Fusion, DNA Force Plus.
[00:19:11.470 --> 00:19:17.675]  If you want to boost your body's energy, your stamina, your libido, particularly your immune system, these are the products.
[00:19:17.675 --> 00:19:17.775]  And
[00:19:18.195 --> 00:19:31.119]  They're all 40-50% off, but when you use promo code 17761776 at checkout, you get an additional 10% off and double Patriot points on your next order.
[00:19:31.119 --> 00:19:41.623]  So please visit InfoWarsTore.com today and experience X3, experience 5-Mineral Fusion, experience DNA Force Plus, and so many other great products, and know you're keeping the tip of the spear on air.
[00:19:41.983 --> 00:19:48.505]  So again, 1776 is the promo code at InfoWareStore.com for an additional 10% off.
[00:19:48.505 --> 00:19:54.748]  I want to thank you all for your support because these products aren't just amazing, they also fund the InfoWare 360 win.
[00:19:54.748 --> 00:19:56.208]  Again, thanks for your support.
[00:19:56.208 --> 00:19:57.689]  It's a critical fight.
[00:19:57.689 --> 00:20:00.450]  Visit InfoWareStore.com right now.
[00:20:00.450 --> 00:20:06.352]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:14.224 --> 00:20:20.049]  Live from Austin, Texas, broadcasting worldwide, I'm Alex Jones, your host.
[00:20:20.049 --> 00:20:21.771]  Thank you so much for joining us.
[00:20:21.771 --> 00:20:30.218]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:30.218 --> 00:20:33.381]  So, there's a lot of Achilles heels that globalists have.
[00:20:33.381 --> 00:20:38.406]  People waking up, people saying no, people being independent, people supporting local business, people getting back to God's number one.
[00:20:40.367 --> 00:20:47.371]  And it's also their own constituents waking up to the fact that you're in a cult and you're being run into the ground.
[00:20:47.371 --> 00:20:53.754]  So all over the country, I've got dozens of clips here of this, but I'm going to just play two because of time constraints.
[00:20:53.754 --> 00:21:06.361]  Dozens of clips of AOC getting confronted, we talked about it yesterday, of Rashid Tlaib being confronted by their constituents who were angry en masse over the pedophilia support, over the nuclear war support, over all of it.
[00:21:07.765 --> 00:21:17.896]  And as soon as these people finally wake up that the average Christian or conservative or white person or gun owner or Republican is not their enemy, it's game over for the globalists.
[00:21:17.896 --> 00:21:22.862]  Because our enemy is the Democratic Party and the CCP and Klaus Schwab and Bill Gates.
[00:21:22.862 --> 00:21:27.928]  So here it is in New York, again AOC being confronted about nuclear war.
[00:21:29.403 --> 00:21:37.507]  Congresswoman, none of this matters unless there's a nuclear war, which you voted to send arms and weapons to Ukraine.
[00:21:37.507 --> 00:21:43.191]  Kelsey Gathers, she's left the Democratic Party, because there are so many war hunts, okay?
[00:21:43.191 --> 00:21:48.734]  You originally voted, you ran as an outsider, yet you've been voting to start this war in Ukraine.
[00:21:48.734 --> 00:21:52.876]  You're voting to start a further nuclear war with Russia and China.
[00:21:52.876 --> 00:21:56.738]  Why are you playing with the lives of American citizens?
[00:21:56.738 --> 00:21:58.239]  You're playing with our lives.
[00:21:59.099 --> 00:22:02.821]  There will be no neighbors if there's a nuclear bomb!
[00:22:02.821 --> 00:22:07.182]  You voted to mobilize and send money to Ukrainian Nazis!
[00:22:07.182 --> 00:22:08.583]  You're a coward!
[00:22:08.583 --> 00:22:10.543]  You're a progressive socialist!
[00:22:10.543 --> 00:22:13.384]  Where are you against the war mobilization?
[00:22:13.384 --> 00:22:15.545]  He's telling the right truth!
[00:22:15.545 --> 00:22:17.426]  You have done nothing!
[00:22:17.426 --> 00:22:22.207]  Tulsi Gabbard has shown guts where you've shown cowardice!
[00:22:22.207 --> 00:22:26.629]  I believed in you and you became the very thing you sought to fight against!
[00:22:27.472 --> 00:22:29.554]  That's what you've become.
[00:22:29.554 --> 00:22:40.584]  You are the establishment and you are the reason why everybody will end up in a nuclear war unless you choose to stand up right now and denounce the Democratic Party.
[00:22:40.584 --> 00:22:42.586]  Will you do that?
[00:22:42.586 --> 00:22:45.649]  Choose always the establishment.
[00:22:45.649 --> 00:22:47.190]  Okay, simple.
[00:22:47.190 --> 00:22:50.133]  Are you going to stop nuclear war?
[00:22:50.133 --> 00:22:50.914]  Yes or no?
[00:22:52.179 --> 00:22:53.140]  There is no lie.
[00:22:53.140 --> 00:22:54.821]  Little tip to the left.
[00:22:54.821 --> 00:22:58.483]  When Vogue Magazine and CNN's promoting you, you're for the establishment.
