[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[00:06:32.666 --> 00:06:44.498]  Owen Schroer sitting in the InfoWars World Headquarters in Austin, Texas, to let you know what is coming up here live at InfoWars for the next four hours.
[00:06:45.814 --> 00:06:51.938]  Legal expert, constitutional law expert, Bob Barnes is about to host the Alex Jones Show.
[00:06:51.938 --> 00:07:00.463]  I'll be bringing us in and out of some of the breaks just with breaking news from the live studio, but Robert Barnes will be hosting the Alex Jones Show from 4 to 6 p.m.
[00:07:00.463 --> 00:07:01.864]  Central today.
[00:07:01.864 --> 00:07:12.030]  And then, from 6 to 8, I am going to be hosting an emergency broadcast, the Southern Border Emergency Broadcast,
[00:07:12.634 --> 00:07:26.861]  For two hours, I'm going to be giving you the expert analysis, my expert analysis, of everything that's going on at the southern border and the human trafficking operation because, quite frankly, there's really nobody else out there that knows this like I do.
[00:07:26.861 --> 00:07:28.882]  I've been on the ground there for weeks.
[00:07:28.882 --> 00:07:30.343]  There's no other media.
[00:07:30.343 --> 00:07:37.807]  The only people who may know more than I do about this are the people that are actually running it and or the Border Patrol, but they've been gagged.
[00:07:38.357 --> 00:07:50.944]  So we have to be the voice of truth here to tell you about Joe Biden's human smuggling operation being run by Joe Biden, the illegal immigration pipeline going through McAllen, Texas and other such places.
[00:07:50.944 --> 00:07:57.867]  So for two hours, I'm going to be breaking that down and taking your calls, what your observations have been, what you've been noticing.
[00:07:57.867 --> 00:07:59.648]  Maybe you live in a border town.
[00:07:59.648 --> 00:08:01.349]  Maybe you are a Border Patrol agent.
[00:08:01.349 --> 00:08:02.610]  Maybe you know a Border Patrol agent.
[00:08:02.610 --> 00:08:04.851]  Maybe you're married to a Border Patrol agent.
[00:08:05.191 --> 00:08:07.933]  So we're going to do that for two hours from six to eight.
[00:08:07.933 --> 00:08:19.721]  But first, we go to Robert Barnes here to talk about the unbelievable behavior, the criminal behavior of Maxine Waters, in fact.
[00:08:19.721 --> 00:08:20.542]  Criminal behavior.
[00:08:20.542 --> 00:08:27.687]  Now, Bob, when Donald Trump made a speech, they said, oh, he's inciting violence, he's inciting violence.
[00:08:28.456 --> 00:08:31.937]  And they censored him across the internet, and they tried to impeach him.
[00:08:31.937 --> 00:08:46.042]  But when Maxine Waters goes out in the middle of riots, when Maxine Waters multiple times says, form a crowd, get confrontational, get more confrontational, and then violence follows directly after at the very riots that she's at, nobody seems to bat an eye.
[00:08:46.042 --> 00:08:47.422]  Law enforcement doesn't seem to care.
[00:08:47.422 --> 00:08:50.123]  No calls for impeachment or removal of Maxine Waters.
[00:08:51.303 --> 00:09:00.928]  Bob, break down the criminal behavior and the incitement of a violent and crossing state lines to incite a riot that Maxine Waters is guilty of.
[00:09:00.928 --> 00:09:10.952]  Well, Mad Max has definitely taken a different path and it's a path that's particularly precarious for justice in the United States because this is happening when it's happening is the most problematic.
[00:09:10.952 --> 00:09:18.196]  This is happening on the eve of closing arguments in the Derek Chauvin trial concerning the death of George Floyd.
[00:09:18.957 --> 00:09:27.683]  And this is happening on the eve of the jury deliberating, and it is happening while the jury is known to be not sequestered.
[00:09:27.683 --> 00:09:44.034]  It means the jury is going to see this news, see this information, see this, where basically you have a member of Congress threatening the jury that if they don't convict Chauvin, there will be more, quote, confrontation, more going to the streets, basically more riots.
[00:09:44.874 --> 00:09:45.515]  More threats.
[00:09:45.515 --> 00:09:56.303]  And these are jurors, many of whom during the jury selection process voiced concern about their own well-being and safety if they were merely involved in the case.
[00:09:56.303 --> 00:10:11.034]  And so the judge made the decision to still hold the jury in Minneapolis, with jurors from Minneapolis, even though during jury selection they found out about the $27 million payoff to race baiter, race grifter Ben Crump.
[00:10:11.674 --> 00:10:15.515]  Uh, and crew for the George Floyd family and others.
[00:10:15.515 --> 00:10:27.479]  And now they've get seen riots for more than a week based on a misrepresentation of what took place in the death that also took place from police shootings this past week in Minneapolis.
[00:10:27.479 --> 00:10:33.441]  And now they have an explicit threat from a member of Congress that if they don't vote to convict
[00:10:34.048 --> 00:10:37.271]  Then the confrontational tactics will be escalated.
[00:10:37.271 --> 00:10:41.374]  Then people have been called out to go to the streets.
[00:10:41.374 --> 00:10:46.638]  Imagine if Trump had said anything even close to this prior to January 6th.
[00:10:46.638 --> 00:10:48.839]  He would be in prison today.
[00:10:48.839 --> 00:10:53.163]  Instead, here you have someone trying to effectively tamper with the jury.
[00:10:53.163 --> 00:11:00.088]  Not just incite riotous behavior, but tamper with the jury, tamper with the criminal justice process, and the rest.
[00:11:00.088 --> 00:11:00.809]  And the reason
[00:11:01.509 --> 00:11:04.631]  Is because they desperately need a conviction in this case.
[00:11:04.631 --> 00:11:06.972]  The media needs a conviction in this case.
[00:11:06.972 --> 00:11:10.634]  The Democrats need a conviction in this case.
[00:11:10.634 --> 00:11:17.618]  BLM, which apparently means Buy Luxury Mansions, in fact, needs a conviction in this case.
[00:11:17.618 --> 00:11:21.360]  And the reason is because the media narrative has been a false narrative.
[00:11:21.360 --> 00:11:26.043]  The reason why they're scared, the reason why they're nervous, the reason why they're frightened about the verdict,
[00:11:26.543 --> 00:11:37.410]  Is even though this is a jury that's going to have six African American members extraordinarily diverse from Minneapolis, which normally would have one African American member on a jury.
[00:11:37.410 --> 00:11:45.175]  Despite that being a Minneapolis Democratic jury pool where 80 to 90% of the likely jurors voted for Joe Biden in the last election.
[00:11:45.655 --> 00:11:53.922]  Despite the fact that almost 90% of Biden voters said that they would vote to convict Chauvin even before the trial started.
[00:11:53.922 --> 00:12:00.247]  Despite the fact that most of these jurors said during jury selection that they lean towards guilt.
[00:12:00.247 --> 00:12:06.892]  They're nervous and terrified of a not guilty verdict, especially on the top count of felony murder.
[00:12:06.892 --> 00:12:15.039]  Because after all, Derek Chauvin was willing to plead guilty to the third degree murder charge, which is more serious than the second degree manslaughter charge.
[00:12:15.499 --> 00:12:26.411]  So they're desperate for a felony murder conviction, which carries up to 40 years of federal prison time because they need the media narrative to be vindicated in the court of public opinion.
[00:12:26.411 --> 00:12:30.315]  Indeed, the prosecutors in this case, rather uniquely, rather unusually,
[00:12:30.795 --> 00:12:37.696]  The media chose to pursue the case not based on their best evidentiary theory of guilt, but rather based on the media narrative.
[00:12:37.696 --> 00:12:42.257]  So they put a lot of false evidence, made a lot of false statements in front of the jury.
[00:12:42.257 --> 00:12:49.478]  And what all the Democrats know, and what the media knows, and what those who follow the case in detail know, is the media narrative was a big, fat lie.
[00:12:49.478 --> 00:12:51.679]  It was just like, hands up, don't shoot.
[00:12:51.679 --> 00:12:55.519]  It was just like, oh, he just had a play gun and nobody knows why he was shot.
[00:12:55.519 --> 00:12:57.660]  Oh, he was shot because he was eating a sandwich.
[00:12:57.660 --> 00:12:59.720]  Oh, he was shot because he was driving while black.
[00:13:00.400 --> 00:13:03.823]  Uh, he was shabby, uh, and killed because he went out for some Skittles.
[00:13:03.823 --> 00:13:19.197]  These are the lie, after lie, after lie, told in the Michael Brown case, told in the Trayvion, uh, Trayvion Martin case, told in the Tamir Rice case, told in case, after case, after case, and what happened here, in fact, and what the jury saw, was a very different story.
[00:13:19.597 --> 00:13:22.379]  There was a witness that said he was blood choked.
[00:13:22.379 --> 00:13:25.502]  The government's own state examiner admitted that didn't happen.
[00:13:25.502 --> 00:13:29.344]  There was a witness that said he was choked out by a respiratory choke.
[00:13:29.344 --> 00:13:32.767]  The government's own witnesses admitted that didn't happen.
[00:13:32.767 --> 00:13:37.811]  And leading experts also concluded the government itself couldn't decide on what the cause of death was.
[00:13:37.811 --> 00:13:47.218]  The government itself, their own witnesses, contradicted each other throughout the entire trial about whether or not it was even excessive force, whether or not it was even justifiable force.
[00:13:47.758 --> 00:13:53.980]  And the intent evidence ended up not being anywhere near as strong as the media has pretended it was all along.
[00:13:53.980 --> 00:13:57.781]  It turns out that Chauvin didn't have his knee on his neck the entire time.
[00:13:57.781 --> 00:14:00.542]  It turns out he was balancing his weight all the way through.
[00:14:00.542 --> 00:14:08.164]  It turns out all of the data and evidence shows that that method of prone position bodily restraint rarely or never results in death.
[00:14:08.164 --> 00:14:09.885]  We'll get into what some of those studies are.
[00:14:09.885 --> 00:14:13.946]  We'll get in during the show to what some of the expert testimony was at trial.
[00:14:14.466 --> 00:14:26.314]  But the reason why she's up there extorting the jury into a guilty verse, into this legalized lynching of Derek Chauvin, is because they know the facts don't support their case.
[00:14:26.314 --> 00:14:35.960]  And imagine if this person they held up as a martyr, imagine if this case they held up as an indictment of the criminal justice process in America, ends up indicting them instead.
[00:14:36.540 --> 00:14:37.781]  And they can't afford that.
[00:14:37.781 --> 00:14:50.635]  That's why they're willing to risk mistrials, willing to risk appellate reversals, willing to risk future habeas petitions, just to secure a conviction now to vindicate their narrative in the court of public opinion.
[00:14:50.635 --> 00:14:58.543]  And that is why Mad Max is saying, I will incite riots on the eve of jury deliberation unless you do what I tell you to do.
[00:14:59.424 --> 00:15:02.186]  And that's why she's been the leader of it.
[00:15:02.186 --> 00:15:10.735]  And it's not a coincidence she went right into Minneapolis to do so right on the eve of closing arguments, knowing the jurors were not sequestered.
[00:15:10.735 --> 00:15:12.096]  Frankly, they should have been.
[00:15:12.096 --> 00:15:21.085]  The defense counsel requested that last week, and I'm sure the judge is unhappy that this happened, because he really has been trying to establish a fair trial.
[00:15:21.085 --> 00:15:23.367]  It turns out it just couldn't be a fair trial in Minneapolis.
[00:15:23.740 --> 00:15:47.417]  When we come back after the break, we'll get into more not only of what Mad Max's dangerous statements are for a legalized lynching in America, but also what some of the damning evidence of the government's own theories were, right from the witness stand, and play some of those bits as well, and get into some of the underlying evidence about the whole mythology that prone position restraint is a high-risk restraint, when in fact it's far less risk
[00:15:47.817 --> 00:15:48.378]  It's very simple.
[00:15:48.378 --> 00:15:53.023]  Every household, not just in America, but worldwide, should be taking a high-quality multivitamin mineral every single day.
[00:16:08.499 --> 00:16:14.343]  But so many of the big brands are synthetics that are not even absorbed, in fact, in many cases, are toxic.
[00:16:14.343 --> 00:16:24.972]  But Vitamin Mineral Fusion, in stock right now, 40% off at m4wrestore.com, has high-grade vitamins and minerals that are all essential, with key amino acids so your body can upload it.
[00:16:24.972 --> 00:16:30.356]  And it's all at m4wrestore.com, ready to ship to you right now.
[00:16:30.356 --> 00:16:30.876]  So go there
[00:16:30.916 --> 00:16:31.396]  I think so.
[00:16:53.234 --> 00:16:54.334]  The answer to 1984 is 1776.
[00:16:54.334 --> 00:16:56.195]  Infowars has been banned.
[00:16:56.195 --> 00:16:56.455]  Arrested.
[00:17:22.297 --> 00:17:25.060]  Attacked and threatened.
[00:17:25.060 --> 00:17:28.242]  Because we are effective.
[00:17:28.242 --> 00:17:30.204]  The Great Awakening is here.
[00:17:30.204 --> 00:17:32.485]  Go to band.video.
[00:17:32.485 --> 00:17:36.609]  Download the videos and share.
[00:17:36.609 --> 00:17:43.934]  Support the Information War at infowarestore.com.
[00:17:43.934 --> 00:17:45.656]  And never give up the fight.
[00:17:55.215 --> 00:17:56.926]  InfoWars.com
[00:17:59.699 --> 00:18:02.241]  The globalists are purposely collapsing our world.
[00:18:02.241 --> 00:18:05.943]  They are creating insecurity, crime, war, and famine.
[00:18:05.943 --> 00:18:13.108]  All of us should do everything we can to get prepared and get ready for ourselves and our families' sakes, but also our community.
[00:18:13.108 --> 00:18:20.033]  And citizenstronghold.com is the best place to go to get high-quality body armor at the lowest price you're going to find.
[00:18:20.033 --> 00:18:23.816]  Again, this is high-quality body armor at the lowest price you're going to find.
[00:18:23.816 --> 00:18:27.499]  We've worked with them for years, but they can never supply enough to our audience.
[00:18:27.499 --> 00:18:29.260]  They have massively expanded their factories.
[00:18:29.600 --> 00:18:33.621]  It's made right here in America, and they're ready to ship it to you right now.
[00:18:33.621 --> 00:18:35.462]  CitizenStronghold.com.
[00:18:35.462 --> 00:18:39.343]  When you go there, put in promo code ALEX and get 10% off on your purchases.
[00:18:39.343 --> 00:18:42.184]  They have it for children, they have it for women, they have it for men.
[00:18:42.184 --> 00:18:46.085]  They have backpacks that didn't unfold and are full top body armor.
[00:18:46.085 --> 00:18:49.566]  They've got it all right now ready to ship to you, 10% off.
[00:18:49.566 --> 00:18:53.468]  And the globalists are coming to try to stop the sale of it soon.
[00:18:53.468 --> 00:18:56.208]  That's why you need to get it now at CitizenStronghold.com.
[00:18:56.208 --> 00:18:57.469]  Promo code ALEX and get 10% off.
[00:19:02.193 --> 00:19:07.900]  Snowden and others taught us how mobile phones are constantly spying on us.
[00:19:07.900 --> 00:19:14.748]  Not just tracking and recording our GPS location, but recording audio and video as well.
[00:19:14.748 --> 00:19:16.410]  With or without a battery.
[00:19:17.174 --> 00:19:23.278]  Now, with the InfoWars Privacy Pouch, you can go dark wherever you choose.
[00:19:23.278 --> 00:19:24.139]  Excellent.
[00:19:24.139 --> 00:19:29.722]  Now I have my own compact Faraday cage I can take wherever I want.
[00:19:29.722 --> 00:19:32.764]  And you can too, at InfoWarsStore.com.
[00:19:34.325 --> 00:19:45.090]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[00:19:45.090 --> 00:19:50.013]  Now you can have the power to easily cut them off and go dark.
[00:19:50.013 --> 00:19:55.916]  Support the InfoWar and get your InfoWars privacy pouch today.
[00:19:55.916 --> 00:19:56.996]  InfoWarStore.com
[00:20:03.769 --> 00:20:13.416]  You're listening to the Alex Jones Show.
[00:20:13.416 --> 00:20:16.078]  Waging war on corruption.
[00:20:16.078 --> 00:20:21.322]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:21.322 --> 00:20:30.169]  Owen Troyer sitting in for Alex Jones today, but it's legal expert Robert Barnes who is hosting the show.
[00:20:30.169 --> 00:20:32.030]  I'm really excited though to be back tonight
[00:20:32.924 --> 00:20:39.126]  Breaking down the southern border crisis, everything I witnessed there, taking your calls on it for two hours.
[00:20:39.126 --> 00:20:57.573]  But, Bob Barnes is breaking down what's happening in the Derek Chauvin trial, where Maxine Waters is basically inciting terroristic threats, if the Democrats and the mainstream media don't get the result they want, which is of course, Chauvin being charged with murder.
[00:20:57.573 --> 00:21:02.235]  Of course, all the evidence goes against this, but let's go back to Bob Barnes breaking it down.
[00:21:04.355 --> 00:21:09.559]  So let's take a look at the context of this Mad Max video we're about to witness.
[00:21:09.559 --> 00:21:13.282]  The jury, despite defense request, has not been sequestered.
[00:21:13.282 --> 00:21:23.531]  So they are seeing all of this on their social media, seeing this on newspaper sites, websites, TV sites, and even though they're supposed to avoid any coverage of the Floyd Chauvin case itself,
[00:21:24.371 --> 00:21:37.854]  This coverage is taking place in a quote-unquote different context so it is highly likely to get through based on jurors prior admissions that they saw the settlement news and information even though they'd been previously instructed to not see or read anything.
[00:21:37.854 --> 00:21:46.556]  It's just impossible for them to follow that instruction in the modern social media and media saturated storyline concerning this case.
[00:21:46.556 --> 00:21:48.236]  It's in that context and knowing
[00:21:49.204 --> 00:22:02.020]  The knowing that the jury is not sequestered, that the jury has frequently been exposed to this kind of exposure, that third, that the jury is about to start to deliberate while they've witnessed riots for a week and looting for a week.
[00:22:02.020 --> 00:22:07.047]  So in that context, let's play what Mad Max said in video clip number four.
[00:22:08.330 --> 00:22:09.391]  Reform.
[00:22:09.391 --> 00:22:15.936]  And so, yes, I would like to see the bill in Congress passed on police reform.
[00:22:15.936 --> 00:22:20.800]  But I know that the right wing, the racists, are opposed to it.
[00:22:20.800 --> 00:22:23.142]  And I don't know what's going to happen to it.
[00:22:23.142 --> 00:22:26.305]  But I know this, we've got to stay in the street.
[00:22:26.305 --> 00:22:29.167]  And we've got to demand justice.
[00:22:29.167 --> 00:22:34.291]  As a black man, despite all the efforts, I feel like nothing changes.
[00:22:34.291 --> 00:22:36.313]  And George Floyd is waking so many people up.
[00:22:37.693 --> 00:22:40.678]  Nothing has happened despite the rhetoric.
[00:22:40.678 --> 00:22:44.363]  What needs to happen that's different this year than all the years before?
[00:22:44.363 --> 00:22:47.087]  We're looking for a guilty verdict!
[00:22:47.964 --> 00:23:08.677]  We're looking for a guilty verdict and we're looking to see if all of the folks that took place and has been taking place after they saw what happened to George Floyd, if nothing does not happen, then we know that we've got to not only stay in the street, but we've got to fight for justice.
[00:23:08.677 --> 00:23:13.380]  But I am very hopeful and I hope that we're going to get
[00:23:13.940 --> 00:23:17.702]  What happens if we do not get what you just told?
[00:23:17.702 --> 00:23:20.283]  What should the people do?
[00:23:20.283 --> 00:23:22.324]  What should protesters on the street do?
[00:23:36.731 --> 00:23:37.632]  I didn't hear you.
[00:23:37.632 --> 00:23:40.435]  What should protesters do?
[00:23:40.435 --> 00:23:42.777]  Well, we've got to stay on the street.
[00:23:42.777 --> 00:23:45.140]  And we've got to get more active.
[00:23:45.140 --> 00:23:47.682]  We've got to get more confrontational.
[00:23:47.682 --> 00:23:51.486]  We've got to make sure that they know that we mean business.
[00:23:53.607 --> 00:23:56.288]  Got to make sure that they know we make business.
[00:23:56.288 --> 00:24:08.251]  So here she's demanding the jury convict of the top count, and if they don't, they're basically extorting them that they're going to increase being in the streets, increase the level of confrontation.
[00:24:08.251 --> 00:24:18.014]  And this comes in the context in which there have been riots for days, attacks on police for days, attacks on police precincts for days, attacks on local people who can't even get to
[00:24:18.274 --> 00:24:21.215]  To their own homes and their own neighborhoods for days.
[00:24:21.215 --> 00:24:22.896]  Looting for days.
[00:24:22.896 --> 00:24:24.437]  Arson for days.
[00:24:24.437 --> 00:24:28.318]  In that context, she says that confrontation tactics need to get more!
[00:24:28.318 --> 00:24:29.799]  Need to increase!
[00:24:29.799 --> 00:24:33.541]  And it comes in the context of jurors already voicing concern.
[00:24:33.541 --> 00:24:35.922]  This is why the jurors are anonymous so far.
[00:24:35.922 --> 00:24:40.684]  Already voicing concern of their own safety for merely participating in this trial.
[00:24:41.344 --> 00:24:55.308]  And it comes on top of a police officer who was involved in the alleged wrongful shooting that triggered this latest stage of riots, which there's controversy over whether or not it was an intentional mistake as opposed to a negligent mistake.
[00:24:55.308 --> 00:25:02.030]  But putting that aside, her address getting docked to where they had to put police and fences around her home on a 24-7 basis.
[00:25:03.760 --> 00:25:18.776]  So that's the context in which Mad Max is extorting a legalized lynching of Derek Chauvin, saying if you don't bring out his head on a rope, then they're going to basically put other people's heads on a rope in Minneapolis.
[00:25:19.116 --> 00:25:36.020]  That's the mindset and the mentality that is being communicated by a member of Congress, not just a local activist, not just some local city council member, a member of Congress, a long-serving member of Congress, who also chairs critical committees in Congress.
[00:25:36.020 --> 00:25:45.923]  And you can guarantee she went to Minneapolis to make sure this news and information was circulated to everybody, including, almost guaranteed, the jurors in the case.
[00:25:46.523 --> 00:25:54.906]  And so this is an extortion attempt to get a legalized lynching because she knows that basically she's been pushing a big lie.
[00:25:54.906 --> 00:25:57.947]  It's been a lie all the way through.
[00:25:57.947 --> 00:26:07.391]  Mark Dice did a video about Black Lives Matter because Black Lives Matter has often told so many fictions and fabrications about the reality of this case and others.
[00:26:08.070 --> 00:26:14.432]  In that context, we're going to show a little bit later on in the show video excerpts of trial testimony.
[00:26:14.432 --> 00:26:17.133]  But I'll give you a quick summation of that testimony.
[00:26:17.133 --> 00:26:23.536]  The first question for the jury is whether or not Derek Chauvin exercised unreasonable, unjustifiable force.
[00:26:24.085 --> 00:26:48.989]  The force he used was the prone position, where his knee was mostly not on the neck for most of the time period, where he was shifting his body weight, and where studies and surveys from Canada, from the United States, from medical professionals and forensic medical experts around the world have shown that one of the safest ways to restrain a suspect
[00:26:49.469 --> 00:27:00.756]  One of the safest ways to control a suspect, one of the safest ways to detain a suspect is to put them in a prone position with body weight controlling them.
[00:27:00.756 --> 00:27:01.336]  Why?
[00:27:01.336 --> 00:27:04.158]  Because it turns out that it is extremely rare.
[00:27:04.158 --> 00:27:07.400]  They looked at thousands of cases in Canada.
[00:27:07.400 --> 00:27:10.042]  They looked at thousands of cases in the United States.
[00:27:10.602 --> 00:27:17.624]  And they found, and then they looked at, gave examples of people putting on more body weight for much longer periods of time.
[00:27:17.624 --> 00:27:21.286]  And what did study after study after study confirm?
[00:27:21.286 --> 00:27:34.750]  It confirmed that being in the prone position, with body weight being put on you, even more body weight than was put on Floyd, even for longer time periods than happened with Floyd, study after study came back and found no deaths.
[00:27:34.750 --> 00:27:37.371]  Out of thousands of cases, zero deaths.
[00:27:38.030 --> 00:27:40.332]  Uh, taking place because of that prone position.
[00:27:40.332 --> 00:27:43.794]  It is much safer than using a taser.
[00:27:43.794 --> 00:27:46.615]  It is much safer than pulling your gun.
[00:27:46.615 --> 00:27:49.157]  It is much safer than using a baton.
[00:27:49.157 --> 00:27:54.640]  It is much safer than almost every other method and mechanism of force that you can use.
[00:27:54.640 --> 00:28:06.968]  In fact, what came out at trial is that the body cam footage that the media has been trying to hide and that the state tried to keep from the public for months after the, the, the, this case originally became public.
[00:28:07.558 --> 00:28:13.540]  Is that George Floyd himself requested to lie on the ground repeatedly.
[00:28:13.540 --> 00:28:21.802]  He requested not to be placed in the police car, but because of his health condition, he asked to be put on the ground, knowing what that was.
[00:28:21.802 --> 00:28:27.684]  And throughout the entire process, and was complaining he couldn't breathe before he was ever put on the ground.
[00:28:28.314 --> 00:28:29.034]  Why?
[00:28:29.034 --> 00:28:31.155]  Because he had a severe heart condition.
[00:28:31.155 --> 00:28:31.516]  Why?
[00:28:31.516 --> 00:28:34.617]  Because he had a tumor that released massive amounts of adrenaline.
[00:28:34.617 --> 00:28:34.997]  Why?
[00:28:34.997 --> 00:28:39.699]  Because he had just taken a sudden ingestion of a lethal amount of fentanyl.
[00:28:39.699 --> 00:28:43.341]  That was three times the rate that would kill a normal person.
[00:28:43.341 --> 00:28:44.021]  That's why.
[00:28:44.021 --> 00:28:46.142]  He had done the exact same thing.
