[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[00:07:10.618 --> 00:07:18.984]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[00:07:18.984 --> 00:07:20.045]  Open your eyes.
[00:07:20.365 --> 00:07:35.342]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by Infowars Life is the new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[00:07:35.942 --> 00:07:43.711]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, Occupower.
[00:07:43.711 --> 00:07:49.237]  Go to InfoWarsLive.com or InfoWarsStore.com to order Occupower.
[00:07:49.237 --> 00:07:49.738]  Or call 1-888-253-3139.
[00:07:49.738 --> 00:07:50.158]  Occupower.
[00:07:50.158 --> 00:07:50.939]  Open your eyes.
[00:08:00.919 --> 00:08:06.463]  I feel like this all the time, trying to politically awaken people that they're being lied to, that there's an agenda.
[00:08:06.463 --> 00:08:07.504]  It's not left or right.
[00:08:07.504 --> 00:08:09.965]  It's, hey, there's mind control going on.
[00:08:09.965 --> 00:08:13.488]  The signal's broadcast 24 hours a day through all this media.
[00:08:13.488 --> 00:08:16.470]  Just become aware of it, and they'll say, there's nothing going on.
[00:08:16.470 --> 00:08:20.553]  And I want to say, put on these glasses or start chewing concrete!
[00:08:25.996 --> 00:08:31.559]  They have taken the hearts and minds of our leaders.
[00:08:31.559 --> 00:08:34.280]  They have recruited the rich and the powerful!
[00:08:34.280 --> 00:08:36.981]  And they have blinded us to the truth!
[00:08:36.981 --> 00:08:39.983]  The question is, do we all work for central bankers?
[00:08:39.983 --> 00:08:42.884]  That's what I want to address to our guest tonight.
[00:08:42.884 --> 00:08:45.865]  Our impulses are being redirected.
[00:08:45.865 --> 00:08:51.108]  We are living in an artificially induced state of consciousness that resembles sleep.
[00:08:51.508 --> 00:08:58.093]  An estimated 50 to 70 million Americans suffer from a sleep disorder or sleep deprivation.
[00:08:58.093 --> 00:09:08.221]  Outside the limit of our sight, feeding off us, perched on top of us, from birth to death, are our owners!
[00:09:08.221 --> 00:09:15.126]  Latest census numbers prove the United States has the biggest gap between rich and poor compared to all westernized countries today.
[00:09:15.606 --> 00:09:26.334]  Our projections show that by the year 2025, not only America, but the entire planet will be under the protection and the dominion of this power alliance.
[00:09:26.334 --> 00:09:32.718]  The gains have been substantial, both for ourselves and for you, the human power elite.
[00:09:32.718 --> 00:09:41.585]  And for the first time in all of human history,
[00:09:44.127 --> 00:09:46.749]  Mankind is politically awakened.
[00:09:46.749 --> 00:09:49.371]  That's a total new reality.
[00:09:49.371 --> 00:09:52.253]  I've got one that can see.
[00:09:52.253 --> 00:09:54.755]  We can't be the only ones who can see.
[00:09:54.755 --> 00:10:04.543]  Unfortunately, you've grown up hearing voices that incessantly warn of government as nothing more than some separate sinister entity that's at the root of all our problems.
[00:10:05.464 --> 00:10:07.586]  It's a new morning in America.
[00:10:07.586 --> 00:10:08.527]  Fresh.
[00:10:08.527 --> 00:10:09.508]  Vital.
[00:10:09.508 --> 00:10:11.810]  The old cynicism is gone.
[00:10:11.810 --> 00:10:14.353]  We have faith in our leaders.
[00:10:14.353 --> 00:10:18.737]  We're optimistic as to what becomes of it all.
[00:10:18.737 --> 00:10:22.481]  It really boils down to our ability to accept.
[00:10:22.481 --> 00:10:25.504]  We don't need pessimism.
[00:10:25.504 --> 00:10:27.406]  I have two words for you.
[00:10:27.406 --> 00:10:28.267]  Predator drums.
[00:10:32.652 --> 00:10:34.836]  And who are you, little fella?
[00:10:34.836 --> 00:10:36.638]  You will never see it coming.
[00:10:36.638 --> 00:10:44.911]  Without predicting, the first guy who uses a Second Amendment weapon to bring a drone down that's been hovering over his house is gonna be a folk hero in this country.
[00:10:50.192 --> 00:10:59.336]  I'm just trying to warn you folks that television is a giant LED weapon system.
[00:10:59.336 --> 00:11:01.157]  It's so advanced.
[00:11:01.157 --> 00:11:03.058]  They got a monkey farm in Bastrop, folks.
[00:11:03.058 --> 00:11:07.219]  They do all sorts of testing on great apes, rhesus monkeys, the whole nine yards.
[00:11:07.219 --> 00:11:14.302]  And they go, oh, you didn't see this, and punch a button into beating hundreds of monkeys with wires in their brains with television sets brainwashing them.
[00:11:14.302 --> 00:11:16.303]  All I ever have to do is be famous.
[00:11:17.725 --> 00:11:20.908]  People watch me, and they love me.
[00:11:20.908 --> 00:11:22.990]  You can have a little taste of that good life, too.
[00:11:22.990 --> 00:11:24.070]  I know you want it.
[00:11:24.070 --> 00:11:25.952]  Hell, everybody does.
[00:11:25.952 --> 00:11:28.394]  Do it to your own kind.
[00:11:28.394 --> 00:11:29.915]  What's the threat?
[00:11:29.915 --> 00:11:31.557]  We all sell out every day.
[00:11:31.557 --> 00:11:33.558]  Might as well be on the winning team.
[00:11:33.558 --> 00:11:41.045]  The real men of the world have to stand up and say, I have come here to chew bubblegum and kick ass.
[00:11:42.871 --> 00:11:45.992]  I'm all out of bubble gum.
[00:11:45.992 --> 00:11:48.593]  Time to take a stand, boys.
[00:11:48.593 --> 00:11:49.273]  You know what?
[00:11:49.273 --> 00:11:50.934]  You got a little courage.
[00:11:50.934 --> 00:11:54.195]  Stand up for yourself.
[00:11:54.195 --> 00:11:56.836]  Waging war on corruption.
[00:11:56.836 --> 00:12:03.379]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:12:03.379 --> 00:12:09.361]  The Oscar winners give a press conference and how to buy a sailboat at... Long live the Republic!
[00:12:17.492 --> 00:12:36.152]  And if you're watching video of that on PrisonPlanet.tv or InfoWars.com forward slash show for our free video stream, you would have seen all the graphics and video editing that went into that intro, which is kind of a takeoff of, we took some great clips that they live, part of an interview that we did with Roddy Piper and Sean Stone.
[00:12:36.152 --> 00:12:38.494]  And that's the kind of things we do here to wake people up.
[00:12:39.775 --> 00:12:48.429]  The pop culture and interviews real stuff that goes along with it to try to wake people up and see that life is imitating art, art is imitating life.
[00:12:50.266 --> 00:12:53.389]  It's one way we do it here at InfoWars.com.
[00:12:53.389 --> 00:12:55.051]  This is the Alex Jones Show.
[00:12:55.051 --> 00:12:55.832]  Welcome.
[00:12:55.832 --> 00:12:59.335]  We're going to be here live until 2 p.m.
[00:12:59.335 --> 00:13:03.158]  Central, and we've got a great show lined up.
[00:13:03.158 --> 00:13:08.484]  At the bottom of the hour, we're going to have Rudy Dent, an interview that we did in Times Square.
[00:13:08.484 --> 00:13:12.748]  He was a firefighter who saw World Trade Center 7 explode and collapse.
[00:13:13.905 --> 00:13:16.706]  He saw lots of explosions that he can't explain.
[00:13:16.706 --> 00:13:18.147]  And he's asked questions.
[00:13:18.147 --> 00:13:19.628]  And he's speaking out.
[00:13:19.628 --> 00:13:22.629]  And he's not afraid that his pension is going to get taken away.
[00:13:22.629 --> 00:13:24.930]  He's doing it because it's the right thing to do.
[00:13:24.930 --> 00:13:31.974]  There's a story that we're also going to have Joe Biggs and Lee Ann McAdoo in here right after we air that interview, premiere it here live.
[00:13:31.974 --> 00:13:35.776]  And they're going to talk about some things that they didn't put out in video.
[00:13:35.776 --> 00:13:38.377]  They had police officers coming up to them telling them stuff.
[00:13:38.377 --> 00:13:39.798]  Amazing stuff.
[00:13:39.798 --> 00:13:41.499]  And really what it takes is people speaking out.
[00:13:42.230 --> 00:13:49.693]  Because if you stand there on the sidelines and wait for someone else to do it, you're going to be waiting an awful long time.
[00:13:49.693 --> 00:13:58.257]  The fact that you're recognizing that things are going wrong in this country and in the world means that you really have to start standing up and getting in the ballgame.
[00:13:58.257 --> 00:13:59.858]  And if people criticize you, that's fine.
[00:13:59.858 --> 00:14:00.998]  At least you're doing something.
[00:14:00.998 --> 00:14:06.060]  At least you're not just sitting on the sidelines being a spectator or an armchair quarterback.
[00:14:06.060 --> 00:14:07.081]  Get out and do something.
[00:14:08.831 --> 00:14:10.853]  We have a video that we're going to go to later.
[00:14:10.853 --> 00:14:15.276]  A guy went around asking people to support ISIS.
[00:14:15.276 --> 00:14:17.958]  He was getting a petition.
[00:14:17.958 --> 00:14:18.859]  And people signed it.
[00:14:18.859 --> 00:14:21.261]  He had at least 11 signatures.
[00:14:21.261 --> 00:14:23.022]  And he said some people wanted to beat him up.
[00:14:23.022 --> 00:14:24.263]  Those are the awake people.
[00:14:24.263 --> 00:14:26.024]  Those are the people that need to get in and do something.
[00:14:26.024 --> 00:14:32.749]  But the people that were asleep, there was at least 11 people he talked to that signed a petition to support ISIS.
[00:14:32.749 --> 00:14:33.490]  There's a video right now.
[00:14:33.490 --> 00:14:35.952]  It's at George Mason University in Virginia.
[00:14:37.273 --> 00:14:38.154]  And that's what it takes.
[00:14:38.154 --> 00:14:40.835]  It takes people doing stuff like this.
[00:14:40.835 --> 00:14:51.563]  We have to use their culture paradigms that they've given us, the YouTubes, the Facebooks, and inject messages of freedom and liberty and honesty and hard work and perseverance.
[00:14:51.563 --> 00:14:54.105]  We need to inject those messages.
[00:14:54.105 --> 00:14:54.865]  And health?
[00:14:54.865 --> 00:14:58.067]  Health information that they're trying to hide from you?
[00:14:58.067 --> 00:15:01.770]  There's a lot of health information out there that you probably don't know about.
[00:15:02.739 --> 00:15:08.945]  Especially if you just stay in the medical model and go to your doctor and you're taking your prescription drugs.
[00:15:08.945 --> 00:15:09.645]  There's ways to do it.
[00:15:09.645 --> 00:15:15.430]  I haven't had a prescription drug... eight years maybe?
[00:15:15.430 --> 00:15:20.074]  Maybe one in between there for a... I had a really bad case of poison ivy.
[00:15:20.074 --> 00:15:24.098]  And I had a steroid to take care of the itch.
[00:15:24.098 --> 00:15:24.639]  That's about it.
[00:15:25.322 --> 00:15:37.053]  I haven't had anything in a long time because I've decided to take and break away from the medical model, which also means you have to empower yourself, and by empowering yourself, that means you have to take responsibility.
[00:15:37.053 --> 00:15:40.717]  So, I want to get into this Ebola news now.
[00:15:40.717 --> 00:15:48.525]  MailOnline has an article, US to send 3,000 troops to Ebola danger zone as Obama administration shuffles military's mission in Africa.
[00:15:49.110 --> 00:15:51.092]  Yeah, there's no shuffling.
[00:15:51.092 --> 00:15:56.497]  That's been the plan which we talked to you about in Obama Deception.
[00:15:56.497 --> 00:16:03.224]  Webster Tarpley broke it down how AFRICOM is going to go in and that's the next place and that's why we need a black president to go into Africa.
[00:16:04.721 --> 00:16:10.428]  But what's really interesting is you go through this article and they talk to a Pentagon official, Mail Online did.
[00:16:10.428 --> 00:16:18.819]  He says, combat soldiers and Marines will be on hand and ready for anything, said the official, who has knowledge of some but not all of the Ebola-related planning.
[00:16:18.819 --> 00:16:21.462]  But hopefully it will be all logistics and hospital building.
[00:16:22.003 --> 00:16:25.085]  The President has ordered us to help and we're eager to do it, he said.
[00:16:25.085 --> 00:16:28.247]  Now it looks like we're going to be the lead dog and that's bound to make a lot of people nervous.
[00:16:28.247 --> 00:16:28.967]  I wonder why?
[00:16:28.967 --> 00:16:31.428]  And it's understandable.
[00:16:31.428 --> 00:16:32.769]  But no one wants U.S.
[00:16:32.769 --> 00:16:38.833]  personnel enforcing someone else's martial law if things go south and the entire region is at risk.
[00:16:38.833 --> 00:16:46.677]  At that point, in a response like this, we would normally play a support role for USAID, and that's Soros-run, and the CDC, he said, referring to U.S.
[00:16:46.677 --> 00:16:49.939]  Agency of International Development and the Centers for Disease Control.
[00:16:51.860 --> 00:16:58.942]  So we're sending troops there, possibly for a martial law scenario, which they have been training for under the guise of this zombie apocalypse.
[00:16:58.942 --> 00:17:01.123]  There's a Christian Science Monitor article from 2012.
[00:17:01.123 --> 00:17:02.723]  U.S.
[00:17:02.723 --> 00:17:06.824]  military forces train for zombie apocalypse.
[00:17:06.824 --> 00:17:13.606]  And Brad Barker, president of Halo Corp, says this is a really good exercise, not just some kind of costume party.
[00:17:13.606 --> 00:17:15.987]  I think it's amazing that he's president of Halo Corp.
[00:17:15.987 --> 00:17:19.648]  Why not just be the president of the Umbrella Corporation and get it over with?
[00:17:20.322 --> 00:17:24.083]  Those of you who have watched Resident Evil will understand that.
[00:17:24.083 --> 00:17:41.629]  Over the weekend there was an interesting article from the New York Times, an opinion piece called The Great Unraveling, just talking about how the systems are breaking down and this is all done by design to get us into other wars, open up the borders so you have different types of people coming in who aren't supposed to be coming into your country.
[00:17:43.140 --> 00:17:49.166]  And you've got these pandemics breaking out with Ebola, all kinds of stuff, really amazing stuff.
[00:17:49.166 --> 00:17:51.749]  And we're going to play some special reports as well.
[00:17:51.749 --> 00:17:55.733]  I want to go to one here coming up.
[00:17:55.733 --> 00:17:57.635]  Let's see, do we still have time to play that one, guys?
[00:17:58.996 --> 00:18:01.177]  Okay, we're going to play that in the next segment.
[00:18:01.177 --> 00:18:08.939]  And that's about the 28 pages that are being kept classified of the 9-11 Commissioner Report, which is a whitewash in itself.
[00:18:08.939 --> 00:18:13.020]  But there's 28 pages that they thought were too damning to release to the public.
[00:18:13.020 --> 00:18:21.963]  We've got senators, we've got congressmen, we've got former 9-11 commissioners calling for this to be brought out into the open, for light to be shed on it, so we can all see what's going on.
[00:18:22.443 --> 00:18:36.076]  Because we know the official story doesn't have a leg to stand on, especially when you start looking at it from an objective point of view, not from an hysterical, mind-control, mind-slave point of view of problem-reaction-solution.
[00:18:36.076 --> 00:18:41.241]  When you take that out of the equation and you look at the fundamentals of who was in charge, who stood down,
[00:18:42.734 --> 00:18:50.937]  And all the other millions of smoking guns that come with 9-11, then you see that it is a fraud and the official story does not stand.
[00:18:50.937 --> 00:18:52.878]  So we're going to get to that coming up in the break.
[00:18:52.878 --> 00:18:53.998]  And I don't even think I'm going to come back.
[00:18:53.998 --> 00:18:57.320]  We're just going to go right into that piece about the 28 pages.
[00:18:57.320 --> 00:19:03.262]  And then when we come back at the bottom of the hour, we're going to have the Rudy Dent interview, which is an amazing interview.
[00:19:04.062 --> 00:19:10.988]  I couldn't believe that this guy, you know, 14 years later, he's still passionate about the topic.
[00:19:10.988 --> 00:19:12.949]  He mentions the three friends he lost.
[00:19:12.949 --> 00:19:16.552]  I mean, this guy is really opening up, and you need to get this interview.
[00:19:16.552 --> 00:19:18.974]  It should have more than 225,000 views.
[00:19:18.974 --> 00:19:25.600]  I mean, Spider Dog gets 70-something million views, and it's literally a nothing video?
[00:19:25.600 --> 00:19:31.685]  I mean, it's funny, but there's no cultural significance to that video other than it's funny.
[00:19:32.757 --> 00:19:40.620]  We're going to be back with all that, plus we have Lord Mocton in the second hour, and in the third hour, we're going to have the William Benny Alex Jones interview.
[00:19:40.620 --> 00:19:41.680]  An amazing interview.
[00:19:41.680 --> 00:19:44.041]  You want to talk about a whistleblower, an NSA whistleblower?
[00:19:44.041 --> 00:19:46.262]  He's one of the originals.
[00:19:46.262 --> 00:19:49.944]  Way before Edward Stoughton decided to come out, there was William Benny.
[00:19:49.944 --> 00:19:50.804]  We've got all that and more.
[00:19:50.804 --> 00:19:52.485]  It's the Alex Jones Show.
[00:19:52.485 --> 00:19:53.165]  We're here live.
[00:19:53.165 --> 00:19:54.105]  It's September 16, 2014.
[00:19:54.105 --> 00:19:55.966]  I'm your host, Rob Dood.
[00:19:55.966 --> 00:19:56.526]  We'll be right back.
[00:19:59.491 --> 00:20:01.612]  The human body is extraordinary.
[00:20:01.612 --> 00:20:05.813]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[00:20:05.813 --> 00:20:11.095]  Thousands upon thousands of people rely upon heart and body extract to help their body stay balanced.
[00:20:11.095 --> 00:20:20.318]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[00:20:20.798 --> 00:20:28.568]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[00:20:28.568 --> 00:20:34.595]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[00:20:34.595 --> 00:20:37.939]  It's extremely effective and it starts working in just days.
[00:20:37.939 --> 00:20:40.082]  Visit HBExtract.com to learn more.
[00:20:40.382 --> 00:20:43.464]  And to read scores of testimonials from satisfied customers.
[00:20:43.464 --> 00:20:46.185]  And we've never increased our price in over 10 years.
[00:20:46.185 --> 00:20:51.187]  That makes Heart and Body Extract as great a value now as it was the first day we sold it.
[00:20:51.187 --> 00:20:53.008]  A healthy heart is a happy heart.
[00:20:53.008 --> 00:20:54.409]  Call 866-295-5305 or go to HBExtract.com.
[00:21:00.134 --> 00:21:06.937]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:21:06.937 --> 00:21:11.699]  MyPatriotSupply.com is owned and operated by patriots just like you.
[00:21:11.699 --> 00:21:21.203]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:21:21.203 --> 00:21:27.146]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:21:27.386 --> 00:21:28.966]  Look for the deal of the day.
[00:21:28.966 --> 00:21:32.367]  Unique, affordable survival supplies that fit anyone's budget.
[00:21:32.367 --> 00:21:35.708]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:21:35.708 --> 00:21:35.928]  Call 866-229-0927.
[00:21:35.928 --> 00:21:35.988]  866-229-0927.
[00:21:35.988 --> 00:21:40.509]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:21:40.509 --> 00:21:43.030]  Shop with a name you know and a name you can trust.
[00:21:52.972 --> 00:21:55.973]  Before it's time to survive, it's time to prepare.
[00:21:55.973 --> 00:22:00.435]  MyPatriotsupply.com Open your eyes.
[00:22:00.435 --> 00:22:03.836]  It's time to give your eyes a powerful nutritional boost.
[00:22:03.836 --> 00:22:10.319]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[00:22:10.319 --> 00:22:18.682]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[00:22:18.682 --> 00:22:19.723]  Open your eyes.
[00:22:20.063 --> 00:22:35.021]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by Infowars Life is the new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[00:22:35.601 --> 00:22:43.367]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, Occupower.
[00:22:43.367 --> 00:22:48.871]  Go to InfoWarsLive.com or InfoWarsStore.com to order Occupower.
[00:22:48.871 --> 00:22:49.392]  Or call 1-888-253-3139.
[00:22:49.392 --> 00:22:49.812]  Occupower.
[00:22:49.812 --> 00:22:50.573]  Open your eyes.
[00:22:58.109 --> 00:23:01.210]  In today's unstable environment, self-protection is critical.
[00:23:01.210 --> 00:23:02.990]  Civil unrest, riots, looting.
[00:23:02.990 --> 00:23:05.430]  It's happening now, right here in the United States.
[00:23:05.430 --> 00:23:07.031]  And your rights are at risk.
[00:23:07.031 --> 00:23:08.951]  If passed, H.R.
[00:23:08.951 --> 00:23:11.351]  5344 would ban Level 3 and above body armor.
[00:23:11.351 --> 00:23:13.532]  KD Armor is standing up for you.
[00:23:13.532 --> 00:23:16.632]  We offer the most affordable Level 3 body armor on the market.
[00:23:16.632 --> 00:23:21.053]  KD Level 3 armor withstands pistol and rifle hits up to 7.62 NATO.
[00:23:21.053 --> 00:23:22.913]  Get yours at KDArmor.com.
[00:23:22.913 --> 00:23:25.194]  That's KDArmor.com.
[00:23:25.194 --> 00:23:25.994]  KD Armor.
[00:23:25.994 --> 00:23:26.854]  Come and take it!
[00:23:27.674 --> 00:23:32.016]  Are you happy doing your laundry with perfume detergents that irritate your skin?
