whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[00:01:11.000 --> 00:01:14.000]   by holding a gun to everyone on Earth and calling it protection.
[00:01:14.000 --> 00:01:18.000]   The police and National Guard going street by street,
[00:01:18.000 --> 00:01:20.000]   house to house,
[00:01:20.000 --> 00:01:23.000]   and instructions to disarm anyone inside.
[00:01:23.000 --> 00:01:26.000]   We're going to neutralize a lot of threats before they even happen.
[00:01:26.000 --> 00:01:28.000]   But the punishment usually came after the crime.
[00:01:28.000 --> 00:01:30.000]   And when they say, "I want my lawyer,"
[00:01:30.000 --> 00:01:32.000]   you tell them, "Shut up!"
[00:01:32.000 --> 00:01:34.000]   Your time is at get-iron.
[00:01:34.000 --> 00:01:36.000]   You're an enemy combatant.
[00:01:36.000 --> 00:01:38.000]   You guys did some nasty stuff.
[00:01:38.000 --> 00:01:40.000]   Yeah, we compromised.
[00:01:40.000 --> 00:01:42.000]   Sometimes in ways that made us not sleep so well.
[00:01:42.000 --> 00:01:45.000]   When I was in Afghanistan, they usually kept us outside these buildings,
[00:01:45.000 --> 00:01:48.000]   and the other government agency guys, probably like DEA, CIA and all that,
[00:01:48.000 --> 00:01:51.000]   they would go into these kind of rooms like that, exactly,
[00:01:51.000 --> 00:01:54.000]   and they would be torturing people from in there.
[00:01:54.000 --> 00:01:57.000]   It's a shame to hear a grown person like that being tortured.
[00:01:57.000 --> 00:01:59.000]   What you're watching is this opium that's being grown.
[00:01:59.000 --> 00:02:02.000]   We provide them security, we're providing them resources,
[00:02:02.000 --> 00:02:04.000]   and we're providing them alternatives.
[00:02:04.000 --> 00:02:07.000]   Captain America is a fugitive from S.H.I.E.L.D.
[00:02:07.000 --> 00:02:10.000]   With all due respect, if S.H.I.E.L.D. is conducting a manhunt for Captain America,
[00:02:10.000 --> 00:02:12.000]   we deserve to know why.
[00:02:12.000 --> 00:02:14.000]   You have a lot of people that are coming out of the military
[00:02:14.000 --> 00:02:17.000]   that have the ability and the knowledge to build IEDs
[00:02:17.000 --> 00:02:19.000]   and to defeat law enforcement techniques.
[00:02:19.000 --> 00:02:22.000]   This is only going to get worse once it starts.
[00:02:22.000 --> 00:02:25.000]   There's no veterans doing anything right now, no IEDs.
[00:02:25.000 --> 00:02:29.000]   They are literally getting the police to pick a fight with veterans.
[00:02:29.000 --> 00:02:33.000]   You are standing in my way.
[00:02:33.000 --> 00:02:34.000]   How did you get here?
[00:02:34.000 --> 00:02:36.000]   In fighter tank.
[00:02:36.000 --> 00:02:39.000]   It was Operation Paperclip after World War II.
[00:02:39.000 --> 00:02:42.000]   S.H.I.E.L.D. recruited German scientists with strategic value.
[00:02:42.000 --> 00:02:44.000]   I thought I could help their cause.
[00:02:44.000 --> 00:02:47.000]   Operation Paperclip explores the secret military program
[00:02:47.000 --> 00:02:51.000]   that hired scientists who used slave labor to build the V-2 rocket
[00:02:51.000 --> 00:02:55.000]   and others who used concentration camp victims for human experiments.
[00:02:55.000 --> 00:02:58.000]   The responsibility for the staggering loss of life and property
[00:02:58.000 --> 00:03:01.000]   is uniformly placed on Hitler and the Nazis,
[00:03:01.000 --> 00:03:04.000]   but excluded from the official history is the fact that Hitler
[00:03:04.000 --> 00:03:07.000]   and the National Socialists would not have risen to power
[00:03:07.000 --> 00:03:13.000]   without the help of international bankers and American and German corporations.
[00:03:13.000 --> 00:03:17.000]   She's disabling security protocols and dumping all the secrets onto the Internet.
[00:03:17.000 --> 00:03:18.000]   Including Hydra's.
[00:03:18.000 --> 00:03:19.000]   And S.H.I.E.L.D.'s.
[00:03:19.000 --> 00:03:21.000]   What about Bradlee Manning?
[00:03:21.000 --> 00:03:22.000]   What about Bradlee Manning?
[00:03:22.000 --> 00:03:24.000]   How can all those people be betrayed?
[00:03:24.000 --> 00:03:26.000]   How can all those people be betrayed?
[00:03:26.000 --> 00:03:31.000]   I think the revelations are terrible because they were revealed.
[00:03:31.000 --> 00:03:33.000]   What's his name?
[00:03:33.000 --> 00:03:34.000]   Snowden.
[00:03:34.000 --> 00:03:35.000]   Yes, Snowden.
[00:03:35.000 --> 00:03:37.000]   I think he's a traitor.
[00:03:37.000 --> 00:03:38.000]   What about the others?
[00:03:38.000 --> 00:03:40.000]   Are you planning a rescue mission?
[00:03:40.000 --> 00:03:43.000]   You think about what is going on with the Veterans Administration, the hospital,
[00:03:43.000 --> 00:03:47.000]   and the fact that we have veterans that are dying because they're on a wait list.
[00:03:47.000 --> 00:03:50.000]   You talk about Sergeant Tamarisi and his situation.
[00:03:50.000 --> 00:03:52.000]   We need to talk to you now, Ken.
[00:03:52.000 --> 00:03:55.000]   Herschel!
[00:03:55.000 --> 00:03:57.000]   You can't lose Herschel.
[00:03:57.000 --> 00:04:00.000]   Something that I've been upset about and raising a cane about,
[00:04:00.000 --> 00:04:02.000]   so I'm going to ask you about it.
[00:04:02.000 --> 00:04:09.000]   And that's this right-wing extremism report that was mailed out to all law enforcement officials
[00:04:09.000 --> 00:04:10.000]   in the United States.
[00:04:10.000 --> 00:04:12.000]   I've apologized for that report.
[00:04:12.000 --> 00:04:15.000]   It was not authorized to be distributed.
[00:04:15.000 --> 00:04:16.000]   This is a freedom.
[00:04:16.000 --> 00:04:17.000]   This is freedom.
[00:04:17.000 --> 00:04:21.000]   The shield takes the world as it is, not as we'd like it to be.
[00:04:21.000 --> 00:04:26.000]   It's getting damn near past time that you were getting with that program, Captain.
[00:04:26.000 --> 00:04:27.000]   I'm going out to breath.
[00:04:27.000 --> 00:04:37.000]   Rallying patriots worldwide in defense of human liberty, it's Alex Jones.
[00:04:37.000 --> 00:04:41.000]   And, of course, that film came out a year and a half ago and was absolutely pro-liberty,
[00:04:41.000 --> 00:04:43.000]   pro-freedom, pro-America, pro-human.
[00:04:43.000 --> 00:04:49.000]   Now, Sony bought it, and then it got passed on over to Disney,
[00:04:49.000 --> 00:04:55.000]   and they are putting out 110% propaganda, demonizing gun owners, veterans, you name it.
[00:04:55.000 --> 00:05:00.000]   And Captain America now works for Hydra.
[00:05:00.000 --> 00:05:05.000]   Who do you prefer, Barack Obama or George W. Bush?
[00:05:05.000 --> 00:05:10.000]   Well, if you haven't figured it out by now, these guys are corporate spokesmen.
[00:05:10.000 --> 00:05:11.000]   They're not leaders.
[00:05:11.000 --> 00:05:14.000]   I mean, they both started illegal wars.
[00:05:14.000 --> 00:05:16.000]   Hell, they both tortured people.
[00:05:16.000 --> 00:05:20.000]   They bailed out criminal corporations, and they spied on you.
[00:05:20.000 --> 00:05:24.000]   They both violated the Constitution, and they even committed war crimes.
[00:05:24.000 --> 00:05:25.000]   So what's it going to take?
[00:05:25.000 --> 00:05:28.000]   I mean, what will it take to finally wake you up?
[00:05:28.000 --> 00:05:29.000]   Think about it.
[00:05:29.000 --> 00:05:35.000]   If Joseph Stalin ran for president as a Democrat and Adolf Hitler ran as a Republican,
[00:05:35.000 --> 00:05:38.000]   one of them would end up leading our country.
[00:05:38.000 --> 00:05:40.000]   It's politics incorporated.
[00:05:40.000 --> 00:05:44.000]   And your choice between the two parties is a myth,
[00:05:44.000 --> 00:05:51.000]   because in reality it is a two-party tyranny with one ideology, divide and conquer.
[00:05:51.000 --> 00:05:55.000]   So join the revolution and break the false left versus right paradigm.
[00:05:55.000 --> 00:05:58.000]   Infowars.com
[00:05:58.000 --> 00:06:03.000]   Infowarslife.com, oil of oregano formulation.
[00:06:03.000 --> 00:06:09.000]   We have now procured the most high-quality and potent forms of oregano oil on the market.
[00:06:09.000 --> 00:06:15.000]   A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations
[00:06:15.000 --> 00:06:17.000]   for thousands of years to promote health.
[00:06:17.000 --> 00:06:23.000]   Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:06:23.000 --> 00:06:28.000]   Extracted directly from the wild herb and sealed in easy-to-use capsules,
[00:06:28.000 --> 00:06:32.000]   you will no longer need to endure the burning of liquid oregano on the tongue.
[00:06:32.000 --> 00:06:37.000]   Used since before the days of the Roman Empire to support the body's natural systems
[00:06:37.000 --> 00:06:39.000]   and enhance overall health.
[00:06:39.000 --> 00:06:44.000]   Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful
[00:06:44.000 --> 00:06:46.000]   and most challenging to acquire.
[00:06:46.000 --> 00:06:51.000]   This winter season it's more important than ever to secure this true form of oil of oregano.
[00:06:51.000 --> 00:06:53.000]   Now available at Infowarslife.com.
[00:06:53.000 --> 00:06:59.000]   That's Infowarslife.com or call 888-253-3139.
[00:06:59.000 --> 00:07:02.000]   I want more candy. I want more baby again.
[00:07:02.000 --> 00:07:03.000]   Mine, mine, mine.
[00:07:03.000 --> 00:07:09.000]   And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula
[00:07:09.000 --> 00:07:12.000]   that was designed to smooth out and help children focus.
[00:07:12.000 --> 00:07:15.000]   All of our children are hit with modern mind control.
[00:07:15.000 --> 00:07:19.000]   Television, music, fast food, GMOs, sugars, you name it.
[00:07:19.000 --> 00:07:25.000]   Young humans have not yet developed their nervous system and are being hammered daily by globulous concoctions.
[00:07:25.000 --> 00:07:30.000]   It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[00:07:30.000 --> 00:07:37.000]   Working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[00:07:37.000 --> 00:07:41.000]   We worked with the leading manufacturer in nutritional supplements that are safe for children
[00:07:41.000 --> 00:07:44.000]   to bring you the most affordable and powerful calming formula out there.
[00:07:44.000 --> 00:07:52.000]   Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[00:07:52.000 --> 00:07:56.000]   Obtain your Child Ease today at Infowarslife.com.
[00:07:56.000 --> 00:07:59.000]   That's Child Ease exclusively at Infowarslife.com.
[00:08:00.000 --> 00:08:11.000]   [Music]
[00:08:11.000 --> 00:08:15.000]   Crashing through the lies and disinformation.
[00:08:15.000 --> 00:08:19.000]   It's Alex Jones on the GCN Radio Network.
[00:08:19.000 --> 00:08:31.000]   [Music]
[00:08:31.000 --> 00:08:37.000]   There are moments in television, moments in media,
[00:08:37.000 --> 00:08:50.000]   where the full import of how big something is isn't understood for weeks, months, even years.
[00:08:50.000 --> 00:09:04.000]   But what we witnessed last night with the CNBC Republican debate, moderated by CNBC, is evident pretty much instantly.
[00:09:04.000 --> 00:09:12.000]   This is a Polaroid moment where you don't have to wait more than just a few seconds after the debate.
[00:09:12.000 --> 00:09:23.000]   I was sitting there watching it with family and children and even let my children stay up late to finish it and see the aftermath.
[00:09:23.000 --> 00:09:37.000]   And I asked my children, my 13-year-old son, my 11-year-old daughter, my 7-year-old daughter, while we were watching the coverage that Infowars was engaged in,
[00:09:37.000 --> 00:09:41.000]   with David Nye, Jakari Jackson, and of course Joe Biggs and others.
[00:09:41.000 --> 00:09:51.000]   And my children said, "The reporters," that's what they called them, were reporters, they're really just pundits,
[00:09:51.000 --> 00:10:03.000]   "were trying to bully and trying to attack and trying to make the Republican candidates look stupid, but they looked stupid."
[00:10:03.000 --> 00:10:07.000]   That's what Rex Jones, my 13-year-old, had to say about it.
[00:10:07.000 --> 00:10:11.000]   And that's exactly what the nation had to say about it.
[00:10:11.000 --> 00:10:16.000]   That's exactly what even mainstream media had to say about it.
[00:10:16.000 --> 00:10:25.000]   You see, what mainstream media doesn't get is that even more hated than establishment Democrat and Republican candidates,
[00:10:25.000 --> 00:10:34.000]   dinosaur media is even more disdained, more reviled, more hated.
[00:10:34.000 --> 00:10:41.000]   I'll never forget, I've told this story many times when Rand Paul got elected four and a half years ago to the Senate.
[00:10:41.000 --> 00:10:54.000]   Politico called me and they made a big deal about Rand Paul coming on the show and Rand Paul being a listener and Rand Paul coming on 20 years ago and being a friend of the show.
[00:10:54.000 --> 00:11:04.000]   And I said, "Don't you get it? The only way you could have hurt Rand Paul was for you to endorse him.
[00:11:04.000 --> 00:11:11.000]   You're out of bullets. The mainstream media is running on empty."
[00:11:11.000 --> 00:11:17.000]   And of course, they quoted me a bunch in the article, but they didn't quote that part.
[00:11:17.000 --> 00:11:25.000]   And you notice Rand Paul isn't as successful in poll numbers as he was just four months ago as the frontrunner.
[00:11:25.000 --> 00:11:34.000]   Now he's in the middle of the pack because he's been more accepted by the establishment, because he's moderated his stance.
[00:11:34.000 --> 00:11:47.000]   And he's destroying himself thinking that people like Donald Trump are going to recede in this campaign.
[00:11:47.000 --> 00:11:49.000]   That is nothing but media spin.
[00:11:49.000 --> 00:11:55.000]   And I tell Senator Paul this in a friendly way, but I don't want to digress at this point.
[00:11:55.000 --> 00:12:03.000]   Getting back to the big issue at hand, coming up at the bottom of the hour, I want to cover world news, economic news first.
[00:12:03.000 --> 00:12:13.000]   Police state news, attacks on the First Amendment, huge developments obviously with Paul Ryan being elected speaker.
[00:12:13.000 --> 00:12:15.000]   That's all coming up.
[00:12:15.000 --> 00:12:20.000]   But if you look at DrugsReport.com, all-out war against CNBC.
[00:12:20.000 --> 00:12:23.000]   Bush campaign manager confronts producer.
[00:12:23.000 --> 00:12:29.000]   Grove, lamestreamers, total debate fail.
[00:12:29.000 --> 00:12:38.000]   Boesel, forum was a example of bias, an encyclopedic example of bias.
[00:12:38.000 --> 00:12:42.000]   Hannity will go down in history as really bad night for the media.
[00:12:42.000 --> 00:12:47.000]   I agree with that statement.
[00:12:47.000 --> 00:12:49.000]   Moderators booed again and again.
[00:12:49.000 --> 00:12:56.000]   Trump boasts about limiting debate time so he can get the hell out of here.
[00:12:56.000 --> 00:13:01.000]   Meanwhile, we learn RNC chairman threw candidates to the wolves.
[00:13:01.000 --> 00:13:07.000]   There's a revolt in mass.
[00:13:07.000 --> 00:13:08.000]   That's right.
[00:13:08.000 --> 00:13:16.000]   You have the rhino neocon Republicans always trying to hamstring a libertarian constitutional takeover of the Republican Party.
[00:13:16.000 --> 00:13:22.000]   The landslide already happening at the state level across the nation.
[00:13:22.000 --> 00:13:28.000]   And Paul Ryan being elected is part of that.
[00:13:28.000 --> 00:13:36.000]   The CISA bill, the surveillance bill has been passed masquerading as a cyber security bill.
[00:13:36.000 --> 00:13:43.000]   They are ramming a lot through while we're busy eating popcorn watching the debate.
[00:13:43.000 --> 00:13:50.000]   But the good news is you've got the Republican leadership working against the candidates that they don't control and that are popular.
[00:13:50.000 --> 00:13:54.000]   You've got the mainstream media trying to sabotage them.
[00:13:54.000 --> 00:13:59.000]   You've got all these dirty tricks being run against Carson and others.
[00:13:59.000 --> 00:14:03.000]   And all it does is empower them when they attack Trump.
[00:14:03.000 --> 00:14:06.000]   He goes up in the numbers when they attack Carson.
[00:14:06.000 --> 00:14:08.000]   He goes up in the numbers when they attack Huckabee.
[00:14:08.000 --> 00:14:12.000]   He starts getting traction.
[00:14:12.000 --> 00:14:16.000]   You do not get traction out of eating out of the hand of these people.
[00:14:16.000 --> 00:14:21.000]   These people obviously do not have good intentions for us.
[00:14:21.000 --> 00:14:29.000]   And I know our audience knows this, but when Hannity says this will go down in history as a really bad night for the media, it's beyond that.
[00:14:29.000 --> 00:14:39.000]   This will go down in history as another major signpost that the dinosaur media is dying big time.
[00:14:39.000 --> 00:15:07.000]   And the more anger, the more disdain, the more vitriol, the more bravado, the more sickening chutzpah and hubris that we saw spewed by the three nasty, nasty, nasty moderators only illustrated their disconnect and their arrogance.
[00:15:07.000 --> 00:15:10.000]   They wanted to demonize the Republican Party.
[00:15:10.000 --> 00:15:13.000]   They wanted to demonize the candidates that weren't establishment.
[00:15:13.000 --> 00:15:22.000]   They would give softball questions to the Republicans that they know are part of the team while viciously attacking people they don't control.
[00:15:22.000 --> 00:15:34.000]   It was crystal clear that this was a rigged attempt to derail patriot candidates, and instead it was a fiasco.
[00:15:34.000 --> 00:15:36.000]   It was a disaster.
[00:15:36.000 --> 00:15:38.000]   It was a train wreck.
[00:15:38.000 --> 00:15:46.000]   It was an implosion for the sycophantic media whores.
[00:15:46.000 --> 00:16:07.000]   This weekend I was hiking in the mountains of southwest Texas, and it really hit me that we've had so many debates, so many calls, so many guests talk about what should we call the Decepticon mainstream, sewage stream, collaborator, prostitute, corporate media.
[00:16:07.000 --> 00:16:09.000]   And it hit me.
[00:16:09.000 --> 00:16:11.000]   Straight talk is the answer.
[00:16:11.000 --> 00:16:19.000]   Straight labels that actually fit what something is is what we should go with.
[00:16:19.000 --> 00:16:23.000]   You don't call butter concentrated milk fat.
[00:16:23.000 --> 00:16:26.000]   You call it butter.
[00:16:26.000 --> 00:16:31.000]   You don't call chocolate recondensed sugared cocoa powder.
[00:16:31.000 --> 00:16:36.000]   You call it chocolate.
[00:16:36.000 --> 00:16:51.000]   You call a pile of horse manure on the side of the road some scientific name for the leavings of the equine species.
[00:16:51.000 --> 00:16:53.000]   You call it what it is.
[00:16:53.000 --> 00:16:57.000]   They are the enemy.
[00:16:57.000 --> 00:17:00.000]   Mainstream media is the enemy.
[00:17:00.000 --> 00:17:02.000]   They are the deceivers.
[00:17:02.000 --> 00:17:14.000]   They are the enemy propaganda arms of the major corporations that brag they've conquered this country.
[00:17:14.000 --> 00:17:16.000]   They are collaborators.
[00:17:16.000 --> 00:17:25.000]   They are here to deny there's a TPP, deny there's a CFR, deny there's a New World Order until it's too late.
[00:17:25.000 --> 00:17:39.000]   Deny there's a Gen 21, deny there's a move to get our guns, deny Obamacare doubles, triples prices, has death panels, restricts care, deny that there's penalties, but all of it's now happening.
[00:17:39.000 --> 00:17:42.000]   You see, they're just the front minions that are disposable.
[00:17:42.000 --> 00:17:56.000]   That's why they'll get up there and tell lies that will destroy their careers very soon and have already destroyed them in many cases because they're paid as mercenaries not to be popular but to deceive the public.
[00:17:56.000 --> 00:17:58.000]   And then they put in new deceivers.
[00:17:58.000 --> 00:18:01.000]   Notice how they go through reporters faster and faster.
[00:18:01.000 --> 00:18:03.000]   Used to be every decade they'd go through anchors.
[00:18:03.000 --> 00:18:05.000]   Then it was every couple years.
[00:18:05.000 --> 00:18:10.000]   Now it's every couple months there's new people because they're trying to confuse folks with new faces.
[00:18:10.000 --> 00:18:15.000]   Oh, your brain associates the last crop from six months ago with lying to you.
[00:18:15.000 --> 00:18:16.000]   Here's a new crop.
[00:18:16.000 --> 00:18:20.000]   Here's more shark teeth rolling forward.
[00:18:20.000 --> 00:18:28.000]   And boy, they're really starting to scrape the bottom of the barrel.
[00:18:28.000 --> 00:18:41.000]   So just like I pointed out five years ago that the climate gate emails would devastate the global carbon tax movement and devastate the center of the world government program.
[00:18:41.000 --> 00:18:45.000]   I use the Star Wars analogy of it was a Death Star destruction event.
[00:18:45.000 --> 00:18:53.000]   Episode four level event didn't mean the empire was defeated, but man, it was a crushing defeat.
[00:18:53.000 --> 00:18:56.000]   Obama not getting his gun control through.
[00:18:56.000 --> 00:18:58.000]   Devastating defeat.
[00:18:58.000 --> 00:19:02.000]   Our military signal wouldn't fight on the side of Al Qaeda three years ago in Syria.
[00:19:02.000 --> 00:19:13.000]   Devastating, devastating, devastating defeat.
[00:19:13.000 --> 00:19:17.000]   And we're having more and more of those victories every month.
[00:19:17.000 --> 00:19:19.000]   Now, it's not a huge victory every year.
[00:19:19.000 --> 00:19:21.000]   It's now every month, every week.
[00:19:21.000 --> 00:19:25.000]   We are savaging them in this knife fight.
[00:19:25.000 --> 00:19:27.000]   Now, early on in the fight, they stabbed us.
[00:19:27.000 --> 00:19:28.000]   They cut us up really bad.
[00:19:28.000 --> 00:19:37.000]   I'm not saying we're even winning, but the last few rounds of this knife fight, we are plunging double-edged daggers into their organs.
[00:19:37.000 --> 00:19:41.000]   They are bleeding out in front of us, but now they're really dangerous.
[00:19:41.000 --> 00:19:42.000]   They're the blood running out of them.
[00:19:42.000 --> 00:19:44.000]   They're turning death white.
[00:19:44.000 --> 00:19:49.000]   They're going to fall over really quick or start a giant war to overturn the tables.
[00:19:49.000 --> 00:19:51.000]   But either way, we've got them.
[00:19:51.000 --> 00:20:03.000]   Just focus, pray to God, attack in the info war, and just keep stabbing and slashing and cutting.
[00:20:03.000 --> 00:20:07.000]   Earthquake, floods, winter storms, prolonged power outages, or war.
[00:20:07.000 --> 00:20:12.000]   Each of us have had that moment when we recognize that we need to be better prepared.
[00:20:12.000 --> 00:20:13.000]   We typically do the same thing.
[00:20:13.000 --> 00:20:16.000]   We start with food storage, then we address the need for water.
[00:20:16.000 --> 00:20:18.000]   But have you considered heat storage?
[00:20:18.000 --> 00:20:20.000]   I'm talking about staying warm in the cold.
[00:20:20.000 --> 00:20:22.000]   Here are some things for you to consider.
[00:20:22.000 --> 00:20:24.000]   How will I keep my family warm?
[00:20:24.000 --> 00:20:27.000]   The standard answers are firewood, coal, or propane.
[00:20:27.000 --> 00:20:31.000]   But the problem with that, if you need to be on the move, is you can't take it with you.
[00:20:31.000 --> 00:20:36.000]   Another concern, there may come a time when you need to stay warm without smoke, like in times of war.
[00:20:36.000 --> 00:20:39.000]   There may even come a time when you can't burn fuel.
[00:20:39.000 --> 00:20:43.000]   The answers may be simpler and less costly than you think.
[00:20:43.000 --> 00:20:46.000]   For these answers, go to FortressClothing.com.
[00:20:46.000 --> 00:20:51.000]   Again, FortressClothing.com has the answers to your heat storage dilemma.
[00:20:51.000 --> 00:20:53.000]   Don't get stuck in the cold.
[00:20:53.000 --> 00:20:55.000]   FortressClothing.com.
[00:20:55.000 --> 00:20:57.000]   You'll never be cold again.
[00:20:57.000 --> 00:21:00.000]   [clock ticking]
[00:21:00.000 --> 00:21:02.000]   Who's among the worst at keeping your data private?
[00:21:02.000 --> 00:21:05.000]   The Electronic Frontier Foundation Privacy Report says it's AT&T.
[00:21:05.000 --> 00:21:12.000]   AT&T customers need to know this when calling the Alex Jones 24/7 Listen line at 1-605-562-9000.
[00:21:12.000 --> 00:21:13.000]   Big Brother is listening.
[00:21:13.000 --> 00:21:17.000]   No apps, no data, no Internet needed, and no extra cost if you have unlimited minutes.
[00:21:17.000 --> 00:21:21.000]   Call the Alex Jones 24/7 Listen line on any phone, but please don't use AT&T.
[00:21:21.000 --> 00:21:24.000]   For everyone else, bookmark Alex Jones Listen line number today.
[00:21:24.000 --> 00:21:26.000]   1-605-562-9000.
[00:21:26.000 --> 00:21:29.000]   That's 1-605-562-9000.
[00:21:29.000 --> 00:21:32.000]   My dad was 59 when he collapsed from a heart attack late last year.
[00:21:32.000 --> 00:21:36.000]   Just this past August was when we spread his ashes on the St. Croix River.
[00:21:36.000 --> 00:21:38.000]   I loved my dad, but boy was he stubborn.
[00:21:38.000 --> 00:21:41.000]   He hadn't been to the doctor in over 25 years.
[00:21:41.000 --> 00:21:43.000]   His excuse? He simply couldn't afford it.
[00:21:43.000 --> 00:21:45.000]   He wasn't a rich man by any means.
[00:21:45.000 --> 00:21:50.000]   At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:21:50.000 --> 00:21:54.000]   Don't wait. Go to LibertyOnCall.org right now.
[00:21:54.000 --> 00:21:57.000]   For not just your sake, but for the sake of your loved ones.
[00:21:57.000 --> 00:21:59.000]   Again, that's LibertyOnCall.org.
[00:21:59.000 --> 00:22:02.000]   My name is Bill Bonner, and I have an important message.
[00:22:02.000 --> 00:22:08.000]   Right now, the highest levels of government are struggling against an inevitable crisis.
[00:22:08.000 --> 00:22:10.000]   But they're about to lose control.
[00:22:10.000 --> 00:22:16.000]   When this happens, it will rip our country apart in ways you never imagined.
[00:22:16.000 --> 00:22:20.000]   From where we shop, to the doctors you visit, and the family you want to protect.
[00:22:20.000 --> 00:22:23.000]   Look, I've made predictions like this before.
[00:22:23.000 --> 00:22:26.000]   A few years ago, I warned that the housing prices would collapse.
[00:22:26.000 --> 00:22:31.000]   Before that, I warned that dot-com companies would crash, and they did.
[00:22:31.000 --> 00:22:34.000]   Those who listened had a chance to save themselves.
[00:22:34.000 --> 00:22:37.000]   But this has nothing to do with the stock market.
[00:22:37.000 --> 00:22:39.000]   This will affect us all.
[00:22:39.000 --> 00:22:43.000]   I've posted a free video at DollarDanger.com.
[00:22:43.000 --> 00:22:50.000]   Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[00:22:50.000 --> 00:22:56.000]   You can watch the video for free right now by going to DollarDanger.com.
[00:22:56.000 --> 00:22:59.000]   Again, that's DollarDanger.com.
[00:22:59.000 --> 00:23:02.000]   There are hundreds of silver products on the market today.
[00:23:02.000 --> 00:23:07.000]   But there's nothing like the astonishing health benefits of the multi-patented OneSilver solution.
[00:23:07.000 --> 00:23:11.000]   Boost your immune system at a great price with our silver solution liquid.
[00:23:11.000 --> 00:23:16.000]   Starting at $12.95 a bottle, now available in regular and extra strength.
[00:23:16.000 --> 00:23:18.000]   That's half the price of the leading competitors.
