[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[00:12:09.483 --> 00:12:12.284]  I knew this was all coming when I first got on air 28 years ago.
[00:12:12.284 --> 00:12:20.449]  I was really... to 33 years ago, even when I was in high school, but I've been on air 28 years since I was 21.
[00:12:20.449 --> 00:12:32.335]  I knew this was all coming because it was in the documents, but the reason I was interested in the documents is my mother's brother, who died a few years ago, best guy I ever knew,
[00:12:33.547 --> 00:12:37.629]  He'd been this big, you know, star, youngest ever ham radio operator.
[00:12:37.629 --> 00:12:42.612]  He won national awards for being the fastest Morse code operator.
[00:12:42.612 --> 00:12:45.193]  And he was a Vietnam war hero.
[00:12:45.193 --> 00:12:47.054]  But none of us ever knew that until he died.
[00:12:47.054 --> 00:12:48.995]  We knew he was in Vietnam.
[00:12:48.995 --> 00:12:58.080]  But then he was involved in Iran-Contra and involved in high level management of a lot of really big things.
[00:12:58.080 --> 00:13:00.721]  And he saw some things in Guatemala.
[00:13:01.710 --> 00:13:01.850]  I don't
[00:13:18.679 --> 00:13:26.808]  He was in Army Special Operations and, you know, high level directly communicating with the White House because he was the guy that did the Morse code the fastest and, you know, all the rest of it.
[00:13:26.808 --> 00:13:28.510]  So he was in charge.
[00:13:28.510 --> 00:13:33.136]  And even back then, they still use Morse code because nobody can basically crack the special codes they use and things.
[00:13:33.136 --> 00:13:36.379]  They still use low tech on the submarines, a lot of things.
[00:13:36.379 --> 00:13:37.340]  That's that super secret.
[00:13:39.002 --> 00:13:52.748]  The point is, is that he told me when I was young, starting at about 13, when I would go down every summer from Dallas and visit them for a week or two to visit my cousins in San Antonio.
[00:13:52.748 --> 00:13:58.030]  He basically taught me how to cowlade the cabbage.
[00:13:58.030 --> 00:14:01.511]  And so I really understood a lot of things because of that.
[00:14:03.840 --> 00:14:10.066]  My dad was also really big on history and things, so I would ask him about Zbigniew Brzezinski and the New World Order and things.
[00:14:10.066 --> 00:14:17.874]  And so that's really why I know that, was because of William Forrest Hammond, my uncle, is really the main reason we have Alex Jones today.
[00:14:19.062 --> 00:14:21.164]  And where do you think we're going to go next, Alex?
[00:14:21.164 --> 00:14:24.407]  And you know, it's interesting that you and I have sort of similar upbringings.
[00:14:24.407 --> 00:14:32.736]  My mom's younger brother was into studying all of the things about the Illuminati and about the Council on Four Relations and all of those things.
[00:14:32.736 --> 00:14:39.763]  So when I was a teenager, I remember sitting around the dining room table with my mom's younger brother and my mom and my dad talking about all these things.
[00:14:39.763 --> 00:14:41.645]  I must have been maybe in my teens.
[00:14:42.205 --> 00:14:52.171]  So, you know, as this whole thing unfolded, I've got a big library upstairs of much older books that I don't even think they're in print anymore, from listening to that growing up.
[00:14:52.171 --> 00:14:53.232]  So that's pretty interesting.
[00:14:53.232 --> 00:14:57.834]  We've gotten to this point kind of with that same growing up background.
[00:14:57.834 --> 00:14:58.855]  So here we are.
[00:14:59.595 --> 00:15:04.137]  And I, how do we, you know, everybody says, how do we stop them?
[00:15:04.137 --> 00:15:08.139]  I'm not sure how we stop them, other than just with more information.
[00:15:08.139 --> 00:15:10.580]  But because I think the train has left the tracks.
[00:15:10.580 --> 00:15:16.602]  I mean, when you looked at that Worldwide Forum website, what's their next move?
[00:15:16.602 --> 00:15:18.703]  What are they going to do next?
[00:15:18.703 --> 00:15:22.865]  I'm glad you went back to your actual question, because I kind of digressed into the first part of the second part.
[00:15:24.141 --> 00:15:25.342]  What you said is so key.
[00:15:25.342 --> 00:15:35.791]  Because of countless people going back to Barry Goldwater and the John Birch Society and all those folks that turned out were dead on, they were the ones that were really prophetic.
[00:15:35.791 --> 00:15:43.637]  We, a lot of people around the country, especially in the Midwest and just all over the nation, really were awake to what was going on.
[00:15:53.330 --> 00:16:02.072]  Thanksgiving 2022 is here.
[00:16:02.072 --> 00:16:04.713]  We've got the biggest sale of the year going right now.
[00:16:04.713 --> 00:16:10.334]  Now the news is I'm going to extend this sale up to 60% off right through Christmas.
[00:16:10.334 --> 00:16:14.835]  The bad news is by Christmas almost every product in the store will be sold out and
[00:16:14.855 --> 00:16:16.916]  We won't get more for months and months and months.
[00:16:16.916 --> 00:16:21.357]  So now is the time to take action to support the InfoWar and get the biggest sales of the year.
[00:16:21.357 --> 00:16:27.299]  We've already sold out of X2 and X3 and BioTruth Selenium and our Wake Up America award-winning coffee.
[00:16:27.299 --> 00:16:31.481]  And now, DNA Force Plus, Vitamin Refusion, Body's Ultimate Turmeric Formula.
[00:16:32.501 --> 00:16:38.322]  So many other great products like Ultimate Krill Oil, Ultimate Finish Oil, Vaz-O-Beats, Secret 12.
[00:16:38.322 --> 00:16:42.643]  They are all going to sell out in the next few weeks or in the next month.
[00:16:42.643 --> 00:16:45.224]  Again, more stuff is going to sell out today.
[00:16:45.224 --> 00:16:49.605]  So every hour you wait, more stuff will be sold out at InfoWarsTore.com.
[00:16:49.605 --> 00:16:56.307]  Promo code 1776 and you get an additional 10% off your already giant savings at InfoWarsTore.com.
[00:16:56.307 --> 00:16:57.607]  Thank you so much for your support.
[00:16:57.607 --> 00:16:58.007]  God bless.
[00:17:00.051 --> 00:17:05.595]  Ladies and gentlemen, we always run the biggest deals of the year starting in mid-November through Christmas.
[00:17:05.595 --> 00:17:10.859]  But this year is hands down the biggest sale we've ever offered.
[00:17:10.859 --> 00:17:13.501]  Not just up to 60% off with Promo Code 1776.
[00:17:15.362 --> 00:17:21.188]  But on top of it, double Patriot points and what makes this the most special sale ever.
[00:17:21.188 --> 00:17:25.633]  Every order will get a free gift, no matter how small or how big.
[00:17:25.633 --> 00:17:30.018]  And it's all randomly selected by the shopping cart computer.
[00:17:30.018 --> 00:17:32.321]  So you might order a sticker pack for $5.
[00:17:32.321 --> 00:17:34.923]  You might order the blowout t-shirt sale for $4.95.
[00:17:36.445 --> 00:17:40.529]  And then get something worth $50, $60, $70, $80, $100.
[00:17:40.529 --> 00:17:43.291]  So again, some of the gifts are sticker packs.
[00:17:43.291 --> 00:17:45.073]  Some of them are Alex Jones Halloween masks.
[00:17:45.073 --> 00:17:49.357]  Some of them are books, films, InfoWars flags, American flags.
[00:17:49.357 --> 00:17:51.099]  There are hundreds of different items.
[00:17:51.099 --> 00:17:52.300]  It's all random.
[00:17:52.300 --> 00:17:53.821]  InfoWarsStore.com.
[00:17:53.821 --> 00:17:56.043]  Every order gets a free gift.
[00:17:56.043 --> 00:17:58.906]  Free gifts with every order at InfoWarsStore.com.
[00:17:59.707 --> 00:18:02.190]  Alex, why is this taking so long?
[00:18:02.190 --> 00:18:03.471]  Why is this taking so long?
[00:18:03.471 --> 00:18:06.955]  In France, they can count all the paper ballots and they're done in a day.
[00:18:06.955 --> 00:18:08.217]  Why can't we do this here?
[00:18:08.217 --> 00:18:10.760]  The answer is fraud and corruption.
[00:18:10.760 --> 00:18:16.627]  If we don't fix the system, it doesn't matter whether the Republican nominee is Donald Trump or Governor DeSanctimonious.
[00:18:16.767 --> 00:18:18.607]  They're going to deny us Michigan.
[00:18:18.607 --> 00:18:20.508]  They're going to deny us Pennsylvania.
[00:18:20.508 --> 00:18:22.428]  They're going to deny us Arizona.
[00:18:22.428 --> 00:18:33.011]  And I can't come to 270 electoral votes without any of those states where I believe there is an America first majority in every single one of them.
[00:18:33.011 --> 00:18:37.152]  So we need to keep fighting for reform of the system.
[00:18:37.152 --> 00:18:40.053]  Tucker Carlson said this better last night than anything else.
[00:18:40.053 --> 00:18:42.073]  Communications are the reason why we didn't win.
[00:18:42.073 --> 00:18:46.156]  Well, that's why Infowars.com is so damn important.
[00:18:46.156 --> 00:18:49.498]  That's why they're so desperate to take you off the air, Alex.
[00:18:49.498 --> 00:18:51.719]  People need to get behind Infowars.
[00:18:51.719 --> 00:18:57.002]  This alternative media that we work so hard to bring you is vitally important.
[00:18:57.002 --> 00:18:59.484]  We need more of this communications, not less.
[00:18:59.844 --> 00:19:03.206]  Everybody that's watching this needs to support Alex Jones.
[00:19:03.206 --> 00:19:06.028]  Needs to support InfoWars and Band.Video.
[00:19:06.028 --> 00:19:08.730]  You know, the Bible says, let another mouth praise you.
[00:19:08.730 --> 00:19:10.030]  I'm gonna do that right now.
[00:19:10.030 --> 00:19:13.953]  Alex Jones has helped so many people in this industry.
[00:19:13.953 --> 00:19:18.836]  You guys have no idea how many people have got their first start like Savannah Hernandez.
[00:19:19.136 --> 00:19:25.299]  How many people have just been put on a launch pad to outer space because of Alex Jones, including myself?
[00:19:25.299 --> 00:19:33.944]  I've been given so many opportunities because of this man and because of this platform, and I would probably not even be half of where I am right now if it weren't for Alex Jones.
[00:19:33.944 --> 00:19:39.627]  I mean, I've been able to be on podcasts with Alex and Joe Rogan and TimCast, the super TimCast IRL.
[00:19:39.627 --> 00:19:45.050]  Listen, what I'm saying is, do not take Alex Jones and Bandot video for granted.
[00:19:45.290 --> 00:19:47.772]  Because you don't know what you have until it's gone.
[00:19:47.772 --> 00:19:50.453]  We need to support free speech systems right now.
[00:19:50.453 --> 00:19:51.934]  So go check out the store.
[00:19:51.934 --> 00:19:53.135]  Go support their store.
[00:19:53.135 --> 00:19:54.636]  Go support InfoWars.
[00:19:54.636 --> 00:19:55.997]  Leave a donation right now.
[00:19:55.997 --> 00:20:00.400]  Don't wait until they're gone!
[00:20:00.400 --> 00:20:04.983]  Leading a frontal assault on the lies of the New World Order.
[00:20:04.983 --> 00:20:06.284]  It's Alex Jones.
[00:20:21.269 --> 00:20:25.331]  Infowars.com is tomorrow's news.
[00:20:25.331 --> 00:20:30.354]  Today, you're listening to The Alex Jones Show.
[00:20:30.354 --> 00:20:35.637]  A lot of people around the country, especially in the Midwest and just all over the nation, really were awake.
[00:20:37.402 --> 00:20:50.647]  To what was going on in the 50s, 60s, 70s, 80s, back when it was just embryonic, because there were a lot of people in the system that were being inducted into this tyranny who didn't like it, who were whistleblowers, and who came out and exposed it.
[00:20:50.647 --> 00:20:58.349]  So everything we're seeing today is what they said was coming because they were attempting to basically set up the programs for it back then.
[00:20:58.349 --> 00:21:02.511]  So a lot of those internal folks in government and corporations and the medical system and
[00:21:04.278 --> 00:21:13.535]  The clergy in the educational system held it back for decades and decades and so now because there was such a
[00:21:15.166 --> 00:21:22.051]  Backstop against it of people working for 60, 70 years quietly, or as loud as they could, but being suppressed.
[00:21:22.051 --> 00:21:27.695]  It was still pretty quiet, as you said, you whispered here and there, pamphlets, books, a few films here and there.
[00:21:27.695 --> 00:21:30.296]  We weren't caught completely flat-footed.
[00:21:30.296 --> 00:21:36.921]  And so in the last five years, the globalists have gone from denying all their programs to taking the mask off now.
[00:21:37.481 --> 00:21:37.982]  We're good to go.
[00:21:53.945 --> 00:21:55.927]  Where you would have emergence.
[00:21:55.927 --> 00:22:04.473]  I mean, even if you're gonna have a, say, an army sneak attack a position, okay, they sneak up, they get in position, but there finally comes the point of the attack.
[00:22:04.473 --> 00:22:09.797]  And so we're now gone from the beta testing into their operational system.
[00:22:09.797 --> 00:22:11.098]  So what comes next is
[00:22:12.372 --> 00:22:15.797]  More bioweapon releases from labs, which we now know COVID was.
[00:22:15.797 --> 00:22:29.916]  They're now creating the backstory of, at Boston University, humanized mice that again, as you know, as a doctor, act just like humans, basically the same death rate would be in humans, they estimate, of 80%, a super gain-of-function weapon.
[00:22:30.376 --> 00:22:34.921]  They now developed similar systems in London, broke last week as well.
[00:22:34.921 --> 00:22:47.496]  So they're even letting us know where the weapons are, that they've indeed made them, and they've got a gun to our collective heads, trying to hold us hostage, threatening to basically release these if we don't accept their New World Order.
[00:22:47.496 --> 00:22:50.940]  And so the whole COVID rollout was the segue from baited operational
[00:22:51.400 --> 00:22:56.824]  With the FEMA camps being built here, the COVID centers around the world, all UN policy directed.
[00:22:56.824 --> 00:23:01.828]  The policies created by the WEF itself is just a spokesperson group of the Bilderberg Group.
[00:23:01.828 --> 00:23:06.732]  Klaus Schwab has been on their steering committee since the 70s, except the WEF in the 80s.
[00:23:06.732 --> 00:23:09.074]  WEF emerged in the 90s.
[00:23:09.074 --> 00:23:15.038]  And as a forward-facing PR firm of global governance, corporate, fascist control,
[00:23:16.129 --> 00:23:16.409]  All right.
[00:23:32.336 --> 00:23:54.295]  More viral releases, more attempts at lockdowns, more attempts at forced injections, and testing with these injections, progressively getting more toxic, more poisonous, more dangerous, to see if they can manage the maiming and killing of us as the ambient background noise of the soft kill weapons are turned up.
[00:23:54.295 --> 00:23:56.357]  That's why it's so beautiful what you
[00:23:57.057 --> 00:24:09.085]  And countless others, but you at the tip of the spear, with just a few other top people, have done mobilizing against it, is they're asking, as you know, in Atlantic Monthly two weeks ago, which is the globalist mouthpiece, for an amnesty.
[00:24:09.085 --> 00:24:21.654]  Oh, we're sorry about lockdowns, we're sorry about masks, we're sorry about the shot not working, as they still try to push it on school children, as they try to make it, quote, federally recommended, so they can then bully people and claim it's mandatory through that fraud, as you know.
[00:24:22.554 --> 00:24:31.799]  And so they now want us to forget about what they just did the last three years so that we have that collective amnesia so they can do it again on a much more deadly scale.
[00:24:31.799 --> 00:24:40.925]  What we've been through in the last three years is a drill for martial law lockdowns when they release the really deadly bioweapons with a cocktail of other things.
[00:24:40.925 --> 00:24:42.946]  They can hit a city with a chemical weapon.
[00:24:43.997 --> 00:24:44.337]  I don't
[00:25:05.293 --> 00:25:18.083]  And in it, the Marine Corps was trading with the Army with drone helicopters to have helicopters go around and spray opiates on cities and, quote, make everybody pass out so the government could bring in martial law.
[00:25:18.083 --> 00:25:26.709]  They estimated that over 10% of the public would actually die in accidents, fires, and car wrecks when they did spray the cities with the chemical weapons.
[00:25:26.709 --> 00:25:30.672]  So we have real things like that actually on the books.
[00:25:30.672 --> 00:25:32.533]  The shadow government is not our friend.
[00:25:32.533 --> 00:25:34.395]  As Dr. Peter McCullough wrote a big article two days ago,
[00:25:34.995 --> 00:25:36.596]  I just interviewed him yesterday for two hours.
[00:25:36.596 --> 00:25:37.037]  That's it.
[00:25:37.037 --> 00:25:38.618]  Banned on video.
[00:25:38.618 --> 00:25:40.760]  And he comes out now.
[00:25:40.760 --> 00:25:46.144]  He knew this two years ago when he first came on my show, but said he wasn't ready to go public yet like you had done.
[00:25:46.144 --> 00:25:47.625]  He took the gloves off and said no.
[00:25:47.625 --> 00:25:51.488]  A shadow global government is in control of the Pentagon.
[00:25:51.488 --> 00:25:56.452]  The Pentagon has run the rollout of the shots through the UN, through Pfizer, through Moderna, through Bill Gates.
[00:25:57.132 --> 00:26:01.534]  Uh, and is actually attacking its own people and attacking our troops particularly.
[00:26:01.534 --> 00:26:13.060]  So it's not our military per se, but it's the military complex that Eisenhower warned of that is actually directly working for the central banks that is carrying all this out.
[00:26:13.300 --> 00:26:15.021]  Yes, absolutely.
[00:26:15.021 --> 00:26:18.324]  There's two things that you said in there that I want to circle back to and ask you about.
[00:26:18.324 --> 00:26:27.992]  I mean, one is when you said that this was a kind of a warm-up round for what they have next, which I've kind of said the same thing in a lot of my interviews and podcasts.
[00:26:29.933 --> 00:26:40.796]  I had been told by somebody early on, like this would have been in 2020, that this and the first article that I wrote in March 2020 after this stuff rolled out was same playbook, different virus.
[00:26:40.796 --> 00:26:43.417]  That was the first article that I wrote.
[00:26:43.417 --> 00:26:57.441]  And I had been told that, you know, that they thought the WF creatures, I call them, thought that this was just another trial balloon to see where they were on that continuum along that plan that they had, because they had SARS,
[00:26:57.921 --> 00:27:06.026]  Then they had MERS, then they had bird flu in 2005, they had H1N1 in 2009, and this was just another toss it out there and see where we are.
[00:27:06.026 --> 00:27:12.650]  And that the reason that they went full court press was because the Americans rolled over.
[00:27:12.650 --> 00:27:21.096]  That Americans just put on a mask, closed their businesses, cowered down and feared in their corner, and that the Americans didn't say,
[00:27:21.796 --> 00:27:23.218]  No way!
[00:27:23.218 --> 00:27:34.028]  And I just was talking, I was at one of Clay Clarke's events two weeks ago and I talked to somebody who had spent the last five months in Europe talking to pretty high-level people throughout the EU.
[00:27:34.028 --> 00:27:43.718]  And she said every single country that she went to and talked to high-level officiants, she said the first thing out of their mouth was, where the hell are the Americans?
