[00:00.000 --> 00:18.400]  Infowars, tomorrow's news, today.
[06:01.680 --> 06:02.680]  Waging war on corruption.
[06:02.680 --> 06:03.680]  All right, you guys, go.
[06:03.680 --> 06:04.680]  It's Alex Jones.
[06:04.680 --> 06:18.160]  Coming to you live from the front lines of the Info War.
[06:18.160 --> 06:33.200]  We're live on this Thursday, September 9th, Worldwide Transmission.
[06:33.200 --> 06:37.000]  I'm your host, Alex Jones, and we are all going through this attack, this globalist
[06:37.000 --> 06:43.320]  population, the industrialization, agenda 21, agenda 20, 30, attack together.
[06:43.320 --> 06:50.320]  And only realizing that this is a premeditated corporate planetary takeover, do we have any
[06:50.320 --> 06:56.200]  chance of defeating these tyrants, but we have a very good chance that we just wake
[06:56.200 --> 07:02.040]  up and realize that fighting back, speaking out, and not complying is the way forward
[07:02.040 --> 07:06.880]  is the American way that led the world out of incredible oppression.
[07:06.880 --> 07:08.360]  That's why our system is under attack.
[07:08.360 --> 07:12.960]  It's why the National Archives, the Library of Congress are now saying remove the Bill
[07:12.960 --> 07:14.760]  of Rights and Constitution.
[07:14.760 --> 07:19.400]  They've put trigger warnings on them saying they're racist and evil because those ideas
[07:19.400 --> 07:23.320]  that are enshrined there, we don't get our rights from the Bill of Rights and Constitution,
[07:23.320 --> 07:30.320]  but it legally enshrines them and the idea of a true republic is a countervailing system
[07:30.320 --> 07:34.160]  to the globalist anti-human depopulation transhumanist tyranny.
[07:34.160 --> 07:38.400]  Now, if you're a TV viewer, you can see that stack right there, there's two stacks.
[07:38.400 --> 07:42.440]  That's 900 pages.
[07:42.440 --> 07:51.400]  I read 500-plus pages of it two nights ago, and I tried to read more last night and I
[07:51.400 --> 07:55.120]  just couldn't do it because I started getting so angry.
[07:55.120 --> 07:59.920]  So I get why Stephen Crowder and others laugh about the stuff that's in there because we
[07:59.920 --> 08:04.840]  already had this in some emails and Fauci had conferences called Gain of Function.
[08:04.840 --> 08:09.920]  He signed on to U.S. grants saying we need to have Gain of Function and he defended Gain
[08:09.920 --> 08:15.920]  of Function research at Chapel Hill when Obama had it moved to China in 2015.
[08:15.920 --> 08:22.720]  So it would be like saying Troy Aikman never played for the Dallas Cowboys.
[08:22.720 --> 08:27.600]  You just say that's a ball face line or red lights aren't red.
[08:27.600 --> 08:34.160]  So these new 900 pages that are right there that the Intercept suit and got has a lot
[08:34.160 --> 08:35.360]  of the same thing in it.
[08:35.360 --> 08:39.160]  I mean, we've played clips of Fauci at conferences that are called Gain of Function
[08:39.160 --> 08:40.640]  conference defending it.
[08:40.640 --> 08:46.320]  So when he gets up and purchases himself, underwrote to Congress, as it is preposterous,
[08:46.320 --> 08:50.960]  no one's ever done that and it's not true, it's because he knows he has the FBI in his
[08:50.960 --> 08:54.920]  pocket, he knows he has the Justice Department in his pocket, he knows he was green-lit by
[08:54.920 --> 09:00.160]  the global establishment and the UN to cook up that virus and to release that virus and
[09:00.160 --> 09:05.640]  to come out with a vaccine that would create a mutated virus that was far more dangerous
[09:05.640 --> 09:10.040]  and that's spread faster and that's Delta.
[09:10.040 --> 09:13.320]  And so and we told you all this 18, 19 months ago was going to happen.
[09:13.320 --> 09:14.320]  This is mainline science.
[09:14.320 --> 09:18.320]  It's not like we're just telling you this now.
[09:18.320 --> 09:21.800]  So we now have Senator Cotton, we now have Senator Paul and I know that's because our
[09:21.800 --> 09:26.600]  listeners have been hammering them, great job, keep it going, saying it's time to arrest
[09:26.600 --> 09:28.100]  Fauci.
[09:28.100 --> 09:30.840]  The penalty for each time you lie to Congress is five years in prison.
[09:30.840 --> 09:37.080]  They tried to put Roger Stone in prison for quote, two lies to Congress for 10 years,
[09:37.080 --> 09:39.400]  five years per count.
[09:39.400 --> 09:41.400]  And he had lied.
[09:41.400 --> 09:44.120]  He said, I know an intermediary talking to Julian Assange.
[09:44.120 --> 09:51.000]  Well, back then Julian Assange was on the New York Times, CNN, MSNBC, ABC News, Fox News.
[09:51.000 --> 09:52.000]  He wouldn't give us the time of day.
[09:52.000 --> 09:55.080]  I think the guys a hero want to get him out of solitary confinement.
[09:55.080 --> 09:57.240]  We were just, you know, a little conspiracy people over there.
[09:57.240 --> 09:58.680]  I mean, he wouldn't give us time of day.
[09:58.680 --> 10:01.480]  So we were, Roger Stone basically was a pundit here.
[10:01.480 --> 10:05.280]  He wasn't paid yet to host the war room, but we were trying to get Julian Assange on.
[10:05.280 --> 10:08.880]  I know he said, I talked to Randy Kredico, the New York talk show host.
[10:08.880 --> 10:09.880]  He knows him.
[10:09.880 --> 10:10.880]  And we're going to try to get him.
[10:10.880 --> 10:11.880]  He says it's big.
[10:11.880 --> 10:12.880]  It's Hillary stuff.
[10:12.880 --> 10:19.920]  Then I saw him indicted for saying he lied to Congress that he was in control of WikiLeaks
[10:19.920 --> 10:24.720]  and that he lied about that, wasn't in control of it, couldn't even talk to him.
[10:24.720 --> 10:29.040]  So they were trying to put him in jail for 10 years.
[10:29.040 --> 10:34.040]  I had a bunch of other charges to us be longer than that for nothing.
[10:34.040 --> 10:39.480]  And then there's Clapper saying, as the head of national security, we've never spied on
[10:39.480 --> 10:41.520]  any American with the NSA.
[10:41.520 --> 10:44.320]  That's like saying a bear has never defecated in the woods.
[10:44.320 --> 10:46.040]  Fish have never swum in the sea.
[10:46.040 --> 10:51.640]  And then now he gets up there, Fauci, and does all this, and it's just over the top.
[10:51.640 --> 10:56.240]  But it's because that little arrogant monster has been running depopulation and poisoned
[10:56.240 --> 11:00.520]  vaccines and cancer-filled vaccine operations for over 40 years.
[11:00.520 --> 11:06.040]  So he's got the UN and the Billable and the Gates and all these major institutions behind
[11:06.040 --> 11:07.040]  him.
[11:07.040 --> 11:11.200]  The good news is all these regulators are quitting and leaving him because they're saying what
[11:11.200 --> 11:12.360]  you're doing is wrong.
[11:12.360 --> 11:17.640]  And the UN came out and said, don't give booster shots because it's going to make people so
[11:17.640 --> 11:19.160]  damn sick.
[11:19.160 --> 11:20.960]  This weapon works too well.
[11:20.960 --> 11:21.960]  And they're getting scared.
[11:21.960 --> 11:25.320]  Their own scientists are saying, you better quit or I'm going public.
[11:25.320 --> 11:29.240]  Like they did in 2019 in December with the head of the vaccine program at an emergency
[11:29.240 --> 11:32.000]  conference for two days saying the vaccines don't work.
[11:32.000 --> 11:33.240]  They're hurting people.
[11:33.240 --> 11:34.240]  Doctors don't believe in them.
[11:34.240 --> 11:35.440]  Our front line is wobbly.
[11:35.440 --> 11:36.440]  What are we going to do?
[11:36.440 --> 11:42.600]  We're just giving this stuff and untested and said, use it on people by the foundation.
[11:42.600 --> 11:45.920]  So she's talking about Bill Gates.
[11:45.920 --> 11:47.800]  So I like Stephen Crowder a lot and I get it.
[11:47.800 --> 11:51.840]  He has a fun show and with stuff that's depressing, you've got to laugh about it.
[11:51.840 --> 11:58.400]  But here's just one of the new emails that is in this 900 pages where the email's called
[11:58.400 --> 12:01.080]  developing gain of function.
[12:01.080 --> 12:02.240]  And that was the whole point.
[12:02.240 --> 12:05.920]  He says, I want you to take five viruses, I want you to combine them with the spike
[12:05.920 --> 12:08.600]  protein so they can infect humans.
[12:08.600 --> 12:11.400]  I've read that the last three days on air to you.
[12:11.400 --> 12:16.320]  We're now three days into the story.
[12:16.320 --> 12:21.640]  So let's go ahead and roll a piece from Latter with Crowder.
[12:21.640 --> 12:25.640]  Do you remember Fauci's email to the deputy director of NIAD?
[12:25.640 --> 12:26.640]  It was a hue.
[12:26.640 --> 12:27.640]  What was it?
[12:27.640 --> 12:28.640]  Hue Alkenclouse?
[12:28.640 --> 12:29.640]  I don't know.
[12:29.640 --> 12:30.640]  We have the source here.
[12:30.640 --> 12:34.640]  The attachment read nature medicine, SARS, gain of function, PDF.
[12:34.640 --> 12:36.640]  Don't put it in the title.
[12:36.640 --> 12:39.640]  Don't put it in the PDF.
[12:39.640 --> 12:40.640]  His name's a document guy.
[12:40.640 --> 12:41.640]  We're all taking game of function.
[12:41.640 --> 12:42.640]  It's the title of it.
[12:42.640 --> 12:44.640]  It's not the slide of the PDF.
[12:44.640 --> 13:00.640]  And the whole purpose to a PDF as opposed to say like a Google Docker word is that it
[13:00.640 --> 13:01.640]  can't be edited.
[13:01.640 --> 13:05.520]  It's the digital version of a Sharpie.
[13:05.520 --> 13:11.640]  If he was just wearing a gain of function sweater, he wouldn't look like a bigger liar.
[13:11.640 --> 13:12.640]  Just has an arrow.
[13:12.640 --> 13:15.640]  I'm with gain of function.
[13:15.640 --> 13:17.640]  It just makes common sense.
[13:17.640 --> 13:21.320]  This is all references are available at LatterWithCrowder.com.
[13:21.320 --> 13:30.640]  The attachment, once again, nature medicine, SARS-Gain of Function, PDF.
[13:30.640 --> 13:32.640]  It's like Hillary Clinton naming it.
[13:32.640 --> 13:36.640]  You're going to want to delete this.
[13:36.640 --> 13:38.640]  So I get it's all funny and everything, and it's a comedy show.
[13:38.640 --> 13:41.640]  So I'm not mad at them for laughing, but I'm not laughing.
[13:41.640 --> 13:43.640]  Let me show you what's really going on here.
[13:43.640 --> 13:44.640]  These are new numbers.
[13:44.640 --> 13:51.340]  They mirror what's happened in Singapore, Gibraltar, and all these other massively quote
[13:51.340 --> 13:54.280]  vaccinated areas, which it really again isn't a vaccine.
[13:54.280 --> 13:55.280]  Now they have numbers.
[13:55.280 --> 14:01.000]  This is from John Hopkins and the United Nations on Palestine and then Israel.
[14:01.000 --> 14:11.480]  And Israel has 2,000 times more cases and more deaths, 2,000 times what the highest spike
[14:11.480 --> 14:15.620]  is in the Palestinians.
[14:15.620 --> 14:17.120]  So they're at 500.
[14:17.120 --> 14:19.920]  They're at 2,500.
[14:19.920 --> 14:24.480]  And of course, the numbers are the same all over the world.
[14:24.480 --> 14:28.840]  Here's a bunch of countries compared, and then here's another one, Israel versus Sweden.
[14:28.840 --> 14:33.760]  You can see Sweden throughout its history, and now look at Israel after they got the
[14:33.760 --> 14:36.520]  shots boom all time high.
[14:36.520 --> 14:40.720]  And now Sweden's totally open because they got very low vaccination rates and got natural
[14:40.720 --> 14:41.720]  immunity.
[14:41.720 --> 14:42.720]  See that?
[14:42.720 --> 14:43.720]  And it's the same.
[14:43.720 --> 14:44.720]  Oh, here's another one.
[14:44.720 --> 14:46.720]  You see it all over the world.
[14:46.720 --> 14:49.600]  You look at even superimposed that.
[14:49.600 --> 14:52.520]  See how humans are the same?
[14:52.520 --> 14:53.720]  Look right here.
[14:53.720 --> 14:54.720]  Let me show people.
[14:54.720 --> 14:59.440]  See how you see the Sweden, boom, boom, two big mountains, and then it goes down.
[14:59.440 --> 15:00.560]  What happens in Palestine?
[15:00.560 --> 15:05.760]  Two mountains goes down, but you compare Israel still way higher because they're injecting
[15:05.760 --> 15:06.760]  people.
[15:06.760 --> 15:07.760]  Same thing.
[15:07.760 --> 15:08.760]  See the two mountains in Palestine?
[15:08.760 --> 15:12.760]  See the two mountains in Sweden?
[15:12.760 --> 15:17.800]  Again, for radio listeners, you can just type it anywhere, Israel versus Sweden, COVID,
[15:17.800 --> 15:19.640]  Palestine versus Israel.
[15:19.640 --> 15:24.080]  Because Israel is the most scientifically surveilled and controlled and injected group.
[15:24.080 --> 15:28.480]  They're even worse and more of a police state than Australia and are leading the way, which
[15:28.480 --> 15:30.480]  of course it's a new world order.
[15:30.480 --> 15:33.240]  So let me hit that first and I'll get back into Fauci.
[15:33.240 --> 15:36.760]  Australia's health minister announced that it's a new world order.
[15:36.760 --> 15:40.280]  And then Twitter and others put out warnings saying, well, they don't mean the new world
[15:40.280 --> 15:45.040]  order Alex Jones talks about, you know, a world government medical tyranny.
[15:45.040 --> 15:52.200]  This is just a UN-directed world medical system helping you.
[15:52.200 --> 15:57.840]  We'll be right back on this huge Thursday show that big guess as well.
[15:57.840 --> 16:01.680]  If you're concerned about the power grid and want to generate your own supply of off-grid
[16:01.680 --> 16:06.360]  electricity, this will be the most important message you'll hear this year.
[16:06.360 --> 16:07.360]  Here's why.
[16:07.360 --> 16:11.320]  We now have a small number of solar generators back in stock.
[16:11.320 --> 16:16.320]  These emergency backup systems provide life-saving backup power when you need it most.
[16:16.320 --> 16:21.480]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and
[16:21.480 --> 16:25.360]  produce an endless supply of free electricity from the sun.
[16:25.360 --> 16:29.320]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the
[16:29.320 --> 16:34.040]  grid, you'll never have to suffer through painful power outages again.
[16:34.040 --> 16:39.320]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses
[16:39.320 --> 16:40.320]  too.
[16:40.320 --> 16:43.960]  That's MySolarBackup.com to learn more and check availability.
[16:43.960 --> 16:45.920]  That's MySolarBackup.com.
[16:45.920 --> 16:50.520]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk,
[16:50.520 --> 16:54.360]  and medicines stay safe and cool in any power outage.
[16:54.360 --> 16:56.360]  Yours free at MySolarBackup.com.
[16:56.360 --> 16:58.120]  Hey, everybody.
[16:58.120 --> 17:03.080]  If you've ever thought about heirloom beans as a storable survival food, I've got great
[17:03.080 --> 17:04.080]  news.
[17:04.080 --> 17:06.120]  In fact, I'll bet it's the best news you've heard in a while.
[17:06.120 --> 17:07.120]  Here's the thing.
[17:07.120 --> 17:12.680]  I just received a fresh batch of gourmet heirloom beans, survival soup beans.
[17:12.680 --> 17:17.920]  These beans are gorgeous, highly nutritious, and above all, with no hesitation whatsoever,
[17:17.920 --> 17:20.720]  the best tasting beans in the entire world.
[17:20.720 --> 17:21.720]  The best part?
[17:21.720 --> 17:26.960]  We've dropped the price by 33% this week for listeners who know higher food prices are
[17:26.960 --> 17:31.200]  coming and want an inflation hedge you can actually eat if you want to.
[17:31.200 --> 17:32.200]  Gets even better.
[17:32.200 --> 17:36.880]  With your permission and with a high regard for your health and well-being, I also want
[17:36.880 --> 17:42.160]  to send you two pounds of what we think is the single most underrated superfood in the
[17:42.160 --> 17:43.160]  world, period.
[17:43.160 --> 17:49.600]  Go to soupbeansurvival.com, that's soupbeansurvival.com, and discover the real reason we're giving
[17:49.600 --> 17:58.640]  this unusual superfood away at soupbeansurvival.com, that's soupbeansurvival.com.
[17:58.640 --> 18:05.520]  In late August, info or solid explosion of orders, because our audience understands that
[18:05.520 --> 18:11.760]  the globalists are destabilizing the planet by design and are attempting to cause an economic
[18:11.760 --> 18:14.880]  and financial collapse worldwide.
[18:14.880 --> 18:18.200]  Now ladies and gentlemen, storable food has always been something that's important to
[18:18.200 --> 18:19.200]  have.
[18:19.200 --> 18:22.040]  It's a check box that everybody needs to have, taking care of, right along with water
[18:22.040 --> 18:25.920]  filtration, self-defense, and a relationship with God.
[18:25.920 --> 18:29.440]  But now more than ever, you need to get your storable food orders in.
[18:29.440 --> 18:32.680]  Now, we're ready to ship to you within 24 hours of your order.
[18:32.680 --> 18:33.680]  It's high quality.
[18:33.680 --> 18:38.400]  It's very, very low cost at infoorstore.com, because in the future, you're going to see
[18:38.400 --> 18:42.680]  more food supply shortages and you're going to see food supply price increases that are
[18:42.680 --> 18:44.040]  already taking place.
[18:44.040 --> 18:50.320]  So lock in your storable food now at a lower price and fund the info war at infoorstore.com.
[18:50.320 --> 18:54.200]  That's how you fight the great reset is by being self-sufficient and not under their
[18:54.200 --> 18:55.200]  control.
[18:55.200 --> 18:58.840]  So get prepared now at infoorstore.com.
[18:58.840 --> 19:04.360]  The purpose of fear is to call us into action and there is plenty to be afraid of today.
[19:04.360 --> 19:10.040]  Half the population has lined up for an untested, deadly, and debilitating experimental injection
[19:10.040 --> 19:14.280]  because they were told to be afraid of an invisible asymptomatic disease.
[19:14.280 --> 19:19.400]  The perpetrators of all this have clearly stated their goal of having 80% of the population
[19:19.400 --> 19:24.240]  hooked up to an artificial intelligence hive mind in less than nine years.
[19:24.240 --> 19:28.680]  For those of us who have awoken from the spell, we know this is all really happening and it's
[19:28.680 --> 19:33.560]  unbelievably unsettling to see, but there is only two things to do.
[19:33.560 --> 19:36.680]  We continue sounding the alarm because it's a numbers game.
[19:36.680 --> 19:40.040]  If enough people awaken from the cold spell, then we win.
[19:40.040 --> 19:44.680]  But even when we win, and we eventually will, the days of convenience are soon coming to
[19:44.680 --> 19:45.680]  an end.
[19:45.680 --> 19:51.440]  And so we must prepare, get up to a years worth of storable foods, water filtration, survival
[19:51.440 --> 20:01.760]  gear, seeds, shortwave radios, and lifesaving knowledge at infoorstore.com.
[20:01.760 --> 20:17.360]  You're listening to the Alex Jones Show.
[20:17.360 --> 20:29.440]  Trashing through the lies and disinformation, it's Alex Jones.
[20:29.440 --> 20:35.680]  The nature of evil is that it must dominate, it must control, it wants to lock you in dungeons,
[20:35.680 --> 20:37.000]  torture and rape you.
[20:37.000 --> 20:39.000]  That is its main spirit.
[20:39.000 --> 20:45.040]  It wants you to believe God isn't real and give up, and then submit to it and agree to
[20:45.040 --> 20:51.440]  embrace evil to be let out a little bit of your cage to then go out and enslave other
[20:51.440 --> 20:52.440]  innocents.
[20:52.440 --> 20:56.880]  And so the cycle is continued, you're cut off from God, your soul is attached to that
[20:56.880 --> 21:04.000]  army of failure, of losers, of belial.
[21:04.000 --> 21:09.560]  Now, evil always grows and always makes it smooth when people become dormant, become
[21:09.560 --> 21:11.760]  asleep, become decadent.
[21:11.760 --> 21:13.000]  And this is a grand assault.
[21:13.000 --> 21:14.280]  This is the big takeover.
[21:14.280 --> 21:17.160]  That's never going to stop until the new loaders have defeated.
[21:17.160 --> 21:20.840]  Until Klaus Schwab and the bankers and the Rothschilds and the Rockefellers are brought
[21:20.840 --> 21:21.840]  down.
[21:21.840 --> 21:22.840]  They're never going to stop.
[21:22.840 --> 21:26.680]  This is a depopulation, planetary collapse where they organize the collapse.
[21:26.680 --> 21:31.440]  They pose as a saviors, always getting more power while things fall apart, promising to
[21:31.440 --> 21:38.200]  fix things, give you just submit and become a slave, which they're now officially doing.
[21:38.200 --> 21:43.200]  So that's where we are right now.
[21:43.200 --> 21:50.480]  And Vladimir Zelinko, the accomplished doctor that really first started pushing hydroxychloroquine
[21:50.480 --> 21:56.200]  and then Ivermectin from the studies and so much more, treats over 30,000 patients successfully
[21:56.200 --> 21:57.920]  in upstate New York.
[21:57.920 --> 22:02.960]  He was on an Australian TV a few days ago and put on information that I'm separately
[22:02.960 --> 22:06.560]  aware of from my sources that none of the globalists are taking these shots.
[22:06.560 --> 22:09.000]  In fact, the head of Pfizer says he's not going to take it.
[22:09.000 --> 22:10.000]  I have that video.
[22:10.000 --> 22:12.160]  He said, oh, I'm 50-something and healthy, I don't need it.
[22:12.160 --> 22:13.880]  He said, if you're not healthy, you need it.
[22:13.880 --> 22:17.600]  See, he uses his surrogates, though, to then try to make us take it, but oh, he's the good
[22:17.600 --> 22:18.600]  guy.
[22:18.600 --> 22:19.600]  He doesn't want to make you.
[22:19.600 --> 22:23.080]  It's like the Australian Prime Minister is a conservative, a evangelical, a Christian
[22:23.080 --> 22:24.080]  man.
[22:24.080 --> 22:26.080]  I take one look at that guy and tell you he's evil.
[22:26.080 --> 22:30.760]  And then he lets all the premiers in the states enslave and suppress.
[22:30.760 --> 22:32.760]  So it's the same thing.
[22:32.760 --> 22:34.800]  Oh, the UN's like, oh, don't do the booster shot.
[22:34.800 --> 22:35.800]  It might hurt you.
[22:35.800 --> 22:40.840]  While the surrogates of the UN, Biden set to give his speech at 4 p.m. Central, 5 p.m.
[22:40.840 --> 22:43.920]  during the war room today, we'll have live coverage of that.
[22:43.920 --> 22:48.720]  And CNN's got the leaked plans, and it's just what I told you.
[22:48.720 --> 22:52.480]  He's going to say, we may have to do another lockdown if you don't all take the shot, even
[22:52.480 --> 22:56.720]  though the shots make you more apt to get sick and spread the virus and create mutations.
[22:56.720 --> 23:00.520]  And he's going to say, all federal workers must take it.
[23:00.520 --> 23:02.160]  And then, of course, then you've got to take it next.
[23:02.160 --> 23:03.800]  So it's everything we warned of.
[23:03.800 --> 23:05.920]  It's coming today 4 p.m. Central.
[23:05.920 --> 23:07.320]  So they're never going to stop.
[23:07.320 --> 23:10.360]  Everything you see in Australia and the UK and Canada is coming here.
[23:10.360 --> 23:12.200]  We're just a year behind.
[23:12.200 --> 23:13.880]  That's for all federal workers.
[23:13.880 --> 23:14.880]  No testing option.
[23:14.880 --> 23:15.880]  It doesn't matter if you already had it.
[23:15.880 --> 23:19.080]  The natural immunity is 13 times better.
[23:19.080 --> 23:22.040]  Doesn't matter if you've already had it.
[23:22.040 --> 23:23.800]  It can kill you to take a vaccine for it.
[23:23.800 --> 23:24.800]  They don't care.
[23:24.800 --> 23:28.120]  You're going to do it.
[23:28.120 --> 23:31.120]  So here's Zev Zalinko, goes by Zev.
[23:31.120 --> 23:36.120]  Vladimir Zev Zalinko talking about high-level doctor, he knows, that is treating the heads
[23:36.120 --> 23:37.120]  of Google.
[23:37.120 --> 23:38.120]  Here it is.
[23:38.120 --> 23:42.640]  Going back to your treatments that you've done.
[23:42.640 --> 23:47.520]  In the early days, obviously, there was great controversy about what you've done.
[23:47.520 --> 23:52.520]  But isn't there now, when they say we say proof in the pudding or the results are in
[23:52.520 --> 23:58.000]  or the runs are on the board, that your scoreboard is there?
[23:58.000 --> 24:04.640]  Why isn't there other politicians or people from Australia coming to your doorstep and
[24:04.640 --> 24:09.760]  saying, Dr. Zalinko, we are now having the COVID infection numbers.
[24:09.760 --> 24:15.920]  Like you experienced in New York and in the US, what can we learn from you?
[24:15.920 --> 24:16.920]  What can we tell us?
[24:16.920 --> 24:19.240]  There seems to be none of that whatsoever.
[24:19.240 --> 24:21.720]  Well, that's not true.
[24:21.720 --> 24:26.000]  For themselves and their families, they are doing exactly what I've advocated for.
[24:26.000 --> 24:32.040]  For example, I know the whole executive staff of Google are on the hydroxychloroquine and
[24:32.040 --> 24:33.040]  live amectin.
[24:33.040 --> 24:35.560]  I'm aware of their doctor who put them on it.
[24:35.560 --> 24:40.240]  So when you say that, that's what a preventative is like a prephylaxis.
[24:40.240 --> 24:41.240]  Yeah.
