[00:00.000 --> 00:29.960]  Just how much of the Great Reset has already dug its blood-soaked talons into modern civilization?
[06:52.960 --> 07:00.960]  First up, a wide range of topics today to discuss, both Trump's rally in Pennsylvania and what it shows and how it scares the establishment.
[07:00.960 --> 07:10.960]  So much that presidential historian Michael Beschloss was on Twitter demanding during Trump's speech that Trump be jailed and that Trump go to prison.
[07:10.960 --> 07:14.960]  That's the degree of inanity and insanity gripping the deep state establishment.
[07:14.960 --> 07:22.960]  Indeed, one could argue that much of Biden's speech this past week wasn't just so much a speech targeting Trump and Trump supporters,
[07:22.960 --> 07:33.960]  as it was a speech of the deep state's rage at their impotence and incompetence in being able to control and limit the ability of the MAGA movement to continue to grow across the nation
[07:33.960 --> 07:37.960]  and of populism to grow and expand across the globe.
[07:37.960 --> 07:45.960]  Clearly, when whoever designed the set for V for Vendetta thought that it would be a good idea to script it for Biden's speech,
[07:45.960 --> 07:54.960]  the same mindset and mentality previously gripped him as we saw Zelensky give a speech to Congress that looked something like right out of 1984.
[07:54.960 --> 08:05.960]  Apparently, whoever read the Two Minutes of Hate speech represented in the film in the book of George Orwell apparently thought that maybe they should just replicate it in general.
[08:05.960 --> 08:17.960]  They've seen movies like V for Vendetta in 1984 as scripts to follow rather than as something to be a terrified of, to oppose, to try to refuse and reject.
[08:17.960 --> 08:30.960]  It shows the degree to which the deep state has lost its mind and that's what makes the deep state so dangerous is when it gets to the place where it feels its own existence is at risk,
[08:30.960 --> 08:37.960]  then it has been shown to be willing to do anything. Indeed, we could go back to the assassinations of President John Kennedy,
[08:37.960 --> 08:46.960]  presidential candidate Robert Kennedy, Martin Luther King, Malcolm X, the impeachment of President Nixon just in the United States in a 10-year span,
[08:46.960 --> 08:52.960]  where the deep state didn't think its agenda was being sufficiently implemented, or we could look all around the world.
[08:52.960 --> 09:06.960]  People forget that Latin America was replaced with dictators throughout the 1960s to where pretty much the entire continent was aligned with deep state dictators rather than the local indigenous populist movements in many of those nations.
[09:06.960 --> 09:17.960]  Same with Central America. The overthrowing of Arbenias was considered to be a major event that led to the radicalization of peasant and worker and civil rights movements across Central and Latin America,
[09:17.960 --> 09:27.960]  more towards the hard left because of the deep state's unwillingness to accept any form of popular restraint or restriction on its institutional power.
[09:27.960 --> 09:43.960]  Indeed, as we will discuss later on, there is substantial evidence that what the deep state is seeking is a legal imprimatur, a judicial approval and sanction that their power supersedes the president's constitutional power.
[09:43.960 --> 09:53.960]  This is the mindset that they are seeking, and Biden is an effective personality to represent the dementia candidate of these deep state policies,
[09:53.960 --> 10:03.960]  policies that have long been out of step with both the American people, but increasingly just economic, geopolitical, military reality.
[10:03.960 --> 10:16.960]  We're seeing that same thing in Ukraine. For example, while the Western press and the current version of the Drudge report, which is not like the old Drudge report since Matt Drudge sold it some years ago,
[10:16.960 --> 10:25.960]  often will portray the deep state agenda as winning. They'll say Trump's in trouble, just like they say Ukraine is succeeding in the conflict.
[10:25.960 --> 10:35.960]  There was this great counteroffensive that was talked about for almost a month or so, weeks and weeks in advance, that Ukraine was going to launch against the Harrison region,
[10:35.960 --> 10:46.960]  which is a little bit north of Crimea controlled by the Russians since the very beginning of this conflict, in at least this version of the conflict in 2021 and 2022.
[10:46.960 --> 10:59.960]  How did the counteroffensive go? Well, it's such a disaster, such a debacle. They basically just put out their soldiers and many of them conscripts to just be executed en masse by Russian artillery.
[10:59.960 --> 11:10.960]  Because of Russian artillery superiority and Russian air force superiority and air superiority in general, as well as superiority of trained and skilled soldiers,
[11:10.960 --> 11:23.960]  rather than conscripts and recent trainees, indeed the UK report about taking 10,000 or so Ukrainians and training them, the internal report leaked this week that showed these people are just going to die quickly on the battlefield.
[11:23.960 --> 11:30.960]  There's just no means to quickly, capably help them. So what happened with this major so-called counteroffensive?
[11:30.960 --> 11:42.960]  They left him abandoned in the fields in open territory with little protection against the opposing superior air power and artillery and so many deaths that in certain parts of Ukraine,
[11:42.960 --> 11:48.960]  they're creating memorials in honor of the people who died just in this counteroffensive by the Ukrainians.
[11:48.960 --> 11:58.960]  So no great success. A few small towns, they capture, they lose the next day. They end up captured and snared in a certain place and just get taken out en masse.
[11:58.960 --> 12:06.960]  And so what some wonder, would the Russians continually gaining more land in the Donbass, more land in the southern part of Ukraine,
[12:06.960 --> 12:19.960]  more capacity to go over towards Odessa to be in a position to seize all of the farm-rich lands in Ukraine, seize all of the industrial regions, industrial rich regions of Ukraine,
[12:19.960 --> 12:27.960]  seize all the seaside regions of Ukraine, including not only the Sea of Assoff, which they now completely control, the Russians,
[12:27.960 --> 12:37.960]  but also the Black Sea and basically leave Ukraine a landlocked country stripped of its major oil, industrial, mineral and agricultural resources.
[12:37.960 --> 12:48.960]  And large parts of these parts of the country also correspond, not coincidentally given Soviet and Russian history, to the strong Russian ancestral provision of the parts of the nation.
[12:48.960 --> 12:58.960]  So what is likely, what we are on pace for is a complete utter debacle in Ukraine comparable to what we just witnessed in Afghanistan a few months ago,
[12:58.960 --> 13:06.960]  to which we saw glimpses of this week in Iraq with major protests rocking even the green zone at different points in Iraq.
[13:06.960 --> 13:20.960]  These continuous with, in Syria, discussions between Syria's Bashar Assad and Erdogan of Turkey to cut a deal to come to a settlement resolution that would effectively push the U.S. out of Syria.
[13:20.960 --> 13:22.960]  What was that 10-year Civil War for?
[13:22.960 --> 13:34.960]  So one more example of complete deep state disaster all around the globe and their response to it is to try to increase the level of repression here at home.
[13:34.960 --> 13:39.960]  They have almost no choice but to do so and that is why they will continue to do so.
[13:39.960 --> 13:53.960]  But one of their tools of oppression, a tool of surveillance known as Geolocation, discussed in Dinesh D'Souza's movie 2000 mules about the election fornication that took place in 2020,
[13:53.960 --> 14:06.960]  is actually also starting to come out in a wide range of legal action including the FTC's legal action against the company of private suits that are brought against others related to the geolocation issues.
[14:06.960 --> 14:09.960]  And what is being exposed in these cases is two facts.
[14:09.960 --> 14:18.960]  One, Dinesh D'Souza's hypothesis and evidentiary presentation in 2000 mules is being increasingly reaffirmed.
[14:18.960 --> 14:31.960]  What the evidence increasingly shows is that geolocation easily and capably can find you wherever you are at and it can aggregate your personal history to where it knows everything you do.
[14:31.960 --> 14:34.960]  Indeed, this is the part that people didn't fully realize.
[14:34.960 --> 14:47.960]  They started to understand that programs like Nest, programs like the various Apple and Google apps in your home, the smart TVs, the little camera on your computer were all capable of recording you for information.
[14:47.960 --> 15:03.960]  What a lot of people underappreciated is that the reason why you get all those free apps on your cell phone and on your tablets is because they, in exchange for the freedom of that app, you're selling them your tracking and tracing information.
[15:03.960 --> 15:07.960]  And the net effect of that is that they're able to track everywhere you go.
[15:07.960 --> 15:11.960]  And from that have a real detailed pattern about your lifestyle.
[15:11.960 --> 15:22.960]  In fact, one of the issues that we'll be discussing up next is it turns out local police all across the country are some of the key subscribers to these geolocation services.
[15:22.960 --> 15:32.960]  And they've been using it in investigative techniques, even though it's been considered illegal by the US Supreme Court to use these kind of techniques for quite some time.
[15:32.960 --> 15:42.960]  They're following you everywhere you go, church meetings, political meetings, personal activities. Did you visit an addiction recovery facility? You name it.
[15:42.960 --> 15:52.960]  We're going to discuss that on the other side of the break, as well as what the next risk for false flags or deep state strategies may be up next throughout the rest of the program.
[15:52.960 --> 15:58.960]  So come back and we'll be discussing each of those facts and factors and more after the break.
[15:58.960 --> 16:05.960]  Vitamin mineral fusion is your one stop shop for health, for longevity, for a boosted immune system.
[16:05.960 --> 16:12.960]  And the climate we live in today and what the globalists are up to, I think anybody not taking a high quality product like this is insane.
[16:12.960 --> 16:17.960]  And there's other great vitamin, mineral, amino acid, you'll complete products out there.
[16:17.960 --> 16:22.960]  Ours is amongst the very best and it is a lower cost than many of the leading brands.
[16:22.960 --> 16:33.960]  But whatever you do, take a high quality, multi vitamin, mineral, amino acid system like this that's liquid that you put in water because you have a better absorption rate when you do that.
[16:33.960 --> 16:39.960]  Now vitamin mineral fusion is our overall best selling product. It finally came in a month ago and we've almost sold out of the first shipment.
[16:39.960 --> 16:41.960]  Hopefully more is coming in a few months.
[16:41.960 --> 16:47.960]  But if you want to experience vitamin, mineral fusion and its effects for yourself or maybe you already love it, you want to stock up.
[16:47.960 --> 16:52.960]  Thanks for keeping us on the air and thanks for taking care of yourself and your body. We've all got to stick together.
[16:52.960 --> 16:59.960]  Vitamin mineral fusion is 40% off even though it's selling out at infowarstore.com. Thanks for your support.
[16:59.960 --> 17:05.960]  I don't care if you work in a cafeteria or pump gas or whether you're a farmer, a rancher, a doctor, a lawyer or a millionaire.
[17:05.960 --> 17:10.960]  Fortune and Money Magazine have all done these profiles. You see it every year.
[17:10.960 --> 17:12.960]  30 different tax returns, 30 different answers.
[17:12.960 --> 17:20.960]  50 different tax returns, 50 different answers. And almost all of them just screw you over, especially the big firms and the big tax groups,
[17:20.960 --> 17:25.960]  because they're part of the system and they don't want the general public understanding this and knowing this.
[17:25.960 --> 17:34.960]  So it's a very important situation with inflation and all the things out there hurting everybody to be able to do things tax wise.
[17:34.960 --> 17:41.960]  It's legal and lawful that allows you to keep on your money. We wouldn't even be here if I hadn't gotten great tax advice in the last few years.
[17:41.960 --> 17:47.960]  The only way you fail is not writing down the URL, jonestaxrelief.com.
[17:47.960 --> 17:56.960]  One word, jonestaxrelief.com, or call 833-900-4285. 833-900-4285.
[18:01.960 --> 18:05.960]  Sold out for more than a year and a half because of supply chain breakdowns.
[18:05.960 --> 18:13.960]  Our best-selling product, Super Blue, is finally back in stock, the original available at infowarstore.com.
[18:13.960 --> 18:19.960]  It only came in three weeks ago and already half of our stock has sold out, so thank you all for the support.
[18:19.960 --> 18:24.960]  But Super Blue has a lot of fans. And you can get it for 40% off by itself.
[18:24.960 --> 18:31.960]  But when you get it in the trifecta with our activated charcoal toothpaste infused with essential oils, so great for your mouth and gums,
[18:31.960 --> 18:37.960]  you can get it for 50% off with super coral whitening toothpaste as well.
[18:37.960 --> 18:44.960]  So get the trifecta for 50% off together or 40% off individually at infowarstore.com.
[18:44.960 --> 18:47.960]  You'll have great health with your gums and your mouth and your teeth,
[18:47.960 --> 18:51.960]  and you know you're funding the tip of the spear in the fight against the globalist.
[18:51.960 --> 19:02.960]  Super Blue being sold out for more than a year and a half, finally back available at infowarstore.com.
[19:27.960 --> 19:40.960]  But with our new product from X7, Diet Force, we got the very best concentrates of these known natural essences that just do amazing things for your body.
[19:40.960 --> 19:44.960]  And so I've lost almost 40 pounds or so a little bit of weight in the last three months,
[19:44.960 --> 19:48.960]  and I've been doing it using Diet Force and also exercise.
[19:48.960 --> 19:54.960]  Well now Diet Force is exclusively available right now at infowarstore.com, 40% off.
[19:54.960 --> 19:59.960]  Infowarstore.com, Diet Force, you need to take this product, it really works.
[19:59.960 --> 20:20.960]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[20:20.960 --> 20:24.960]  We're going to be discussing a range of issues including what are the greatest risks of red flags
[20:24.960 --> 20:34.960]  or the deep state's next steps in their desperate efforts to continue to maintain and control their monopoly on institutional influence in the United States
[20:34.960 --> 20:39.960]  against the populist resistance, against the MAGA movement, against President Trump,
[20:39.960 --> 20:44.960]  especially as their international adventurism continues to fall apart and collapse,
[20:44.960 --> 20:48.960]  as the attempts to sanction Russia backfire on the West,
[20:48.960 --> 20:53.960]  and as their various efforts at political control continue to slip right through their hands,
[20:53.960 --> 20:59.960]  the resistance continues to grow across the political landscape from left to right, from nation to nation.
[20:59.960 --> 21:08.960]  But up next we're going to be discussing, have you ever heard of something called a certain little program that has a fog reveal?
[21:08.960 --> 21:11.960]  That's the name of it, fog reveal.
[21:11.960 --> 21:16.960]  You might not have, but your local police agency probably has, because what is fog reveal?
[21:16.960 --> 21:26.960]  Well fog reveal is a surveillance program that gathers up all the data from various data brokers and vendors all across the globe,
[21:26.960 --> 21:31.960]  but particularly the United States of America concerning your cell phone activity.
[21:31.960 --> 21:38.960]  What most people don't know is that they effectively sign a secret contract,
[21:38.960 --> 21:51.960]  because it's secret to most of the people that get the free apps on their phone, is that in exchange they give up their rights to not have their information tracked, traced, and then sold.
[21:51.960 --> 21:57.960]  And the net effect of this as a recent substantial report by the Electronic Frontier Foundation,
[21:57.960 --> 22:04.960]  joined with the Associated Press and others, detailed, is local police's agencies are some of the big subscribers to this service.
[22:04.960 --> 22:12.960]  So what happens first is you, on your phone or your tablet, you put an app in it, you don't realize you've given up your private information,
[22:12.960 --> 22:16.960]  and now that phone is going to track every place you go.
[22:16.960 --> 22:23.960]  Not just track, people have understood that you're being spied on through your computer, through your phone can intercept your conversations,
[22:23.960 --> 22:31.960]  of course your texts are being surveilled, they understood those aspects of centralized storage and various usage of smart technology.
[22:31.960 --> 22:39.960]  Most people under-appreciated the significance and consequence of having your, everywhere you go, track.
[22:39.960 --> 22:44.960]  This is like having a personal tracer, rather than on your car, it's on your body.
[22:44.960 --> 22:47.960]  Wherever your phone goes, it goes.
[22:47.960 --> 22:58.960]  Now a lot of people in the press try to push away DeSousa's 2000 Mules movie on the grounds that, hey, you can't really have that precise location,
[22:58.960 --> 23:04.960]  but as a recent Federal Trade Commission lawsuit brought against the company that's engaged in these activities,
[23:04.960 --> 23:10.960]  as these information from these investigative journalistic reports about what police agencies are up to,
[23:10.960 --> 23:19.960]  in fact it creates extraordinarily accurate, precise information, because there's a single device known to your phone and tablet
[23:19.960 --> 23:27.960]  that are then assigned and associated with various residential and other IP address activities of your computer,
[23:27.960 --> 23:31.960]  and they can combine it to create a personal roadmap of everything.
[23:31.960 --> 23:37.960]  They see every place you go online, they can track everywhere you go physically.
[23:37.960 --> 23:42.960]  Between the two, they have a perfect script of who you are, they know what you're about.
[23:42.960 --> 23:45.960]  So if somebody went to an abortion clinic, they know it.
[23:45.960 --> 23:48.960]  If somebody went to a drug rehab facility, they know it.
[23:48.960 --> 23:52.960]  If somebody went to a popular place for the purchase of illegal items, they know it.
[23:52.960 --> 23:54.960]  If somebody went to a gun store, they know it.
[23:54.960 --> 23:56.960]  If somebody went to church, they know it.
[23:56.960 --> 24:02.960]  In fact, the old joke about Facebook used to be that if you've liked five things on Facebook,
[24:02.960 --> 24:05.960]  Facebook knows you as well as a casual friend.
[24:05.960 --> 24:10.960]  If you've liked 10 things on Facebook, Facebook knows you as well as a good friend.
[24:10.960 --> 24:15.960]  If you've liked 20 things on Facebook, Facebook knows you as well as a family member,
[24:15.960 --> 24:20.960]  and if you've liked 50 or more things on Facebook, Facebook knows you better than your spouse.
[24:20.960 --> 24:22.960]  That's the old mantra.
[24:22.960 --> 24:27.960]  Now take all of that social media mind data, combine it with all the internet tracking data,
[24:27.960 --> 24:34.960]  aggregate that to all the purchase tracking data, and now put in your physical location tracking data.
[24:34.960 --> 24:39.960]  And what they have is an eye in the sky on everybody all the time that makes
[24:39.960 --> 24:44.960]  enemy of the state look like a lighthearted romp of a film from 30 years ago.
[24:44.960 --> 24:47.960]  So that's the net effect of what's there.
[24:47.960 --> 24:51.960]  And this has always been there, but the government has tried to keep a lid on it.
[24:51.960 --> 24:56.960]  The good way that information can be used is the way DeSousa was able to show
[24:56.960 --> 25:00.960]  how you could use it in 2,000 mules to track how it made very little sense
[25:00.960 --> 25:06.960]  for people to be making multiple trips to multiple vote drop boxes
[25:06.960 --> 25:12.960]  and multiple trips to NGOs that were organizing the vote, so to speak,
[25:12.960 --> 25:16.960]  during the same compressed time frame in a highly unusual exceptional manner
[25:16.960 --> 25:22.960]  and suggested that these were mules, people carrying ballots that were not constitutionally cast
[25:22.960 --> 25:26.960]  in order to influence and shape the presidential election of 2020.
[25:26.960 --> 25:32.960]  The other side is, of course, police love this, but they love this because it creates minority report type powers.
[25:32.960 --> 25:36.960]  They're able to do a whole tracking and tracing of where anybody has been.
[25:36.960 --> 25:42.960]  In fact, probably the next shoe to drop in all of this is going to be the various
[25:42.960 --> 25:48.960]  outweigh the system is being used with algorithmic data to be able to predict
[25:48.960 --> 25:54.960]  where they think criminal activities may occur or who they think may commit criminal activities.
[25:54.960 --> 25:59.960]  It's simply a logical extension of that old film minority report,
[25:59.960 --> 26:05.960]  where the idea was you could take all of this aggregated data and predict what someone will do.
[26:05.960 --> 26:09.960]  That already happens to some degree in the advertising space,
[26:09.960 --> 26:13.960]  because that's how you search for something and then suddenly it shows up.
[26:13.960 --> 26:19.960]  Or you simply went and visited it. You went to a local mall or a local store
[26:19.960 --> 26:25.960]  where at that store certain things were for sale and all of a sudden those things are being advertised to you by text,
[26:25.960 --> 26:32.960]  by email, whenever you open up your web browser, whenever you pull up an app, etc.
[26:32.960 --> 26:35.960]  What people didn't realize is all of these apps were tricks.
[26:35.960 --> 26:39.960]  They were tricks to get you to say, oh, wouldn't that be cool? Oh, wouldn't that be fun?
[26:39.960 --> 26:41.960]  What a little game to play. I like that.
[26:41.960 --> 26:43.960]  Oh, I really like this extra little information.
[26:43.960 --> 26:48.960]  In exchange, what you were actually doing was giving up your entire life,
[26:48.960 --> 26:51.960]  all of your privacy, all of your individual sovereignty,
[26:51.960 --> 26:55.960]  and privacy and anonymity are essential to political sovereignty.
[26:55.960 --> 26:59.960]  Indeed, so much so that our United States Supreme Court has repeatedly held
[26:59.960 --> 27:04.960]  that you have a constitutional First Amendment right to anonymous speech.
[27:04.960 --> 27:08.960]  You have a constitutional First Amendment right of association.
[27:08.960 --> 27:13.960]  This means that, for example, when the NAACP was raising money in the 1950s,
[27:13.960 --> 27:19.960]  a bunch of the southern governors and governments tried to find out who was helping out the civil rights organizations.
[27:19.960 --> 27:25.960]  So the civil rights organizations refused to give up their donor list and their volunteer list.
[27:25.960 --> 27:29.960]  And so that went up to the U.S. Supreme Court and the U.S. Supreme Court said
[27:29.960 --> 27:35.960]  there is a right constitutional First Amendment right of association also protected under the First Amendment,
[27:35.960 --> 27:40.960]  political association, political expression, association for religious beliefs, political beliefs,
[27:40.960 --> 27:42.960]  or simply private activities.
[27:42.960 --> 27:47.960]  And those First Amendment rights mean that the state cannot find out who your donors are.
[27:47.960 --> 27:50.960]  The same is true in a political expression context.
[27:50.960 --> 27:53.960]  So in case we went forward where somebody was doing pamphleteering
[27:53.960 --> 27:59.960]  and they were refusing to disclose who produced the pamphlets and who published the pamphlets
[27:59.960 --> 28:03.960]  or who was distributing the pamphlet, the U.S. Supreme Court again recognized
[28:03.960 --> 28:06.960]  that is a First Amendment constitutional right.
[28:06.960 --> 28:12.960]  So this is your right to privacy that has been effectively and is continually being eviscerated
[28:12.960 --> 28:16.960]  by these app programs, by Big Tech collusion.
[28:16.960 --> 28:20.960]  Now you might understand why DARPA was so interested in starting the Internet in the first place.
[28:20.960 --> 28:26.960]  Why Big Tech and Big Security and the Big State have been colluding from the very get-go.
[28:26.960 --> 28:33.960]  When we come back after the break, we'll discuss in part how Big Tech has recently been exposed in that collusion
[28:33.960 --> 28:39.960]  by the good federal lawsuit brought in Louisiana, brought by a range of other good people who are joining the suit,
[28:39.960 --> 28:43.960]  including the Attorney General of Louisiana, Missouri, but also private doctors and scientists and others,
[28:43.960 --> 28:53.960]  which exposed the scale of Big Tech collusion with the state to suppress any independent dissonant information.
[28:53.960 --> 29:20.960]  We'll talk about that and what the deep state is up to after the break.
[29:28.960 --> 29:30.960]  Some areas of the world are up over 100%.
[29:30.960 --> 29:34.960]  The only way you beat inflation and protect yourself and your family is with high-quality,
[29:34.960 --> 29:37.960]  trouble food ready to ship right now at PrepareToday.com,
[29:37.960 --> 29:41.960]  at a very rare sale of 10% off site-wide.
[29:41.960 --> 29:45.960]  Not just on trouble food, but survival and preparedness items is happening right now.
[29:45.960 --> 29:52.960]  10% off at PrepareToday.com and on top of it, any order above $99 gets free shipping.
[29:52.960 --> 29:54.960]  That is a huge part of the cost of trouble food.
[29:54.960 --> 30:23.960]  So go to PrepareToday.com and protect yourself and your family while you still can.
[30:28.960 --> 30:34.960]  And it's exclusively available at thebioprose.com and now infowarstore.com.
[30:34.960 --> 30:40.960]  We sold out of this for almost a year, but we made a major purchase and it is now in stock
[30:40.960 --> 30:43.960]  for whatever your need is at infowarstore.com.
[30:43.960 --> 30:50.960]  You'll also find instructional videos and more information at infowarstore.com or thebioprose.com.
[30:50.960 --> 30:54.960]  We made America powered by God's great creation.
[30:54.960 --> 30:58.960]  It is amazing and it funds the infowar.
[30:58.960 --> 31:02.960]  If you're like myself and so many other people on this planet, especially as you get older,
[31:02.960 --> 31:05.960]  you gain weight even if you eat a lot less.
[31:05.960 --> 31:10.960]  I gotta tell you, info wars is only about bringing you amazing products that really work.
[31:10.960 --> 31:15.960]  So we looked at the supplement market that we fund a lot of our operations with and we said,
[31:15.960 --> 31:21.960]  what are the best selling natural, healthy, anti-fat weight loss products that are out there?
[31:21.960 --> 31:27.960]  We went and looked at the top 10 and they all had the same ingredients in common that is in this product.
[31:27.960 --> 31:37.960]  But with our new product from X7 Diet Force, we got the very best concentrates of these known natural essences
[31:37.960 --> 31:39.960]  that's two amazing things for your body.
[31:39.960 --> 31:47.960]  And so I've lost almost 40 pounds or so a little bit of weight in the last three months and I've been doing it using Diet Force and also Exercise.
[31:47.960 --> 31:54.960]  Well now Diet Force is exclusively available right now at infowarstore.com, 40% off.
[31:54.960 --> 32:20.960]  infowarstore.com, Diet Force, you need to take this product, it really works.
[32:20.960 --> 32:24.960]  It's like political science, you name it. 40 plus categories is number one.
[32:24.960 --> 32:29.960]  Ladies and gentlemen, drum roll please of books in the world.
[32:29.960 --> 32:35.960]  The great reset in the war for the world is one, two, three, four, five, six, seven, eight, nine.
[32:35.960 --> 32:39.960]  We are now number nine in the world.
[32:39.960 --> 32:45.960]  This is major, this is political, this could fund our war chest, just go to amazon.com everybody.
[32:45.960 --> 32:51.960]  And by 10 copies, send this blueprint to the Death Star and the New World Order.
[32:51.960 --> 32:53.960]  As you read this, you know their whole plan how to stop them.
[32:53.960 --> 32:56.960]  Hit the great reset in the war for the world now, it's going to go to number one.
[32:56.960 --> 33:00.960]  What do you make of that?
[33:00.960 --> 33:14.960]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[33:14.960 --> 33:18.960]  Welcome back to the Alex Jones show, Robert Barnes guest hosting.
[33:18.960 --> 33:25.960]  We're discussing big tech collusion as part of the deep state desire to control populations and direct its agenda.
[33:25.960 --> 33:31.960]  We'll be talking about a little bit later what the deep state may be up to next against Trump and Trump supporters,
[33:31.960 --> 33:38.960]  or globally as its despairing attempts to seize and continue to control and maintain and sustain power
[33:38.960 --> 33:45.960]  against its continuing debacles in the court of public opinion happen on an unabated level.
[33:45.960 --> 33:50.960]  Will they allow a Donald John Trump to be president once again in 2025?
[33:50.960 --> 33:55.960]  What might they be up to that could preclude or prevent that or try to preclude or prevent that?
[33:55.960 --> 34:03.960]  What risk does the president face from assassination itself as raised recently by the former New York City police commissioner as a real risk for Trump?
[34:03.960 --> 34:06.960]  We'll discuss that more a little bit later in the show.
[34:06.960 --> 34:10.960]  But now back to big tech collusion with big government.
[34:10.960 --> 34:17.960]  What the Louisiana and Missouri lawsuits have detailed is that the scale and scope of big tech collusion
[34:17.960 --> 34:25.960]  was far beyond what was even initially suspected or even alleged by some of the suits that were currently present,
[34:25.960 --> 34:30.960]  including Robert Kennedy's suit against Facebook for their efforts to target children's health defense
[34:30.960 --> 34:34.960]  and he personally for raising distant information about COVID-19.
[34:34.960 --> 34:38.960]  Well, it turns out almost every agency was complicit.
[34:38.960 --> 34:45.960]  The effort to create that national directory that ultimately had to be scrapped at the last minute after it was publicly exposed
[34:45.960 --> 34:51.960]  was due to how broad and big this effort is, how coordinated and organized it is,
[34:51.960 --> 34:55.960]  how much of it was happening under the president's own nose, President Trump,
[34:55.960 --> 35:02.960]  and now of course done with the willing assistance, the aiding and abetting of the Biden administration deliberately and directly.
[35:02.960 --> 35:07.960]  This includes the FBI, the CIA, the human health and services department,
