[00:00.000 --> 00:08.000]  He's the T-Rex of political talk. Alex Jones on the GCN radio network.
[03:41.000 --> 03:46.000]  Leningarten today, Britain has been involved in secret talks in the United States over the development of so-called non-lethal weapons,
[03:47.000 --> 03:52.000]  including lasers that blind the enemy and microwave systems that cook the skin of human targets.
[03:52.000 --> 03:58.000]  Who collects that non-lethal gas they're mounting the helicopters with? The Washington Post is telling us how great it is.
[03:58.000 --> 04:02.000]  It's the same lethal gas they just used in the Moscow theater.
[04:02.000 --> 04:07.000]  Yeah, that's the Fentol, I believe that's how you pronounce it.
[04:07.000 --> 04:08.000]  OPM, yeah.
[04:08.000 --> 04:15.000]  At any rate, it kills you if some of the other non-lethal weapons that they got simply cook you alive.
[04:15.000 --> 04:17.000]  We saw pictures of that.
[04:17.000 --> 04:25.000]  ABC News reported National Guard units being given microwave humvees with giant dishes to fry crowds.
[04:25.000 --> 04:26.000]  That's right.
[04:26.000 --> 04:29.000]  Oh, but we're making that up too, Clay. That doesn't exist either.
[04:29.000 --> 04:32.000]  You know, you've got to ask yourself, what are they preparing for?
[04:32.000 --> 04:36.000]  Well, what they're preparing for, Alex, there's a couple of explanations out there.
[04:36.000 --> 04:49.000]  One is a total economic crash worldwide, and when people start realizing their next meal isn't coming, they're preparing for that.
[04:49.000 --> 04:52.000]  Just like Argentina? Just like Poland? Just like Japan?
[04:52.000 --> 04:59.000]  The other thing, and this is going to be covered at the Expo, is this Planet X.
[04:59.000 --> 05:02.000]  You know, Alex, I kind of scoffed at that when I first heard it.
[05:02.000 --> 05:03.000]  Oh, yeah, that's like...
[05:03.000 --> 05:05.000]  Come on, Clay, don't bring up Planet X, please.
[05:05.000 --> 05:13.000]  Well, I've got to tell you, there have been earthquakes, there have been 500 earthquakes in the last 30 days.
[05:13.000 --> 05:14.000]  I know, it's a record.
[05:14.000 --> 05:17.000]  There have been three new volcanoes in the last week.
[05:17.000 --> 05:21.000]  Ecuador is in a state of emergency right now. There's a volcano...
[05:21.000 --> 05:31.000]  Yeah, but you know that the Senate bill, what was the number that came out with the senator that admits they have earthquake-causing devices?
[05:31.000 --> 05:42.000]  You know, Alex, maybe the Iron Mountain report said, well, one of the options that we have to a world without war is an invasion from outer space.
[05:42.000 --> 05:46.000]  Maybe that's exactly what they're simulating or what they're planning.
[05:46.000 --> 05:55.000]  You know, I said that last Friday. Did you see the Wired news story where this top Rothschild is in D.C. with John Podesta, the former White House chief of staff,
[05:55.000 --> 06:00.000]  with a sci-fi channel behind this project disclosure group saying that aliens are about to attack?
[06:00.000 --> 06:07.000]  We have the former White House chief of staff, a top Rothschild, a lobbyist, Wired magazine, telling us aliens are about to attack.
[06:07.000 --> 06:08.000]  You've got a point there.
[06:08.000 --> 06:12.000]  Well, you know, like I said, you don't know. We don't know. We can't see Planet X.
[06:12.000 --> 06:17.000]  So what if they say, well, you've got so many different levels of deception.
[06:17.000 --> 06:22.000]  The thing that people need to understand is that they need to prepare.
[06:22.000 --> 06:25.000]  There are some very serious things coming down the pike.
[06:25.000 --> 06:37.000]  Whether it's aliens or the government, whether it's Planet X or NASA or HAARP, planet destruction, the earthquake rate is increasing, the volcanoes are increasing,
[06:37.000 --> 06:43.000]  Mount Rainier looks like it's simulating or emulating Mount St. Helens now.
[06:43.000 --> 06:46.000]  Yeah, I saw that in the Associated...
[06:46.000 --> 06:50.000]  But we're going to have a massive loss of life in the world.
[06:51.000 --> 06:54.000]  Well, it's definitely scary, Clay.
[06:54.000 --> 06:56.000]  I just stick to the bizarreness I can prove.
[06:56.000 --> 07:00.000]  Admit they're mounting helicopters with spray bottles to knock out whole cities.
[07:00.000 --> 07:04.000]  I mean, I guess that's how you stop Al-Qaeda. You knock out whole cities.
[07:04.000 --> 07:07.000]  I guess Homeland Security and NORTHCOM that activated October 1st.
[07:07.000 --> 07:10.000]  I guess having troops on the streets is to stop a few Al-Qaeda, huh?
[07:10.000 --> 07:13.000]  Yeah, you know, it's interesting.
[07:13.000 --> 07:19.000]  The CIA reports from about 10 years ago said Al-Qaeda had about 200 or 300 members.
[07:19.000 --> 07:23.000]  They've got at least that many people down there in Guantanamo.
[07:23.000 --> 07:33.000]  Either that's the world's fastest growing organization or they're just labeling, just like they did up in Buffalo, New York, you label somebody Al-Qaeda.
[07:33.000 --> 07:45.000]  And, oh, you've talked to an Al-Qaeda member, you may not have known it, but suddenly you're an interesting person to the FBI.
[07:46.000 --> 07:52.000]  Well, I think people need to start pulling in, being prepared.
[07:52.000 --> 07:58.000]  You know, we've got one of your advertisers that are showing at the expo.
[07:58.000 --> 08:01.000]  That's the Dome Homes people.
[08:01.000 --> 08:10.000]  And, you know, here's a quick, inexpensive way that you can set up a shelter on your property that will withstand hurricanes,
[08:11.000 --> 08:20.000]  that will withstand these hundred mile an hour winds that we saw in Europe, that will withstand tornadoes, that will withstand just about anything.
[08:20.000 --> 08:24.000]  I'm really happy to have them there. I'm really excited about it.
[08:24.000 --> 08:28.000]  Well, again, and we'll talk a little bit later about when and where it is precisely.
[08:28.000 --> 08:30.000]  Right now, let's go to some calls, Clay.
[08:30.000 --> 08:31.000]  Okay.
[08:31.000 --> 08:35.000]  Let's go ahead and who is up first, Mark? Who should I go to first?
[08:35.000 --> 08:37.000]  Hmm?
[08:38.000 --> 08:47.000]  All right. Let us now go ahead and talk to Dave in South Carolina.
[08:47.000 --> 08:49.000]  Dave, you're on the air. Go ahead.
[08:49.000 --> 08:50.000]  Hello, Alex.
[08:50.000 --> 08:51.000]  Hello.
[08:51.000 --> 08:52.000]  Hi, Dave.
[08:52.000 --> 08:53.000]  Hi.
[08:53.000 --> 08:57.000]  Yeah, I just had a statement, a brief statement I want to say, and that is,
[08:57.000 --> 09:01.000]  the wicked shall do wickedly and they shall not understand.
[09:01.000 --> 09:04.000]  And that's basically the problem of so-called Christians.
[09:04.000 --> 09:08.000]  The pre-Triple H and Rapture, it's not in the Bible. Read your Bible.
[09:08.000 --> 09:15.000]  And I have to warn these people, the stuff you're saying is true, but it's not even really relevant,
[09:15.000 --> 09:21.000]  because in all these states, they have this barcode with a face scan, a thumb scan, everything in it,
[09:21.000 --> 09:26.000]  and all barcodes have, since 1974, they have 666 in there.
[09:26.000 --> 09:32.000]  And I'm warning the Christians, if they don't send that back, if you don't get out of this 666B system now,
[09:32.000 --> 09:36.000]  it may already be too late, you will be damned to hell.
[09:36.000 --> 09:39.000]  And I'm telling you right now, it doesn't matter if you can't drive.
[09:39.000 --> 09:44.000]  I lost my license. I had a clean driving record. I couldn't take a barcode.
[09:44.000 --> 09:48.000]  I want to tell everybody, if they don't get out of the system, they're damned to hell.
[09:48.000 --> 09:53.000]  All right. Thanks for the call. Why not just drive without a license, like I do?
[09:53.000 --> 09:55.000]  Clay, any comments on this whole tracking grid?
[09:55.000 --> 09:58.000]  I'm sure you heard Denver's going to make a thumb scan to buy and sell.
[09:58.000 --> 10:01.000]  So is Arlington, Texas. You're from Texas. Is that scary?
[10:01.000 --> 10:08.000]  Yeah. Well, you know, the first thing I did with my license, which had the magnetic strip on the back,
[10:08.000 --> 10:12.000]  is run it over one of those magnetic devices that wipes it out.
[10:12.000 --> 10:19.000]  The problem is the digital face scan creates a barcode. They admit that. So then they've got your face.
[10:19.000 --> 10:25.000]  Well, you know, they've been taking my picture for so many years, Alex, I don't think it really makes any difference.
[10:25.000 --> 10:27.000]  At least not to me.
[10:27.000 --> 10:30.000]  But what we're talking about is the system, Clay.
[10:30.000 --> 10:38.000]  Well, anybody that's flying right now, they're getting a taste of what life is going to be like everywhere in the country.
[10:38.000 --> 10:45.000]  So unless we do something, unless people start waking up and waking other people up and saying,
[10:45.000 --> 10:51.000]  hey, look, you know, you've got a few terrorists out there, about 100 terrorists in the world,
[10:51.000 --> 10:57.000]  and that's a reason to face scan, track 250 million Americans.
[10:57.000 --> 11:04.000]  You know, Alex, I've told people, look, you've got a better chance of being struck by lightning than being killed by terrorists.
[11:04.000 --> 11:06.000]  Oh, you do, yes.
[11:06.000 --> 11:14.000]  So what do you want to do? You want to give up your freedoms because you think the government can keep you from being struck by lightning?
[11:14.000 --> 11:19.000]  The government and all the police in Maryland couldn't stop one of those people from being shot
[11:19.000 --> 11:25.000]  because they were looking for angry white guys. They let these guys go ten times.
[11:25.000 --> 11:30.000]  Well, Clay, we all know that any real terror operation once it's been examined is a government operation.
[11:30.000 --> 11:39.000]  Well, yes. You're talking about, you know, one of the former members of the CIA told me that the CIA, years ago,
[11:39.000 --> 11:45.000]  had been so infiltrated by the KGB and other intelligence agencies there wasn't any difference between them.
[11:45.000 --> 11:48.000]  And America is starting to find that out.
[11:48.000 --> 11:54.000]  Clay, we've got a break, and we'll come back and talk to Craig and Charles.
[11:54.000 --> 12:06.000]  I've got a star on my car and one on my chest, a gun on my hip and the right to arrest.
[12:06.000 --> 12:08.000]  All right, folks, Alex Jones back live.
[12:08.000 --> 12:12.000]  Clay, of course, dropped an important bombshell on us.
[12:12.000 --> 12:20.000]  Yesterday I posted several news articles, mainstream articles, about the P2OG organization,
[12:20.000 --> 12:25.000]  military, intelligence, FBI working to, quote, make terrorist attackers.
[12:25.000 --> 12:32.000]  Rumsfeld even admits this. It was also in the L.A. Times Sunday, according to Clay. It was in many other papers.
[12:32.000 --> 12:39.000]  It's kind of like Alex's firemen that go out and set fire so they can be heroes for putting them out.
[12:39.000 --> 12:43.000]  This is the incredible thing, Clay. They now admit everything they're doing and then act like it's no big deal.
[12:43.000 --> 12:45.000]  It's mind-boggling.
[12:45.000 --> 12:51.000]  Well, it's been coming. You've been talking about it for a long time. I've been talking about it for nine years.
[12:51.000 --> 12:57.000]  You know, every now and then, Alex, I go back nine years and read the first free American that I put out.
[12:57.000 --> 13:02.000]  And you know what? We've been right on all along.
[13:03.000 --> 13:10.000]  You know, it's interesting. You and I were accused of being right-wing radicals a couple of years back.
[13:10.000 --> 13:20.000]  This year, if we speak up against the Bush war machine, Rumsfeld, the attack on Iraq,
[13:20.000 --> 13:26.000]  the Republicans now are labeling us as communists.
[13:26.000 --> 13:32.000]  I found that pretty interesting. I've gone from a right-wing radical to a communist in the space of two years,
[13:32.000 --> 13:36.000]  and I've never changed a single thing that we've been saying.
[13:36.000 --> 13:38.000]  You're a patriot. You're a constitutionalist.
[13:38.000 --> 13:40.000]  That's right.
[13:40.000 --> 13:43.000]  Let's take a call. And then coming up, we're going to tell folks how to attend the Expo.
[13:43.000 --> 13:44.000]  All right.
[13:44.000 --> 13:50.000]  Let's talk to Craig in New York. Craig, you're on the air. Go ahead.
[13:50.000 --> 13:51.000]  Hello.
[13:51.000 --> 13:52.000]  Welcome.
[13:52.000 --> 13:53.000]  Thank you.
[13:53.000 --> 14:02.000]  The HR bill you're talking about, 2977, where they're talking about tectonic weapons and all that was the bill you're speaking of.
[14:02.000 --> 14:03.000]  They admit.
[14:03.000 --> 14:08.000]  I mean, look, folks, when I talk about weather control, I will get emails, because they won't call this show.
[14:08.000 --> 14:12.000]  Well, we've had a couple of the last few days, which I think I'm very thankful for, people disagreeing.
[14:12.000 --> 14:17.000]  But it's just pure ignorance, and I can say it in my stomach when I hear it, because they have no actual arguments.
[14:17.000 --> 14:24.000]  They said, you better tune into the show, Atmospheres, this weekend, this few months ago, on the Weather Channel.
[14:24.000 --> 14:27.000]  And there they admitted they could control the weather for 40 years.
[14:27.000 --> 14:32.000]  And now they admit in Senate bills they've got weapons that cause earthquakes.
[14:32.000 --> 14:35.000]  Clay, how do you respond to that?
[14:35.000 --> 14:41.000]  We've been talking about HAARP. We've got the books on HAARP.
[14:41.000 --> 14:45.000]  We've said that this is what it's capable of doing.
[14:45.000 --> 14:50.000]  And evidently, they're running it full scale right now, Alex.
[14:50.000 --> 15:00.000]  Well, the reason we were able to tell that with Dr. Steve Pacinek's help, not Pacinek, what's the guy's name, the scientist up in Alaska?
[15:00.000 --> 15:04.000]  Boston.
[15:04.000 --> 15:05.000]  Begich, Nick Begich.
[15:05.000 --> 15:06.000]  Nick Begich, yes.
[15:06.000 --> 15:08.000]  Yeah, the names are similar, so that's how I got them wrong.
[15:08.000 --> 15:15.000]  He certainly goes back to the scientists they hired 30, 40 years ago to make this system, and they've been writing papers about weather control,
[15:15.000 --> 15:22.000]  and then suddenly the government goes and snatches them all up and builds the exact antenna farms that the people put in published papers could do this.
[15:22.000 --> 15:24.000]  And we go, oh, that's the weather control system.
[15:24.000 --> 15:27.000]  We're like, oh, no, no, it's not.
[15:27.000 --> 15:35.000]  Well, another thing, too, about this bill, they're already setting people up for extraterrestrial weapons, stated as extraterrestrial weapons in the bill.
[15:35.000 --> 15:39.000]  And this guy would not come on to be interviewed on any show.
[15:39.000 --> 15:44.000]  And my extraterrestrial, they mean the human-based weapons outside the globe.
[15:44.000 --> 15:45.000]  That's right.
[15:45.000 --> 15:48.000]  We've got that on my website, freeamerican.com.
[15:48.000 --> 15:52.000]  We've got the whole bill that they put up, talking about chemtrails, too.
[15:52.000 --> 15:58.000]  You know, Alex, you probably got this, but we had an email from Australia.
[15:58.000 --> 16:03.000]  They said this is the third year of American forced chemtrails over Australia.
[16:03.000 --> 16:08.000]  This is the third year that we've had drought, and the government will not discuss the matter.
[16:08.000 --> 16:13.000]  Radio and newspapers are forbidden to write or speak on this subject.
[16:13.000 --> 16:17.000]  You know, there's a total clampdown in Australia.
[16:17.000 --> 16:20.000]  Well, here's something interesting about the chemtrails I've noticed.
[16:20.000 --> 16:23.000]  You have a front coming down from the north and northwest.
[16:23.000 --> 16:27.000]  You'll see them about two to three days before the front gets here, and it doesn't rain.
[16:27.000 --> 16:29.000]  It dries it up.
[16:29.000 --> 16:37.000]  Well, that's part of your weather control, or either that or one of the excuses they're using is to prevent global warming.
[16:37.000 --> 16:48.000]  I think, personally, I think they're contaminating our water, they're contaminating our land, and we've got to get that cancer rate up a little bit, you know, because our population still isn't declining.
[16:48.000 --> 16:55.000]  Well, Clay, look, five years ago, a jet flew by and there was no trail, or it lasted a minute.
[16:55.000 --> 16:58.000]  Now it sits there for five, six hours.
[16:58.000 --> 17:08.000]  I got the video out on it. You know, we did the video two years ago, nothing's changed, they're still doing it, and they're still not talking about it.
[17:08.000 --> 17:22.000]  What's really weird, you know, some days on a nice, clear day in New Mexico, you can see them spraying the chemtrails and there's a jet plane above them that's got a normal contrail that goes away in two or three minutes.
[17:22.000 --> 17:24.000]  Craig, what else were you going to say?
[17:24.000 --> 17:32.000]  Well, this field that they're putting in these jet airplanes, that JPA field, they say it's so toxic, they've got to wear bioties to put it in the plane.
[17:32.000 --> 17:39.000]  Yeah, but it probably just floats over the top of the water, really wouldn't get no system, wouldn't hurt you.
[17:39.000 --> 17:43.000]  Yeah, don't be so extreme, Craig. Don't be so extreme.
[17:43.000 --> 17:51.000]  We're on the march. The empire's on the run. Alex Jones and the GCN Radio Network.
[17:51.000 --> 18:08.000]  Yes, we're living in 2002. A lot of bizarre things are happening. The government has suppressed a lot of technologies.
[18:08.000 --> 18:16.000]  The new world order is upon us. We're about to go back to Clay Douglas and then Charles and Lewis and Todd and many others that are patiently holding.
[18:17.000 --> 18:24.000]  So much other news we need to cover here today. Before we go back to Clay to tell you about the expos, get ready to write that information down.
[18:24.000 --> 18:32.000]  I have made eight documentary films, stunning documentaries. The latest are The Road to Tyranny and The Masters of Terror.
[18:32.000 --> 18:45.000]  I also have my book, Descent into Tyranny, that, by the way, has a published copy of Senate Bill 2977 about the mine control, the chemtrails, the earthquake, seismic weapons.
[18:45.000 --> 18:55.000]  This is all confirmed, admitted stuff, ladies and gentlemen. Always five years before it's in the mainstream media, it's in legislation and in government reports.
[18:55.000 --> 19:02.000]  And then, oh yeah, it's here. We're going to be doing this now. You need to have The Road to Tyranny. It covers A to Z, folks.
[19:02.000 --> 19:10.000]  And then we even expand on that in more detail, The Masters of Terror, my two latest and most powerful films. The book is excellent as well, Descent into Tyranny.
[19:10.000 --> 19:21.000]  Operators are standing by right now to take your order. The films are $25.95 apiece. If you order three or more of any of the eight titles, they drop down to $20 apiece.
[19:21.000 --> 19:27.000]  If you like to be a distributor of the films, if you buy them in bulk, they drop down to half price.
[19:27.000 --> 19:39.000]  So again, folks, you really and truly need to get the videos. You need to get them as Christmas gifts. Don't just give some mindless tie or something.
[19:39.000 --> 19:45.000]  Give the gifts of information and support this show. And you're authorized to make copies for nonprofit educational purposes.
[19:45.000 --> 20:13.000]  Toll-free number to order 1-888-253-3139. Again, that's 888-253-3139. Or just write to me, Alex Jones, at 3001 South Lamar, L-A-M-A-R, Suite 100, Austin, Texas, 78704.
[20:13.000 --> 20:24.000]  Or order our secure online shopping cart at Infowars.com or Infowars.net. Get the Road to Tyranny. Get the Scent into Tyranny. Get the Masters of Terror.
[20:24.000 --> 20:33.000]  Get it out to your local officials and authorities, your local top show host. Get the people that have the power of persuasion and opinion.
[20:33.000 --> 20:36.000]  Change their minds. You change the minds of millions.
[20:36.000 --> 20:46.000]  Clay Douglas, this weekend, a couple days, big event, right outside Atlanta, the Preparedness Pre-American Expo. How do folks attend? Where is it? Give us the details.
[20:46.000 --> 21:00.000]  All right. It's at Exit 221 in McDonough, Georgia. That's 15 minutes south of Atlanta's Hartsfield Airport. So if you're flying in, you can get a taxi and just come right on out.
[21:00.000 --> 21:10.000]  Exit 221, you go west to the first light, which is Mill Road. Turn left. Go past the Sam's Club. Big, huge building. They've got a flea market in the back there on the weekends.
[21:10.000 --> 21:19.000]  Come on around to the front. It borders the freeway. Great big American flag there so you can find a place pretty easy.
[21:20.000 --> 21:30.000]  Alex, we've got great speakers. We've got over 70 booths there, people that will be showing their goods and wares.
[21:30.000 --> 21:37.000]  And we've got a lot of people that are going to be talking on alternate health, how to use herbal remedies.
[21:37.000 --> 21:46.000]  We've got Tom DeWeese from the American Policy Center. We've got Larry Pratt from Gun Owners of America. Pat Shannon will be there. Ralph Epperson will be there.
[21:46.000 --> 21:51.000]  David Windmiller, Charlie Smith. I mean, we've got about 24, 25 speakers.
[21:51.000 --> 21:59.000]  Mark Phillips and Kathy O'Brien. You want to know what Dick Cheney is really like? Come listen to Kathy O'Brien, tell about her experiences.
[21:59.000 --> 22:07.000]  Mike Brown will be there. Dr. Dan Juncker, Robert Pelton, Austin, Gary Cooper. Pam Stegner will be there from North American Herb.
[22:07.000 --> 22:17.000]  Robert Clarkson, Mike Witthorpe, Dr. Gary Tunsky, Vicki Tate. Cooking with Home Storage. You just had a commercial loan from her. She's going to be there live.
[22:17.000 --> 22:23.000]  Alright, and I'm sure there will be a lot of other people that show up to speak as well. That's exciting. So, again, the days and where it is one more time.
[22:23.000 --> 22:35.000]  It starts Friday at noon. Runs to 9 o'clock Friday night. Opens up at 9 on Saturday to 9 Saturday night. Sunday it will be open from 10 to 6.
[22:35.000 --> 22:42.000]  Ten dollars per day at the door or you can get a 30 day pass for all three days.
[22:42.000 --> 22:51.000]  If you go to our website, AlexFreeAmerican.com, at the bottom of the list of speakers there's cost, directions, hotels, other attractions.
[22:52.000 --> 22:55.000]  You can click on that so you can make your hotel reservations.
[22:55.000 --> 22:58.000]  Alright, well thanks for that info. Let's take some calls.
[22:58.000 --> 22:59.000]  Alright.
[22:59.000 --> 23:07.000]  Let's go ahead now and talk to Charles in Kentucky, then Lewis, Todd or Tom and others. Go ahead, you're on the air, Charles.
[23:07.000 --> 23:16.000]  I wanted to call you about that floor that doesn't believe anything. Just like an air head.
[23:16.000 --> 23:20.000]  They want to plan to satellite track us, but if there is, it's a good idea.
[23:20.000 --> 23:24.000]  Well, it should be voluntary, but then they want to stop the drunk drivers with it and track them.
[23:24.000 --> 23:27.000]  Oh, but that means it will be mandatory. Yeah, that made a lot of sense, didn't it?
[23:27.000 --> 23:30.000]  I don't think we'll need it to be tracked, to tell you the truth.
[23:30.000 --> 23:35.000]  Well, look, we're innocent until proven guilty. The government's totally secret, totally criminal.
[23:35.000 --> 23:40.000]  We don't ask questions about that, but they want into our lives while they leave the borders wide open.
[23:40.000 --> 23:43.000]  It doesn't hold water. Clay, comment on that.
[23:43.000 --> 23:47.000]  I mean, it's late. What we need to do in this government is fill out a hand.
[23:47.000 --> 23:55.000]  You know, it's my opinion that as soon as you become a Republican or a Democrat, you've been effectively neutralized.
[23:55.000 --> 24:02.000]  I think we need a new plan, a new America. We need to get people together.
[24:02.000 --> 24:08.000]  You know, I'm not advocating violence, but we certainly need to get an informed group of people
[24:08.000 --> 24:17.000]  that are going out there and being a little active here so we don't end up having to fight with stones and rocks or weapons.
[24:17.000 --> 24:18.000]  No.
[24:18.000 --> 24:25.000]  And by the way, Alex, you know, I've got a list here of the non-lethal weapons.
[24:25.000 --> 24:33.000]  I mean, they've got 200 and some odd pages of non-lethal weapons that they intend to use against the populace.
[24:33.000 --> 24:36.000]  Microwaves, lasers, lithium gas.
[24:36.000 --> 24:44.000]  Sound systems, gas, opticals. You know, I was just at White Sands Missile Range,
[24:44.000 --> 24:57.000]  and I saw with my own eyes a laser that's capable of hitting the O in God on a dime in the hands of somebody that's running full tilt 30 miles away.
[24:58.000 --> 25:05.000]  I saw the computers. I saw the laser. It's active. They can mount it on a plane.
[25:05.000 --> 25:11.000]  They already are. They were using them in Afghanistan, and they admit that now. They were using them secretly to 91 in the Gulf.
[25:11.000 --> 25:19.000]  We saw those photos of Iraqis with their uniforms perfectly crisp. Meanwhile, their bodies totally barbecued from microwave guns.
[25:19.000 --> 25:27.000]  Microwaves. That's not the laser. The laser will take off an ICBM before it leaves the launching pad.
[25:27.000 --> 25:29.000]  Anything else, Charles?
[25:29.000 --> 25:36.000]  Well, I was getting a kind of sympathy because of the way he was acting towards you. It kind of made me sick.
[25:36.000 --> 25:40.000]  I'm 70 years old, and I've been to a lot of presidents.
[25:40.000 --> 25:47.000]  I was in Korea. You come back, and then you read about how they did MacArthur, and, you know, it's a shame.
[25:47.000 --> 25:55.000]  I don't know where it's all going to end. I don't know if we can fly them anymore or not, but we're going to keep trying, you know?
[25:55.000 --> 26:01.000]  I fly the flag every day because I'm part of the country, but it kind of makes me sick what's going on.
[26:01.000 --> 26:08.000]  Well, they try to fly the flag and say, give in to tyranny. That's patriotic, and that is not patriotism, and that's not what America's all about.
[26:08.000 --> 26:11.000]  No. My flag is flying there because a lot of men died for it.
[26:11.000 --> 26:18.000]  No, no. I agree with you. I love America. My point is, evil people wrap themselves in it and then tell us, go along with me or you're not a patriot.
[26:18.000 --> 26:20.000]  They're a bunch of traitors. Thanks for the call.
[26:20.000 --> 26:21.000]  Oh, they are.
[26:21.000 --> 26:23.000]  Charles, good to hear from you, and thanks for your service to our country.
[26:23.000 --> 26:28.000]  Clay, any comments just on the whole overview? What do you see happening in the next two years?
[26:28.000 --> 26:34.000]  They are really getting ready for something big, and have you seen the CFR report that came out two weeks ago where they say that in major cities,
[26:34.000 --> 26:37.000]  80-plus percent of us will die if we don't follow their recommendations?
[26:37.000 --> 26:40.000]  Their recommendations are a total takeover of our entire society.
[26:40.000 --> 26:49.000]  I think they're preparing us for a nuclear attack. They want you to stand in line at Wal-Mart if we have a biological attack.
[26:49.000 --> 26:57.000]  You can have the antidotes that you need in your medicine cabinet. You don't need to stand in the parking lots.
[26:58.000 --> 27:11.000]  FEMA has its plans to evacuate all the major populations. My advice to people, I don't think there's anything we can do to stop this,
[27:11.000 --> 27:21.000]  but I think we can prepare for it and get our families and ourselves to places that are at least defendable or out of the target range.
[27:21.000 --> 27:28.000]  I moved to the middle of nowhere years ago to prepare for exactly that scenario.
[27:28.000 --> 27:33.000]  If you choose to live in a city or you have to live in a city, there's only so much you can do.
[27:33.000 --> 27:43.000]  If we have this major terrorist attack that they're planning on, and who knows what they're going to use, whether it's going to be nuclear or biological,
[27:43.000 --> 27:48.000]  this isn't Al Qaeda that's planning this, Alex. You know that and I know that.
[27:48.000 --> 27:53.000]  There's governments that are planning this to thin the population, to control the people, to disarm the people.
[27:53.000 --> 28:00.000]  To scare us into total submission once and for all. If you are in a city, you better have an escape route in the first few hours
[28:00.000 --> 28:06.000]  because under the Model States Health Emergency Powers Act, they admit total lockdown of cities, a complete gun confiscation.
[28:06.000 --> 28:11.000]  If people resist, a mass spray aircraft will knock out the entire city with this death gas.
