[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[05:12.000 --> 05:20.000]  CNN had featured Clinton taking a question from a reporter on her campaign plane agreeing that Trump was being insensitive for calling the attack in New York a bombing.
[05:20.000 --> 05:26.000]  But cut out the moment where Clinton referred to the incident as a bombing just moments before, according to Paul Joseph Watson.
[05:26.000 --> 05:33.000]  Even more ridiculous, it never been repeated the same stunt a second time, with host Jake Taffer slamming Trump for leaping to the conclusions.
[05:33.000 --> 05:37.000]  Again, failing to play the clip where Clinton described the incident as a bombing.
[05:37.000 --> 05:49.000]  Trump called CNN's deception disgusting and disgraceful. He also pointed out how CBS recently edited out Bill Clinton admitting that Hillary frequently has medical episodes like the seizures she had on 9-11.
[05:49.000 --> 06:08.000]  It's not surprising then that recent polls show that trusted mainstream media is at a record low. Find out more at infowars.com. This is Kit Daniels reporting.
[06:20.000 --> 06:31.000]  In the history of InfoWars Live, we brought out a lot of amazing products like Survival Shield X2, SuperMail Vitality and so many others.
[06:31.000 --> 06:41.000]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[06:41.000 --> 06:52.000]  This formula is the platinum standard of multivitamin mineral products. The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[06:52.000 --> 07:00.000]  That means it's clean. That means it's pure. That's infowarslife.com and vitamin mineral fusion. Take action now before we sell out.
[07:00.000 --> 07:12.000]  More than two years ago, InfoWars first told you about our research into what has been called the iodine conspiracy. I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ
[07:12.000 --> 07:19.000]  and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[07:19.000 --> 07:30.000]  They took the good halogen out and put the deadly halogen in. And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[07:30.000 --> 07:43.000]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[07:43.000 --> 07:51.000]  You can pull these studies up for yourself. This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[07:51.000 --> 08:17.000]  Stock up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[08:17.000 --> 08:22.000]  As you are receiving this transmission, you are the Resistance.
[08:22.000 --> 08:35.000]  Live from the infowars.com studios, it's Alex Jones.
[08:35.000 --> 08:54.000]  Ladies and gentlemen, it is the 19th day of September, 2016. I'm your host, Alex Jones. We have seen coordinated jihadi terror attacks where we have Islamic State of al-Qaeda claiming responsibility for the attacks, the stabbing as the lunatic Somali,
[08:54.000 --> 09:08.000]  100,000 brought in just in the last decade, mainly to Minnesota, screamed Allah Akbar, he would ask, are you a Muslim? They would say no. Allah Akbar and attack, just like they do in Kenya and everywhere else in the shopping mall.
[09:08.000 --> 09:19.000]  Are you a Muslim, your five-year-old kid? No. Boom! Blow your brains out. Come up to your wife. Are you a Muslim? No. Boom! Shoot you right in the chest. Come right up to daddy. Hit him on the ground.
[09:19.000 --> 09:25.000]  Are you a Muslim? No. Then they start cutting your head off real loving and real sweet.
[09:25.000 --> 09:36.000]  And you've got Obama's family on record, quarterbacking operations in Kenya, quarterbacking money by the hundreds of millions to Egypt to overthrow that country,
[09:36.000 --> 09:53.000]  and CNN and Anderson Cooper four years ago celebrating it, saying freedom was coming to Egypt, overthrowing our secular allies that had stabilized the country for 35 years, but train our allies.
[09:53.000 --> 10:01.000]  Again, I'm just giving you some background here. So you've got the jihad attack, which they wouldn't call a jihad attack, just like the weekly jihad attacks in London,
[10:01.000 --> 10:10.000]  or the other Allah Akbar stabbings in Canada or Germany that are happening every few days in Belgium, in Sweden, in Germany.
[10:10.000 --> 10:19.000]  German women are so mind controlled that even when members of the parliament, the Bundestag and the Reichstag on record,
[10:19.000 --> 10:28.000]  when members of their Congress are raped, they come out and tell the German police, blonde-haired Germans raped me.
[10:28.000 --> 10:42.000]  And when they get caught, they say, I did it to protect the Muslims. That is on record. National TV in Germany airs U.N. ads showing women wearing hijabs that are German,
[10:42.000 --> 10:46.000]  saying how cool it is and how you should try it too.
[10:46.000 --> 10:52.000]  And now we have a new video coming up. If you're a radio listener, you must go to infowars.com to see this article.
[10:52.000 --> 10:58.000]  There's no turning back. That's a quote. Swedish TV ads says Swedes must accept multiculturalism.
[10:58.000 --> 11:07.000]  It shows old Swedes and basically says you're the past. And then you've got the subtitles.
[11:07.000 --> 11:15.000]  A Muslim woman looks up and says something new, the new country. No turning back a woman in a hajib.
[11:15.000 --> 11:22.000]  And we have George Soros' own emails running the U.N., running the Obama administration, running the Hillary operation, saying,
[11:22.000 --> 11:31.000]  we're bringing these people in to break down the culture and make the Western free culture adapt to it and submit to it.
[11:31.000 --> 11:38.000]  Because we're so inclusive, we must bring in something uninclusive to make our people submit to this.
[11:38.000 --> 11:46.000]  Then the Muslims will be the client of the government and will be put in as mayors and police chiefs as they've been done all over Europe disproportionately.
[11:46.000 --> 11:54.000]  And just like London has their Islamist mayor coming to the U.S. and lecturing us, and he's in New York today.
[11:54.000 --> 11:57.000]  He's in New York today.
[11:57.000 --> 12:04.000]  Now, think of the total and complete absolute mind control that you have a bombing in New Jersey,
[12:04.000 --> 12:14.000]  a bombing that injures 29 people right there in New York, trying to target the route of a fundraiser for wounded veterans in the Marine Corps.
[12:14.000 --> 12:26.000]  Think about how evil they are. And the media comes out Saturday and they come out and they say, even though there are already videos of the now captured suspect
[12:26.000 --> 12:34.000]  sitting there hauling up the bomb. And they tell you it's not terror.
[12:34.000 --> 12:40.000]  And Donald Trump getting on a plane says, well, I hear some bombs have gone off.
[12:40.000 --> 12:54.000]  This country's in a lot of trouble. We'll be investigating it. And the media comes out and attacks him despite the fact that Hillary Rodham Clinton openly came out the same day and said the word bombing.
[12:54.000 --> 13:03.000]  But one minute later, CNN says, isn't Donald Trump wrong for calling this a bombing too early? And she says, yes, he's wrong.
[13:03.000 --> 13:08.000]  Full video on infowars.com. We're going to play those clips coming up.
[13:08.000 --> 13:20.000]  But this shows the abject cult level, fascist level, totalitarian level of the media, where they are in lockstep trying to deceive the American people.
[13:20.000 --> 13:32.000]  Here's the good news. When they come out and say that Obamacare is free and the IRS isn't going to find you and then, of course, it isn't free and increases prices and you get fined, the American people wake up and remember.
[13:32.000 --> 13:45.000]  When they come out and tell you Hillary has no health problems, never falls down, Alex Jones is totally insane, making up out a whole cloth, claiming that she falls down and claiming she has epilepsy and brain problems.
[13:45.000 --> 13:51.000]  And then all these medical doctors come out and say clearly she does and then she falls down in front of everybody.
[13:51.000 --> 14:06.000]  Four days after CNN, CBS, MSNBC, you name it, all in a coordinated attack attacked yours truly, Breitbart and Drudge Report.
[14:06.000 --> 14:17.000]  And attacking the Trump sons and others saying that we were basically completely insane, but there was no health problems whatsoever.
[14:17.000 --> 14:21.000]  They are falling apart in front of everyone.
[14:21.000 --> 14:37.000]  Ahmed Khan, how do you pronounce his last name, R-A-H-A-M-I, Rahami, Ahmed Khan Rahami has been captured. We don't have the details yet in a supposed shootout.
[14:37.000 --> 14:44.000]  But remember, Hillary said it's not terror and it's not a bombing.
[14:44.000 --> 14:52.000]  New York, New Jersey bombing suspect wounded, arrested after a shootout, two officers hit. This is coming out as we speak.
[14:52.000 --> 14:57.000]  That's CNN, more developments. Just 10 minutes ago, we just knew that he'd been captured in a shootout.
[14:57.000 --> 15:02.000]  I made the obvious point, it was said called precipitous, like Trump did, to say, I wonder if he's been wounded.
[15:02.000 --> 15:08.000]  Oh, he has been wounded. You know, for Trump to say, hey, bombs have gone off, looks like it's bombs, we're learning more.
[15:08.000 --> 15:16.000]  Now, when a marathon gets bombed and another bomb goes off in New Jersey, same day, it was pretty safe for Trump to say, looks like we've had some bombs.
[15:16.000 --> 15:21.000]  We're not sure we're looking into it. They don't like Trump being out ahead of her two hours.
[15:21.000 --> 15:26.000]  Two hours later, she goes, yes, I've heard of the bombs going off. They go, ma'am, we're saying it's bad that he said that.
[15:26.000 --> 15:29.000]  Oh, he's very horrible, yes. But wait, wait, wait.
[15:29.000 --> 15:39.000]  Now, they're having to admit that there's been a terror attack and that there's probably more because there's a cell, reportedly, and five jihadists, alleged jihadists,
[15:39.000 --> 15:45.000]  connected to this guy have been stopped going to the airport, getting to the airport.
[15:45.000 --> 15:51.000]  So we've got all this unfolding right now. And so Hillary has come out after the break, I'm going to play the clip, and she's come out.
[15:51.000 --> 16:00.000]  And she said, Trump is a, quote, Sergeant of ISIS, and it's his fault that we were hit with terror attacks.
[16:00.000 --> 16:05.000]  So it wasn't a terror attack. It wasn't a bomb, and it's Trump's fault for lying.
[16:05.000 --> 16:10.000]  But now it's a terror attack and Trump's behind it.
[16:10.000 --> 16:15.000]  Hillary Clinton and the mainstream media officially are worse than Baghdad Bob.
[16:15.000 --> 16:21.000]  Remember the spokesman for the Defense Ministry in Iraq?
[16:21.000 --> 16:26.000]  There would be planes and tanks and wars going on, two miles behind him, explosions going off.
[16:26.000 --> 16:31.000]  And he'd be on TV in Baghdad going, we have routed the Americans, kicked them out of Baghdad.
[16:31.000 --> 16:36.000]  In fact, we've kicked them back into Kuwait. We've kicked them back into Jordan. They're not even in the country.
[16:36.000 --> 16:41.000]  We have annihilated them. A jet flies by.
[16:41.000 --> 16:46.000]  And he's like, excuse me, as I said, Americans totally defeated. We must stop press conference now.
[16:46.000 --> 16:52.000]  Remember Baghdad Bob? Our media is more ridiculous than Baghdad Bob.
[16:52.000 --> 17:01.000]  It isn't a bombing. It isn't terror. Donald Trump's horrible, and it's a terror attack, and it's Donald Trump's fault.
[17:01.000 --> 17:06.000]  I mean, these people, Hillary Clinton looks like she's dead. She can barely get upstairs.
[17:06.000 --> 17:11.000]  It's in all the emails that she's got Parkinson's medication, and that years ago she could barely walk.
[17:11.000 --> 17:17.000]  Everybody's worried about her. It's all come out. The Secret Service told us she falls down more than once an hour.
[17:17.000 --> 17:22.000]  We said, how often? Just sometimes every 15, 20 minutes, it's bad.
[17:22.000 --> 17:27.000]  They've got to keep her so drugged up that she doesn't have seizures, but she then looks drugged up and can barely talk.
[17:27.000 --> 17:34.000]  I mean, she looks so sleepy and so tired in her, quote, you know, couple press interviews she did Saturday and Sunday about the bombings,
[17:34.000 --> 17:39.000]  that she was just like, and I, yeah, drum, bomb, excuse me.
[17:39.000 --> 17:45.000]  I mean, she's on so much seizure medication, she can't open her eyeballs up.
[17:45.000 --> 17:52.000]  And the media sits there and goes, Alex Jones is a kook. Alex Jones is a kook. Yeah.
[17:52.000 --> 17:59.000]  Because we have the sources. We have the evidence. We have the facts. We have all the information. I'm going to skip this break.
[17:59.000 --> 18:05.000]  Now, let's just start walking through all of this. We have Ahmed Khan Rahim.
[18:05.000 --> 18:09.000]  That pronounced that right? Rahami, Ahmad Khan Rahami.
[18:09.000 --> 18:14.000]  Another little sweetie pie from Afghanistan. And we have this other sweetie pie.
[18:14.000 --> 18:18.000]  We'll put his face and name up from Somalia.
[18:18.000 --> 18:21.000]  And by the way, if you go to Minnesota, that's where the GCN Network's based.
[18:21.000 --> 18:26.000]  And you go to Minneapolis, St. Paul, you think you're in the Horn of Africa.
[18:26.000 --> 18:31.000]  You think you're in Somalia. I've never seen one cab driver that isn't Somalia.
[18:31.000 --> 18:37.000]  And I'm not here to attack Somalis, but the point is that Somalia is probably the most terrorist country on Earth.
[18:37.000 --> 18:44.000]  Okay. And so we know the Minnesota mall stabbings might realize worse fears of local Somalis.
[18:44.000 --> 18:54.000]  Oh my gosh. There's only been a bunch of terror attacks in Minnesota by Somalis, stabbing, killing and bombing people, but it just gets covered up.
[18:54.000 --> 18:59.000]  And it's the craziest stuff you've ever seen going on.
[18:59.000 --> 19:02.000]  You can't go to Somalia if you're an American. They'll kill you in a second.
[19:02.000 --> 19:12.000]  It's the same thing over and over again. These countries, if you're not a hardcore Sunni Wahhabist, you are dead within about five minutes in Somalia or kidnapped.
[19:12.000 --> 19:17.000]  You understand? No one can get in. Not the press, not special forces, not anybody.
[19:17.000 --> 19:21.000]  You go to Somalia, you are dead.
[19:21.000 --> 19:26.000]  Oh, and by the way, a lot of you are going to think, oh, I'm sure we're letting Christians or refugees in from Somalia.
[19:26.000 --> 19:34.000]  No, I have a mainstream news article today admitting that 99% of the Somalis coming in are Muslims.
[19:34.000 --> 19:43.000]  And you know why? There isn't 1% Christian in Somalia because the Muslims don't let you be Christian.
[19:43.000 --> 19:54.000]  A couple hundred years ago it was Christian. Not anymore because they killed everybody or sold them into slavery because Muslims are so sweet and so good and so loving.
[19:54.000 --> 19:58.000]  And so these terror attacks, because we can now say they're a terror attack. Hillary has now said it.
[19:58.000 --> 20:06.000]  And these bombing attacks, we can now say it because Hillary now said it today has nothing to do with Islam.
[20:06.000 --> 20:13.000]  Say that now. I mean, I'm so angry, I'm sweating, folks. I am just totally upset about what's happening.
[20:13.000 --> 20:20.000]  But now the media can come out today, the police and the FBI today said, okay, it is an act of terrorism in New York and New Jersey.
[20:20.000 --> 20:29.000]  Days after ISIS took responsibility. So there's the headline. We'll put it back on screen for TV viewers.
[20:29.000 --> 20:39.000]  Explosive language, the observer. Call the New York bombing terrorism already. Oh my gosh, that's seen as right wing and radical yesterday.
[20:39.000 --> 20:50.000]  To have the New York observer come out and say, call it terrorism. Oh my gosh, how bold when you've got Afghans that are refugees and you've got Somalis that are, quote, refugees.
[20:50.000 --> 20:55.000]  And they're running around screaming Allah Akbar, killing and bombing people and stabbing them. Oh my gosh.
[20:55.000 --> 21:02.000]  It's so radical to call it terrorism or a bombing or Muslim.
[21:02.000 --> 21:07.000]  These people are worse than Baghdad Bob. In fact, I'm going to do a piece today after the show.
[21:07.000 --> 21:13.000]  I'm going to show clips of Baghdad Bob. We have the DVD back there somewhere of his most ridiculous statements.
[21:13.000 --> 21:18.000]  And then show our media, which I'm telling you out Baghdad Bob's Baghdad Bob.
[21:18.000 --> 21:28.000]  Now, the first thing I want to do here out of literally dozens of clips we've got is before we show you the Swedish government saying you will not be white or Christian anymore.
[21:28.000 --> 21:38.000]  You will be Muslim. The new Sweden is a woman with a hajib. You understand that's who Sweden is now cupcake.
[21:38.000 --> 21:45.000]  Because the fetish by the left is to commit suicide in the West. It's a sacrifice. They get off on it.
[21:45.000 --> 21:50.000]  You know, devil worshipers want to grab a little kid out of their backyard and go torture them and cut their heart out to Satan.
[21:50.000 --> 21:55.000]  That's what they like to do. They like to hurt things. They like to overthrow things. They like to bring in backward things.
[21:55.000 --> 21:59.000]  They like to bring in oppressive things. They like to finance sexual mutilation.
[21:59.000 --> 22:07.000]  And Uma Abedin's mother is the foremost pusher of women's having their genitals cut off in the world and writes books on it.
[22:07.000 --> 22:12.000]  And then we cover it and they have leftist media make fun of us and say, so what?
[22:12.000 --> 22:19.000]  Because they're not left. They're sick degenerate filth that want to bring this country down like kamikazes.
[22:19.000 --> 22:34.000]  But let's go down to Trump coming out talking about how disgusting CNN is and breaking down the fact that these people are like from another planet. Here it is.
[22:34.000 --> 22:42.000]  CNN is disgusting and they're disgraceful. I watch it all. I watch all of the folks. And sometimes Fox actually doesn't treat me well also, by the way, but that's okay.
[22:42.000 --> 22:44.000]  You people do. That's all right.
[22:44.000 --> 22:45.000]  You're fair and balanced.
[22:45.000 --> 22:47.000]  But you're fair and balanced. I agree.
[22:47.000 --> 22:56.000]  But I watch CNN and I watch, I look at what's happened. How about Bill Clinton's statement last week where he talked about her sickness that he said something that happens all the time?
[22:56.000 --> 22:58.000]  Frequently.
[22:58.000 --> 23:07.000]  That he said or frequently. And then they said, he said, oh, I meant, I meant it only happened. In other words, she only gets, she gets sick all the time or frequently.
[23:07.000 --> 23:10.000]  And then he goes, oh, I mean, just every once in a while.
[23:10.000 --> 23:11.000]  Right.
[23:11.000 --> 23:13.000]  And they take it out.
[23:13.000 --> 23:19.000]  Do you think if that happened to me, do you think they take it out? They not only don't take it out, it feels like they add things.
[23:19.000 --> 23:25.000]  I mean, these people are the most dishonest people. CNN is so disgusting and dishonest and I watch it.
[23:25.000 --> 23:33.000]  It is so unfair. They call it the Clinton News Network. If you saw her in the back of the plane, and she used the words bombs also, by the way, that's true.
[23:33.000 --> 23:39.000]  I heard, I didn't see it, but I heard I was criticized for calling it correctly. What I said was exactly correct.
[23:39.000 --> 23:42.000]  I should be a newscaster because I called it before the news.
[23:42.000 --> 23:47.000]  You should be president of the United States. You've got all the stamina, all the smarts, everything we need for leadership.
[23:47.000 --> 23:54.000]  You don't want to sell the country out. You want to let us be competitive. You're not out to get the country. You don't want to mount our head on the wall.
[23:54.000 --> 23:58.000]  You're an American. He's an American. He wants to bring back the American system. Doesn't mean he's perfect.
[23:58.000 --> 24:07.000]  Now, let's expand on this now. Let's go ahead. Now, this is a shorter clip because we played the minute-and-a-half clip yesterday where she comes out and says,
[24:07.000 --> 24:13.000]  I heard about the bombs going off in New York and New Jersey and blah, blah, blah, and then CNN goes like a minute later.
[24:13.000 --> 24:20.000]  Now, Trump was precipitous and came out and said it was a bomb before we knew. They were still not calling it a bomb at that time.
[24:20.000 --> 24:24.000]  She goes, well, that's horrible. See, that's how bad he is.
[24:24.000 --> 24:38.000]  But then CNN after that would edit out the first part so she wouldn't look like a psychologically kleptocratic deceiver on par with the devil who tells a lie when the truth would suit him better.
[24:38.000 --> 24:40.000]  Let's play the clip.
[24:40.000 --> 24:54.000]  We've been briefed about the bombings in New York and New Jersey and the attack in Minnesota. Obviously, we need to do everything we can to support our first responders.
[24:54.000 --> 25:02.000]  Okay, so that's what she originally said that they cut out of the next clip where she criticizes Trump in the same minute-and-a-half.
[25:02.000 --> 25:11.000]  Everybody's already seen that. Now let's go to the edited clip where they show her on the same plane in the same minute-and-a-half criticizing Trump. Here it is.
[25:11.000 --> 25:22.000]  Obviously, we need to do everything we can to support our first responders, also to pray for the victims.
[25:22.000 --> 25:38.000]  We have to let this investigation unfold. We've been in touch with various officials, including the mayor's office in New York, to learn what they are discovering as they conduct this investigation.
[25:38.000 --> 25:41.000]  And I'll have more to say about it when we actually know some facts.
[25:41.000 --> 25:51.000]  Secretary, do you have any reaction to the fact that Donald Trump immediately appointing the state tonight called the explosion in New York a bomb?
[25:51.000 --> 26:07.000]  Well, I think it's important to know the facts about any incident like this. That's why it's critical to support the first responders, the investigators who are looking into it, trying to determine what did happen.
[26:07.000 --> 26:19.000]  I think it's always wiser to wait until you have information before making conclusions.
[26:19.000 --> 26:36.000]  Okay, so on the timeline, we have an old DVR. Five minutes before CNN put that out and said moments ago, they have her live talking to a few members of the press from her airplane, barely able to stand up, looking like she's on massive amounts of depressants so she doesn't have more seizures.
[26:36.000 --> 26:40.000]  Okay? That's just a side of shit.
[26:40.000 --> 26:51.000]  And she says, well, I heard about the bombs going off of New York and New Jersey, then goes into that whole spiel you just heard, then criticizes Trump. A few minutes later, they rear the clip and cut the front part off.
[26:51.000 --> 27:03.000]  Now, since Trump mentioned Bill Clinton and the fact that he was on national news, CBS, and other channels, talking about how Hillary falls down all the time.
[27:03.000 --> 27:12.000]  Now, Hillary's collapsed many times, then he catches himself and goes, oh, oh, oh, I mean, you know, hardly ever, but over time has done it. They edit that out. So here's Bill Clinton.
[27:12.000 --> 27:20.000]  When you look at that collapse, that video that was taken, you wonder if it's not more serious.
[27:20.000 --> 27:22.000]  No, no, she's been dehydration.
[27:22.000 --> 27:41.000]  She's been, well, if it isn't a mystery to me and all of her doctors, because it's frequently, not frequently, rarely, but on more than one occasion over the last many, many years, the same sort of things happen to her when she just got severely dehydrated.
[27:41.000 --> 27:45.000]  Here's the edited piece.
[27:45.000 --> 28:00.000]  No, no, she's been dehydration. She's been, well, if it isn't a mystery to me and all of her doctors, rarely, but on more than one occasion over the last many, many years, the same sort of things happen to her when she just got severely dehydrated.
[28:00.000 --> 28:11.000]  So there you go. And unfortunately, we don't have enough time every day and neither do you to just go through all their, you know, all their different designs, all their deceptions, all the things they're doing.
[28:11.000 --> 28:23.000]  But I've got stacks of clips here where they're editing, where they're censoring, where they're deceiving, where they're blocking, where they're controlling, and they're doing it more and more and more.
[28:23.000 --> 28:30.000]  Here's the good news. The American people are now watching and are now finally aware of this, so it's not going well.
[28:30.000 --> 28:45.000]  We've got massive coverage of the latest attacks, the manhunt, the fact that the supposed mastermind of all of this, the alleged mastermind, Ahmed Khan Rahami, has been shot twice and is wounded.
[28:45.000 --> 28:51.000]  Two police officers have also been wounded. That's being reported. The problem is CNN's reporting.
[28:51.000 --> 29:02.000]  It's CNN's reporting. CNN never know. But it's being reported by other news outlets. So it may be true, but only because they're getting the information from locals and then being forced to report it.
[29:02.000 --> 29:10.000]  It's a scary thing to know the type of things that CNN's been caught doing when they're in control of a story and are the ones running the whole show.
[29:10.000 --> 29:19.000]  Now, when we come back, I want to get into the Islamification of this country and the world and the master plan behind it.
[29:19.000 --> 29:27.000]  I want to play the ads that are airing in Sweden and Germany, basically saying your time is over, convert to Islam, submit to it.
[29:27.000 --> 29:34.000]  That is the plan with the Jihadi mayor of London here shaking his fist at us in New York today.
[29:34.000 --> 29:43.000]  Again, it's all part of rubbing our noses in it, dominating, squatting on top of us and basically trying to make us submit to their tyranny.
[29:43.000 --> 29:49.000]  We've got a lot of other key clips. Michael Savage is joining us again. Wow, twice in two weeks and a lot more.
[29:49.000 --> 29:50.000]  Our reporters are in New York.
[29:50.000 --> 30:00.000]  On the march, the Empire's on the run. Alex Jones and the GCN Radio Network.
[30:00.000 --> 30:11.000]  Is Hillary Clinton completely losing her cognitive abilities? Hillary was caught in an embarrassing moment when someone at her rally yelled, Hillary for prison, to which the presidential candidate responded, let's make it happen.
[30:11.000 --> 30:15.000]  The video is up on info-worse.com in an article by Paul Joseph Watson.
[30:15.000 --> 30:25.000]  Given how she's notoriously confused in her day-to-day life due to her previous brain injuries, according to insiders, it's not surprising that Hillary would agree to her own imprisonment.
[30:25.000 --> 30:31.000]  The slogan, Hillary for prison, has become a nationwide meme ever since info-worse began selling the t-shirts bearing the phrase last year.
[30:31.000 --> 30:37.000]  It's even been rumored that Hillary for prison t-shirts in its variants have sold more than official Hillary Clinton campaign shirts.
[30:37.000 --> 30:41.000]  Think about it this way, what was the last time you saw a hardcore Hillary supporter?
[30:41.000 --> 30:46.000]  In fact, you probably still see more cars with Bernie Sanders bumper stickers on the road than Hillary Clinton.
[30:46.000 --> 30:51.000]  And Hillary can only manage to pull in a couple hundred people to hear her speak on the campaign trail at most.
[30:51.000 --> 30:54.000]  Now how many of this Trump pull? Thousands.
[30:54.000 --> 31:09.000]  Visit info-worse.com for more news. This is Get Daniels reporting.
[31:24.000 --> 31:29.000]  Number three, we're giving you free shipping on all orders above $50.
[31:29.000 --> 31:35.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[31:35.000 --> 31:43.000]  Just go to info-worse.com, select your favorite product or products, click on auto-ship and choose how often you want us to send you another order.
[31:43.000 --> 31:50.000]  As you know, I coined the term 360 win and with the new auto-ship feature at info-worse.com, this is a sure win.
[31:50.000 --> 31:55.000]  10% off on auto-ship. Win, win, win at info-worse.com, free shipping on orders above $50.
[31:55.000 --> 32:00.000]  And all out-of-stock items are never out of stock when you sign up for auto-ship.
[32:00.000 --> 32:05.000]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[32:05.000 --> 32:14.000]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals and much more.
[32:14.000 --> 32:21.000]  Young Jevity also offers you an ingenious way to augment your income and the best part, you'll be helping your friends and family along the way.
[32:21.000 --> 32:29.000]  Visit info-worse.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship
[32:29.000 --> 32:36.000]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[32:36.000 --> 32:42.000]  Another win-win. That's why I'm a member of the Young Jevity team at info-worse.com and you can be too.
