[00:00.000 --> 00:01.600]  We've got it, son.
[08:25.000 --> 08:34.000]  We'll be looking at that in depth. So a big victory that all the major polls show, 2 to 1, out in California, of course.
[08:34.000 --> 08:40.000]  Stalin said, I don't care how you vote because I count the things.
[08:40.000 --> 08:44.000]  So don't hold your breath too long.
[08:44.000 --> 08:53.000]  Because even if you love GMO, I mean, even if you love salmon mixed with insects that's extincting the regular salmon in the Pacific Ocean,
[08:53.000 --> 08:57.000]  even if you think that's a great thing, can we just have it labeled?
[08:57.000 --> 09:05.000]  I mean, can I just know if milk has bovine growth hormone in it that's got girls going into puberty when they're about seven years old?
[09:05.000 --> 09:09.000]  Can I just know if the plastic has bisphenol that's an estrogen member?
[09:09.000 --> 09:14.000]  Because, you know, a male sperm count in Europe in the U.S. is down by 87%.
[09:14.000 --> 09:24.000]  Can I just know, can I just find out why even the glands in men's brains are flipping during adolescence and becoming basically female?
[09:24.000 --> 09:26.000]  That can happen in fish and reptiles too.
[09:26.000 --> 09:35.000]  If you're exposed to certain chemicals and hormones, the glands in your body will flip to putting out hormones for a female.
[09:35.000 --> 09:43.000]  You know, that's why you hear about the streams and rivers, the fish are becoming bisexual, the amphibians, the froggies are.
[09:43.000 --> 09:50.000]  We're being chemically manipulated and I have the government documents where they're doing it by design, Dr. Glidden coming up.
[09:50.000 --> 09:56.000]  Okay, that said, we're also going to get into, well, all over the country.
[09:56.000 --> 09:58.000]  Austin is now getting theirs.
[09:58.000 --> 10:01.000]  In fact, it's in the federal announcements.
[10:01.000 --> 10:06.000]  I'm going to be doing print articles on it later in the week and I'm sure it'll make national news.
[10:06.000 --> 10:14.000]  If you can't hint to other media, if you'd like, you know, wonder why you have no readers or viewers, you could scoop me, you could go look this up and find out it's true.
[10:14.000 --> 10:16.000]  I probably won't get around to it until Tuesday or Wednesday.
[10:16.000 --> 10:28.000]  But I have confirmed Austin, where I live, is putting in the IntelliStreets type systems with the new street lights with microphones and cameras hidden in them.
[10:28.000 --> 10:34.000]  Hooked into the cable boxes back to the Threat Fusion Center.
[10:34.000 --> 10:38.000]  So, big brother, eat your heart out.
[10:38.000 --> 10:50.000]  So, we're going to be going over that and tying it into some announcements here where, well, you're not going to get insurance soon unless you put satellite tracker boxes that, by the way, tax you by the mile in your car.
[10:50.000 --> 10:57.000]  And they're mandated to get car insurance, so now they just mandate that the car insurance to get it, you've got to be tracked.
[10:57.000 --> 11:00.000]  And, of course, they'll control and tax you.
[11:00.000 --> 11:04.000]  And that's the official plan. It's been the global plan for about 15 years.
[11:04.000 --> 11:08.000]  And now, well, here it comes. You might want to fight it or maybe not.
[11:08.000 --> 11:15.000]  It's so cool to just give in to tyranny and be domesticated and take your Prozac, even if you don't drink your shitty water.
[11:15.000 --> 11:29.000]  AP a few years ago did a study finding that every major municipal water supply, even water supplies that weren't out of reservoirs that didn't have sewage runoff in them, had high levels of generic serotonin reuptake inhibitor.
[11:29.000 --> 11:33.000]  What does that mean? It wasn't runoff. It didn't accidentally get in there.
[11:33.000 --> 11:44.000]  And it wasn't a LuVox or Prozac. It wasn't a particularly tweaked designer serotonin reuptake inhibitor. It's being added.
[11:44.000 --> 11:48.000]  Oh, you're not upset right now, are you?
[11:48.000 --> 12:07.000]  Just like Harvard study last month admitted one part per million of sodium fluoride, and they even took an electron out to make it even more deadly and more psychoactive, just a little bit of that in your drinking water and you get a massively lowered IQ and you're more mentally and physically flaccid.
[12:07.000 --> 12:12.000]  You're more passive. That's why the Soviets used it in their water supplies in the 30s.
[12:12.000 --> 12:20.000]  And then Hitler picked it up from them. That's even in Pulitzer Prize winning book. It came out in the Nuremberg trials, but so what if the Nazis put it in the water?
[12:20.000 --> 12:30.000]  I mean, our government does it because they're good people. Our government shot up the black people with the syphilis because they're good people, too, and atomic soldiers and radiated thousands of foster children to death.
[12:30.000 --> 12:42.000]  And you've heard about all the tests that are still ongoing that they declassify, including U.S. Code Title 50, Chapter 32, Subsection 1520A, paragraph B. You remember that?
[12:42.000 --> 12:53.000]  Or they say, we can't do any secret testing on you unless it's experimental. And then we can do lethal test on you. And see, they say they're studying you.
[12:53.000 --> 12:55.000]  They're the scientific controllers.
[12:55.000 --> 13:04.000]  So that's coming up in the next hour. But as we get ready to go to break here in a few minutes, let me tell you what's coming up today.
[13:04.000 --> 13:11.000]  Everybody has heard the Elmo lady.
[13:11.000 --> 13:26.000]  Yes, everybody in Cleveland, low minority, got Obama phone. He got Obama in president, you know. He gave us a phone. He gave you a phone. How do you give you a phone? You sign up.
[13:26.000 --> 13:35.000]  This woman is now an international sensation. No one has discovered her name. I'm putting out a $5,000 bony.
[13:35.000 --> 13:58.000]  The quicker picker upper to the first person that gets me her name and phone number and gets her on the show. In fact, I've told the crew that that I believe this woman have given standup lines would probably be bigger than Bill Hicks and Richard Pryor combined.
[13:58.000 --> 14:07.000]  This woman's comedic genius is, well, bordering on Godlike. In fact, I'm telling her right now, I'd like to be her manager.
[14:07.000 --> 14:11.000]  And I mean, everybody I know cannot quit talking about her.
[14:11.000 --> 14:21.000]  And I want to say this, Obama and the government says that if you see a rainbow, you didn't build that. God didn't build that. They built that. If you build a log cabin, you didn't build that. Government built that.
[14:21.000 --> 14:33.000]  If you even think something's beautiful, even your own thoughts aren't yours. Government built that. But I do have to give government and the great society and the domestication process.
[14:33.000 --> 14:48.000]  I do have to give you the credit. You did build the Obama lady as she is now known. Now, here's the deal. The Washington Post and others are saying it's racist to make fun of this lady.
[14:48.000 --> 14:59.000]  You know, I've played some goofy white people on air and I played goofy Hispanics on air. People are funny. But I admit it is sad. It's painful but also funny at the same time.
[14:59.000 --> 15:07.000]  But we should talk about government domestication and what it does to people. And the fact that I've got other news articles here saying, well, this is just a bad example.
[15:07.000 --> 15:18.000]  This is cherry picking. Really, I have unlimited clips. I'm going to play like eight of them when we come back. Of people just as sad and pitiful and ridiculous as this woman.
[15:18.000 --> 15:28.000]  Obama gave us all the phone. He's going to do more. And again, I'm not sure who she is. I mean, it's like a cross between Oscar the Grouch, Cookie Monster and Elmo.
[15:28.000 --> 15:40.000]  Fast forward 50 years, a lot of wear and tear. And then worship of big government reflected glory. Look, you can't criticize Mitt Romney when he said, hey, 47% don't care.
[15:40.000 --> 15:49.000]  They'll do whatever they're told. They love big government because they are on the dole. And that's always been the plan. And it's working like a charm.
[15:49.000 --> 15:59.000]  Public schools are meant to dumb you down. I've got the Department of Education documents on that. Get ready. We'll be back with more.
[16:20.000 --> 16:27.000]  The only strategy to counter this is to freeze your food costs to today's prices by getting your own supply of foods or meat foods direct now.
[16:27.000 --> 16:33.000]  As the price of raw ingredients increases, eat foods will have to raise prices too. Now is the time to get your supply.
[16:33.000 --> 16:40.000]  I recently increased my supply for me foods direct because we've all known this was coming. You know about their delicious long term storeable foods.
[16:40.000 --> 16:53.000]  The fact is you can eat at any time to save money today. And because it stores for 25 years, you're locking in today's prices and avoiding the rising food costs. Don't wait. Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[16:53.000 --> 17:11.000]  You can bet your life on eFoodsDirect.
[17:24.000 --> 17:34.000]  Optional fluoride filters can reduce fluoride up to 95%. Easy to set up and use. Doesn't require electricity. Purify water from lake streams, ponds and wells.
[17:34.000 --> 17:41.000]  This filter system leaves in beneficial minerals, which is key. Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[17:41.000 --> 17:54.000]  Propyr is the best gravity-fed filter out there. It's what my family uses. infowars.com already has the lowest price on Propyr. But if you add the promo code WATER at checkout, you get an additional 10% off at infowars.com.
[17:54.000 --> 18:12.000]  You can also call to order 888-253-3139.
[18:24.000 --> 18:36.000]  Propyr is a broad-spectrum microbial that creates no resistance and does not harm beneficial bacteria, making it ideal for daily use. It can be used internally as well as topically and is highly effective against viruses, bacteria, molds, and yeasts.
[18:36.000 --> 18:49.000]  With threats like West Nile virus, colds, flus, or any other emergency situation, arm yourself with supernatural silver. Silver-soaked liquid and gel are perfect for on-the-go emergency preparedness and can provide protection at home, school, or work.
[18:49.000 --> 18:59.000]  Supernaturalsilver.com and be prepared for any emergency. Remember the promo code Alex says for 20% off. That's www.supernaturalsilver.com and like us on Facebook.
[19:20.000 --> 19:35.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog. Buy the one to two month sample package and enjoy soaps that are twice as good as what you're using now.
[19:35.000 --> 19:47.000]  Or save big with a one to two year supply of soaps for all your cleaning needs. This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[19:47.000 --> 19:55.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[20:18.000 --> 20:26.000]  Mainstream media. Government cover-ups. You want answers? Well, so does he.
[20:26.000 --> 20:27.000]  Oh, you bet I do.
[20:27.000 --> 20:29.000]  Live from Austin, Texas.
[20:29.000 --> 20:30.000]  I love it.
[20:30.000 --> 20:34.000]  Broadcasting worldwide. It's Alex Jones.
[20:34.000 --> 20:46.000]  Coming to you from deep in the heart of Texas, blasting out across my beloved America and beyond.
[20:46.000 --> 20:52.000]  We thank you so much for joining us on this worldwide Sunday transmission.
[20:52.000 --> 21:01.000]  How do you take the freest, wealthiest nation in the world founded and built on rugged individualism and enslave it? Well, you domesticate its people.
[21:01.000 --> 21:06.000]  What's happened in our country is not new. It happened in Rome going back about 2000 years ago.
[21:06.000 --> 21:13.000]  Took about 300 years, but Rome became, well, the most decadent system the world's ever seen and I've studied a lot of history.
[21:13.000 --> 21:16.000]  And the same things now happened here.
[21:16.000 --> 21:24.000]  And there is a $1.6 billion program to hand out. Well, some people have gotten over 200 phones.
[21:24.000 --> 21:32.000]  And sure, the program was there if you were poor in a rural area and had a medical problem for a landline.
[21:32.000 --> 21:38.000]  But now it's been expanded and Obama has advertised it.
[21:38.000 --> 21:46.000]  They're now advertising an Obama e-card for women saying you can borrow $18,000 to help pay for birth control.
[21:46.000 --> 21:53.000]  I mean, Obama is emailing out e-cards to people saying you're going to get free goodies. You hear the ads everywhere going,
[21:53.000 --> 21:58.000]  it doesn't matter if you've got jobs in a house in a car, you can get an electronic food stamps.
[21:58.000 --> 22:04.000]  And then you can get up to $50 cash a day with that. People walk up, they swipe it.
[22:04.000 --> 22:12.000]  Folks don't even know this, even though it's in the ads. It's online. When you follow the ad to the online area for the federal websites,
[22:12.000 --> 22:18.000]  it tells you you can't buy cigarettes and liquor with this, but you can get cash. You get cash back.
[22:18.000 --> 22:23.000]  So you're buying your different welfare goodies, your food and stuff.
[22:23.000 --> 22:31.000]  And then you just get some cash and go back through line and buy your carton of cigarettes and your whiskey or whatever it is you're buying.
[22:31.000 --> 22:38.000]  So my point is that the globalist, they want you dependent on government because you've got mega banks,
[22:38.000 --> 22:47.000]  crony capitalists who get on average about three to one corporate welfare to themselves for every dollar of welfare,
[22:47.000 --> 22:50.000]  every euro of welfare that goes to the welfare class.
[22:50.000 --> 22:57.000]  Then the welfare class will riot if the government ever gets cut back or if they don't get their goodies and if they don't get their welfare check.
[22:57.000 --> 23:05.000]  It's not even a welfare check now. It's if the credits aren't put on their little welfare card.
[23:05.000 --> 23:11.000]  And then people that have worked their whole lives, their money is taken and put in a government account and spent immediately.
[23:11.000 --> 23:17.000]  It's called Social Security. And then that's a Ponzi scheme and then you're held hostage for your money.
[23:17.000 --> 23:21.000]  So see, they make you dependent even if you don't want to be dependent.
[23:21.000 --> 23:26.000]  And now they've got one way or another more than half this country is getting a government check.
[23:26.000 --> 23:29.000]  It's not just 47%. It's worse than that.
[23:29.000 --> 23:35.000]  And I've got the Washington Post here today with the headline, racism could sway the election.
[23:35.000 --> 23:42.000]  And it basically says that the implication that people don't like the welfare state.
[23:42.000 --> 23:45.000]  Well, that's just racist. And that's what I'm hearing now.
[23:45.000 --> 23:52.000]  I've seen all sorts of articles flat out saying, if you play the Obama lady, you're racist. Really?
[23:52.000 --> 23:58.000]  So if I play anybody saying funny stuff or embarrassing stuff here on air, I'm bad.
[23:58.000 --> 24:04.000]  Oh, no, no, no, no. It's just if it's a quote minority, which if you put them all together are the majority in this country basically now.
[24:04.000 --> 24:09.000]  So here are a bunch of these clips. It'll take more than just the segment to get to them.
[24:09.000 --> 24:16.000]  Here's the famous Obama phone lady, tens of millions of views online, every talk show in the country playing it.
[24:16.000 --> 24:19.000]  Drudge Report launched this Thursday.
[24:19.000 --> 24:24.000]  Let's go ahead and go to this clip one more time. Here it is.
[24:24.000 --> 24:25.000]  You got Obama phone.
[24:25.000 --> 24:29.000]  Yes, everybody in Cleveland, low minority got Obama phone.
[24:29.000 --> 24:33.000]  He put Obama in president, you know, he gave us a phone.
[24:33.000 --> 24:35.000]  He gave you a phone. How do you give you a phone?
[24:35.000 --> 24:42.000]  You sign up if you're on full stamps, you on social security, you got low income, you disability.
[24:42.000 --> 24:44.000]  Hey, I have a question. Okay, what's wrong with Romney again?
[24:44.000 --> 24:49.000]  Romney, he sucks. Okay.
[24:49.000 --> 24:55.000]  All right, now that's real. You know, at first people said it wasn't real.
[24:55.000 --> 25:00.000]  And then now it's racist to show that. No, no, what's racist is the Democratic Party.
[25:00.000 --> 25:04.000]  And I'm not even partisan. People know that. I just, I just hate the facts though.
[25:04.000 --> 25:09.000]  I mean, that's the party of slavery, Robert Byrd, the Klansman, but that's okay because he hands out goodies.
[25:09.000 --> 25:12.000]  You know, the now late Robert Byrd.
[25:12.000 --> 25:18.000]  And if you read Margaret Sanger, who Hitler came from, he gave her awards.
[25:18.000 --> 25:20.000]  He gave him awards. She said, we're going to pose as liberals.
[25:20.000 --> 25:22.000]  We're going to get blacks dependent.
[25:22.000 --> 25:25.000]  And in the fifties, blacks had less illegitimacy than whites.
[25:25.000 --> 25:28.000]  There were less out of wedlock black children.
[25:28.000 --> 25:31.000]  And the quote, great society was not to empower blacks.
[25:31.000 --> 25:34.000]  It was we're going to give you money. A man can't be in the house.
[25:34.000 --> 25:39.000]  And we're going to promote and pump in gangster culture to get your men to become gang bangers.
[25:39.000 --> 25:46.000]  And now I exported that into the entire culture. That's why they force feed the gangbanger garbage that you see in the rap videos and the rest of it.
[25:46.000 --> 25:50.000]  I'm going to cover that a little bit later.
[25:50.000 --> 25:55.000]  But first off, let's go ahead and go to the next clip here because I'll never get to these if I keep talking.
[25:55.000 --> 26:01.000]  Let's go to the next little clip here. There's so many of them.
[26:01.000 --> 26:06.000]  This is Obama is going to pay my mortgage. This is from four years ago.
[26:06.000 --> 26:13.000]  There's literally dozens of these at the celebration that night in Chicago when he won.
[26:13.000 --> 26:16.000]  There was just countless people saying it's all over.
[26:16.000 --> 26:21.000]  I don't worry about my car, my mortgage, you name it. Of course you do, lady. You do. Here it is.
[26:21.000 --> 26:25.000]  Peggy Joseph took her daughter out of school early Wednesday for this.
[26:25.000 --> 26:28.000]  Her emotions ran high following Obama's speech.
[26:28.000 --> 26:33.000]  It was the most memorable time of my life.
[26:33.000 --> 26:38.000]  It was a touching moment because I've never thought to say whatever happened.
[26:38.000 --> 26:42.000]  I won't have to worry about putting gas in my car. I won't have to worry about paying my mortgage.
[26:42.000 --> 26:46.000]  If I help him, he's going to help me.
[26:46.000 --> 26:53.000]  Yeah, Obama's going to help you. $22 billion to ship General Motors to Brazil, China and Eastern Europe.
[26:53.000 --> 26:55.000]  The vault and Cadillac plants.
[26:55.000 --> 27:01.000]  I'll say that again. The bailout money was to build new factories overseas.
[27:01.000 --> 27:03.000]  Believe me, just type it into a search engine.
[27:03.000 --> 27:07.000]  Okay, he's really going to help you with NAFTA and GATT. Folks, they want you domesticated.
[27:07.000 --> 27:11.000]  Let's go ahead and go to this next clip.
[27:11.000 --> 27:20.000]  This is a town hall. This is a fellow begging him and thanking him for all the free goodies he's going to get.
[27:20.000 --> 27:25.000]  Oh, it's such a blessing to see you, Mr. President. Thank you for taking time out of your day.
[27:25.000 --> 27:27.000]  Oh, gracious God. Thank you so much.
[27:27.000 --> 27:30.000]  Oh, gracious God. He is their God.
[27:30.000 --> 27:36.000]  Now, the second thing is that you will actually benefit from the tax breaks that we're talking about,
[27:36.000 --> 27:40.000]  so you'll be able to keep a little bit extra money because we're going to offset your payroll tax.
[27:40.000 --> 27:42.000]  That's going to help.
[27:42.000 --> 27:51.000]  We want to make it easier for you to afford going to college by giving you this refundable tax credit for your tuition.
[27:51.000 --> 27:58.000]  We've got to make sure that we are giving them a pathway so that they can educate themselves and go as far as their dreams take them.
[27:58.000 --> 28:03.000]  Thank you very much, Fort Myers. I appreciate you.
[28:03.000 --> 28:06.000]  Unbelievable. Let's go to one more before we go to break and come back with more.
[28:06.000 --> 28:11.000]  Here's the lady begging him pitifully for a small car in a kitchen, and he says,
[28:11.000 --> 28:14.000]  oh, we're going to help you. We're going to get for it. Here it is. We'll go out to break with this.
[28:14.000 --> 28:18.000]  A very small vehicle for my family and I delivered it.
[28:18.000 --> 28:23.000]  We need urgent and not having authority. We have two years waiting to listen.
[28:23.000 --> 28:32.000]  We need something more than the vehicle and the parks to go to. We need our own kitchen and our own bathroom. Please help.
[28:32.000 --> 28:41.000]  Well, listen. Hold on. We're going to go to break and come back with this again. This is so sick.
[28:41.000 --> 28:49.000]  This woman thinks only government can give her stuff. Where do you think the money comes from, lady, from somebody else?
[28:49.000 --> 28:59.000]  Well, they're right back. Infowars.com is the news website. It's numero no.
[29:20.000 --> 29:27.000]  The only strategy to counter this is to freeze your food cost to today's prices by getting your own supply of foods from e-foods direct now.
[29:27.000 --> 29:33.000]  As the price of raw ingredients increases, e-foods will have to raise prices too. Now is the time to get your supply.
[29:33.000 --> 29:37.000]  I recently increased my supply from e-foods direct because we've all known this was coming.
[29:37.000 --> 29:43.000]  You know about their delicious long-term storable foods. The fact is you can eat it anytime to save money today.
[29:43.000 --> 29:47.000]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[29:47.000 --> 29:53.000]  Don't wait. Call 800-409-5633 or go to e-foodsdirect.com forward slash Alex.
[29:53.000 --> 30:19.000]  You can bet your life on e-foods direct.
[30:19.000 --> 30:35.000]  You can get your supply from e-foods direct.
[30:35.000 --> 30:36.000]  But here's some good news.
[30:36.000 --> 30:50.000]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[30:50.000 --> 31:00.000]  It's easy to create your own powerful fermented foods and you can do it by going to www.fermentationfactor.com.
[31:00.000 --> 31:11.000]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[31:11.000 --> 31:22.000]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[31:22.000 --> 31:30.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere for any application.
[31:30.000 --> 31:37.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[31:37.000 --> 31:42.000]  This product was designed to be an invaluable part of your vital preparations.
[31:42.000 --> 31:59.000]  A detailed report on the differences between ionic silver, colloidal silver and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[32:12.000 --> 32:22.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
