[00:00.000 --> 00:20.000]  If you are receiving this transmission, you are the resistance.
[12:50.000 --> 12:56.000]  And here is the video for TV viewers. I'll describe it for radio listeners.
[12:56.000 --> 13:03.000]  CCTV camera. So you're not supposed to see any of this or know this or understand this.
[13:03.000 --> 13:07.000]  And again, we'll show the video from the beginning because I want to show the lead up.
[13:07.000 --> 13:13.000]  There's a man in his underwear, black man, African migrant. It would be called a UN invader.
[13:13.000 --> 13:21.000]  He walks over to the 70 plus year old German cold coxing because the man's back turned to him, knocks him to the ground.
[13:21.000 --> 13:30.000]  And then decides to full power soccer kick him in the head and then stomping in the curb at least five more times.
[13:30.000 --> 13:34.000]  This was also caught on cell phone video. There's several of these.
[13:34.000 --> 13:44.000]  But the German media has been admonished not to show it because it shows the impossible.
[13:44.000 --> 13:53.000]  A black person attacking a white person, even though on average for every black person attacked by a white person,
[13:53.000 --> 14:00.000]  you have more than 10 times on the other side. Now it's even higher in the age of Obama hyping incredible racism.
[14:00.000 --> 14:09.000]  Now most black people aren't foaming at the mouth racist, but when the media hypes it up and people then think it's okay, it happens.
[14:09.000 --> 14:17.000]  A big example of this was the phenomenon of rolling queers as it was called in the 50s, 60s, 70s and even 80s
[14:17.000 --> 14:24.000]  were normal people that weren't criminals who wouldn't go out and mug folks, didn't think of themselves as criminals.
[14:24.000 --> 14:34.000]  They'd say, well, we can go rob some gay guys because they're effeminate, at least on average they thought, and it's okay because they deserve it.
[14:34.000 --> 14:39.000]  You see it fictionalized and things like boogie nights and stuff like that. That went on.
[14:39.000 --> 14:48.000]  That's the same thing. They've now taught black young people and Hispanics to a certain extent, but it's maleciscuously blacks that just go out and attack white people.
[14:48.000 --> 14:55.000]  Old lady on a bus, old man here, and again they normally target someone they think is weak, hippies, liberals, trendies.
[14:55.000 --> 15:01.000]  I played the local news a few weeks ago here in Austin where the liberal walks out of the bar.
[15:01.000 --> 15:07.000]  Six black guys come up and start beating the hell out of them saying screw Trump, f-Trump.
[15:07.000 --> 15:13.000]  To the point, you can't go in trendy areas of Austin now. You can't go in East Austin around the trendy areas.
[15:13.000 --> 15:20.000]  You can't go in those areas downtown because I'm not a wimp. I don't look like a small, easy guy to fight.
[15:20.000 --> 15:27.000]  And black guys walk up, told the story a few years ago, I haven't gone back since.
[15:27.000 --> 15:32.000]  They gave me your money right now. They don't even have weapons.
[15:32.000 --> 15:37.000]  And you're like, look at them and say, man, I'm not going to give you my money.
[15:37.000 --> 15:44.000]  So that's what, and see, it's okay because I'm white, you see. I'm an effing white male and the media said it was okay.
[15:44.000 --> 15:52.000]  So it's okay to rape women, gang rape of your Muslim. It's okay. It's okay to knock all women in the back of the head.
[15:52.000 --> 15:57.000]  If they're white, if they're white, if they're white, we'll be back. Stay with us.
[15:57.000 --> 16:05.000]  Hello, Mr. Anderson. The NSA has noticed how much time you spend on conservative news sites.
[16:05.000 --> 16:28.000]  We have no choice but to consider you a domestic terrorist.
[16:28.000 --> 16:35.000]  Excuse me, sir. Could you please take a picture of my family and me with my cell phone?
[16:35.000 --> 16:39.000]  Too bad hackers never get proper permission to access your cell phone or computer camera.
[16:39.000 --> 16:42.000]  Anyone is or could be susceptible to illegal spying.
[16:42.000 --> 16:49.000]  That's why VirtualShield.com has developed Identisave, a new security software that blocks camera and microphone access from unwanted spies.
[16:49.000 --> 16:55.000]  Get started today at VirtualShield.com. Take advantage of our free 30-day trial, VirtualShield.com.
[16:55.000 --> 16:58.000]  You have the right to remain private.
[17:25.000 --> 17:28.000]  That's LibertyOnCall.org.
[17:55.000 --> 17:59.000]  Have a safe, joyous and peaceful holiday season.
[18:25.000 --> 18:30.000]  Welcome to the show.
[18:30.000 --> 18:35.000]  We're here to talk about our favorite coffee.
[18:35.000 --> 18:43.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[18:43.000 --> 18:45.000]  Hands down, this is my favorite coffee.
[18:45.000 --> 18:50.000]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[18:50.000 --> 18:56.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[18:56.000 --> 19:21.000]  Available at InfowarsLife.com.
[19:27.000 --> 19:39.000]  Instead of containing fluoride, our super blue line is floated with a good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[19:39.000 --> 19:46.000]  Super blue, fluoride-free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[19:46.000 --> 19:57.000]  Nanosilver and iodine. Notice the difference with our super blue, fluoride-free products. Refresh your breath and invigorate your oral health routine at InfowarsStore.com.
[19:57.000 --> 20:20.000]  You're listening to the Alex Jones Show.
[20:20.000 --> 20:30.000]  Coming to you from the former United States of America, from deep in the heart of Texas, it's Alex Jones.
[20:30.000 --> 20:43.000]  Ladies and gentlemen, it's official. The Democrats in Chicago and Cook County are in talks with the UN to bring in armed UN peacekeeping troops in violation of the sovereignty of this nation.
[20:43.000 --> 20:58.000]  Under the Strong Cities Initiative, Obama had planned, once Hillary got in place, to actually have every major police department federalized after national riots they were going to foment and have local departments put under UN control.
[20:58.000 --> 21:16.000]  That is official. Special report, Strong Cities Network, euphemism for New World Order police force, johnboundinfowars.com, 2015. Obama administration and UN announced global police force to fight extremism in the U.S.
[21:16.000 --> 21:31.000]  Right, Bart. And then now, today, it is being announced by the UN and being announced by Cook County and by Chicago, the city that they are in talks to bring in armed United Nations.
[21:31.000 --> 21:41.000]  Just like they bring in 10 million Muslims, most of military-age males, they start raping, killing, pillaging, what they do in their own countries, in those African areas.
[21:41.000 --> 21:56.000]  One tribe's always killing the tribe next door. That's how you fight for resources. These are not civilized countries and they're bringing people from totally uncivilized areas beyond third world where there is no world.
[21:56.000 --> 22:09.000]  Central Africans are being brought up through the slave trade and then turned into Muslims and then deployed into Europe by George Soros who literally pays for it and has the Zodiac boats going back and forth doing it all day.
[22:09.000 --> 22:21.000]  Terrorism's down massively. Everything's falling apart. French mayors panic as migrants overwhelm cities, beg Macron for help. It's all there and it's all part of a plan.
[22:21.000 --> 22:31.000]  And if you show the fires, if you show the old people being beaten, if you show people pooping in the pool, if you show them raping women, YouTube, Facebook and Twitter will take it down.
[22:31.000 --> 22:41.000]  Even if it's shot at 100 yards away and just shows the racial attack, they cannot let the people know it's happening. The media is there to cover up the truth.
[22:41.000 --> 22:55.000]  It's there to victimize the population. It's there to ensure that the globalist takeover is complete. And then when everything falls apart like Chicago or like Stockholm, Sweden, who's seen a 5,000% increase in crime in just the last few years,
[22:55.000 --> 23:06.000]  90 plus percent being the Islamic invaders, when that happens, they say, oh, we got an EU army that's going to take care of that. We got an EU Navy that's going to take care of that.
[23:06.000 --> 23:14.000]  Oh, we've got a UN force that's going to take care of that. That's the plan. And it's literally happening. I mean, I got to be honest.
[23:14.000 --> 23:28.000]  First, I thought they'd put troops on the streets in Chicago and take the guns, bring in the drugs, let it all fall apart. 90 plus percent of the crime is black on black. And I'm sad that that's happening.
[23:28.000 --> 23:36.000]  But again, the media covers up all those statistics and says the effing white males are to blame.
[23:36.000 --> 23:44.000]  I guess we're to blame for the headhunters in New Guinea and the Pacific Ocean. I guess I guess we're to blame.
[23:44.000 --> 23:52.000]  For the Aztecs cutting people's hearts out. I mean, I get no, no humans have all had bad periods and humans have all come from primitive beginnings.
[23:52.000 --> 23:55.000]  There were one tribe killing other tribes in Germany.
[23:55.000 --> 24:07.000]  2000 years ago, they were living in caves. But civilization started and people decided to not live by the code of barbarism, by the code of honor and technology and science.
[24:07.000 --> 24:19.000]  And now the West is falling because the technocracy wants it out of the way and it wants a giant, dumbed down mass of people to exploit and control before the technocracy is brought in in their own words.
[24:19.000 --> 24:37.000]  Again, another thing we told you about decades ago that's happening. I remember when I was a child hearing about the UN plan of Henry Kissinger to create so much crime in LA and Chicago that finally one day we would accept UN troops on the streets.
[24:37.000 --> 24:49.000]  And then in Evion, France was it 1992? Pull up his quote because it was put in the paper. He said today no one would accept UN troops in Los Angeles.
[24:49.000 --> 24:59.000]  But if there was a big enough global crisis, they would pull up Henry Kissinger quote, um, Bilderberg Henry Kissinger quote on UN troops in America.
[24:59.000 --> 25:19.000]  Well, guess what, folks? Here it is. Here it is. Right now with all of them saying we're going to have UNESCO come in through the police departments with federal control and use the federal authority to then order police departments that we've bullied and demonized and attacked to sign
[25:19.000 --> 25:31.000]  on to strong cities and go under Southern Prairie Law Center, ADL, UN controlled, just like the WikiLeaks said they want them and control the Internet. And those are the same groups in control of Google, Facebook and Twitter censorship now.
[25:31.000 --> 25:48.000]  And they want to cover up what they're doing because they're directing the takeover. Commissioner in talks with UN to put troops on the streets of Chicago, the United Nations as a track record of protecting minority populations,
[25:48.000 --> 26:00.000]  just like the United Nations came out and sued Arpaio and things and talked about suing Texas for daring to stop illegal aliens pouring across saying you don't have a right to have borders.
[26:00.000 --> 26:10.000]  We the UN will direct the third world population with our migrant board that then orders your government on who to let in. There it is.
[26:10.000 --> 26:24.000]  1991 in Evian, France, I said 92. So my memory isn't perfect. Today, Americans would be outraged if UN troops entered Los Angeles for store order. Tomorrow, they will be grateful. This is especially true if they were told there was an outside threat from beyond,
[26:24.000 --> 26:35.000]  but the real or promulgated that threatened our very existence. It is then that all peoples of the world will pledge with world leaders to deliver them from the Siebel. The one thing every man fears is the unknown.
[26:35.000 --> 26:42.000]  When presented with this scenario, individual rights will be willingly relinquished for the guarantee of their well-being granted to them by their world government.
[26:42.000 --> 26:52.000]  Henry Kissinger, an address to Bilderberg meeting, Evian, France, May 21, 1992. You could say, oh, well, we don't know that paper that got that leak was right.
[26:52.000 --> 27:12.000]  Okay, well, here's 2017, December 19. Cook County Commissioner Richard Boykin is in talks with United Nations officials who explore the possibility of putting UN troops on the streets of Chicago to address the city's horrendous gun violence problem.
[27:12.000 --> 27:24.000]  And the UN, of course, has their unity or treaty to ban all small arms. Boykin, in citizens' hands, not, of course, they'll have it. They'll be the big mothership. They'll be the big central control.
[27:24.000 --> 27:35.000]  Boykin, the peacekeepers, flew to New York last week to meet with UN Assistant Secretary General of the Peace Building Support, Oscar Fernandez, Trenonco, to discuss the issue.
[27:35.000 --> 27:45.000]  United Nations has a track record of protecting minority populations. Boykin said before the meeting there was tribal warfare between the Tutsis and the Hutus in Africa.
[27:45.000 --> 27:54.000]  And they deployed peacekeeping troops to help save those populations and reduce bloodshed. Actually, the UN has now been caught and medically ran the mass murder of 800,000 people at least.
[27:54.000 --> 28:05.000]  The Clintons oversaw it. That's mainstream news. We have to do something. Black people in Chicago make up 30% of the population, but 80% of those who are killed by gun violence.
[28:05.000 --> 28:20.000]  Isn't that interesting that it was the UN that went in and killed the Christian minority, took their property, using the animist group to do it, that was 85% of the population, and then admittedly helped them get all rounded up and then slaughtered.
[28:20.000 --> 28:26.000]  And then, oh, we need the UN to come in because they love black people.
[28:26.000 --> 28:37.000]  Mayor Ronald Manuel did not directly address any potential role of the United Nations in Chicago when asked by reporters. The idea of deploying UN peacekeepers on U.S. soil is likely to rile many on the right who have warned about international forces conducting gun confiscation operations,
[28:37.000 --> 28:50.000]  domestically for decades, which they're saying this would be. The peacekeepers would do gun sweeps. Earlier this year, President Trump suggested deploying the National Guard in Troubillera, Chicago. This idea was firstly opposed by Democrats.
[28:50.000 --> 28:58.000]  There you go. They're in talks to bring in UN troops. Infowars.com. That'll just be the icebreaker, the president's setter.
[28:58.000 --> 29:11.000]  Hey, Daniel Brieman. Why new manna, storable foods? We believe in freedom. America needs strong, independent families to endure what's ahead. And we take this charge seriously. We got options, organic, no gluten, without the chemicals.
[29:11.000 --> 29:21.000]  Great taste and value. New manna is a no-lose investment for your family's food independence. Get your new manna today. Call 888-597-0775.
[29:21.000 --> 29:28.000]  On-line discounts available at powerprepper.com, powerprepper.com.
[29:51.000 --> 29:58.000]  10% off your purchase at bugassault.com. Makes the perfect stocking stuffer. Get your bugassault today.
[30:22.000 --> 30:28.000]  Number 3. We're giving you free shipping on all orders above $50.
[30:28.000 --> 30:34.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[30:34.000 --> 30:42.000]  Just go to infowarsstore.com, select your favorite product or products. Click on AutoShip and choose how often you want us to send you another order.
[30:42.000 --> 30:50.000]  As you know, I coined the term 360 win and with the new AutoShip feature in infowarslife.com, this is a sure win. 10% off on AutoShip.
[30:50.000 --> 30:58.000]  Win, win, win at infowarslife.com. Free shipping on orders above $50. And all out of stock items are never out of stock when you sign up for AutoShip.
[30:58.000 --> 31:16.000]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarsstore.com,
[31:16.000 --> 31:24.000]  you are funding the revolution. I mean, I cannot say it any clearer. And so it is essential that you purchase the products at infowarsstore.com.
[31:24.000 --> 31:32.000]  I don't want to thank everybody that has, but we've got the best chloride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[31:32.000 --> 31:39.000]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones. That's my dad with colloidal silver and iodine as well.
[31:39.000 --> 31:51.000]  Infowarslife.com or AAA-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[31:51.000 --> 32:09.000]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[32:21.000 --> 32:33.000]  99.99% ultra-pure deep-earth iodine crystals. This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[32:33.000 --> 32:40.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[32:40.000 --> 32:46.000]  Survival Shield X2 and Biotrue Selenium work together to support the systems in your body.
[32:46.000 --> 32:58.000]  Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and Biotrue Selenium at Infowarslife.com.
[33:16.000 --> 33:37.000]  It's Alex Jones and the GCN Radio Network.
[33:37.000 --> 33:53.000]  Ladies and gentlemen, Alex Jones here with emergency breaking news. Democrat officials in Chicago have called for UN peacekeepers on the streets for years.
[33:53.000 --> 33:57.000]  They refused to have National Guard sent in by the president.
[33:57.000 --> 34:11.000]  Now Cook County officials and others are in talks with the UN to bring in peacekeepers for gun sweeps in Chicago. That's mainstream news. It's linked up on Infowars.com.
[34:11.000 --> 34:21.000]  Matt Dubiel began frantically calling my producers. I've known Matt eight years, very nice family guy, shot the famous footage of the rioting at the Trump event in Chicago.
[34:21.000 --> 34:33.000]  It was the first report that it was paid agitators that did it. So he's a very good accurate news source. I've been the station manager there for many, many years.
[34:33.000 --> 34:41.000]  He called up Panic and I have his email. We're getting him on here in a minute. We're dialing him right now.
[34:41.000 --> 34:52.000]  As Alex started speaking, because he wasn't the station, he was driving around about Chicago air feed cut on AM FM, but no break in your feed.
[34:52.000 --> 35:01.000]  He goes in, he checks satellite. We're on it, but not on the station. The human vehicles are already here. I saw them transported by train and on rail.
[35:01.000 --> 35:05.000]  Okay. That's Matt's email to us. We just got him.
[35:05.000 --> 35:25.000]  Now you're asking how does that happen? I was working at 989 KJFK in 1996 when they put in the EAS new systems for emergency alerts that are computerized and can now have keyword and cut off your feed and then force their feed on or kill it.
[35:25.000 --> 35:37.000]  You've all heard about these emergency break-ins where it says martial law on the TV scrolling and all that kind of stuff. They go, oh, it's just a drill. And now the forced alerts on your phones and forced alerts on your TVs.
[35:37.000 --> 35:52.000]  And now televisions turn on now and do forced alerts. This is all part of this emergency alert, COG, nuclear war type scenario thing, but it can be used for martial law and deep state could use it like an operation valkyrie to try to take over all local government.
[35:52.000 --> 36:03.000]  And I remembered when I read Matt's email just three minutes ago, four months ago during the break, that I remember there's always old footage of U.N. vehicles getting refurbished and sold to third world countries that the U.S. had paid for.
[36:03.000 --> 36:16.000]  And I'm like, no, that's not a U.N. invasion. But I remember last year and this year footage going into Chicago of the big trains with the brand new armored vehicles and weapons.
[36:16.000 --> 36:29.000]  I mean, that's one of them. No, that's U.S. equipment that actually are white and say U.N. on them. And we had the guest on who got the drone footage of all the U.N. vehicles painted up and things.
[36:29.000 --> 36:40.000]  And the word was they were going to U.S. cities. Remember that? That was about a year and a half ago, too. So all this started clicking, but here's the deal. This is them calling for U.N. troops for gun confiscation.
[36:40.000 --> 36:52.000]  It's on infowars.com. So then Matt is a family guy, reporter, great source. He says he saw them come into Chicago. It is just crazy.
[36:52.000 --> 37:00.000]  But bigger than that, the feed, he's getting the satellite, but it all goes through your board, everything.
[37:00.000 --> 37:09.000]  But at the tower, whether it's at your building or whether it's at your translator, you have to have these boxes that are very expensive that come to you from the FCC.
[37:09.000 --> 37:13.000]  But it's really Homeland Security, and it's a big computer.
[37:13.000 --> 37:22.000]  And Matt Dubiel, let's go to you right now. WSCKG1530, you're on phone with us, not your normal Skype when you co-host with us.
[37:22.000 --> 37:27.000]  There's some of the footage of United Nations military vehicles in Maryland, armored vehicles.
[37:27.000 --> 37:33.000]  And the word is these were then cashed in every major city. And they thought Hillary would be in. They just go ahead with this.
[37:33.000 --> 37:41.000]  But now, Trump is in, but they're still going ahead. Wow. He tried to stabilize the city with National Guard. They said, no, thank you. We want you in.
[37:41.000 --> 37:50.000]  Matt Dubiel, this is beyond looking bad. This is absolutely horrible. And undoubtedly now they're testing us.
[37:50.000 --> 37:57.000]  I mean, Loretta Lynch said this was their plan to federalize police. And now it looks like they're going ahead with it, bringing you in.
[37:57.000 --> 38:05.000]  Matt Dubiel, again, station manager for our FM and AM for what now eight years in Chicago. What have you witnessed and what happened to the feed?
[38:05.000 --> 38:07.000]  Are we still off in Chicago right now?
[38:07.000 --> 38:15.000]  We, Alex, I mean, people are going to think I'm nuts. I don't even care because I know what's happening.
[38:15.000 --> 38:20.000]  And I know, I know, I know how this stuff works when it's supposed to work properly.
[38:20.000 --> 38:29.000]  The moment you spoke about Chicago, because I mean, it's my station, so I'm monitoring it. The moment you started talking about Chicago, I perked up and went, oh, great, this is awesome.
[38:29.000 --> 38:38.000]  We were, you know, he's talking about our hometown. We're on here. This is great. It's not just national stuff. It immediately went silent, not static, not off the air.
[38:38.000 --> 38:45.000]  They call that no carrier in radio, you know, so there's a, there's, the signal is going out, but it's complete silence.
[38:45.000 --> 38:53.000]  I told her, and I'm not at the station and I'm about to call my engineer at the station. He texted me and he tells me everything is fine.
[38:53.000 --> 39:00.000]  Everything is totally fine here. Everything is working. We're getting a feed from, from Austin that there's no power outage.
