[00:00:15.756 --> 00:00:17.263]  Tomorrow's news, today.
[00:05:40.210 --> 00:05:47.753]  It is back in stock, 40% off with free shipping and double Patreon points, and so much more at InfoWarStore.com.
[00:05:47.753 --> 00:05:51.334]  It's only six, seven days left in the biggest sale of 2021.
[00:05:52.574 --> 00:05:56.055]  Bet on freedom, bet on InfoWars, bet on yourself and get great products.
[00:05:56.055 --> 00:06:02.496]  The only way you fail is not taking action at InfoWarsStore.com.
[00:06:02.496 --> 00:06:03.037]  Big Brother.
[00:06:03.037 --> 00:06:03.957]  Mainstream media.
[00:06:03.957 --> 00:06:05.017]  Government cover-ups.
[00:06:14.483 --> 00:06:16.383]  You want answers?
[00:06:16.383 --> 00:06:18.304]  Well, so does he.
[00:06:18.304 --> 00:06:27.226]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:27.226 --> 00:06:33.307]  Germany, for over 20 months, has been under martial law lockdown.
[00:06:33.307 --> 00:06:35.308]  Germany runs the European Union.
[00:06:35.308 --> 00:06:40.689]  The European Union was a project of a man you may have heard of,
[00:06:42.279 --> 00:06:47.000]  Adolf Alois Hitler of Austria.
[00:06:47.000 --> 00:06:48.741]  That's on record.
[00:06:48.741 --> 00:07:01.243]  He also invented the Volkswagen and the modern highways and so many other things that the left doesn't want you to know about because the Nazis were a leftist movement.
[00:07:01.243 --> 00:07:03.764]  Why do I raise that point, ladies and gentlemen?
[00:07:03.764 --> 00:07:10.666]  Well, the head of the European Union, the unelected president of the Commission, that's been operating since 1956 under treaty,
[00:07:14.890 --> 00:07:17.292]  Oh yeah, people thought they were just signing a treaty back in 56.
[00:07:17.292 --> 00:07:21.875]  No, that was putting this commission over their governments.
[00:07:21.875 --> 00:07:26.498]  She announced that they need to prepare for forced inoculation EU-wide.
[00:07:26.498 --> 00:07:37.826]  I said, within a week, you will see Merkel announce forced inoculations, forced injections of the GMO, franken, plot shot, death shot.
[00:07:37.826 --> 00:07:39.808]  Well, she did it quicker than that.
[00:07:39.808 --> 00:07:42.490]  This morning, German time, about 10 hours ago,
[00:07:45.458 --> 00:07:52.204]  They announced, ladies and gentlemen, that forced injections will begin in February.
[00:07:52.204 --> 00:07:55.447]  Door-to-door with the police.
[00:07:55.447 --> 00:08:06.337]  That puts you into a database, it's total control, and obviously the shot is linked to massive cardiac problems and cancer and turns off your DNA so that you rapidly age and die.
[00:08:06.337 --> 00:08:09.379]  Bare minimum, probably get cancer, depending on the case.
[00:08:09.379 --> 00:08:10.480]  That's in mainline studies.
[00:08:12.383 --> 00:08:28.589]  This is their depopulation weapon and the police of Germany, when they follow these orders, are now walking the exact steps of where the Germans went 70 plus years ago.
[00:08:28.589 --> 00:08:34.132]  And remember the Nuremberg trials, just saying following orders did not cut it.
[00:08:34.132 --> 00:08:37.413]  Now a lot of police have joined and military have joined the protesters.
[00:08:38.424 --> 00:08:39.104]  By the millions.
[00:08:39.104 --> 00:08:44.787]  And so the majority of them don't like what's happening, so they're now bringing in special thugs and deputizing them.
[00:08:44.787 --> 00:08:48.949]  They're not wearing badges, who will then go out and try to intimidate the public.
[00:08:48.949 --> 00:08:51.710]  But this is the cover for martial law.
[00:08:51.710 --> 00:09:03.676]  I mean, if they can put in your body an experimental GMO shot that makes you sick and kills you, if they can censor everybody that's against it, if they can shut down all the businesses that they say are non-essential, that will collapse civilization into their control.
[00:09:05.538 --> 00:09:10.705]  And so what you see happening in Germany and Australia and everywhere is coming here.
[00:09:10.705 --> 00:09:14.370]  And Biden is set to announce more draconian controls today.
[00:09:15.626 --> 00:09:18.527]  In fact, let's get that clip ready and we'll play it here in just a moment.
[00:09:18.527 --> 00:09:19.487]  Alert.
[00:09:19.487 --> 00:09:28.711]  Fox's Peter Doocy says that today the White House plans to announce some of the strictest COVID restrictions on Americans yet.
[00:09:28.711 --> 00:09:31.672]  But they're not COVID restrictions.
[00:09:31.672 --> 00:09:36.514]  They are the cover, the training wheels for martial law.
[00:09:36.514 --> 00:09:39.515]  And now, as you can see, the training wheels are coming off.
[00:09:40.743 --> 00:09:45.789]  Forced injection in your homes, no matter how many times the media says, oh, it used to happen in the past.
[00:09:45.789 --> 00:09:46.410]  That's not true.
[00:09:46.410 --> 00:09:52.016]  A few areas in the South tried it on black people in the 20s at the height of eugenics.
[00:09:52.016 --> 00:09:54.739]  And that later was outlawed in those areas.
[00:09:54.739 --> 00:09:56.541]  So yeah, bad things have been done before.
[00:09:56.541 --> 00:09:58.964]  Doesn't mean that because bad things were done before, they can do it again.
[00:10:00.316 --> 00:10:04.559]  They already tried this before, ladies and gentlemen, and again, it has nothing to do with protecting you.
[00:10:04.559 --> 00:10:06.880]  It's all about power and control over your body.
[00:10:06.880 --> 00:10:14.946]  You can argue that real vaccines can actually help people, and when they're not tainted and not toxic, they have 100% efficacy in many cases.
[00:10:14.946 --> 00:10:15.867]  These are not vaccines.
[00:10:15.867 --> 00:10:17.408]  They erase your immunity.
[00:10:17.408 --> 00:10:22.951]  And I know this audience knows that, but the mere act and the power and the control
[00:10:23.962 --> 00:10:33.386]  of being able to roll something out that hurts people publicly, and they still get away with it, gives them total, absolute dominance.
[00:10:33.386 --> 00:10:44.391]  And from there, they are going to bankrupt all the major private banks, all the private industry, and consolidate it under the Great Reset in their own words.
[00:10:44.391 --> 00:10:49.734]  Also, there is a standoff going on at the New York police standoff.
[00:10:50.998 --> 00:10:54.734]  New York Police's standoff with armed man at United Nations HQ.
[00:10:57.597 --> 00:10:59.338]  We do have some sources in the SWAT team.
[00:10:59.338 --> 00:11:00.419]  I'll leave it at that.
[00:11:00.419 --> 00:11:01.500]  We've got some calls out.
[00:11:01.500 --> 00:11:06.303]  Heavily armed New York City police have surrounded the area outside the U.N.
[00:11:06.303 --> 00:11:10.125]  headquarters on East River and are reportedly negotiating the person carrying a gun.
[00:11:10.125 --> 00:11:16.269]  The NYPD has issued a traffic alert for the intersection of 42nd Street and First Avenue right outside the U.N.
[00:11:16.269 --> 00:11:20.572]  HQ and said the public should expect emergency vehicles in the surrounding area.
[00:11:20.572 --> 00:11:22.974]  So we'll continue to watch that as it unfolds.
[00:11:22.974 --> 00:11:24.675]  There's some of the footage of
[00:11:26.547 --> 00:11:31.829]  What's happening now that Newsmax happened to have a reporter on the ground?
[00:11:31.829 --> 00:11:43.953]  Literally 50 yards down from where you see those police, up the road north there, they have big banners up saying, soon you will own nothing and have nothing.
[00:11:43.953 --> 00:11:46.995]  And soon you will not live in a city, you will live in a commune.
[00:11:46.995 --> 00:11:51.936]  And then it shows like concrete bunkers that people live in.
[00:11:51.936 --> 00:11:53.297]  Just shows you something dystopian.
[00:11:53.297 --> 00:11:56.018]  It says this is good to normalize it.
[00:11:58.359 --> 00:11:59.320]  So here's the headlines.
[00:11:59.320 --> 00:12:02.843]  Germany imposes national lockdown on non-injected.
[00:12:02.843 --> 00:12:08.668]  Oh, but the other people that have their travel passes, the good little slaves, they get to go outside.
[00:12:08.668 --> 00:12:09.449]  But the key is...
[00:12:10.745 --> 00:12:17.947]  Buried in that is Merkel, the outgoing dictator's comments, announces nationwide lockdown for the unvaccinated, total discrimination.
[00:12:17.947 --> 00:12:27.210]  Germany on Thursday announced a nationwide lockdown for the unvaccinated as its leaders backed plans for mandatory vaccinations in the coming months.
[00:12:27.210 --> 00:12:33.212]  Unvaccinated people will be banned from accessing all but the most essential businesses such as supermarkets and pharmacies.
[00:12:34.039 --> 00:12:45.664]  To curb the spread of coronavirus, oh yes, outgoing Chancellor Angela Merkel with her successor Olaf Scholz announced Thursday following crisis talks with regional leaders.
[00:12:45.664 --> 00:12:52.507]  Oh, they've got way more deaths and way more illnesses, they say, from COVID than they did last year, and their hospitals are now actually full.
[00:12:54.096 --> 00:13:04.023]  And the German statistics out of their own government say the majority are the vaccinated and they're twice as likely to die of COVID or other illnesses if you're, quote, double vaxxed.
[00:13:04.023 --> 00:13:08.285]  And now Germany says you got to take a third or a fourth.
[00:13:08.285 --> 00:13:09.746]  You're like, well, that's the death of logic.
[00:13:09.746 --> 00:13:13.749]  Even if this stuff worked, you shouldn't make us take it.
[00:13:13.749 --> 00:13:20.714]  But you see, they want that power and just to drive you into total and complete submission now.
[00:13:20.714 --> 00:13:22.635]  So let's put up the show headline for everybody.
[00:13:24.332 --> 00:13:32.675]  Because what's incredible is every time they roll out more controls, they always bury their real aim in the article.
[00:13:32.675 --> 00:13:34.955]  The big story is not lockdown tubing here.
[00:13:34.955 --> 00:13:36.756]  I've been telling you that's coming for a long time.
[00:13:36.756 --> 00:13:37.956]  You could tell it was.
[00:13:37.956 --> 00:13:47.339]  It was put in the anti-terrorism legislation and the anti-terrorism executive orders that Biden signed in June saying the main threat is people protesting lockdowns.
[00:13:47.339 --> 00:13:50.340]  Gee, what do you think's coming?
[00:13:50.340 --> 00:13:52.120]  The Fourth Reich is here.
[00:13:52.120 --> 00:13:53.961]  Germany announces new lockdowns.
[00:13:57.256 --> 00:14:04.677]  Forced injections to start February 1st.
[00:14:04.677 --> 00:14:17.219]  Germany has now taken full control of the European Union and has announced plans to force COVID injections on the public.
[00:14:17.219 --> 00:14:25.301]  Again, Germany has now taken full control of the European Union and has announced plans for forced COVID injections to begin
[00:14:26.812 --> 00:14:28.973]  Continent-wide.
[00:14:28.973 --> 00:14:30.653]  Today, Deutschland.
[00:14:30.653 --> 00:14:32.314]  Tomorrow, the world.
[00:14:32.314 --> 00:14:40.436]  Meanwhile, in the U.S., Biden is set to follow suit by launching new draconian restrictions today.
[00:14:40.436 --> 00:14:41.457]  Tune in.
[00:14:41.457 --> 00:14:43.017]  Spread the link.
[00:14:43.017 --> 00:14:44.378]  It's an exact program.
[00:14:44.378 --> 00:14:46.238]  It's an exact operation.
[00:14:46.238 --> 00:14:54.681]  They squeeze, squeeze, squeeze, squeeze, squeeze, squeeze, squeeze, then say, oh, just take the shots, take the digital ID, take the vaccine passport, take the social credit score, and you'll be free.
[00:14:55.598 --> 00:15:00.920]  And then those that comply are given a little bit of room, but then they clamp back down even more.
[00:15:00.920 --> 00:15:05.462]  And then those that don't submit are totally locked up and taken to camps.
[00:15:05.462 --> 00:15:15.386]  The CDC's own website has the shielding operation, where they say they're going to lock down every town, every city, and have armed block captains that control where you can go and what you can do.
[00:15:15.386 --> 00:15:19.147]  We are literally going to have communists running around pointing weapons at us.
[00:15:19.147 --> 00:15:23.669]  And most of your gun owners, when they do it, will actually give them the guns and
[00:15:24.528 --> 00:15:26.789]  Say, would you like to have my children?
[00:15:26.789 --> 00:15:29.931]  I mean, that's who America's become.
[00:15:29.931 --> 00:15:35.474]  But not everyone has become this, ladies and gentlemen.
[00:15:35.474 --> 00:15:38.336]  Not everyone has bowed down to all of this.
[00:15:38.336 --> 00:15:43.959]  But they are taking microchips in Europe under government auspices, in Sweden and other countries.
[00:15:43.959 --> 00:15:45.940]  There's footage on screen.
[00:15:45.940 --> 00:15:48.862]  If you really want to be cool and trendy, you get your vaccine pass right in your hand.
[00:15:49.787 --> 00:15:53.210]  There's just so many injections, so many violations, so much rape.
[00:15:53.210 --> 00:15:58.374]  They want control over our bodies to force us into the metaverse.
[00:15:58.374 --> 00:16:04.018]  If you're concerned about the power grid and... We have launched the most important sale of the year.
[00:16:04.018 --> 00:16:09.543]  Because now we've got a bunch of great products that have been sold out for months and months and months back in stock.
[00:16:09.543 --> 00:16:09.683]  So...
[00:16:10.902 --> 00:16:21.335]  Right now, the real Black Friday sale is beginning, and it's only going to run until the end of the month, and that's now only six, seven days.
[00:16:21.335 --> 00:16:25.280]  InfoWars store official Black Friday special has arrived.
[00:16:26.101 --> 00:16:27.702]  Ladies and gentlemen, people love it.
[00:16:27.702 --> 00:16:28.942]  It's our best seller.
[00:16:28.942 --> 00:16:30.642]  Vitamin Mineral Fusion.
[00:16:30.642 --> 00:16:36.764]  All the vitamins, all the minerals, all the T-amino acids, everything you need for your immune system and your body.
[00:16:36.764 --> 00:16:38.145]  And it tastes great.
[00:16:38.145 --> 00:16:39.985]  And it funds the InfoWar.
[00:16:39.985 --> 00:16:44.447]  It is back in stock 40% off with free shipping and double Patreon points.
[00:16:44.887 --> 00:16:47.530]  And so much more at InfoWarsStore.com.
[00:16:47.530 --> 00:16:52.355]  It's only six, seven days left in the biggest sale of 2021.
[00:16:52.355 --> 00:16:55.859]  Bet on freedom, bet on InfoWars, bet on yourself and get great products.
[00:16:55.859 --> 00:16:59.863]  The only way you fail is not taking action at InfoWarsStore.com.
[00:17:00.003 --> 00:17:04.847]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:17:04.847 --> 00:17:06.909]  I wanted to stop their agenda.
[00:17:06.909 --> 00:17:12.393]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:17:12.393 --> 00:17:13.494]  But we failed.
[00:17:13.494 --> 00:17:15.156]  Yes, a lot of people are awake.
[00:17:15.156 --> 00:17:16.657]  Yes, we're not getting caught flat-footed.
[00:17:16.997 --> 00:17:23.020]  But they are going ahead with their full operational deindustrialization, Great Reset.
[00:17:23.020 --> 00:17:31.945]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:17:31.945 --> 00:17:37.468]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:17:37.468 --> 00:17:40.049]  And one of the number one things to do is high quality, storable food.
[00:17:40.049 --> 00:17:42.871]  We've got the best food ready to ship at very affordable prices.
[00:17:43.231 --> 00:17:43.951]  What are champions made of?
[00:17:43.951 --> 00:17:45.112]  Here's a man who can show you.
[00:18:12.674 --> 00:18:14.336]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[00:18:14.336 --> 00:18:15.997]  AAA-253-3139, AAA-253-3139, AAA-253-3139, is the InfoWars store hotline!
[00:18:15.997 --> 00:18:17.379]  AAA-253-3139, is the InfoWars store hotline!
[00:18:17.379 --> 00:18:20.101]  AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139, AAA-253-3139
[00:18:30.331 --> 00:18:32.272]  That's InfoWarsStore.com.
[00:19:01.067 --> 00:19:08.111]  I have the greatest sense of loss deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[00:19:08.111 --> 00:19:09.932]  I've had a lot of loss.
[00:19:09.932 --> 00:19:10.752]  Everybody else has.
[00:19:10.752 --> 00:19:24.620]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[00:19:24.620 --> 00:19:26.361]  And now we're just throwing it all away.
[00:19:28.351 --> 00:19:37.019]  And I see the general public in a medically-induced, scientifically-induced, behavioral, psychologically-controlled trance.
[00:19:37.019 --> 00:19:41.424]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[00:19:41.424 --> 00:19:51.133]  But this is the process of birth, and then growth, and then falling apart, and then degenerating and collapsing, and then coming back to life again.
[00:19:52.270 --> 00:20:01.632]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[00:20:01.632 --> 00:20:10.874]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:10.874 --> 00:20:14.075]  Here we are, on planet Earth.
[00:20:20.004 --> 00:20:23.887]  Staring into infinity.
[00:20:23.887 --> 00:20:26.048]  I'm your host Alex Jones, very honored to be here.
[00:20:26.048 --> 00:20:33.794]  Alright, I reached out to our sources that are on the ground in New York, and they said that it appears to be somebody trying to be suicided by a cop.
[00:20:33.794 --> 00:20:34.955]  They don't know what's in the, uh...
[00:20:36.254 --> 00:20:36.354]  Okay.
[00:20:36.354 --> 00:20:37.495]  Here's what's going on.
[00:20:37.495 --> 00:20:38.596]  We have a really interesting lady
[00:21:06.997 --> 00:21:16.145]  Joining us in the second hour, I had a chance to meet her in person in San Antonio a few weeks ago, General Flynn, Melissa Tate.
[00:21:16.145 --> 00:21:21.370]  And I think that she's one of the smartest young women out there fighting the globalists.
[00:21:21.370 --> 00:21:25.334]  She also grew up in an African country that was a paradise.
[00:21:26.266 --> 00:21:32.147]  Until the authoritarian communists took over to describe what that was like coming up next hour.
[00:21:32.147 --> 00:21:46.310]  Then I'm gonna open the phones up in the third hour, the entire third hour, and then the Kate Daly takes over in the fourth hour ahead of Owen Schroyer today.
[00:21:46.310 --> 00:21:49.811]  The time that we're in is so insanely important that
[00:21:52.177 --> 00:21:57.081]  I think it's very, very central to be calm about this and really let things sink in.
[00:21:57.081 --> 00:22:00.403]  Now, when I give you that advice, I'm giving myself that.
[00:22:00.403 --> 00:22:03.566]  You saw me get really angry yesterday and get upset.
[00:22:03.566 --> 00:22:05.027]  And that was very real.
[00:22:05.027 --> 00:22:13.153]  And that was me passionately trying to fight these people as much as I can with the truth and with the information and with the oratory skills.
[00:22:13.153 --> 00:22:15.235]  And it certainly has its place in motivating people.
[00:22:15.235 --> 00:22:20.739]  But we need to just sit back and really decide what we're going to do and then start taking action.
[00:22:22.042 --> 00:22:42.152]  Because the images of Obama and Fauci going to public schools with big lines of elementary students looking scared, staring up at the monsters while they helped the, quote, nurses, the executioners, the medical workers, inject them with the evil GMO garbage.
[00:22:42.152 --> 00:22:44.093]  So I was already upset seeing that in the morning.
[00:22:44.093 --> 00:22:49.996]  And then I read about how they're announcing forced inoculations and dictatorship in Europe and how that's the same crew running the whole planet.
[00:22:52.336 --> 00:23:01.807]  And witnessing then people escaping camps and checkpoints in Australia and then...
[00:23:03.038 --> 00:23:21.724]  The first 30 pages of 500 a month order to be released by a federal judge of Pfizer and the FDA, and the first 30 pages say thousands of deaths, massive increases in miscarriages, thousands of miscarriages, blood clots, heart attacks, and they tried to suppress that.
[00:23:21.724 --> 00:23:24.085]  We already knew that, we could see it happening, but...
[00:23:24.685 --> 00:23:32.207]  To know that they know, and then they knew this in February, because they're only releasing stuff from the second half of January.
[00:23:32.207 --> 00:23:34.307]  Remember, the shot started mid-January.
[00:23:34.307 --> 00:23:42.449]  So they released two weeks of data of adverse reactions, or adverse events, AEs.
[00:23:42.449 --> 00:23:45.750]  And I should just only be covering that here today, again.
[00:23:45.750 --> 00:23:48.330]  But, oh, they just hope we glaze over it, and then that's it.
[00:23:48.330 --> 00:23:50.271]  No, these are murderers.
[00:23:50.271 --> 00:23:51.011]  These are criminals.
[00:23:52.884 --> 00:24:06.606]  And when you watch the children scared in the videos of Obama and Fauci, I mean, and their parents clutching them and holding them, it's like watching a crocodile walk over and, you know, grab a kid at Disney and drag it into the pond and eat it.
[00:24:06.606 --> 00:24:09.807]  But it's going to be done in slow motion.
[00:24:09.807 --> 00:24:12.528]  So, this just tears my guts out.
[00:24:12.528 --> 00:24:16.788]  And we're going to be breaking it down today.
[00:24:16.788 --> 00:24:18.029]  But let me do this.
[00:24:18.029 --> 00:24:19.029]  This is a shorter segment.
[00:24:19.029 --> 00:24:20.269]  A longer segment is about to come up.
[00:24:22.156 --> 00:24:31.762]  I'm going to talk about something when we come back that if you do it, and if I do it, we're going to win very quickly.
[00:24:31.762 --> 00:24:36.845]  And Tucker Carlson understands this, and that's why he's a leader.
[00:24:36.845 --> 00:24:47.511]  Tucker Carlson did not go on TV last night and endorse me because he wanted to just fawn over Alex Jones.
[00:24:47.511 --> 00:24:49.012]  He signed as John Hancock.
[00:24:50.267 --> 00:24:52.548]  On the Declaration of Independence 2.0.
[00:24:52.548 --> 00:24:58.852]  And the way you do that is say Alex Jones was right.
[00:24:58.852 --> 00:25:01.313]  That's the revolutionary, I am Spartacus.
[00:25:01.313 --> 00:25:06.656]  When they came to find Spartacus to kill him, you know, the gladiator slave revolt leader, he'd already been killed.
[00:25:06.656 --> 00:25:09.578]  They didn't know it, the Romans.
[00:25:09.578 --> 00:25:11.659]  We're killing thousands of people saying, tell us where he is.
[00:25:11.659 --> 00:25:13.560]  And they kept saying, I'm Spartacus.
[00:25:13.560 --> 00:25:14.341]  I'm Spartacus.
[00:25:14.341 --> 00:25:15.261]  I'm Spartacus.
[00:25:15.261 --> 00:25:17.462]  It's not Alex Jones he's talking about.
[00:25:17.462 --> 00:25:18.203]  It's all of us.
[00:25:19.215 --> 00:25:20.917]  It's populism.
[00:25:20.917 --> 00:25:27.222]  And so, they ridicule me, they lie about me, they sue me, they demonize me, they attack my family.
[00:25:27.222 --> 00:25:29.084]  I understood that.
[00:25:29.084 --> 00:25:32.847]  And I believed that other men and women would see what was happening and stand up.
[00:25:32.847 --> 00:25:37.271]  And I could be an example to others of perseverance.
[00:25:38.274 --> 00:25:48.276]  And so Tucker is better spoken than I, and more focused than I, and he does a wonderful, fabulous, very populist, very liberal show.
[00:25:48.276 --> 00:25:51.957]  Classical liberal, not modern leftist.
[00:25:51.957 --> 00:25:55.118]  And he understands that.
[00:25:55.118 --> 00:25:58.999]  Just like Joe Rogan went on air two weeks ago and said, Alex Jones is always right.
[00:25:58.999 --> 00:26:00.880]  Well, I'm really right most of the time.
[00:26:00.880 --> 00:26:06.461]  But it's a saying just to say, in the general main, I'm dead on.
[00:26:07.859 --> 00:26:17.762]  And when people adopt my perspective, it's not my view or what I said was going on so it magically popped out.
[00:26:17.762 --> 00:26:23.204]  When people actually look at things from the angle I'm looking at and go, oh my God, they're going to see everything.
[00:26:24.588 --> 00:26:29.089]  And I'm going to show you some footage when we come back before I play the Tucker Carlson to really illustrate this.
[00:26:29.089 --> 00:26:39.813]  And if you're a radio listener, I really want you to go to Band.Video or Infowars.com forward slash show to the Alex Jones section and get the live feed so you can see this for yourself.
[00:26:39.813 --> 00:26:47.355]  Because this is an allegory and a parallel that really explains everything.
[00:26:47.355 --> 00:26:53.077]  There's something we're going to show you in the Florida Everglades that is a perfect analogy.
[00:26:54.554 --> 00:26:56.476]  And it ties into Tucker Carlson and everything that's happening.
[00:26:56.476 --> 00:27:09.706]  And if you do this mind trick with yourself, you can get control of your mind, like Elon Musk has been talking about, by removing their software and then operating on the software God originally gave you.
[00:27:09.706 --> 00:27:12.027]  Also, I want to thank the listeners for your support.
[00:27:12.027 --> 00:27:21.555]  When you buy books and films and water filters and air filters and shortwave radios and other survival gear at infowarestore.com, you are funding the very tip of the spear and changing the world.
[00:27:21.555 --> 00:27:23.877]  So, the success I've had is your success.
[00:27:24.909 --> 00:27:25.890]  We are a family.
[00:27:25.890 --> 00:27:33.759]  This is a wonderful time, despite its pain, because it's really showing us who's good and who's bad.
[00:27:33.759 --> 00:27:34.780]  It was the best of times.
[00:27:34.780 --> 00:27:36.262]  It was the worst of times.
[00:27:36.262 --> 00:27:37.083]  A Tale of Two Cities.
[00:27:38.817 --> 00:27:47.583]  But now, with all the things the globalists are doing and all the things they're up to, it's time to boost your immune system and fund the InfoWar, a 360 win, all at the same time.
[00:27:47.583 --> 00:27:53.607]  Vitamin Mineral Fusion, back in stock, free shipping, double patriot points, 40% off.
[00:27:53.607 --> 00:27:56.448]  Storewide free shipping at InfoWarStore.com.
