[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[04:47.920 --> 04:52.920]  Not a bunch of guys, you know, white guys and cowboy hats like Robert Rodriguez would have you believe.
[04:52.920 --> 04:53.920]  Stay with us, folks.
[04:53.920 --> 04:59.920]  I'm going to launch into MSM pushing big time openly for the murder of President Trump.
[04:59.920 --> 05:04.920]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies.
[05:04.920 --> 05:06.920]  They're vowing to take it all the way to the courts.
[05:06.920 --> 05:17.920]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order as President Trump's executive order is said to block federal funding to Sanctuary City's just like New York.
[05:17.920 --> 05:27.920]  De Blasio is saying that it's very susceptible to legal challenge and he's promising to take it to the court immediately for an injunction to stop the order if an attempt to pull funds from the city is made.
[05:27.920 --> 05:33.920]  He goes on to say, if they make an attempt to pull that money, it would be from the NYPD, from security funding to fighting terrorism.
[05:33.920 --> 05:35.920]  Of course, we know that simply isn't true.
[05:35.920 --> 05:43.920]  The president is trying to enforce the law of the land and say that these rogue cities have no right to give benefits to people that are here illegally.
[05:43.920 --> 05:53.920]  On Wednesday, Trump signed an order to stop federal funds from going to these cities from New York to San Francisco that have policies limiting cooperation with federal immigration enforcement agencies.
[05:53.920 --> 05:58.920]  I'm Margaret Howe reporting for infowars.com.
[06:23.920 --> 06:30.920]  You should have when you talk to people that have been using this actually testing for years, people that currently are testing for us, they didn't just say outstanding, what they really say about them.
[06:30.920 --> 06:37.920]  They want to know how do they get it, where do they find it. A lot of my law enforcement official buddies want to know the same thing.
[06:37.920 --> 06:41.920]  The backpack body armor is only $200.
[06:41.920 --> 06:46.920]  I mean, it's unbelievable. It's a quarter inch thick. It's got a 20 year warranty, it's waterproof, you can wear it, it's comfortable.
[06:46.920 --> 06:48.920]  And we shot everything you can imagine of it.
[06:48.920 --> 06:54.920]  Again, fund the info war, get the game changing, nanotech tubes, it's a win-win, $200.
[06:54.920 --> 07:19.920]  Go check out all their different products at infowars.com. It's amazing.
[07:19.920 --> 07:32.920]  You name it, we have it all at infowarsstore.com. And for a limited time, info wars selects storeable foods that are the highest quality, longest lasting, produced right here in the U.S. foods are 30 to 40% off retail.
[07:32.920 --> 07:39.920]  We only do this special twice a year. You get super high quality, storeable foods that are fresh the last 25 years. You're prepared, you're ready.
[07:39.920 --> 07:48.920]  That key area is taken care of, it's insurance you can eat. You are getting an amazing deal on it and you are funding the very tip of the spear in the fight against the globalist.
[07:48.920 --> 07:56.920]  Bottom line, it's time to get prepared. So for a limited time, 40 to 30% off all the info wars selects storeable food at infowarsstore.com.
[07:56.920 --> 08:19.920]  Go check out all their different products at infowarsstore.com.
[08:19.920 --> 08:43.920]  The globalist only fired once. They may have wounded.
[08:43.920 --> 09:07.920]  I'm going to love the high woman.
[09:07.920 --> 09:17.920]  Wow. Trump is delivering on so much of what he claimed he was going to do that it's dizzying right now.
[09:17.920 --> 09:40.920]  And his approval rating even in the skewed Gallup poll which they admit mainly targets the elderly and mainline TV watchers which skews heavily towards the Democrats shows he's already at 59% up from 57 last Friday up from 49 just a month ago.
[09:40.920 --> 09:53.920]  So you look at how they're skewing. He's been as low as 41%. You look at how they're skewing it. This means his approval ratings more like 70%. Amazing.
[09:53.920 --> 10:14.920]  Most of the quote minorities I speak to, whether they be upper class, working class, poor, go, no, I really like Trump. I think it's all lies that they said about him. But man, you know, I've got friends and family get mad at me about saying anything.
[10:14.920 --> 10:28.920]  But I'm going to tell you something folks. Ron Paul talked about it yesterday and he's been dead on. The IMF, the World Bank, all of them are cutting stimulus next month. They're ending the QE globally.
[10:28.920 --> 10:40.920]  Now remember that was only done for them. Trillions and trillions and trillions and trillions of liquid liquidity with 0% interest was given to them. Sometimes pure bailouts just pure cash.
[10:40.920 --> 10:49.920]  But it's the same thing when you're a big mega bank and you give yourself and your subsidiaries backed up by taxpayers 0% money.
[10:49.920 --> 11:05.920]  Then they go out and loan us to the public for five, 10, 15, 20, 30, 40 points. Some of these rates are loan sharking. They take 0% interest and go out and give you payday loans at 25%. This is madness.
[11:05.920 --> 11:16.920]  25% a month in some cases. I mean, they've changed laws all over the country and all over Europe to allow loan sharking, ladies and gentlemen, feeding on poor people.
[11:16.920 --> 11:29.920]  Trump is moving to announce initiatives to try to stop that. Trump is ending incentives and bailouts for the real estate market.
[11:29.920 --> 11:39.920]  And the Von Mies Institute is really praising him. Ron Paul praised him yesterday and said, no, he's doing just the right thing for the economy. Just the right thing.
[11:39.920 --> 11:44.920]  And Paul's eyes lit up like I've never seen him light up before.
[11:44.920 --> 11:54.920]  Except the time Sasha Cohen, Baron, whatever his name is, tried to have sex with him in a hotel room. He said, I'm going to beat the hell out of you. Get the hell out of my way.
[11:54.920 --> 12:03.920]  He lit up then, boy, I got ready to kick some butt. But they started talking about Trump really doing just the right thing to try to supercharge the economy and save it.
[12:03.920 --> 12:16.920]  Paul's eyes lit up because he realizes what a desperate situation this is. You see, the globalists gave themselves all the money for now, what, nine years at 0% interest.
[12:16.920 --> 12:26.920]  Now, they are cutting it because they don't want the public to actually get any of it because Trump is normally not for 0% interest rates.
[12:26.920 --> 12:38.920]  But he wants to keep them like that or close that for a while to actually get the money out of the public and have the big banks basically under order, loaned to the people to try to jumpstart things before we go over the edge of a cliff.
[12:38.920 --> 12:51.920]  The problem is he doesn't control the IMF particularly. And they are cutting their forecast. They are trying to dial things back. They're trying to do everything they can to put breaks on this economy.
[12:51.920 --> 13:07.920]  And coming up today, let me see what time he's coming on, Harry Dent's on the third hour. We're going to see if he thinks the Trump effect can pull us out of this global spiral that the globalists have had scheduled for a long time for this year.
[13:07.920 --> 13:16.920]  So we're far from out of the woods right now. And as Ron Paul said, if the economy goes down, it is not Trump's fault. Obviously, he just got in.
[13:16.920 --> 13:28.920]  He's doing everything he can like an airplane pilot where the pilot has a heart attack and there's no co-pilot and the stewardess comes back and says, can someone fly the plane?
[13:28.920 --> 13:35.920]  And Trump gets up and says, yes, I can fly the plane. The question is by then, it's nose diving. Can he pull it up?
[13:35.920 --> 13:47.920]  Well, Soros, who has been publicly betting against the United States for decades and who has been naked shorting stock market, has everything he's got bet on this.
[13:47.920 --> 13:58.920]  And guess what? It got magically leaked out of the Dutch regulators' computer system. Dutch regulator, this is Bloomberg, accidentally posts Soros' short positions.
[13:58.920 --> 14:06.920]  Yeah, no, the major patriot intelligence agencies are moving against Soros and there's marches against him happening all over the world.
[14:06.920 --> 14:13.920]  Millions have been marching in different Eastern European countries against what they call the Soros Evil.
[14:13.920 --> 14:25.920]  And now his positions have been released and it turns out he was betting against America, betting against the West, and it's been blowing up in his ugly, evil face.
[14:25.920 --> 14:33.920]  It's been blowing up in this goblin's face and it's beautiful. That's all coming up.
[14:33.920 --> 14:50.920]  Now, I want to praise Trump because I know he's for real and I know that he's been an incredible straight shooter and it's very refreshing to see a statesman instead of a politician, someone who does what they say they'll do.
[14:50.920 --> 15:00.920]  Trump has kept his promise on everything he said he would do so far and is trying to launch this agenda immediately and has added two trillion dollars now.
[15:00.920 --> 15:13.920]  Oh, it's up to two trillion according to Bloomberg. Since he was president-elect, now he's been president for less than six days and it's dizzying.
[15:13.920 --> 15:23.920]  They've got CNN and all the rest of Washington Post coming out saying, oh, it's Hitler. Any stock market surge is Hitler. Everything's Hitler.
[15:23.920 --> 15:34.920]  But they're a global authoritarian program. But there's one thing Trump has not kept his promise on and I say that tentatively because we're going to see.
[15:34.920 --> 15:47.920]  But so far, he has reversed himself at least verbally when it comes for calls for Hillary to be locked up or the fact that Hillary should be in jail.
[15:47.920 --> 15:54.920]  Now, bottom line, I believe Trump is going to do the right thing and not try to block sessions or others doing their job.
[15:54.920 --> 16:10.920]  But here's the big news. Clearly, if it looks like candidate Trump was calling for her to be locked up, which is a common sense prima facie fact on his face, then they'll use that to say, oh, he's just doing this to be political.
[16:10.920 --> 16:18.920]  That's why he needs to say now, hey, we need to try to mend fences, come together and move forward.
[16:18.920 --> 16:26.920]  Is because yes, justice must be done. I believe he won't stand the way of justice, but he needs to recuse himself publicly from the process.
[16:26.920 --> 16:31.920]  But if he doesn't, then he would have broken a major promise.
[16:31.920 --> 16:39.920]  And plus he shouldn't be involved blocking justice. We need to see her foundation, her cronies and Hillary investigated and clearly prosecuted.
[16:39.920 --> 16:51.920]  And coming up, we have Senator Sessions and his confirmation hearings saying when she is basically prosecuted, I will recuse myself. He didn't say if she is. That's a big tell right there.
[16:51.920 --> 16:59.920]  But the crimes are so ultra massive, they thought that they could just commit them.
[16:59.920 --> 17:08.920]  And that because they were so big, they'd be too big to prosecute, like too big to fail. Like they said, if you're going to steal, steal big.
[17:08.920 --> 17:20.920]  But I'll say this, this is a reversal and this is Trump on the surface breaking a promise because he said you ought to be in jail. I'll call for a prosecutor.
[17:20.920 --> 17:30.920]  Let's go ahead and play this compilation of him back during the debates with the mic drop moments of saying, yeah, you bet I shouldn't be in office because if I am in office, you'll be in jail. Here it is.
[17:30.920 --> 17:40.920]  You know, it is. It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country because you'd be in jail.
[17:40.920 --> 17:44.920]  Secretary Clinton.
[17:44.920 --> 18:03.920]  When you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 emails that you deleted and that you acid washed and then the two boxes of emails and other things last week that were taken from an
[18:03.920 --> 18:21.920]  office and are now missing. And I'll tell you what, I didn't think I'd say this, but I'm going to say it and I hate to say it. But if I win, I am going to instruct my attorney general to get a special prosecutor to look into your situation
[18:21.920 --> 18:35.920]  because there has never been so many lies, so much deception. There has never been anything like it. And we're going to have a special prosecutor. When I speak, I go out and speak, the people of this country are furious.
[18:35.920 --> 18:45.920]  In my opinion, the people that have been long term workers at the FBI are furious. There has never been anything like this where emails and you get a subpoena.
[18:45.920 --> 18:56.920]  You get a subpoena and after getting the subpoena, you delete 33,000 emails and then you acid wash or bleach them, as you would say, a very expensive process.
[18:56.920 --> 19:06.920]  So we're going to get a special prosecutor and we're going to look into it because you know what, people have been, their lives have been destroyed for doing one-fifth of what you've done.
[19:06.920 --> 19:07.920]  That's right.
[19:07.920 --> 19:10.920]  It's a disgrace. And honestly, you ought to be ashamed of yourself.
[19:10.920 --> 19:16.920]  The president, you bring up Hillary Clinton, you had her stand up at Tatuary Hall and said some very kind things about her.
[19:16.920 --> 19:18.920]  She fought hard. She fought hard.
[19:18.920 --> 19:19.920]  This is the last night.
[19:19.920 --> 19:20.920]  I think it's done.
[19:20.920 --> 19:22.920]  Any investigations into Hillary Clinton?
[19:22.920 --> 19:29.920]  I just don't know. I mean, I hope so. And from my standpoint, we want to move on to the future. So I hope so.
[19:29.920 --> 19:35.920]  I don't know what the status of that is. I know it's a lot of very serious stuff, but I certainly hope so.
[19:35.920 --> 19:43.920]  So he doesn't completely break with his promise. He says, oh, yes, he fought hard. I sure hope so. I don't know the status of those things.
[19:43.920 --> 19:49.920]  I'm not involved in those things. I think he's going to deliver on this as well. It's the nature of Trump.
[19:49.920 --> 20:02.920]  He's also somebody that if you attack him, lie about him and come after his family, like the press, she still commands and Soros still commands and attack his wife and attack his son and others.
[20:02.920 --> 20:04.920]  He's coming after you.
[20:04.920 --> 20:13.920]  And by he's coming after you, he's recused himself and Sessions says he's going to recuse himself as well when there is a prosecution.
[20:13.920 --> 20:22.920]  Because Hillary has been caught in lies to Congress, massive fraud, the stand down in Benghazi, the list goes on and on, getting money from Assadi Arabians.
[20:22.920 --> 20:32.920]  And I want to see it brought out. I want to see them broken because they're not stopping and they've created a giant army of mentally ill cultists
[20:32.920 --> 20:46.920]  who want race war in this country. They're a bunch of mentally ill, twisted, near do well white people trying to bully and whip mainly black folks and Hispanics into hating white people.
[20:46.920 --> 20:55.920]  I mean, everyone up their campaign to be DNC chair are making the most racist statements about how we don't need white people at the top of the Democratic Party.
[20:55.920 --> 21:03.920]  Or, well, I'm white elect me because I'll keep the whites in line and make sure they don't get privilege. I'll shut them up and make sure you get privilege.
[21:03.920 --> 21:12.920]  That is the quote. That is the definition of racketeering. DNC chair candidate bash white people and racially charged forum.
[21:12.920 --> 21:21.920]  My job is to shut other white people down and she goes on to make sure you get the privilege. That is the essence of racketeering.
[21:21.920 --> 21:29.920]  That that's what it is. I want to set up a group and organization and make sure white people don't get anything, but you get everything.
[21:29.920 --> 21:34.920]  What on earth are you talking about?
[21:34.920 --> 21:39.920]  Now, people say, oh, that is a racketeering when Trump says he's going to try to focus jobs into minority areas.
[21:39.920 --> 21:44.920]  No, those are depressed areas. Give people a right to work and be honorable and raise their kids.
[21:44.920 --> 21:51.920]  That's how you show somebody how to fish. You don't go give them fish. This is total domestication.
[21:51.920 --> 21:57.920]  We should put factories and jobs in all the poorest areas, like the Appalachians for poor white people.
[21:57.920 --> 22:05.920]  Plus, it's a low cost of living. You can put factories there, pay them a low wage that's kingly for that area,
[22:05.920 --> 22:08.920]  and they can live better there on that low wage than they could in New York City.
[22:08.920 --> 22:18.920]  There's a plan. This is what you're supposed to do. You rise up your poor areas by giving them a culture of honor and success.
[22:18.920 --> 22:26.920]  And bringing back agriculture, and we're doing it. We're doing it. Russia's bringing back organic agriculture and micro farms.
[22:26.920 --> 22:32.920]  It flips a switch in humans to do it. We're meant to do it. When we're not farming, we're killing.
[22:32.920 --> 22:38.920]  People sitting around in cities without jobs, their brain flips and says, something's wrong. I got to go out and get violent.
[22:38.920 --> 22:45.920]  You need to be either in the dirt with your wife, your husband, having kids, you know, building farms and growing crops,
[22:45.920 --> 22:53.920]  or you go to war. It's what humans do. And we are farmers, all of us, so we need to get back to it.
[22:53.920 --> 22:58.920]  And Thomas Jefferson said that, and he was absolutely on target. He said, if a nation isn't based on farmers,
[22:58.920 --> 23:06.920]  it wasn't just because they were growing things. It was the culture. It was the ingenuity and the hard workingness
[23:06.920 --> 23:13.920]  and the common sense intelligence and the toughness of farmers that he grew up around and watched compared to what he saw in the cities.
[23:13.920 --> 23:18.920]  I'm not running down city folks. I'm just telling you that this is why we've lost our soul.
[23:18.920 --> 23:24.920]  We look at Mexicans coming in here and go, well, they've got their problems in Mexico, but they're hard working and can do anything,
[23:24.920 --> 23:33.920]  or got their families and they look excited and they're doing things. Yeah, because they're farmers, folks.
[23:33.920 --> 23:41.920]  Let me stop right there, though. Let's get to the sessions clip because I mentioned it. Here he is, very ominous for old Hillary.
[23:41.920 --> 23:47.920]  And no justice is going to be done. And, you know, there were some people arguing to Trump back off.
[23:47.920 --> 23:52.920]  They're going to leave you alone and let us fix the country. And Trump knows they're not doing that now.
[23:52.920 --> 24:01.920]  Trump knows. And so Trump's not going to stand in the way and break the law and stop the ongoing criminal investigations of Hillary.
[24:01.920 --> 24:08.920]  Now, people ask members of Congress why they were seated at the inauguration shaking their hand. It's because she's dangerous.
[24:08.920 --> 24:14.920]  And when you're about to destroy somebody who's very dangerous and the head of a major mafia, you want to go over.
[24:14.920 --> 24:17.920]  It's an art of war and make them think that you're not their enemy.
[24:17.920 --> 24:24.920]  Well, I don't engage in art of war. I engage in the straight attack, which historically trumps everything.
[24:24.920 --> 24:29.920]  You've got moral power behind you. I'm coming after all these people.
[24:29.920 --> 24:35.920]  They're not going to stop Madonna saying blow up the White House and then saying F the Secret Service, you know, F Trump.
[24:35.920 --> 24:42.920]  I'm not ashamed. And then every day I see two or three articles where people are in major newspapers and major publishing houses
[24:42.920 --> 24:48.920]  and on TV saying kill Donald Trump, kill Donald Trump, blow him up, murder him.
[24:48.920 --> 24:54.920]  This is total insurrection against the restoration of our Republic. ABC airs promo.
[24:54.920 --> 24:59.920]  I'm going to play this in a moment for a show about president being shot during Trump interview.
[24:59.920 --> 25:06.920]  Teacher post video shouting, shooting Trump in the classroom with a squirt gun yelling die.
[25:06.920 --> 25:12.920]  Chinese propaganda. New Hollywood movie depicts Trump like president killing U.S.
[25:12.920 --> 25:15.920]  All bright. I'm ready to register and convert to Islam.
[25:15.920 --> 25:17.920]  See, I'm telling the left is merging with them.
[25:17.920 --> 25:24.920]  Washington Post columnist compares Trump stock market bump to Nazi Germany.
[25:24.920 --> 25:32.920]  What blows me away is just how many collaborators there are that the entire MSM pretty much the whole complex
[25:32.920 --> 25:41.920]  is literally anti-America and has a vicious hatred of this country, even though they live here and their whole future is based on how well we do.
[25:41.920 --> 25:49.920]  They're delusional because they imagine they're with the power structure and they believe because they're in these little hives of traders that they're invincible.
[25:49.920 --> 25:56.920]  It's like a bunch of criminals getting together and convincing themselves they can rob Fort Knox. You're not going to get away with it.
[25:56.920 --> 26:02.920]  And we watched you build in this thing. We just given your rope, given your rope, warn everybody, get ready.
[26:02.920 --> 26:06.920]  Now wait, when they start coming, the public that hadn't been listening is going to listen. Watch this.
[26:06.920 --> 26:13.920]  Okay, they're coming. Boom, activation. We have been in a stand up attack position for 50 years waiting for you.
[26:13.920 --> 26:16.920]  And now we just metrically went five levels bigger.
[26:16.920 --> 26:23.920]  Now you want to fight? You attack us, we get even bigger. Boom. It's called the American plan, dumbasses.
[26:23.920 --> 26:27.920]  We only let you build our strength ready to crush you in the end.
[26:27.920 --> 26:32.920]  You're going to suck up and roll up the whole global system. Watch this. Get ready to fail.
[26:32.920 --> 26:36.920]  Because I've decided you probably need to know how you're going to be destroyed.
[26:36.920 --> 26:46.920]  A lot of your top people already know this, but I think the minions and people need to know that you're going to be used as examples of what scum and traders are for decades and decades and generations to come.
[26:46.920 --> 26:51.920]  You're all going to be held up as the standard of filth.
[26:51.920 --> 26:59.920]  Your defeat will be the birth of the new millennium, as Trump said, empowering humanity.
[26:59.920 --> 27:06.920]  Your strength is our weakness. Look at Trump supporters versus your minions.
[27:06.920 --> 27:12.920]  You truly have created twisted, fallen, scared, frightened, confused mental patients.
[27:12.920 --> 27:20.920]  But you're not going to get the rest of us and somehow we're going to try to resuscitate the zombie horde, but a lot of them are too far gone.
[27:20.920 --> 27:23.920]  I've seen them. They're gone.
[27:23.920 --> 27:35.920]  We have a full right to defend ourselves from the witches like Hillary and that other harpy Madonna, who are the opposite of the beautiful spirit of womanhood.
[27:35.920 --> 27:40.920]  You are monsters. And it's why you're obsessed with claiming you dominate and run women.
[27:40.920 --> 27:43.920]  You are what you claim men are trying to do.
[27:43.920 --> 27:51.920]  You're there to dominate the spirit of women and suck off of it and bathe in its essence, its blood, and to infuse yourselves.
[27:51.920 --> 27:56.920]  The metaphysical version of who was that famous royal that would kill babies and bathe in their blood.
[27:56.920 --> 28:04.920]  I mean, you people are sick. You apply cosmetics of dead Chinese babies and take collagen injections if they're melted down fat.
[28:04.920 --> 28:08.920]  So you're already there. Let's go out to break.
[28:08.920 --> 28:13.920]  Let's go out to break with Senator Sessions about to be the Attorney General.
[28:13.920 --> 28:22.920]  Some have expressed concern about whether you can approach the Clinton matter impartially in both fact and appearance.
[28:22.920 --> 28:25.920]  How do you plan to address those concerns?
[28:25.920 --> 28:30.920]  Mr. Chairman, it was a highly contentious campaign.
[28:30.920 --> 28:41.920]  I, like a lot of people, made comments about the issues in that campaign with regard to Secretary Clinton and some of the comments I made.
[28:41.920 --> 28:46.920]  I do believe that that could place my objectivity in question.
[28:46.920 --> 28:48.920]  I've given that thought.
[28:48.920 --> 28:59.920]  I believe the proper thing for me to do would be to recuse myself from any questions involving those kind of investigations that involve Secretary Clinton
[28:59.920 --> 29:02.920]  and that were raised during the campaign.
[29:02.920 --> 29:08.920]  So let me go over this note for you here. Matt made a good point in my notes here.
[29:08.920 --> 29:14.920]  Sessions A.G. confirmation hearing the notion of the legitimacy of prosecuting Clinton was assumed rather than challenged.
[29:14.920 --> 29:22.920]  And notice how Sessions never qualifies the recusal with a condition if then statement, i.e. if she's prosecuted, then I will recuse myself.
[29:22.920 --> 29:25.920]  Great point, Matt, for finding that and pointing that out.
[29:25.920 --> 29:31.920]  Okay, let me get into their hype, kill the president, blow it up, murder his supporters, because they're probably not going to get to Trump.
[29:31.920 --> 29:35.920]  Hope they don't. But they can get to us, can't they?
[29:35.920 --> 29:44.920]  And they're running around with a Jezebel spirit, infusing them by their high priestesses like Hillary and other seahags like Madonna.
[29:44.920 --> 29:56.920]  But the seahags will be defeated. Stay with us.
[30:14.920 --> 30:26.920]  This is an article that's up on our website that aggregated from Breitbart News and it talks about how this administration is going to publish a list of crimes committed by illegals in sanctuary cities weekly according to an executive order release.
[30:26.920 --> 30:33.920]  Now, this order says, quote, to better inform the public regarding public safety threats associated with sanctuary jurisdictions.
[30:33.920 --> 30:49.920]  The secretary shall utilize the declined detainer outcome report or its equivalent and on a weekly basis make public a comprehensive list of criminal actions committed by aliens and any jurisdiction that ignores or otherwise fail to honor any detainers with respect to such aliens.
[30:49.920 --> 30:59.920]  It looks like this administration is saying to these sanctuary cities, you deport or we're going to publish what's actually going on. I'm Margaret Howe reporting for Infowars.com.
[30:59.920 --> 31:04.920]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[31:04.920 --> 31:13.920]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant derived minerals and much more.
[31:13.920 --> 31:20.920]  Young Jevity also offers you an ingenious way to augment your income and the best part, you'll be helping your friends and family along the way.
[31:20.920 --> 31:34.920]  Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[31:34.920 --> 31:46.920]  Another win-win. That's why I'm a member of the Young Jevity team at infowarsteam.com and you can be too. It's simple. Just go to infowarsteam.com today. Complete a short sign up and you're part of the team.
[31:46.920 --> 31:57.920]  That's infowarsteam.com or infowarshealth.com. So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives. Check it out for yourself today.
[32:16.920 --> 32:32.920]  This is the book that got Roger Stone poisoned with polonium. It breaks down what really happened with the Russians and so much more and it supports him and it supports info wars and our whole operation.
[32:32.920 --> 32:47.920]  It's essential that this book go to the top of the charts in the political area if not to the very top of the charts. Joe Biden has come out and said world government is collapsing. They're in full crisis mode. Nationals movements are exploding. Everybody needs to go pre-order. So you get it first at infowarsteam.com.
[32:47.920 --> 33:02.920]  The Making of a President by Roger Stone. I'm Alex Jones. I'm going on airplane to go to the inaugural event with Trump. Pray for us and please continue to support the operation and get his book. Now sir, the first to have a trip to you.
[33:18.920 --> 33:29.920]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[33:29.920 --> 33:57.920]  We are back live. Very honored to be here with you on this historic Thursday, January 26, 2017. This is an answer, a prayer of what's happening.
[33:57.920 --> 34:12.920]  I mean, Trump is not perfect, but he really believes he's doing the right thing. He is committed and I know they're going to prosecute Hillary Clinton. They're going to go after the crime syndicate. The crime syndicate knows that. That's why they're so vicious. That's why they're so desperate.
[34:12.920 --> 34:28.920]  Trump is first going to deliver on as much of the plan as he can so that people see that it's real prosperity and that they can actually run their own lives. And then they are going to set the dogs loose as soon as the people are in place. Sessions and others are not in place yet.
[34:28.920 --> 34:47.920]  And the enemy may try to still set off a nuke, bomb, kill Trump. They're openly calling for it, trying to sell the idea that it's a great thing. We were told by insiders months ago, Paul Watson was that the new homeland series was coming out and that terrorists listened to me on the radio and that they then go out and carry out terror attacks.
[34:47.920 --> 34:58.920]  I didn't see it last night because I can't keep track of all this, but I got some phone calls and said it was clearly that. And of course they admit that the new ex-files has a character based on me who's actually a good guy.
[34:58.920 --> 35:09.920]  Because Chris Carter has said he thinks I'm a good guy and shows Chris Carter as a patriot. I've been told that for a long time, but that's because he has a lot of power obviously to put out his own productions. That's pretty rare.
[35:09.920 --> 35:19.920]  I haven't seen this homeland episode yet, but maybe later people can call in, but ABC airs promo for a show about president being shot during Trump interview.
[35:19.920 --> 35:31.920]  So this is what they're pushing on every front, ladies and gentlemen. And again, they've got all sorts of straw men out there that look and sound like me saying things that I haven't actually said.
[35:31.920 --> 35:46.920]  And just putting out stories that I've been arrested. They've been like, I don't know, more than 10 stories since Cleveland showing the state police and Cleveland police escort me out of a square where communists wouldn't let me engage in free speech and attack me.
