[00:00.000 --> 00:19.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN radio network.
[04:17.000 --> 04:22.000]  I don't think we're going to find some Mr. Smith who's going to go to Washington and fix everything for us in a filibuster.
[04:22.000 --> 04:26.000]  I think the problem is too large. The power is too concentrated.
[04:26.000 --> 04:31.000]  The corruption is too great in Washington to really even be handled within Washington.
[04:31.000 --> 04:34.000]  I think anybody that goes into that black hole is essentially sucked into it.
[04:34.000 --> 04:37.000]  We're going to have to shut it down from the outside.
[04:37.000 --> 04:39.000]  Fortunately, there are constitutional remedies for it.
[04:39.000 --> 04:46.000]  It remains to be seen if the people and their elected representatives at the state and local level have the guts and the backbone to do something about it.
[04:46.000 --> 04:58.000]  Let's talk about that when we come back. Stay with us. We'll be right back, taking your calls.
[05:17.000 --> 05:28.000]  Now, infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B-12 that has been developed with our exclusive, perfected process.
[05:28.000 --> 05:39.000]  Secret 12 is a binary of nutrimental grade, bioavailable, coenzyme forms of B-12, methylcobalamin, the same kind used in B-12 injections, and adenosylcobalamin.
[05:39.000 --> 05:46.000]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed. No needles, no injections. Don't take my word for it.
[05:46.000 --> 05:49.000]  Try it for yourself. Discover the secret. Secret 12.
[05:49.000 --> 05:58.000]  Secure your revolutionary Secret 12 formula right now at infowarslife.com or call 888-253-3139.
[05:58.000 --> 06:17.000]  You want answers? Well, so does he. Live from the infowars.com studios, it's Alex Jones.
[06:22.000 --> 06:27.000]  Welcome back to the Alex Jones Show. On this Sunday, November 23, 2014, I'm David Knight, your host.
[06:27.000 --> 06:37.000]  We're going to be looking at Obama Law today. We're going to look at the new way that business is going to be done, the consequences of it both legally, economically,
[06:37.000 --> 06:47.000]  many different ways that what Obama did is going to ripple through our country, and there's a lot of reactions from it, both from the GOP as well as from the press, the public.
[06:47.000 --> 06:55.000]  We want to get your reactions and your solutions to it, but before we turn to that subject, I want to go over some of the breaking news today that's up on infowars.com.
[06:55.000 --> 07:01.000]  We have Obama secretly extending U.S. combat operation in Afghanistan. He secretly signed an order.
[07:01.000 --> 07:06.000]  Oh, is that different? The only thing different about that is that he's not talking about it, okay?
[07:06.000 --> 07:14.000]  He signed yet another executive order that's going to expand the United States direct comrade role in Afghanistan throughout 2015, reports The New York Times.
[07:14.000 --> 07:23.000]  You can read about that on infowars.com. Now, understand that there was a lot of reaction to executives taking us into war, keeping us into wars.
[07:23.000 --> 07:28.000]  They pushed back against Reagan. They tried to limit his actions with the War Powers Act.
[07:28.000 --> 07:40.000]  And of course, his response was to create Iran-Contra to do other things like that, but they weren't successful in terms of getting control of the executive power to take us to war.
[07:40.000 --> 07:49.000]  So we don't have Congress involved in that anymore. The declaration of war, the involvement in war should be something that is done deliberately with the people's elected representatives.
[07:49.000 --> 07:54.000]  That's why the legislature was given that responsibility by the founders of this country.
[07:54.000 --> 08:01.000]  Now, once of course you start doing that, once you're involved in a war, decisions need to be made quickly.
[08:01.000 --> 08:08.000]  That's why they put the executive in as the chief of that. But we need to take that decision very deliberately.
[08:08.000 --> 08:11.000]  That's why it's a legislative responsibility.
[08:11.000 --> 08:20.000]  In the same way, when you look at this immigration bill, and they first pushed back and said, well, this has been done before. It was done by Reagan. It was done by Bush.
[08:20.000 --> 08:27.000]  Those were not executive orders done in defiance and as an end run around the Congress.
[08:27.000 --> 08:33.000]  Those were implementations of the Congress's bill, the Simpson-Mazzoli Act.
[08:33.000 --> 08:37.000]  They basically referenced that bill when they made those executive actions.
[08:37.000 --> 08:47.000]  So in the same way that the Congress was deciding what the immigration policy was going to be then, and then the executive was implementing it with his attorney general,
[08:47.000 --> 08:58.000]  just like if it was a war that the Congress had constitutionally declared, it would be within the powers of the commander in chief to execute that using his staff.
[08:58.000 --> 09:03.000]  That was what happened under Reagan and Bush. That is not what is happening today.
[09:03.000 --> 09:09.000]  What is happening today is essentially as if the Congress had gotten together and said, do not go into this war.
[09:09.000 --> 09:15.000]  And Obama said, we're going to go anyway. I'm tired of waiting for you to declare war, so I'm going to do it on my own.
[09:15.000 --> 09:17.000]  And that is essentially what has happened.
[09:17.000 --> 09:25.000]  But again, I said before I was going to go into talking about that, I wanted to go over the breaking news here and some things that we will probably hit on later in the day.
[09:25.000 --> 09:35.000]  We're going to also be checking with our reporters in Ferguson who are on the ground, Jacarie Jackson and Joe Biggs are in Ferguson awaiting that verdict by the grand jury.
[09:35.000 --> 09:38.000]  And they're keeping an eye on the tensions that are building there.
[09:38.000 --> 09:43.000]  There's some other cases of excessive police force that have hit this weekend.
[09:43.000 --> 09:54.000]  We're also going to be looking at those, one in New York that is particularly egregious, although there the police department has gotten out in front of it very quickly and said it was not a justified shooting apparently.
[09:54.000 --> 10:00.000]  The guy was not committing a crime. He was not armed. He was merely walking up a stairwell with his girlfriend.
[10:00.000 --> 10:05.000]  And he was shot in the chest with two cops that were walking down the stairwell.
[10:05.000 --> 10:10.000]  They did not even bother to call for medical help. The guy died, bled out there.
[10:10.000 --> 10:22.000]  And at the same time that shooting happened, we have someone who was an analyst with the New York City Police Department actually looking at their data, looking at the report that the police commissioner filed,
[10:22.000 --> 10:30.000]  talking about excessive force, that very issue that is before us in Ferguson that is involved in this shooting of the man in the stairwell.
[10:30.000 --> 10:38.000]  In that report on excessive force in the city of New York, this analyst said that the data was fudged.
[10:38.000 --> 10:42.000]  They promptly fired him because he went public with this.
[10:42.000 --> 10:48.000]  He complained internally. They didn't do anything. So he went to his friends in the press and rather than take the criticism, they fired him for it.
[10:48.000 --> 10:52.000]  So now he started a lawsuit, began a lawsuit this weekend.
[10:52.000 --> 10:58.000]  The issue of the police cooking the data in New York City has come up before.
[10:58.000 --> 11:07.000]  In the case of Adrian Schoolcraft, the whistleblower that has been talked about quite a lot, especially by Frank Cerberco calling him a lamp lighter.
[11:07.000 --> 11:14.000]  That's his way he characterizes whistleblowers. I think that's a much better way to characterize him actually.
[11:14.000 --> 11:24.000]  But in the case of Adrian Schoolcraft, what he saw as a dedicated police officer there, somebody who was an honest cop, his father had been a cop.
[11:24.000 --> 11:28.000]  He was very idealistic. He wasn't naive about what can happen in a police department.
[11:28.000 --> 11:33.000]  And that's what Frank Cerberco said. He said, I didn't come into this naive about what really happens.
[11:33.000 --> 11:37.000]  I understand it's a real world. I understand there's good cops or bad cops.
[11:37.000 --> 11:47.000]  But in both cases, they believe that there was not such inherent systemic corruption. They believed that they could blow the whistle on bad practices and actually see something happen.
[11:47.000 --> 12:02.000]  In the case of Adrian Schoolcraft, for a couple of years, he recorded conversations secretly, essentially wore a mic on himself, recorded what he was being told to do because they were telling him and other officers to cover up violent crime
[12:02.000 --> 12:08.000]  because they didn't want that to show up in the statistics. They didn't want rape and car theft to show up.
[12:08.000 --> 12:15.000]  So when somebody would call the New York police and it would be a car theft, for example, they would say, you know, you really don't want to get involved in this.
[12:15.000 --> 12:20.000]  You don't want to fill out all this paperwork. It's going to create a lot of trouble for you. They'd make it look really difficult.
[12:20.000 --> 12:27.000]  Say, why don't we just change this report and say, once I got here, you forgot that you loaned this to your cousin and the car really wasn't stolen.
[12:27.000 --> 12:36.000]  That's how they got their serious crime down. And at the same time, they were telling them to lean very heavily on people for violations that they could get fines for.
[12:36.000 --> 12:43.000]  Let's say having unswept hair on your barbershop floor. They could come down with you for a couple hundred dollar fine there.
[12:43.000 --> 12:49.000]  So they were ramping that up. At the same time, they were talking down the serious crime. He blew the whistle on him.
[12:49.000 --> 13:00.000]  He tried to appeal to people within the system. And instead, the number two guy went to his apartment and threatened him, said, well, you think you're looking kind of like you might take your life or something.
[13:00.000 --> 13:07.000]  So for your own protection, we're going to put you into custody. And they took him away. Actually, before they took him away, they discovered the wire.
[13:07.000 --> 13:17.000]  But he had a second recorder on the bookshelf. They took him away, took him to an insane asylum and committed him for several days until his father found him.
[13:17.000 --> 13:24.000]  His father, the former police officer found him. Anyway, this has been going on before where they're fudging the data.
[13:24.000 --> 13:33.000]  I guess we should start calling it, they grubbered the data. You know, there was actually a piece that came out about Ebola just this last week.
[13:33.000 --> 13:38.000]  It was put out, I think it was by, who was this? Was this the Washington Post? Yes, Washington Post.
[13:38.000 --> 13:51.000]  Why your bathtub is actually far scarier than Ebola, really? And in this, it's a perfect example of how they grubbered the data, how they twisted the statistics to get the kind of result that they want.
[13:51.000 --> 13:59.000]  And you know, I think we've had a lot of words that essentially began with one person's actions and then became a verb or noun.
[13:59.000 --> 14:09.000]  We have boycott. We have shrapnel. We have crapper from the guy who, crapper was the guy who invented the toilet. We even have Lewinsky from Monica Lewinsky.
[14:09.000 --> 14:14.000]  I think what we ought to have is grubbering the data. I think we need to have a verb for that.
[14:14.000 --> 14:19.000]  They go through and you can look at this chart. We'll pull this up here. This is from the Washington Post.
[14:19.000 --> 14:27.000]  Why your bathtub is actually far scarier than Ebola. And they'll go through and they'll break down different things like firearm assault.
[14:27.000 --> 14:32.000]  They will break that down so that are actually death by car. They break it down to death by car.
[14:32.000 --> 14:40.000]  They have pedestrian struck by motor, a motor vehicle struck by a motorcycle struck by a motor vehicle, bicycle struck by a motor vehicle.
[14:40.000 --> 14:49.000]  They categorize this data down in different categories so that it looks like they're much smaller and they want to move firearms to the top.
[14:49.000 --> 14:53.000]  So they basically break down death by automobile into multiple categories.
[14:53.000 --> 15:00.000]  Understand how they torture the data there? And then at the very bottom they've got Ebola because we've only had two people die of Ebola.
[15:00.000 --> 15:07.000]  So everything in the world is more dangerous than Ebola according to the statistics of the Washington Post.
[15:07.000 --> 15:13.000]  They grubber the data there. Except that we understand that there's been another executive order.
[15:13.000 --> 15:17.000]  All these executive orders. That's just how the country's run anymore by Obama.
[15:17.000 --> 15:26.000]  Where he's going to allow people from nations who've been hit hardest by Ebola where they have the epidemic to come to the country to stay in this country.
[15:26.000 --> 15:31.000]  And of course we're doing many things that are increasing the risk and that's the point.
[15:31.000 --> 15:38.000]  It isn't that we've only had two people who have died of Ebola in the United States so therefore it's not serious.
[15:38.000 --> 15:41.000]  It's that they're doing things to increase the risk.
[15:41.000 --> 15:45.000]  And the epidemic that's going on in Africa right now is fundamentally different.
[15:45.000 --> 15:52.000]  That's how they lie about it. The fact that we've already had more than four times all the previous 30-some-odd epidemics combined.
[15:52.000 --> 16:19.000]  So with us we're going to be right back. Take your reactions and your solutions to the new Obama law by Executive Fiat.
[16:22.000 --> 16:29.000]  The new Obama law is to be able to control the body and contain cheap and potentially dangerous ingredients.
[16:29.000 --> 16:34.000]  Oftentimes full of synthetic fillers, GMOs, additives or worse.
[16:34.000 --> 16:38.000]  Gently start cleaning your body with easy capsules that start working while you sleep.
[16:38.000 --> 16:43.000]  Oxipowder does not require time off work and there's no need for bad taste and concoctions.
[16:43.000 --> 16:49.000]  Instead oxy powder slowly releases monoatomic oxygen into the intestinal tract and body.
[16:49.000 --> 16:56.000]  In ozonide technology go to infowarslife.com or infowarsstore.com to get started with oxy powder.
[16:56.000 --> 17:22.000]  Or call 1-888-253-3139.
[17:22.000 --> 17:27.000]  We're here at a supermarket in Toledo. You can see the shelves empty where water once was.
[17:27.000 --> 17:32.000]  To stay safe and healthy during a crisis you must have access to safe clean water.
[17:32.000 --> 17:36.000]  Water which will not be available at your local grocery store.
[17:36.000 --> 17:39.000]  There's a mad dash on right now to stock up on supplies.
[17:39.000 --> 17:46.000]  The Pro Pure Pro 1 G2.0 water filtration system is a must have for every modern independently minded household.
[17:46.000 --> 17:56.000]  Protect your family's safety during an emergency. Go to infowarsstore.com today to purchase your Pro Pure Pro 1 G2.0 water filtration system.
[17:56.000 --> 18:22.000]  Or call 1-888-253-3139.
[18:22.000 --> 18:27.000]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[18:27.000 --> 18:32.000]  Not our iodine, it comes from over 200 million year old crystal salt deposits.
[18:32.000 --> 18:35.000]  And is tested and proven to be completely pure.
[18:35.000 --> 18:40.000]  Visit infowarslife.com today, see the informational videos, read the information they're compiled.
[18:40.000 --> 18:50.000]  And for a limited time when you use promo code now at checkout you get an additional 5% off the entire family of infowarslife.com products.
[18:50.000 --> 18:59.000]  Secure your survival shield X2 today at infowarslife.com or call toll free 888-253-3139.
[19:20.000 --> 19:34.000]  The average person's life is filled with unexpected challenges.
[19:34.000 --> 19:41.000]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[19:41.000 --> 19:50.000]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[19:50.000 --> 20:02.000]  Supercharge and conquer your world at infowarslife.com or call 1-88-253-3139.
[20:02.000 --> 20:10.000]  You're listening to the Alex Jones Show.
[20:10.000 --> 20:20.000]  In this present crisis, government is not the solution to our problem. Government is the problem.
[20:20.000 --> 20:28.000]  From time to time we've been tempted to believe that society has become too complex to be managed by self-rule.
[20:28.000 --> 20:36.000]  That government by an elite group is superior to government for, by and of the people.
[20:36.000 --> 20:42.000]  The Alex Jones Show because there is a war on for your mind.
[20:42.000 --> 20:48.000]  Hello me, meet the real me and my misfits wave life.
[20:48.000 --> 20:50.000]  A dark black past.
[20:50.000 --> 20:53.000]  Welcome back to the Alex Jones Show. I'm David Knight, your host today.
[20:53.000 --> 21:00.000]  We're going to be taking your calls in just a moment to get your reaction to the new way that we do government here in America.
[21:00.000 --> 21:06.000]  It's called Obama Law and actually came in with that clip from Ronald Reagan.
[21:06.000 --> 21:14.000]  Actually guys, we need to get a clip of Ronald Reagan back in the day when he would say, you know, I want to balance the budget and I send a budget every year to the house.
[21:14.000 --> 21:19.000]  And Tip O'Neill pronounces it dead on arrival and there's nothing I can do about it.
[21:19.000 --> 21:26.000]  Remember Democrats that there's one day going to be another Republican president. Do you want him to rule by fiat?
[21:26.000 --> 21:29.000]  What do you think he's going to do?
[21:29.000 --> 21:38.000]  You don't want to give that power to one man yet. Obama has been absolutely doubling down on his executive orders.
[21:38.000 --> 21:43.000]  He said, I've actually been very restrained on executive orders. This is an article from the Hill where they quote him.
[21:43.000 --> 21:49.000]  He says, if you ask historians, you take back a look at the track records of the modern presidency. I've been actually very restrained.
[21:49.000 --> 21:52.000]  I've been very restrained with respect to immigration. I've been over backwards.
[21:52.000 --> 21:57.000]  I will continue to do everything I can to get Congress to work.
[21:57.000 --> 21:59.000]  What does he mean by getting Congress to work?
[21:59.000 --> 22:05.000]  See, when Congress blocks the president because they don't agree with him, Congress is actually working.
[22:05.000 --> 22:11.000]  Now, what he means is when I can get Congress to do what I demand, see, that's the issue.
[22:11.000 --> 22:17.000]  They didn't do what he demanded, so he went over, ran around them, did whatever he wanted to.
[22:17.000 --> 22:23.000]  He says, and this is actually the narrative that we've seen over and over again from many in the mainstream media.
[22:23.000 --> 22:30.000]  The Hill puts this in there. We've seen it from Reuters, from AP, from most of the mainstream media, CNN.
[22:30.000 --> 22:36.000]  Presidents Ronald Reagan, George H. W. Bush, and George W. Bush all issued executive orders on immigration while they were in the White House.
[22:36.000 --> 22:47.000]  Well, the reality of it is, is that Bush and Reagan referenced Simpson-Mazzoli, the Simpson-Mazzoli bill, which was passed by the Congress.
[22:47.000 --> 22:53.000]  They said the intent of the bill was to unite families, so what they did was they extended it in some areas.
[22:53.000 --> 23:02.000]  The bill directed the president to have the attorney generals change the status so that they would accomplish different objectives with that.
[23:02.000 --> 23:13.000]  But what we saw in the result of the Simpson-Mazzoli Act as a result of Reagan and Bush implementing that, we saw that it didn't work.
[23:13.000 --> 23:21.000]  It only incentivized further illegal immigration. We saw that millions of people were granted amnesty under Simpson-Mazzoli,
[23:21.000 --> 23:29.000]  and then they realized that the border wasn't closed, that they could come in and it would probably happen again, and it is happening again.
[23:29.000 --> 23:32.000]  That's one of the reasons why they were blocking him on this.
[23:32.000 --> 23:35.000]  But of course, he did say one thing that was right. They quoted him in The Hill.
[23:35.000 --> 23:41.000]  He said their comments, that is the GOP's comments, are simply, quote, a lot of rhetoric.
[23:41.000 --> 23:44.000]  That's basically the first thing he said about this that I agree with.
[23:44.000 --> 23:51.000]  Now, he also went out and actually mocked the GOP. We've got a clip of this where he says, I didn't dissolve parliament. Let's play that.
[23:51.000 --> 24:04.000]  I don't always listen to all the commentary, but I understand that some of them are already saying that my actions sabotage their ability to pass a bill and make immigration work better.
[24:04.000 --> 24:11.000]  Why? I didn't dissolve parliament. That's not how our system works.
[24:11.000 --> 24:25.000]  I didn't steal away the various clerks in the Senate and the House who manage bills. They can still pass a bill.
[24:25.000 --> 24:31.000]  I don't have a vote in Congress. Pass a bill. You don't need me to call a vote to pass a bill.
[24:31.000 --> 24:36.000]  Pass a bill. Because? Because?
[24:36.000 --> 24:44.000]  Yeah, they says, I didn't sabotage their ability to pass a bill. That's right, he didn't. They were working.
[24:44.000 --> 24:48.000]  That's what they did not want to have happen is the bill that he pushed through.
[24:48.000 --> 24:57.000]  Now, what he sabotaged was the Constitution itself. He sabotaged the division of powers that says that laws are made by Congress, that they're not made by executive fiat.
[24:57.000 --> 25:08.000]  He didn't dissolve the parliament. No, he basically bypassed it. He essentially made it redundant by defying the fact that they didn't want that kind of immigration bill.
[25:08.000 --> 25:18.000]  It's kind of like what we saw last week. I don't know if you saw the article that was up on infowars.com about J. Edgar Hoover sending threatening letters to Martin Luther King.
[25:18.000 --> 25:27.000]  They had been bugging Martin Luther King's personal life, and they knew that he was having some affairs. So they said, we're going to expose you as a hypocrite.
[25:27.000 --> 25:34.000]  So for your own good, just take your life. Well, he didn't take his life. They realized that was a threat from J. Edgar Hoover and the government.
[25:34.000 --> 25:42.000]  They didn't take his life, but of course, he was killed, even though he was not pushed into taking his life.
[25:42.000 --> 25:51.000]  Yet we have seen that the GOP essentially has agreed to commit suicide, not only for us, for them, but for us, for the entire country.
[25:51.000 --> 26:00.000]  We just had an election where we made it clear as a people that we did not support this kind of action. We voted for the Republicans.
[26:00.000 --> 26:08.000]  That was a clear message that we did not like Obamacare. We did not like Obama's amnesty. Those were major issues in this election.
[26:08.000 --> 26:15.000]  And he doesn't even do anything to wait for the elected representatives. He just goes on on his own.
[26:15.000 --> 26:23.000]  And yet the Republicans' reaction has simply been to come up with a lot of rhetoric and then go on vacation.
[26:23.000 --> 26:28.000]  We had this from the Sunday show today. We had Patrick Buchanan in the video. It was linked up on infowars.com.
[26:28.000 --> 26:36.000]  He's on one of the Sunday shows and said, Rogue Obama's amnesty is an impeachable act. Let's play a short clip from that.
[26:36.000 --> 26:49.000]  We're also a nation of laws and we have a Constitution. And Barack Obama has said sort of repeatedly that he did not have the legal or the constitutional authority to issue what is an executive amnesty.
[26:49.000 --> 26:56.000]  He is behaving as a rogue president, John. Politically, it may be a very clever move. He's dividing the Republicans, no doubt about it.
[26:56.000 --> 27:02.000]  He's sticking it into their face after their victory. He's saying, I'm going to do what I want to do. Now you pass your bill.
[27:02.000 --> 27:09.000]  An impeachable act, but they should not impeach him. Did you catch that? He lays out the case perfectly.
[27:09.000 --> 27:14.000]  And then at the end he says, it's an impeachable act, but they shouldn't impeach him. Why?
[27:14.000 --> 27:19.000]  The Congress has passed and they did right after they came back from the election. They had a very short term.
[27:19.000 --> 27:27.000]  Well, the first thing, if not the first thing they did was to pass the Keystone Pipeline Bill for a ninth time.
[27:27.000 --> 27:34.000]  And I don't care what you think about the Keystone Pipeline. We can talk about that. The issue is they know it's not going to go anywhere.
[27:34.000 --> 27:40.000]  And yet they have passed it nine times. They know it's not going to go past a Democrat Senate. Why would they do that?
[27:40.000 --> 27:49.000]  Why would they stand on that principle for their corporate sponsors? And yet they won't stand on principle for the American public, for the voters.
[27:49.000 --> 27:57.000]  They just give him a pass. And it's not just Pat Buchanan and the rest of the GOP establishment saying they had to go out.
[27:57.000 --> 28:04.000]  Here's some of the writers. This is the weekly standard. And I think for this we ought to actually spell it W-E-A-K, weekly standard.
[28:04.000 --> 28:12.000]  How to rebuke a president. If you look at their article on the weekly standard, they've got Obama and some stocks.
[28:12.000 --> 28:20.000]  They've got written over it the word censure. Basically saying that what they ought to do is they ought to vote to censure him.
[28:20.000 --> 28:26.000]  I'm sure that would scare him to death. I'm sure that would rebuke him in a way that he would never do this again.
[28:26.000 --> 28:33.000]  And then of course we have this from North Dakota. The Republicans have gotten together and they've named a landfill after Obama.
[28:33.000 --> 28:41.000]  They said that they didn't think that they would be able to get this through, but they thought naming a pile of garbage after Obama was a fitting tribute.
[28:41.000 --> 28:47.000]  Well, that's great, you know, but I think it's time we stop the name calling and we put him on the rubbish heap of history for real.
[28:47.000 --> 28:56.000]  Let's impeach this guy because if we don't, we're going to have a long string of dictators from every party and that is why the GOP doesn't want to do it.
[28:56.000 --> 29:00.000]  Stay with us. We're going to take your calls. 877-789-Alex.
[29:00.000 --> 29:02.000]  In the near future.
[29:02.000 --> 29:06.000]  When you realize how fake it all is, the football, the basketball.
[29:06.000 --> 29:13.000]  Alert. Security. Alert. This is Homeland Security. Analysis. Info Wars building independent media operation.
[29:13.000 --> 29:18.000]  You let the worst people get controlled and tell us that we are the ones responsible.
[29:18.000 --> 29:21.000]  Prime Directive discredit Alex Jones.
[29:21.000 --> 29:24.000]  Jones is the wildly popular conspiracy theory.
[29:24.000 --> 29:27.000]  A popular conspiracy theory talk show called Info Wars.
[29:27.000 --> 29:29.000]  Alex Jones is now in an Austin jail.
[29:29.000 --> 29:31.000]  These people are assaulting us.
[29:31.000 --> 29:33.000]  Targeting of patriots engaged.
[29:33.000 --> 29:40.000]  They are never going to stop. They're never going to deviate from their program until we stop them.
[29:40.000 --> 29:43.000]  Block free iPhone app at InfoWars.com.
[29:43.000 --> 29:46.000]  Block free podcast and video feed.
[29:46.000 --> 29:50.000]  Imperatives, Detroit, Britain, the planet TV.
[29:50.000 --> 29:54.000]  You've got to set your eye on the enemy. Not worry about what propaganda they put out.
[29:54.000 --> 30:04.000]  Go electrically. It's for God you can fail it.
[30:24.000 --> 30:28.000]  Guarantee you love the way they fit.
[30:28.000 --> 30:33.000]  And put a diamond gusset in the crotch where you need it most.
[30:33.000 --> 30:38.000]  Blue diamond gussets got it. Others don't.
[30:38.000 --> 30:42.000]  We turned jeans inside out. Diamond gusset jeans.
[30:42.000 --> 30:45.000]  Made in the USA with unparalleled quality.
[30:45.000 --> 30:49.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection.
[30:49.000 --> 30:52.000]  So you can ride all day with confidence.
[30:52.000 --> 30:59.000]  Order yours at gusset.com. Diamond gusset jeans got it. Others don't.
[31:22.000 --> 31:27.000]  Nerve growth factors and optimizing your cellular energy at the same time.
[31:27.000 --> 31:29.000]  We now have the synergistic solution.
[31:29.000 --> 31:32.000]  DNA Force. Just one of the key compounds.
[31:32.000 --> 31:36.000]  BioPQQ is backed by major clinical studies.
[31:36.000 --> 31:40.000]  And over 175 PubMed listed published studies.
[31:40.000 --> 31:42.000]  You want the best that's out there at the lowest price anywhere?
[31:42.000 --> 31:48.000]  The ultimate value, cutting edge trailblazing game changer that also supports the InfoWars.
[31:48.000 --> 31:52.000]  Secure your DNA Force today at infowarslife.com.
[31:52.000 --> 31:56.000]  Or call toll-free 888-253-3139.
[31:56.000 --> 31:59.000]  DNA Force from InfoWars Life.
[31:59.000 --> 32:06.000]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[32:06.000 --> 32:13.000]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver
[32:13.000 --> 32:16.000]  on the market today for the lowest price available.
[32:16.000 --> 32:22.000]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America
[32:22.000 --> 32:24.000]  when it comes to you and your family's health.
[32:24.000 --> 32:31.000]  InfoWarsLife.com is very excited to announce our biggest run yet of silver bullet colloidal silver
