[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[00:04:53.694 --> 00:04:56.596]  And again, I'm David Knight here live in Austin.
[00:04:56.596 --> 00:04:59.818]  We're going to have more reports from Alex Jones as well as news coming right up.
[00:04:59.818 --> 00:05:00.239]  Stay with us.
[00:05:02.620 --> 00:05:04.061]  You developed Living Defense for us.
[00:05:04.061 --> 00:05:05.382]  It took you over a year to do it.
[00:05:05.382 --> 00:05:06.603]  Why is this so good?
[00:05:06.603 --> 00:05:11.888]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:05:11.888 --> 00:05:25.441]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:05:25.441 --> 00:05:26.802]  Right now with all the refugees,
[00:05:27.563 --> 00:05:29.204]  Uh, spreading disease around.
[00:05:29.204 --> 00:05:31.784]  We have biological warfare going on everywhere.
[00:05:31.784 --> 00:05:33.085]  These are all parasites.
[00:05:33.085 --> 00:05:34.185]  Tell us about all the stuff that's in it.
[00:05:34.185 --> 00:05:35.526]  There's so many things that are in it.
[00:05:35.526 --> 00:05:40.027]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:05:40.027 --> 00:05:43.188]  I recommend doing the parasite cleanse at least twice a year.
[00:05:43.308 --> 00:05:46.349]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[00:05:46.349 --> 00:05:47.409]  It just came back in yesterday.
[00:05:47.409 --> 00:05:49.350]  Living Defense, Infowarslife.com.
[00:05:49.350 --> 00:05:50.370]  And folks, you can't lose.
[00:05:50.370 --> 00:05:53.071]  It's full of stuff that's great for your body, period.
[00:05:53.071 --> 00:05:56.332]  And you support the broadcast, Infowarslife.com.
[00:05:56.332 --> 00:05:58.573]  Thank you, Dr. Group from the Global Healing Center.
[00:05:58.573 --> 00:06:00.534]  Thank you so much for all your work, sir, on this great product.
[00:06:04.540 --> 00:06:06.621]  We are on the march.
[00:06:06.621 --> 00:06:09.462]  The Empire is on the run.
[00:06:09.462 --> 00:06:19.925]  Alex Jones and the GCN Radio Network.
[00:06:19.925 --> 00:06:22.726]  It is Sunday, the 28th day of August 2016.
[00:06:22.726 --> 00:06:25.627]  I'm Alex Jones, your host.
[00:06:25.627 --> 00:06:29.488]  I'm about to hand the baton to David Knight in 60 seconds.
[00:06:29.488 --> 00:06:32.869]  But first, I want to remind you that an extremely important report
[00:06:33.800 --> 00:06:40.263]  He's going to premiere here that will detail exactly where this country stands right now.
[00:06:40.263 --> 00:06:47.887]  Hillary Clinton represents a worldwide criminal combine that describes itself as the New World Order.
[00:06:47.887 --> 00:06:54.750]  It is establishing a global corporate government where they are above the law tax-exempt with diplomatic immunity.
[00:06:54.750 --> 00:07:03.114]  And what we're seeing with Hillary being above the law of the emails and above the law with all the new WikiLeaks information that's coming out and her long history
[00:07:03.855 --> 00:07:14.802]  It's part of an admitted plan to set the precedent that the elites can basically get away with bloody murder and do whatever they want, whenever they want.
[00:07:14.802 --> 00:07:20.625]  And the fact is, the Clinton death toll and the Clinton death count is well known in the last 30 years.
[00:07:20.625 --> 00:07:23.407]  And it's only getting more intense now.
[00:07:23.407 --> 00:07:30.011]  And Google and others are in the news censoring the search for the Clinton death list.
[00:07:30.011 --> 00:07:32.312]  The Clinton death count.
[00:07:33.430 --> 00:07:56.939]  We're even seeing other forms of political suppression and persecution like Dr. Drew getting fired from CNN less than a week after he talked about Hillary and her medical records looking like her doctors are doing a terrible job and that he would like to help her because the medications her records say that she's on absolutely are incredibly dangerous to be taking together and nothing makes sense.
[00:07:56.939 --> 00:07:58.279]  He was fired.
[00:07:58.279 --> 00:08:02.761]  All the other censorship, the staffers being killed, Google censoring WikiLeaks searches,
[00:08:04.509 --> 00:08:06.490]  It goes on and on and on.
[00:08:06.490 --> 00:08:15.375]  They are hiding so much and with her coming out and this last week and saying that I'm this horrible evil person that has this dark heart.
[00:08:15.375 --> 00:08:17.457]  It is amazingly creepy.
[00:08:17.457 --> 00:08:18.337]  It doesn't scare me.
[00:08:18.337 --> 00:08:20.258]  It makes me want to work 10 times harder.
[00:08:20.258 --> 00:08:24.081]  But to see this incredible war criminal up there talking about my dark heart.
[00:08:24.081 --> 00:08:26.182]  It's clearly a threat and
[00:08:27.282 --> 00:08:34.864]  To then have Kimmel and others sit there and wave a gun around on TV and say, this is a threat from the new world order to you, Alex Jones.
[00:08:34.864 --> 00:08:45.326]  They know it's seen as a comic relief by their viewers, but it's not comic relief because it's being directed by the Clintons, just like they're directing the mainstream media.
[00:08:45.326 --> 00:08:51.468]  They're directing these propaganda offenses we see every night during late night comedy that's been admitted.
[00:08:51.468 --> 00:08:53.248]  And they think they can intimidate everyone.
[00:08:53.248 --> 00:08:55.969]  She thinks that she's a bully and that everybody's going to back down
[00:08:56.846 --> 00:08:59.173]  To her because she threatens them.
[00:08:59.173 --> 00:09:00.376]  I know she's dangerous.
[00:09:00.376 --> 00:09:04.347]  I know her controllers and the people she represents have had people killed.
[00:09:05.069 --> 00:09:10.390]  It said the Clintons don't kill people, but people that get in the way of the Clintons die because the interests they represent.
[00:09:10.390 --> 00:09:12.110]  That's absolutely true.
[00:09:12.110 --> 00:09:13.671]  I want to state it on record.
[00:09:13.671 --> 00:09:15.371]  I'm doing this because I care about my family.
[00:09:15.371 --> 00:09:16.831]  I care about the future of this country.
[00:09:16.831 --> 00:09:20.452]  I'm doing this because somebody has got to stand up against evil.
[00:09:20.452 --> 00:09:28.293]  And when you don't stand up against it, it gets bigger and bigger and bigger and more and more out of control, like it's now done.
[00:09:28.293 --> 00:09:29.833]  And so understand something, Hillary.
[00:09:29.833 --> 00:09:33.094]  If anything happens to me, you and your controllers, the prime
[00:09:33.937 --> 00:09:36.461]  Suspects and I know now you think you're above the law.
[00:09:36.461 --> 00:09:37.643]  So why do you care?
[00:09:37.643 --> 00:09:46.999]  Maybe you want to send a message by getting rid of old Alex Jones bottom line Everybody knows it's a serious issue and that the Clintons have a thinner skin in politics
[00:09:47.685 --> 00:09:54.591]  So I want you and your controllers to understand that I am conscious of this, and I'm doing this because I'm the opposite of people like you.
[00:09:54.591 --> 00:09:57.974]  I'm not a parasite, I'm not a bully, I'm not a coward.
[00:09:57.974 --> 00:10:11.526]  And I can't sit back and watch you dismantle this nation, go after our Second Amendment, and bring us into a world government, and put Obamacare on people's backs that absolutely bankrupts them and is designed to make this nation nothing but a bunch of part-time workers.
[00:10:12.344 --> 00:10:16.028]  They can only dream of a better future through government.
[00:10:16.028 --> 00:10:21.094]  Somebody, just like our ancestors did, standing up against King George has to stand up against you.
[00:10:21.094 --> 00:10:26.301]  I'm going to hand the baton to David Knight, broadcasting from the Infowars.com News Center in Austin, Texas.
[00:10:27.148 --> 00:10:28.328]  All right, and that was Alex Jones.
[00:10:28.328 --> 00:10:30.389]  We're going to have that report that he's putting together.
[00:10:30.389 --> 00:10:31.829]  We're going to have that in the second hour.
[00:10:31.829 --> 00:10:34.270]  Make sure that you stay tuned for that report.
[00:10:34.270 --> 00:10:38.532]  You know, it is August the 28th, 2016.
[00:10:38.532 --> 00:10:43.113]  That is 268 days since Hillary Clinton has had a press conference.
[00:10:43.113 --> 00:10:50.095]  I think we need to do something like Ted Koppel did with the, what was it, he had the Nightline Show years and years ago.
[00:10:50.095 --> 00:10:52.156]  If you remember, if you're old enough,
[00:10:52.816 --> 00:10:59.980]  What happened was the Iranians took the American Embassy hostage, and so they did a special report to talk about it that night.
[00:10:59.980 --> 00:11:01.201]  They came back the next night.
[00:11:01.201 --> 00:11:04.583]  This is night number two of the Iranian hostage situation.
[00:11:04.583 --> 00:11:06.604]  They kept going, and kept going, and kept going.
[00:11:06.604 --> 00:11:13.828]  Finally, when it was nearly a year, or a little over a year, I forget how long they were there, sorry, but however long it took,
[00:11:14.738 --> 00:11:21.901]  They have been doing this special report, leading off their news every night, talking about the Iranian hostage situation that was never resolved.
[00:11:21.901 --> 00:11:26.163]  They did that for so long that they kept the program with Ted Koppel, called it Nightline.
[00:11:26.163 --> 00:11:26.924]  You know what we need to do?
[00:11:26.924 --> 00:11:29.565]  We need to start the program, I think, every day.
[00:11:29.565 --> 00:11:32.326]  Instead of the Star Wars theme song, we need to come
[00:11:32.586 --> 00:11:36.970]  With the Nightline theme song from 30, 40 years ago.
[00:11:36.970 --> 00:11:46.518]  And we need to say, how many days Hillary has held America hostage, kept us in the dark because she's running away from questions.
[00:11:46.518 --> 00:11:50.281]  She hasn't taken questions from the press in an open give and take.
[00:11:50.281 --> 00:11:57.546]  It's been prepared, scripted engagements with the press or with her podcast.
[00:11:57.546 --> 00:11:58.908]  And she hasn't done that since December the 5th.
[00:11:59.793 --> 00:12:00.954]  And so we need to call her on that.
[00:12:00.954 --> 00:12:03.236]  We need to call her on that every day.
[00:12:03.236 --> 00:12:05.258]  You know, we had some people just this last week.
[00:12:05.258 --> 00:12:08.140]  She was at an event and the press was very timid.
[00:12:08.140 --> 00:12:09.742]  Gathered around here with their cameras.
[00:12:09.742 --> 00:12:11.523]  They were afraid to engage her, to talk to her.
[00:12:11.523 --> 00:12:12.044]  She's sitting there.
[00:12:12.044 --> 00:12:13.525]  Somebody's offering her chocolate.
[00:12:13.525 --> 00:12:17.489]  Finally, somebody has the temerity to ask her a question.
[00:12:17.489 --> 00:12:19.931]  And she just looks at them and says, have some chocolate.
[00:12:20.623 --> 00:12:24.184]  You know, as I said on Friday, it's kind of like a forced gump, you know?
[00:12:24.184 --> 00:12:27.086]  A press conference is like a box of chocolates.
[00:12:27.086 --> 00:12:29.847]  You never really know what you're going to get.
[00:12:29.847 --> 00:12:33.748]  So, what Hillary took away from that is to run, Hillary, run.
[00:12:33.748 --> 00:12:41.992]  Run away from the questions and just make sure, if you're a reporter, that she doesn't offer you some Turkish delights from her supporter Fatala Gulen.
[00:12:41.992 --> 00:12:46.813]  If you know what I'm talking about with Narnia, you know what I'm talking about with Hillary Clinton.
[00:12:46.813 --> 00:12:47.634]  We're also going to talk
[00:12:48.254 --> 00:12:51.137]  In this segment, we're going to talk about bleach bed.
[00:12:51.137 --> 00:12:52.458]  You know, we've had this come out.
[00:12:52.458 --> 00:12:55.020]  It wasn't just a mistake.
[00:12:55.020 --> 00:12:56.601]  This was deliberate.
[00:12:56.601 --> 00:13:02.326]  It was industrialized destruction of evidence, and that's what Trey Gowdy's been talking about.
[00:13:02.326 --> 00:13:09.913]  We're going to talk a little bit about that, as well as Trump's comments that the NSA, he thinks, has those 30,000-some-odd emails.
[00:13:09.913 --> 00:13:11.294]  33,000, I believe.
[00:13:11.294 --> 00:13:13.676]  We're also going to talk about his tax return.
[00:13:13.676 --> 00:13:15.678]  Should Trump release his tax return?
[00:13:16.650 --> 00:13:19.571]  There's some different opinions on that.
[00:13:19.571 --> 00:13:21.091]  Roger Stone says yes he should.
[00:13:21.091 --> 00:13:25.152]  His son Eric Trump said it would be foolish for my dad to release tax returns.
[00:13:25.152 --> 00:13:26.753]  We're going to talk about that as well.
[00:13:26.753 --> 00:13:29.114]  And we're also going to play for you Nigel Farage.
[00:13:29.114 --> 00:13:36.156]  He had a great stump speech in Mississippi, introducing Donald Trump, who he believes has potential to be Reagan 2.0.
[00:13:38.331 --> 00:13:46.854]  I think that's true and I want you to hear a good part of the Nigel Farage speech because he really lays out what the issues are there.
[00:13:46.854 --> 00:13:53.756]  As well as pointing out to people that they were told right up to the very end they were way behind in the polls for Brexit.
[00:13:53.756 --> 00:13:55.737]  But people showed up anyway.
[00:13:55.737 --> 00:14:04.200]  They want to discourage you, they want to set the expectations for how they're going to stuff the ballots or how they're going to flip the electronic voting machines.
[00:14:04.200 --> 00:14:05.100]  All of that is an issue.
[00:14:05.831 --> 00:14:25.280]  But I believe that if we show up in mass, in a massive number, just like they did in Brexit, if we show up with numbers too large for them to credibly put this back, or even to the extent if they look at it and say, well, you know what, we've got so many people here, I think they're going to call BS on this if we flip these election returns to that degree.
[00:14:25.280 --> 00:14:27.421]  We may have to deal with this in a different way.
[00:14:28.061 --> 00:14:28.861]  And let it go through.
[00:14:28.861 --> 00:14:49.065]  And of course, as he's looking at Brexit, he's saying, look, if this hasn't happened by a certain time, and he talks about the things that he wants to see happen with Brexit, if these guys that are now in power, I should say the lady who's now in power, Theresa May, if she's going to sit on this, if she's going to shut this down, then they're going to have something to say about it.
[00:14:49.065 --> 00:14:51.505]  And of course, we will as well.
[00:14:51.505 --> 00:14:56.186]  I want to take a quick look at some of the breaking news articles, because as Alex Jones is talking about the
[00:14:57.293 --> 00:15:00.497]  Way that we've seen Hillary operate for the longest period of time.
[00:15:00.497 --> 00:15:01.918]  It's not just Hillary.
[00:15:01.918 --> 00:15:06.483]  There's also the upper echelons of the Republican establishment.
[00:15:06.483 --> 00:15:12.049]  You know, we've got Paul Wolfowitz, the guy who was, as many people said, the architect of the Iraq War.
[00:15:12.049 --> 00:15:14.732]  The guy who, I would say, can't find Osama bin Laden on a map.
[00:15:15.543 --> 00:15:17.485]  He wasn't in Iraq, okay?
[00:15:17.485 --> 00:15:19.187]  Nevertheless, he says, well, I wasn't the architect.
[00:15:19.187 --> 00:15:21.329]  If I'd been the architect, I would have done it differently.
[00:15:21.329 --> 00:15:22.430]  Okay, fine.
[00:15:22.430 --> 00:15:22.730]  Fine.
[00:15:22.730 --> 00:15:24.952]  You want to say that you would have done this little thing?
[00:15:24.952 --> 00:15:28.236]  The issue is, should you have started that war?
[00:15:28.236 --> 00:15:31.819]  Should Hillary have started the war and the overthrow of Gaddafi and Libya?
[00:15:31.819 --> 00:15:33.401]  Are we better off when they did that?
[00:15:33.401 --> 00:15:37.985]  And of course, the emails have come out, and we've seen that Hillary started that war
[00:15:39.006 --> 00:15:48.371]  In Libya, because they were concerned, one of their chief concerns was the idea that they would have competition against the central bank's fiat currency.
[00:15:48.371 --> 00:15:52.453]  Gaddafi was going to set up a currency backed in gold and go against the petrodollar.
[00:15:52.453 --> 00:15:54.334]  We can now see that as a fact.
[00:15:54.334 --> 00:15:57.035]  We told you that then, and now we can see it in the email.
[00:15:57.035 --> 00:15:57.455]  Stay with us.
[00:15:57.455 --> 00:15:58.176]  We'll be right back.
[00:16:01.118 --> 00:16:02.760]  Clean, pure drinking water.
[00:16:02.760 --> 00:16:04.242]  You can't survive without it.
[00:16:04.242 --> 00:16:05.444]  But where do you get it?
[00:16:05.444 --> 00:16:11.452]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:16:11.452 --> 00:16:17.139]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:16:17.339 --> 00:16:34.211]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:16:34.611 --> 00:16:37.093]  Filter capacity up to 5,000 gallons.
[00:16:37.093 --> 00:16:38.554]  Stainless steel construction.
[00:16:38.554 --> 00:16:39.595]  Easy assembly.
[00:16:39.595 --> 00:16:40.516]  Low maintenance.
[00:16:40.516 --> 00:16:42.618]  Replacement filters are simple to install.
[00:16:42.618 --> 00:16:49.884]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:16:49.884 --> 00:16:55.088]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:16:55.088 --> 00:16:57.670]  Go to InfowarsStore.com or call 888-253-3139.
[00:17:01.073 --> 00:17:05.215]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:17:05.215 --> 00:17:12.698]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:17:12.698 --> 00:17:23.623]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:17:24.143 --> 00:17:31.946]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:17:31.946 --> 00:17:41.290]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:17:41.610 --> 00:17:46.056]  This formula is the platinum standard of multivitamin mineral products.
[00:17:46.056 --> 00:17:53.125]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:17:53.125 --> 00:17:54.586]  That means it's clean.
[00:17:54.586 --> 00:17:55.748]  That means it's pure.
[00:17:55.748 --> 00:17:58.651]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:17:58.651 --> 00:18:00.334]  Take action now before we sell out.
[00:18:02.194 --> 00:18:06.156]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[00:18:06.156 --> 00:18:12.459]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[00:18:12.459 --> 00:18:19.742]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:18:19.742 --> 00:18:28.546]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:18:28.846 --> 00:18:35.032]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:18:35.032 --> 00:18:39.856]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:18:39.856 --> 00:18:43.459]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:18:43.459 --> 00:18:45.341]  No needles, no injections.
[00:18:45.341 --> 00:18:47.002]  Don't take my word for it.
[00:18:47.002 --> 00:18:48.203]  Try it for yourself.
[00:18:48.203 --> 00:18:49.785]  Discover the secret, Secret 12.
[00:18:50.485 --> 00:18:55.772]  Secure your Revolutionary Secret 12 Formula right now at InfoWarsLife.com or call 888-253-3139.
[00:18:55.772 --> 00:18:56.252]  InfoWarsLife Secret 12.
[00:19:02.156 --> 00:19:07.218]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:19:07.218 --> 00:19:16.062]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:19:16.062 --> 00:19:20.003]  Youngevity also offers you an ingenious way to augment your income.
[00:19:20.003 --> 00:19:20.804]  And the best part?
[00:19:20.804 --> 00:19:23.665]  You'll be helping your friends and family along the way.
[00:19:23.665 --> 00:19:26.286]  Visit InfoWarsTeam.com today.
[00:19:26.286 --> 00:19:27.066]  Become a member.
[00:19:27.066 --> 00:19:31.128]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:19:31.348 --> 00:19:38.071]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:19:38.071 --> 00:19:39.031]  Another win-win.
[00:19:39.031 --> 00:19:42.772]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:19:42.772 --> 00:19:44.013]  And you can be too.
[00:19:44.013 --> 00:19:44.553]  It's simple.
[00:19:44.553 --> 00:19:47.494]  Just go to Infowarsteam.com today.
[00:19:47.494 --> 00:19:49.595]  Complete a short sign-up and you're part of the team.
[00:19:49.595 --> 00:19:52.856]  That's Infowarsteam.com or Infowarshealth.com.
[00:19:52.856 --> 00:19:59.158]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:19:59.158 --> 00:20:00.459]  Check it out for yourself today.
[00:20:05.111 --> 00:20:18.259]  You're listening to the Alex Jones Show!
[00:20:18.259 --> 00:20:24.282]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[00:20:24.282 --> 00:20:26.824]  You're listening to the Alex Jones Show!
[00:20:30.578 --> 00:20:31.978]  Welcome back to the Alex Jones Show.
[00:20:31.978 --> 00:20:38.000]  I'm David Knight here live on this 268th day since Hillary Clinton has had a press conference.
[00:20:38.000 --> 00:20:41.761]  We're going to go back to the news here and cover some breaking news stories.
[00:20:41.761 --> 00:20:46.682]  Before I do, I want to remind you that we have a new product, BioTrue Selenium.
[00:20:46.682 --> 00:20:54.745]  And of course, we're offering a package with the BioTrue Selenium as well as the X2 nascent iodine together because both of those help support thyroid health.
[00:20:55.985 --> 00:20:57.986]  I've taken selenium for a very long time.
[00:20:57.986 --> 00:21:01.489]  It goes back several decades to when my uncle alerted me to it.
[00:21:01.489 --> 00:21:04.231]  Both my uncle and my dad at the time had prostate cancer.
[00:21:04.231 --> 00:21:10.214]  And as my uncle was doing research and looking into things that he could do, he was telling me about selenium.
[00:21:11.175 --> 00:21:15.216]  Recall on the day that we launched this, we had Dr. Group talking about the many, many studies.
[00:21:15.216 --> 00:21:16.556]  You can look this up for yourself.
[00:21:16.556 --> 00:21:21.437]  Look at various types of cancer, how they have done studies.
[00:21:21.437 --> 00:21:31.098]  People who had selenium supplementation and didn't have a deficiency of selenium, they had anywhere from a 40 to 60 percent less risk of cancer.
[00:21:31.098 --> 00:21:39.660]  So it's one of the things that you can do along with exercise and other diets, but to have the right kind of nutrients, because selenium works with other nutrients in your body.
[00:21:40.280 --> 00:21:47.222]  To help keep your metabolism strong as well as your immune system to help you to fight cancer.
[00:21:47.222 --> 00:21:57.425]  So I've been taking this for decades and I'm very excited to have a pure form of this that is 100% organic.
[00:21:57.425 --> 00:22:05.827]  Because a lot of times we take these trace minerals, I have to dig them out of the ground and you always have to worry about, well, are there some other heavy metals that are attached to this that I don't want to get?
[00:22:05.827 --> 00:22:08.288]  One of the things I like about the BioTrue Selenium
[00:22:08.948 --> 00:22:13.170]  Is that they get it out of pressing mustard seeds that are 100% organic.
[00:22:13.170 --> 00:22:17.472]  So you don't have to worry about any heavy metal trace elements in this source of selenium.
[00:22:17.472 --> 00:22:24.555]  You always want to make sure you've got good quality supplements after you've looked at the type of supplements that you believe will help you with your health.
[00:22:24.555 --> 00:22:32.558]  So that's one of the things that I'm really excited about to know that I've got a good 100% organic source of this that I can trust.
[00:22:32.558 --> 00:22:34.099]  And I do trust Dr. Group.
[00:22:34.099 --> 00:22:35.019]  He does his research.
[00:22:35.019 --> 00:22:36.640]  He really understands what's going on with it.
[00:22:37.080 --> 00:22:42.925]  That is a new product, BioTrue Selenium, as well as a package there with X2 Nascent Iodine.
[00:22:42.925 --> 00:22:44.827]  Take a look at that at Infowarslife.com.
[00:22:44.827 --> 00:22:50.012]  Now as we're going to break, I started to talk about Paul Wolfowitz, and of course he was one of the people.
[00:22:51.038 --> 00:22:55.462]  Who pushed us into the Iraq War.
[00:22:55.462 --> 00:22:57.964]  And he's calling Trump dangerous.
[00:22:57.964 --> 00:23:02.268]  This guy who pushed us into the Iraq War is calling Trump dangerous.
[00:23:02.268 --> 00:23:11.576]  How many people died, how many people were maimed, both Americans and Iraqis, over the lies that were pushed to us by the Bush administration?
[00:23:11.576 --> 00:23:13.157]  How many people?
