[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[00:05:01.107 --> 00:05:08.273]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:05:08.273 --> 00:05:09.994]  This is their big offensive.
[00:05:09.994 --> 00:05:11.455]  This is their takeover.
[00:05:11.455 --> 00:05:15.478]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:05:15.478 --> 00:05:20.422]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:05:20.422 --> 00:05:22.984]  Their depopulation agenda has been exposed.
[00:05:22.984 --> 00:05:28.729]  But they're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:05:29.289 --> 00:05:34.690]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:05:34.690 --> 00:05:38.371]  And when you buy products at InfoWarsTore.com, you keep us on air.
[00:05:38.371 --> 00:05:45.433]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[00:05:45.433 --> 00:05:47.513]  Both of these are in our top five best sellers.
[00:05:47.513 --> 00:05:48.694]  They are so good for your body.
[00:05:48.694 --> 00:05:52.254]  And if there's two things you do for your body, it's these two products.
[00:05:52.254 --> 00:05:56.875]  They're all back in stock at InfoWarsTore.com, 50% off, and it keeps us on the air.
[00:05:56.875 --> 00:05:58.736]  Only way we fail is if you don't take action.
[00:06:02.783 --> 00:06:04.484]  Big Brother.
[00:06:04.484 --> 00:06:06.804]  Mainstream media.
[00:06:06.804 --> 00:06:08.605]  Government cover-ups.
[00:06:08.605 --> 00:06:10.686]  You want to stop tyranny?
[00:06:10.686 --> 00:06:12.806]  Well, so does he.
[00:06:12.806 --> 00:06:17.548]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:29.733 --> 00:06:39.676]  We've been getting a lot of psychic turbulence, as I know all of you have been the last few weeks, because we are going over the top right now, all of us together.
[00:06:39.676 --> 00:06:48.379]  The globalists are attempting their total criminal big pharma biomedical state takeover, but humanity is not having its will broken by this.
[00:06:48.379 --> 00:06:49.840]  Humanity is awakening.
[00:06:50.669 --> 00:07:02.478]  The Great Reset is an attack on the Great Awakening, the Great Third Phase of the Renaissance, launched 576 years ago.
[00:07:02.478 --> 00:07:07.782]  Ladies and gentlemen, I'll be completely honest with all of you.
[00:07:07.782 --> 00:07:10.544]  I've been cracking up on air.
[00:07:10.544 --> 00:07:11.825]  Not cracking up making jokes.
[00:07:11.825 --> 00:07:15.027]  I've been breaking down on air.
[00:07:15.027 --> 00:07:18.850]  And I'm just going to be honest again and just say, that's what everybody should be doing.
[00:07:20.356 --> 00:07:47.507]  If you're not freaking out, if you're not extremely uncomfortable, if you're not going through a lot of real introspection, and if you're not really shaking at the very foundations of your psyche and your soul and your will, then something is totally wrong with you.
[00:07:47.507 --> 00:07:48.127]  Now this morning,
[00:07:49.696 --> 00:07:54.800]  Just the news that came out today is even more devastating than the day before, that was more devastating the day before.
[00:07:54.800 --> 00:07:57.623]  It's just every day it's all coming out in the open.
[00:07:57.623 --> 00:08:05.650]  And then you see the head of Pfizer quarterbacking this eugenics attack, the greatest mass murder in human history, and it's just getting started, laughing and giggling.
[00:08:06.190 --> 00:08:13.796]  And declaring it's a genetic revolution to fix humanity and fix all of our DNA, and that it's a forced takeover for our own good.
[00:08:13.796 --> 00:08:23.322]  I mean, this is a dystopic science fiction movie of all science fiction movies, and we're living in this horror.
[00:08:23.322 --> 00:08:25.364]  Now, here's what's happened.
[00:08:25.364 --> 00:08:31.788]  And this is why we've reached the point of the event horizon, or no return.
[00:08:31.788 --> 00:08:34.250]  They are not getting away with this right now.
[00:08:34.250 --> 00:08:35.671]  And there's no way they're going to get away with it.
[00:08:37.919 --> 00:08:51.470]  Unless they launch a giant nuclear war or unless they do a big cyber attack and claim terrorists did it and take down most of the power grids and let civilization degenerate for a few months and basically collapse.
[00:08:51.470 --> 00:08:57.675]  Because a couple months of no power, you're going to have road warrior situation and it'll be very hard to ever reverse it.
[00:08:57.675 --> 00:09:01.919]  So you think we're winning and I think we're winning on the surface politically it looks like it.
[00:09:03.611 --> 00:09:07.312]  My spider sense is never been at this level.
[00:09:07.312 --> 00:09:11.354]  I told you it was 10 times what it previously was yesterday.
[00:09:11.354 --> 00:09:13.955]  It's like 20 times today.
[00:09:13.955 --> 00:09:22.338]  And so I just pray to God to give us strength and discernment and give us a calm spirit and to please help me be a calm, nice person.
[00:09:22.338 --> 00:09:24.098]  Please, Jesus.
[00:09:24.098 --> 00:09:27.219]  And I just think everybody needs to understand that this is a spiritual attack.
[00:09:27.219 --> 00:09:30.220]  This is good versus evil.
[00:09:30.220 --> 00:09:31.561]  And what we are witnessing is
[00:09:35.336 --> 00:09:38.498]  The beginning of the rise of the Antichrist and everything else that's going to follow.
[00:09:38.498 --> 00:09:42.819]  I mean, you are now entering the great birth pains.
[00:09:42.819 --> 00:09:45.141]  I don't know if they'll go 5 years, 10 years, 20 years.
[00:09:45.141 --> 00:09:49.282]  They intend to have their world government in total place within 8.
[00:09:49.282 --> 00:09:50.763]  And 80% of us dead.
[00:09:50.763 --> 00:09:56.566]  And those are all official numbers now.
[00:09:56.566 --> 00:10:02.629]  When I look at this news, I start having an anxiety attack.
[00:10:02.629 --> 00:10:03.309]  If I was given
[00:10:04.438 --> 00:10:06.920]  A letter that had a thumb drive in it.
[00:10:06.920 --> 00:10:10.682]  And I put the thumb drive in and it was my neighbor butchering a child in their basement.
[00:10:10.682 --> 00:10:11.602]  I would start hyperventilating.
[00:10:11.602 --> 00:10:12.463]  I'd probably throw up.
[00:10:12.463 --> 00:10:14.304]  I'd call the police.
[00:10:14.304 --> 00:10:16.886]  I would have a panic attack.
[00:10:16.886 --> 00:10:18.427]  I don't have panic attacks a lot in my life.
[00:10:18.427 --> 00:10:23.570]  I've been in car wrecks where people I was with had arm cut off, blood spring everywhere, totally calm.
[00:10:23.570 --> 00:10:24.770]  I've been in all sorts of stuff.
[00:10:24.770 --> 00:10:33.776]  But this mass evil on this scale, if you aren't completely freaked out, there's something extremely, extremely
[00:10:35.293 --> 00:10:38.695]  Wrong with you.
[00:10:38.695 --> 00:10:39.795]  Absolutely wrong with you.
[00:10:39.795 --> 00:10:43.477]  So the reason I'm saying all this is I have all this show planned.
[00:10:43.477 --> 00:10:47.119]  I have all these clips, all these documents, all these incredible things.
[00:10:47.119 --> 00:10:50.461]  And I am having trouble doing the show.
[00:10:50.461 --> 00:10:54.343]  And again, I don't say that as some type of big event on air.
[00:10:54.343 --> 00:10:55.704]  Like, oh, look, he's having trouble with the show.
[00:10:55.704 --> 00:10:59.166]  I mean, this information is all confirmed.
[00:11:00.606 --> 00:11:04.888]  And what it signifies is the end of civilization as we know it.
[00:11:04.888 --> 00:11:13.652]  There's a 40% increase in worldwide death indexed by nations that give the Pfizer or Moderna shots.
[00:11:13.652 --> 00:11:22.156]  Major insurance companies confirm 40 to 40 plus percent death increase in 145 nations.
[00:11:22.156 --> 00:11:23.216]  And that's just the start.
[00:11:23.216 --> 00:11:24.797]  They really did it.
[00:11:24.797 --> 00:11:27.018]  And I have family that rebelled against me.
[00:11:28.393 --> 00:11:30.774]  Just for rebellion's sake, and that took it.
[00:11:30.774 --> 00:11:34.855]  And they look so sick and so bad now.
[00:11:34.855 --> 00:11:36.875]  And that's the thing I haven't talked about because it's personal.
[00:11:36.875 --> 00:11:42.477]  And it just, it just tears my guts out.
[00:11:42.477 --> 00:11:46.598]  And then there's the frustration level of seeing the left that are so deceived spiritually.
[00:11:46.598 --> 00:11:49.559]  They think this is all funny and cute, they're getting Pfizer money.
[00:11:49.559 --> 00:11:51.620]  Down to low-level YouTubers.
[00:11:51.620 --> 00:11:52.600]  They have a few thousand views.
[00:11:53.655 --> 00:12:01.099]  I mean, it's just watching the people go along with it and get hurt by it so bad.
[00:12:01.099 --> 00:12:06.301]  It is the Great Delusion.
[00:12:06.301 --> 00:12:11.103]  You know, almost every time we hear a Gregory's report, I say, well, that was his best report.
[00:12:11.103 --> 00:12:18.607]  Well, all of them have just been over the top, but the one that we just aired the first five minutes that some stations don't carry is so incredibly powerful.
[00:12:18.607 --> 00:12:19.467]  We can put that on screen.
[00:12:19.467 --> 00:12:21.148]  I'm going to ask listeners to go and get it and share it.
[00:12:22.037 --> 00:12:26.178]  Got 13,000 views, went up a few hours ago, needs 50 million views.
[00:12:26.178 --> 00:12:30.539]  The truth about mass psychosis.
[00:12:30.539 --> 00:12:34.400]  And it's just short five minutes.
[00:12:34.400 --> 00:12:37.961]  Crystalline Veritas.
[00:12:37.961 --> 00:12:44.563]  So, let me just try to say this very calmly then.
[00:12:46.049 --> 00:12:56.297]  Because I was out to write for the show, trying to write a show headline, and it was, what's happening is so incredible that I was just, it hit me like, this is actually happening.
[00:12:56.297 --> 00:13:08.207]  And I know you know that, I know I know that, but has it sunk into your cells that there's a 40% death increase worldwide for the first time since they started counting those numbers 100 years ago?
[00:13:08.207 --> 00:13:09.268]  With the scientific fashion?
[00:13:12.421 --> 00:13:15.202]  40% death increase and it's not from COVID-19.
[00:13:15.202 --> 00:13:19.223]  You can take those numbers out, they're not even 1% of it.
[00:13:19.223 --> 00:13:31.425]  We are watching premeditated mass murder.
[00:13:31.425 --> 00:13:35.686]  So let me tell you what's going on.
[00:13:35.686 --> 00:13:39.987]  Now this already happened months ago, but now the official government came out to cover their ass and did this.
[00:13:41.343 --> 00:13:55.248]  And that's in the SPARS drill they did a few years before they launched this, that once it comes out they're killing everybody, then they've got a way to spin it and claim it's an accident, and then that collapses civilization and collapses confidence, which is good to, quote, lower the carbon footprint.
[00:13:55.248 --> 00:14:04.572]  Because when the public finds out that they've been killed, they're going to now die slowly.
[00:14:04.572 --> 00:14:07.333]  And they've got this all actuaried out, it's so sophisticated.
[00:14:07.333 --> 00:14:10.294]  That's why in certain regions and certain areas, they give you
[00:14:11.681 --> 00:14:13.202]  Saline.
[00:14:13.202 --> 00:14:16.903]  In others, they give you the standard mutagenic injection.
[00:14:16.903 --> 00:14:19.544]  And in others, whether it's Pfizer or Moderna, it's been confirmed.
[00:14:19.544 --> 00:14:20.664]  I have the articles here.
[00:14:20.664 --> 00:14:27.927]  They soup it up to be hyper-mutagenic, where you'll have cancer within weeks.
[00:14:27.927 --> 00:14:30.348]  Very aggressive cancer.
[00:14:30.348 --> 00:14:34.230]  And so that way, they can kind of mess with the studies and go, we don't know why these people are all fine.
[00:14:34.230 --> 00:14:34.950]  These are all dying.
[00:14:36.420 --> 00:14:44.269]  This has been well planned out, and I've been studying it in depth long before they launched it, but now to be inside of it?
[00:14:44.269 --> 00:14:46.251]  This is just incredible.
[00:14:46.251 --> 00:14:50.556]  The balls to do this.
[00:14:50.556 --> 00:14:55.361]  Now, on my own end, I can tell they're getting ready to make a move against everybody before the midterms because
[00:14:56.698 --> 00:15:01.581]  I haven't talked about the dirty tricks and the things that are going on against us, just that I know of.
[00:15:01.581 --> 00:15:04.202]  And it's not that I'm personally worried about me or InfoWars.
[00:15:04.202 --> 00:15:04.943]  I care about the operator.
[00:15:04.943 --> 00:15:06.083]  I care about the crew.
[00:15:06.083 --> 00:15:14.708]  It lets us know the timetable we're in right now, and also just adds to the urgency of every broadcast could be our last.
[00:15:14.708 --> 00:15:15.609]  I will never quit.
[00:15:15.609 --> 00:15:18.350]  I will never surrender when I throw fits on air.
[00:15:20.091 --> 00:15:27.323]  You know, say I want to quit, it's because at that moment I do, because I'm so sick of focusing on this evil, but we have to to stop it.
[00:15:27.323 --> 00:15:31.250]  And the Bible says the beginning of knowledge comes with great sorrow.
[00:15:31.250 --> 00:15:32.752]  And with great knowledge comes great sorrow.
[00:15:33.829 --> 00:15:40.954]  But I'd rather be alive and informed and know what's going on and know who God is than be deceived by these people, which is much worse.
[00:15:40.954 --> 00:15:43.035]  But I'm going to do my best when we come back, folks.
[00:15:43.035 --> 00:15:44.696]  It's just, I haven't scratched the surface.
[00:15:44.696 --> 00:15:46.898]  It's just unbelievable.
[00:15:46.898 --> 00:15:48.479]  It's all confirmed.
[00:15:48.479 --> 00:15:50.881]  They are mass murdering people all around you.
[00:15:50.881 --> 00:15:56.404]  And they've got all these people to sign on to do it, who think they're doing well, who aren't going to be able to now admit what they've been part of.
[00:15:56.404 --> 00:15:57.385]  And that's part of the PSYOP.
[00:15:59.957 --> 00:16:15.466]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[00:16:15.466 --> 00:16:20.950]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[00:16:21.650 --> 00:16:27.956]  Winter Sun, the highest quality vitamin D3, taken under the tongue for higher absorption, is back in stock.
[00:16:27.956 --> 00:16:31.419]  Despite the fact it's been sold out for months, it is 50% off.
[00:16:31.419 --> 00:16:44.730]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[00:16:44.730 --> 00:16:46.212]  So that's the New Year's special.
[00:16:46.752 --> 00:16:49.994]  And that's Christmas Comes Early in 2022, ladies and gentlemen.
[00:16:49.994 --> 00:16:56.900]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[00:16:56.900 --> 00:16:58.761]  50% off for a limited time.
[00:16:58.761 --> 00:17:00.022]  Thanks for keeping us on the air.
[00:17:00.022 --> 00:17:03.104]  Three very important life-saving words.
[00:17:04.145 --> 00:17:04.605]  We're good to go!
[00:17:21.630 --> 00:17:27.792]  Compounds, amino acids known to help get the nutrients into your tissues, into your cells.
[00:17:27.792 --> 00:17:36.796]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[00:17:36.796 --> 00:17:40.577]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[00:17:40.577 --> 00:17:43.939]  We're going to run this for a week and then
[00:17:44.719 --> 00:17:46.401]  We are going to be selling out of this product.
[00:17:46.401 --> 00:17:52.870]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[00:17:52.870 --> 00:17:56.735]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win at InfoWarStore.com
[00:18:02.142 --> 00:18:04.303]  Get our great bag of it here.
[00:18:04.303 --> 00:18:07.804]  I mean, this is from, people say, why is it from Chiapas, Mexico?
[00:18:07.804 --> 00:18:08.905]  The communists!
[00:18:08.905 --> 00:18:16.248]  Well, that's where some of the best coffee in the world that's wild harvested, above organic, in the volcanic soil, better than Guatemalan coffee.
[00:18:16.248 --> 00:18:21.530]  And yeah, we buy it from the little farmers that, you know, the media calls communists, but really they're just a commune and whatever.
[00:18:21.530 --> 00:18:26.212]  The point is, is that it's good coffee and we've got it and the farmers don't let the Mexican government take over.
[00:18:26.212 --> 00:18:30.574]  So I actually buy this from the Mexican rebels and I've been buying it for, what, 14 years and the price has never gone up.
[00:18:31.254 --> 00:18:37.476]  We sold at Whole Foods under another name for about 50% more per pound, and I just think it's some of the best coffee you're going to find anywhere.
[00:18:37.476 --> 00:18:41.657]  It's Wake Up America Patriot Blend from the Chiapas Rebels, literally.
[00:18:41.657 --> 00:18:44.738]  Um, in fact, I'm not going to tell you the whole story.
[00:18:44.738 --> 00:18:48.079]  Um, yeah, I like that.
[00:18:48.079 --> 00:18:49.120]  You wouldn't believe it.
[00:18:49.120 --> 00:18:55.402]  Anyway, so, it's InfoWarsTore.com, and that's how we fund this operation, and if you don't fund us or don't want us here, that's fine.
[00:19:00.404 --> 00:19:07.327]  There is very little contemporary study in the world of the planet's ruling class.
[00:19:07.327 --> 00:19:16.450]  Not in Communist China, not in Mexico, not in the United States, not anywhere is there a real study of the planet's ruling class.
[00:19:16.450 --> 00:19:18.411]  And that's done by design.
[00:19:18.411 --> 00:19:23.573]  The large central banks that basically control the planet will penalize and target any academics
[00:19:24.505 --> 00:19:33.324]  They'd look into, say, the Anglo-American establishment that founded the Bilderberg Group, the Trilateral Commission of the United Nations, the whole project of the Rothschilds and the Rockefellers.
[00:19:34.326 --> 00:19:40.068]  Until 10 years ago, the media said, the controlled corporate media, the Bilderberg Group didn't exist.
[00:19:40.068 --> 00:19:49.252]  Well, now the Bilderberg Group is public, and its former head, still on the steering committee, is Klaus Schwab, and he has set up the Great Reset, a global government.
[00:19:49.252 --> 00:19:57.595]  And if, as a liberty movement worldwide, we don't address the globalists head-on about the fact that they are a worldwide authoritarian corporate takeover, we don't have a shot.
[00:19:57.595 --> 00:19:59.316]  If we do expose them, we can beat them easily.
[00:20:01.283 --> 00:20:07.191]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:20:24.591 --> 00:20:34.977]  Welcome, my friends, to the final days of the American Republic, the final days of civilization as we know it, the Great Reset, the Great Culling.
[00:20:34.977 --> 00:20:50.645]  I remember General Stubblebind, former head of the Army, warning me in person and then many times on air that they had this plan ready through the vaccines to start the depopulation.
[00:20:50.645 --> 00:20:53.227]  And his wife, of course, was a medical doctor that served heads of state.
[00:20:55.251 --> 00:21:01.395]  And there's been Hollywood movies made about him.
[00:21:01.395 --> 00:21:05.959]  He ran the secret government projects.
[00:21:05.959 --> 00:21:07.940]  And he's dead now.
[00:21:07.940 --> 00:21:09.881]  You think Burt Stubblebine told the truth?
[00:21:09.881 --> 00:21:12.723]  Yeah, he told the truth.
[00:21:12.723 --> 00:21:17.787]  And he had to basically hide out in the jungle when he released the information because they tried to come and kill him.
[00:21:22.355 --> 00:21:23.836]  They never came back to the U.S.
[00:21:23.836 --> 00:21:25.677]  after that, after they came on my show.
[00:21:25.677 --> 00:21:30.020]  They had to leave.
[00:21:30.020 --> 00:21:35.664]  So that's the type of sacrifice people have made to bring you this information.
[00:21:35.664 --> 00:21:40.387]  This isn't a game, folks.
[00:21:40.387 --> 00:21:48.452]  We knew first that it was nanoparticles they were synthetically releasing, thanks to General Flynn.
[00:21:48.452 --> 00:21:50.373]  Former head of Defense Intelligence.
[00:21:50.373 --> 00:21:51.634]  Former National Security Advisor.
[00:21:52.790 --> 00:21:57.511]  You think these people just make stuff up like this and risk their lives?
[00:21:57.511 --> 00:21:59.911]  No, ladies and gentlemen.
[00:21:59.911 --> 00:22:02.132]  The House of Cards is collapsing.
[00:22:02.132 --> 00:22:10.553]  EU government officially admits COVID-Vax destroys immune system.
[00:22:10.553 --> 00:22:19.795]  Meanwhile, the House Oversight Committee has released thousands of pages of documents proving Fauci completely committed perjury.
[00:22:20.902 --> 00:22:25.686]  When he claimed he was never involved in gain-of-function research.
[00:22:25.686 --> 00:22:45.764]  The DARPA and Pentagon documents released by Project Veritas confirmed not only did Fauci secretly develop COVID-19, but they knew that ivermectin was the miracle treatment before they released COVID-19.
[00:22:48.002 --> 00:22:50.644]  I wrote that right before I went live 25 minutes ago.
[00:22:50.644 --> 00:23:04.095]  We should probably add that the Congressional slash DARPA Pentagon documents because that's a huge story in and of itself and then each piece of that is massive and that's only the tip of the iceberg.
[00:23:04.095 --> 00:23:11.802]  Congress released last night thousands of pages of documents that they've had the Oversight Committee
[00:23:13.985 --> 00:23:22.991]  About the giant illegal program run by Bill Gates, Fauci, and Peter Daszak for Obama going back 12 years ago, about a year into Obama's administration.
[00:23:22.991 --> 00:23:25.253]  It was a big scandal in 2015.
[00:23:25.253 --> 00:23:29.976]  This is very well-known stuff.
[00:23:29.976 --> 00:23:35.000]  This is like them on the news saying, the Buccaneers have nothing to do with Tampa Bay.
[00:23:35.000 --> 00:23:35.740]  Everybody knows.
[00:23:35.740 --> 00:23:37.261]  And you're like, you're gaslighting me.
[00:23:39.153 --> 00:23:40.294]  Buccaneers are in Tampa Bay.
[00:23:40.294 --> 00:23:41.335]  No, they're not.
[00:23:41.335 --> 00:23:42.956]  They're in Wisconsin.
[00:23:42.956 --> 00:23:45.617]  You're like, no, that's Green Bay.
[00:23:45.617 --> 00:23:49.420]  The level of lying is insane.
[00:23:49.420 --> 00:23:58.286]  But that's all they've got is the gaslighting and is hoping you don't check into the fact that you've been lied to or that you signed on to a fraud and that you've now been hurt and maimed and may die.
[00:23:59.753 --> 00:24:02.935]  Because that's just too scary that they broke the social contract with you.
[00:24:02.935 --> 00:24:09.839]  That'd be like if kids started getting on school buses in the morning and the school bus drivers suddenly all over the country just pulled guns out and started shooting kids.
[00:24:09.839 --> 00:24:14.862]  People wouldn't know how to deal with that because that's the social contract being broken.
[00:24:14.862 --> 00:24:23.847]  And it's the same thing when Big Pharma and all the news and Congress are telling you this shot's good, take it, but then it makes you sick and erases your immune system.
[00:24:25.129 --> 00:24:34.954]  And in the Pentagon, it turns out, knew that ivermectin and hydroxychloroquine, but it's particularly ivermectin, is good throughout.
[00:24:34.954 --> 00:24:38.756]  Infection, when you're sick, and helping you not be sick.
[00:24:38.756 --> 00:24:41.437]  So, we have crime upon crime.
[00:24:41.437 --> 00:24:47.120]  But the big news is, courage is what?
[00:24:47.120 --> 00:24:48.500]  Courage is what?
[00:24:48.500 --> 00:24:49.261]  It's infectious.
[00:24:52.099 --> 00:24:54.560]  Globalist told me many years ago, Jones, they'll never wake up.
[00:24:54.560 --> 00:24:55.120]  They're animals.
[00:24:55.120 --> 00:24:55.720]  They don't care.
[00:24:55.720 --> 00:24:56.160]  You're a fool.
[00:24:56.160 --> 00:24:57.200]  Keep trying.
[00:24:57.200 --> 00:24:58.081]  They'll destroy you.
[00:24:58.081 --> 00:24:59.841]  And yes, some of the public are like rats.
[00:24:59.841 --> 00:25:01.422]  They are trying to destroy me, trying to save them.
[00:25:01.422 --> 00:25:02.222]  But it doesn't matter.
[00:25:02.222 --> 00:25:05.363]  A large group of people of every race, color, and creed care about the truth.
[00:25:05.363 --> 00:25:13.945]  And when they are faced with the hard facts, they are waking up and taking action.
[00:25:13.945 --> 00:25:15.305]  So I bet on humanity.
[00:25:15.305 --> 00:25:16.366]  I bet on you.
[00:25:16.366 --> 00:25:16.946]  And so far,
[00:25:18.120 --> 00:25:27.703]  Despite the biggest gaslighting hoax in history in this takeover, and all the attacks, and all the censorship, and all the bullying, it's backfired, and you're not submitting yet again.
[00:25:27.703 --> 00:25:33.605]  You're getting out of that comfort place, that coma you were in, and you're waking up and getting pissed.
[00:25:33.605 --> 00:25:34.945]  And I salute you.
[00:25:34.945 --> 00:25:42.547]  So I'm gonna calm down, I'm getting calm now, and I'm gonna come back next segment and cover all this news in a linear line.
[00:25:42.547 --> 00:25:46.469]  All this news in a linear line.
[00:25:46.469 --> 00:25:47.209]  As best I can.
[00:25:52.557 --> 00:25:53.538]  But it's huge.
[00:25:53.538 --> 00:25:59.341]  I mean, just that piece that Congress has the power to release classified information if that committee sees fit.
[00:25:59.341 --> 00:26:00.482]  And they did.
[00:26:00.482 --> 00:26:08.687]  That Fauci ran it and suppressed treatments and created the virus and went to the Pentagon and wanted to release it in 2017 and 2018.
[00:26:08.687 --> 00:26:09.568]  We told you that a year ago.
[00:26:09.568 --> 00:26:16.732]  Those documents were out then from people inside the project that were compartmentalized and went, oh my God, we did this on purpose.
[00:26:16.732 --> 00:26:19.194]  I'm going to release this to whistleblower groups.
[00:26:19.194 --> 00:26:19.974]  And they did.
[00:26:19.974 --> 00:26:20.835]  And it was all real.
[00:26:23.809 --> 00:26:28.752]  We went and checked and confirmed it was all real.
[00:26:28.752 --> 00:26:30.173]  And now it's all confirmed.
[00:26:30.173 --> 00:26:36.917]  Not just by whoever gave it to Project Veritas, probably Congress itself.
