[00:00:00.891 --> 00:00:02.612]  We're live, October 31st.
[00:03:17.350 --> 00:03:21.071]  You and I have the courage to tell our enemies there is a price we will not pay.
[00:03:21.071 --> 00:03:24.032]  There is a point beyond which evil must not advance.
[00:03:24.032 --> 00:03:30.014]  So you sit there with pedophiles and Satanists and devil worshippers and Klaus Schwab and Bill Gates and you wonder why they're attacking you.
[00:03:30.014 --> 00:03:31.735]  Well, that's what they do.
[00:03:31.735 --> 00:03:32.875]  They are coming for the children.
[00:03:32.875 --> 00:03:39.197]  They've announced the injection of 5 and up and then it'll be newborns with the deadly shot that embraces their immune system.
[00:03:39.197 --> 00:03:42.138]  And they're announcing they're going to do it at schools and they're going to force it.
[00:03:43.194 --> 00:03:48.415]  And that's going to cause violence and they're going to say then the people that resist are terrorists.
[00:03:48.415 --> 00:04:06.200]  And that's why they put it on the books as the main direct, not a law, but the regulations that the main mission of the FBI and the military and the CIA is crushing people that don't accept lockdowns and those that don't accept open borders, just Americans, and that they are going to come and they're going to arrest everybody and start killing people.
[00:04:07.037 --> 00:04:10.040]  Now, that's going to trigger a giant civil war.
[00:04:10.040 --> 00:04:12.563]  The globalists intend to chew up the U.S.
[00:04:12.563 --> 00:04:19.830]  system and collapse everything, and on its ashes bring in the really official global cashless society system.
[00:04:19.830 --> 00:04:22.473]  This is just the process of bringing us to that.
[00:04:22.473 --> 00:04:24.976]  They enjoy doing it to children.
[00:04:25.609 --> 00:04:31.613]  And so you're going to wake up to that fact, and you're going to understand that, or you are going to die.
[00:04:31.613 --> 00:04:34.514]  And your children are going to die with you.
[00:04:34.514 --> 00:04:47.462]  Because what you saw in Nazi Germany, and what you saw in Soviet Russia, and North Korea, and Maoist China, and Xi Jinping's China Today, and with the Muslims, and with what happens in Africa, and Latin America, and all that hell,
[00:04:47.762 --> 00:04:52.512]  And all that horror is going to look like a choir meeting.
[00:04:52.512 --> 00:04:54.415]  It's gonna look like Sunday school.
[00:04:54.415 --> 00:04:57.321]  It's gonna look like grandma knitting you a pair of mittens.
[00:05:00.421 --> 00:05:00.801]  I think so.
[00:05:21.656 --> 00:05:26.498]  It's even better than the last formula with chaga mushrooms and turmeric and just everything.
[00:05:26.498 --> 00:05:28.779]  It's so good, it's now available again.
[00:05:28.779 --> 00:05:30.500]  20% off.
[00:05:30.500 --> 00:05:32.381]  Ultra 12, 60% off.
[00:05:32.381 --> 00:05:34.162]  Alpha Power, 40% off.
[00:05:34.162 --> 00:05:35.602]  Knockout, 50% off.
[00:05:35.602 --> 00:05:37.003]  Living Defense, 50% off.
[00:05:37.003 --> 00:05:38.764]  Pure Turmeric Extract Bodies, 40% off.
[00:05:38.764 --> 00:05:42.886]  Activated Charcoal Toothpaste and Mouthwash, 50% off.
[00:05:42.886 --> 00:05:44.166]  And it goes on and on and on.
[00:05:44.166 --> 00:05:44.947]  Storable Foods,
[00:05:45.987 --> 00:05:46.988]  10% off last time of the year.
[00:05:46.988 --> 00:05:47.969]  That deal's happening.
[00:05:47.969 --> 00:05:51.811]  It's all available now at InfoWarsStore.com.
[00:05:51.811 --> 00:05:54.633]  The Black Friday sale comes early.
[00:05:54.633 --> 00:05:58.475]  It's going right now for the next two weeks and it supports the InfoWar.
[00:05:58.475 --> 00:05:59.916]  Take action now and get prepared.
[00:06:16.932 --> 00:06:22.434]  If you are receiving this transmission, you are the resistance.
[00:06:22.434 --> 00:06:28.936]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:28.936 --> 00:06:32.077]  Sunday live, ladies and gentlemen.
[00:06:32.077 --> 00:06:36.418]  It's Sunday, October 31st, 2021.
[00:06:36.418 --> 00:06:40.819]  And this is the show that should not be.
[00:06:40.819 --> 00:06:46.101]  The broadcast that should be off the air, but thanks to you, we are still fighting hard.
[00:06:47.222 --> 00:06:53.164]  Again, thank you for joining us on this Sunday, October 31st broadcast.
[00:06:53.164 --> 00:06:57.305]  Wow, the incredible amounts of news here.
[00:06:57.305 --> 00:07:14.630]  First off, Democratic Party operatives got caught again, like they did in Charlottesville four years ago, leading the attempt to stir up racial conflict so that they can try to derail an election and make sure that a Democrat gets into power.
[00:07:15.754 --> 00:07:20.618]  And replaces the other Democrat, the monster, Governor Northam, that's leaving.
[00:07:20.618 --> 00:07:43.477]  Caught red-handed right during the national firestorm of basically every newspaper and every so-called news TV program attacking Tucker Carlson and by extension, yours truly, for daring to say that January 6th had feds and NGOs, by the way, provocateuring
[00:07:45.137 --> 00:07:53.039]  A small minority of the million people that were there for a peaceful demonstration to break into the Capitol.
[00:07:53.039 --> 00:07:56.140]  It's the new war on terror, 2.0, the war on the American people.
[00:07:56.140 --> 00:07:59.481]  It's the plot against the people.
[00:07:59.481 --> 00:08:01.522]  And there's Tucker's show.
[00:08:01.522 --> 00:08:07.203]  He's going to be covering it all week on Fox.
[00:08:07.203 --> 00:08:13.425]  While they're all freaking out about the three-part series that starts airing tomorrow night, the plot against the people,
[00:08:16.229 --> 00:08:22.412]  And the left is celebrating that it's only available on Fox Nation to a few million people.
[00:08:22.412 --> 00:08:29.396]  Tucker's ratings are going to go up to all-time high and he's going to be covering it all week with the biggest highlights and proof.
[00:08:29.396 --> 00:08:36.599]  So just watching Tucker play the left like a fiddle and really torch all their fraud is a beautiful thing.
[00:08:36.599 --> 00:08:40.161]  It's an even more satisfying one.
[00:08:43.416 --> 00:08:55.563]  I get the credit, and it is a little bit due, but let's just say I helped wake up Tucker and Joe Rogan, and a lot of other people too.
[00:08:55.563 --> 00:08:58.124]  And it's not about me bragging.
[00:08:58.124 --> 00:09:08.690]  I'm usually somebody that doesn't sit back and savor things, but I've gone through a lot of hell to do this, which I asked for, but I did it all because the victory was going to be so sweet.
[00:09:09.687 --> 00:09:12.269]  And we got a long way to go, like Martin Luther King Jr.
[00:09:12.269 --> 00:09:18.653]  said, I won't be there with you in the promised land, but I can definitely see the promised land from here.
[00:09:18.653 --> 00:09:31.782]  And it's going to be beautiful, all of our children, black, white, old, young, brown, yellow, you name it, together in freedom, going to the next level, to the stars and beyond, and watching these nasty globalists that have tried to divide and conquer us fail.
[00:09:35.066 --> 00:09:44.990]  That's why they got all the major corporations, from AT&T to Goldman Sachs and JP Morgan to you name it, saying white people are inherently bad because of the color of their skin.
[00:09:44.990 --> 00:09:55.195]  I have, right here, and I got copies of it, the critical race theory training put out by the CEO, signed by him.
[00:09:55.195 --> 00:09:58.096]  And I've got a link in this article, a copy of it.
[00:09:59.284 --> 00:10:00.705]  Of course, Hitler said most whites were bad, too.
[00:10:23.069 --> 00:10:32.751]  You had the ubermensch and the supermen, and then you had just the regular slaves with the rest of the white people, and then everybody else that wasn't white.
[00:10:32.751 --> 00:10:36.112]  Death was actually what Hitler spoke about.
[00:10:36.112 --> 00:10:45.614]  That's why it was so refreshing when I had Dr. Zelenko on, who actually had a bunch of his family killed, grandparents and people in World War II.
[00:10:45.614 --> 00:10:48.615]  That's unfortunate, but he's refreshing because he knows all that stuff.
[00:10:49.560 --> 00:10:52.202]  I can actually talk to him and he's got his history straight.
[00:10:52.202 --> 00:10:54.364]  Few do.
[00:10:54.364 --> 00:11:00.029]  You know, you hear about Hitler all day, but do you know what Hitler really was pushing for?
[00:11:00.029 --> 00:11:06.254]  Hitler said, when we take over third world populations, we're going to slowly poison their food so they never know what hit them.
[00:11:06.254 --> 00:11:17.364]  And what do you think Henry Kissinger adopted was State Department Memorandum 200 in 1973, but was to carry out that plan of depopulation through the food supply and the water supply.
[00:11:17.364 --> 00:11:17.524]  So,
[00:11:19.554 --> 00:11:34.959]  There's a Jim Acosta piece, and I don't normally air Jim Acosta's attacks on myself or anybody else because he's just such a discredited joke, but Jim Acosta came out and he tried to gaslight everybody in a seven and a half minute clip.
[00:11:34.959 --> 00:11:36.460]  I'm going to take two segments out today.
[00:11:36.460 --> 00:11:38.560]  It'll take a good 20 minutes to cover this.
[00:11:38.560 --> 00:11:46.703]  I'm going to just play it and stop it, play it and stop it, because everything he's saying about myself and Tucker Carlson is what he's doing.
[00:11:49.304 --> 00:11:52.645]  And what his bosses are doing, AT&T that owns them.
[00:11:52.645 --> 00:11:59.246]  And he says it's just preposterous that anybody saying the American people are terrorists, but that the official U.S.
[00:11:59.246 --> 00:12:10.669]  government National Security Council policy of the Biden administration from June 3rd of this year, and it says in here, you question elections, you're a terrorist.
[00:12:11.889 --> 00:12:13.890]  You question open borders, you're a terrorist.
[00:12:13.890 --> 00:12:15.951]  You question lockdowns, you're a terrorist.
[00:12:15.951 --> 00:12:18.433]  You question forced inoculation, you're a terrorist.
[00:12:18.433 --> 00:12:20.314]  It says it in this damn report.
[00:12:20.314 --> 00:12:22.755]  I've shown you this probably 200 times.
[00:12:22.755 --> 00:12:25.236]  I've actually shown you the actual subsections where it says it.
[00:12:25.236 --> 00:12:28.038]  You can go read it.
[00:12:28.038 --> 00:12:29.999]  But to have Acosta, and not just him,
[00:12:31.954 --> 00:12:35.337]  It's every channel going, Tucker Carlson is insane.
[00:12:35.337 --> 00:12:38.279]  The federal government is not declaring war on the people.
[00:12:38.279 --> 00:12:42.842]  The federal government is not saying protesting parents at PTA meetings are not terrorists.
[00:12:42.842 --> 00:12:45.084]  Well, the hell they didn't.
[00:12:45.084 --> 00:12:56.813]  The National Teachers Association got on board after the National Association of School Boards got involved saying, quote, are terrorists and we want the FBI to come stop them.
[00:12:56.813 --> 00:12:58.815]  They're just like January 6th, on and on and on.
[00:13:00.342 --> 00:13:10.328]  So on the back of that, they are building this whole giant rollout of the War on Terror 2.0, and thank God I'm not the only one up here talking about it.
[00:13:10.328 --> 00:13:12.670]  And Tucker's been talking about it since before June.
[00:13:12.670 --> 00:13:14.691]  I mean, Tucker's smart.
[00:13:14.691 --> 00:13:15.831]  He sees the same thing I see.
[00:13:15.831 --> 00:13:17.993]  He doesn't need to tune into my show to know what's going on.
[00:13:19.400 --> 00:13:22.301]  In fact, he's taken what I do to another level in many cases.
[00:13:22.301 --> 00:13:24.602]  I didn't hear from him.
[00:13:24.602 --> 00:13:26.362]  It's not a competition.
[00:13:26.362 --> 00:13:28.083]  You know, the left try to drive a wedge out there.
[00:13:28.083 --> 00:13:31.524]  I mean, hundreds of articles, oh my gosh, Jones is upset.
[00:13:31.524 --> 00:13:33.685]  Tucker's stealing his BS game.
[00:13:33.685 --> 00:13:41.827]  My BS game that you announced that protesting parents against pedophilia and whites being taught they're inherently evil, you're going to say we're terrorists?
[00:13:41.827 --> 00:13:43.028]  You did that!
[00:13:43.028 --> 00:13:45.728]  You made what I warned of come true.
[00:13:45.728 --> 00:13:47.069]  Because I was already aware of your plans.
[00:13:48.553 --> 00:13:58.177]  So this is a big moment because the entire Republican Party is waking up to the new world order of the globalists and the Great Reset and the rest of it.
[00:13:58.177 --> 00:14:10.902]  And the whole neocon arm of Karl Rove and George W. Bush and the rest of them are becoming completely obsolete and aren't even really contending anymore for power in the party.
[00:14:10.902 --> 00:14:13.864]  Whoever Trump certifies, whoever Trump supports,
[00:14:14.964 --> 00:14:19.946]  Like 150 plus races, two that he endorsed lost.
[00:14:19.946 --> 00:14:21.307]  150 plus won.
[00:14:21.307 --> 00:14:26.009]  That doesn't mean Trump's perfect, but compared to the globalists, I mean, he's the polar opposite.
[00:14:26.009 --> 00:14:27.309]  He's not out to get the country.
[00:14:27.309 --> 00:14:28.630]  He's not a eugenicist.
[00:14:28.630 --> 00:14:30.571]  He certainly made mistakes.
[00:14:30.571 --> 00:14:32.611]  And so it's our country.
[00:14:32.611 --> 00:14:34.052]  We're taking it back.
[00:14:34.052 --> 00:14:40.615]  And that's why they're trying to push us into a confrontation, push us into violence, because we're winning this politically.
[00:14:41.479 --> 00:14:44.401]  So they're trying to push us into violence.
[00:14:44.401 --> 00:14:46.323]  That's one side of the Pinscher attack.
[00:14:46.323 --> 00:14:53.688]  And the other big side of the Pinscher attack, where they catch you in their jaws, is they have election fraud.
[00:14:53.688 --> 00:14:55.890]  And that's the big problem.
[00:14:55.890 --> 00:14:58.332]  So let me first get into the problem.
[00:14:58.332 --> 00:15:00.873]  And it's a big problem when we come back.
[00:15:00.873 --> 00:15:01.974]  Because what did I say?
[00:15:01.974 --> 00:15:03.816]  It's not hard to predict this.
[00:15:03.816 --> 00:15:07.919]  They're going to continue to do record level mail-in ballots right through the
[00:15:09.295 --> 00:15:13.559]  Presidential election in three years, but especially the midterms next year.
[00:15:13.559 --> 00:15:17.142]  They're going to pull major COVID and other virus shenanigans next year.
[00:15:17.142 --> 00:15:18.483]  They admit that's their plan.
[00:15:18.483 --> 00:15:26.010]  And they're calling in a red mirage again for the Republican running for governor because he's up, even in their own skewed polls, 510 points.
[00:15:26.010 --> 00:15:26.991]  They're in total panic mode.
[00:15:27.839 --> 00:15:31.202]  Even their completely fake polls, he's three, four points ahead.
[00:15:31.202 --> 00:15:38.428]  And so, they're going, oh, but don't worry, it's going to take a couple weeks to see who the winner is, because there's going to be some extra ballots that get found.
[00:15:38.428 --> 00:15:43.532]  Whatever amount they need, they've already got them in warehouses ready to bring in, and we've got the information on that.
[00:15:43.532 --> 00:15:51.218]  So, they're acing the holes called fraud, and called stuffing the old ballot boxes, and then running them into the electronic machines.
[00:15:51.218 --> 00:15:54.121]  So that's how they try to steal the will for the American people.
[00:15:54.121 --> 00:15:56.483]  But that'll just make our final victory that much sweeter.
[00:16:00.433 --> 00:16:00.633]  I think.
[00:16:21.451 --> 00:16:26.293]  It's even better than the last formula with chaga mushrooms and turmeric and just everything.
[00:16:26.293 --> 00:16:28.574]  It's so good, it's now available again.
[00:16:28.574 --> 00:16:30.295]  20% off.
[00:16:30.295 --> 00:16:32.176]  Ultra 12, 60% off.
[00:16:32.176 --> 00:16:33.957]  Alpha Power, 40% off.
[00:16:33.957 --> 00:16:35.397]  Knockout, 50% off.
[00:16:35.397 --> 00:16:36.798]  Living Defense, 50% off.
[00:16:36.798 --> 00:16:38.559]  Pure Turmeric Extract Bodies, 40% off.
[00:16:38.559 --> 00:16:42.681]  Activator Charcoal Toothpaste and Mouthwash, 50% off.
[00:16:42.681 --> 00:16:43.961]  And it goes on and on and on.
[00:16:43.961 --> 00:16:44.722]  Storable Foods,
[00:16:45.422 --> 00:16:46.764]  10% off last time of the year.
[00:16:46.764 --> 00:16:47.745]  That deal's happening.
[00:16:47.745 --> 00:16:51.589]  It's all available now at InfoWarsStore.com.
[00:16:51.589 --> 00:16:54.432]  The Black Friday sale comes early.
[00:16:54.432 --> 00:16:58.277]  It's going right now for the next two weeks and it supports the InfoWar.
[00:16:58.277 --> 00:16:59.718]  Take action now and get prepared.
[00:17:00.199 --> 00:17:05.604]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[00:17:05.604 --> 00:17:06.645]  Alpha Power.
[00:17:06.645 --> 00:17:10.008]  As you age, your body can lose testosterone over time.
[00:17:10.008 --> 00:17:18.915]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[00:17:18.915 --> 00:17:27.023]  Alpha Power's incredible ingredients can help you boost your sport performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[00:17:27.683 --> 00:17:33.086]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[00:17:33.086 --> 00:17:40.331]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[00:17:40.331 --> 00:17:44.013]  Let Alpha Power help bring you to the peak of your optimal health.
[00:17:44.013 --> 00:17:47.055]  Don't fall short on energy in the fight against tyranny.
[00:17:47.055 --> 00:17:51.117]  Show the world what a True Alpha Male looks like today with Alpha Power.
[00:17:51.117 --> 00:17:53.619]  Head to InfoWarsStore.com today.
[00:18:00.195 --> 00:18:14.734]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[00:18:15.514 --> 00:18:20.778]  It is the symbol of the permanent emergency from which we will never emerge.
[00:18:20.778 --> 00:18:28.943]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[00:18:28.943 --> 00:18:37.149]  It is the symbol of our complete and total absolute surrender to evil.
[00:18:37.149 --> 00:18:37.930]  Ladies and gentlemen,
[00:18:38.928 --> 00:18:41.710]  We are crossing the Rubicon now.
[00:18:41.710 --> 00:18:44.993]  The entire future destiny of humanity is upon us.
[00:18:44.993 --> 00:18:51.318]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[00:18:51.318 --> 00:18:53.600]  Things only get worse from here if we submit.
[00:18:53.600 --> 00:18:56.963]  They only get better if we resist and say no.
[00:18:56.963 --> 00:18:59.165]  Noncompliance, noncompliance, noncompliance.
[00:19:01.369 --> 00:19:05.394]  I want to explain something that is absolutely key to understanding our world.
[00:19:05.394 --> 00:19:08.318]  It's very, very simple, but that most people don't know.
[00:19:08.318 --> 00:19:10.861]  The privately owned central banks of the world
[00:19:11.892 --> 00:19:24.523]  They're artificially creating thousands of trillions of dollars in other major currencies and using them to buy up infrastructure, intellectual property, energy.
[00:19:24.523 --> 00:19:27.526]  They're using it to buy people, to buy influence.
[00:19:27.526 --> 00:19:34.231]  And in the past, they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money
[00:19:34.912 --> 00:19:38.614]  To get into the general circulation or it would cause massive inflation.
[00:19:38.614 --> 00:19:45.057]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything.
[00:19:45.057 --> 00:19:54.282]  Not to have the companies operate, but to actually shut them down and force a collapse of civilization, making the companies they do fund be the only things left standing.
[00:19:54.282 --> 00:19:57.083]  This is the Great Reset, this is what's happening now.
[00:19:57.083 --> 00:19:58.864]  I warn everyone, it's the only way to stop it.
[00:20:02.095 --> 00:20:21.182]  You're listening to The Alex Jones Show!
[00:20:21.182 --> 00:20:26.524]  On the road again Just can't wait to get on the road again
[00:20:29.388 --> 00:20:42.779]  Alright folks, I've got articles here from CNN and other globalist mouthpieces calling for new lockdowns.
[00:20:42.779 --> 00:20:52.086]  They're only keeping that in the back of your mind because they want to launch those coming up next year at this time, right before the key midterm elections that promise...
[00:20:53.021 --> 00:20:57.282]  With all the actual real polls show a giant Republican populist landslide.
[00:20:57.282 --> 00:21:07.204]  Now the full video of different Democrat and Republican operatives that are really globalist operatives saying the same thing is up on InfoWars.com.
[00:21:07.204 --> 00:21:08.365]  It's a headline.
[00:21:08.365 --> 00:21:19.947]  Trump hating Virginia elections director says Tuesday's results may have to quote wait until Friday or maybe longer because of mail-in votes.
[00:21:19.947 --> 00:21:21.888]  And again, this isn't like absentee voters.
[00:21:22.808 --> 00:21:25.569]  Where you sign it, it's certified, you've already voted.
[00:21:25.569 --> 00:21:31.232]  This is a large portion of the state saying, oh no, we don't want to go vote because of COVID.
[00:21:31.232 --> 00:21:34.094]  The same replay we've seen across the nation.
[00:21:34.094 --> 00:21:49.762]  And so they've got stockpiles of all these extra ballots out there that then wait in reserve in warehouses until the middle of the night, or until the next middle of the night, a few days later, and then in pull the vans, and then they stick the ballots that are all for the Democrat candidate,
[00:21:50.796 --> 00:21:51.496]  We're good to go.
[00:22:14.261 --> 00:22:22.506]  That night when they said we're not counting anymore at 1 or 2 or 3 in the morning depending on the state, Trump had won by 1 point, 2 points, 3 points, 4 points, 5 points.
[00:22:22.506 --> 00:22:26.929]  Most of those states he barely won by a fraction of a point.
[00:22:26.929 --> 00:22:28.250]  And suddenly he was winning by 2, 3, 4 points.
[00:22:30.898 --> 00:22:41.744]  Ah, but you see the red mirage that Michael Moore and PBS and Bloomberg and CNN all said in the month before, oh, no matter what happens, Trump won't be in.
[00:22:41.744 --> 00:22:47.568]  It'll look like he wins that night, but oh, the mail-ins.
[00:22:47.568 --> 00:22:52.110]  Oh, they just knew what they were going to be, didn't they?
[00:22:52.110 --> 00:22:55.172]  And I saw the vans pulling in and I saw the USPS workers.
[00:22:56.892 --> 00:23:00.894]  In Pennsylvania, there's areas that said, yeah, I was driving in from another state.
[00:23:00.894 --> 00:23:02.435]  I noticed it was all marked elections.
[00:23:02.435 --> 00:23:03.375]  So I got suspicious.
[00:23:03.375 --> 00:23:04.016]  You're supposed to do that.
[00:23:04.016 --> 00:23:05.036]  That's their job.
[00:23:05.036 --> 00:23:11.579]  So they opened up the big boxes and there it was perfectly printed by Scantron computers.
[00:23:11.579 --> 00:23:14.301]  Hand bubbled ballots, supposed to be hand done.
[00:23:15.609 --> 00:23:18.790]  And it was all filled up for one person, Joe Biden.
[00:23:18.790 --> 00:23:21.630]  They didn't even care about the other races because that would become too obvious.
[00:23:21.630 --> 00:23:24.271]  It was all just for Joe Biden.
[00:23:24.271 --> 00:23:26.411]  30 plus thousand of them.
[00:23:26.411 --> 00:23:32.612]  And that's just a cash that he caught going into Pennsylvania and the FBI threatened to put him in jail.
[00:23:32.612 --> 00:23:34.692]  What are you doing opening up those boxes, boy?
[00:23:34.692 --> 00:23:39.453]  What are you doing looking in there because you got a bad feeling about it?
[00:23:39.453 --> 00:23:43.094]  Why would they cover up the windows to the election facilities in all those states?
[00:23:43.094 --> 00:23:43.534]  Six of them.
[00:23:44.893 --> 00:23:50.778]  Why'd they all follow the exact same procedures and claim, oh, we got a power outage, we gotta stop counting.
[00:23:50.778 --> 00:23:53.741]  Oh, we got a water main broke, we gotta stop counting.
[00:23:53.741 --> 00:23:55.783]  None of it was true.
[00:23:55.783 --> 00:23:57.925]  They didn't even care there were surveillance cameras in the rooms.
[00:23:57.925 --> 00:24:01.568]  They just didn't want the public looking in.
[00:24:01.568 --> 00:24:03.790]  Then they did it to you.
[00:24:03.790 --> 00:24:04.851]  So, I like
[00:24:06.988 --> 00:24:09.009]  The MyPillowFella, he's a great guy.
[00:24:09.009 --> 00:24:11.270]  He focuses on the machines all day.
[00:24:11.270 --> 00:24:14.511]  And Lord knows that goes on from the outside, but you can catch that.
[00:24:14.511 --> 00:24:23.715]  It's very hard to catch Democrats all over the country in different states sneaking in ballots that have already been filled out for the candidate they want and running them through the machine.
[00:24:23.715 --> 00:24:28.997]  In the case of Georgia, on video, one stack out of a suitcase, four times on video.
[00:24:28.997 --> 00:24:30.597]  Same damn stack back in.
[00:24:30.597 --> 00:24:32.038]  That's red-handed right there!
[00:24:34.056 --> 00:24:35.997]  That is red-handed!
[00:24:35.997 --> 00:24:41.461]  You know, you see the child molesters that are crazy enough to videotape or photograph them raping kids?
[00:24:41.461 --> 00:24:43.262]  And boy, is it a quick trial!
[00:24:43.262 --> 00:24:47.945]  Is it a quick, you know, life in prison for them, because they videotape it!
[00:24:47.945 --> 00:24:50.267]  Y'all videotaping it right here?
[00:24:50.267 --> 00:24:52.288]  Not a damn thing happened to them!
[00:24:53.291 --> 00:25:04.570]  In one case, the same suitcase that they pull out from under the table and look both ways, the most guilty, the most guilty behavior I've ever seen.
[00:25:06.598 --> 00:25:14.780]  You know, my four-year-old daughter got some candy from her grandmother for Halloween, and we put it away, and I told her, stop eating.
[00:25:14.780 --> 00:25:15.340]  You've had too much.
[00:25:15.340 --> 00:25:16.860]  You'll make yourself sick last night.
[00:25:16.860 --> 00:25:23.082]  And I saw her kind of walk over behind the couch, and she was kind of acting suspicious when she ducked down, and I went over there, and she had a Tootsie Roll.
[00:25:23.082 --> 00:25:25.843]  And it was bedtime.
[00:25:25.843 --> 00:25:26.463]  She couldn't have it.
[00:25:28.615 --> 00:25:33.421]  Something in her hand, she's okay, looking, goes over, hides behind the couch.
[00:25:33.421 --> 00:25:37.426]  I mean, this is more obvious in Georgia.
[00:25:37.426 --> 00:25:44.435]  They look both ways, look around, they say a water main's broke, they kick everybody out, they put stuff up over the windows, and then they go and flip up the...
[00:25:46.607 --> 00:25:52.512]  Tablecloth and pull out the briefcases and look around and start shooting it through there.
[00:25:52.512 --> 00:26:03.440]  And we have to sit here and watch this and put up with this type of crap while these people steal the election in front of us.
[00:26:03.440 --> 00:26:06.643]  And all of them, Democratic Party operatives on record.
[00:26:06.643 --> 00:26:08.144]  But see, that's what's important here, isn't it?
[00:26:09.107 --> 00:26:11.369]  They all thought they were fighting Hitler.
