[00:00.000 --> 00:11.000]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of the info war.
[15:29.000 --> 15:35.000]  But you're just supposed to say, come on up here and do whatever you want to us when we come back.
[15:35.000 --> 15:38.000]  I think we're going to win this election, but the fraud is so intense we may not.
[15:38.000 --> 15:48.000]  The key is whether we win or lose the election fraud, the censor, the intimidation, the next big issue, the next big talking point, the next thing to secure our future, all of us,
[15:48.000 --> 15:56.000]  no matter what color we are or where we came from, we're Americans, is to stop the Democrats who are anti-American from all of their persecution and bullying and criminal activity.
[15:56.000 --> 16:25.000]  When losers draw, they need to go to prison.
[16:26.000 --> 16:41.000]  Because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[16:41.000 --> 16:49.000]  And so now I ask you more than ever to share the infowars.com articles, to share the videos, to tell people by the local stations you're listening to.
[16:49.000 --> 16:59.000]  But the bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter. We are the Renaissance and we are winning.
[16:59.000 --> 17:08.000]  We're bringing back one of the biggest fan favorite formulas we've ever offered with even better ingredients, ultimate bone broth.
[17:08.000 --> 17:24.000]  Infowars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits. This incredible formula will help you get the most out of your workout with the power of ultra high quality bone broth, one of the most popular health trends on the planet.
[17:24.000 --> 17:36.000]  Built with more than seven different superfoods and crucial compounds, ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[17:36.000 --> 17:48.000]  This incredible chicken bone broth formula contains time tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[17:48.000 --> 17:59.000]  It's time to experience what ultimate bone broth can do for you. Get a bottle of the all new version of a fan favorite product today at infowarsstore.com.
[17:59.000 --> 18:17.000]  Infowars Life is bringing you a breakthrough in modern medicine, introducing pollen block. We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort and respiratory functions.
[18:17.000 --> 18:37.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses. They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:37.000 --> 18:51.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:51.000 --> 18:59.000]  Go outside and enjoy the air you breathe. Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[18:59.000 --> 19:10.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[19:10.000 --> 19:29.000]  That's why I'm introducing ZShield. Toxic metal and chemical defense support. It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body, and it supports the info war. It is a classical 360 win. This is the formula that I personally have been taking for over a year.
[19:29.000 --> 19:45.000]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get. You owe it to yourself, you owe it to your family, and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be.
[19:45.000 --> 19:55.000]  Because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be. Thanks to your support and your prayers together, we're changing the world.
[19:55.000 --> 20:03.000]  Now it's time to change our bodies with ZShield and FullWarsLife.com.
[20:03.000 --> 20:11.000]  You're listening to the Alex Jones show.
[20:11.000 --> 20:29.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the info war.
[20:29.000 --> 20:45.000]  Alright, I'm not bragging here. In fact, I wish I didn't have to be on this treadmill like this, but the country and my children's future demands it. I have done probably six hours of research today for this show.
[20:45.000 --> 21:01.000]  I probably did five hours yesterday and I was up here for about four hours and I've been up since four a.m. and that's because I understand what we're up against.
[21:01.000 --> 21:17.000]  Folks have to really, really get this. And I know the audience gets it, but for new listeners especially, on my knees, I'm begging you please. The Communist Chinese have killed 115 million of their own people. They brag.
[21:17.000 --> 21:29.000]  Corrupt, robber bear and elites that our country fought with, multinational money that came in here in the last 150 years that tried to conquer us, couldn't do it.
[21:29.000 --> 21:41.000]  So they went and they funded Hitler, that blew up in their face. They funded the Bolsheviks, that blew up in their face to consolidate control. It's on record. And then they funded Mao Zedong in 49.
[21:41.000 --> 21:57.000]  Even before that, it's all been declassified. And David Rockefeller wrote a book on it. And they've given them all our industry, all our jobs to leverage us out. We have been under attack for decades.
[21:57.000 --> 22:17.000]  And China owns our debt. It owns Hollywood. They have hundreds and hundreds of billionaires. It's all the Communist Party members. They are a very evil nation. Communism doesn't exist. It's just a name for enslaving your people and they live in slave factories and slave farms and the elite live in palaces.
[22:17.000 --> 22:33.000]  Everybody knows that about Venezuela or Cuba or North Korea or China or Soviet Russia or the EU for that matter. The EU exempts the heads of the EU permanent bureaucracy from the EU tax.
[22:33.000 --> 22:47.000]  Trump said the stock market is up massively since the election, but it's now taking a little pause. People want to see what happens with the midterms, the president said. If you want your stocks to go down, I strongly suggest you vote Democrat. They like Venezuela, financial model.
[22:47.000 --> 23:01.000]  High taxes and open borders. And that's it. Because the elite can then consolidate everything. There's too much diversity in an open free market nation. So here's what I'm going to say to everybody.
[23:01.000 --> 23:13.000]  I wrote today in an article emergency alert to Trump concerning foreign election meddling voter fraud and censorship. And at the end I wrote.
[23:13.000 --> 23:21.000]  Bottom line, Democrats are America hating traders. This is a fact.
[23:21.000 --> 23:35.000]  This is a maxim that they embrace. Better put, they are not Americans. Powerful multinational corporations allied with foreign dictatorships knew they could never take down the US from without.
[23:35.000 --> 23:48.000]  It had to be done from the inside. You're witnessing that attempted takedown. You're literally fighting for the very existence of our republic.
[23:48.000 --> 24:02.000]  You understand that's not rhetoric. I wish every millisecond that they hadn't converted Democrats to foaming at the mouth anti Americans who literally hate God, capitalism, wealth, success, families.
[24:02.000 --> 24:15.000]  But they sure want wealth and power for themselves. And they believe that if this system takes over, they can bring in enough illegal aliens that then the government is going to socialize everything and give them all a bunch of wealth.
[24:15.000 --> 24:28.000]  When every time they do this, they do the opposite. All the big globalist 99% of the billionaires, even the New York Times admits 99% of the billionaires did not support Trump.
[24:28.000 --> 24:42.000]  They don't support Brexit. They don't support getting out of the EU. 99% Apple, Google, Facebook, Twitter, JPMorgan Chase, Goldman Sachs, General Electric, right down the line.
[24:42.000 --> 24:53.000]  They support globalism and they don't pay taxes and are offshore.
[24:53.000 --> 25:01.000]  And you sit there and you look at these professors and their students. The elite pay for the colleges. They control the colleges.
[25:01.000 --> 25:23.000]  Every major college in this country is an anti-American, anti-free speech factory of evil. Every rich group in the country except Trump and Adelson and to a certain extent the Koch brothers used to give more to the Clintons and they gave more to Republicans.
[25:23.000 --> 25:37.000]  Now they're 50-50. I mean, it's literally, the Kochs have given $2 billion in their history. Soros has given $32 billion this year.
[25:37.000 --> 25:48.000]  Carlos Slim, he's the richest man in the world, he's number two. He's given billions to influence US elections. How are all these foreign billionaires coming here and doing this?
[25:48.000 --> 26:01.000]  So here's what I'm saying. This is election meddling. The censoring of conservatives and everybody off the internet ahead of this is election meddling, not letting Republicans run ads on Facebook or Twitter, but letting Democrats do whatever they want.
[26:01.000 --> 26:09.000]  That's election meddling. It violates the federal elections commission rules. I've talked to top experts on it.
[26:09.000 --> 26:30.000]  The bottom line is they are going completely and absolutely insanely for broke. They are going absolutely and completely insanely for broke and they'll do anything.
[26:30.000 --> 26:43.000]  And so if they win this election, it's not a referendum that people want Democrats or socialism. It's a referendum that breaking all the rules, having people vote by the millions in the names of dead people off the voter rolls, which is confirmed everywhere,
[26:43.000 --> 26:51.000]  and intimidating people and taking foreign money and letting foreign meddling happen, which they blame Republicans for because they're doing it, works.
[26:51.000 --> 27:01.000]  And we'll be the model of suppressing people all over the world from Brazil and Germany just this week voting out globalist and voting in nationalist.
[27:01.000 --> 27:11.000]  And in Brexit and in Spain and in Italy and in Scotland, everywhere where they're allowed to vote, they're voting to get out of the EU.
[27:11.000 --> 27:21.000]  They're voting to not even the communist and socialist in Europe are now joining the conservatives in Sweden and Germany saying, yeah, we bring in 50 million more illegal aliens.
[27:21.000 --> 27:28.000]  They admit they're going to take our pension funds. We paid for that. We don't want that. Yeah, exactly. Because they're not trying to help these migrants.
[27:28.000 --> 27:34.000]  They're bringing them in because they're military aged men who don't have women with them. What's that tell you?
[27:34.000 --> 27:50.000]  So this is maker to break it, folks. And so whether we win this election or not, it hit me that what matters is prosecuting the Democrats, prosecuting and stopping the election meddling, the foreign money, the bullying, the censorship.
[27:50.000 --> 27:56.000]  That's the big issue. And it's a referendum showing the Republicans were too stupid or rolled over or whatever.
[27:56.000 --> 28:04.000]  Ted Cruz talked about it. President Trump talked about it. Donald Trump Jr. warned about all the election fraud and Democrats voting that they're stealing the election and doing all this.
[28:04.000 --> 28:11.000]  But we didn't do anything about it because we're America and we're free and that can't be happening here. No, it has happened here.
[28:11.000 --> 28:21.000]  Got all the undercover videos, all the admissions. It's insane. And now they won't take Republican ads on Facebook or on CNN. I just covered that earlier.
[28:21.000 --> 28:33.000]  So you understand what's going on. We're going to go to break. We're going to come back. We're going to talk more about this, but there's a very powerful video that just went live minutes ago on news wars dot com and info wars dot com.
[28:33.000 --> 28:43.000]  That I'm going to premiere here dealing with the class warfare of the Democrats and how they're trying to create classical class warfare and race warfare in this country.
[28:43.000 --> 29:01.000]  And the monster that is Michael, the pig demon more all this and more straight ahead on the other side. Whatever you can do, spread the live link local radio station or listening to or to info wars dot com.
[29:01.000 --> 29:06.000]  We need to go back and revisit the foundations of our freedom.
[29:06.000 --> 29:16.000]  Our freedoms don't consist of the things that are enumerated on a piece of paper. It consists of the things that we're willing to fight for. The First Amendment, the Bill of Rights, the rest of the Bill of Rights are prohibitions.
[29:16.000 --> 29:30.000]  They're prohibitions against powerful organizations and individuals taking those God given rights from us as individuals. You better understand that because they're taking them right now.
[29:30.000 --> 29:40.000]  We have seen what they want to do. They called it UN Agenda 21. Now they call it the UN 2030 Agenda. They want everybody off of the rural lands. They want people out of the suburbs.
[29:40.000 --> 29:47.000]  They want to pack everybody into the cities because that's where it is easiest for them to control everyone.
[29:47.000 --> 29:49.000]  It's The David Knight Show.
[29:49.000 --> 29:51.000]  Never miss your show.
[29:51.000 --> 29:52.000]  Any day.
[29:52.000 --> 29:57.000]  At info wars dot com.
[29:57.000 --> 30:06.000]  Our grandparents and great grandparents knew that they canned food during the fall. So they'd have it during the winter.
[30:06.000 --> 30:09.000]  And that's what I'm talking about at info wars dot com.
[30:09.000 --> 30:16.000]  With info wars select, it's the full spectrum of my patriot supply on the top most respected companies out there.
[30:16.000 --> 30:24.000]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[30:24.000 --> 30:29.000]  But I want to be a market leader and I want you to have storeable food. So it's a total win-win.
[30:29.000 --> 30:35.000]  We have those incredible sell prices back in four store dot com on info or select storeable foods.
[30:35.000 --> 30:41.000]  They've got special diet foods that got three month supplies, your supplies, weak emergency supplies.
[30:41.000 --> 30:43.000]  They've got so many great products there.
[30:43.000 --> 30:46.000]  Maybe you got a three year supply. If stuff happens, you could feed your whole block.
[30:46.000 --> 30:49.000]  It's up to us to be self sufficient.
[30:49.000 --> 30:54.000]  You're buying war bonds, bringing great products and together with God's help, we are unstoppable.
[30:54.000 --> 30:55.000]  Info wars store dot com.
[30:55.000 --> 31:00.000]  Info wars select, high quality storeable foods powered by my patriot supply.
[31:00.000 --> 31:06.000]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or
[31:06.000 --> 31:08.000]  heck even take your dog for a walk.
[31:08.000 --> 31:14.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day.
[31:14.000 --> 31:20.000]  But thanks to supermail vitality at infowarstore.com, I still have that energy.
[31:20.000 --> 31:26.000]  There's no way I could have the energy at the end of a long day to fight back against the chemicals and the food and water.
[31:26.000 --> 31:33.000]  To fight back against the modern day lifestyle with the screen time and the extended hours to still have the stamina and endurance,
[31:33.000 --> 31:40.000]  energy and drive to get to the gym, get to the park and get exercise that you need for your health.
[31:40.000 --> 31:44.000]  So go to infowarstore.com and get supermail vitality before it's gone.
[31:44.000 --> 31:48.000]  This is actually our last run of supermail vitality.
[31:48.000 --> 31:53.000]  So I want you to experience supermail vitality before it's too late.
[31:53.000 --> 31:55.000]  Unleash the supermail in you.
[31:55.000 --> 31:57.000]  Supermail vitality.
[31:57.000 --> 31:59.000]  Go to infowarstore.com.
[32:02.000 --> 32:08.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[32:08.000 --> 32:12.000]  where the Chiapas farmers have spent years perfecting their techniques.
[32:12.000 --> 32:17.000]  Based off hundreds of years of traditional techniques and perfect conditions,
[32:17.000 --> 32:23.000]  we've sourced only the best to provide you with our immune support and wake up America's Patriot Blend coffee.
[32:23.000 --> 32:29.000]  Ancient Mayan knowledge is shared with the natural fertility of the land to generate the world's finest coffee beans.
[32:29.000 --> 32:34.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[32:34.000 --> 32:41.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[32:41.000 --> 32:45.000]  You can even choose to start your morning healthier with the immune support blend,
[32:45.000 --> 32:49.000]  infused with a powerful blend to support your immune response and stamina.
[32:49.000 --> 32:51.000]  It's time to take care of your morning routine.
[32:51.000 --> 33:06.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at infowarstore.com.
[33:21.000 --> 33:28.000]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[33:30.000 --> 33:37.000]  America and the few quasi-free countries that haven't been totally taken over by the multinational corporations
[33:37.000 --> 33:44.000]  and their allied consortium of authoritarian nations like China are just a few you can count on your hand.
[33:44.000 --> 33:46.000]  And we're under attack.
[33:46.000 --> 33:52.000]  And the globalists use our open free societies and our open free media and our universities and our systems
[33:52.000 --> 33:58.000]  to go train weak-minded collaborators to work to destroy the very fabric of the nation
[33:58.000 --> 34:02.000]  and to call for unfair trade deals and to call for being disarmed
[34:02.000 --> 34:08.000]  and to call for taking the pension funds of old people and to call for the borders to be wide open.
[34:08.000 --> 34:15.000]  These people have lived so long in an open free society, they have no survival instincts, no nothing.
[34:15.000 --> 34:22.000]  But those of us that still do have to get focused and have to understand the threat that we're facing.
[34:22.000 --> 34:26.000]  It's not about a red wave, it's not about a blue wave.
[34:26.000 --> 34:32.000]  It's about the wave of tyranny, the wave of oppression versus the wave of nationalism and populism.
[34:32.000 --> 34:35.000]  And the wave of tyranny has been rising for 50 years.
[34:35.000 --> 34:40.000]  But the wave of populism has just began to rise and it is huge and it is powerful.
[34:40.000 --> 34:47.000]  So it's not about every battle that we win or lose, it's about exposing the globalist and who controls it
[34:47.000 --> 34:51.000]  and moving forward and that means exposing the election fraud.
[34:51.000 --> 34:54.000]  That means exposing the foreign meddling.
[34:54.000 --> 34:59.000]  The Democrats have jumped the shark bringing in all this EU and Chinese money.
[34:59.000 --> 35:02.000]  They have jumped the shark and actually meddled.
[35:02.000 --> 35:09.000]  And the knock-kneed Republicans, whether they win or lose, have to go after these crooks or it's a dereliction of duty.
[35:09.000 --> 35:17.000]  Now, Paul Watson, as he often does, has zeroed in on one of the main sickening evil culprits of this.
[35:17.000 --> 35:20.000]  And that's Michael Moore, the globalist propagandist.
[35:20.000 --> 35:23.000]  We're going to play this on radio and TV right now. It's Paul Joseph Watson.
[35:23.000 --> 35:30.000]  Whatever you do, go to newswars.com or infowars.com and get the video and share it.
[35:30.000 --> 35:38.000]  Because this is how we wake people up to show the class warfare of the KKK Democratic Party and what sick filth they are.
[35:38.000 --> 35:43.000]  The angry white guy, which actually I'm really Trump's demographic.
[35:43.000 --> 35:45.000]  You're a Michigan angry white guy.
[35:45.000 --> 35:50.000]  I'm an angry white guy over 50 with a high school education. So that's me.
[35:50.000 --> 35:57.000]  So if I could just speak to my fellow angry white American guys who are semi-uneducated like me.
[35:57.000 --> 36:00.000]  Oh yeah, you're really a man of the people, aren't you, Michael?
[36:00.000 --> 36:07.000]  You can really reach out and connect with blue-collar, white-working class Trump voters who are financially struggling.
[36:07.000 --> 36:09.000]  You can really sympathize with their plight.
[36:09.000 --> 36:11.000]  I'm really Trump's demographic.
[36:11.000 --> 36:13.000]  Give me a f***ing break.
[36:13.000 --> 36:18.000]  Your net worth is $50 million. You own nine f***ing houses.
[36:18.000 --> 36:22.000]  You literally spent $2 million on an extension.
[36:22.000 --> 36:26.000]  You own a Manhattan condo that was once three apartments.
[36:26.000 --> 36:28.000]  Oh, but you really represent Trump's demographic.
[36:28.000 --> 36:30.000]  I'm really Trump's demographic.
[36:30.000 --> 36:33.000]  Your own neighbors say you don't even talk to them.
[36:33.000 --> 36:38.000]  You live like the very 1% you condemn but then claim to have retained the common touch.
