[00:00.000 --> 00:06.000]  He's the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[15:42.000 --> 15:46.000]  That person is a fly on the back of these people.
[15:46.000 --> 15:52.000]  Let's say you've got really wealthy people who are making a couple million, two, three million dollars a year.
[15:52.000 --> 15:54.000]  They're still peon.
[15:54.000 --> 15:58.000]  Friends, unless you are a billionaire, you can't even get in the dork.
[15:58.000 --> 16:04.000]  These people have absolutely zero respect for you.
[16:04.000 --> 16:08.000]  They have zero respect for our republic. They have zero respect for our country.
[16:08.000 --> 16:10.000]  And they own the printing presses that print the money.
[16:10.000 --> 16:14.000]  They control the military, the police, and they own the dominant media.
[16:14.000 --> 16:18.000]  And they've got a PR mind control system just destroying our society.
[16:18.000 --> 16:20.000]  Very correct, Alex.
[16:20.000 --> 16:23.000]  And the facts are very simple.
[16:23.000 --> 16:25.000]  The facts are very simple.
[16:25.000 --> 16:28.000]  It doesn't take a degree in economics to figure this out.
[16:28.000 --> 16:35.000]  But it does take a degree in courage and common sense to get through the lies
[16:35.000 --> 16:44.000]  and then have the courage to speak the truth to your friends, to your neighbors, to your family, to your congressmen.
[16:44.000 --> 16:46.000]  Well, I'll tell you, George, this is the deal.
[16:46.000 --> 16:51.000]  When you talk about the 100th monkey syndrome, they can train one monkey in a colony of monkeys to do something.
[16:51.000 --> 16:54.000]  They'll suddenly all learn it.
[16:54.000 --> 17:00.000]  We have this system where it's like you were a kook before Galileo to say the world was round.
[17:00.000 --> 17:03.000]  But a decade later, you were a kook to say it was flat.
[17:03.000 --> 17:05.000]  We're seeing this massive shift.
[17:05.000 --> 17:10.000]  They know we're very close to shifting the paradigm, and the globalists are panicking right now.
[17:10.000 --> 17:11.000]  Would you agree?
[17:11.000 --> 17:12.000]  Oh, absolutely.
[17:12.000 --> 17:19.000]  There's no question that we are in a race right now, the race between the technology of the power elite
[17:19.000 --> 17:26.000]  and the increasing consciousness and awareness of the people of not only of this country but of this world.
[17:26.000 --> 17:32.000]  I travel throughout Europe and Asia almost every year.
[17:32.000 --> 17:38.000]  And throughout Asia and throughout Europe, the people there have a far higher awareness
[17:38.000 --> 17:44.000]  of the Byzantine nature of the dichotomy between...
[17:44.000 --> 17:47.000]  We got a break. We'll be right back with George Humbery and your calls. Stay with us.
[18:02.000 --> 18:17.000]  Won't be turned around.
[18:17.000 --> 18:19.000]  We are fighting for our families.
[18:19.000 --> 18:25.000]  You know, George, in your three-and-a-half-plus-hour CD, a book on tape,
[18:25.000 --> 18:30.000]  professionally produced that we carry at infowars.com now,
[18:30.000 --> 18:34.000]  George just says we do this because we love our families, not because we hate the New World Order.
[18:34.000 --> 18:37.000]  I mean, I do not like the New World Order. They're totally evil.
[18:37.000 --> 18:39.000]  But we have to do it because we love our families.
[18:39.000 --> 18:42.000]  That's where we'll find the energy to do this with God's help.
[18:42.000 --> 18:47.000]  Before I go back to George Humbery and all these callers that have been patiently holding like Howard and Marty
[18:47.000 --> 18:53.000]  and Duane and many others, I never promote this, and people really should go sign up for it.
[18:53.000 --> 19:00.000]  Infowars.net is an internet portal, internet service, national service, phone line, ISDN,
[19:00.000 --> 19:02.000]  whatever you want, low prices.
[19:02.000 --> 19:11.000]  They got the proxy servers and the virtual browser that blocks cookies and is a cloaking device when you're surfing.
[19:11.000 --> 19:15.000]  It has the latest technology, really great system.
[19:15.000 --> 19:23.000]  I hope you'll jump AOL and the rest of them and go sign up at infowars.net for great internet service.
[19:23.000 --> 19:28.000]  And if you've got any questions, there's phone numbers that are on the site, but it's very simple to do.
[19:28.000 --> 19:30.000]  Great web service.
[19:30.000 --> 19:37.000]  Go sign up at infowars.net today and stop giving the enemy your money and stop letting them spy on you
[19:37.000 --> 19:42.000]  because they are doing an infowars.net, protects your identity, protects your surfing.
[19:42.000 --> 19:46.000]  It has filters so your kids can use it and different settings that you set up.
[19:46.000 --> 19:56.000]  Just an incredible list of attributes and quality aspects of this service that you want to definitely check out
[19:56.000 --> 19:57.000]  at infowars.net.
[19:57.000 --> 19:59.000]  And, of course, I would also add a caveat to that.
[19:59.000 --> 20:04.000]  I have produced eight full-length feature documentary films, professionally produced.
[20:04.000 --> 20:08.000]  The latest films are 9-1-1, The Road to Tyranny, and The Masters of Terror.
[20:08.000 --> 20:14.000]  I also have my new book, The Sentence to Tyranny, which is now only $12 down from $20.
[20:14.000 --> 20:18.000]  I'm lowering the price to $12 on The Sentence to Tyranny, my book.
[20:18.000 --> 20:19.000]  It's excellent.
[20:19.000 --> 20:23.000]  230 pages, diagrams, graphics, you name it.
[20:23.000 --> 20:26.000]  $12, what, $4 shipping and handling.
[20:26.000 --> 20:29.000]  My films are $25.95 because they're all over two hours long.
[20:29.000 --> 20:32.000]  $20 apiece if you order three or more.
[20:32.000 --> 20:35.000]  And we also offer George Humphrey's materials.
[20:35.000 --> 20:40.000]  If those aren't on the toll-free number yet, you can order those at infowars.com or net.
[20:40.000 --> 20:48.000]  Or by writing to me, Alex Jones at 3001 South Lamar, Suite 100, Austin, Texas, 78704.
[20:48.000 --> 20:52.000]  But call today and get my films, get my book, get the information out to folks.
[20:52.000 --> 21:00.000]  1-888-253-3139 and show them to your friends and family.
[21:00.000 --> 21:02.000]  Get the word out to everybody in your area.
[21:02.000 --> 21:03.000]  Don't wait.
[21:03.000 --> 21:06.000]  It is so important to expose the globalist.
[21:06.000 --> 21:07.000]  Now is the time.
[21:07.000 --> 21:08.000]  George Humphrey, you're right.
[21:08.000 --> 21:10.000]  We are in a race right now, aren't we?
[21:10.000 --> 21:11.000]  Yeah, we are.
[21:11.000 --> 21:19.000]  And Alex, I was telling you last night, I received very disturbing information last night from a very, very reliable source.
[21:19.000 --> 21:29.000]  That source has told me that the FBI has put out a memo to all the FBI throughout the country that no FBI agent is to leave the country.
[21:30.000 --> 21:38.000]  And if the FBI agent has to leave the country, they need to take with them six months of money and supplies.
[21:38.000 --> 21:40.000]  Now tell folks what that means.
[21:40.000 --> 21:44.000]  Well, I think it's pretty obvious what it means.
[21:45.000 --> 22:02.000]  To me it means that there is going to be some sort of event within the next three weeks to two and a half months that is going to rival or even dwarf 9-1-1.
[22:02.000 --> 22:13.000]  And I believe this is going to be another Hegelian event, problem, reaction, solution of what we call NBC, nuclear, biological, or chemical.
[22:13.000 --> 22:19.000]  And, you know, the future is unknown and we can change the future.
[22:19.000 --> 22:36.000]  And if enough good Americans wake up to the reality that 9-1-1 was a totally orchestrated event, that Waco, that Ruby Ridge, that Oklahoma City, that TWA, that the World Trade Center in 1993,
[22:36.000 --> 22:43.000]  all of these events were orchestrated by rogue units right here within the United States.
[22:43.000 --> 22:50.000]  And by rogue units you mean compartmentalized upper echelon in control of the entire paradigm through ignorance and compartmentalization.
[22:50.000 --> 23:00.000]  And they've had Gary Hart, Mr. CFR, saying massive attacks, smallpox, will hit Dallas, Denver, and Cleveland.
[23:00.000 --> 23:05.000]  They will shut down every U.S. city within two hours if there's any outbreak in the Western Hemisphere.
[23:05.000 --> 23:09.000]  That will cause rioting within four to ten days.
[23:09.000 --> 23:11.000]  This will bring in the military.
[23:11.000 --> 23:14.000]  There's a good chance they're going to launch it very soon.
[23:14.000 --> 23:15.000]  This fits in with the paradigm.
[23:15.000 --> 23:19.000]  They'll blame it on Saddam's dead body, legitimize their war of empire.
[23:19.000 --> 23:23.000]  They'll say, shut up about us taking your rights, see we told you so.
[23:23.000 --> 23:25.000]  It's your fault because you talked about liberties.
[23:26.000 --> 23:31.000]  I hear the national talk show host like Savage saying, put anybody in a camp who criticizes the government.
[23:31.000 --> 23:34.000]  I mean, this is scary, but you're right.
[23:34.000 --> 23:41.000]  If we speak out now and loud and point out who the terrorists are in the past and who has the motive in the future, it could back them off.
[23:41.000 --> 23:43.000]  What do you think our chances are, George?
[23:43.000 --> 23:45.000]  Well, the chances are up to us.
[23:45.000 --> 23:47.000]  It is an individual choice, you know.
[23:47.000 --> 23:53.000]  And if people continue to sit on their butts, if people continue to be afraid,
[23:53.000 --> 24:02.000]  if they don't speak from their heart, then we are going to face one of the saddest futures in the history of mankind.
[24:02.000 --> 24:10.000]  But if enough good people listen to the information that Alex and others are putting out and use discernment,
[24:10.000 --> 24:16.000]  they speak with their heart and have courage, not with hate, but with courage,
[24:16.000 --> 24:24.000]  and speak up for what's good about this country, which is the Constitution, the Bill of Rights, the process of law,
[24:24.000 --> 24:27.000]  then we can turn this thing around.
[24:27.000 --> 24:29.000]  But it is up to every single person.
[24:29.000 --> 24:33.000]  And friends, even a year ago, I thought we had more time.
[24:33.000 --> 24:36.000]  We do not have the luxury of time right now.
[24:36.000 --> 24:43.000]  It is down to months and perhaps weeks before the next event happens, my friends.
[24:43.000 --> 24:47.000]  I sincerely pray that I am wrong, but I do not think so.
[24:47.000 --> 24:51.000]  Well, all indicators are the globalists have got the gun to the head of the republic.
[24:51.000 --> 24:54.000]  They have been bleeding and dry for a while, and they are about to pull the trigger.
[24:54.000 --> 24:59.000]  And did you watch Colin Powell at the U.N. today?
[24:59.000 --> 25:02.000]  I didn't have the chance to watch Mr. Powell.
[25:02.000 --> 25:07.000]  Well, everything he said about Iraq and Al Qaeda and these weapons, it can be turned around to the White House.
[25:07.000 --> 25:11.000]  If anybody has got links with Saddam and Al Qaeda and everybody, it is Bush.
[25:11.000 --> 25:19.000]  Well, it is just amazing to me that Khalid bin Mahfouz, who is one of the most wealthiest people in the world
[25:19.000 --> 25:25.000]  and is also one of the most crooked men in the world, who is head of the BCCI between 1986 to 1991,
[25:25.000 --> 25:37.000]  is one of the largest shareholders of our busto, which is the company of George Bush, the president right now.
[25:37.000 --> 25:48.000]  They are close personal friends. CIA Director Woosley said that he is the largest funder of Al Qaeda in the world,
[25:48.000 --> 25:58.000]  and his sister is the wife of Osama bin Laden, the direct link between the Bush family and Al Qaeda.
[25:58.000 --> 26:06.000]  Osama bin Laden started the busto and then Harkin, and they had the Taliban in Midland.
[26:06.000 --> 26:08.000]  Salim bin Laden, yeah.
[26:08.000 --> 26:15.000]  And they had them here in Texas in 1997 meeting with Bush, according to BBC.
[26:15.000 --> 26:23.000]  Yes. Anybody who does any objective research realizes that both the Clinton administration
[26:23.000 --> 26:30.000]  and the Bush administration have given absolute cover to the bin Laden family.
[26:30.000 --> 26:33.000]  Well, bin Laden is a CIA asset.
[26:33.000 --> 26:39.000]  Of course. His cover name in the United States was Tim Osman.
[26:39.000 --> 26:44.000]  And this is not theory. It is absolute fact.
[26:44.000 --> 26:51.000]  And the good FBI agents in this country who have tried to step forward to speak the truth
[26:51.000 --> 26:54.000]  have either been murdered or they have been silenced.
[26:54.000 --> 26:56.000]  They've been threatened with arrest.
[26:56.000 --> 27:01.000]  David Shippers and Robert Wright gave a speech at the National Press Club saying just that had happened.
[27:01.000 --> 27:07.000]  And when the judicial watch tried to serve papers to the White House press secretary, Fleischer,
[27:07.000 --> 27:14.000]  Ari, about admitting that Bush was on CIPRO September 10th, four weeks before he showed up in Boca Raton, Florida,
[27:14.000 --> 27:19.000]  the process server twice was threatened with arrest by the White House.
[27:19.000 --> 27:22.000]  Now, Clinton didn't do that.
[27:22.000 --> 27:29.000]  Well, you know, I look back on the Clinton administration almost fondly.
[27:29.000 --> 27:38.000]  I mean, we could laugh and make jokes about Monica Lewinsky, and we could talk about the things that Clinton did.
[27:38.000 --> 27:46.000]  And Clinton and his group of people, in my opinion, were, and I do not use this word loosely, they were very evil.
[27:46.000 --> 27:52.000]  But in comparison to this Bush administration, it is like child's play.
[27:52.000 --> 28:01.000]  And all we have to do is look at the people that Bush, and everybody realizes, and you know, Mr. Bush is from our hometown.
[28:01.000 --> 28:12.000]  We all know his friends and his family, and his wife is a good person, and we all know that the president is not the sharpest tool in the shed.
[28:13.000 --> 28:16.000]  But we look around at the people who are around him.
[28:16.000 --> 28:33.000]  People like Richard Perle, Paul Wolfhout, Douglas Fade, Edward Luttwak, Henry Kissinger, Joe Vakman, Lewis Libby, Kenneth Adelman, Elliot Abrams.
[28:33.000 --> 28:39.000]  The list goes on. Richard Haass, Mark Grossman, Robert Zoellick, Ari Fletcher.
[28:39.000 --> 28:48.000]  These people are all aggressive, hardcore, political Zionists.
[28:48.000 --> 29:02.000]  And they have zero, zero loyalty to our nation, and they are moving our country towards something that very, very few Americans realize how horrible the situation is going to be.
[29:03.000 --> 29:07.000]  Well, we need to make it clear, too, that Israel is a puppet of the New World Order as well.
[29:07.000 --> 29:16.000]  And when Yishak Rabin, and I've had Barry Hamish on about this, when Yishak Rabin admitted that Israel, and apologized at Tel Aviv University four years ago,
[29:16.000 --> 29:22.000]  that Yishak Rabin admitted that Israel founded Hamas to destabilize things, that he got killed by them.
[29:22.000 --> 29:25.000]  And that's been proven, actually shot in the car.
[29:25.000 --> 29:34.000]  They do this over and over again, and as the globalists manipulating this whole situation, and you've got the big oil cartels and the rest of them,
[29:34.000 --> 29:41.000]  they say it's going to cost $1.7 to $1.9 trillion to run Iraq over the next five years.
[29:41.000 --> 29:48.000]  Look at that payoff to the bin Laden's and the Carlyle group in the bushes who own this thing.
[29:49.000 --> 29:56.000]  Right, and Khalif and Mahfouz. Khalif and Mahfouz, who is one of the largest stockholders of Carlyle, of course.
[29:56.000 --> 30:02.000]  And so it's like one big happy family, and I think that your point is very well taken,
