[00:00.000 --> 00:07.000]  Mainstream media, government cover-ups. You want answers? Well, so does he.
[06:28.000 --> 06:45.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[06:45.000 --> 06:54.000]  Get your Pro Pure with the new Pro One filters today at infallwarstore.com or by calling 888-253-3139.
[06:54.000 --> 07:03.000]  Devastating events like earthquakes, tornadoes, floods, hurricanes or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[07:03.000 --> 07:11.000]  As a result, millions are stockpiling food, gold and weapons. But how will these items help if you or one of your loved ones becomes ill?
[07:11.000 --> 07:16.000]  Supernatural Silver is the ultimate tool to prepare you for a medical emergency.
[07:16.000 --> 07:26.000]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles and fungus, and is remarkable for wound care.
[07:26.000 --> 07:31.000]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[07:31.000 --> 07:41.000]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[07:41.000 --> 07:47.000]  To find out how this amazing new technology can help you be prepared, go to supernaturalsilver.com.
[07:47.000 --> 07:54.000]  Use the promo code PREPARED for 20% off your entire order and like us on Facebook.
[07:54.000 --> 08:01.000]  Hi, I'm Janet Napolitano, Secretary of the Department of Homeland Security.
[08:01.000 --> 08:09.000]  Homeland Security begins with hometown security.
[08:09.000 --> 08:19.000]  It seems apparent that our citizens are staying off the streets, which may make scarring particularly difficult, even with this year's rule changes.
[08:19.000 --> 08:28.000]  To recap those revisions, women are still worth 10 points more than men in all age brackets,
[08:28.000 --> 08:37.000]  but teenagers now rack up 40 points and toddlers under 12 now rate a big 70 points.
[08:37.000 --> 08:46.000]  The big score, anyone, any sex over 75 years old has been upped to 100 points.
[08:46.000 --> 08:57.000]  As always, how fast you move determines how long you've lived.
[08:57.000 --> 09:06.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[09:06.000 --> 09:12.000]  It is Wednesday, the 27th day of March 2013.
[09:12.000 --> 09:21.000]  And we were playing a little intro there that Jon Baum put together from Death Race 2000, a classic discopi film.
[09:21.000 --> 09:25.000]  And now we pretty much are Death Race 2000.
[09:25.000 --> 09:30.000]  Paul Watson is set to publish a report very, very soon.
[09:30.000 --> 09:32.000]  In fact, it just went up minutes ago.
[09:32.000 --> 09:35.000]  I just hit refresh on infowars.com.
[09:35.000 --> 09:43.000]  It's also on prisonplanet.com. Robo reporters to replace mainstream journalists.
[09:43.000 --> 09:50.000]  And while I was in between jogging on the hike and bike trail, I worked on it a bit with him this morning.
[09:50.000 --> 09:53.000]  And so we'll see if he added my points into it.
[09:53.000 --> 09:58.000]  He also shot a video report that goes along with it.
[09:58.000 --> 10:04.000]  And this is the big enchilada, as they say.
[10:04.000 --> 10:09.000]  You see, the AI computers, they are somewhat artificially intelligent.
[10:09.000 --> 10:15.000]  And by artificially intelligent, it can fool you that it's a human.
[10:15.000 --> 10:23.000]  Already they have, let's be conservative, tens of thousands of companies.
[10:23.000 --> 10:26.000]  I know because I've gone out and tried to hire reporters and researchers.
[10:26.000 --> 10:30.000]  And most of the time they work at what you call a link farm.
[10:30.000 --> 10:33.000]  And they've got degrees in journalism, you name it.
[10:33.000 --> 10:38.000]  But the only jobs now, people that formerly worked at newspapers, with all the downsizing,
[10:38.000 --> 10:44.000]  is they go and take keywords and just rewrite regurgitated articles in some cases that don't even make sense.
[10:44.000 --> 10:54.000]  And a couple of years ago we discovered stories that were out there that clearly had been written by a robot.
[10:54.000 --> 11:00.000]  But now they're getting good enough where they're just going to have government press releases that are then rewritten
[11:00.000 --> 11:03.000]  so they're, quote, original and have the local name put on it.
[11:03.000 --> 11:06.000]  And, of course, the humans will be removed there.
[11:06.000 --> 11:10.000]  And that's why they've told the White House press corps, they even told Politico this,
[11:10.000 --> 11:16.000]  if you don't totally toe the line, if you ever make one snide comment about the White House,
[11:16.000 --> 11:19.000]  you will never be in the press conference, you will never be given the press release.
[11:19.000 --> 11:22.000]  Because it's all who gets the press release and the access.
[11:22.000 --> 11:25.000]  And now they're saying, they said this a month ago,
[11:25.000 --> 11:30.000]  they may go to a virtual president where it's a hologram recording of him,
[11:30.000 --> 11:36.000]  and then it'll be a full hologram composite where they just write the words, and it's not even a recording of Obama,
[11:36.000 --> 11:39.000]  it's just a video simulation.
[11:39.000 --> 11:42.000]  And by the way, this is the plan.
[11:42.000 --> 11:50.000]  You see, the technology has been held back about 30 years, conservatively, of what we've been told there is.
[11:50.000 --> 11:54.000]  Under global national security, under New World Order technocracy,
[11:54.000 --> 12:02.000]  they've held science back in the public realm, the plane we're in, where things grow very slowly.
[12:02.000 --> 12:05.000]  Anything we're given has Trojan horses built into it.
[12:05.000 --> 12:10.000]  It's designed to track us, trace us, kill us, while it's microwaving us.
[12:10.000 --> 12:17.000]  It's designed to also now feed us what, you know, Google feeds you what it wants you to see,
[12:17.000 --> 12:21.000]  what it believes you want to see, to keep you in your own bubble.
[12:21.000 --> 12:26.000]  And this is all admitted, this is all scientific programmed warfare they announced seven years ago,
[12:26.000 --> 12:32.000]  they're using microphones on your computers to listen to you, now the video cameras to do it.
[12:32.000 --> 12:37.000]  There's the wired news story, can an algorithm write a better news story than a human reporter?
[12:37.000 --> 12:43.000]  And so, see, out of the gates, they're telling you that humans are going to relinquish control of our, quote, evolution,
[12:43.000 --> 12:50.000]  as Ray Kurzweil calls it, and that the establishment will now dictate the end of humans,
[12:50.000 --> 12:54.000]  and that's just the way it is, and that decision has been made.
[12:54.000 --> 12:58.000]  You're not going to be allowed to go play volleyball by the beach when this all comes in,
[12:58.000 --> 13:01.000]  you're going to be killed, and they've all said that, you're dead.
[13:01.000 --> 13:05.000]  Kurzweil says you'll be like a bug, we'll just step on you, we won't even recognize you,
[13:05.000 --> 13:10.000]  we are preparing to become God, I don't believe in God yet, I am going to become God,
[13:10.000 --> 13:13.000]  I am going to invent God, I am going to cybernetically merge,
[13:13.000 --> 13:16.000]  and you've got all these camp followers going, yes, we're going to live forever too,
[13:16.000 --> 13:23.000]  we're going to be part of it like lemmings off a cliff, you are not meant to travel to the next level.
[13:23.000 --> 13:29.000]  You go watch the Illuminati treatise, on record, by the inventor of the communications satellite,
[13:29.000 --> 13:39.000]  and so much more, the OSS black op commander, the man who wrote 2001 Space Odyssey,
[13:39.000 --> 13:43.000]  if you go look at the top technocrat black ops commander,
[13:43.000 --> 13:52.000]  and what he told you, by the third 2001 book, you all take microchips and worship Lucifer.
[13:52.000 --> 13:56.000]  That's the plan.
[13:56.000 --> 14:03.000]  And simultaneous brain connection to everyone else, just like, you know,
[14:03.000 --> 14:12.000]  gray aliens in the Hollywood movies, communicating with each other with computer assisted telepathy.
[14:12.000 --> 14:19.000]  The whole gray thing is a template program to condition you to accept that that's what we're going to look like in the future,
[14:19.000 --> 14:21.000]  and the grays are humans from the future.
[14:21.000 --> 14:26.000]  That is not really real, as far as I understand it from the highest level Illuminati information.
[14:26.000 --> 14:31.000]  And I'm laying down some hardcore info on you here today, because this is the plan.
[14:31.000 --> 14:34.000]  I don't know if they're going to achieve this.
[14:34.000 --> 14:36.000]  It doesn't mean I believe this.
[14:36.000 --> 14:42.000]  I'm reporting as a sociologist, as an anthropologist, as a psychologist, as a historian,
[14:42.000 --> 14:46.000]  as a red blooded American and a Texan who studied enemy operations,
[14:46.000 --> 14:51.000]  the enemy mindset, what they believe in, what they stand for, what their plan is.
[14:51.000 --> 14:53.000]  Just got chills.
[14:53.000 --> 14:57.000]  Okay, I as a organic expression of humanity,
[14:57.000 --> 15:02.000]  which they even predicted in their own publications that we would arrive, and they're ready for us.
[15:02.000 --> 15:06.000]  They call us gallant and beautiful people who will have to be exterminated.
[15:06.000 --> 15:11.000]  They say it's painful what they have to do, but it's for a greater good after we're all gone.
[15:11.000 --> 15:20.000]  That's H.G. Wells I just quoted in his book, The New World Order.
[15:20.000 --> 15:23.000]  I can quote Arthur Schlesinger.
[15:23.000 --> 15:25.000]  I could just start quoting all these guys for you.
[15:25.000 --> 15:30.000]  I mean, if you'd like, I've read hundreds of their books, hundreds.
[15:30.000 --> 15:34.000]  And this is the reality of what we face.
[15:34.000 --> 15:39.000]  And if you buy into the matrix narcissism, the scientifically crafted weaponized media,
[15:39.000 --> 15:43.000]  they're aiming at you with the iPads and the iPods and all of it.
[15:43.000 --> 15:44.000]  And I'm not judging you if you have them.
[15:44.000 --> 15:48.000]  I have them too, but I know what they are.
[15:48.000 --> 15:51.000]  I see my children.
[15:51.000 --> 15:57.000]  I was up at four thirty this morning.
[15:57.000 --> 16:02.000]  And I laid the iPad down at about five and I watched my son come into the room, 10 years old,
[16:02.000 --> 16:06.000]  the image of goodness.
[16:06.000 --> 16:10.000]  Comes into the room in his pajamas, he's looking around.
[16:10.000 --> 16:15.000]  I've got my night vision, you know, I've been sitting there in the dark for hours or an hour,
[16:15.000 --> 16:20.000]  and I see him go across the room with the moonlight coming through the window and he's looking for an iPad.
[16:20.000 --> 16:23.000]  He's looking for something. He's addicted to it.
[16:23.000 --> 16:28.000]  I know all this and I have hope for education and the rest of it.
[16:28.000 --> 16:30.000]  Let them into the matrix.
[16:30.000 --> 16:37.000]  Look, I know I'm trapped, too. My foot's in the in the bear trap.
[16:37.000 --> 16:40.000]  Five a.m., my son.
[16:40.000 --> 16:42.000]  Sneaking into the room.
[16:42.000 --> 16:47.000]  Seem come up a little stairs, come in, turn, look at us.
[16:47.000 --> 16:50.000]  I'm laying there looking right at him. He walks over and starts looking for a computer.
[16:50.000 --> 16:53.000]  Of course, the computer's laying right here beside me.
[16:53.000 --> 16:57.000]  I said, go back to bed.
[16:57.000 --> 17:00.000]  God help us.
[17:00.000 --> 17:03.000]  God help us. He went to bed at ten thirty last night.
[17:03.000 --> 17:09.000]  Education, sports, reading, painting, computer all day, stayed up late,
[17:09.000 --> 17:16.000]  should have been sleeping till seven this morning, sneaking around at five a.m.
[17:16.000 --> 17:22.000]  Wanting to stare into that crystal ball, wanting to stare into the eye of Sauron.
[17:22.000 --> 17:26.000]  What it is, a interface with a giant global network.
[17:26.000 --> 17:29.000]  I've got all the news. I'm going to take your calls. Professor Griff's coming up.
[17:29.000 --> 17:31.000]  I just want humanity to survive.
[17:31.000 --> 17:39.000]  I just want to be a decent person and wickedness and an apathy and corruption and narcissism and mental illness.
[17:39.000 --> 17:43.000]  They're reporting it everywhere. Just craziness is intensifying everywhere.
[17:43.000 --> 17:47.000]  Either you're going to become more enlightened and closer to God.
[17:47.000 --> 17:50.000]  Or you're going to become closer to the world in the flesh.
[17:50.000 --> 18:00.000]  And there is a great. Separation of the wheat from the chaff right now, the the you know, the gold from the pewter.
[18:00.000 --> 18:03.000]  We're we're beginning to go into the fire. This is only the beginning.
[18:03.000 --> 18:10.000]  And they are going to now get to this report after I take some calls and because I really want to break this down.
[18:10.000 --> 18:13.000]  The decision you have, are we going to try to self-direct our destiny?
[18:13.000 --> 18:19.000]  Are we going to let really dangerous, inbred people?
[18:19.000 --> 18:22.000]  Who Hitler was just a spinoff of.
[18:22.000 --> 18:26.000]  A race specific spinoff, so they didn't like him.
[18:26.000 --> 18:31.000]  Are we going to let the Illuminati really do this?
[18:31.000 --> 18:34.000]  Because this is happening right now, we're losing our soul.
[18:34.000 --> 18:39.000]  We are being scientifically destroyed and they're just going to go, oh, computers write articles.
[18:39.000 --> 18:43.000]  Oh, a virtual president. No one knows who writes to teleprompter.
[18:43.000 --> 18:47.000]  You type it in and then a virtual hologram of Obama can be anywhere.
[18:47.000 --> 18:51.000]  And we saw the president today at our school and they're just going to tell you that's real.
[18:51.000 --> 18:56.000]  This is. This is.
[18:56.000 --> 19:02.000]  The phasing out of reality, this is taking the false reality and teaching people that it is the reality.
[19:02.000 --> 19:07.000]  And then those of us that try to live in the real reality outside the box, outside the lines.
[19:07.000 --> 19:14.000]  We are going to be declared heretics.
[19:14.000 --> 19:16.000]  We must.
[19:16.000 --> 19:20.000]  Understand, I mean, I've tried to think of a symbol of a human.
[19:20.000 --> 19:25.000]  Destroying a robot. Because humans won't get it if we don't make it that type of symbol.
[19:25.000 --> 19:29.000]  But I mean, I've known I've known for 15 years.
[19:29.000 --> 19:40.000]  My mission and I haven't even done it after I launch a larger news system is to create a human foundation for the preservation of humanity and try to organize a defense against this,
[19:40.000 --> 19:44.000]  because people aren't going to listen till it stuff really starts falling in on itself.
[19:44.000 --> 19:55.000]  But then the mind control is going to be so intense, people won't be able to pull themselves away from the screens that are the neural interfaces, the proto matrix sucking us in for the wirehead.
[19:55.000 --> 19:58.000]  You prepare by purchasing gold, food and firearms.
[19:58.000 --> 20:04.000]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[20:04.000 --> 20:08.000]  When you're sleeping or away from home, who's watching out for intruders?
[20:08.000 --> 20:14.000]  Check out simply safe. It's a new do it yourself home security system that is completely wireless.
[20:14.000 --> 20:20.000]  Go to get simply safe dot com. Simply safe is independent and off the grid.
[20:20.000 --> 20:24.000]  It runs on battery power. So even if the grid goes down, you're protected.
[20:24.000 --> 20:30.000]  It's completely customizable so you can use it in your home, business, boat, trailer, storage unit or shed.
[20:30.000 --> 20:37.000]  Get simply safe dot com. Simply safe is also ridiculously easy to install yourself in under 20 minutes.
[20:37.000 --> 20:40.000]  So there's no need to let a stranger into your home.
[20:40.000 --> 20:44.000]  If you move or need to relocate, you can take the system with you wherever you go.
[20:44.000 --> 20:51.000]  You aren't always at home, but simply safe will stand guard, protecting your property 24 hours a day, seven days a week.
[20:51.000 --> 20:59.000]  Again, that's get simply safe dot com March into big spring preparedness savings this month at be prepared dot com.
[20:59.000 --> 21:06.000]  Going on now. Emergency essentials and be prepared dot com save you 28 percent off your favorite beef and chicken combo entrees.
[21:06.000 --> 21:14.000]  Save 24 percent on number 10 cans of freeze dried raspberries or save 26 percent on our freeze dried strawberry slices with purchase of 12 or more.
[21:14.000 --> 21:23.000]  Katadyn pocket micro water filters are 27 percent off. Try our fruit flavored hydro pack combo water filtering pouches in March by five 10 packs for a 50 percent discount.
[21:23.000 --> 21:29.000]  Stock up on wheat with a year's supply of grains for 70 dollars off only at beef repaired dot com.
[21:29.000 --> 21:35.000]  And this month, power up with a goal zero Sherpa 50 solar powered recharging kit at one hundred and ten dollars off MSRP.
[21:35.000 --> 21:39.000]  And we'll throw in a free 50 dollar emergency essentials gift card.
[21:39.000 --> 21:44.000]  The March sale ends March 31st at be prepared dot com for contents and details.
[21:44.000 --> 21:50.000]  Call emergency essentials at eight hundred nine nine nine eighteen sixty three or click be prepared dot com.
[21:50.000 --> 21:54.000]  The choice is clear. Be unprepared or be prepared dot com.
[21:54.000 --> 21:58.000]  Now there's an amazing new natural antibiotic every person must have.
[21:58.000 --> 22:05.000]  It's cells alive silver solution and it destroys over 650 hard to kill viruses, fungus, bacteria and much more.
[22:05.000 --> 22:13.000]  Cells alive silver solution has no expiration date, is great for emergency kits and storage shelters and comes in eight or 16 ounce bottles.
[22:13.000 --> 22:20.000]  Order today at eight eight eight nine one zero four three six seven or visit hemp USA dot org hemp USA dot org.
[22:20.000 --> 22:24.000]  One hundred percent chemical free superfoods and unique health products.
[22:24.000 --> 22:30.000]  We the people grow cotton, wheat fabric, engraving embed strips and fibers to protect from counterfeit and carting to a private bank.
[22:30.000 --> 22:40.000]  Having it led back at interest, forcing taxes to service debt. This capitalism or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army.
[22:40.000 --> 22:44.000]  Hi, Ted Anderson. I'm placing a free silver dollar in a book that explains our monetary system.
[22:44.000 --> 22:47.000]  Call for your copy. Eight hundred six eight six two two three seven.
[22:47.000 --> 22:51.000]  It's time to understand the system. Call eight hundred six eight six two two three seven.
[22:51.000 --> 22:54.000]  That's eight hundred six eight six two two three seven.
[22:54.000 --> 22:59.000]  American gardeners and fellow patriots make the right choice with your money, time and your family food supply.
[22:59.000 --> 23:04.000]  Choose one hundred percent pure heirloom seeds in the survival seed vault from my patriotsupply.com.
[23:04.000 --> 23:09.000]  Why spend more? The survival seed vault from my patriotsupply.com is only thirty seven ninety five.
[23:09.000 --> 23:13.000]  It includes 20 varieties of pure, hardy, easy to grow heirloom seeds.
[23:13.000 --> 23:17.000]  Yes, only thirty seven ninety five. That's 70 percent less than our competitors.
[23:17.000 --> 23:21.000]  You could buy three survival seed vaults for less than one of theirs.
[23:21.000 --> 23:28.000]  The survival seed vault from my patriotsupply.com includes detailed planting and seed saving instructions and ships same day.
[23:28.000 --> 23:34.000]  Plus, all orders over forty nine dollars ship free. My patriotsupply.com is American owned by patriots like you.
[23:34.000 --> 23:40.000]  Passionate about freedom and preparedness. Call now eight six six two two nine zero nine two seven.
[23:40.000 --> 23:43.000]  That's eight six six two two nine zero nine two seven.
[23:43.000 --> 23:48.000]  Or discover more emergency preparedness items when you order at my patriotsupply.com.
[23:48.000 --> 24:12.000]  Choose the original. Choose the survival seed vault at my patriotsupply.com.
[24:12.000 --> 24:29.000]  You got to think about something bigger than yourself.
[24:29.000 --> 24:43.000]  Monday through Friday, 11 a.m. to 2 p.m., we're here live. No one noticed.
[24:43.000 --> 24:48.000]  We're letting a bunch of crazy people steer our future.
[24:48.000 --> 25:01.000]  Are we just going to go quietly? Are we going to let the worst of us dictate our future because they have a craving for the power?
[25:01.000 --> 25:06.000]  Or will those of us that crave liberty and justice and uplifting humanity?
[25:06.000 --> 25:13.000]  Will we stand against a technocratic tyrants who are on the ultimate power trip?
[25:13.000 --> 25:19.000]  Will we do that? And if we lead by example, we can turn the tide. I've got off the charts financial news.
[25:19.000 --> 25:25.000]  I'll get to shipper at panic as rumors swirl of more bank closures.
[25:25.000 --> 25:29.000]  Now they want more. I mean, if they take 40 percent of your bank account, you put up with it, why not take more?
[25:29.000 --> 25:36.000]  And it goes to foreign banks. It's not even their debt. Sweden affirms swine flu vaccine narcolepsy link.
[25:36.000 --> 25:43.000]  I know so many people have narcolepsy now and can't drive. And I ask them, did you take the flu shot?
[25:43.000 --> 25:47.000]  The H1N1 and they go, yeah, I just can't believe it's that.
[25:47.000 --> 25:53.000]  OK, I know people that can't feel their hands and feet four years later.
[25:53.000 --> 26:01.000]  I know two talk show hosts in Austin got Guillain-Barre from the vaccine and were told that by their doctors.
[26:01.000 --> 26:07.000]  And by the grace of God, their feeling came back months later. And I mean, it's an absolute fact.
[26:07.000 --> 26:13.000]  It didn't protect you from H1N1. And it's an absolute fact. It gives you double the chances of getting the regular flu.
[26:13.000 --> 26:19.000]  Major government Canadian study. I mean, the inserts say it can kill you and do not give it to pregnant women.
[26:19.000 --> 26:24.000]  And then I've read to you on air every time the school year starts, they say it's a conspiracy theory.
[26:24.000 --> 26:34.000]  There are no side effects from that article I read back in August when school started.
[26:34.000 --> 26:41.000]  Last year. They do it every year, and I was reading Fort Worth Star Telegram and other just Texas papers where it said,
[26:41.000 --> 26:49.000]  contrary to conspiracies, there are no side effects except maybe a sore shoulder.
[26:49.000 --> 26:54.000]  And I had the CDC's own inserts right there, you know, gaff narcolepsy.
[26:54.000 --> 27:00.000]  I mean, man, I mean, what is hard about waking up to this thing?
[27:00.000 --> 27:05.000]  They are consciously killing us with this stuff.
[27:05.000 --> 27:09.000]  And people are like, well, that's just too far to go. You know, I'm just not going to say that on my talk show.
[27:09.000 --> 27:13.000]  I've had so many talk shows say, Alex, you're right about all this.
[27:13.000 --> 27:19.000]  But, you know, I'll just sound crazy if I go and if I go and do that.
[27:19.000 --> 27:22.000]  Piers Morgan went and got a flu shot and then couldn't do a show for like a week.
[27:22.000 --> 27:25.000]  He got so sick and he said it had to be that.
[27:25.000 --> 27:29.000]  I love this. This is literally the biggest deal I could find.
[27:29.000 --> 27:31.000]  There are no larger. Please give me a muscle.
[27:31.000 --> 27:34.000]  OK, that's it.
[27:34.000 --> 27:37.000]  The biggest muscle you've seen for a while.
[27:37.000 --> 27:40.000]  That's it. That's it. One, two, three.
[27:40.000 --> 27:44.000]  Oh, please. Oh, that a bleeding shot.
[27:44.000 --> 27:50.000]  No, no blood even, please.
[27:50.000 --> 27:54.000]  There you go. And then he was so sick that he talked about, you know, feeling like he was going to die.
[27:54.000 --> 27:58.000]  And he said, I think it was the flu shot. See, his humanity came out.
[27:58.000 --> 28:03.000]  Even a dark operator like him, a mercenary.
[28:03.000 --> 28:08.000]  We're going to go to break and come back and take your calls and I'm going to take them.
[28:08.000 --> 28:12.000]  It's just I really have sorrow for what we're going to go through.
[28:12.000 --> 28:19.000]  And the denial that people think is protecting them, if you just deny it, is what is allowing this.
[28:19.000 --> 28:24.000]  It is what is going to bring all this to fruition.
[28:24.000 --> 28:29.000]  And I just want to thank God for all the blessings and for holding back evil as long as the creator has.
[28:29.000 --> 28:32.000]  And this is not a religious show. I am a Christian.
[28:32.000 --> 28:36.000]  And it's just as things get worse and worse and get darker and get more serious.
[28:36.000 --> 28:39.000]  And as I just see the evil spreading, I know you see it as well.
[28:39.000 --> 28:43.000]  The craziness spreading. This is this is just the beginning.
[28:43.000 --> 28:47.000]  I just get closer to God and I'm just honest about that with you.
[28:47.000 --> 28:53.000]  And I wish that most of these churches would organize against evil, but they're federal 501 C three creatures now.
[28:53.000 --> 28:56.000]  And they all say, do what the system says.
[28:56.000 --> 29:00.000]  They all lie and twist Romans 13.
[29:00.000 --> 29:08.000]  And. And I got a stack of news for all over the Middle East, they are beheading, burning, torturing and killing Christians on video.
[29:08.000 --> 29:12.000]  And I can't even watch these videos, but I know today I will make myself watch them.
[29:12.000 --> 29:18.000]  And I was against it when Muslims are being killed by Muslims with the stage deal in Libya and Syria and everywhere else.
[29:18.000 --> 29:23.000]  The people running our government are.
[29:23.000 --> 29:37.000]  Targeting Christians with all kind of all saying I have to give my rights up because TSA has got to stick their hand in my cookie jar and your cookie jar to find bin Laden in there when they run bin Laden.
[29:37.000 --> 29:44.000]  I mean, it's just it's just crazy. They are trying to overthrow reality. They are at war with reality.
