[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[04:10.000 --> 04:13.000]  You're like, automobiles have been around for hundreds of years.
[04:13.000 --> 04:18.000]  That's what social networks are. That's how they data mine. It's how they harvest.
[04:18.000 --> 04:23.000]  They're 100% Democrat, globalist worldwide. They fund the Arab Spring.
[04:23.000 --> 04:27.000]  They fund all these uprisings. They fund the war in Ukraine, the war on Russia,
[04:27.000 --> 04:29.000]  the war against Brexit.
[04:29.000 --> 04:36.000]  Oh, but one young guy who was in these companies, they're now putting him out there
[04:36.000 --> 04:39.000]  knowing people aren't technical like, he invented this, he discovered it,
[04:39.000 --> 04:41.000]  and they harvested millions of days.
[04:41.000 --> 04:50.000]  Yes, Steve Bannon with this guy developed basically a spit-wad shooter compared to a 5,000 megaton hydrogen bomb.
[04:50.000 --> 04:52.000]  Okay?
[04:52.000 --> 04:56.000]  In fact, pull me that clip at the top of the story and I'm coming out and saying the social networks are taking over
[04:56.000 --> 04:58.000]  for the globalists, not the other way around.
[04:58.000 --> 05:27.000]  That's the article I need to clip.
[05:28.000 --> 05:40.000]  The anti-oxidants found in cell force are some of the most powerful available on the market.
[05:40.000 --> 05:48.000]  The stronger the anti-oxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[05:48.000 --> 06:02.000]  Boost, protect, and adapt with cell force from Infowars Life.
[06:02.000 --> 06:27.000]  We're breaking the conditioning.
[06:27.000 --> 06:44.000]  Martin Luther King has been shot to death in Memphis, Tennessee.
[06:44.000 --> 06:46.000]  I think this is a national security imperative.
[06:46.000 --> 07:08.000]  We have clear things that we do not understand how they work, operating in areas that we can't control.
[07:08.000 --> 07:15.000]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow.
[07:15.000 --> 07:17.000]  He denied everything. He called it all fake news.
[07:17.000 --> 07:22.000]  And he accused CNN of being fake news.
[07:22.000 --> 07:28.000]  If they killed Trump or removed Trump, it would cause a massive civil war in this country.
[07:28.000 --> 07:32.000]  This is a female high level.
[07:32.000 --> 07:34.000]  We are at war with Russia.
[07:34.000 --> 07:39.000]  Are you aware that Mr. Stone also stated publicly that he was in direct communication with Julian Assange in WikiLeaks?
[07:39.000 --> 07:42.000]  The White House and the President are citing Infowars.
[07:42.000 --> 07:45.000]  They can shut us down. You're next.
[07:45.000 --> 07:49.000]  If you are receiving this transmission, you are the resistance.
[07:49.000 --> 07:55.000]  It's Alex Jones.
[07:55.000 --> 08:02.000]  Ladies and gentlemen, there are two giant news stories that we're going to predominantly cover here on this live Sunday broadcast today.
[08:02.000 --> 08:09.000]  The 18th of March, 2018. Thank you so much for joining us.
[08:09.000 --> 08:17.000]  And there's a lot of other big tidbits like Vladimir Putin getting reelected with the landslide.
[08:17.000 --> 08:25.000]  But the first big story is the firing of McCabe before he got his pension, the hysteria in Washington,
[08:25.000 --> 08:31.000]  the open and shut case that he perjured himself and his wife got a half million dollars from Hillary,
[08:31.000 --> 08:39.000]  and that they used government money to pay for fusion GPS, and he sat over that cabal, that organization.
[08:39.000 --> 08:47.000]  Oh, and of course, the big one, protected Hillary, protected all her crimes with Eric Holder,
[08:47.000 --> 08:52.000]  and of course, Ms. Lynch after that, Loretta Lynch.
[08:52.000 --> 08:56.000]  So, Comey's been caught perjuring as well before Congress.
[08:56.000 --> 09:02.000]  It's open and shut, and that's just what we know. Imagine what the president knows.
[09:02.000 --> 09:14.000]  So, all of that said, that's going to be coming up today. In fact, I'm going to hit that first after I get some other important news out of the way in the next segment.
[09:14.000 --> 09:21.000]  And of course, then you've got to ask yourself, how big a response are we going to see from the MSM Globalist?
[09:21.000 --> 09:31.000]  What other tricks up their sleeves do they have? This is obviously a very dangerous, critical time for the American reboot that we're all in the middle of right now.
[09:31.000 --> 09:43.000]  Now, that said, though, I want to tackle this first because I'm not an IT expert when it comes to zeros and ones and programming.
[09:43.000 --> 09:47.000]  I mean, I took programming some in middle school and high school and did a little bit of it here and there.
[09:47.000 --> 09:51.000]  And I try to focus on a computer and engineering or electricity or anything.
[09:51.000 --> 09:57.000]  I mean, I can actually get pretty good at it, but it's not my forte. It's not the direction I've gone in.
[09:57.000 --> 10:07.000]  What I do is I study what the experts say in the big swath of where a technology is going, what it's based on and how it operates.
[10:07.000 --> 10:17.000]  Now, two years ago, Google came out and they said that when they were founded in the late 1990s with CIA and NSA funding and money,
[10:17.000 --> 10:23.000]  that the government officials that were there from NQ, Tal, and DARPA said, we already have a bunch of search engines in system.
[10:23.000 --> 10:27.000]  What is this? They said, sir, and Wired Magazine wrote about this two years ago.
[10:27.000 --> 10:34.000]  We'd first course covered it over a decade ago. We're building an over-the-horizon future predicting system.
[10:34.000 --> 10:38.000]  But once you can predict it, you can also manipulate people with stimulus to control them.
[10:38.000 --> 10:43.000]  And we want billions of people plugged into a supercomputer so it can machine learn.
[10:43.000 --> 10:51.000]  And then we're going to put everybody in their own groups and manipulate and control them basically through peer pressure and bullying.
[10:51.000 --> 10:58.000]  Now, remember last year, Sean Parker came out. The former head of Facebook and others, a bunch of executives there went public.
[10:58.000 --> 11:04.000]  Documents got released in Australia where they said we exploit liberals mainly.
[11:04.000 --> 11:07.000]  We exploit people that are depressed. We exploit young people.
[11:07.000 --> 11:09.000]  And we try to keep them desperate and alone.
[11:09.000 --> 11:14.000]  And we have fake bots that manipulate them that look like real people but that they're avatars.
[11:14.000 --> 11:25.000]  And then we datamined billions of people a day to then manipulate through peer pressure and control them.
[11:25.000 --> 11:29.000]  Facebook told advertisers to identify teens feeling insecure and worthless.
[11:29.000 --> 11:37.000]  So now that they make you depressed, now they're going to offer psychology tests and things and then recommend drugs you should be put on.
[11:37.000 --> 11:45.000]  So it's kind of a whole 360 spectrum there of even making money off of how they make you depressed and basically doom your life.
[11:45.000 --> 11:47.000]  And there's thousands of articles of stimulus.
[11:47.000 --> 11:53.000]  So imagine I have that curse. I have that thing called a memory.
[11:53.000 --> 12:06.000]  And so when I got up this morning and my wife was reading London Guardian on her iPad, I went and spent, like I do, two and a half hours reading everything about it from every angle.
[12:06.000 --> 12:17.000]  And it is just a ridiculous PR stunt with this new superhero character they're launching that has pink hair so you know you've got to listen to him.
[12:17.000 --> 12:20.000]  And he's gay so you can't question him just at that point.
[12:20.000 --> 12:23.000]  Who cares if you're gay dude? Give me a break.
[12:23.000 --> 12:29.000]  Other people walk up and say, I'm heterosexual, dun dun dun or I'm whatever man, I don't care.
[12:29.000 --> 12:35.000]  It's not that I dislike you because you're gay, I don't care, I don't care, I don't care.
[12:35.000 --> 12:43.000]  So Stephen Hawking dies as their PR guy and then one week later we've got the new guy and it's like Jesus arrived.
[12:43.000 --> 12:46.000]  He's the greatest genius the world ever saw.
[12:46.000 --> 12:56.000]  He has a way to track people on social networks and know what group they're in and then bully them with bots to make them politically do what he wants.
[12:56.000 --> 13:02.000]  It says he invented it in 2014. Dun dun dun.
[13:02.000 --> 13:04.000]  Oh I mean this is he.
[13:04.000 --> 13:08.000]  Folks he also invented in 2014 fire.
[13:08.000 --> 13:12.000]  He invented the wheel.
[13:12.000 --> 13:17.000]  In fact he, Jesus was gay and he was married to him now being sarcastic.
[13:17.000 --> 13:26.000]  Ladies and gentlemen, ladies and gentlemen, social networks were theorized at MIT in the 70s.
[13:26.000 --> 13:28.000]  Steve Pachinix talked about it.
[13:28.000 --> 13:37.000]  My dad at UT wrote seminal papers on it that were then picked up and basically went into the classification bin.
[13:37.000 --> 13:41.000]  My dad told me about social networks when I was five years old and the whole plan.
[13:41.000 --> 13:45.000]  So no, but no, no, no, no, I didn't tell you all about this 20 years ago.
[13:45.000 --> 13:48.000]  This hasn't been going on publicly for about 15.
[13:48.000 --> 13:52.000]  This man invented it.
[13:52.000 --> 13:54.000]  Now that's how they do it, you see.
[13:54.000 --> 13:59.000]  They go, oh my God, the Russian collusion, it's incredible.
[13:59.000 --> 14:10.000]  Stephen Bannon went with submersor money and they went in and they wanted somebody to go harvest conservatives and libertarians
[14:10.000 --> 14:14.000]  from the database to activate them politically and motivate them.
[14:14.000 --> 14:18.000]  And when I saw the numbers of five million, ladies and gentlemen,
[14:18.000 --> 14:25.000]  Info Wars got hundreds of millions of free thinkers worldwide mobilized to just promote free market and capitalism.
[14:25.000 --> 14:26.000]  We weren't paid by the mercers.
[14:26.000 --> 14:32.000]  Five million is a joke.
[14:32.000 --> 14:34.000]  But again, they know the general public doesn't know this.
[14:34.000 --> 14:40.000]  So they have this huge to do about, you know, the cool gay guy with pink hair and the camo jacket who didn't know what he was doing.
[14:40.000 --> 14:41.000]  And he's really sorry.
[14:41.000 --> 14:42.000]  He's God.
[14:42.000 --> 14:44.000]  He gave us Promethean fire.
[14:44.000 --> 14:45.000]  He knew everything.
[14:45.000 --> 14:52.000]  And there's one email where they pitched a Russian bot company to help do their operation.
[14:52.000 --> 14:55.000]  And so that's the proof of Russian collusion, even though it never happened.
[14:55.000 --> 15:02.000]  And it says, I made Stephen Bannon's psychological warfare tool meet the data war whistleblower.
[15:02.000 --> 15:03.000]  Oh, like info war.
[15:03.000 --> 15:05.000]  Oh, did you invent info war too, young man?
[15:05.000 --> 15:07.000]  Did your pink hair invented?
[15:07.000 --> 15:09.000]  And you read this crap.
[15:09.000 --> 15:11.000]  I mean, it's like a 20 page article or more.
[15:11.000 --> 15:14.000]  And then I read a bunch of others and it's just a giant hoax.
[15:14.000 --> 15:16.000]  It's a total hoax.
[15:16.000 --> 15:23.000]  Bannon never covered up the fact that he went and tried to data mine to create a database to expand Breitbart and all those other stuff.
[15:23.000 --> 15:27.000]  Because as a Democrat globalist, I guess he thought he could capitalize off that or whatever.
[15:27.000 --> 15:35.000]  But there's probably 20 companies in Austin bigger than Cambridge Analytics doing the same thing for the Democrats.
[15:35.000 --> 15:37.000]  They're the ones that dominated all.
[15:37.000 --> 15:43.000]  But if conservatives and libertarians even try to toy with it, they go, oh my God, you're manipulating everyone.
[15:43.000 --> 15:45.000]  It's Zuckerberg calling his users dumb efforts.
[15:45.000 --> 15:51.000]  They admit the whole thing is a giant manipulation and data mining and putting people in pens and bullying them.
[15:51.000 --> 15:58.000]  But oh, this guy with pink hair invented it and oh, the Republicans are using it, bots are illegal when Republicans have them.
[15:58.000 --> 16:04.000]  After being sold out for months, our best selling Super Blue fluoride toothpaste is now back in stock at infowarstore.com.
[16:04.000 --> 16:07.000]  The first shipment of Super Blue sold out in one week.
[16:07.000 --> 16:09.000]  I thought it would be a six month supply for listeners.
[16:09.000 --> 16:14.000]  And since then, people are beating down our doors wanting to be able to resupply their Super Blue.
[16:14.000 --> 16:16.000]  Research across the board is clear.
[16:16.000 --> 16:17.000]  In fact, it's certified.
[16:17.000 --> 16:22.000]  When bacteria infect your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[16:22.000 --> 16:29.000]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body.
[16:29.000 --> 16:32.000]  Super Blue fluoride free toothpaste is a groundbreaking new formula.
[16:32.000 --> 16:36.000]  It's loaded with good halogen iodide, so the bad halogen fluoride.
[16:36.000 --> 16:43.000]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[16:43.000 --> 16:50.000]  Just some of the ingredients in Super Blue chosen by our dental experts include silo toll, peppermint oil, iodide, nano silver and more.
[16:50.000 --> 16:59.000]  Learn more about Info Wars Life Super Blue toothpaste at infowarslife.com and support the Info War while you support healthy gums and teeth.
[16:59.000 --> 17:02.000]  They use their media to assassinate real news.
[17:02.000 --> 17:06.000]  They use their schools to teach children that their president is another Hitler.
[17:06.000 --> 17:13.000]  They use their movie stars and singers and comedy shows and awards shows to repeat their narrative over and over again.
[17:13.000 --> 17:20.000]  And then they use their ex-president to endorse the resistance, all to make them march, make them protest,
[17:20.000 --> 17:31.000]  make them scream racism and sexism and xenophobia and homophobia to smash windows, burn cars, shut down interstates and airports, bully and terrorize the law-abiding.
[17:31.000 --> 17:37.000]  Until the only option left is for the police to do their jobs and stop the madness.
[17:37.000 --> 17:41.000]  And when that happens, they'll use it as an excuse for their outrage.
[17:41.000 --> 17:52.000]  The only way we stop this, the only way we save our country and our freedom is to fight this violence of lies with a clenched fist of truth.
[17:52.000 --> 17:59.000]  I'm the National Rifle Association of America and I'm Freedom's Safest Place.
[18:22.000 --> 18:28.000]  Perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[18:28.000 --> 18:30.000]  Woo, that's what I'm talking about.
[18:30.000 --> 18:38.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[18:38.000 --> 18:48.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:48.000 --> 18:55.000]  That's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze dryer.
[18:55.000 --> 18:59.000]  So what are you waiting for? Check it out right now at InfoWarsStore.com.
[18:59.000 --> 19:06.000]  The reason InfoWarsLine has five star ratings on major third party sites is because I want products I'm going to use for my family.
[19:06.000 --> 19:12.000]  I take this, my family takes this and then it funds the operation with the most hardcore, truthful information you're going to find anywhere.
[19:12.000 --> 19:17.000]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[19:17.000 --> 19:23.000]  Do you ever forget to take them? Like I have a noticeable difference. I don't feel good.
[19:23.000 --> 19:26.000]  The nascent iodine is one of the ones that was life changing for me.
[19:26.000 --> 19:34.000]  Yeah, I've actually have just run out of my super female. I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[19:34.000 --> 19:41.000]  Very exciting, feeling great, looking good. And I know my hair is a little luxurious once again.
[19:41.000 --> 19:44.000]  So obviously the super female is amazing. I love it.
[19:44.000 --> 19:54.000]  Nascent iodine is essential. Survival Shield X2. If there's one product that I would say is life changing that I would suggest it's nascent iodine Survival Shield X2.
[19:54.000 --> 20:22.000]  It's got a five star rating. It's a win-win InfoWarsLive.com.
[20:22.000 --> 20:30.000]  Welcome back. I'm Alex Jones, your host. We're going to get into the imminent indictments of McCabe, Comey, Hillary, you name it.
[20:30.000 --> 20:35.000]  The word is, they've got the evidence. They're going forward. Trump delivers on every front. He always does what he says he'll do.
[20:35.000 --> 20:41.000]  And how are they going to respond? They are so panicked. They're openly threatening the president. Wait till we get to that in the next segment.
[20:41.000 --> 20:46.000]  But since I mentioned this, let me try to quantify this because it's a big deal.
[20:46.000 --> 20:57.000]  The world is learning about how social networks have been weaponized from the beginning to make you depressed, to control you, to make you a globalist, to make you a leftist,
[20:57.000 --> 21:10.000]  to bully people with bots that sound like they're regular folks ridiculing you when you Twitter or Facebook something right of Mao Zedong or Vi Lenin.
[21:10.000 --> 21:32.000]  And so now it's well known, it's always been in the news, that Bannon, for Breitbart, wanting a database of conservatives, went in 2015-16 and paid different companies to go into the profiles of Facebook
[21:32.000 --> 21:46.000]  and to create a database and a relationship for political mailers. Conservatives hadn't even done that. Everything's leftist, Amazon, Facebook, Twitter, Google, YouTube.
[21:46.000 --> 21:57.000]  They're the ones that admit 99% of it's leftist, globalist, Sean Parker's gone public, all of it. They try to keep you depressed. They try to keep you under their control.
[21:57.000 --> 22:02.000]  And then you read this big article, The Cambridge Analytica Files.
[22:02.000 --> 22:08.000]  I made Stephen Bannon the psychological warfare tool meet the data war whistleblower.
[22:08.000 --> 22:16.000]  And then when you read the article, what they're saying is standard data mining, public source, totally legal.
[22:16.000 --> 22:25.000]  Once they got the codes to get into the private Facebooks and public ones, they would then have bots strike up relationships.
[22:25.000 --> 22:30.000]  That's what the Democrats and the globalist and the modern internet is.
[22:30.000 --> 22:38.000]  So Bannon goes and does a primitive attempt to get into it and do what they were doing a decade before.
[22:38.000 --> 22:45.000]  And now they write huge articles like, like he discovered free energy.
[22:45.000 --> 22:56.000]  It's like saying you discovered radio in 2018 when it was invented by Marconi in what, 1889 or something? Look up when Marconi discovered radio, please.
[22:56.000 --> 23:00.000]  Then publishes. 5 is going from memory. It was 18 something.
[23:00.000 --> 23:05.000]  So I'm reading this and it's like, this guy's got pink hair.
[23:05.000 --> 23:13.000]  He discovered radio in 2018 and it's a total cutout.
[23:13.000 --> 23:19.000]  It's like everything else. Yeah, he worked at the company. Yeah, Bannon went and did it.
[23:19.000 --> 23:23.000]  Yeah, there were millions of dollars that Russian bots involved.
[23:23.000 --> 23:30.000]  80% of them were anti-Trump, including rallies that Michael Moore attended against Trump that was funded by the Russian bot company.
[23:30.000 --> 23:35.000]  Because you get around campaign finance laws by going overseas and who's famous for that?
[23:35.000 --> 23:45.000]  The Clintons, the Clinton Foundation, billions, 1888. When did I say?
[23:45.000 --> 23:51.000]  My memory, it's just incredible. If I just don't question my memory, it's almost always right.
[23:51.000 --> 23:54.000]  But then there was a debate about it and three other guys kind of did it at the same time.
[23:54.000 --> 24:02.000]  I think it was published and agreed that he was, I think it was 1889 that he was recognized as inventing it.
[24:02.000 --> 24:07.000]  I believe the first transmissions were in 1888. Anyway, side issue. Hadn't looked at that in 30 years.
[24:07.000 --> 24:11.000]  I'm not bragging. I'm just saying, folks, I don't make this crap up. People see me up here saying all this stuff.
[24:11.000 --> 24:15.000]  They think there's no way this guy actually knows all this stuff. I do and more, believe me.
[24:15.000 --> 24:18.000]  And it's not bragging. I'm just letting you know.
[24:18.000 --> 24:24.000]  So, no, no, no. He didn't invent radio. This guy with pink hair did. I don't care that he's got pink hair.
[24:24.000 --> 24:29.000]  Hell, there are more people with pink hair in America now or purple hair than there are with just a regular color.
[24:29.000 --> 24:32.000]  Mine's all falling out in gray. I don't give a damn.
[24:32.000 --> 24:36.000]  He's got pink hair, ladies and gentlemen.
[24:36.000 --> 24:41.000]  And I read this crap. I mean, I spent hours on this today and I couldn't believe it.
[24:41.000 --> 24:47.000]  It's all bad and inventive system with this pink hair guy to bully people with fake bots.
[24:47.000 --> 24:51.000]  So you think you're really conservative and have friends and then it gives you confidence.
[24:51.000 --> 24:55.000]  And then you go out and you do things and then, oh, yes.
[24:55.000 --> 25:02.000]  Oh, Steve Bannon with this guy in 2000, this guy in 2014, Bannon a year and a half later.
[25:02.000 --> 25:09.000]  They invented organizing people on social networks and data mining for political purposes.
[25:09.000 --> 25:16.000]  Really? Because a couple of years before that, they funded the whole Arab Spring to overthrow a bunch of countries
[25:16.000 --> 25:21.000]  and Google, Facebook and Twitter admittedly haunched it.
[25:21.000 --> 25:27.000]  But see, that's all buried in the back of the newspaper. See how that works?
[25:27.000 --> 25:30.000]  It's all just, man, that was kids incredible.
[25:30.000 --> 25:35.000]  Yeah, did you hear? He invented steam engines in 2018. Yeah, yeah.
[25:35.000 --> 25:38.000]  And he, listen, he invented fire and shoes.
[25:38.000 --> 25:45.000]  And let me tell you about this guy. What's his name? Christopher Weil. He invented toilet paper.
[25:45.000 --> 25:50.000]  That's right. My God, he's got a nose ring, pink hair.
[25:50.000 --> 25:54.000]  Oh, he's powerful. I don't know what to do right now. I'm kind of threatened right now about it.
[25:54.000 --> 25:56.000]  I don't like that big.
[25:56.000 --> 25:59.000]  And then everyone just, oh my gosh, what are we going to do?
[25:59.000 --> 26:02.000]  They got this power. The Republicans are dominating the Internet.
[26:02.000 --> 26:05.000]  They're censoring and they've got mind control weapons.
[26:05.000 --> 26:11.000]  All they did was data mine 5 million people to create a new mailing list to get them politically involved
[26:11.000 --> 26:15.000]  and try to get donations out of them.
[26:15.000 --> 26:22.000]  The Democrats would fix the search results daily with Hillary Clinton in between phone calls with Google.
[26:22.000 --> 26:29.000]  She was getting the questions for the debate, planting questions for Trump and then lying about it all the same day.
[26:29.000 --> 26:32.000]  Everything rigged, everything tilted.
[26:32.000 --> 26:37.000]  And then they're like, how do we keep these Republicans from being able to use bots?
[26:37.000 --> 26:44.000]  Because their worldview is so much more popular and people want nationalism and God, we're selling tyranny versus capitalism.
[26:44.000 --> 26:50.000]  How do we do that? Just say it's Russian, have a big genius come out with pink hair and talk about how they invented it.
[26:50.000 --> 26:55.000]  Oh, that's how Trump won. He had all these fancy things to steal it.
[26:55.000 --> 27:01.000]  But oh, Facebook, Google, Twitter, CNN, NBC News, NBC, all of the whole Hollywood Combine,
[27:01.000 --> 27:06.000]  foreign governments, the EU, the Pope, the Communist Chinese all piling on.
[27:06.000 --> 27:12.000]  But Trump still won. How do we make it look like we're not hated and there hadn't been a total political realignment
[27:12.000 --> 27:18.000]  and the whole world's turning against us? What do we do?
[27:18.000 --> 27:23.000]  Just like Comey 2012. Oh, there's an African in Central Africa with all these slaves and he's evil.
[27:23.000 --> 27:27.000]  And look, there's a trendy university student fighting it and let's raise a million dollars.
[27:27.000 --> 27:31.000]  Comey's on the CIA payroll been protected the whole time. He's a ghost profile there.
[27:31.000 --> 27:33.000]  So they have an excuse to invade wherever they want.
[27:33.000 --> 27:39.000]  And I already knew that before out of the people that sit down and have dinner with him and delivering lost rockets.
[27:39.000 --> 27:43.000]  Now, that's what this comes down to.
[27:43.000 --> 27:47.000]  And that's why I spent so much time on this is because I love Drudge.
[27:47.000 --> 27:52.000]  I know it's a big breaking story. You guys pop Drudge back up there for me.
[27:52.000 --> 27:58.000]  But, you know, it's all the big story up there. The Cambridge Analytica files gone.
[27:58.000 --> 28:04.000]  They invented fire. Oh, what is it? Oh, God. Meet the whistleblower.
[28:04.000 --> 28:10.000]  He's got pink hair. He's powerful. Oh, my God. I created Steve Bannon's psychological warfare tool.
[28:10.000 --> 28:13.000]  Oh, yeah, you want lower taxes? Want your sovereignty back?
[28:13.000 --> 28:16.000]  Want to stop being bashed by globalists and being pissed all over?
[28:16.000 --> 28:21.000]  Yeah, the truth is called psychological warfare. The truth is called victory.
[28:21.000 --> 28:26.000]  That's why Trump's so important and has so much courage and it's so amazing because he's just not out to get you.
[28:26.000 --> 28:33.000]  So the whole Stephen Bannon thing, this whole deal about analytics and all this, it's a big story.
[28:33.000 --> 28:38.000]  I'm glad Drudge is covering it. My point is, is that it's hiding in plain view when you read this crap
[28:38.000 --> 28:44.000]  that Bannon was trying to go back to what was around 10 years before or more and trying to take her toy
[28:44.000 --> 28:48.000]  and so making a foray into their whole fake bot Facebook world.
[28:48.000 --> 28:53.000]  They're saying no, no, no. Now they put an article out trying to introduce bots to the world
[28:53.000 --> 28:58.000]  as if libertarians and conservatives are the ones that invented it for social control.
[28:58.000 --> 29:05.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[29:05.000 --> 29:09.000]  This powerful combo is perfect for supporting your thyroid and health.
[29:09.000 --> 29:16.000]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[29:16.000 --> 29:25.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[29:25.000 --> 29:33.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[29:33.000 --> 29:40.000]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[29:40.000 --> 29:46.000]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[29:46.000 --> 29:50.000]  Take control of your chemistry today with this super combo.
[29:50.000 --> 29:58.000]  Discover the power of Survival Shield X2 and Biotru Selenium at InfowarsLife.com.
[30:21.000 --> 30:27.000]  In the history of InfowarsLife we brought out a lot of amazing products like Survival Shield X2,
[30:27.000 --> 30:35.000]  Supermail Vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[30:35.000 --> 30:42.000]  This formula is the platinum standard of multivitamin mineral products and this part is most important.
[30:42.000 --> 30:49.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[30:49.000 --> 30:52.000]  That means it's clean, that means it's pure and rest secured.
[30:52.000 --> 30:54.000]  You're finding the tip of the spear in the Infowars.
[30:54.000 --> 30:57.000]  That's InfowarsLife.com and vitamin mineral fusion.
[30:57.000 --> 30:59.000]  Take action now before we sell out.
